,MSFT,NVDA,AVGO,VRTX,MA,ADBE,DHI,MU,LRCX,AMD,TROW,DISCA,INTU,MKC,KLAC,DHR,COST,MRNA,TGT,CHD,FOX,CABO,INCY,ANTM,NEM,PGR,PYPL,ANET,SCHW,CI,ACGL,CB,FTNT,CBRE,AZO,PLD,CCI,WEC,LULU,CTAS,TSCO,SPGI,SYNH,RE,EL,GRMN,HZNP,MPWR,PXD,CPRT,QDEL,CINF,n/a,EOG,TTD,WSM,PAYC,WST,PKI,TREX,SHW,WTRG,LH,RNR,VRSK,FDS,CLX,BRO,PINS,PHM,MKTX,WLTW,EXPD,POOL,WMS,QGEN,LEN,SUI,MDU,APH,FBHS,JBHT,ODFL,LKQ,TTC,GGG,TPR,ALGN,ZM,STLD,JLL,MKSI,CBOE,NBIX,EXEL,DCI,SNX,VMW,LDOS,UHAL,ESNT,ROL,THO,FND,OKE,DXCM,OLED,SWK,HES,TNET,SIVB,VEEV,EPAM,GNRC,DECK,APPS,YETI,ROKU,PCTY,ETSY,WTW,SUM
01/25/2022,6.23,2.21,1.9,2.32,2.22,1.78,1.58,1.83,1.62,1.46,1.4,1.87,1.41,1.64,1.46,1.35,1.29,0.71,1.2,1.29,1.24,1.09,1.23,1.18,1.25,1.25,1.02,1.02,1.22,1.22,1.16,1.1,0.93,1.07,1.04,0.89,0.81,0.9,0.73,0.74,0.78,0.74,0.72,0.86,0.69,0.71,0.65,0.64,0.92,0.68,0.49,0.76,0.79,0.88,0.48,0.58,0.5,0.52,0.59,0.45,0.52,0.57,0.53,0.59,0.52,0.52,0.61,0.56,0.47,0.57,0.52,0.0,0.52,0.5,0.5,0.5,0.51,0.54,0.56,0.52,0.52,0.57,0.48,0.53,0.53,0.51,0.48,0.41,0.39,0.45,0.53,0.54,0.48,0.46,0.5,0.51,0.5,0.55,0.54,0.44,0.52,0.49,0.45,0.4,0.5,0.38,0.47,0.47,0.59,0.43,0.41,0.4,0.33,0.34,0.39,0.31,0.34,0.27,0.33,0.27,0.56,99.99
01/26/2022,6.23,2.21,1.9,2.32,2.22,1.78,1.58,1.83,1.62,1.46,1.4,1.87,1.41,1.64,1.46,1.35,1.29,0.71,1.2,1.29,1.24,1.09,1.23,1.18,1.25,1.25,1.02,1.02,1.22,1.22,1.16,1.1,0.93,1.07,1.04,0.89,0.81,0.9,0.73,0.74,0.78,0.74,0.72,0.86,0.69,0.71,0.65,0.64,0.92,0.68,0.49,0.76,0.79,0.88,0.48,0.58,0.5,0.52,0.59,0.45,0.52,0.57,0.53,0.59,0.52,0.52,0.61,0.56,0.47,0.57,0.52,0.0,0.52,0.5,0.5,0.5,0.51,0.54,0.56,0.52,0.52,0.57,0.48,0.53,0.53,0.51,0.48,0.41,0.39,0.45,0.53,0.54,0.48,0.46,0.5,0.51,0.5,0.55,0.54,0.44,0.52,0.49,0.45,0.4,0.5,0.38,0.47,0.47,0.59,0.43,0.41,0.4,0.33,0.34,0.39,0.31,0.34,0.27,0.33,0.27,0.56,99.99
01/27/2022,6.15,2.18,1.91,2.3,2.15,1.83,1.62,1.82,1.64,1.41,1.37,1.89,1.41,1.59,1.51,1.32,1.29,0.69,1.2,1.26,1.26,1.08,1.22,1.19,1.23,1.26,1.0,1.03,1.2,1.21,1.16,1.1,0.92,1.05,1.04,0.86,0.81,0.87,0.74,0.75,0.8,0.74,0.73,0.85,0.69,0.72,0.64,0.64,0.91,0.68,0.47,0.76,0.78,0.88,0.52,0.63,0.52,0.54,0.58,0.45,0.53,0.56,0.53,0.58,0.52,0.52,0.59,0.57,0.49,0.59,0.51,0.0,0.52,0.5,0.5,0.5,0.53,0.53,0.55,0.52,0.53,0.57,0.49,0.54,0.53,0.52,0.5,0.42,0.4,0.46,0.53,0.55,0.48,0.45,0.52,0.52,0.5,0.55,0.54,0.44,0.52,0.49,0.48,0.43,0.5,0.38,0.48,0.47,0.59,0.44,0.4,0.4,0.33,0.35,0.4,0.32,0.35,0.28,0.35,0.27,0.57,100.03
01/28/2022,6.15,2.18,1.91,2.3,2.15,1.83,1.62,1.82,1.64,1.41,1.37,1.89,1.41,1.59,1.51,1.32,1.29,0.69,1.2,1.26,1.26,1.08,1.22,1.19,1.23,1.26,1.0,1.03,1.2,1.21,1.16,1.1,0.92,1.05,1.04,0.86,0.81,0.87,0.74,0.75,0.8,0.74,0.73,0.85,0.69,0.72,0.64,0.64,0.91,0.68,0.47,0.76,0.78,0.88,0.52,0.63,0.52,0.54,0.58,0.45,0.53,0.56,0.53,0.58,0.52,0.52,0.59,0.57,0.49,0.59,0.51,0.0,0.52,0.5,0.5,0.5,0.53,0.53,0.55,0.52,0.53,0.57,0.49,0.54,0.53,0.52,0.5,0.42,0.4,0.46,0.53,0.55,0.48,0.45,0.52,0.52,0.5,0.55,0.54,0.44,0.52,0.49,0.48,0.43,0.5,0.38,0.48,0.47,0.59,0.44,0.4,0.4,0.33,0.35,0.4,0.32,0.35,0.28,0.35,0.27,0.57,100.03
01/31/2022,6.48,2.13,1.99,2.38,2.25,1.81,1.55,1.8,1.52,1.3,1.34,1.85,1.42,1.73,1.46,1.33,1.32,0.68,1.2,1.26,1.28,1.07,1.21,1.2,1.23,1.28,1.01,1.04,1.26,1.21,1.18,1.13,0.89,1.03,1.05,0.87,0.79,0.91,0.73,0.76,0.8,0.72,0.73,0.86,0.71,0.72,0.67,0.59,0.98,0.67,0.44,0.77,0.77,0.98,0.5,0.62,0.5,0.56,0.57,0.42,0.52,0.57,0.54,0.56,0.52,0.52,0.58,0.57,0.44,0.57,0.48,0.0,0.51,0.5,0.48,0.5,0.5,0.52,0.57,0.52,0.51,0.55,0.47,0.54,0.55,0.51,0.5,0.42,0.38,0.48,0.52,0.51,0.48,0.45,0.51,0.5,0.49,0.57,0.54,0.43,0.52,0.46,0.48,0.42,0.53,0.35,0.46,0.47,0.62,0.43,0.4,0.39,0.32,0.33,0.38,0.3,0.32,0.27,0.33,0.26,0.57,100.0
02/01/2022,6.47,2.15,1.99,2.46,2.38,1.84,1.55,1.76,1.5,1.29,1.31,1.93,1.43,1.68,1.44,1.35,1.31,0.71,1.2,1.28,1.31,1.07,1.22,1.18,1.18,1.26,1.02,1.03,1.22,1.2,1.16,1.12,0.9,1.03,1.04,0.88,0.8,0.89,0.73,0.76,0.8,0.72,0.74,0.85,0.7,0.71,0.68,0.59,0.96,0.67,0.47,0.77,0.75,0.96,0.51,0.63,0.51,0.56,0.57,0.42,0.51,0.56,0.53,0.56,0.52,0.51,0.56,0.57,0.43,0.57,0.48,0.0,0.5,0.49,0.48,0.5,0.5,0.53,0.56,0.52,0.51,0.55,0.47,0.53,0.55,0.51,0.5,0.41,0.38,0.47,0.52,0.5,0.48,0.46,0.51,0.5,0.48,0.57,0.51,0.43,0.52,0.46,0.47,0.42,0.51,0.37,0.46,0.46,0.62,0.43,0.4,0.4,0.32,0.33,0.38,0.31,0.32,0.27,0.34,0.26,0.58,99.95000000000002
02/02/2022,6.47,2.15,1.99,2.46,2.38,1.84,1.55,1.76,1.5,1.29,1.31,1.93,1.43,1.68,1.44,1.35,1.31,0.71,1.2,1.28,1.31,1.07,1.22,1.18,1.18,1.26,1.02,1.03,1.22,1.2,1.16,1.12,0.9,1.03,1.04,0.88,0.8,0.89,0.73,0.76,0.8,0.72,0.74,0.85,0.7,0.71,0.68,0.59,0.96,0.67,0.47,0.77,0.75,0.96,0.51,0.63,0.51,0.56,0.57,0.42,0.51,0.56,0.53,0.56,0.52,0.51,0.56,0.57,0.43,0.57,0.48,0.0,0.5,0.49,0.48,0.5,0.5,0.53,0.56,0.52,0.51,0.55,0.47,0.53,0.55,0.51,0.5,0.41,0.38,0.47,0.52,0.5,0.48,0.46,0.51,0.5,0.48,0.57,0.51,0.43,0.52,0.46,0.47,0.42,0.51,0.37,0.46,0.46,0.62,0.43,0.4,0.4,0.32,0.33,0.38,0.31,0.32,0.27,0.34,0.26,0.58,99.95000000000002
02/03/2022,6.47,2.15,1.99,2.46,2.38,1.84,1.55,1.76,1.5,1.29,1.31,1.93,1.43,1.68,1.44,1.35,1.31,0.71,1.2,1.28,1.31,1.07,1.22,1.18,1.18,1.26,1.02,1.03,1.22,1.2,1.16,1.12,0.9,1.03,1.04,0.88,0.8,0.89,0.73,0.76,0.8,0.72,0.74,0.85,0.7,0.71,0.68,0.59,0.96,0.67,0.47,0.77,0.75,0.96,0.51,0.63,0.51,0.56,0.57,0.42,0.51,0.56,0.53,0.56,0.52,0.51,0.56,0.57,0.43,0.57,0.48,0.0,0.5,0.49,0.48,0.5,0.5,0.53,0.56,0.52,0.51,0.55,0.47,0.53,0.55,0.51,0.5,0.41,0.38,0.47,0.52,0.5,0.48,0.46,0.51,0.5,0.48,0.57,0.51,0.43,0.52,0.46,0.47,0.42,0.51,0.37,0.46,0.46,0.62,0.43,0.4,0.4,0.32,0.33,0.38,0.31,0.32,0.27,0.34,0.26,0.58,99.95000000000002
02/04/2022,6.37,2.25,2.03,2.4,2.35,1.85,1.56,1.78,1.54,1.37,1.31,1.94,1.44,1.67,1.49,1.34,1.31,0.73,1.19,1.25,1.29,1.07,1.19,1.15,1.18,1.23,1.04,1.04,1.17,1.16,1.16,1.1,0.93,1.04,1.03,0.87,0.79,0.88,0.75,0.75,0.8,0.72,0.74,0.84,0.7,0.71,0.68,0.63,0.95,0.67,0.47,0.76,0.74,0.95,0.54,0.64,0.52,0.55,0.57,0.43,0.5,0.56,0.52,0.55,0.51,0.51,0.55,0.57,0.46,0.57,0.48,0.0,0.5,0.5,0.49,0.5,0.5,0.52,0.55,0.52,0.51,0.53,0.47,0.52,0.54,0.5,0.49,0.43,0.4,0.46,0.52,0.51,0.47,0.47,0.51,0.49,0.49,0.56,0.51,0.42,0.51,0.47,0.48,0.43,0.51,0.37,0.48,0.45,0.61,0.43,0.41,0.41,0.33,0.34,0.39,0.34,0.33,0.28,0.35,0.27,0.57,100.02
02/07/2022,6.22,2.22,2.03,2.43,2.39,1.79,1.56,1.79,1.55,1.45,1.27,2.03,1.41,1.73,1.44,1.37,1.37,0.72,1.16,1.26,1.31,1.09,1.18,1.19,1.2,1.25,0.76,1.03,1.2,1.1,1.2,1.16,0.94,1.05,1.07,0.88,0.8,0.87,0.75,0.74,0.81,0.72,0.74,0.85,0.69,0.72,0.67,0.62,0.97,0.67,0.45,0.78,0.72,0.96,0.52,0.65,0.5,0.56,0.63,0.43,0.5,0.55,0.54,0.54,0.52,0.51,0.55,0.58,0.39,0.57,0.49,0.0,0.49,0.48,0.53,0.5,0.5,0.54,0.55,0.53,0.49,0.54,0.52,0.54,0.54,0.51,0.5,0.44,0.36,0.49,0.53,0.5,0.47,0.47,0.51,0.49,0.49,0.57,0.52,0.42,0.51,0.47,0.48,0.42,0.52,0.37,0.45,0.46,0.61,0.44,0.42,0.4,0.31,0.34,0.39,0.31,0.32,0.25,0.35,0.22,0.57,99.99
02/08/2022,6.51,2.32,2.13,2.49,2.41,1.85,1.53,1.83,1.57,1.54,1.31,2.08,1.47,1.76,1.5,1.4,1.41,0.73,1.2,1.27,1.34,1.13,1.21,1.21,1.22,1.28,0.8,1.06,1.28,1.16,1.24,1.19,1.02,1.08,1.09,0.89,0.81,0.89,0.79,0.76,0.82,0.75,0.76,0.88,0.73,0.74,0.7,0.65,1.03,0.69,0.46,0.81,0.74,1.0,0.59,0.67,0.53,0.58,0.63,0.43,0.51,0.56,0.55,0.56,0.53,0.53,0.48,0.61,0.0,0.54,0.53,0.0,0.49,0.49,0.55,0.52,0.49,0.55,0.56,0.54,0.5,0.55,0.5,0.55,0.55,0.52,0.51,0.44,0.39,0.51,0.54,0.51,0.5,0.5,0.55,0.0,0.51,0.59,0.53,0.43,0.0,0.48,0.49,0.43,0.54,0.38,0.47,0.45,0.66,0.0,0.44,0.42,0.0,0.35,0.38,0.0,0.34,0.0,0.39,0.0,0.6,100.04
02/09/2022,6.51,2.32,2.13,2.49,2.41,1.85,1.53,1.83,1.57,1.54,1.31,2.08,1.47,1.76,1.5,1.4,1.41,0.73,1.2,1.27,1.34,1.13,1.21,1.21,1.22,1.28,0.8,1.06,1.28,1.16,1.24,1.19,1.02,1.08,1.09,0.89,0.81,0.89,0.79,0.76,0.82,0.75,0.76,0.88,0.73,0.74,0.7,0.65,1.03,0.69,0.46,0.81,0.74,1.0,0.59,0.67,0.53,0.58,0.63,0.43,0.51,0.56,0.55,0.56,0.53,0.53,0.48,0.61,0.0,0.54,0.53,0.0,0.49,0.49,0.55,0.52,0.49,0.55,0.56,0.54,0.5,0.55,0.5,0.55,0.55,0.52,0.51,0.44,0.39,0.51,0.54,0.51,0.5,0.5,0.55,0.0,0.51,0.59,0.53,0.43,0.0,0.48,0.49,0.43,0.54,0.38,0.47,0.45,0.66,0.0,0.44,0.42,0.0,0.35,0.38,0.0,0.34,0.0,0.39,0.0,0.6,100.04
02/10/2022,6.23,2.3,2.06,2.43,2.31,1.78,1.51,1.77,1.5,1.5,1.31,1.99,1.43,1.72,1.45,1.35,1.36,0.7,1.15,1.24,1.3,1.09,1.18,1.18,1.23,1.24,0.75,1.03,1.26,1.14,1.2,1.15,0.97,1.06,1.05,0.85,0.79,0.86,0.76,0.73,0.8,0.71,0.74,0.86,0.72,0.72,0.69,0.63,0.99,0.67,0.44,0.79,3.68,0.99,0.58,0.65,0.52,0.56,0.61,0.42,0.49,0.54,0.53,0.55,0.52,0.51,0.49,0.59,0.0,0.53,0.52,0.0,0.48,0.47,0.49,0.51,0.48,0.53,0.54,0.52,0.49,0.52,0.48,0.53,0.54,0.5,0.5,0.44,0.37,0.49,0.53,0.49,0.48,0.48,0.54,0.0,0.49,0.58,0.51,0.41,0.0,0.47,0.48,0.42,0.53,0.37,0.46,0.42,0.63,0.0,0.43,0.41,0.0,0.34,0.36,0.0,0.34,0.0,0.37,0.0,0.58,99.95
02/11/2022,6.26,2.32,2.09,2.39,2.28,1.78,1.53,1.83,1.5,1.54,1.29,1.96,1.45,1.71,1.48,1.34,1.36,0.67,1.15,1.23,1.3,1.09,1.12,1.22,1.23,1.24,0.73,1.03,1.27,1.17,1.21,1.16,0.99,1.07,1.05,0.84,0.77,0.86,0.76,0.73,0.81,0.7,0.74,0.86,0.71,0.73,0.69,0.64,0.96,0.67,0.43,0.79,3.65,0.95,0.6,0.66,0.52,0.56,0.61,0.42,0.49,0.54,0.53,0.54,0.52,0.51,0.47,0.59,0.0,0.54,0.51,0.0,0.48,0.47,0.51,0.5,0.49,0.53,0.54,0.52,0.49,0.53,0.49,0.53,0.55,0.51,0.51,0.45,0.37,0.51,0.53,0.49,0.49,0.47,0.53,0.0,0.49,0.58,0.5,0.41,0.0,0.46,0.49,0.43,0.52,0.37,0.46,0.43,0.62,0.0,0.44,0.4,0.0,0.35,0.37,0.0,0.34,0.0,0.36,0.0,0.55,100.0
02/14/2022,6.21,2.38,2.06,2.34,2.28,1.72,1.49,1.98,1.55,1.51,1.26,2.09,1.46,1.68,1.49,1.33,1.35,0.7,1.15,1.2,1.39,1.08,1.07,1.19,1.17,1.2,0.73,1.06,1.24,1.16,1.19,1.16,1.02,1.07,1.01,0.83,0.75,0.83,0.76,0.73,0.81,0.69,0.75,0.86,0.71,0.71,0.71,0.64,0.97,0.67,0.43,0.79,3.66,0.96,0.64,0.63,0.57,0.56,0.61,0.4,0.49,0.52,0.54,0.54,0.51,0.5,0.47,0.6,0.0,0.52,0.51,0.0,0.48,0.47,0.51,0.5,0.48,0.53,0.51,0.51,0.48,0.53,0.48,0.53,0.55,0.5,0.52,0.46,0.38,0.51,0.54,0.5,0.48,0.47,0.53,0.0,0.49,0.58,0.5,0.42,0.0,0.47,0.48,0.44,0.53,0.38,0.46,0.43,0.61,0.0,0.45,0.41,0.0,0.35,0.37,0.0,0.34,0.0,0.37,0.0,0.55,99.92
02/15/2022,6.18,2.25,2.03,2.37,2.3,1.68,1.51,1.99,1.49,1.39,1.25,2.1,1.43,1.72,1.44,1.31,1.36,0.72,1.16,1.22,1.4,1.09,1.09,1.19,1.26,1.22,0.72,1.03,1.22,1.17,1.19,1.16,0.99,1.06,1.04,0.83,0.75,0.84,0.73,0.73,0.82,0.69,0.75,0.89,0.69,0.72,0.72,0.68,1.02,0.65,0.44,0.8,3.73,1.01,0.61,0.63,0.56,0.56,0.61,0.41,0.48,0.54,0.54,0.55,0.51,0.51,0.49,0.59,0.0,0.53,0.54,0.0,0.48,0.48,0.51,0.5,0.49,0.54,0.52,0.51,0.49,0.54,0.47,0.52,0.55,0.5,0.51,0.45,0.38,0.52,0.54,0.49,0.49,0.52,0.54,0.0,0.49,0.55,0.52,0.41,0.0,0.47,0.49,0.44,0.55,0.37,0.45,0.43,0.65,0.0,0.45,0.41,0.0,0.34,0.38,0.0,0.34,0.0,0.36,0.0,0.55,100.07
02/16/2022,6.18,2.25,2.03,2.37,2.3,1.68,1.51,1.99,1.49,1.39,1.25,2.1,1.43,1.72,1.44,1.31,1.36,0.72,1.16,1.22,1.4,1.09,1.09,1.19,1.26,1.22,0.72,1.03,1.22,1.17,1.19,1.16,0.99,1.06,1.04,0.83,0.75,0.84,0.73,0.73,0.82,0.69,0.75,0.89,0.69,0.72,0.72,0.68,1.02,0.65,0.44,0.8,3.73,1.01,0.61,0.63,0.56,0.56,0.61,0.41,0.48,0.54,0.54,0.55,0.51,0.51,0.49,0.59,0.0,0.53,0.54,0.0,0.48,0.48,0.51,0.5,0.49,0.54,0.52,0.51,0.49,0.54,0.47,0.52,0.55,0.5,0.51,0.45,0.38,0.52,0.54,0.49,0.49,0.52,0.54,0.0,0.49,0.55,0.52,0.41,0.0,0.47,0.49,0.44,0.55,0.37,0.45,0.43,0.65,0.0,0.45,0.41,0.0,0.34,0.38,0.0,0.34,0.0,0.36,0.0,0.55,100.07
02/17/2022,6.18,2.25,2.03,2.37,2.3,1.68,1.51,1.99,1.49,1.39,1.25,2.1,1.43,1.72,1.44,1.31,1.36,0.72,1.16,1.22,1.4,1.09,1.09,1.19,1.26,1.22,0.72,1.03,1.22,1.17,1.19,1.16,0.99,1.06,1.04,0.83,0.75,0.84,0.73,0.73,0.82,0.69,0.75,0.89,0.69,0.72,0.72,0.68,1.02,0.65,0.44,0.8,3.73,1.01,0.61,0.63,0.56,0.56,0.61,0.41,0.48,0.54,0.54,0.55,0.51,0.51,0.49,0.59,0.0,0.53,0.54,0.0,0.48,0.48,0.51,0.5,0.49,0.54,0.52,0.51,0.49,0.54,0.47,0.52,0.55,0.5,0.51,0.45,0.38,0.52,0.54,0.49,0.49,0.52,0.54,0.0,0.49,0.55,0.52,0.41,0.0,0.47,0.49,0.44,0.55,0.37,0.45,0.43,0.65,0.0,0.45,0.41,0.0,0.34,0.38,0.0,0.34,0.0,0.36,0.0,0.55,100.07
