,MELI,GLOB,CCU.SN,GGAL,AGRO,YPF,CENCOSUD.SN,ARCO,ANDINA-B.SN,SSRM CN,DESP,BMA,YRI.TO,PAM,TEO,LOMA,TGS,CEPU,CRESY,BBAR,CAAP,SUPV,EDN,IRS,IRCP,CASH,IRS/WS,B 08/12/21,n/a,B 0 08/12/21,YPF.,SSRM,CD8.,BFP.,FRGXX,SUM
08/18/2021,27.36,21.08,3.99,3.91,3.44,4.1,3.61,3.26,3.47,3.11,2.88,2.83,2.86,2.95,2.02,2.07,1.44,1.12,0.91,1.0,0.74,0.56,0.43,0.41,0.27,0.0,0.04,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/19/2021,26.85,21.68,4.06,3.9,3.51,4.09,3.6,3.22,3.41,3.13,2.88,2.81,2.88,2.91,1.99,2.04,1.43,1.1,0.9,1.01,0.72,0.55,0.46,0.41,0.27,0.0,0.04,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/20/2021,26.56,22.5,4.12,3.9,3.51,4.08,3.46,3.11,3.37,3.1,2.67,2.82,2.88,2.86,2.03,2.03,1.43,1.07,0.88,1.02,0.74,0.54,0.46,0.4,0.27,0.0,0.04,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/23/2021,26.72,23.02,4.18,3.93,3.42,3.8,3.48,3.06,3.46,3.0,2.63,2.87,2.81,2.78,2.0,1.93,1.46,1.05,0.81,1.0,0.73,0.53,0.46,0.43,0.26,0.0,0.04,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/24/2021,26.72,23.02,4.18,3.93,3.42,3.8,3.48,3.06,3.46,3.0,2.63,2.87,2.81,2.78,2.0,1.93,1.46,1.05,0.81,1.0,0.73,0.53,0.46,0.43,0.26,0.0,0.04,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/25/2021,26.71,23.28,4.12,3.99,3.36,3.75,3.46,3.15,3.33,2.95,2.6,2.88,2.76,2.79,2.03,1.92,1.42,1.07,0.83,1.03,0.71,0.54,0.42,0.42,0.26,0.0,0.04,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/26/2021,26.46,23.33,3.99,4.08,3.35,3.8,3.42,3.1,3.32,3.03,2.6,2.98,2.83,2.8,2.03,1.91,1.46,1.09,0.82,1.05,0.69,0.54,0.45,0.42,0.26,0.0,0.04,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/27/2021,26.3,23.12,3.78,4.31,3.4,3.9,3.3,3.11,3.26,2.96,2.6,3.15,2.78,2.92,2.01,1.94,1.47,1.13,0.83,1.11,0.7,0.57,0.48,0.42,0.26,0.0,0.04,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/30/2021,25.96,23.34,3.82,4.43,3.35,3.95,3.39,3.04,3.26,2.9,2.63,3.19,2.69,2.86,2.04,1.86,1.52,1.12,0.81,1.17,0.7,0.57,0.55,0.4,0.25,0.0,0.04,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/31/2021,25.96,23.34,3.82,4.43,3.35,3.95,3.39,3.04,3.26,2.9,2.63,3.19,2.69,2.86,2.04,1.86,1.52,1.12,0.81,1.17,0.7,0.57,0.55,0.4,0.25,0.0,0.04,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/01/2021,25.91,23.3,3.76,4.43,3.36,4.01,3.33,3.01,3.19,2.97,2.65,3.24,2.73,2.92,2.01,1.88,1.49,1.08,0.82,1.21,0.71,0.58,0.54,0.41,0.26,0.0,0.04,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/02/2021,25.62,23.1,3.71,4.67,3.29,4.03,3.29,2.91,3.15,2.87,2.58,3.44,2.61,3.03,2.05,1.9,1.57,1.15,0.84,1.27,0.73,0.63,0.65,0.42,0.3,0.0,0.03,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/03/2021,21.56,18.95,4.01,5.14,4.09,4.49,4.25,3.09,3.67,4.42,2.74,3.67,4.26,3.25,2.16,2.05,1.64,1.26,0.9,1.36,0.79,0.69,0.66,0.46,0.34,0.0,0.03,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/06/2021,22.4,19.15,3.97,4.97,4.03,4.37,4.2,3.15,3.73,4.38,2.62,3.54,4.14,3.09,2.04,2.01,1.61,1.18,0.89,1.32,0.78,0.67,0.69,0.49,0.34,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/08/2021,22.44,19.44,4.05,4.9,4.0,4.25,4.3,3.14,3.67,4.46,2.59,3.48,4.27,3.03,1.97,1.97,1.56,1.14,0.87,1.3,0.77,0.68,0.66,0.47,0.35,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/09/2021,22.44,19.44,4.05,4.9,4.0,4.25,4.3,3.14,3.67,4.46,2.59,3.48,4.27,3.03,1.97,1.97,1.56,1.14,0.87,1.3,0.77,0.68,0.66,0.47,0.35,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/10/2021,22.23,19.06,3.97,5.25,4.04,4.52,4.01,3.15,3.56,4.24,2.61,3.67,4.09,3.22,2.01,1.98,1.59,1.27,0.89,1.38,0.76,0.73,0.66,0.48,0.37,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
09/13/2021,22.06,19.4,3.97,5.24,4.05,4.6,4.16,3.06,3.59,4.27,2.6,3.69,4.14,3.08,2.01,1.89,1.58,1.21,0.87,1.34,0.82,0.69,0.61,0.48,0.35,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/14/2021,22.06,19.4,3.97,5.24,4.05,4.6,4.16,3.06,3.59,4.27,2.6,3.69,4.14,3.08,2.01,1.89,1.58,1.21,0.87,1.34,0.82,0.69,0.61,0.48,0.35,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/15/2021,21.89,19.56,3.97,5.17,4.14,4.56,4.22,3.1,3.62,4.2,2.65,3.68,4.11,3.05,2.0,1.92,1.57,1.19,0.85,1.34,0.83,0.7,0.6,0.46,0.35,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/16/2021,21.45,18.68,3.8,5.52,4.17,4.69,4.19,3.17,3.64,4.22,2.64,3.88,4.08,3.31,2.04,1.9,1.7,1.36,0.87,1.4,0.82,0.73,0.67,0.48,0.36,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,21.55,19.06,3.76,5.39,4.26,4.64,4.07,3.13,3.55,4.3,2.67,3.93,4.12,3.23,2.07,1.89,1.64,1.35,0.85,1.34,0.82,0.7,0.63,0.46,0.36,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/20/2021,21.77,19.13,3.76,5.3,4.57,4.62,4.12,3.1,3.53,4.0,2.69,3.82,3.96,3.28,2.06,1.89,1.62,1.44,0.85,1.33,0.79,0.68,0.63,0.46,0.36,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/21/2021,21.77,19.13,3.76,5.3,4.57,4.62,4.12,3.1,3.53,4.0,2.69,3.82,3.96,3.28,2.06,1.89,1.62,1.44,0.85,1.33,0.79,0.68,0.63,0.46,0.36,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/22/2021,21.97,19.05,3.79,5.31,4.52,4.52,4.15,3.07,3.56,4.11,2.67,3.91,3.95,3.19,1.97,1.92,1.61,1.46,0.81,1.34,0.81,0.67,0.63,0.45,0.36,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/23/2021,22.28,19.51,3.72,4.97,4.18,4.44,4.21,3.07,3.67,4.23,2.81,3.6,4.16,3.14,2.03,1.96,1.55,1.32,0.8,1.23,0.84,0.62,0.63,0.44,0.35,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/24/2021,22.37,20.03,3.64,4.83,4.22,4.27,4.22,3.09,3.66,4.2,2.74,3.49,4.14,3.14,2.02,1.98,1.54,1.31,0.8,1.19,0.84,0.61,0.63,0.44,0.35,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/27/2021,22.67,20.17,3.72,4.76,4.23,4.15,4.23,3.12,3.61,4.04,2.84,3.42,4.02,3.11,2.0,1.91,1.5,1.41,0.81,1.2,0.83,0.62,0.61,0.43,0.36,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/28/2021,22.67,20.17,3.72,4.76,4.23,4.15,4.23,3.12,3.61,4.04,2.84,3.42,4.02,3.11,2.0,1.91,1.5,1.41,0.81,1.2,0.83,0.62,0.61,0.43,0.36,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/29/2021,22.74,20.07,3.75,4.72,4.23,4.12,4.28,3.12,3.62,4.07,3.05,3.32,4.01,3.08,2.0,1.9,1.51,1.38,0.8,1.2,0.83,0.61,0.59,0.42,0.35,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
09/30/2021,21.96,18.88,3.83,4.98,4.32,4.22,4.6,3.19,3.67,4.17,3.08,3.52,4.08,3.18,2.05,1.98,1.54,1.42,0.84,1.27,0.85,0.66,0.68,0.44,0.36,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/01/2021,25.05,20.07,4.67,3.89,3.93,0.0,3.69,3.69,3.79,0.0,3.1,2.85,3.16,2.98,2.08,2.21,1.45,1.17,0.0,0.0,0.84,0.57,0.45,0.48,0.31,0.0,0.04,0.0,0.0,6.01,3.96,3.35,1.05,1.03,1.01,106.88
10/04/2021,21.25,18.11,3.88,5.27,4.33,4.4,4.77,3.17,3.65,4.22,3.02,3.65,4.18,3.42,2.09,2.04,1.66,1.46,0.82,1.33,0.86,0.68,0.68,0.45,0.38,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/05/2021,21.25,18.11,3.88,5.27,4.33,4.4,4.77,3.17,3.65,4.22,3.02,3.65,4.18,3.42,2.09,2.04,1.66,1.46,0.82,1.33,0.86,0.68,0.68,0.45,0.38,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/06/2021,21.16,18.03,3.74,5.37,4.29,4.43,4.69,3.18,3.71,4.21,3.13,3.73,4.12,3.42,2.12,2.03,1.7,1.47,0.84,1.33,0.87,0.69,0.67,0.51,0.32,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/07/2021,20.56,17.87,3.66,5.42,4.25,4.55,4.75,3.2,3.71,4.38,3.08,3.68,4.28,3.61,2.13,2.03,1.8,1.47,0.89,1.32,0.87,0.7,0.67,0.52,0.34,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/08/2021,20.35,17.98,3.63,5.47,4.29,4.7,4.6,3.19,3.75,4.37,3.1,3.72,4.25,3.63,2.16,1.99,1.76,1.5,0.89,1.35,0.85,0.7,0.67,0.52,0.34,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/11/2021,20.02,18.33,3.68,5.45,4.31,4.62,4.47,3.26,3.6,4.44,3.22,3.64,4.39,3.59,2.15,1.98,1.76,1.55,0.86,1.32,0.91,0.69,0.68,0.49,0.33,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,99.97
10/12/2021,20.02,18.33,3.68,5.45,4.31,4.62,4.47,3.26,3.6,4.44,3.22,3.64,4.39,3.59,2.15,1.98,1.76,1.55,0.86,1.32,0.91,0.69,0.68,0.49,0.33,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,99.97
10/13/2021,19.65,17.97,3.77,5.51,4.32,4.68,4.6,3.18,3.6,4.52,3.31,3.66,4.48,3.65,2.18,2.0,1.77,1.56,0.88,1.34,0.92,0.7,0.71,0.5,0.31,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/14/2021,19.03,17.8,3.77,5.56,4.38,4.65,4.6,3.11,3.6,4.53,3.33,3.66,4.49,4.02,2.17,2.01,1.86,1.74,0.91,1.33,0.92,0.7,0.77,0.5,0.33,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/15/2021,19.08,18.35,3.72,5.59,4.39,4.48,3.87,3.09,3.53,4.58,3.35,3.63,4.55,3.96,2.2,2.02,1.87,1.65,0.91,1.33,0.91,0.72,0.7,0.5,0.33,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/18/2021,19.5,19.38,3.58,5.46,4.17,4.34,3.66,3.03,3.32,4.76,3.32,3.65,4.69,3.92,2.22,2.05,1.84,1.7,0.93,1.3,0.86,0.71,0.68,0.5,0.32,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
10/19/2021,19.5,19.38,3.58,5.46,4.17,4.34,3.66,3.03,3.32,4.76,3.32,3.65,4.69,3.92,2.22,2.05,1.84,1.7,0.93,1.3,0.86,0.71,0.68,0.5,0.32,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.02999999999999
