,SHOP,ZM,ZS,TWLO,DBX,COUP,PAYC,FSLY,PCTY,CRM,NFLX,AKAM,EVBG,WDAY,DLR,PLAN,PFPT,WK,XRO.AX,BOX,QLYS,SPSC,MIME,CSOD,TWOU,MSFT,AMZN,VNET,GOOGL,BABA,CONE,COR,QTS,BNFT,IBM,3888.HK,CASH,Benefitfocus Inc,Cash,4165.T,n/a,FRGXX,KD WI,KD,FIVN,WIX,VMEO,FRSH,PUBM,KC,SUM
07/29/2021,5.08,4.46,4.9,4.61,4.4,3.37,4.18,3.54,4.14,3.97,3.62,3.78,3.62,3.57,3.6,3.62,3.56,3.79,3.5,2.59,2.68,2.46,2.43,2.19,2.31,2.03,1.94,1.17,1.44,0.94,0.78,0.52,0.47,0.29,0.25,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,5.06,4.45,4.94,4.54,4.46,3.28,4.21,3.53,4.12,3.96,3.68,3.86,3.61,3.5,3.69,3.63,3.61,3.71,3.48,2.64,2.68,2.44,2.46,2.18,2.32,2.04,1.93,1.09,1.44,0.92,0.8,0.53,0.47,0.29,0.25,0.15,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/02/2021,4.88,4.6,4.94,4.53,4.52,3.24,4.27,3.54,4.2,3.91,3.59,3.78,3.62,3.51,3.51,3.67,3.55,3.77,3.44,2.7,2.73,2.46,2.47,2.17,2.33,2.01,1.88,1.27,1.45,0.96,0.76,0.51,0.46,0.29,0.25,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/03/2021,4.88,4.6,4.94,4.53,4.52,3.24,4.27,3.54,4.2,3.91,3.59,3.78,3.62,3.51,3.51,3.67,3.55,3.77,3.44,2.7,2.73,2.46,2.47,2.17,2.33,2.01,1.88,1.27,1.45,0.96,0.76,0.51,0.46,0.29,0.25,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/04/2021,4.84,4.54,4.95,4.34,4.51,3.26,4.29,3.49,4.28,3.9,3.64,3.82,3.65,3.52,3.62,3.7,3.57,3.75,3.42,2.67,2.73,2.68,2.46,2.18,2.22,2.01,1.75,1.28,1.45,0.96,0.76,0.52,0.47,0.29,0.25,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/05/2021,4.94,4.53,5.0,4.39,4.47,3.27,4.28,3.43,4.19,3.87,3.61,3.78,3.65,3.5,3.62,3.65,3.56,3.72,3.46,2.72,2.75,2.71,2.43,2.2,2.27,2.01,1.75,1.31,1.45,0.98,0.77,0.53,0.47,0.29,0.25,0.17,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,4.9,4.49,5.09,4.29,4.5,3.24,4.28,3.35,4.19,3.88,3.58,3.81,3.6,3.53,3.64,3.63,3.56,3.71,3.49,2.73,2.8,2.75,2.56,2.21,2.17,2.02,1.77,1.29,1.46,0.97,0.78,0.53,0.47,0.28,0.25,0.17,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/09/2021,4.89,4.69,5.1,4.29,4.43,3.19,4.81,2.84,4.44,3.96,3.62,3.54,3.65,3.48,3.59,3.65,3.5,3.85,3.59,2.7,2.77,2.75,2.55,2.22,2.08,2.01,1.73,1.24,1.43,0.96,0.79,0.52,0.46,0.25,0.25,0.16,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/10/2021,4.89,4.69,5.1,4.29,4.43,3.19,4.81,2.84,4.44,3.96,3.62,3.54,3.65,3.48,3.59,3.65,3.5,3.85,3.59,2.7,2.77,2.75,2.55,2.22,2.08,2.01,1.73,1.24,1.43,0.96,0.79,0.52,0.46,0.25,0.25,0.16,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/11/2021,4.8,4.49,4.96,4.22,4.5,3.16,4.89,2.92,4.87,3.94,3.57,3.56,3.59,3.46,3.6,3.62,3.49,3.76,3.54,2.7,2.68,2.74,2.53,2.51,2.05,2.0,1.71,1.3,1.42,0.94,0.79,0.52,0.46,0.25,0.25,0.16,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/13/2021,4.83,4.39,4.96,4.18,4.55,3.07,4.83,3.02,5.01,3.85,3.56,3.62,3.52,3.41,3.56,3.49,3.5,3.77,3.54,2.75,2.9,2.69,2.55,2.52,2.0,1.99,1.7,1.37,1.44,0.94,0.78,0.52,0.46,0.26,0.24,0.18,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/16/2021,4.72,4.24,4.97,4.17,4.49,3.15,4.94,3.04,5.12,3.9,3.5,3.64,3.59,3.44,3.6,3.65,3.47,3.73,3.35,2.85,2.9,2.74,2.55,2.51,1.88,2.0,1.68,1.37,1.43,0.92,0.79,0.52,0.45,0.25,0.25,0.18,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/17/2021,4.72,4.24,4.96,4.16,4.49,3.15,4.94,3.04,5.12,3.9,3.5,3.64,3.59,3.44,3.6,3.65,3.47,3.73,3.35,2.85,2.9,2.74,2.55,2.51,1.88,1.99,1.68,1.37,1.43,0.92,0.79,0.52,0.45,0.25,0.25,0.18,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/18/2021,4.71,4.15,5.01,4.13,4.48,3.13,4.85,2.98,5.04,3.95,3.54,3.61,3.65,3.47,3.64,3.7,3.48,3.73,3.4,2.87,2.89,2.8,2.56,2.51,1.86,2.02,1.67,1.36,1.43,0.9,0.79,0.53,0.46,0.25,0.25,0.17,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,4.72,4.1,5.02,3.95,4.4,3.11,4.99,2.84,5.09,3.94,3.58,3.61,3.61,3.43,3.72,3.74,3.51,3.82,3.44,2.78,2.87,2.91,2.57,2.53,1.86,2.05,1.68,1.31,1.45,0.88,0.8,0.54,0.46,0.25,0.25,0.17,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/20/2021,4.73,4.1,5.01,3.96,4.38,3.1,4.91,2.94,5.13,3.94,3.61,3.62,3.66,3.44,3.76,3.77,3.53,3.86,3.38,2.71,2.91,2.9,2.57,2.55,1.84,2.05,1.67,1.2,1.44,0.84,0.8,0.54,0.46,0.25,0.25,0.17,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/23/2021,4.7,3.96,5.1,3.94,4.28,3.14,4.87,2.83,5.06,4.05,3.8,3.57,3.66,3.46,3.8,3.77,3.55,3.87,3.48,2.73,2.93,2.96,2.54,2.55,1.79,2.08,1.64,1.17,1.43,0.78,0.8,0.55,0.46,0.25,0.24,0.17,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/24/2021,4.7,3.96,5.1,3.94,4.28,3.14,4.87,2.83,5.06,4.05,3.8,3.57,3.66,3.46,3.8,3.77,3.55,3.87,3.48,2.73,2.93,2.96,2.54,2.55,1.79,2.08,1.64,1.17,1.43,0.78,0.8,0.55,0.46,0.25,0.24,0.17,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,4.6,3.97,5.08,3.89,4.3,3.18,4.95,2.92,5.11,4.05,3.78,3.58,3.7,3.48,3.76,3.72,3.51,3.86,3.44,2.73,2.89,3.01,2.58,2.53,1.77,2.11,1.62,1.16,1.43,0.76,0.8,0.55,0.46,0.25,0.24,0.17,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/26/2021,4.62,3.96,5.09,3.92,4.27,3.26,4.94,3.03,5.13,4.05,3.76,3.52,3.7,3.52,3.68,3.78,3.46,3.82,3.46,2.72,2.85,3.06,2.57,2.49,1.8,2.08,1.63,1.17,1.43,0.76,0.79,0.53,0.45,0.26,0.24,0.17,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/27/2021,4.74,3.89,5.16,3.94,4.21,3.28,4.97,3.04,5.13,3.99,3.71,3.46,3.71,3.52,3.62,3.73,3.41,3.88,3.45,2.76,2.87,3.01,2.64,2.46,1.78,2.04,1.63,1.28,1.43,0.8,0.77,0.52,0.45,0.25,0.24,0.18,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/30/2021,4.66,3.9,5.34,3.92,4.19,3.25,4.92,2.98,5.05,4.11,3.69,3.44,3.69,3.54,3.56,3.66,3.42,3.8,3.45,2.68,2.93,3.06,2.93,2.46,1.73,2.02,1.63,1.41,1.42,0.77,0.76,0.52,0.45,0.24,0.23,0.13,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/31/2021,4.66,3.9,5.34,3.92,4.19,3.25,4.92,2.98,5.05,4.11,3.69,3.44,3.69,3.54,3.56,3.66,3.42,3.8,3.45,2.68,2.93,3.06,2.93,2.46,1.73,2.02,1.63,1.41,1.42,0.77,0.76,0.52,0.45,0.24,0.23,0.13,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
09/01/2021,4.64,3.84,5.4,3.94,4.19,3.38,4.88,2.98,5.14,4.03,3.69,3.36,3.68,3.8,3.53,3.77,3.38,3.86,3.41,2.71,2.9,3.11,2.85,2.43,1.73,1.99,1.62,1.24,1.43,0.74,0.75,0.51,0.44,0.25,0.23,0.13,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/02/2021,4.67,3.9,5.46,3.96,4.18,3.43,4.91,2.95,5.17,3.99,3.72,3.37,3.73,3.8,3.57,3.71,3.36,3.87,3.37,2.66,2.9,3.14,2.8,2.41,1.74,2.0,1.7,1.29,1.47,0.74,0.77,0.52,0.0,0.25,0.23,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/03/2021,4.78,3.38,5.69,4.01,4.42,3.56,5.11,3.06,5.38,4.16,3.9,3.51,3.92,3.98,3.75,3.77,0.0,3.93,3.56,2.79,3.05,3.23,2.99,2.52,1.83,2.06,1.79,1.41,1.53,0.79,0.8,0.54,0.0,0.25,0.23,0.14,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/06/2021,4.74,3.38,5.65,3.95,4.39,3.65,5.13,3.26,5.34,4.06,3.95,3.44,3.98,3.87,3.77,4.13,0.0,3.99,3.56,2.72,3.05,3.18,2.91,2.46,1.81,2.02,1.75,1.44,1.48,0.8,0.81,0.55,0.0,0.24,0.23,0.14,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/08/2021,4.74,3.38,5.71,4.01,4.39,3.71,5.04,3.19,5.29,4.07,3.93,3.43,4.04,3.93,3.73,4.15,0.0,4.05,3.5,2.74,3.03,3.13,2.92,2.44,1.78,2.0,1.74,1.51,1.47,0.79,0.82,0.55,0.0,0.24,0.22,0.14,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/09/2021,4.74,3.38,5.71,4.01,4.39,3.71,5.04,3.19,5.29,4.07,3.93,3.43,4.04,3.93,3.73,4.15,0.0,4.05,3.5,2.74,3.03,3.13,2.92,2.44,1.78,2.0,1.74,1.51,1.47,0.79,0.82,0.55,0.0,0.24,0.22,0.14,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/10/2021,4.72,3.43,5.66,3.96,4.31,3.75,4.95,3.19,5.29,4.07,4.06,3.42,4.07,3.91,3.72,4.18,0.0,4.08,3.56,2.72,2.97,3.14,2.89,2.46,1.76,2.01,1.77,1.55,1.49,0.81,0.81,0.54,0.0,0.23,0.22,0.14,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/13/2021,4.7,3.44,5.71,3.95,4.46,3.7,5.0,3.2,5.32,4.07,4.08,3.51,3.99,3.92,3.6,4.14,0.0,4.02,3.45,2.54,3.04,3.26,2.91,2.5,1.74,2.03,1.79,1.53,1.51,0.79,0.8,0.55,0.0,0.24,0.23,0.14,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/14/2021,4.7,3.44,5.71,3.95,4.46,3.7,5.0,3.2,5.32,4.07,4.08,3.51,3.99,3.92,3.6,4.14,0.0,4.02,3.45,2.54,3.04,3.26,2.91,2.5,1.74,2.03,1.79,1.53,1.51,0.79,0.8,0.55,0.0,0.24,0.23,0.14,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/15/2021,4.69,3.54,5.57,3.88,4.43,3.63,5.01,3.11,5.35,4.06,4.13,3.5,4.04,3.92,3.58,4.16,0.0,4.04,3.58,2.49,3.01,3.32,2.94,2.53,1.72,2.04,1.81,1.53,1.5,0.8,0.81,0.54,0.0,0.24,0.23,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/16/2021,4.69,3.43,5.54,3.82,4.41,3.61,4.93,3.12,5.21,4.03,4.08,3.51,4.03,3.95,3.55,4.14,0.0,4.18,3.6,2.56,3.14,3.4,2.99,2.55,1.71,2.06,1.81,1.52,1.52,0.79,0.81,0.54,0.0,0.24,0.23,0.14,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/17/2021,4.61,3.33,5.71,3.84,4.33,3.59,4.96,3.14,5.41,4.04,4.01,3.52,4.05,3.98,3.57,4.14,0.0,4.27,3.51,2.48,3.14,3.44,2.95,2.55,1.68,2.08,1.81,1.45,1.53,0.77,0.81,0.55,0.0,0.23,0.23,0.14,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/20/2021,4.63,3.25,5.61,3.89,4.33,3.59,5.04,3.12,5.56,4.09,4.02,3.49,4.03,3.95,3.58,4.11,0.0,4.2,3.52,2.49,3.11,3.56,2.98,2.52,1.69,2.09,1.81,1.37,1.52,0.74,0.81,0.55,0.0,0.23,0.23,0.13,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/21/2021,4.63,3.25,5.61,3.89,4.33,3.59,5.04,3.12,5.56,4.09,4.02,3.49,4.03,3.95,3.58,4.11,0.0,4.2,3.52,2.49,3.11,3.56,2.98,2.52,1.69,2.09,1.81,1.37,1.52,0.74,0.81,0.55,0.0,0.23,0.23,0.13,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/22/2021,4.66,3.35,5.63,3.96,4.28,3.56,5.04,3.15,5.5,4.08,4.03,3.39,4.0,3.9,3.58,4.13,0.0,4.31,3.57,2.48,3.1,3.57,2.88,2.51,1.77,2.05,1.79,1.38,1.49,0.76,0.8,0.54,0.0,0.23,0.22,0.14,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/23/2021,4.58,3.33,5.62,3.87,4.27,3.65,5.15,3.04,5.68,4.12,4.01,3.43,4.05,3.96,3.66,4.14,0.0,4.17,3.47,2.48,3.05,3.65,2.88,2.56,1.71,2.05,1.77,1.28,1.49,0.73,0.82,0.55,0.0,0.23,0.23,0.14,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/24/2021,4.56,3.28,5.63,3.91,4.27,3.59,5.21,3.0,5.75,4.09,3.97,3.36,4.09,3.98,3.63,4.13,0.0,4.19,3.46,2.54,3.05,3.76,2.89,2.55,1.73,2.04,1.75,1.27,1.49,0.72,0.82,0.55,0.0,0.23,0.22,0.14,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/27/2021,4.57,3.18,5.65,3.87,4.3,3.55,5.28,2.99,5.86,4.3,4.01,3.33,3.98,3.88,3.49,4.09,0.0,4.21,3.54,2.64,3.08,3.88,2.81,2.49,1.73,2.02,1.75,1.28,1.48,0.71,0.79,0.53,0.0,0.23,0.22,0.13,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/28/2021,4.57,3.18,5.65,3.87,4.3,3.55,5.28,2.99,5.86,4.3,4.01,3.33,3.98,3.88,3.49,4.09,0.0,4.21,3.54,2.64,3.08,3.88,2.81,2.49,1.73,2.02,1.75,1.28,1.48,0.71,0.79,0.53,0.0,0.23,0.22,0.13,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/29/2021,4.48,3.14,5.66,3.82,4.35,3.57,5.33,2.92,5.89,4.43,4.01,3.38,4.02,3.86,3.45,4.06,0.0,4.18,3.44,2.7,3.07,3.96,2.82,2.49,1.72,2.03,1.76,1.25,1.49,0.68,0.77,0.53,0.0,0.23,0.22,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/30/2021,4.54,3.19,5.58,3.89,4.34,3.5,5.31,3.01,5.86,4.39,4.06,3.39,4.01,3.85,3.38,4.06,0.0,4.11,3.51,2.73,3.03,3.89,2.85,2.52,1.73,2.02,1.77,1.27,1.5,0.71,0.76,0.52,0.0,0.24,0.23,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
10/01/2021,4.48,3.19,5.51,3.78,4.3,3.37,5.32,2.93,5.81,4.45,4.17,3.43,3.99,3.83,3.48,4.04,0.0,4.05,3.4,2.71,3.03,4.02,2.86,2.62,1.77,2.02,1.79,1.26,1.5,0.75,0.84,0.54,0.0,0.25,0.24,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
10/04/2021,4.44,3.19,5.6,3.75,4.25,3.33,5.41,2.97,5.85,4.44,4.36,3.39,3.94,3.8,3.45,4.0,0.0,4.12,3.36,2.67,3.02,4.02,2.84,2.63,1.73,2.01,1.78,1.29,1.48,0.73,0.84,0.53,0.0,0.24,0.24,0.15,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/05/2021,4.44,3.19,5.6,3.75,4.25,3.33,5.41,2.97,5.85,4.44,4.36,3.39,3.94,3.8,3.45,4.0,0.0,4.12,3.36,2.67,3.02,4.02,2.84,2.63,1.73,2.01,1.78,1.29,1.48,0.73,0.84,0.53,0.0,0.24,0.24,0.15,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/06/2021,4.38,3.22,5.55,3.76,4.24,3.33,5.46,2.94,5.88,4.46,4.33,3.38,3.94,3.82,3.42,4.02,0.0,4.11,3.37,2.77,2.99,4.02,2.87,2.6,1.75,2.04,1.76,1.25,1.5,0.71,0.84,0.53,0.0,0.24,0.24,0.14,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/07/2021,4.4,3.23,5.49,3.75,4.14,3.3,5.51,2.77,5.84,4.53,4.4,3.39,3.77,3.87,3.54,3.94,0.0,4.08,3.42,2.83,3.01,3.98,2.89,2.69,1.79,2.06,1.77,1.22,1.51,0.71,0.86,0.55,0.0,0.24,0.25,0.14,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
