,4SPX  211130C02173090,4SPX  211130P04346180,4SPX  211130P03621820,4XSP  211130C00217310,4XSP  211130P00434620,4XSP  211130P00362180,4XSP  211130P00217310,4XSP  211130P00307850,Cash&Other,4XSP  211130C00434620,4XSP  211130C00397240,4SPX  211130P02173090,4SPX  211130P03078550,4SPX  211130C04346180,4SPX  211130C03972410,SUM
09/02/2021,118.6,2.21,0.53,0.42,0.01,0.0,0.0,0.0,-0.02,-0.02,-0.05,-0.08,-0.21,-6.58,-14.81,100.0
09/03/2021,118.66,2.24,0.52,0.08,0.0,0.0,0.0,0.0,-0.01,0.0,-0.01,-0.09,-0.21,-6.46,-14.71,100.01
09/06/2021,119.17,2.08,0.49,0.08,0.0,0.0,0.0,0.0,-0.02,0.0,-0.01,-0.07,-0.2,-6.61,-14.91,100.0
09/07/2021,119.22,2.04,0.48,0.08,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,-0.08,-0.19,-6.6,-14.94,100.01000000000002
09/08/2021,119.22,2.04,0.48,0.08,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,-0.08,-0.19,-6.6,-14.94,100.01000000000002
09/09/2021,119.22,2.04,0.48,0.08,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,-0.08,-0.19,-6.6,-14.94,100.01000000000002
09/10/2021,118.4,2.24,0.54,0.08,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.08,-0.22,-6.35,-14.6,100.0
09/13/2021,117.07,2.35,0.52,0.24,0.0,0.0,0.0,0.0,-0.02,-0.01,-0.03,-0.07,-0.2,-5.86,-14.0,99.99
09/14/2021,115.67,2.73,0.64,0.24,0.01,0.0,0.0,0.0,-0.02,-0.01,-0.03,-0.09,-0.25,-5.46,-13.42,100.01
09/15/2021,115.67,2.73,0.64,0.24,0.01,0.0,0.0,0.0,-0.02,-0.01,-0.03,-0.09,-0.25,-5.46,-13.42,100.01
09/16/2021,116.14,2.46,0.55,0.24,0.01,0.0,0.0,0.0,-0.02,-0.01,-0.03,-0.07,-0.21,-5.5,-13.56,100.0
09/17/2021,114.28,2.7,0.57,0.65,0.02,0.0,0.0,0.0,0.0,-0.03,-0.07,-0.08,-0.21,-4.97,-12.86,100.0
09/20/2021,115.53,2.31,0.47,0.66,0.01,0.0,0.0,0.0,0.0,-0.03,-0.08,-0.06,-0.18,-5.3,-13.35,99.98
09/21/2021,113.34,2.82,0.58,0.64,0.02,0.0,0.0,0.0,-0.01,-0.03,-0.07,-0.07,-0.21,-4.62,-12.4,99.99
09/22/2021,113.34,2.82,0.58,0.64,0.02,0.0,0.0,0.0,-0.01,-0.03,-0.07,-0.07,-0.21,-4.62,-12.4,99.99
09/23/2021,110.05,3.88,0.84,0.62,0.02,0.0,0.0,0.0,-0.01,-0.02,-0.06,-0.11,-0.3,-3.81,-11.11,99.98999999999998
09/24/2021,109.66,3.82,0.75,0.62,0.02,0.0,0.0,0.0,-0.01,-0.02,-0.06,-0.09,-0.26,-3.58,-10.85,100.0
09/27/2021,114.33,2.29,0.39,0.65,0.01,0.0,0.0,0.0,-0.02,-0.03,-0.07,-0.04,-0.14,-4.71,-12.68,99.98000000000002
09/28/2021,114.65,2.11,0.33,0.65,0.01,0.0,0.0,0.0,-0.02,-0.03,-0.07,-0.03,-0.12,-4.7,-12.78,100.0
09/29/2021,114.65,2.11,0.33,0.65,0.01,0.0,0.0,0.0,-0.02,-0.03,-0.07,-0.03,-0.12,-4.7,-12.78,100.0
09/30/2021,113.9,2.24,0.36,0.65,0.01,0.0,0.0,0.0,-0.02,-0.03,-0.07,-0.03,-0.12,-4.44,-12.45,100.0
10/01/2021,109.97,3.38,0.56,0.62,0.02,0.0,0.0,0.0,-0.03,-0.02,-0.06,-0.06,-0.18,-3.43,-10.79,99.98
10/04/2021,108.97,3.57,0.54,0.23,0.01,0.0,0.0,0.0,-0.02,-0.01,-0.02,-0.04,-0.16,-2.91,-10.17,99.99
10/05/2021,110.27,3.11,0.45,0.24,0.01,0.0,0.0,0.0,-0.02,-0.01,-0.02,-0.04,-0.14,-3.2,-10.65,100.0
10/06/2021,110.27,3.11,0.45,0.24,0.01,0.0,0.0,0.0,-0.02,-0.01,-0.02,-0.04,-0.14,-3.2,-10.65,100.0
10/07/2021,107.77,3.75,0.52,0.23,0.01,0.0,0.0,0.0,-0.02,-0.01,-0.02,-0.04,-0.15,-2.5,-9.55,99.99
10/08/2021,109.64,3.13,0.41,0.23,0.01,0.0,0.0,0.0,-0.03,-0.01,-0.02,-0.03,-0.12,-2.91,-10.32,99.98
10/11/2021,110.54,2.89,0.37,0.24,0.01,0.0,0.0,0.0,-0.03,-0.01,-0.02,-0.03,-0.11,-3.17,-10.69,99.99
10/12/2021,111.63,2.42,0.27,0.24,0.01,0.0,0.0,0.0,-0.04,-0.01,-0.02,-0.02,-0.08,-3.32,-11.09,99.99
10/13/2021,111.63,2.42,0.27,0.24,0.01,0.0,0.0,0.0,-0.04,-0.01,-0.02,-0.02,-0.08,-3.32,-11.09,99.99
10/14/2021,110.12,2.7,0.28,0.24,0.01,0.0,0.0,0.0,-0.04,-0.01,-0.02,-0.02,-0.08,-2.82,-10.36,100.0
10/15/2021,109.27,2.78,0.28,0.23,0.01,0.0,0.0,0.0,-0.04,-0.01,-0.02,-0.02,-0.08,-2.48,-9.93,99.99
10/18/2021,113.89,1.58,0.17,0.29,0.0,0.0,0.0,0.0,-0.02,-0.01,-0.03,-0.01,-0.06,-3.77,-12.04,99.98999999999998
