,DLTR,QCOM,AMD,CF,HPQ,NVDA,STX,PLD,GWW,ABBV,UNP,JNPR,LOW,ACN,CSX,CVS,ANTM,UNH,TTWO,NSC,ADP,EIX,HD,SPG,FCX,GIS,ED,APD,IRM,CMA,BK,PPG,ORCL,HUM,MU,INTU,HPE,KEYS,AVB,ITW,DGX,VRSK,PFG,TEL,LRCX,ROK,TMO,WY,MSI,MKC,KR,RSG,PEP,FE,UPS,WHR,PG,ANSS,MCD,STT,APTV,CL,KEY,MOS,LIN,ABT,BAC,NTRS,INFO,MSFT,HLT,GM,ES,NEM,IR,RF,HSY,MDLZ,CI,CSCO,CBRE,MCO,WM,MRK,TT,AKAM,CB,AFL,FITB,TJX,KIM,NDAQ,DOV,MAR,SPGI,BXP,AMAT,YUM,NKE,JCI,ECL,AWK,MA,ROP,EW,NLSN,TPR,AMGN,ALB,K,TRV,HAS,GILD,CAT,FTV,HOLX,PEAK,NLOK,BAX,CPB,JPM,IPG,DE,BDX,SWK,WBA,SNA,VZ,ETSY,MET,AXP,URI,LNC,HIG,KHC,WELL,CRM,ADSK,HST,SBUX,LYB,MS,V,SRE,EA,BKNG,TXN,REGN,CAH,EMR,DOW,INTC,CMI,PNR,BSX,GE,BBY,DAL,TGT,COF,PVH,XYL,ALK,NWL,A,ALL,VTR,EBAY,RCL,T,DVA,IVZ,ILMN,HBI,CMCSA,C,DXC,ADBE,DIS,BIIB,MDT,ATVI,GPS,GOOGL,GOOG,AGPXX,TRL.,ALS.,AWC.,PEP.,DUT.,PG4.,TRVC.,GE.,n/a,SUM
01/03/2022,0.54,0.53,0.53,0.63,0.55,0.49,0.57,0.57,0.55,0.59,0.55,0.59,0.54,0.59,0.54,0.59,0.6,0.57,0.56,0.56,0.56,0.55,0.54,0.54,0.58,0.56,0.56,0.55,0.58,0.55,0.55,0.56,0.52,0.56,0.58,0.51,0.54,0.55,0.55,0.55,0.58,0.53,0.0,0.54,0.54,0.53,0.56,0.56,0.57,0.58,0.56,0.55,0.0,0.56,0.56,0.55,0.57,0.53,0.55,0.53,0.52,0.59,0.54,0.58,0.56,0.57,0.54,0.54,0.54,0.54,0.58,0.52,0.56,0.59,0.55,0.51,0.56,0.58,0.59,0.59,0.56,0.0,0.54,0.56,0.53,0.56,0.55,0.55,0.53,0.55,0.56,0.54,0.56,0.56,0.54,0.52,0.54,0.56,0.52,0.55,0.54,0.0,0.56,0.56,0.58,0.53,0.5,0.56,0.47,0.55,0.54,0.54,0.56,0.54,0.53,0.54,0.56,0.57,0.57,0.55,0.53,0.55,0.5,0.55,0.53,0.57,0.54,0.55,0.47,0.55,0.52,0.5,0.54,0.54,0.58,0.54,0.51,0.54,0.54,0.54,0.54,0.52,0.56,0.56,0.56,0.57,0.51,0.52,0.57,0.54,0.55,0.53,0.53,0.52,0.54,0.0,0.51,0.54,0.52,0.52,0.55,0.52,0.54,0.51,0.55,0.0,0.54,0.53,0.55,0.57,0.0,0.52,0.54,0.0,0.55,0.0,0.55,0.46,0.54,0.54,0.49,0.6,0.54,0.29,0.23,0.0,0.58,0.58,0.57,0.56,0.53,0.54,0.52,0.51,0.0,100.11
01/04/2022,0.54,0.53,0.53,0.63,0.55,0.49,0.57,0.57,0.55,0.59,0.55,0.59,0.54,0.59,0.54,0.59,0.6,0.57,0.56,0.56,0.56,0.55,0.54,0.54,0.58,0.56,0.56,0.55,0.58,0.55,0.55,0.56,0.52,0.56,0.58,0.51,0.54,0.55,0.55,0.55,0.58,0.53,0.0,0.54,0.54,0.53,0.56,0.56,0.57,0.58,0.56,0.55,0.0,0.56,0.56,0.55,0.57,0.53,0.55,0.53,0.52,0.59,0.54,0.58,0.56,0.57,0.54,0.54,0.54,0.54,0.58,0.52,0.56,0.59,0.55,0.51,0.56,0.58,0.59,0.59,0.56,0.0,0.54,0.56,0.53,0.56,0.55,0.55,0.53,0.55,0.56,0.54,0.56,0.56,0.54,0.52,0.54,0.56,0.52,0.55,0.54,0.0,0.56,0.56,0.58,0.53,0.5,0.56,0.47,0.55,0.54,0.54,0.56,0.54,0.53,0.54,0.56,0.57,0.57,0.55,0.53,0.55,0.5,0.55,0.53,0.57,0.54,0.55,0.47,0.55,0.52,0.5,0.54,0.54,0.58,0.54,0.51,0.54,0.54,0.54,0.54,0.52,0.56,0.56,0.56,0.57,0.51,0.52,0.57,0.54,0.55,0.53,0.53,0.52,0.54,0.0,0.51,0.54,0.52,0.52,0.55,0.52,0.54,0.51,0.55,0.0,0.54,0.53,0.55,0.57,0.0,0.52,0.54,0.0,0.55,0.0,0.55,0.46,0.54,0.54,0.49,0.6,0.54,0.29,0.23,0.0,0.58,0.58,0.57,0.56,0.53,0.54,0.52,0.51,0.0,100.11
01/05/2022,0.54,0.53,0.53,0.63,0.55,0.49,0.57,0.57,0.55,0.59,0.55,0.59,0.54,0.59,0.54,0.59,0.6,0.57,0.56,0.56,0.56,0.55,0.54,0.54,0.58,0.56,0.56,0.55,0.58,0.55,0.55,0.56,0.52,0.56,0.58,0.51,0.54,0.55,0.55,0.55,0.58,0.53,0.0,0.54,0.54,0.53,0.56,0.56,0.57,0.58,0.56,0.55,0.0,0.56,0.56,0.55,0.57,0.53,0.55,0.53,0.52,0.59,0.54,0.58,0.56,0.57,0.54,0.54,0.54,0.54,0.58,0.52,0.56,0.59,0.55,0.51,0.56,0.58,0.59,0.59,0.56,0.0,0.54,0.56,0.53,0.56,0.55,0.55,0.53,0.55,0.56,0.54,0.56,0.56,0.54,0.52,0.54,0.56,0.52,0.55,0.54,0.0,0.56,0.56,0.58,0.53,0.5,0.56,0.47,0.55,0.54,0.54,0.56,0.54,0.53,0.54,0.56,0.57,0.57,0.55,0.53,0.55,0.5,0.55,0.53,0.57,0.54,0.55,0.47,0.55,0.52,0.5,0.54,0.54,0.58,0.54,0.51,0.54,0.54,0.54,0.54,0.52,0.56,0.56,0.56,0.57,0.51,0.52,0.57,0.54,0.55,0.53,0.53,0.52,0.54,0.0,0.51,0.54,0.52,0.52,0.55,0.52,0.54,0.51,0.55,0.0,0.54,0.53,0.55,0.57,0.0,0.52,0.54,0.0,0.55,0.0,0.55,0.46,0.54,0.54,0.49,0.6,0.54,0.29,0.23,0.0,0.58,0.58,0.57,0.56,0.53,0.54,0.52,0.51,0.0,100.11
01/06/2022,0.54,0.54,0.55,0.63,0.55,0.5,0.57,0.55,0.54,0.59,0.54,0.58,0.53,0.58,0.54,0.6,0.6,0.57,0.56,0.55,0.56,0.54,0.53,0.54,0.57,0.56,0.56,0.53,0.57,0.56,0.55,0.55,0.53,0.56,0.59,0.5,0.55,0.54,0.55,0.54,0.55,0.52,0.0,0.54,0.55,0.52,0.54,0.55,0.56,0.58,0.56,0.54,0.0,0.56,0.56,0.55,0.57,0.52,0.55,0.54,0.52,0.58,0.54,0.6,0.54,0.56,0.56,0.54,0.52,0.53,0.57,0.54,0.54,0.58,0.53,0.53,0.56,0.58,0.6,0.59,0.56,0.0,0.53,0.56,0.51,0.56,0.54,0.55,0.54,0.54,0.55,0.52,0.55,0.55,0.52,0.55,0.54,0.55,0.52,0.53,0.53,0.0,0.57,0.54,0.57,0.54,0.5,0.57,0.48,0.56,0.54,0.54,0.56,0.54,0.51,0.51,0.56,0.58,0.57,0.56,0.54,0.55,0.51,0.55,0.52,0.58,0.53,0.55,0.45,0.56,0.53,0.49,0.55,0.54,0.58,0.53,0.51,0.55,0.55,0.54,0.55,0.53,0.57,0.56,0.57,0.59,0.52,0.51,0.58,0.53,0.55,0.55,0.53,0.51,0.55,0.0,0.51,0.55,0.52,0.53,0.55,0.5,0.56,0.52,0.53,0.0,0.55,0.53,0.57,0.59,0.0,0.53,0.54,0.0,0.55,0.0,0.57,0.46,0.55,0.55,0.5,0.61,0.57,0.29,0.23,0.0,0.59,0.58,0.56,0.55,0.52,0.55,0.54,0.52,0.0,100.04
01/07/2022,0.54,0.54,0.53,0.63,0.56,0.48,0.58,0.54,0.54,0.59,0.54,0.57,0.54,0.57,0.54,0.59,0.59,0.55,0.57,0.55,0.55,0.53,0.53,0.55,0.58,0.56,0.55,0.54,0.56,0.58,0.57,0.55,0.53,0.55,0.59,0.49,0.57,0.52,0.55,0.55,0.52,0.51,0.0,0.55,0.53,0.52,0.51,0.55,0.55,0.58,0.57,0.53,0.0,0.55,0.56,0.56,0.57,0.51,0.55,0.56,0.54,0.58,0.57,0.59,0.55,0.54,0.57,0.56,0.52,0.52,0.57,0.57,0.53,0.57,0.53,0.55,0.56,0.58,0.59,0.57,0.57,0.0,0.53,0.56,0.51,0.55,0.55,0.56,0.56,0.55,0.56,0.51,0.56,0.56,0.52,0.56,0.53,0.55,0.52,0.53,0.53,0.0,0.58,0.53,0.57,0.55,0.51,0.57,0.49,0.56,0.55,0.54,0.55,0.57,0.51,0.49,0.56,0.58,0.58,0.56,0.55,0.56,0.54,0.54,0.53,0.58,0.54,0.56,0.43,0.57,0.54,0.51,0.57,0.55,0.59,0.54,0.49,0.53,0.55,0.52,0.57,0.54,0.56,0.56,0.57,0.58,0.51,0.5,0.58,0.55,0.56,0.54,0.55,0.51,0.55,0.0,0.52,0.55,0.52,0.54,0.56,0.5,0.57,0.53,0.51,0.0,0.56,0.51,0.58,0.59,0.0,0.54,0.52,0.0,0.54,0.0,0.58,0.45,0.54,0.54,0.5,0.6,0.57,0.28,0.23,0.0,0.58,0.59,0.54,0.55,0.52,0.56,0.54,0.53,0.0,100.16
01/10/2022,0.55,0.54,0.5,0.62,0.56,0.47,0.57,0.53,0.54,0.59,0.55,0.57,0.54,0.54,0.55,0.59,0.57,0.53,0.52,0.56,0.55,0.52,0.53,0.56,0.56,0.57,0.56,0.54,0.52,0.61,0.58,0.55,0.52,0.45,0.59,0.47,0.58,0.51,0.55,0.55,0.53,0.5,0.0,0.54,0.53,0.51,0.52,0.55,0.54,0.58,0.59,0.53,0.0,0.56,0.57,0.55,0.57,0.49,0.56,0.57,0.55,0.58,0.6,0.59,0.55,0.54,0.58,0.57,0.52,0.5,0.56,0.55,0.54,0.56,0.54,0.58,0.57,0.59,0.58,0.57,0.55,0.0,0.53,0.58,0.52,0.54,0.56,0.58,0.59,0.55,0.56,0.51,0.56,0.56,0.51,0.57,0.53,0.56,0.51,0.54,0.53,0.0,0.58,0.54,0.55,0.53,0.51,0.57,0.47,0.57,0.57,0.55,0.55,0.58,0.51,0.5,0.56,0.59,0.58,0.58,0.55,0.56,0.55,0.54,0.54,0.58,0.55,0.57,0.43,0.59,0.55,0.5,0.57,0.56,0.6,0.55,0.46,0.51,0.54,0.51,0.57,0.55,0.56,0.58,0.55,0.58,0.51,0.49,0.58,0.56,0.57,0.56,0.56,0.5,0.55,0.0,0.51,0.55,0.52,0.54,0.56,0.5,0.57,0.54,0.51,0.0,0.56,0.53,0.55,0.6,0.0,0.55,0.54,0.0,0.55,0.0,0.58,0.42,0.55,0.54,0.5,0.58,0.57,0.27,0.22,0.0,0.57,0.6,0.53,0.56,0.51,0.56,0.56,0.54,0.0,100.12
01/11/2022,0.55,0.53,0.49,0.62,0.56,0.46,0.56,0.52,0.53,0.59,0.55,0.57,0.53,0.53,0.54,0.6,0.56,0.52,0.52,0.56,0.55,0.52,0.51,0.55,0.58,0.57,0.56,0.54,0.52,0.62,0.59,0.54,0.53,0.44,0.59,0.45,0.59,0.5,0.54,0.55,0.52,0.48,0.57,0.53,0.51,0.5,0.51,0.55,0.53,0.58,0.6,0.53,0.56,0.56,0.57,0.53,0.57,0.48,0.55,0.59,0.53,0.58,0.61,0.6,0.54,0.55,0.6,0.58,0.51,0.5,0.56,0.55,0.55,0.56,0.53,0.59,0.57,0.59,0.6,0.57,0.55,0.5,0.53,0.59,0.5,0.53,0.57,0.59,0.59,0.54,0.56,0.5,0.57,0.56,0.51,0.57,0.51,0.55,0.49,0.53,0.53,0.53,0.57,0.52,0.55,0.54,0.48,0.57,0.48,0.57,0.58,0.54,0.55,0.59,0.5,0.49,0.56,0.58,0.58,0.59,0.56,0.55,0.56,0.55,0.53,0.59,0.55,0.58,0.4,0.59,0.55,0.49,0.58,0.56,0.6,0.55,0.46,0.51,0.57,0.5,0.58,0.55,0.56,0.59,0.56,0.58,0.49,0.49,0.6,0.55,0.58,0.55,0.57,0.5,0.54,0.55,0.51,0.57,0.52,0.56,0.55,0.5,0.58,0.54,0.5,0.62,0.57,0.53,0.58,0.61,0.57,0.56,0.52,0.0,0.55,0.56,0.57,0.42,0.55,0.53,0.5,0.58,0.56,0.27,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,99.97000000000004
01/12/2022,0.55,0.53,0.49,0.62,0.56,0.46,0.56,0.52,0.53,0.59,0.55,0.57,0.53,0.53,0.54,0.6,0.56,0.52,0.52,0.56,0.55,0.52,0.51,0.55,0.58,0.57,0.56,0.54,0.52,0.62,0.59,0.54,0.53,0.44,0.59,0.45,0.59,0.5,0.54,0.55,0.52,0.48,0.57,0.53,0.51,0.5,0.51,0.55,0.53,0.58,0.6,0.53,0.56,0.56,0.57,0.53,0.57,0.48,0.55,0.59,0.53,0.58,0.61,0.6,0.54,0.55,0.6,0.58,0.51,0.5,0.56,0.55,0.55,0.56,0.53,0.59,0.57,0.59,0.6,0.57,0.55,0.5,0.53,0.59,0.5,0.53,0.57,0.59,0.59,0.54,0.56,0.5,0.57,0.56,0.51,0.57,0.51,0.55,0.49,0.53,0.53,0.53,0.57,0.52,0.55,0.54,0.48,0.57,0.48,0.57,0.58,0.54,0.55,0.59,0.5,0.49,0.56,0.58,0.58,0.59,0.56,0.55,0.56,0.55,0.53,0.59,0.55,0.58,0.4,0.59,0.55,0.49,0.58,0.56,0.6,0.55,0.46,0.51,0.57,0.5,0.58,0.55,0.56,0.59,0.56,0.58,0.49,0.49,0.6,0.55,0.58,0.55,0.57,0.5,0.54,0.55,0.51,0.57,0.52,0.56,0.55,0.5,0.58,0.54,0.5,0.62,0.57,0.53,0.58,0.61,0.57,0.56,0.52,0.0,0.55,0.56,0.57,0.42,0.55,0.53,0.5,0.58,0.56,0.27,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,99.97000000000004
01/13/2022,0.53,0.53,0.49,0.6,0.57,0.46,0.58,0.52,0.53,0.6,0.55,0.57,0.52,0.54,0.53,0.61,0.57,0.53,0.45,0.54,0.54,0.53,0.5,0.55,0.58,0.58,0.56,0.54,0.52,0.62,0.6,0.54,0.54,0.47,0.59,0.46,0.59,0.5,0.54,0.55,0.54,0.48,0.57,0.54,0.51,0.51,0.53,0.55,0.54,0.57,0.61,0.53,0.56,0.57,0.56,0.53,0.57,0.48,0.55,0.59,0.52,0.58,0.61,0.6,0.54,0.55,0.6,0.59,0.5,0.5,0.55,0.54,0.55,0.58,0.53,0.59,0.57,0.59,0.6,0.58,0.54,0.49,0.52,0.61,0.51,0.54,0.57,0.6,0.6,0.53,0.57,0.49,0.56,0.55,0.5,0.57,0.51,0.55,0.48,0.53,0.53,0.52,0.57,0.52,0.54,0.53,0.46,0.58,0.46,0.58,0.58,0.54,0.56,0.59,0.51,0.52,0.56,0.59,0.58,0.59,0.56,0.55,0.56,0.57,0.53,0.6,0.55,0.57,0.4,0.6,0.55,0.48,0.57,0.56,0.61,0.55,0.46,0.51,0.56,0.49,0.58,0.55,0.55,0.59,0.55,0.58,0.5,0.51,0.57,0.56,0.57,0.57,0.57,0.5,0.55,0.54,0.52,0.56,0.51,0.57,0.53,0.49,0.58,0.55,0.5,0.61,0.57,0.52,0.57,0.62,0.58,0.55,0.52,0.0,0.56,0.57,0.57,0.43,0.55,0.54,0.51,0.57,0.54,0.28,0.22,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,100.0
01/14/2022,0.53,0.54,0.51,0.62,0.57,0.47,0.56,0.51,0.53,0.6,0.53,0.58,0.52,0.54,0.53,0.61,0.59,0.53,0.47,0.54,0.54,0.52,0.5,0.55,0.59,0.57,0.55,0.54,0.52,0.62,0.6,0.55,0.53,0.48,0.59,0.46,0.59,0.51,0.54,0.54,0.53,0.49,0.0,0.54,0.51,0.51,0.52,0.55,0.54,0.57,0.59,0.52,0.0,0.56,0.55,0.53,0.56,0.49,0.54,0.59,0.5,0.57,0.61,0.6,0.54,0.55,0.6,0.59,0.5,0.5,0.56,0.54,0.53,0.58,0.53,0.58,0.56,0.59,0.62,0.58,0.55,0.0,0.52,0.6,0.51,0.54,0.56,0.6,0.6,0.54,0.57,0.5,0.56,0.56,0.5,0.56,0.52,0.53,0.47,0.54,0.52,0.0,0.57,0.52,0.55,0.54,0.47,0.58,0.49,0.57,0.57,0.54,0.55,0.58,0.51,0.51,0.56,0.59,0.57,0.58,0.56,0.55,0.56,0.57,0.53,0.6,0.54,0.57,0.4,0.6,0.56,0.5,0.57,0.56,0.61,0.54,0.47,0.52,0.57,0.48,0.59,0.56,0.55,0.58,0.55,0.59,0.5,0.51,0.58,0.56,0.58,0.58,0.56,0.5,0.56,0.0,0.52,0.57,0.51,0.57,0.53,0.5,0.58,0.54,0.5,0.0,0.55,0.53,0.58,0.61,0.0,0.56,0.6,0.0,0.56,0.0,0.56,0.43,0.55,0.55,0.51,0.59,0.55,0.28,0.22,0.0,0.58,0.61,0.51,0.56,0.5,0.57,0.57,0.55,0.0,100.1
01/17/2022,0.52,0.54,0.49,0.59,0.57,0.45,0.56,0.52,0.54,0.59,0.54,0.58,0.53,0.52,0.53,0.61,0.58,0.53,0.49,0.54,0.53,0.51,0.5,0.56,0.61,0.57,0.55,0.53,0.51,0.63,0.61,0.55,0.53,0.48,0.6,0.44,0.6,0.5,0.55,0.55,0.49,0.47,0.57,0.54,0.52,0.51,0.5,0.57,0.53,0.58,0.62,0.52,0.56,0.57,0.55,0.53,0.56,0.46,0.54,0.6,0.5,0.57,0.62,0.62,0.54,0.52,0.59,0.6,0.5,0.49,0.56,0.55,0.54,0.58,0.53,0.59,0.57,0.6,0.62,0.58,0.55,0.49,0.52,0.6,0.5,0.54,0.56,0.6,0.6,0.53,0.57,0.49,0.56,0.56,0.5,0.57,0.54,0.52,0.47,0.53,0.52,0.51,0.58,0.52,0.54,0.54,0.48,0.58,0.48,0.58,0.57,0.54,0.55,0.6,0.52,0.49,0.56,0.58,0.57,0.59,0.56,0.56,0.56,0.57,0.55,0.6,0.55,0.57,0.36,0.6,0.55,0.5,0.57,0.57,0.61,0.55,0.46,0.5,0.57,0.47,0.6,0.54,0.55,0.58,0.56,0.59,0.5,0.5,0.58,0.57,0.59,0.57,0.57,0.49,0.57,0.56,0.51,0.57,0.5,0.58,0.54,0.49,0.59,0.56,0.5,0.61,0.56,0.51,0.59,0.62,0.59,0.56,0.57,0.0,0.56,0.0,0.58,0.42,0.54,0.54,0.52,0.58,0.57,0.28,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,100.08
01/18/2022,0.51,0.56,0.51,0.59,0.56,0.45,0.56,0.52,0.54,0.6,0.54,0.58,0.51,0.51,0.53,0.61,0.59,0.54,0.48,0.54,0.53,0.51,0.48,0.53,0.61,0.59,0.55,0.53,0.5,0.64,0.61,0.54,0.53,0.48,0.61,0.44,0.61,0.5,0.54,0.55,0.48,0.46,0.58,0.54,0.56,0.5,0.5,0.56,0.53,0.58,0.61,0.52,0.57,0.57,0.54,0.51,0.56,0.46,0.54,0.6,0.48,0.58,0.63,0.65,0.53,0.52,0.58,0.6,0.5,0.5,0.55,0.54,0.54,0.58,0.53,0.6,0.58,0.6,0.63,0.58,0.54,0.48,0.51,0.6,0.48,0.54,0.56,0.61,0.62,0.52,0.57,0.48,0.56,0.55,0.49,0.57,0.57,0.52,0.47,0.52,0.5,0.5,0.58,0.51,0.53,0.53,0.47,0.59,0.48,0.59,0.57,0.53,0.55,0.61,0.51,0.49,0.56,0.59,0.57,0.6,0.53,0.56,0.56,0.57,0.54,0.6,0.55,0.57,0.36,0.61,0.54,0.49,0.59,0.57,0.62,0.55,0.47,0.5,0.56,0.46,0.61,0.52,0.55,0.59,0.56,0.59,0.51,0.51,0.59,0.57,0.59,0.58,0.58,0.48,0.58,0.56,0.5,0.56,0.5,0.58,0.53,0.48,0.58,0.56,0.5,0.61,0.56,0.51,0.6,0.63,0.6,0.57,0.58,0.0,0.57,0.0,0.58,0.43,0.53,0.55,0.52,0.59,0.57,0.28,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,100.04000000000002
01/19/2022,0.51,0.56,0.51,0.59,0.56,0.45,0.56,0.52,0.54,0.6,0.54,0.58,0.51,0.51,0.53,0.61,0.59,0.54,0.48,0.54,0.53,0.51,0.48,0.53,0.61,0.59,0.55,0.53,0.5,0.64,0.61,0.54,0.53,0.48,0.61,0.44,0.61,0.5,0.54,0.55,0.48,0.46,0.58,0.54,0.56,0.5,0.5,0.56,0.53,0.58,0.61,0.52,0.57,0.57,0.54,0.51,0.56,0.46,0.54,0.6,0.48,0.58,0.63,0.65,0.53,0.52,0.58,0.6,0.5,0.5,0.55,0.54,0.54,0.58,0.53,0.6,0.58,0.6,0.63,0.58,0.54,0.48,0.51,0.6,0.48,0.54,0.56,0.61,0.62,0.52,0.57,0.48,0.56,0.55,0.49,0.57,0.57,0.52,0.47,0.52,0.5,0.5,0.58,0.51,0.53,0.53,0.47,0.59,0.48,0.59,0.57,0.53,0.55,0.61,0.51,0.49,0.56,0.59,0.57,0.6,0.53,0.56,0.56,0.57,0.54,0.6,0.55,0.57,0.36,0.61,0.54,0.49,0.59,0.57,0.62,0.55,0.47,0.5,0.56,0.46,0.61,0.52,0.55,0.59,0.56,0.59,0.51,0.51,0.59,0.57,0.59,0.58,0.58,0.48,0.58,0.56,0.5,0.56,0.5,0.58,0.53,0.48,0.58,0.56,0.5,0.61,0.56,0.51,0.6,0.63,0.6,0.57,0.58,0.0,0.57,0.0,0.58,0.43,0.53,0.55,0.52,0.59,0.57,0.28,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,100.04000000000002
01/20/2022,0.51,0.56,0.51,0.59,0.56,0.45,0.56,0.52,0.54,0.6,0.54,0.58,0.51,0.51,0.53,0.61,0.59,0.54,0.48,0.54,0.53,0.51,0.48,0.53,0.61,0.59,0.55,0.53,0.5,0.64,0.61,0.54,0.53,0.48,0.61,0.44,0.61,0.5,0.54,0.55,0.48,0.46,0.58,0.54,0.56,0.5,0.5,0.56,0.53,0.58,0.61,0.52,0.57,0.57,0.54,0.51,0.56,0.46,0.54,0.6,0.48,0.58,0.63,0.65,0.53,0.52,0.58,0.6,0.5,0.5,0.55,0.54,0.54,0.58,0.53,0.6,0.58,0.6,0.63,0.58,0.54,0.48,0.51,0.6,0.48,0.54,0.56,0.61,0.62,0.52,0.57,0.48,0.56,0.55,0.49,0.57,0.57,0.52,0.47,0.52,0.5,0.5,0.58,0.51,0.53,0.53,0.47,0.59,0.48,0.59,0.57,0.53,0.55,0.61,0.51,0.49,0.56,0.59,0.57,0.6,0.53,0.56,0.56,0.57,0.54,0.6,0.55,0.57,0.36,0.61,0.54,0.49,0.59,0.57,0.62,0.55,0.47,0.5,0.56,0.46,0.61,0.52,0.55,0.59,0.56,0.59,0.51,0.51,0.59,0.57,0.59,0.58,0.58,0.48,0.58,0.56,0.5,0.56,0.5,0.58,0.53,0.48,0.58,0.56,0.5,0.61,0.56,0.51,0.6,0.63,0.6,0.57,0.58,0.0,0.57,0.0,0.58,0.43,0.53,0.55,0.52,0.59,0.57,0.28,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,100.04000000000002
