,ABNB,UBER,LYFT,BKNG,TRN.L,MMYT,TCOM,696.HK,EXPE,TRIP,780.HK,AMS.MC,TRVG,SABR,WEB.AX,032350.KS,CVCB3.SA,FD.V,EDR.MC,039130.KS,DESP,OTB.L,3926.T,6191.T,LMN.SW,6030.T,2477.T,ACSO.L,VALT,TOUR,7048.T,1745.HK,TZOO,First American Government Obligs X,HSW.L,039130.KS.1,039130.KS.2,n/a,FGXXX,688101.SS,688001.SS,CVCB1,CLV.,CTD.AX,DIDI,BLDE,HLO.AX,SDR.AX,SUM
11/22/2021,5.71,4.79,4.01,4.48,3.01,4.96,0.0,3.66,4.7,3.41,3.72,4.31,2.79,3.11,4.06,3.33,1.92,0.31,3.17,2.83,2.35,1.71,2.03,2.17,1.67,1.94,1.07,1.56,0.35,0.45,0.59,0.03,0.0,0.0,0.0,0.0,0.0,-0.03,0.41,0.0,0.0,0.0,4.16,4.15,3.94,2.27,0.91,0.0,100.01
11/23/2021,5.71,4.79,4.01,4.48,3.01,4.96,0.0,3.66,4.7,3.41,3.72,4.31,2.79,3.11,4.06,3.33,1.92,0.31,3.17,2.83,2.35,1.71,2.03,2.17,1.67,1.94,1.07,1.56,0.35,0.45,0.59,0.03,0.0,0.0,0.0,0.0,0.0,-0.03,0.41,0.0,0.0,0.0,4.16,4.15,3.94,2.27,0.91,0.0,100.01
01/03/2022,4.27,4.8,4.03,4.73,3.86,4.2,0.0,3.82,4.83,4.1,3.13,3.97,2.53,3.93,3.85,3.49,1.84,0.0,4.44,2.98,2.35,2.1,1.71,2.01,1.69,1.44,0.99,1.6,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,3.28,4.02,2.56,2.15,0.0,4.32,100.01
01/03/2022,4.27,4.8,4.03,4.73,3.86,4.2,0.0,3.82,4.83,4.1,3.13,3.97,2.53,3.93,3.85,3.49,1.84,0.0,4.44,2.98,2.35,2.1,1.71,2.01,1.69,1.44,0.99,1.6,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,3.28,4.02,2.56,2.15,0.0,4.32,100.01
01/03/2022,4.27,4.8,4.03,4.73,3.86,4.2,0.0,3.82,4.83,4.1,3.13,3.97,2.53,3.93,3.85,3.49,1.84,0.0,4.44,2.98,2.35,2.1,1.71,2.01,1.69,1.44,0.99,1.6,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,3.28,4.02,2.56,2.15,0.0,4.32,100.01
01/04/2022,4.27,4.8,4.03,4.73,3.86,4.2,0.0,3.82,4.83,4.1,3.13,3.97,2.53,3.93,3.85,3.49,1.84,0.0,4.44,2.98,2.35,2.1,1.71,2.01,1.69,1.44,0.99,1.6,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,3.28,4.02,2.56,2.15,0.0,4.32,100.01
01/05/2022,4.27,4.8,4.03,4.73,3.86,4.2,0.0,3.82,4.83,4.1,3.13,3.97,2.53,3.93,3.85,3.49,1.84,0.0,4.44,2.98,2.35,2.1,1.71,2.01,1.69,1.44,0.99,1.6,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,3.28,4.02,2.56,2.15,0.0,4.32,100.01
01/06/2022,4.27,4.8,4.03,4.73,3.86,4.2,0.0,3.82,4.83,4.1,3.13,3.97,2.53,3.93,3.85,3.49,1.84,0.0,4.44,2.98,2.35,2.1,1.71,2.01,1.69,1.44,0.99,1.6,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,3.28,4.02,2.56,2.15,0.0,4.32,100.01
01/12/2022,4.28,4.77,4.07,4.91,3.84,3.94,0.0,3.92,4.88,4.28,3.23,4.26,2.84,4.32,3.92,3.56,1.6,0.0,4.48,3.02,2.36,2.3,1.53,1.62,1.77,1.29,0.91,1.55,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.56,0.0,0.0,0.0,3.38,4.09,2.24,1.81,0.0,4.07,99.99
01/13/2022,4.28,4.77,4.07,4.91,3.84,3.94,0.0,3.92,4.88,4.28,3.23,4.26,2.84,4.32,3.92,3.56,1.6,0.0,4.48,3.02,2.36,2.3,1.53,1.62,1.77,1.29,0.91,1.55,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.56,0.0,0.0,0.0,3.38,4.09,2.24,1.81,0.0,4.07,99.99
01/14/2022,4.32,4.97,4.18,4.94,3.73,3.88,0.0,4.07,4.92,4.39,3.22,4.26,2.82,4.35,4.0,3.47,1.62,0.0,4.42,2.88,2.36,2.28,1.53,1.59,1.73,1.27,0.89,1.61,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,3.22,4.09,2.43,1.73,0.0,3.84,100.02
01/17/2022,4.27,4.91,4.02,4.94,3.65,4.11,0.0,4.05,5.01,4.35,3.34,4.31,2.87,4.41,4.09,3.62,1.69,0.0,3.84,3.12,2.37,2.33,1.49,1.6,1.76,1.26,0.88,1.59,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,3.26,4.1,2.32,1.62,0.0,3.8,100.0
01/18/2022,4.27,4.91,4.02,4.94,3.65,4.11,0.0,4.05,5.01,4.35,3.34,4.31,2.87,4.41,4.09,3.62,1.69,0.0,3.84,3.12,2.37,2.33,1.49,1.6,1.76,1.26,0.88,1.59,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,3.26,4.1,2.32,1.62,0.0,3.8,100.0
01/19/2022,4.27,4.91,4.02,4.94,3.65,4.11,0.0,4.05,5.01,4.35,3.34,4.31,2.87,4.41,4.09,3.62,1.69,0.0,3.84,3.12,2.37,2.33,1.49,1.6,1.76,1.26,0.88,1.59,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,3.26,4.1,2.32,1.62,0.0,3.8,100.0
01/20/2022,4.27,4.91,4.02,4.94,3.65,4.11,0.0,4.05,5.01,4.35,3.34,4.31,2.87,4.41,4.09,3.62,1.69,0.0,3.84,3.12,2.37,2.33,1.49,1.6,1.76,1.26,0.88,1.59,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,3.26,4.1,2.32,1.62,0.0,3.8,100.0
01/21/2022,4.28,4.82,3.94,4.99,3.53,4.08,0.0,4.09,5.06,4.44,3.34,4.35,2.84,4.54,3.97,3.6,1.68,0.0,3.88,3.15,2.45,2.36,1.5,1.62,1.73,1.25,0.87,1.61,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,3.24,4.02,2.35,1.63,0.0,3.75,99.99
01/24/2022,4.12,4.49,3.6,4.94,3.6,4.15,0.0,4.4,4.94,4.38,3.6,4.39,2.84,4.39,4.15,3.46,1.71,0.0,3.85,3.09,2.42,2.33,1.55,1.71,1.74,1.28,0.91,1.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,3.28,4.04,2.58,1.54,0.0,3.88,100.01
01/25/2022,4.14,4.41,3.61,4.98,3.82,4.05,0.0,4.37,4.89,4.3,3.63,4.28,2.78,4.41,3.94,3.43,1.86,0.0,3.93,3.05,2.28,2.35,1.6,1.8,1.75,1.31,0.9,1.58,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,3.46,3.9,2.71,1.57,0.0,3.85,99.98
01/26/2022,4.18,4.26,3.59,4.88,3.47,4.07,0.0,4.57,4.89,4.31,3.91,4.38,2.78,4.13,3.89,3.49,1.89,0.0,3.95,3.05,2.36,2.33,1.73,1.95,1.75,1.39,0.95,1.55,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,3.6,3.78,2.5,1.54,0.0,3.81,99.99
01/27/2022,4.18,4.26,3.59,4.88,3.47,4.07,0.0,4.57,4.89,4.31,3.91,4.38,2.78,4.13,3.89,3.49,1.89,0.0,3.95,3.05,2.36,2.33,1.73,1.95,1.75,1.39,0.95,1.55,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,3.6,3.78,2.5,1.54,0.0,3.81,99.99
01/28/2022,4.03,4.4,3.71,5.0,3.31,4.01,0.0,4.61,4.91,4.27,3.95,4.29,2.82,4.24,3.84,3.48,1.91,0.0,3.9,3.0,2.55,2.24,1.63,1.93,1.67,1.39,0.96,1.44,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,3.68,3.97,2.51,1.49,0.0,3.81,100.03000000000002
01/31/2022,3.92,4.3,3.63,5.22,3.35,3.86,0.0,4.83,5.1,4.18,4.1,4.43,2.82,4.36,3.67,3.15,2.19,0.0,3.84,2.83,2.87,2.57,1.46,1.89,1.85,1.33,0.87,1.52,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,3.62,3.87,2.14,1.49,0.0,3.63,100.01
02/01/2022,3.92,4.3,3.63,5.22,3.35,3.86,0.0,4.83,5.1,4.18,4.1,4.43,2.82,4.36,3.67,3.15,2.19,0.0,3.84,2.83,2.87,2.57,1.46,1.89,1.85,1.33,0.87,1.52,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,3.62,3.87,2.14,1.49,0.0,3.63,100.01
02/02/2022,3.92,4.3,3.63,5.22,3.35,3.86,0.0,4.83,5.1,4.18,4.1,4.43,2.82,4.36,3.67,3.15,2.19,0.0,3.84,2.83,2.87,2.57,1.46,1.89,1.85,1.33,0.87,1.52,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,3.62,3.87,2.14,1.49,0.0,3.63,100.01
02/03/2022,3.98,4.37,3.65,5.25,3.23,4.01,0.0,4.73,5.11,4.23,3.95,4.27,2.8,4.37,3.68,3.17,2.14,0.0,3.8,2.97,2.98,2.41,1.47,1.87,1.81,1.32,0.88,1.52,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,3.7,3.88,2.0,1.48,0.0,3.9,100.03
02/04/2022,4.13,4.46,3.78,5.14,3.3,4.18,0.0,4.53,5.17,4.28,3.83,4.24,2.86,4.41,3.69,3.05,2.2,0.0,3.74,2.85,3.01,2.33,1.48,1.95,1.82,1.34,0.87,1.51,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,3.74,3.86,1.87,1.53,0.0,3.77,99.98
02/07/2022,4.03,4.14,3.59,5.13,3.45,3.98,0.0,4.56,5.21,4.2,3.86,4.4,2.74,4.07,3.93,3.14,2.11,0.0,4.06,2.98,2.98,2.34,1.6,2.04,1.86,1.48,0.97,1.46,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.7,3.83,1.86,1.42,0.0,3.87,99.99
02/08/2022,4.03,4.14,3.59,5.13,3.45,3.98,0.0,4.56,5.21,4.2,3.86,4.4,2.74,4.07,3.93,3.14,2.11,0.0,4.06,2.98,2.98,2.34,1.6,2.04,1.86,1.48,0.97,1.46,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.7,3.83,1.86,1.42,0.0,3.87,99.99
02/09/2022,4.03,4.14,3.59,5.13,3.45,3.98,0.0,4.56,5.21,4.2,3.86,4.4,2.74,4.07,3.93,3.14,2.11,0.0,4.06,2.98,2.98,2.34,1.6,2.04,1.86,1.48,0.97,1.46,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.7,3.83,1.86,1.42,0.0,3.87,99.99
02/10/2022,4.1,4.34,3.72,5.04,3.27,4.21,0.0,4.34,5.12,4.26,3.95,4.18,2.81,4.02,4.07,3.41,1.91,0.0,3.96,3.14,2.91,2.19,1.58,2.04,1.82,1.43,0.93,1.41,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,3.73,3.99,1.78,1.55,0.0,3.82,100.0
02/11/2022,4.1,4.34,3.72,5.04,3.27,4.21,0.0,4.34,5.12,4.26,3.95,4.18,2.81,4.02,4.07,3.41,1.91,0.0,3.96,3.14,2.91,2.19,1.58,2.04,1.82,1.43,0.93,1.41,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,3.73,3.99,1.78,1.55,0.0,3.82,100.00000000000001
