,1299.HK,388.HK,669.HK,16.HK,1.HK,823.HK,3.HK,27.HK,1113.HK,2.HK,11.HK,J36.SI,2388.HK,1928.HK,1997.HK,6.HK,992.HK,868.HK,66.HK,288.HK,17.HK,12.HK,1821.HK,H78.SI,83.HK,4.HK,1876.HK,1308.HK,101.HK,2018.HK,522.HK,853.HK,1929.HK,1913.HK,1038.HK,322.HK,151.HK,1999.HK,19.HK,425.HK,1972.HK,1910.HK,345.HK,14.HK,336.HK,1128.HK,23.HK,10.HK,8.HK,880.HK,683.HK,2588.HK,1691.HK,973.HK,636.HK,551.HK,—,303.HK,659.HK,200.HK,3918.HK,D01.SI,220.HK,2314.HK,2778.HK,1316.HK,467.HK,6808.HK,69.HK,2282.HK,1208.HK,87.HK,179.HK,3331.HK,293.HK,1083.HK,142.HK,341.HK,665.HK,242.HK,272.HK,2038.HK,440.HK,1212.HK,308.HK,2356.HK,1788.HK,215.HK,6088.HK,1680.HK,HUN1,HUQ1,HUU1,SUM
08/03/2021,19.98,13.85,3.72,3.48,3.35,3.4,2.99,2.46,2.75,2.86,2.37,2.11,1.96,1.41,1.58,1.48,1.19,1.28,1.45,1.14,1.14,1.0,1.09,0.9,0.93,0.79,0.83,0.84,0.88,0.71,0.69,0.65,0.63,0.6,0.63,0.57,0.61,0.51,0.54,0.5,0.51,0.4,0.38,0.41,0.33,0.33,0.35,0.37,0.37,0.28,0.31,0.27,0.27,0.27,0.29,0.26,0.32,0.26,0.24,0.21,0.19,0.2,0.19,0.18,0.19,0.18,0.18,0.17,0.18,0.15,0.2,0.15,0.14,0.13,0.14,0.13,0.13,0.12,0.11,0.09,0.09,0.07,0.07,0.06,0.06,0.06,0.06,0.04,0.04,0.03,0.0,-0.01,0.0,100.0
08/04/2021,20.22,13.75,3.81,3.44,3.31,3.37,3.0,2.47,2.74,2.87,2.36,2.07,1.96,1.39,1.56,1.49,1.17,1.3,1.44,1.18,1.14,0.99,1.1,0.89,0.9,0.78,0.8,0.82,0.9,0.7,0.68,0.63,0.62,0.68,0.63,0.56,0.6,0.52,0.54,0.51,0.51,0.4,0.37,0.4,0.33,0.32,0.36,0.37,0.36,0.28,0.3,0.26,0.27,0.27,0.29,0.25,0.32,0.26,0.24,0.21,0.19,0.19,0.19,0.18,0.19,0.18,0.17,0.16,0.17,0.15,0.2,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.09,0.09,0.07,0.08,0.06,0.06,0.06,0.06,0.04,0.04,0.03,0.0,-0.01,0.0,99.95
08/05/2021,19.9,14.18,3.86,3.44,3.3,3.37,3.0,2.4,2.75,2.8,2.35,2.06,1.96,1.36,1.5,1.48,1.22,1.32,1.44,1.19,1.13,0.99,1.1,0.9,0.94,0.77,0.8,0.83,0.93,0.7,0.68,0.61,0.6,0.66,0.63,0.59,0.6,0.54,0.54,0.52,0.51,0.41,0.37,0.4,0.34,0.31,0.36,0.37,0.37,0.27,0.3,0.26,0.27,0.27,0.28,0.25,0.32,0.26,0.24,0.2,0.19,0.18,0.21,0.18,0.19,0.18,0.17,0.17,0.17,0.14,0.2,0.15,0.15,0.14,0.13,0.12,0.13,0.12,0.12,0.09,0.09,0.07,0.08,0.06,0.06,0.06,0.06,0.04,0.04,0.03,0.0,-0.01,0.0,100.01
08/06/2021,19.96,14.22,3.87,3.43,3.27,3.35,3.04,2.32,2.75,2.78,2.34,2.04,1.98,1.35,1.45,1.47,1.2,1.35,1.43,1.2,1.14,1.0,1.09,0.89,0.96,0.82,0.8,0.84,0.96,0.7,0.67,0.63,0.58,0.68,0.63,0.59,0.6,0.53,0.54,0.53,0.51,0.41,0.37,0.39,0.34,0.31,0.36,0.38,0.37,0.27,0.3,0.27,0.27,0.27,0.29,0.25,0.32,0.26,0.24,0.2,0.19,0.18,0.2,0.18,0.19,0.18,0.17,0.17,0.17,0.14,0.19,0.15,0.14,0.14,0.14,0.12,0.13,0.12,0.12,0.09,0.09,0.07,0.08,0.06,0.06,0.06,0.06,0.04,0.04,0.03,0.0,-0.01,0.0,100.05
08/11/2021,19.98,14.67,4.01,3.44,3.37,3.35,3.03,2.24,2.71,2.76,2.32,2.02,1.97,1.37,1.36,1.46,1.19,1.38,1.4,1.15,1.14,1.0,0.99,0.87,0.94,0.74,0.78,0.78,0.94,0.72,0.7,0.58,0.57,0.66,0.64,0.56,0.59,0.53,0.54,0.53,0.5,0.39,0.37,0.38,0.33,0.29,0.35,0.39,0.38,0.26,0.3,0.28,0.26,0.29,0.29,0.24,0.32,0.26,0.24,0.19,0.18,0.18,0.19,0.2,0.19,0.18,0.17,0.17,0.17,0.13,0.19,0.15,0.15,0.13,0.13,0.12,0.14,0.12,0.12,0.09,0.09,0.07,0.07,0.06,0.06,0.06,0.07,0.04,0.04,0.03,0.0,-0.01,0.0,99.97
08/13/2021,20.25,14.3,3.98,3.38,3.34,3.3,2.98,2.3,2.66,2.76,2.33,2.0,1.99,1.38,1.4,1.45,1.21,1.37,1.4,1.18,1.14,1.0,1.01,0.87,0.96,0.78,0.8,0.75,0.93,0.72,0.69,0.62,0.58,0.62,0.63,0.59,0.61,0.55,0.55,0.54,0.5,0.4,0.33,0.38,0.35,0.29,0.36,0.38,0.37,0.26,0.3,0.28,0.29,0.29,0.29,0.25,0.32,0.26,0.24,0.2,0.19,0.18,0.2,0.21,0.19,0.21,0.18,0.17,0.17,0.14,0.18,0.16,0.14,0.13,0.13,0.12,0.14,0.12,0.12,0.09,0.1,0.07,0.08,0.06,0.06,0.06,0.07,0.04,0.04,0.03,0.0,0.0,0.0,100.02
08/16/2021,19.97,13.88,4.45,3.48,3.42,3.31,3.03,2.32,2.67,2.78,2.35,1.99,1.99,1.37,1.41,1.47,1.32,1.37,1.41,1.17,1.16,1.02,0.94,0.86,0.93,0.76,0.79,0.75,0.94,0.71,0.68,0.58,0.59,0.62,0.64,0.57,0.62,0.55,0.56,0.53,0.5,0.41,0.34,0.37,0.33,0.29,0.37,0.38,0.37,0.26,0.31,0.3,0.29,0.28,0.3,0.25,0.24,0.26,0.23,0.2,0.19,0.18,0.18,0.21,0.19,0.21,0.2,0.18,0.17,0.13,0.19,0.16,0.14,0.13,0.14,0.12,0.13,0.12,0.12,0.09,0.1,0.07,0.08,0.06,0.06,0.07,0.07,0.04,0.04,0.03,0.0,0.0,0.0,100.04
08/18/2021,20.19,13.89,4.54,3.43,3.39,3.31,3.03,2.3,2.69,2.78,2.33,1.99,1.98,1.32,1.41,1.47,1.28,1.35,1.42,1.21,1.15,1.02,0.91,0.85,0.91,0.76,0.78,0.76,0.93,0.7,0.67,0.58,0.58,0.61,0.64,0.56,0.62,0.55,0.6,0.53,0.5,0.41,0.35,0.38,0.33,0.27,0.36,0.38,0.37,0.26,0.31,0.29,0.28,0.28,0.29,0.25,0.24,0.26,0.23,0.2,0.19,0.18,0.18,0.22,0.19,0.2,0.19,0.17,0.17,0.13,0.19,0.17,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.09,0.1,0.07,0.07,0.06,0.06,0.07,0.07,0.04,0.04,0.03,0.0,-0.01,0.0,100.02
08/19/2021,20.39,13.53,4.7,3.45,3.4,3.32,3.06,2.3,2.68,2.8,2.32,1.97,1.98,1.31,1.41,1.48,1.33,1.27,1.42,1.23,1.16,1.03,0.89,0.85,0.93,0.77,0.79,0.74,0.94,0.69,0.64,0.56,0.58,0.63,0.64,0.55,0.63,0.54,0.61,0.53,0.5,0.42,0.35,0.37,0.33,0.27,0.36,0.38,0.37,0.26,0.31,0.29,0.28,0.29,0.3,0.24,0.24,0.25,0.23,0.2,0.19,0.17,0.18,0.21,0.19,0.19,0.19,0.17,0.16,0.13,0.18,0.17,0.14,0.13,0.14,0.12,0.13,0.11,0.12,0.09,0.1,0.07,0.08,0.06,0.06,0.07,0.07,0.04,0.03,0.03,0.0,-0.01,0.0,100.0
08/20/2021,21.1,13.17,4.74,3.45,3.4,3.33,3.05,2.23,2.68,2.79,2.32,1.98,1.96,1.26,1.4,1.47,1.33,1.28,1.42,1.23,1.15,1.02,0.9,0.84,0.91,0.74,0.77,0.74,0.93,0.68,0.62,0.54,0.58,0.61,0.64,0.54,0.63,0.52,0.62,0.53,0.52,0.41,0.34,0.37,0.31,0.27,0.36,0.39,0.37,0.26,0.31,0.28,0.29,0.27,0.3,0.24,0.24,0.25,0.23,0.19,0.18,0.17,0.18,0.2,0.19,0.19,0.19,0.16,0.16,0.13,0.17,0.17,0.14,0.13,0.14,0.13,0.13,0.11,0.12,0.09,0.1,0.07,0.07,0.06,0.06,0.07,0.07,0.04,0.03,0.03,0.0,-0.01,0.0,99.96999999999998
08/23/2021,21.41,13.21,4.58,3.51,3.4,3.34,3.08,2.21,2.71,2.82,2.29,1.95,1.97,1.26,1.39,1.49,1.28,1.3,1.42,1.03,1.15,1.02,0.93,0.84,0.9,0.74,0.75,0.82,0.92,0.67,0.61,0.51,0.55,0.54,0.64,0.53,0.61,0.52,0.61,0.53,0.52,0.46,0.34,0.37,0.31,0.26,0.36,0.39,0.37,0.25,0.34,0.28,0.28,0.28,0.3,0.24,0.3,0.25,0.23,0.18,0.18,0.17,0.18,0.2,0.19,0.16,0.2,0.15,0.17,0.13,0.15,0.17,0.14,0.13,0.14,0.13,0.13,0.11,0.12,0.09,0.1,0.07,0.07,0.06,0.06,0.07,0.07,0.04,0.03,0.03,0.0,-0.01,0.0,99.98
08/25/2021,21.26,13.13,4.52,3.61,3.41,3.44,3.14,2.12,2.71,2.88,2.33,2.0,1.98,1.2,1.39,1.51,1.32,1.27,1.45,1.1,1.17,1.03,0.98,0.84,0.92,0.75,0.74,0.8,0.91,0.68,0.61,0.49,0.54,0.5,0.65,0.54,0.62,0.51,0.61,0.5,0.52,0.43,0.33,0.38,0.31,0.25,0.38,0.39,0.37,0.24,0.34,0.27,0.27,0.27,0.31,0.23,0.3,0.25,0.23,0.18,0.17,0.18,0.18,0.2,0.19,0.15,0.2,0.16,0.16,0.13,0.15,0.17,0.14,0.13,0.14,0.13,0.13,0.11,0.12,0.09,0.1,0.07,0.08,0.06,0.06,0.07,0.07,0.04,0.03,0.03,0.0,-0.02,0.0,100.03
08/26/2021,21.07,13.59,4.61,3.57,3.39,3.38,3.16,2.07,2.67,2.89,2.3,1.95,1.95,1.17,1.38,1.52,1.32,1.34,1.43,1.14,1.15,1.03,0.99,0.83,0.92,0.74,0.73,0.86,0.9,0.66,0.63,0.48,0.56,0.53,0.65,0.55,0.61,0.5,0.59,0.49,0.5,0.43,0.33,0.37,0.32,0.25,0.36,0.39,0.38,0.24,0.34,0.26,0.27,0.26,0.3,0.23,0.22,0.25,0.23,0.17,0.17,0.18,0.18,0.2,0.19,0.16,0.2,0.15,0.16,0.12,0.15,0.17,0.14,0.13,0.13,0.14,0.13,0.11,0.12,0.09,0.1,0.07,0.07,0.05,0.06,0.07,0.07,0.04,0.03,0.03,0.0,-0.01,0.0,100.0
08/27/2021,20.91,13.67,4.59,3.53,3.36,3.34,3.01,2.25,2.62,2.83,2.26,1.98,1.94,1.27,1.34,1.48,1.31,1.38,1.4,1.12,1.15,1.01,0.96,0.85,0.93,0.76,0.73,0.89,0.88,0.69,0.63,0.51,0.56,0.52,0.64,0.56,0.62,0.52,0.6,0.49,0.51,0.46,0.33,0.37,0.34,0.28,0.35,0.38,0.37,0.27,0.34,0.27,0.28,0.25,0.3,0.24,0.27,0.25,0.23,0.19,0.19,0.18,0.18,0.2,0.19,0.16,0.21,0.16,0.16,0.13,0.16,0.17,0.14,0.13,0.14,0.13,0.12,0.11,0.12,0.09,0.1,0.07,0.07,0.05,0.06,0.07,0.07,0.03,0.03,0.03,0.0,-0.01,0.0,100.01
08/30/2021,20.66,13.65,4.55,3.49,3.4,3.3,3.03,2.33,2.64,2.84,2.25,1.98,1.91,1.31,1.34,1.48,1.29,1.46,1.39,1.15,1.15,1.01,0.96,0.84,0.94,0.78,0.72,0.89,0.87,0.64,0.62,0.5,0.55,0.52,0.64,0.57,0.62,0.54,0.6,0.51,0.5,0.46,0.33,0.37,0.35,0.28,0.35,0.38,0.38,0.27,0.35,0.27,0.27,0.27,0.3,0.25,0.3,0.25,0.23,0.19,0.2,0.18,0.18,0.2,0.19,0.16,0.2,0.16,0.17,0.13,0.17,0.17,0.13,0.13,0.14,0.14,0.14,0.11,0.13,0.09,0.1,0.08,0.08,0.05,0.06,0.07,0.08,0.03,0.03,0.03,0.0,-0.01,0.0,99.99
09/01/2021,20.92,13.6,4.67,3.47,3.34,3.29,3.03,2.28,2.64,2.83,2.25,1.96,1.9,1.28,1.35,1.46,1.31,1.45,1.39,1.17,1.15,1.0,0.96,0.85,0.88,0.77,0.72,0.88,0.87,0.63,0.62,0.49,0.57,0.5,0.64,0.55,0.62,0.53,0.6,0.51,0.5,0.46,0.33,0.37,0.37,0.28,0.35,0.38,0.38,0.27,0.35,0.27,0.27,0.26,0.3,0.25,0.29,0.26,0.23,0.19,0.19,0.18,0.18,0.21,0.19,0.16,0.19,0.17,0.16,0.12,0.17,0.17,0.14,0.14,0.14,0.14,0.14,0.11,0.12,0.09,0.1,0.08,0.08,0.06,0.06,0.07,0.07,0.03,0.04,0.03,0.0,0.0,0.0,100.02
09/02/2021,20.54,13.71,4.7,3.47,3.35,3.3,3.01,2.36,2.65,2.82,2.24,1.97,1.89,1.33,1.35,1.45,1.35,1.47,1.38,1.17,1.14,1.0,0.96,0.84,0.87,0.78,0.72,0.9,0.85,0.65,0.62,0.52,0.57,0.5,0.64,0.55,0.62,0.51,0.59,0.51,0.5,0.47,0.34,0.37,0.36,0.28,0.36,0.38,0.38,0.27,0.35,0.27,0.27,0.27,0.22,0.24,0.4,0.26,0.23,0.19,0.19,0.18,0.18,0.21,0.19,0.16,0.19,0.16,0.16,0.13,0.18,0.17,0.14,0.14,0.14,0.14,0.14,0.11,0.12,0.09,0.09,0.07,0.07,0.06,0.06,0.07,0.07,0.03,0.04,0.03,0.0,0.0,0.0,99.97
09/03/2021,20.39,13.72,4.76,3.45,3.35,3.29,2.99,2.35,2.64,2.83,2.22,1.9,1.87,1.32,1.38,1.46,1.41,1.47,1.38,1.26,1.14,1.01,0.96,0.83,0.88,0.78,0.73,0.9,0.84,0.66,0.63,0.52,0.61,0.51,0.64,0.56,0.62,0.49,0.59,0.5,0.48,0.46,0.35,0.37,0.35,0.28,0.36,0.38,0.38,0.27,0.35,0.27,0.27,0.27,0.31,0.25,0.31,0.26,0.23,0.19,0.2,0.18,0.18,0.21,0.19,0.16,0.2,0.17,0.17,0.13,0.19,0.16,0.14,0.14,0.14,0.14,0.14,0.11,0.13,0.09,0.1,0.08,0.08,0.05,0.06,0.07,0.07,0.03,0.04,0.03,0.0,0.0,0.0,100.01
09/06/2021,20.23,13.87,4.71,3.42,3.34,3.28,2.97,2.42,2.6,2.82,2.23,1.97,1.86,1.37,1.39,1.44,1.36,1.39,1.37,1.04,1.13,1.01,0.96,0.85,0.88,0.79,0.73,0.85,0.85,0.66,0.63,0.5,0.62,0.53,0.63,0.56,0.63,0.5,0.6,0.46,0.49,0.47,0.35,0.36,0.32,0.3,0.36,0.37,0.38,0.28,0.34,0.27,0.25,0.27,0.32,0.25,0.68,0.26,0.23,0.2,0.2,0.18,0.18,0.22,0.19,0.16,0.2,0.16,0.17,0.13,0.18,0.17,0.14,0.14,0.14,0.14,0.15,0.11,0.13,0.09,0.1,0.08,0.08,0.06,0.06,0.07,0.07,0.03,0.04,0.03,0.0,0.0,0.01,100.01000000000002
