,NLY,AGNC,STWD,HASI,NRZ,CIM,BXMT,TWO,PMT,ABR,ARI,MFA,NYMT,LADR,BRMK,RWT,RC,IVR,EFC,BRSP,ARR,ACRE,DX,KREF,ORC,PNL.AS,PNL.AS.1,PTBL.TA,GVMXX,n/a,RITM,FBRT,SUM
09/28/2021,12.45,8.63,7.92,5.82,4.89,5.09,5.22,4.05,4.23,4.62,4.27,4.14,3.83,3.42,2.8,2.57,2.36,2.14,1.82,1.91,1.65,1.86,1.38,1.37,1.29,0.0,0.0,0.0,1.69,0.0,0.0,0.0,101.42000000000002
09/29/2021,12.45,8.63,7.92,5.82,4.89,5.09,5.22,4.05,4.23,4.62,4.27,4.14,3.83,3.42,2.8,2.57,2.36,2.14,1.82,1.91,1.65,1.86,1.38,1.37,1.29,0.0,0.0,0.0,1.69,0.0,0.0,0.0,101.42000000000002
10/11/2021,13.1,8.9,7.78,4.65,5.02,5.02,4.9,4.25,4.13,4.72,4.04,3.95,3.67,3.38,2.76,2.76,1.88,1.94,2.33,1.9,1.97,1.93,1.5,1.87,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/12/2021,13.11,8.93,7.77,4.64,5.06,5.05,4.89,4.25,4.12,4.73,4.02,3.92,3.64,3.39,2.76,2.79,1.87,1.88,2.34,1.91,1.97,1.93,1.5,1.87,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/13/2021,13.11,8.93,7.77,4.64,5.06,5.05,4.89,4.25,4.12,4.73,4.02,3.92,3.64,3.39,2.76,2.79,1.87,1.88,2.34,1.91,1.97,1.93,1.5,1.87,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/14/2021,13.11,8.93,7.77,4.64,5.06,5.05,4.89,4.25,4.12,4.73,4.02,3.92,3.64,3.39,2.76,2.79,1.87,1.88,2.34,1.91,1.97,1.93,1.5,1.87,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/15/2021,13.05,8.95,7.73,4.66,5.06,5.05,4.86,4.29,4.14,4.69,4.02,3.95,3.62,3.39,2.75,2.82,1.87,1.9,2.34,1.89,1.99,1.93,1.5,1.88,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/18/2021,12.98,8.82,7.8,4.84,5.09,5.04,4.93,4.27,4.13,4.65,4.03,3.92,3.63,3.45,2.71,2.84,1.89,1.9,2.23,1.9,1.97,1.94,1.5,1.88,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/21/2021,13.01,8.9,7.82,4.79,5.09,5.01,4.93,4.29,4.01,4.76,4.03,3.89,3.62,3.43,2.77,2.85,1.91,1.89,2.26,1.88,1.89,1.95,1.5,1.89,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/22/2021,13.09,8.96,7.81,4.9,5.06,5.06,4.9,4.29,4.02,4.76,4.0,3.9,3.6,3.37,2.76,2.83,1.91,1.86,2.24,1.84,1.89,1.95,1.5,1.87,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/25/2021,13.11,8.95,7.81,4.92,5.07,5.05,4.89,4.28,4.0,4.73,4.02,3.89,3.63,3.38,2.78,2.84,1.9,1.83,2.24,1.85,1.88,1.94,1.5,1.89,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/26/2021,13.05,8.93,7.83,4.99,5.05,5.01,4.93,4.28,4.04,4.74,4.0,3.88,3.65,3.39,2.79,2.83,1.92,1.83,2.24,1.83,1.88,1.94,1.47,1.89,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/27/2021,13.05,8.93,7.83,4.99,5.05,5.01,4.93,4.28,4.04,4.74,4.0,3.88,3.65,3.39,2.79,2.83,1.92,1.83,2.24,1.83,1.88,1.94,1.47,1.89,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/28/2021,13.06,8.93,7.83,5.0,5.11,5.0,4.92,4.27,4.03,4.76,4.02,3.86,3.64,3.35,2.79,2.82,1.94,1.83,2.24,1.83,1.88,1.95,1.48,1.87,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/29/2021,13.04,8.88,7.79,5.07,5.13,5.02,4.93,4.25,4.03,4.8,4.02,3.81,3.67,3.35,2.79,2.82,1.93,1.82,2.25,1.83,1.87,1.95,1.46,1.89,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/01/2021,12.97,8.58,7.78,5.13,5.09,5.03,5.01,4.1,4.03,4.84,3.96,3.79,3.66,3.41,2.79,2.85,1.93,1.84,2.58,1.89,1.86,1.95,1.46,1.86,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
02/18/2022,12.35,8.43,8.47,3.91,5.21,4.56,6.29,4.3,3.49,4.62,3.78,3.98,3.29,3.61,3.1,2.48,2.32,1.74,2.52,2.06,1.74,2.01,1.76,2.08,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
02/21/2022,12.26,8.36,8.47,3.86,5.19,4.45,6.37,4.26,3.5,4.62,3.9,3.98,3.31,3.69,3.12,2.41,2.33,1.71,2.55,2.09,1.73,2.05,1.76,2.14,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
04/28/2022,12.14,7.67,8.96,4.56,5.35,3.97,6.69,4.37,3.57,5.32,4.12,3.25,3.2,4.06,3.02,2.28,2.68,1.42,2.44,1.98,1.8,2.35,1.7,1.48,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/25/2022,12.65,7.81,8.9,5.22,0.0,4.2,6.06,4.02,3.04,4.95,3.79,2.55,2.79,3.76,2.52,2.1,3.54,1.29,2.17,1.0,1.82,1.95,2.03,1.67,1.53,0.0,0.0,0.0,0.0,0.0,5.24,3.37,99.97000000000001
