,HEAR,SWBI,SAM,CHUY,IGT,RGR,RICK,GLPI,FLL,VICI,RRR,TACO,BYD,PENN,CZR,WING,ATVI,DKNG,NAPA,CMPS,MMED.NE,TPB,LVMUY,MCRI,YUMC,STZ,JACK,MCD,TAP,TTWO,BUD,Pernod Ricard SA ADR,UVV,BMTA.,PM,MO,DGE$.L,BF.B,Blackrock Treasury Trust Instl 62,Cash,PDRDY,Diageo PLC ADR,VGR,n/a,SUM
07/29/2021,6.6,4.53,4.58,4.67,3.84,4.08,4.29,4.25,3.43,4.1,3.77,3.47,3.39,3.14,2.86,3.15,2.77,2.78,2.72,2.07,1.9,2.08,2.0,1.8,1.85,1.79,1.75,1.75,1.31,1.19,1.14,0.0,0.97,1.04,1.0,0.99,0.0,0.75,0.2,0.0,1.09,0.88,0.0,0.0,99.97
07/30/2021,6.6,4.59,4.55,4.57,3.81,4.06,4.24,4.32,3.44,4.16,3.75,3.43,3.37,3.12,2.86,3.22,2.61,2.77,2.67,2.13,1.91,2.32,1.99,1.79,1.77,1.82,1.75,1.78,1.31,1.16,1.14,0.0,0.97,1.05,1.02,1.0,0.0,0.76,0.2,0.0,1.1,0.9,0.0,0.0,100.01
08/02/2021,6.74,4.74,4.48,4.3,3.7,4.11,4.21,4.32,3.58,4.06,3.71,3.4,3.43,3.02,2.78,3.3,2.59,2.83,2.75,2.07,1.9,2.32,2.03,1.92,1.81,1.81,1.74,1.77,1.29,1.18,1.07,0.0,0.99,1.04,1.02,1.02,0.0,0.75,0.2,0.0,1.12,0.92,0.0,0.0,100.02
08/03/2021,6.74,4.74,4.48,4.3,3.7,4.11,4.21,4.32,3.58,4.06,3.71,3.4,3.43,3.02,2.78,3.3,2.59,2.83,2.75,2.07,1.9,2.32,2.03,1.92,1.81,1.81,1.74,1.77,1.29,1.18,1.07,0.0,0.99,1.04,1.02,1.02,0.0,0.75,0.2,0.0,1.12,0.92,0.0,0.0,100.02
08/04/2021,6.74,4.74,4.48,4.3,3.7,4.11,4.21,4.32,3.58,4.06,3.71,3.4,3.43,3.02,2.78,3.3,2.59,2.83,2.75,2.07,1.9,2.32,2.03,1.92,1.81,1.81,1.74,1.77,1.29,1.18,1.07,0.0,0.99,1.04,1.02,1.02,0.0,0.75,0.2,0.0,1.12,0.92,0.0,0.0,100.02
08/05/2021,6.74,4.74,4.48,4.3,3.7,4.11,4.21,4.32,3.58,4.06,3.71,3.4,3.43,3.02,2.78,3.3,2.59,2.83,2.75,2.07,1.9,2.32,2.03,1.92,1.81,1.81,1.74,1.77,1.29,1.18,1.07,0.0,0.99,1.04,1.02,1.02,0.0,0.75,0.2,0.0,1.12,0.92,0.0,0.0,100.02
08/06/2021,5.09,5.1,3.89,4.16,2.61,4.28,4.16,4.32,3.46,4.09,3.7,3.34,4.58,4.6,2.77,3.38,2.55,2.84,2.8,1.96,1.94,2.41,2.13,1.92,1.83,1.84,1.71,1.77,1.32,1.14,1.07,0.0,1.02,1.06,1.06,1.03,0.0,0.77,0.22,0.0,1.14,0.96,0.0,0.0,100.02
09/07/2021,4.72,4.38,1.37,3.98,1.97,4.09,4.07,4.65,2.74,4.18,4.22,3.3,4.76,4.04,3.19,3.33,2.51,3.46,2.59,1.91,1.78,2.33,1.88,3.77,1.8,1.7,1.65,1.72,1.22,1.11,0.99,0.0,1.76,1.02,1.08,1.06,0.91,0.74,0.0,0.0,1.09,0.0,2.5,0.43,100.0
09/08/2021,4.72,4.38,1.37,3.98,1.97,4.09,4.07,4.65,2.74,4.18,4.22,3.3,4.76,4.04,3.19,3.33,2.51,3.46,2.59,1.91,1.78,2.33,1.88,3.77,1.8,1.7,1.65,1.72,1.22,1.11,0.99,0.0,1.76,1.02,1.08,1.06,0.91,0.74,0.0,0.0,1.09,0.0,2.5,0.43,100.0
09/09/2021,4.72,4.38,1.37,3.98,1.97,4.09,4.07,4.65,2.74,4.18,4.22,3.3,4.76,4.04,3.19,3.33,2.51,3.46,2.59,1.91,1.78,2.33,1.88,3.77,1.8,1.7,1.65,1.72,1.22,1.11,0.99,0.0,1.76,1.02,1.08,1.06,0.91,0.74,0.0,0.0,1.09,0.0,2.5,0.43,100.0
09/10/2021,3.65,2.39,1.39,3.26,2.1,4.11,4.3,4.69,3.0,4.22,4.38,3.42,5.01,3.49,3.38,3.44,2.48,2.01,2.64,2.02,1.76,2.29,1.96,3.91,1.84,1.72,3.28,1.74,1.22,1.12,1.01,0.0,1.8,1.04,1.1,1.08,0.91,0.75,0.0,0.0,1.13,0.0,4.51,0.44,99.99
09/13/2021,3.56,2.31,1.32,3.12,2.04,4.09,4.49,4.45,2.82,3.94,4.05,3.34,4.88,3.4,3.31,3.45,2.43,1.99,2.64,2.0,1.61,2.21,1.95,3.82,1.79,1.75,3.15,1.74,1.21,1.09,0.97,0.0,1.72,1.01,1.05,1.06,0.9,0.75,0.0,0.0,1.12,0.0,4.32,3.16,100.01
09/14/2021,3.64,2.31,1.34,3.17,2.02,4.1,4.47,4.44,2.92,3.96,3.97,3.33,4.74,3.27,3.27,3.54,2.51,1.97,2.66,2.01,1.6,2.17,1.97,3.7,1.8,1.75,3.14,1.76,1.21,1.08,0.97,0.0,1.73,1.02,1.07,1.07,0.91,0.76,0.0,0.0,1.13,0.0,4.28,3.2,99.96
09/15/2021,3.64,2.31,1.34,3.17,2.02,4.1,4.47,4.44,2.92,3.96,3.97,3.33,4.74,3.27,3.27,3.54,2.51,1.97,2.66,2.01,1.6,2.17,1.97,3.7,1.8,1.75,3.14,1.76,1.21,1.08,0.97,0.0,1.73,1.02,1.07,1.07,0.91,0.76,0.0,0.0,1.13,0.0,4.28,3.2,99.96
09/17/2021,3.81,2.29,1.35,3.23,2.06,4.1,4.42,4.48,2.89,4.01,4.03,3.43,4.71,3.2,3.29,3.5,2.49,1.91,2.69,1.94,1.53,2.17,1.98,3.79,1.83,1.76,3.15,1.78,1.25,1.08,0.99,0.0,1.73,1.03,1.07,1.07,0.92,0.76,0.0,0.0,1.15,0.0,3.9,3.22,99.99
09/20/2021,3.83,2.23,1.28,3.12,2.05,4.28,4.28,4.39,2.75,3.93,4.26,3.3,4.83,3.06,3.35,3.5,2.46,1.86,2.56,1.92,1.53,2.17,1.85,4.13,1.61,1.73,3.06,1.76,1.21,1.05,0.95,0.0,1.67,1.01,1.05,1.02,0.89,0.74,0.0,0.0,1.78,0.0,4.41,3.16,100.02
09/21/2021,3.94,2.32,1.29,3.25,2.12,4.46,4.47,4.4,2.91,3.96,4.44,3.41,4.95,3.07,3.35,3.55,2.52,1.91,2.55,1.95,1.57,2.02,1.87,4.37,1.62,1.76,3.15,1.79,1.22,1.07,0.98,0.0,1.7,1.02,1.06,1.04,0.9,0.75,0.0,0.0,1.82,0.0,4.5,0.97,100.0
09/22/2021,3.94,2.32,1.29,3.25,2.12,4.46,4.47,4.4,2.91,3.96,4.44,3.41,4.95,3.07,3.35,3.55,2.52,1.91,2.55,1.95,1.57,2.02,1.87,4.37,1.62,1.76,3.15,1.79,1.22,1.07,0.98,0.0,1.7,1.02,1.06,1.04,0.9,0.75,0.0,0.0,1.82,0.0,4.5,0.97,100.0
09/23/2021,3.94,2.32,1.29,3.25,2.12,4.46,4.47,4.4,2.91,3.96,4.44,3.41,4.95,3.07,3.35,3.55,2.52,1.91,2.55,1.95,1.57,2.02,1.87,4.37,1.62,1.76,3.15,1.79,1.22,1.07,0.98,0.0,1.7,1.02,1.06,1.04,0.9,0.75,0.0,0.0,1.82,0.0,4.5,0.97,100.0
09/24/2021,3.87,2.35,1.33,3.15,2.12,4.54,4.44,4.47,2.9,4.01,4.48,3.37,4.98,2.95,3.39,3.59,2.37,1.71,2.63,1.9,1.57,2.06,1.94,4.29,1.64,1.76,3.13,1.82,1.22,1.05,1.0,0.0,1.71,1.04,1.07,1.05,0.91,0.75,0.0,0.0,1.91,0.0,4.53,1.01,100.01
09/27/2021,3.88,2.34,1.3,3.16,2.14,4.46,4.46,4.46,2.98,4.01,4.65,3.39,5.08,3.04,3.48,3.58,2.32,1.67,2.58,1.9,1.57,2.06,1.92,4.34,1.61,1.74,3.17,1.8,1.22,1.03,0.99,0.0,1.68,1.02,1.05,1.03,0.9,0.74,0.0,0.0,1.88,0.0,4.5,0.83,99.96
09/28/2021,3.78,2.33,1.26,3.42,2.34,4.45,4.48,4.33,3.06,3.92,4.66,3.44,5.1,3.07,3.5,3.47,2.35,1.6,2.6,1.87,1.58,2.02,1.9,4.38,1.69,1.72,3.16,1.79,1.23,1.03,0.97,0.0,1.66,1.0,1.04,1.02,0.88,0.73,0.0,0.0,1.84,0.0,4.43,0.87,99.97
09/29/2021,3.78,2.33,1.26,3.42,2.34,4.45,4.48,4.33,3.06,3.92,4.66,3.44,5.1,3.07,3.5,3.47,2.35,1.6,2.6,1.87,1.58,2.02,1.9,4.38,1.69,1.72,3.16,1.79,1.23,1.03,0.97,0.0,1.66,1.0,1.04,1.02,0.88,0.73,0.0,0.0,1.84,0.0,4.43,0.87,99.97
10/01/2021,3.76,2.33,1.27,3.52,2.41,4.42,4.55,4.24,3.05,3.82,4.72,3.47,5.19,3.1,3.57,3.31,2.31,1.58,2.6,1.85,1.51,2.05,1.85,4.43,1.69,1.69,3.16,1.78,1.27,1.02,0.98,0.0,1.67,1.0,1.04,1.01,0.88,0.71,0.0,0.0,1.81,0.0,4.5,0.85,99.97
10/04/2021,3.56,2.38,1.29,3.44,2.57,4.56,4.59,4.43,3.33,3.91,2.68,3.51,5.25,3.02,3.62,3.23,2.48,1.55,2.77,1.72,1.52,2.23,1.86,4.54,1.75,1.76,3.15,1.82,1.28,1.08,0.98,0.0,1.76,1.05,1.05,1.05,0.91,0.74,0.0,0.0,1.86,0.0,4.75,0.96,99.99
10/07/2021,3.4,2.25,1.22,3.28,2.57,4.39,4.47,4.3,4.68,3.8,2.7,3.38,5.18,3.02,3.64,3.19,2.39,1.5,2.75,1.72,1.39,2.16,1.79,4.38,1.67,1.71,3.85,1.75,1.24,1.08,0.93,0.0,1.73,0.96,0.98,0.97,0.89,0.7,0.0,0.0,1.8,0.0,4.76,1.44,100.01
10/08/2021,3.4,2.25,1.22,3.28,2.57,4.39,4.47,4.3,4.68,3.8,2.7,3.38,5.18,3.02,3.64,3.19,2.39,1.5,2.75,1.72,1.39,2.16,1.79,4.38,1.67,1.71,3.85,1.75,1.24,1.08,0.93,0.0,1.73,0.96,0.98,0.97,0.89,0.7,0.0,0.0,1.8,0.0,4.76,1.44,100.01
10/11/2021,3.65,2.24,1.31,3.2,2.64,4.42,4.67,4.31,4.8,3.82,2.69,3.46,5.01,2.97,3.53,3.0,2.36,1.51,2.63,1.7,1.38,2.12,1.8,4.38,1.69,1.71,3.83,1.77,1.21,1.16,0.89,0.0,1.68,0.93,0.96,0.96,0.88,0.7,0.0,0.0,1.83,0.0,4.78,1.43,100.01
10/12/2021,3.72,2.22,1.3,3.15,2.61,4.43,4.56,4.29,4.75,3.8,2.67,3.45,5.02,2.92,3.5,2.97,2.39,1.47,2.61,1.8,1.39,2.14,1.8,4.33,1.7,1.75,3.83,1.78,1.21,1.19,0.9,0.0,1.69,0.94,0.96,0.97,0.89,0.71,0.0,0.0,1.85,0.0,4.9,1.43,99.99
10/13/2021,3.72,2.22,1.3,3.15,2.61,4.43,4.56,4.29,4.75,3.8,2.67,3.45,5.02,2.92,3.5,2.97,2.39,1.47,2.61,1.8,1.39,2.14,1.8,4.33,1.7,1.75,3.83,1.78,1.21,1.19,0.9,0.0,1.69,0.94,0.96,0.97,0.89,0.71,0.0,0.0,1.85,0.0,4.9,1.43,99.99
10/14/2021,3.72,2.22,1.3,3.15,2.61,4.43,4.56,4.29,4.75,3.8,2.67,3.45,5.02,2.92,3.5,2.97,2.39,1.47,2.61,1.8,1.39,2.14,1.8,4.33,1.7,1.75,3.83,1.78,1.21,1.19,0.9,0.0,1.69,0.94,0.96,0.97,0.89,0.71,0.0,0.0,1.85,0.0,4.9,1.43,99.99
10/15/2021,3.72,2.22,1.3,3.14,2.66,4.46,4.43,4.32,4.81,3.82,2.72,3.47,5.02,2.89,3.53,3.01,2.36,1.51,2.58,1.78,1.38,2.15,1.8,4.28,1.71,1.76,3.77,1.78,1.19,1.18,0.9,0.0,1.69,0.94,0.97,0.97,0.89,0.71,0.0,0.0,1.85,0.0,4.9,1.44,100.01
10/19/2021,3.76,2.26,1.24,3.09,2.73,4.55,4.48,4.47,4.78,3.92,1.67,3.33,5.21,3.12,3.41,3.25,2.36,1.49,2.3,1.85,1.47,2.14,1.92,4.36,1.75,1.76,3.8,1.75,1.19,1.17,0.91,0.0,1.7,0.98,1.0,1.01,0.92,0.73,0.0,0.0,1.86,0.0,4.85,1.48,100.02
10/20/2021,3.76,2.26,1.24,3.09,2.73,4.55,4.48,4.47,4.78,3.92,1.67,3.33,5.21,3.12,3.41,3.25,2.36,1.49,2.3,1.85,1.47,2.14,1.92,4.36,1.75,1.76,3.8,1.75,1.19,1.17,0.91,0.0,1.7,0.98,1.0,1.01,0.92,0.73,0.0,0.0,1.86,0.0,4.85,1.48,100.02
10/21/2021,3.76,2.26,1.24,3.09,2.73,4.55,4.48,4.47,4.78,3.92,1.67,3.33,5.21,3.12,3.41,3.25,2.36,1.49,2.3,1.85,1.47,2.14,1.92,4.36,1.75,1.76,3.8,1.75,1.19,1.17,0.91,0.0,1.7,0.98,1.0,1.01,0.92,0.73,0.0,0.0,1.86,0.0,4.85,1.48,100.02
10/22/2021,3.62,2.3,1.23,2.99,2.65,4.59,4.45,4.39,4.62,3.89,1.64,3.31,5.11,3.23,3.47,3.2,2.36,1.5,2.32,1.92,1.43,2.07,1.84,4.29,1.74,1.72,3.76,1.73,1.16,1.17,0.91,0.0,1.66,0.97,0.96,0.99,0.91,0.73,0.0,0.0,1.82,0.0,4.73,2.61,99.99
10/25/2021,3.59,2.27,1.24,2.93,2.71,4.6,4.47,4.42,4.61,3.89,1.65,3.23,5.14,3.06,3.45,3.17,2.4,1.49,2.26,1.71,0.0,2.08,1.89,4.28,1.73,1.73,3.85,1.72,1.15,1.24,0.91,0.0,1.66,0.97,0.97,0.99,0.91,0.72,0.0,0.0,3.72,0.0,4.77,2.42,100.0
10/26/2021,3.48,2.29,1.26,2.99,2.7,4.62,4.39,4.42,4.54,3.9,1.64,3.23,5.13,2.96,3.42,3.23,2.42,1.41,2.3,1.89,0.0,2.1,1.92,4.27,1.73,1.74,3.84,1.7,1.15,1.23,0.92,0.0,1.66,0.97,0.97,0.99,0.92,0.72,0.0,0.0,3.76,0.0,4.76,2.42,99.99
10/27/2021,3.48,2.29,1.26,2.99,2.7,4.62,4.39,4.42,4.54,3.9,1.64,3.23,5.13,2.96,3.42,3.23,2.42,1.41,2.3,1.89,0.0,2.1,1.92,4.27,1.73,1.74,3.84,1.7,1.15,1.23,0.92,0.0,1.66,0.97,0.97,0.99,0.92,0.72,0.0,0.0,3.76,0.0,4.76,2.42,99.99
10/28/2021,3.48,2.29,1.26,2.99,2.7,4.62,4.39,4.42,4.54,3.9,1.64,3.23,5.13,2.96,3.42,3.23,2.42,1.41,2.3,1.89,0.0,2.1,1.92,4.27,1.73,1.74,3.84,1.7,1.15,1.23,0.92,0.0,1.66,0.97,0.97,0.99,0.92,0.72,0.0,0.0,3.76,0.0,4.76,2.42,99.99
10/29/2021,3.48,2.29,1.26,2.99,2.7,4.62,4.39,4.42,4.54,3.9,1.64,3.23,5.13,2.96,3.42,3.23,2.42,1.41,2.3,1.89,0.0,2.1,1.92,4.27,1.73,1.74,3.84,1.7,1.15,1.23,0.92,0.0,1.66,0.97,0.97,0.99,0.92,0.72,0.0,0.0,3.76,0.0,4.76,2.42,99.99
11/01/2021,3.48,2.29,1.26,2.99,2.7,4.62,4.39,4.42,4.54,3.9,1.64,3.23,5.13,2.96,3.42,3.23,2.42,1.41,2.3,1.89,0.0,2.1,1.92,4.27,1.73,1.74,3.84,1.7,1.15,1.23,0.92,0.0,1.66,0.97,0.97,0.99,0.92,0.72,0.0,0.0,3.76,0.0,4.76,2.42,99.99
11/02/2021,3.48,2.29,1.26,2.99,2.7,4.62,4.39,4.42,4.54,3.9,1.64,3.23,5.13,2.96,3.42,3.23,2.42,1.41,2.3,1.89,0.0,2.1,1.92,4.27,1.73,1.74,3.84,1.7,1.15,1.23,0.92,0.0,1.66,0.97,0.97,0.99,0.92,0.72,0.0,0.0,3.76,0.0,4.76,2.42,99.99
11/03/2021,3.48,2.29,1.26,2.99,2.7,4.62,4.39,4.42,4.54,3.9,1.64,3.23,5.13,2.96,3.42,3.23,2.42,1.41,2.3,1.89,0.0,2.1,1.92,4.27,1.73,1.74,3.84,1.7,1.15,1.23,0.92,0.0,1.66,0.97,0.97,0.99,0.92,0.72,0.0,0.0,3.76,0.0,4.76,2.42,99.99
11/04/2021,3.48,2.29,1.26,2.99,2.7,4.62,4.39,4.42,4.54,3.9,1.64,3.23,5.13,2.96,3.42,3.23,2.42,1.41,2.3,1.89,0.0,2.1,1.92,4.27,1.73,1.74,3.84,1.7,1.15,1.23,0.92,0.0,1.66,0.97,0.97,0.99,0.92,0.72,0.0,0.0,3.76,0.0,4.76,2.42,99.99
11/05/2021,3.48,2.29,1.26,2.99,2.7,4.62,4.39,4.42,4.54,3.9,1.64,3.23,5.13,2.96,3.42,3.23,2.42,1.41,2.3,1.89,0.0,2.1,1.92,4.27,1.73,1.74,3.84,1.7,1.15,1.23,0.92,0.0,1.66,0.97,0.97,0.99,0.92,0.72,0.0,0.0,3.76,0.0,4.76,2.42,99.99
