,700.HK,3690.HK,BIDU,2382.HK,BILI,GDS,TME,268.HK,1024.HK,601012 C1,772.HK,ATHM,YY,WB,KC,1347.HK,909.HK,000725 C2,MOMO,603501 C1,696.HK,DADA,300782 C2,002371 C2,600703 C1,002230 C2,OCFT,002027 C2,900926 CH,603986 C1,002129 C2,600588 C1,002049 C2,600570 C1,300408 C2,3396.HK,600584 C1,688008 C1,002600 C2,300316 C2,300496 C2,002414 C2,300033 C2,600183 C1,300661 C2,688002 C1,300751 C2,200725 CH,002185 C2,000066 C2,600845 C1,300223 C2,000977 C2,603019 C1,300454 C2,300253 C2,002153 C2,600392 C1,300001 C2,002156 C2,000050 C2,300724 C2,000938 C2,002008 C2,002938 C2,600536 C1,002841 C2,000021 C2,AGPXX,002463 C2,300115 C2,002065 C2,002456 C2,300458 C2,002028 C2,002056 C2,300383 C2,002212 C2,300296 C2,603160 C1,002916 C2,300376 C2,000997 C2,603000 C1,002273 C2,000062 C2,002373 C2,300212 C2,002268 C2,300017 C2,300188 C2,601231 C1,600446 C1,300166 C2,002368 C2,300085 C2,300369 C2,002635 C2,300002 C2,300113 C2,603228 C1,002195 C2,300078 C2,603927 C1,300010 C2,-China Yua,-HongKong,Cash/Receivables/Payables,n/a,700 HK,2382 HK,3690 HK,268 HK,772 HK,1024 HK,1347 HK,909 HK,696 HK,3396 HK,688111 C1,688012 C1,600460 C1,603185 C1,603290 C1,688126 C1,688188 C1,ZH,TUYA,SUM
07/23/2021,9.51,8.42,7.94,7.3,7.36,3.91,3.13,3.76,2.78,3.17,2.46,2.11,1.88,2.05,1.61,1.48,1.51,1.39,1.23,1.26,0.99,0.96,0.83,1.02,0.99,0.87,0.71,0.78,0.82,0.75,0.89,0.69,0.67,0.59,0.55,0.48,0.45,0.43,0.34,0.44,0.35,0.4,0.35,0.35,0.41,0.31,0.35,0.29,0.25,0.29,0.27,0.32,0.3,0.3,0.26,0.23,0.21,0.27,0.22,0.19,0.22,0.28,0.24,0.19,0.21,0.19,0.18,0.17,0.1,0.16,0.15,0.16,0.15,0.16,0.13,0.16,0.16,0.15,0.16,0.13,0.13,0.16,0.11,0.1,0.12,0.1,0.1,0.12,0.14,0.1,0.11,0.08,0.09,0.08,0.09,0.07,0.11,0.06,0.06,0.06,0.07,0.04,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1
07/27/2021,9.49,8.53,7.85,7.56,6.38,3.46,2.97,3.9,2.64,3.34,2.5,1.95,1.8,2.03,1.58,1.56,1.52,1.37,1.2,1.22,1.0,0.93,0.81,1.24,1.21,0.93,0.68,0.78,0.85,0.87,0.99,0.8,0.69,0.59,0.59,0.49,0.43,0.48,0.34,0.51,0.34,0.42,0.37,0.36,0.45,0.34,0.39,0.29,0.25,0.28,0.28,0.37,0.29,0.3,0.26,0.24,0.21,0.29,0.24,0.19,0.22,0.35,0.24,0.19,0.21,0.19,0.18,0.17,0.1,0.16,0.15,0.16,0.14,0.2,0.13,0.16,0.15,0.15,0.18,0.14,0.14,0.15,0.11,0.1,0.12,0.11,0.1,0.12,0.16,0.1,0.1,0.08,0.09,0.08,0.09,0.08,0.1,0.06,0.07,0.07,0.07,0.04,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/28/2021,9.49,8.53,7.85,7.56,6.38,3.46,2.97,3.9,2.64,3.34,2.5,1.95,1.8,2.03,1.58,1.56,1.52,1.37,1.2,1.22,1.0,0.93,0.81,1.24,1.21,0.93,0.68,0.78,0.85,0.87,0.99,0.8,0.69,0.59,0.59,0.49,0.43,0.48,0.34,0.51,0.34,0.42,0.37,0.36,0.45,0.34,0.39,0.29,0.25,0.28,0.28,0.37,0.29,0.3,0.26,0.24,0.21,0.29,0.24,0.19,0.22,0.35,0.24,0.19,0.21,0.19,0.18,0.17,0.1,0.16,0.15,0.16,0.14,0.2,0.13,0.16,0.15,0.15,0.18,0.14,0.14,0.15,0.11,0.1,0.12,0.11,0.1,0.12,0.16,0.1,0.1,0.08,0.09,0.08,0.09,0.08,0.1,0.06,0.07,0.07,0.07,0.04,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/03/2021,8.98,7.04,7.82,8.24,6.02,3.31,3.06,3.86,2.36,3.27,2.4,1.79,1.83,2.03,1.74,2.0,1.33,1.37,1.25,1.29,1.03,0.89,0.84,1.51,1.34,0.92,0.63,0.77,0.9,1.07,1.07,0.82,0.81,0.57,0.59,0.48,0.49,0.54,0.34,0.58,0.39,0.45,0.35,0.44,0.62,0.35,0.47,0.3,0.27,0.33,0.32,0.51,0.31,0.33,0.25,0.22,0.21,0.3,0.22,0.22,0.23,0.35,0.25,0.2,0.21,0.2,0.19,0.19,0.09,0.18,0.15,0.16,0.14,0.19,0.15,0.18,0.18,0.15,0.17,0.15,0.15,0.15,0.11,0.1,0.12,0.11,0.11,0.12,0.17,0.11,0.11,0.08,0.08,0.08,0.1,0.08,0.12,0.06,0.06,0.07,0.07,0.04,0.04,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/04/2021,8.98,7.04,7.82,8.24,6.02,3.31,3.06,3.86,2.36,3.27,2.4,1.79,1.83,2.03,1.74,2.0,1.33,1.37,1.25,1.29,1.03,0.89,0.84,1.51,1.34,0.92,0.63,0.77,0.9,1.07,1.07,0.82,0.81,0.57,0.59,0.48,0.49,0.54,0.34,0.58,0.39,0.45,0.35,0.44,0.62,0.35,0.47,0.3,0.27,0.33,0.32,0.51,0.31,0.33,0.25,0.22,0.21,0.3,0.22,0.22,0.23,0.35,0.25,0.2,0.21,0.2,0.19,0.19,0.09,0.18,0.15,0.16,0.14,0.19,0.15,0.18,0.18,0.15,0.17,0.15,0.15,0.15,0.11,0.1,0.12,0.11,0.11,0.12,0.17,0.11,0.11,0.08,0.08,0.08,0.1,0.08,0.12,0.06,0.06,0.07,0.07,0.04,0.04,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/05/2021,8.84,7.02,7.89,8.04,6.31,3.32,3.12,3.81,2.35,3.27,2.35,1.83,1.8,2.06,1.85,2.02,1.3,1.39,1.29,1.26,1.01,0.9,0.82,1.39,1.28,0.93,0.63,0.79,0.9,1.02,1.03,0.9,0.81,0.56,0.59,0.52,0.49,0.53,0.35,0.6,0.38,0.46,0.36,0.46,0.57,0.36,0.45,0.3,0.28,0.35,0.33,0.46,0.32,0.34,0.26,0.22,0.22,0.29,0.22,0.22,0.23,0.34,0.26,0.2,0.22,0.21,0.18,0.19,0.1,0.18,0.15,0.16,0.14,0.16,0.15,0.17,0.17,0.15,0.17,0.15,0.15,0.15,0.11,0.1,0.12,0.11,0.11,0.12,0.17,0.11,0.11,0.08,0.09,0.08,0.1,0.08,0.12,0.06,0.06,0.07,0.08,0.04,0.04,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/10/2021,8.66,7.13,7.99,8.48,5.64,3.4,3.09,3.88,1.85,3.56,2.43,1.69,1.71,2.05,1.7,2.27,1.45,1.4,1.26,1.34,1.0,0.86,0.87,1.34,1.35,0.91,0.42,0.77,0.96,0.93,1.07,0.92,0.85,0.55,0.59,0.53,0.49,0.49,0.35,0.6,0.38,0.51,0.36,0.47,0.6,0.34,0.54,0.31,0.28,0.36,0.33,0.44,0.35,0.33,0.26,0.21,0.2,0.35,0.22,0.21,0.24,0.37,0.28,0.2,0.22,0.21,0.18,0.19,0.11,0.18,0.15,0.16,0.15,0.16,0.17,0.18,0.17,0.16,0.18,0.15,0.14,0.16,0.11,0.1,0.13,0.11,0.11,0.13,0.17,0.11,0.11,0.08,0.09,0.08,0.1,0.08,0.12,0.06,0.08,0.06,0.08,0.04,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/11/2021,8.66,7.13,7.99,8.48,5.64,3.4,3.09,3.88,1.85,3.56,2.43,1.69,1.71,2.05,1.7,2.27,1.45,1.4,1.26,1.34,1.0,0.86,0.87,1.34,1.35,0.91,0.42,0.77,0.96,0.93,1.07,0.92,0.85,0.55,0.59,0.53,0.49,0.49,0.35,0.6,0.38,0.51,0.36,0.47,0.6,0.34,0.54,0.31,0.28,0.36,0.33,0.44,0.35,0.33,0.26,0.21,0.2,0.35,0.22,0.21,0.24,0.37,0.28,0.2,0.22,0.21,0.18,0.19,0.11,0.18,0.15,0.16,0.15,0.16,0.17,0.18,0.17,0.16,0.18,0.15,0.14,0.16,0.11,0.1,0.13,0.11,0.11,0.13,0.17,0.11,0.11,0.08,0.09,0.08,0.1,0.08,0.12,0.06,0.08,0.06,0.08,0.04,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/13/2021,9.18,7.88,7.96,7.76,5.68,3.33,3.1,3.99,1.83,3.33,2.49,1.67,1.76,2.02,1.78,2.06,1.49,1.41,1.29,1.19,1.03,0.9,0.87,1.25,1.3,0.9,0.41,0.84,0.94,0.86,1.07,0.95,0.86,0.56,0.57,0.51,0.47,0.52,0.34,0.56,0.36,0.52,0.38,0.46,0.55,0.36,0.55,0.31,0.27,0.35,0.33,0.42,0.35,0.32,0.27,0.22,0.21,0.33,0.22,0.21,0.24,0.34,0.28,0.2,0.21,0.2,0.19,0.18,0.11,0.18,0.15,0.16,0.15,0.15,0.18,0.18,0.18,0.16,0.16,0.15,0.13,0.16,0.12,0.11,0.13,0.11,0.12,0.16,0.2,0.11,0.11,0.09,0.09,0.09,0.1,0.08,0.12,0.06,0.08,0.06,0.07,0.05,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.12
08/16/2021,9.19,7.88,7.76,7.91,5.73,3.45,2.96,4.09,1.83,3.35,2.49,1.6,1.62,2.01,1.71,1.98,1.46,1.42,1.27,1.19,1.04,0.93,0.89,1.31,1.31,0.89,0.39,0.81,0.94,0.89,1.05,0.94,0.84,0.55,0.62,0.52,0.47,0.52,0.36,0.6,0.37,0.5,0.37,0.44,0.59,0.37,0.53,0.31,0.26,0.35,0.33,0.44,0.33,0.32,0.27,0.21,0.21,0.32,0.24,0.21,0.24,0.33,0.27,0.21,0.22,0.2,0.19,0.18,0.46,0.18,0.16,0.16,0.15,0.16,0.19,0.18,0.17,0.16,0.18,0.14,0.13,0.21,0.13,0.11,0.13,0.11,0.12,0.16,0.21,0.11,0.11,0.09,0.09,0.09,0.09,0.08,0.11,0.07,0.08,0.06,0.08,0.05,0.05,0.04,0.03,0.0,0.0,0.0,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/18/2021,9.22,8.0,7.62,8.14,5.46,3.41,2.97,4.16,1.79,3.34,2.58,1.61,1.62,1.99,1.73,1.86,1.48,1.44,1.29,1.2,1.09,0.93,0.9,1.27,1.3,0.88,0.4,0.82,0.96,0.84,1.04,0.91,0.85,0.55,0.59,0.53,0.46,0.5,0.37,0.58,0.37,0.5,0.39,0.45,0.58,0.38,0.53,0.31,0.26,0.35,0.33,0.43,0.34,0.32,0.28,0.22,0.21,0.33,0.25,0.2,0.25,0.34,0.25,0.24,0.22,0.2,0.2,0.18,0.48,0.18,0.17,0.16,0.16,0.15,0.19,0.19,0.18,0.16,0.17,0.14,0.13,0.2,0.12,0.11,0.13,0.11,0.12,0.17,0.2,0.11,0.12,0.09,0.09,0.09,0.1,0.08,0.11,0.07,0.08,0.06,0.07,0.05,0.05,0.04,0.03,0.0,0.0,0.0,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09
08/19/2021,9.15,7.8,7.53,8.16,5.26,3.38,2.78,4.11,1.72,3.47,2.59,1.61,1.58,1.97,1.68,1.95,1.47,1.48,1.3,1.22,1.11,0.85,0.93,1.3,1.34,0.89,0.36,0.86,0.99,0.88,1.07,0.95,0.87,0.57,0.6,0.57,0.47,0.51,0.38,0.59,0.36,0.51,0.41,0.46,0.64,0.38,0.51,0.32,0.27,0.36,0.34,0.46,0.35,0.33,0.29,0.23,0.21,0.3,0.24,0.21,0.26,0.38,0.26,0.24,0.24,0.21,0.21,0.19,0.12,0.18,0.17,0.17,0.16,0.16,0.18,0.2,0.18,0.16,0.18,0.15,0.13,0.22,0.13,0.11,0.13,0.11,0.13,0.15,0.21,0.11,0.12,0.09,0.09,0.09,0.1,0.08,0.11,0.07,0.08,0.06,0.08,0.05,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/20/2021,9.06,7.77,7.56,8.47,5.31,3.33,2.52,4.18,1.69,3.59,2.39,1.66,1.54,1.86,1.75,1.95,1.44,1.49,1.31,1.24,1.15,0.87,0.94,1.26,1.3,0.89,0.4,0.87,0.99,0.85,1.08,0.93,0.87,0.58,0.59,0.59,0.47,0.52,0.39,0.6,0.37,0.53,0.43,0.47,0.6,0.38,0.53,0.33,0.27,0.36,0.34,0.45,0.34,0.33,0.3,0.23,0.21,0.31,0.23,0.21,0.27,0.39,0.26,0.24,0.23,0.2,0.22,0.19,0.13,0.18,0.16,0.17,0.16,0.16,0.18,0.2,0.18,0.17,0.17,0.15,0.13,0.2,0.13,0.11,0.13,0.11,0.13,0.15,0.21,0.12,0.12,0.09,0.09,0.09,0.1,0.08,0.12,0.07,0.08,0.06,0.08,0.05,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
