,2SPY  210930C00000850,2SPY  210930C00428060,Cash&Other,2SPY  210930C00440900,2SPY  211231C00000850,2SPY  211231C00429140,2SPY  211231C00443820,SUM
09/28/2021,98.55,3.61,-0.14,-2.02,0.0,0.0,0.0,100.0
09/29/2021,98.55,3.61,-0.14,-2.02,0.0,0.0,0.0,100.0
09/30/2021,97.9,3.28,0.19,-1.37,0.0,0.0,0.0,100.0
10/01/2021,98.32,1.65,0.19,-0.17,0.0,0.0,0.0,99.99
10/04/2021,0.0,0.0,-0.61,0.0,100.18,3.59,-3.22,99.94
10/05/2021,0.0,0.0,0.05,0.0,100.01,4.22,-4.28,100.0
10/06/2021,0.0,0.0,0.05,0.0,100.01,4.22,-4.28,100.0
10/07/2021,0.0,0.0,0.05,0.0,99.83,3.69,-3.58,99.99
10/08/2021,0.0,0.0,0.05,0.0,99.96,4.12,-4.12,100.01
10/11/2021,0.0,0.0,0.05,0.0,100.08,4.35,-4.48,100.0
10/12/2021,0.0,0.0,0.04,0.0,100.11,4.51,-4.66,100.0
10/13/2021,0.0,0.0,0.04,0.0,100.11,4.51,-4.66,100.0
10/14/2021,0.0,0.0,0.04,0.0,99.87,4.06,-3.96,100.01000000000002
10/15/2021,0.0,0.0,0.03,0.0,99.68,3.72,-3.44,99.99
10/18/2021,0.0,0.0,0.02,0.0,100.16,4.94,-5.13,99.99
10/19/2021,0.0,0.0,0.02,0.0,100.45,5.43,-5.9,100.0
10/20/2021,0.0,0.0,0.02,0.0,100.45,5.43,-5.9,100.0
10/21/2021,0.0,0.0,0.02,0.0,100.55,5.63,-6.2,100.0
10/22/2021,0.0,0.0,0.02,0.0,100.94,6.23,-7.19,100.0
10/25/2021,0.0,0.0,0.01,0.0,101.2,6.6,-7.82,99.99
10/26/2021,0.0,0.0,0.01,0.0,101.18,6.55,-7.74,100.0
10/27/2021,0.0,0.0,0.01,0.0,101.18,6.55,-7.74,100.0
10/28/2021,0.0,0.0,0.0,0.0,101.46,6.93,-8.39,99.99999999999999
