,ECOPETROL.BC,PFBCOLO.BC,ISA.BC,BCOLOMBIA.BC,TGLS,NUTRESA.BC,CNE.TO,GEB.BC,PFDAVVNDA.BC,PXT.TO,GRUPOSURA.BC,TIGO.ST,ENELAM.SN,COPEC.SN,PFAVAL.BC,GRUPOARGOS.BC,MINEROS.BC,BVC.BC,CEMARGOS.BC,CORFICOLCF.BC,TERPEL.BC,PFGRUPSU.BC,CELSIA.BC,PFGRUPOA.BC,CONCONCRET.BC,ELCONDOR.BC,CLH.BC,PFCEMARG.BC,PROMIGAS.BC,PFCORCOL.BC,BOGOTA.BC,GRUPOAVAL,CAD,XTSLA,USD,COP,SEK,HBCFT,MESU1,GRUPOAVAL.BC,PFGRUPOARG,PFCEMARGOS,PFCORFICOL,CLP,MESZ1,SUM
08/04/2021,14.4,13.69,10.47,7.43,4.96,4.21,4.35,4.42,4.24,3.85,3.28,3.49,3.26,2.74,2.69,1.84,1.5,1.55,1.24,1.17,1.04,0.79,0.73,0.47,0.47,0.41,0.43,0.16,0.15,0.13,0.14,0.12,0.06,0.08,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,14.4,13.69,10.47,7.43,4.96,4.21,4.35,4.42,4.24,3.85,3.28,3.49,3.26,2.74,2.69,1.84,1.5,1.55,1.24,1.17,1.04,0.79,0.73,0.47,0.47,0.41,0.43,0.16,0.15,0.13,0.14,0.12,0.06,0.08,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/06/2021,14.34,13.65,10.52,7.59,5.02,4.14,4.37,4.43,4.19,3.85,3.42,3.53,3.25,2.64,2.71,1.81,1.51,1.52,1.19,1.14,1.02,0.8,0.74,0.47,0.47,0.42,0.44,0.16,0.15,0.13,0.14,0.12,0.06,0.08,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
08/10/2021,13.96,13.59,10.38,7.49,5.94,4.22,4.37,4.49,4.21,3.56,3.36,3.51,3.16,2.65,2.71,1.81,1.52,1.51,1.2,1.14,1.04,0.8,0.74,0.46,0.47,0.43,0.44,0.15,0.15,0.13,0.14,0.12,0.06,0.1,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/11/2021,13.96,13.59,10.38,7.49,5.94,4.22,4.37,4.49,4.21,3.56,3.36,3.51,3.16,2.65,2.71,1.81,1.52,1.51,1.2,1.14,1.04,0.8,0.74,0.46,0.47,0.43,0.44,0.15,0.15,0.13,0.14,0.12,0.06,0.1,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/13/2021,14.0,13.73,10.09,7.52,6.44,4.21,4.29,4.41,4.2,3.65,3.28,3.42,3.15,2.75,2.66,1.8,1.5,1.46,1.21,1.11,0.98,0.77,0.71,0.45,0.49,0.44,0.44,0.15,0.14,0.13,0.14,0.12,0.06,0.1,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/10/2021,12.7,13.96,9.84,7.64,4.7,4.19,4.39,4.46,4.48,4.09,3.63,3.64,3.66,3.67,2.88,1.93,1.41,1.3,1.28,1.13,1.09,0.91,0.72,0.46,0.43,0.36,0.3,0.11,0.1,0.1,0.13,0.0,0.0,0.0,0.1,0.06,0.02,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,100.0
09/16/2021,12.62,14.01,9.84,7.64,4.76,4.19,4.38,4.65,4.44,4.16,3.59,3.63,3.51,3.64,2.87,1.9,1.39,1.32,1.3,1.13,1.1,0.9,0.72,0.0,0.44,0.32,0.3,0.0,0.1,0.0,0.14,0.0,0.0,0.17,0.0,0.05,0.02,0.0,0.0,0.13,0.45,0.1,0.1,0.0,0.0,100.01
09/17/2021,12.57,14.11,9.81,7.72,4.52,4.27,4.4,4.64,4.45,4.09,3.63,3.64,3.54,3.67,2.88,1.86,1.4,1.31,1.3,1.13,1.11,0.9,0.72,0.45,0.44,0.33,0.31,0.11,0.1,0.1,0.14,0.0,0.02,0.09,0.05,0.05,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,99.99
09/20/2021,12.75,13.94,9.87,7.69,4.64,4.2,4.36,4.58,4.49,4.25,3.68,3.51,3.48,3.77,2.85,1.85,1.35,1.29,1.29,1.13,1.09,0.92,0.71,0.46,0.43,0.32,0.31,0.11,0.1,0.1,0.14,0.0,0.02,0.14,0.0,0.05,0.02,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,100.01999999999998
09/21/2021,12.55,14.01,10.03,7.74,4.65,4.21,4.39,4.51,4.38,4.09,3.7,3.51,3.49,3.78,2.9,1.87,1.37,1.29,1.3,1.14,1.13,0.92,0.73,0.46,0.43,0.32,0.31,0.11,0.1,0.1,0.14,0.0,0.02,0.14,0.0,0.05,0.02,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,100.01999999999998
09/22/2021,12.55,14.01,10.03,7.74,4.65,4.21,4.39,4.51,4.38,4.09,3.7,3.51,3.49,3.78,2.9,1.87,1.37,1.29,1.3,1.14,1.13,0.92,0.73,0.46,0.43,0.32,0.31,0.11,0.1,0.1,0.14,0.0,0.02,0.14,0.0,0.05,0.02,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,100.01999999999998
09/23/2021,12.54,14.19,10.05,7.77,4.49,4.21,4.38,4.59,4.44,4.0,3.69,3.54,3.44,3.62,2.88,1.88,1.39,1.31,1.31,1.16,1.15,0.92,0.72,0.46,0.43,0.33,0.32,0.11,0.1,0.1,0.14,0.0,0.02,0.15,0.0,0.04,0.02,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,100.02
09/24/2021,12.64,14.04,9.98,7.73,4.39,4.29,4.57,4.65,4.34,4.06,3.75,3.55,3.46,3.54,2.85,1.89,1.38,1.3,1.3,1.16,1.14,0.92,0.73,0.0,0.42,0.33,0.32,0.11,0.1,0.0,0.14,0.0,0.02,0.17,0.0,0.04,0.02,0.0,0.0,0.13,0.46,0.0,0.1,0.0,0.0,100.01999999999998
09/27/2021,12.7,13.96,9.7,7.59,4.63,4.2,4.64,4.58,4.4,4.38,3.65,3.56,3.61,3.55,2.83,1.86,1.37,1.33,1.28,1.13,1.12,0.91,0.74,0.46,0.4,0.32,0.31,0.1,0.1,0.1,0.14,0.0,0.02,0.17,0.0,0.04,0.02,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,100.03
09/28/2021,12.52,14.04,9.73,7.66,4.67,4.21,4.64,4.59,4.4,4.55,3.65,3.53,3.48,3.52,2.84,1.84,1.39,1.34,1.28,1.13,1.13,0.9,0.72,0.46,0.4,0.32,0.31,0.1,0.1,0.0,0.14,0.0,0.02,0.17,0.0,0.04,0.02,0.0,0.0,0.13,0.0,0.0,0.1,0.0,0.0,100.07
09/30/2021,12.82,14.41,9.67,7.86,4.53,4.13,4.55,4.56,4.45,4.49,3.65,3.48,3.34,3.36,2.82,1.85,1.37,1.29,1.26,1.11,1.11,0.9,0.72,0.45,0.39,0.31,0.3,0.1,0.1,0.1,0.14,0.0,0.02,0.17,0.0,0.12,0.02,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.06999999999998
10/01/2021,12.96,14.39,9.76,7.87,4.5,4.14,4.43,4.57,4.43,4.5,3.72,3.39,3.24,3.28,2.79,1.88,1.39,1.3,1.27,1.11,1.1,0.91,0.71,0.46,0.39,0.31,0.3,0.1,0.1,0.1,0.14,0.0,0.08,0.17,0.0,0.12,0.02,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.04999999999998
10/20/2021,13.43,14.46,9.2,7.92,5.09,4.04,4.85,4.49,4.43,4.81,3.8,3.2,3.01,2.63,2.74,1.94,1.34,1.25,1.3,1.08,1.18,0.89,0.68,0.46,0.32,0.3,0.36,0.11,0.09,0.09,0.13,0.0,0.07,0.1,0.0,0.06,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,99.98
10/21/2021,13.43,14.46,9.2,7.92,5.05,4.04,4.85,4.49,4.43,4.78,3.8,3.21,3.01,2.68,2.75,1.94,1.34,1.25,1.3,1.08,1.18,0.89,0.68,0.46,0.32,0.3,0.36,0.11,0.09,0.09,0.13,0.0,0.08,0.1,-0.01,0.06,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,99.98
10/22/2021,13.45,14.35,9.14,7.86,5.04,4.06,4.85,4.52,4.41,4.85,3.75,3.28,3.06,2.71,2.72,1.94,1.35,1.28,1.29,1.09,1.2,0.89,0.69,0.46,0.34,0.3,0.34,0.11,0.09,0.1,0.13,0.0,0.08,0.1,0.0,0.05,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.01
10/25/2021,13.28,14.35,9.16,7.85,5.26,4.04,4.85,4.5,4.45,4.76,3.79,3.28,2.98,2.81,2.73,1.91,1.37,1.29,1.27,1.09,1.2,0.9,0.69,0.45,0.34,0.31,0.33,0.1,0.09,0.1,0.13,0.0,0.08,0.1,0.0,0.05,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.02
10/26/2021,13.26,14.2,9.2,7.76,5.32,4.02,4.87,4.51,4.4,4.84,3.78,3.27,3.02,2.86,2.74,1.91,1.4,1.28,1.28,1.09,1.18,0.89,0.69,0.45,0.33,0.31,0.34,0.11,0.09,0.1,0.13,0.0,0.08,0.1,-0.01,0.05,0.02,0.0,0.0,0.12,0.0,0.0,0.0,0.05,0.0,100.04
10/27/2021,13.26,14.2,9.2,7.76,5.32,4.02,4.87,4.51,4.4,4.84,3.78,3.27,3.02,2.86,2.74,1.91,1.4,1.28,1.28,1.09,1.18,0.89,0.69,0.45,0.33,0.31,0.34,0.11,0.09,0.0,0.13,0.0,0.08,0.1,-0.01,0.05,0.02,0.0,0.0,0.12,0.0,0.0,0.1,0.05,0.0,100.04
11/01/2021,13.14,14.28,9.21,7.93,5.53,4.03,4.83,4.27,4.45,4.59,3.72,3.2,2.95,2.93,2.75,1.9,1.42,1.28,1.29,1.09,1.22,0.89,0.68,0.45,0.33,0.3,0.38,0.1,0.09,0.1,0.14,0.0,0.08,0.05,-0.02,0.22,0.01,0.02,0.0,0.12,0.0,0.0,0.0,0.05,0.0,100.0
11/02/2021,13.08,14.3,9.26,7.82,5.65,4.04,4.86,4.24,4.41,4.6,3.73,3.15,2.89,2.97,2.77,1.92,1.43,1.26,1.31,1.1,1.23,0.9,0.69,0.45,0.33,0.31,0.38,0.11,0.1,0.1,0.14,0.0,0.08,0.11,-0.03,0.23,0.02,0.02,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.07999999999996
11/03/2021,13.08,14.3,9.26,7.82,5.65,4.04,4.86,4.24,4.41,4.6,3.73,3.15,2.89,2.97,2.77,1.92,1.43,1.26,1.31,1.1,1.23,0.9,0.69,0.45,0.33,0.31,0.38,0.11,0.1,0.1,0.14,0.0,0.08,0.11,-0.03,0.23,0.02,0.02,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.07999999999996
11/04/2021,13.05,14.27,9.24,7.81,5.77,4.03,4.86,4.23,4.4,4.68,3.72,3.16,2.85,2.93,2.76,1.91,1.43,1.26,1.31,1.1,1.22,0.89,0.69,0.45,0.33,0.31,0.38,0.1,0.09,0.1,0.14,0.0,0.08,0.1,-0.04,0.23,0.02,0.02,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.0
11/05/2021,13.16,14.46,9.34,7.92,5.63,4.05,4.6,4.19,4.41,4.59,3.71,3.18,2.89,2.96,2.75,1.89,1.42,1.27,1.31,1.1,1.19,0.89,0.68,0.45,0.33,0.31,0.38,0.1,0.09,0.1,0.14,0.0,0.08,0.11,0.14,0.05,0.02,0.02,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.02999999999996
11/09/2021,13.22,14.14,9.31,7.77,5.92,4.06,4.5,4.12,4.37,4.45,3.79,3.34,3.2,3.03,2.74,1.92,1.41,1.26,1.32,1.1,1.2,0.89,0.68,0.45,0.32,0.31,0.38,0.1,0.1,0.1,0.13,0.0,0.05,0.11,-0.05,0.04,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.08,0.0,99.99
11/10/2021,13.22,14.14,9.31,7.77,5.92,4.06,4.5,4.12,4.37,4.45,3.79,3.34,3.2,3.03,2.74,1.92,1.41,1.26,1.32,1.1,1.2,0.89,0.68,0.45,0.32,0.31,0.38,0.1,0.1,0.1,0.13,0.0,0.05,0.11,-0.05,0.04,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.08,0.0,99.99
11/11/2021,13.37,14.13,9.22,7.74,6.09,4.06,4.45,4.18,4.4,4.48,3.7,3.28,3.19,2.93,2.74,1.92,1.43,1.24,1.31,1.09,1.24,0.89,0.68,0.45,0.33,0.29,0.38,0.1,0.1,0.1,0.13,0.0,0.05,0.11,-0.05,0.04,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.08,0.0,100.0
11/12/2021,13.48,14.04,9.25,7.63,6.27,4.02,4.35,4.18,4.36,4.39,3.63,3.29,3.25,3.15,2.71,1.91,1.39,1.27,1.29,1.09,1.23,0.88,0.69,0.45,0.32,0.3,0.37,0.1,0.1,0.1,0.13,0.0,0.05,0.11,-0.05,0.05,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.09,0.0,100.0
11/17/2021,13.28,13.82,9.25,7.6,6.57,4.06,4.34,4.21,4.24,4.41,3.72,3.43,3.24,3.14,2.71,1.92,1.35,1.26,1.31,1.09,1.24,0.89,0.69,0.46,0.32,0.3,0.38,0.1,0.1,0.1,0.13,0.0,0.05,0.14,-0.01,0.05,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.02
11/18/2021,13.3,13.84,9.27,7.61,6.58,4.07,4.32,4.22,4.25,4.43,3.73,3.45,3.2,2.97,2.72,1.92,1.35,1.26,1.31,1.09,1.24,0.89,0.69,0.46,0.32,0.3,0.38,0.1,0.1,0.1,0.13,0.0,0.1,0.14,-0.01,0.05,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.00999999999998
11/19/2021,13.1,13.67,9.33,7.46,6.74,4.13,4.51,4.15,4.22,4.52,3.78,3.46,3.14,2.92,2.67,1.95,1.4,1.28,1.32,1.1,1.25,0.91,0.7,0.46,0.32,0.3,0.38,0.1,0.1,0.1,0.14,0.0,0.1,0.14,-0.01,0.05,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.01999999999998
11/22/2021,13.21,13.61,9.57,7.38,6.94,4.14,4.41,4.17,4.17,4.5,3.69,3.39,3.02,2.89,2.77,1.92,1.39,1.26,1.31,1.12,1.25,0.9,0.7,0.45,0.31,0.3,0.37,0.1,0.1,0.1,0.14,0.0,0.1,0.14,-0.01,0.05,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,99.99
11/23/2021,13.21,13.61,9.57,7.38,6.94,4.14,4.41,4.17,4.17,4.5,3.69,3.39,3.02,2.89,2.77,1.92,1.39,1.26,1.31,1.12,1.25,0.9,0.7,0.45,0.31,0.3,0.37,0.1,0.1,0.1,0.14,0.0,0.1,0.14,-0.01,0.05,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,99.99
11/24/2021,12.89,13.51,9.51,7.39,6.9,4.23,4.38,4.16,4.1,4.49,3.86,3.39,3.26,3.11,2.68,1.9,1.34,1.27,1.33,1.12,1.26,0.92,0.7,0.46,0.32,0.31,0.36,0.1,0.1,0.1,0.14,0.0,0.1,0.17,-0.04,0.04,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,99.99
