,TWTR,NFLX,FB,CHTR,DISH,CMCSA,VIAC,TMUS,T,VZ,DIS,EA,LYV,ATVI,IPG,OMC,TTWO,LUMN,NWSA,FOXA,DISCK,GOOGL,GOOG,DISCA,FOX,NWS,Cash/Receivables/Payables,AGPXX,Securities Lending - Bnym,Interest/Overdraft,n/a,CENCOSHOPP.SN,MTCH,SUM
07/29/2021,5.18,4.82,5.13,4.85,4.87,4.71,4.54,4.55,4.38,4.44,4.6,4.53,4.29,4.19,4.76,3.99,4.23,3.91,3.25,3.06,2.75,2.54,2.54,1.62,1.32,0.97,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,100.0
07/30/2021,5.21,4.89,5.12,4.88,4.94,4.75,4.5,4.59,4.43,4.52,4.67,4.47,4.23,3.95,4.77,4.04,4.14,3.91,3.27,3.06,2.74,2.52,2.51,1.61,1.32,0.97,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,99.99
08/02/2021,5.37,4.85,4.99,4.79,4.86,4.71,4.54,4.59,4.45,4.5,4.64,4.52,4.26,3.92,4.71,4.03,4.2,3.85,3.26,3.07,2.82,2.6,2.51,1.69,1.32,0.97,0.0,0.01,0.0,-0.01,0.0,0.0,0.0,100.01999999999998
08/03/2021,5.34,4.9,4.98,5.02,4.84,4.79,4.47,4.58,4.43,4.51,4.6,4.55,4.18,3.94,4.79,4.02,4.3,3.83,3.28,3.02,2.72,2.56,2.46,1.63,1.3,0.97,-0.01,0.01,0.0,0.0,0.0,0.0,0.0,100.01
08/04/2021,5.34,4.9,4.98,5.02,4.84,4.79,4.47,4.58,4.43,4.51,4.6,4.55,4.18,3.94,4.79,4.02,4.3,3.83,3.28,3.02,2.72,2.56,2.46,1.63,1.3,0.97,-0.01,0.01,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,5.29,4.88,4.91,5.05,4.82,4.76,4.46,4.61,4.43,4.5,4.58,4.55,4.19,3.9,4.81,4.03,4.29,3.85,3.29,3.02,2.73,2.56,2.47,1.63,1.3,0.98,-0.01,0.15,0.0,0.0,0.0,0.0,0.0,100.03
08/09/2021,5.29,4.96,5.07,5.18,4.83,4.74,4.54,4.52,4.41,4.46,4.6,4.32,4.48,3.79,4.94,4.06,3.89,3.62,3.31,3.15,2.75,2.6,2.51,1.64,1.33,0.98,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/10/2021,5.15,4.92,5.08,5.18,4.84,4.77,4.54,4.53,4.41,4.45,4.61,4.3,4.51,3.89,5.0,4.09,3.93,3.61,3.29,3.09,2.73,2.59,2.51,1.63,1.31,0.98,0.0,0.04,0.0,0.0,0.0,0.0,0.0,99.98
08/11/2021,5.15,4.92,5.08,5.18,4.84,4.77,4.54,4.53,4.41,4.45,4.61,4.3,4.51,3.89,5.0,4.09,3.93,3.61,3.29,3.09,2.73,2.59,2.51,1.63,1.31,0.98,0.0,0.04,0.0,0.0,0.0,0.0,0.0,99.98
08/13/2021,5.01,4.87,5.04,5.15,4.98,4.75,4.45,4.56,4.43,4.47,4.61,4.32,4.42,3.91,5.0,4.13,3.96,3.68,3.23,3.13,2.78,2.61,2.53,1.65,1.32,0.97,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,4.94,4.81,5.05,5.19,4.95,4.78,4.35,4.59,4.41,4.47,4.65,4.37,4.42,4.0,5.07,4.19,3.97,3.71,3.18,3.12,2.72,2.61,2.53,1.61,1.32,0.95,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,4.87,4.9,5.12,5.27,4.98,4.82,4.21,4.48,4.45,4.51,4.67,4.42,4.29,3.96,5.1,4.19,3.98,3.71,3.14,3.15,2.68,2.64,2.55,1.59,1.33,0.95,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
08/20/2021,4.82,4.92,5.03,5.32,4.99,4.85,4.28,4.49,4.47,4.54,4.6,4.47,4.27,3.95,5.09,4.14,4.07,3.72,3.07,3.14,2.72,2.62,2.53,1.61,1.33,0.93,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.01
08/23/2021,4.82,5.23,5.05,5.38,4.93,4.87,4.41,4.56,4.42,4.54,4.59,4.52,4.27,3.99,4.97,4.0,4.1,3.55,2.96,3.11,2.69,2.64,2.56,1.58,1.32,0.9,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
08/24/2021,4.82,5.22,5.06,5.39,4.99,4.87,4.38,4.55,4.39,4.51,4.6,4.46,4.27,3.93,4.98,3.99,4.03,3.67,2.97,3.14,2.7,2.65,2.56,1.59,1.33,0.9,0.0,0.04,0.0,0.0,0.0,0.0,0.0,99.99
08/25/2021,4.82,5.22,5.06,5.39,4.99,4.87,4.38,4.55,4.39,4.51,4.6,4.46,4.27,3.93,4.98,3.99,4.03,3.67,2.97,3.14,2.7,2.65,2.56,1.59,1.33,0.9,0.0,0.04,0.0,0.0,0.0,0.0,0.0,99.99
08/26/2021,4.88,5.22,5.06,5.35,4.97,4.84,4.39,4.52,4.33,4.45,4.61,4.49,4.4,3.87,5.0,4.0,4.04,3.66,2.97,3.13,2.71,2.67,2.58,1.59,1.33,0.9,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
08/27/2021,4.86,5.21,5.08,5.31,4.96,4.81,4.43,4.51,4.31,4.41,4.63,4.48,4.51,3.84,4.99,3.99,4.05,3.73,2.96,3.12,2.73,2.69,2.6,1.6,1.33,0.9,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.05
08/30/2021,4.81,5.24,5.12,5.4,4.98,4.82,4.39,4.41,4.29,4.43,4.63,4.49,4.51,3.86,4.97,3.99,3.97,3.76,2.99,3.12,2.69,2.71,2.6,1.57,1.33,0.91,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,4.81,5.25,5.17,5.39,4.95,4.8,4.44,4.38,4.26,4.39,4.66,4.48,4.56,3.86,4.96,4.02,3.95,3.66,3.01,3.13,2.7,2.72,2.62,1.57,1.33,0.91,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.02
09/01/2021,4.81,5.25,5.17,5.39,4.95,4.8,4.44,4.38,4.26,4.39,4.66,4.48,4.56,3.86,4.96,4.02,3.95,3.66,3.01,3.13,2.7,2.72,2.62,1.57,1.33,0.91,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.02
09/02/2021,4.91,5.32,5.29,5.44,4.97,4.82,4.37,4.36,4.27,4.39,4.66,4.5,4.55,3.8,4.92,3.96,3.9,3.65,2.96,3.12,2.65,2.73,2.63,1.55,1.33,0.9,0.0,0.04,0.0,0.0,0.0,0.0,0.0,99.99
09/03/2021,4.85,5.3,5.22,5.41,4.95,4.85,4.46,4.29,4.26,4.36,4.65,4.51,4.51,3.83,4.96,3.98,3.94,3.72,2.94,3.12,2.71,2.71,2.61,1.59,1.33,0.9,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
09/06/2021,4.83,5.45,5.13,5.4,5.15,4.91,4.44,4.24,4.27,4.36,4.64,4.49,4.48,3.75,4.97,4.02,3.94,3.72,2.95,3.08,2.72,2.67,2.57,1.59,1.31,0.9,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.02000000000002
09/07/2021,4.85,5.49,5.16,5.36,5.15,4.93,4.43,4.25,4.27,4.39,4.63,4.55,4.47,3.76,4.96,4.0,3.92,3.66,2.95,3.07,2.67,2.69,2.59,1.56,1.3,0.9,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
09/08/2021,4.85,5.49,5.16,5.36,5.15,4.93,4.43,4.25,4.27,4.39,4.63,4.55,4.47,3.76,4.96,4.0,3.92,3.66,2.95,3.07,2.67,2.69,2.59,1.56,1.3,0.9,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
09/09/2021,4.85,5.49,5.16,5.36,5.15,4.93,4.43,4.25,4.27,4.39,4.63,4.55,4.47,3.76,4.96,4.0,3.92,3.66,2.95,3.07,2.67,2.69,2.59,1.56,1.3,0.9,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
09/10/2021,4.89,5.66,5.26,5.31,5.16,4.83,4.48,4.22,4.27,4.35,4.73,4.52,4.57,3.65,4.91,3.98,3.89,3.63,2.91,3.06,2.64,2.71,2.61,1.54,1.31,0.89,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.02
09/13/2021,4.76,5.65,5.27,5.28,5.06,4.83,4.4,4.18,4.32,4.38,4.84,4.49,4.56,3.68,4.98,3.98,3.89,3.79,2.93,3.07,2.57,2.73,2.64,1.5,1.31,0.89,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.02
09/14/2021,4.73,5.7,5.32,5.33,4.96,4.85,4.36,4.19,4.32,4.4,4.83,4.61,4.58,3.78,4.93,3.98,3.85,3.7,2.93,3.06,2.53,2.7,2.6,1.48,1.3,0.89,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.03
09/15/2021,4.73,5.7,5.32,5.33,4.96,4.85,4.36,4.19,4.32,4.4,4.82,4.61,4.58,3.78,4.93,3.98,3.85,3.7,2.93,3.06,2.53,2.7,2.6,1.47,1.3,0.89,0.0,0.11,0.0,0.0,0.0,0.0,0.0,100.0
09/16/2021,4.55,5.56,5.25,5.32,5.1,4.86,4.4,4.13,4.34,4.39,4.81,4.56,4.7,3.7,5.0,4.0,3.79,3.86,2.91,3.07,2.6,2.7,2.61,1.51,1.31,0.88,0.0,0.11,0.0,0.0,0.0,0.0,0.0,100.02
09/17/2021,4.66,5.54,5.33,5.19,4.91,4.58,4.31,4.16,4.37,4.44,4.81,4.65,4.75,3.72,5.08,4.05,3.83,3.89,2.97,3.03,2.56,2.75,2.65,1.49,1.29,0.9,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.03000000000002
09/20/2021,4.77,5.57,5.23,5.17,4.95,4.67,4.43,4.12,4.37,4.4,4.79,4.31,4.6,3.75,5.04,4.06,3.78,3.93,3.0,3.17,2.58,2.75,2.65,1.52,1.35,0.91,0.0,0.11,0.0,0.0,0.0,0.0,0.0,99.97999999999998
09/21/2021,4.8,5.62,5.13,5.17,4.93,4.67,4.4,4.1,4.37,4.4,4.81,4.25,4.62,3.78,5.04,4.06,3.79,4.0,2.99,3.21,2.61,2.71,2.61,1.52,1.37,0.9,0.0,0.11,0.0,0.0,0.0,0.0,0.0,99.97
09/22/2021,4.8,5.62,5.13,5.17,4.93,4.67,4.4,4.1,4.37,4.4,4.81,4.25,4.62,3.78,5.04,4.06,3.79,4.0,2.99,3.21,2.61,2.71,2.61,1.52,1.37,0.9,0.0,0.11,0.0,0.0,0.0,0.0,0.0,99.97
09/23/2021,4.58,4.44,4.35,4.45,4.55,4.41,4.53,4.44,4.63,4.63,4.49,4.15,4.66,4.42,4.63,4.61,4.47,4.92,3.54,3.34,2.9,2.33,2.21,1.7,1.44,1.08,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.02
09/24/2021,4.76,4.47,4.41,4.44,4.53,4.41,4.55,4.46,4.63,4.65,4.34,4.08,4.62,4.28,4.65,4.62,4.42,4.91,3.63,3.37,2.84,2.36,2.24,1.66,1.46,1.11,0.0,0.12,0.0,0.0,0.0,0.0,0.0,100.02
09/27/2021,4.92,4.5,4.15,4.28,4.55,4.3,4.59,4.55,4.54,4.56,4.35,4.0,4.83,4.26,4.82,4.7,4.33,4.83,3.82,3.39,2.8,2.33,2.21,1.63,1.46,1.17,0.0,0.14,0.0,0.0,0.0,0.0,0.0,100.01
09/28/2021,4.93,4.47,4.21,4.24,4.57,4.28,4.55,4.47,4.51,4.53,4.31,4.04,4.86,4.27,4.85,4.71,4.32,4.88,3.85,3.45,2.76,2.33,2.21,1.61,1.48,1.19,0.0,0.14,0.0,0.0,0.0,0.0,0.0,100.02
09/29/2021,4.93,4.47,4.21,4.24,4.57,4.28,4.55,4.47,4.51,4.53,4.31,4.04,4.86,4.27,4.85,4.71,4.32,4.88,3.85,3.45,2.76,2.33,2.21,1.61,1.48,1.19,0.0,0.14,0.0,0.0,0.0,0.0,0.0,100.02
09/30/2021,4.77,4.44,4.2,4.19,4.7,4.26,4.58,4.39,4.53,4.51,4.35,4.08,4.88,4.23,4.81,4.75,4.34,4.92,3.8,3.5,2.82,2.3,2.18,1.65,1.5,1.18,0.0,0.14,0.0,0.0,0.0,0.0,0.0,100.0
10/07/2021,4.3,4.56,3.9,4.27,4.81,4.34,4.47,4.34,4.54,4.55,4.27,4.47,5.16,4.39,4.69,4.67,4.62,4.89,3.72,3.65,2.8,2.2,2.08,1.63,1.57,1.15,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,99.99
10/08/2021,4.35,4.74,3.94,4.25,4.73,4.28,4.46,4.29,4.5,4.5,4.24,4.44,5.19,4.31,4.7,4.72,4.71,4.83,3.72,3.65,2.84,2.21,2.09,1.65,1.56,1.15,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,100.0
10/11/2021,4.63,4.71,3.88,4.21,4.73,4.32,4.48,4.2,4.44,4.43,4.3,4.23,5.13,4.33,4.65,4.69,4.95,4.73,3.76,3.66,2.84,2.26,2.13,1.66,1.57,1.16,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,100.03
10/14/2021,4.6,4.78,3.92,4.03,4.62,4.02,4.53,4.09,4.37,4.39,4.3,4.39,5.2,4.37,4.72,4.79,5.06,4.64,3.83,3.74,2.78,2.3,2.17,1.62,1.61,1.19,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,100.01
10/15/2021,4.59,4.8,3.93,4.04,4.61,4.06,4.54,4.09,4.3,4.35,4.32,4.33,5.34,4.33,4.69,4.73,5.12,4.66,3.84,3.76,2.74,2.28,2.16,1.59,1.61,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/18/2021,4.65,4.79,3.93,4.05,4.61,4.12,4.51,4.13,4.27,4.34,4.29,4.23,5.28,4.33,4.77,4.83,4.98,4.62,3.81,3.74,2.76,2.32,2.2,1.61,1.61,1.19,0.0,0.01,0.0,0.0,0.0,0.0,0.0,99.98
10/19/2021,4.63,4.77,3.9,4.04,4.6,4.14,4.46,4.08,4.3,4.38,4.35,4.22,5.36,4.36,4.8,4.85,5.03,4.59,3.8,3.68,2.74,2.33,2.21,1.59,1.6,1.19,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01
10/20/2021,4.63,4.77,3.9,4.04,4.6,4.14,4.46,4.08,4.3,4.38,4.35,4.22,5.36,4.36,4.8,4.85,5.03,4.59,3.8,3.68,2.74,2.33,2.21,1.59,1.6,1.19,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01
10/21/2021,4.78,4.83,4.02,4.08,4.6,4.07,4.41,4.07,4.23,4.34,4.22,4.21,5.4,4.35,4.79,4.84,5.06,4.59,3.74,3.7,2.72,2.35,2.23,1.58,1.6,1.18,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
10/22/2021,4.83,4.8,4.04,4.11,4.65,4.11,4.43,4.08,4.24,4.34,4.18,4.24,5.23,4.36,4.76,4.8,5.03,4.61,3.73,3.76,2.73,2.34,2.22,1.58,1.62,1.18,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01000000000002
10/25/2021,4.77,4.9,4.06,4.2,4.61,4.09,4.28,4.01,4.25,4.42,4.18,4.35,5.25,4.44,4.6,4.53,5.31,4.69,3.74,3.72,2.72,2.31,2.2,1.58,1.61,1.18,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.02
10/26/2021,4.57,5.02,3.88,4.2,4.58,4.14,4.28,4.04,4.24,4.42,4.16,4.4,5.3,4.5,4.62,4.48,5.31,4.72,3.81,3.74,2.76,2.26,2.15,1.6,1.62,1.2,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,99.98999999999998
10/28/2021,4.56,5.07,3.93,4.2,4.61,4.12,4.29,4.01,4.27,4.38,4.22,4.43,5.28,4.61,4.52,4.43,5.38,4.62,3.82,3.68,2.77,2.26,2.15,1.61,1.59,1.21,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.01
10/29/2021,4.53,5.07,3.79,4.21,4.57,4.12,4.25,4.04,4.24,4.45,4.25,4.46,5.34,4.61,4.6,4.5,5.39,4.6,3.79,3.68,2.71,2.3,2.18,1.58,1.59,1.19,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.03
11/01/2021,4.07,5.2,3.87,4.15,4.45,4.04,4.31,4.1,4.34,4.49,4.25,4.46,5.39,4.57,4.68,4.45,5.43,4.57,3.74,3.66,2.71,2.44,2.32,1.58,1.58,1.15,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01000000000002
11/02/2021,4.04,5.36,3.97,3.99,4.46,4.03,4.24,4.08,4.32,4.54,4.27,4.49,5.46,4.56,4.7,4.41,5.46,4.6,3.72,3.59,2.63,2.5,2.36,1.53,1.55,1.14,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01
11/03/2021,4.04,5.36,3.97,3.99,4.46,4.03,4.24,4.08,4.32,4.54,4.27,4.49,5.46,4.56,4.7,4.41,5.46,4.6,3.72,3.59,2.63,2.5,2.36,1.53,1.55,1.14,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01
11/04/2021,4.04,5.36,3.97,3.99,4.46,4.03,4.24,4.08,4.32,4.54,4.27,4.49,5.46,4.56,4.7,4.41,5.46,4.6,3.72,3.59,2.63,2.5,2.36,1.53,1.55,1.14,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01
11/05/2021,3.85,4.96,3.8,3.8,4.4,3.89,4.13,3.88,4.07,4.25,4.05,4.24,5.44,4.28,4.32,4.15,5.24,4.48,3.61,3.55,2.6,2.31,2.2,1.52,1.53,1.11,0.0,0.14,0.0,0.0,0.0,0.0,4.2,100.0
11/08/2021,3.82,4.89,3.88,3.82,3.8,3.89,3.96,4.11,4.0,4.19,4.05,4.3,5.47,3.75,4.33,4.13,5.49,5.02,3.6,3.52,2.71,2.36,2.24,1.57,1.52,1.12,0.0,0.04,0.0,0.0,0.0,0.0,4.43,100.01
11/09/2021,3.72,4.65,3.88,3.77,3.82,3.92,3.95,4.04,3.98,4.15,4.11,4.14,6.2,3.67,4.34,4.14,5.24,5.08,3.68,3.48,2.78,2.33,2.21,1.61,1.5,1.14,0.0,0.04,0.0,0.0,0.0,0.0,4.46,100.03000000000002
11/10/2021,3.72,4.65,3.88,3.77,3.82,3.92,3.95,4.04,3.98,4.15,4.11,4.14,6.2,3.67,4.34,4.14,5.24,5.08,3.68,3.48,2.78,2.33,2.21,1.61,1.5,1.14,0.0,0.04,0.0,0.0,0.0,0.0,4.46,100.03000000000002
11/11/2021,3.82,4.73,3.89,3.84,3.84,3.92,3.93,4.02,3.98,4.2,4.18,4.14,5.92,3.65,4.36,4.19,5.23,5.09,3.66,3.43,2.77,2.35,2.24,1.61,1.49,1.14,0.0,0.01,0.0,0.0,0.03,0.0,4.37,100.03
11/12/2021,3.8,4.78,3.86,3.86,3.76,3.95,3.9,3.99,3.96,4.2,4.15,4.2,5.91,3.67,4.34,4.2,5.29,5.1,3.62,3.44,2.82,2.36,2.24,1.64,1.49,1.13,0.0,0.01,0.0,0.0,0.0,0.0,4.37,100.04
11/15/2021,3.69,4.8,3.78,3.85,3.71,3.95,3.92,3.96,4.01,4.23,3.85,4.35,5.8,3.7,4.47,4.24,5.27,5.21,3.61,3.5,2.99,2.31,2.21,1.74,1.51,1.12,0.0,0.01,0.0,0.0,0.0,0.0,4.22,100.01
11/16/2021,3.7,4.97,3.93,3.82,3.73,3.93,3.87,3.94,4.0,4.21,3.78,4.37,5.69,3.82,4.38,4.19,5.32,5.18,3.64,3.49,2.96,2.35,2.25,1.72,1.5,1.13,0.0,0.01,0.0,0.0,0.0,0.0,4.13,100.01
11/17/2021,3.7,4.97,3.93,3.82,3.73,3.93,3.87,3.94,4.0,4.21,3.78,4.37,5.69,3.82,4.38,4.19,5.32,5.18,3.64,3.49,2.96,2.35,2.25,1.72,1.5,1.13,0.0,0.01,0.0,0.0,0.0,0.0,4.13,100.01
11/18/2021,3.76,4.96,4.01,3.85,3.7,3.93,3.94,3.93,3.99,4.22,3.76,4.25,5.88,3.86,4.36,4.21,5.04,5.15,3.59,3.51,2.98,2.35,2.25,1.72,1.52,1.11,0.0,0.01,0.0,0.0,0.0,0.0,4.18,100.02
11/19/2021,3.73,5.05,3.99,3.86,3.68,3.94,3.9,3.98,3.99,4.23,3.8,4.23,5.92,3.66,4.36,4.18,5.14,5.14,3.64,3.46,2.97,2.36,2.26,1.72,1.5,1.14,0.0,0.01,0.0,0.0,0.0,0.0,4.16,100.0
11/22/2021,3.73,5.05,3.99,3.85,3.68,3.94,3.9,3.98,3.99,4.23,3.8,4.23,5.92,3.66,4.36,4.18,5.14,5.14,3.64,3.46,2.97,2.36,2.26,1.72,1.5,1.14,0.0,0.01,0.0,0.0,0.0,0.0,4.16,99.99
11/23/2021,3.73,5.05,3.99,3.85,3.68,3.94,3.9,3.98,3.99,4.23,3.8,4.23,5.92,3.66,4.36,4.18,5.14,5.14,3.64,3.46,2.97,2.36,2.26,1.72,1.5,1.14,0.0,0.01,0.0,0.0,0.0,0.0,4.16,99.99
11/24/2021,3.59,5.17,4.16,3.96,3.58,3.99,3.87,4.03,4.05,4.28,3.82,4.16,5.97,3.57,4.34,4.27,5.05,5.09,3.54,3.46,2.83,2.47,2.35,1.62,1.5,1.11,0.0,0.01,0.0,0.0,0.0,0.0,4.15,99.99
11/25/2021,3.53,5.06,4.14,3.9,3.61,3.99,3.88,4.0,4.17,4.36,3.85,4.0,5.98,3.59,4.36,4.36,4.92,5.23,3.61,3.46,2.9,2.44,2.32,1.66,1.5,1.14,0.0,0.01,0.0,0.0,0.0,0.0,4.05,100.02
11/26/2021,3.52,5.01,4.09,3.94,3.56,4.03,3.82,4.05,4.18,4.38,3.77,4.06,6.01,3.56,4.38,4.43,4.93,5.3,3.56,3.49,2.88,2.43,2.32,1.66,1.51,1.12,0.0,0.01,0.0,0.0,0.0,0.0,4.0,100.0
11/29/2021,3.55,5.05,4.14,3.93,3.63,4.02,3.85,4.02,4.14,4.38,3.78,4.01,6.02,3.52,4.38,4.42,4.91,5.32,3.54,3.44,2.85,2.44,2.32,1.63,1.49,1.12,0.0,0.01,0.0,0.0,0.0,0.0,4.07,99.98
11/30/2021,3.58,5.2,4.12,4.0,3.65,4.03,3.85,4.06,4.17,4.47,3.76,4.06,5.63,3.56,4.37,4.42,5.16,5.16,3.51,3.42,2.84,2.41,2.3,1.63,1.48,1.1,0.0,0.01,0.0,0.0,0.0,0.0,4.03,99.98
12/01/2021,3.58,5.2,4.12,4.0,3.65,4.03,3.85,4.06,4.17,4.47,3.76,4.06,5.63,3.56,4.37,4.42,5.16,5.16,3.51,3.42,2.84,2.41,2.3,1.63,1.48,1.1,0.0,0.01,0.0,0.0,0.0,0.0,4.03,99.97999999999999
