,LLY,MRK,GILD,ABBV,AMGN,ABT,PFE,JNJ,BIIB,REGN,EBS,LGND,INVA,PBH,ALXN,HTD.,TARO,JAZZ,PRGO,SUPN,HZNP,UTHR,BHC.TO,PCRX,ENDP,AGPXX,CORT,Endo International PLC,Securities Lending - Bnym,Cash/Receivables/Payables,Interest/Overdraft,AZN,Bausch Health Companies Inc,n/a,688008.SS,BHC,ENTA,TVTX,SUM
08/30/2021,7.28,5.76,5.99,5.84,5.08,5.89,6.69,5.66,4.1,4.38,3.64,3.05,3.68,3.74,0.0,0.0,3.23,2.45,2.87,2.75,3.7,3.64,2.95,2.84,0.0,0.06,3.27,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,100.0
08/31/2021,7.21,5.72,5.96,5.78,5.09,5.82,6.56,5.63,4.1,4.35,3.7,3.12,3.7,3.77,0.0,0.0,3.16,2.45,2.86,2.89,3.69,3.72,3.02,2.92,1.41,0.05,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/01/2021,7.21,5.72,5.95,5.78,5.09,5.82,6.56,5.63,4.1,4.35,3.7,3.12,3.7,3.77,0.0,0.0,3.16,2.45,2.86,2.89,3.69,3.72,3.02,2.92,0.0,0.05,3.32,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,99.99
09/02/2021,7.23,5.69,5.97,5.78,5.09,5.84,6.53,5.61,4.08,4.41,3.65,3.28,3.84,3.77,0.0,0.0,3.11,2.4,2.87,2.86,3.68,3.7,3.02,2.88,1.39,0.05,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/03/2021,5.86,5.85,6.0,6.01,5.99,6.0,5.67,5.88,3.59,3.72,3.72,4.23,0.0,3.7,0.0,0.0,3.63,3.57,3.7,4.06,3.69,3.87,3.76,3.75,0.0,0.05,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/06/2021,5.86,5.88,5.94,5.55,5.97,6.07,5.74,5.91,3.53,3.71,3.72,4.45,0.0,3.71,0.0,0.0,3.75,3.66,3.73,4.06,3.74,3.8,3.78,3.73,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,99.98999999999998
09/07/2021,5.87,5.91,5.92,5.54,6.0,6.11,5.76,5.93,3.52,3.74,3.72,4.41,0.0,3.7,0.0,0.0,3.77,3.7,3.78,4.04,3.75,3.78,0.0,3.59,0.0,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,3.78,0.0,0.0,100.0
09/08/2021,5.87,5.91,5.92,5.54,6.0,6.11,5.76,5.93,3.52,3.74,3.72,4.41,0.0,3.7,0.0,0.0,3.77,3.7,3.78,4.04,3.75,3.78,3.78,3.59,0.0,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,100.0
09/10/2021,5.85,5.9,5.94,5.49,5.95,6.17,5.83,5.92,3.51,3.74,3.62,4.27,0.0,3.64,0.0,0.0,3.82,3.7,3.81,4.07,3.77,3.79,3.82,3.61,0.0,0.01,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
09/13/2021,5.59,5.81,5.98,5.49,5.88,6.24,5.82,5.87,3.26,3.66,3.54,4.47,0.0,3.62,0.0,0.0,3.8,3.74,4.11,4.14,3.77,3.9,3.79,3.65,0.0,0.05,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/14/2021,5.6,5.81,6.04,5.48,5.86,6.31,5.79,5.85,3.28,3.71,3.47,4.52,0.0,3.56,0.0,0.0,3.84,3.77,4.08,4.04,3.79,3.9,3.79,3.62,0.0,0.07,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
09/15/2021,5.6,5.81,6.04,5.48,5.86,6.31,5.79,5.85,3.27,3.71,3.47,4.52,0.0,3.56,0.0,0.0,3.84,3.77,4.08,4.04,3.79,3.9,3.79,3.62,0.0,0.07,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/16/2021,5.59,5.81,6.08,5.54,5.96,6.22,5.68,5.83,3.31,3.66,3.5,4.41,0.0,3.57,0.0,0.0,3.74,3.79,4.21,4.1,3.72,3.91,3.9,3.64,0.0,0.07,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
09/17/2021,5.5,5.75,6.05,5.52,5.97,6.28,5.73,5.83,3.26,3.71,3.51,4.4,0.0,3.59,0.0,0.0,3.72,3.81,4.33,4.13,3.77,3.9,3.85,3.6,0.0,0.07,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/20/2021,5.46,5.75,6.13,5.6,6.01,6.3,5.7,5.85,3.3,3.76,3.53,4.5,0.0,3.58,0.0,0.0,3.68,3.72,4.17,4.17,3.84,3.84,3.7,3.63,0.0,0.03,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/21/2021,5.43,5.72,6.14,5.58,6.06,6.26,5.62,5.82,3.31,3.74,3.5,4.82,0.0,3.55,0.0,0.0,3.61,3.76,4.13,4.18,3.9,3.75,3.66,3.68,0.0,0.03,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/22/2021,5.43,5.72,6.14,5.58,6.06,6.26,5.62,5.82,3.31,3.74,3.5,4.82,0.0,3.55,0.0,0.0,3.61,3.76,4.13,4.18,3.9,3.75,3.66,3.68,0.0,0.03,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/23/2021,5.54,5.81,6.17,5.58,6.02,6.25,5.74,5.87,3.34,3.74,3.51,4.61,0.0,3.58,0.0,0.0,3.59,3.68,4.13,4.16,3.88,3.76,3.56,3.7,0.0,0.03,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/24/2021,5.46,5.77,6.19,5.58,5.98,6.22,5.66,5.85,3.28,3.74,3.36,4.7,0.0,3.6,0.0,0.0,3.52,3.67,4.05,4.2,3.92,3.74,3.82,3.79,0.0,0.16,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,100.0
09/27/2021,5.47,5.82,6.14,5.55,5.93,6.18,5.65,5.82,3.23,3.71,3.3,4.75,0.0,3.69,0.0,0.0,3.55,3.8,4.02,4.12,3.88,3.75,3.96,3.82,0.0,0.16,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/28/2021,5.48,5.88,6.12,5.56,5.91,6.16,5.64,5.82,3.23,3.68,3.22,4.64,0.0,3.77,0.0,0.0,3.58,3.83,4.05,4.27,3.93,3.66,3.89,3.82,0.0,0.16,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/29/2021,5.48,5.88,6.12,5.56,5.91,6.16,5.64,5.82,3.22,3.68,3.22,4.64,0.0,3.77,0.0,0.0,3.57,3.83,4.05,4.27,3.93,3.66,3.89,3.82,0.0,0.16,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/30/2021,5.38,5.89,6.09,5.62,5.93,6.0,5.62,5.81,3.19,3.59,3.31,4.71,0.0,3.72,0.0,0.0,3.55,3.81,4.11,4.32,3.93,3.68,3.89,3.92,0.0,0.16,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/07/2021,5.45,6.81,5.96,5.79,6.0,5.86,5.58,5.78,3.16,3.28,3.38,4.37,0.0,3.88,0.0,0.0,3.66,3.69,4.65,4.2,4.07,3.56,3.87,3.35,0.0,0.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/08/2021,5.58,6.66,5.92,5.81,5.99,5.86,5.55,5.77,3.17,3.25,3.33,4.39,0.0,3.9,0.0,0.0,3.68,3.71,4.66,4.2,4.14,3.62,3.87,3.25,0.0,0.0,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/11/2021,5.58,6.63,5.93,5.83,5.86,5.91,5.56,5.79,3.22,3.22,3.32,4.38,0.0,3.96,0.0,0.0,3.64,3.97,4.41,4.17,4.09,3.72,3.81,3.25,0.0,0.06,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/12/2021,5.62,6.55,5.95,5.86,5.88,5.96,5.54,5.79,3.21,3.22,3.28,4.33,0.0,3.98,0.0,0.0,3.69,3.91,4.4,4.12,4.11,3.72,3.81,3.22,0.0,0.06,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/13/2021,5.62,6.55,5.95,5.86,5.88,5.96,5.54,5.79,3.21,3.22,3.28,4.33,0.0,3.98,0.0,0.0,3.69,3.91,4.4,4.12,4.11,3.72,3.81,3.22,0.0,0.06,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/14/2021,5.61,6.49,5.95,5.82,5.81,5.88,5.49,5.77,3.21,3.2,3.23,4.35,0.0,3.95,0.0,0.0,3.64,3.93,4.35,4.44,4.09,3.68,3.8,3.41,0.0,0.06,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
10/15/2021,5.6,6.48,5.9,5.74,5.69,5.91,5.47,5.69,3.21,3.2,3.2,4.35,0.0,3.96,0.0,0.0,3.62,3.9,4.31,4.7,4.11,3.63,3.82,3.5,0.0,0.06,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/18/2021,5.65,6.32,5.91,5.71,5.78,5.87,5.4,5.72,3.18,3.23,3.2,4.37,0.0,3.97,0.0,0.0,3.6,3.92,4.33,4.82,4.06,3.55,3.87,3.59,0.0,0.06,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
10/19/2021,5.69,6.33,5.88,5.74,5.82,5.88,5.39,5.78,3.14,3.23,3.16,4.39,0.0,3.98,0.0,0.0,3.61,4.03,4.26,4.92,4.03,3.55,3.88,3.55,0.0,0.06,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/20/2021,5.69,6.33,5.88,5.74,5.82,5.88,5.39,5.78,3.14,3.23,3.16,4.39,0.0,3.98,0.0,0.0,3.61,4.03,4.26,4.92,4.03,3.55,3.88,3.55,0.0,0.06,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/21/2021,5.79,6.32,5.81,5.72,5.76,5.93,5.44,5.81,3.06,3.21,3.18,4.4,0.0,4.05,0.0,0.0,3.57,4.07,4.32,4.83,4.12,3.54,3.88,3.6,0.0,0.06,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/22/2021,5.8,6.44,5.83,5.65,5.8,5.98,5.48,5.88,3.0,3.23,3.18,4.41,0.0,3.97,0.0,0.0,3.54,4.13,4.36,4.62,4.07,3.54,3.89,3.52,0.0,0.06,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000004
10/25/2021,5.72,6.51,5.78,5.66,5.8,6.21,5.52,5.8,3.0,3.29,3.12,4.43,0.0,4.01,0.0,0.0,3.58,4.09,4.33,4.53,4.15,3.59,3.86,3.52,0.0,0.06,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
10/26/2021,5.76,6.49,5.78,5.67,5.79,6.27,5.54,5.8,2.93,3.3,3.07,4.55,0.0,3.99,0.0,0.0,3.58,4.1,4.3,4.58,4.14,3.58,3.87,3.48,0.0,0.02,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/27/2021,5.76,6.49,5.78,5.66,5.79,6.27,5.54,5.8,2.93,3.3,3.07,4.55,0.0,3.99,0.0,0.0,3.58,4.1,4.3,4.58,4.14,3.58,3.87,3.48,0.0,0.02,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/28/2021,5.79,6.53,5.82,5.63,5.75,6.26,5.54,5.81,2.98,3.32,3.13,4.57,0.0,4.04,0.0,0.0,3.49,4.04,4.23,4.63,4.13,3.59,3.91,3.5,0.0,0.02,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02999999999996
10/29/2021,5.87,6.57,5.82,5.68,5.77,6.33,5.59,5.86,2.99,3.41,3.1,4.67,0.0,4.03,0.0,0.0,3.39,3.89,4.18,4.61,4.12,3.57,3.84,3.46,0.0,0.02,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03999999999998
11/01/2021,5.97,6.9,5.77,5.68,5.72,6.3,5.53,5.75,2.92,3.59,2.99,4.88,0.0,4.02,0.0,0.0,3.33,3.78,4.2,4.52,4.18,3.59,3.71,3.43,0.0,0.01,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/02/2021,5.98,6.99,5.54,5.91,5.69,6.34,5.58,5.73,2.93,3.67,2.92,4.84,0.0,4.02,0.0,0.0,3.08,3.74,4.23,4.55,4.24,3.55,3.76,3.43,0.0,0.01,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/03/2021,5.98,6.99,5.54,5.91,5.69,6.34,5.58,5.73,2.93,3.67,2.92,4.84,0.0,4.02,0.0,0.0,3.08,3.74,4.23,4.55,4.24,3.55,3.76,3.43,0.0,0.01,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/04/2021,5.98,6.99,5.54,5.91,5.69,6.34,5.58,5.73,2.93,3.67,2.92,4.84,0.0,4.02,0.0,0.0,3.08,3.74,4.23,4.55,4.24,3.55,3.76,3.43,0.0,0.01,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/05/2021,5.94,6.96,5.54,5.92,5.8,6.19,5.71,5.74,2.95,3.6,3.07,5.16,0.0,3.98,0.0,0.0,3.17,3.75,4.27,4.52,4.09,3.53,3.41,3.47,0.0,0.01,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/11/2021,5.99,6.42,5.51,5.86,5.69,6.1,6.03,5.61,2.93,3.49,2.07,4.99,0.0,4.12,0.0,0.0,3.15,3.67,4.39,5.01,3.74,3.68,3.7,3.79,0.0,0.05,4.07,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,100.02
11/12/2021,6.06,6.47,5.56,5.87,5.73,6.12,5.94,5.63,2.92,3.48,2.11,4.95,0.0,4.13,0.0,0.0,3.05,3.66,4.37,5.09,3.74,3.65,3.63,3.78,0.0,0.05,4.11,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,100.02
11/15/2021,6.04,6.54,5.64,5.89,5.7,6.13,6.27,5.62,2.87,3.52,2.12,5.26,0.0,4.15,0.0,0.0,3.02,3.73,3.97,4.97,3.74,3.67,3.51,3.65,0.0,0.05,4.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,99.99
11/16/2021,6.04,6.54,5.64,5.89,5.7,6.13,6.27,5.62,2.87,3.52,2.12,5.26,0.0,4.15,0.0,0.0,3.02,3.73,3.97,4.97,3.74,3.67,3.51,3.65,0.0,0.05,4.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,99.99
11/17/2021,5.95,6.5,5.62,5.88,5.67,6.16,6.19,5.66,2.9,3.53,2.2,5.22,0.0,4.1,0.0,0.0,3.07,3.83,3.95,4.88,3.79,3.69,3.45,3.65,0.0,0.05,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/18/2021,5.93,6.49,5.61,5.89,5.57,6.22,6.19,5.62,2.92,3.63,2.27,5.31,0.0,4.01,0.0,0.0,2.93,3.83,3.91,4.86,3.78,3.73,3.51,3.59,0.0,0.14,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/19/2021,5.91,6.53,5.58,5.87,5.52,6.29,6.18,5.59,2.8,3.59,2.43,5.21,0.0,4.0,0.0,0.0,2.94,3.78,3.92,5.09,3.7,3.69,3.47,3.65,0.0,0.14,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
