,HLT,RY4C.IR,MAR,RCL,DAL,LUV,VICI,HTHT,NCLH,CCL,UAL,AAL,IAG.L,C6L.SI,9202.T,IHG.L,HST,9201.T,AC.PA,WTB.L,ALK,WH,QAN.AX,CHH,LHA.DE,MGP,WIZZ.L,VAC,293.HK,EZJ.L,JBLU,TUI1.DE,TNL,PK,RHP,HGV,JET2.L,APLE,AF.PA,69.HK,H,ALGT,753.HK,PEB,SAVE,41.HK,CPA,SHO,1055.HK,RLJ,SKYW,8985.T,670.HK,DRH,AC.TO,XHR,SVC,4681.T,002960.SZ,FGXXX,1992.HK,n/a,301012.SZ,SUM
09/16/2021,5.39,4.86,5.03,4.58,4.49,4.26,4.43,4.56,3.98,3.89,3.63,3.58,3.31,2.27,2.28,2.2,2.2,1.94,1.75,1.83,1.37,1.38,1.58,1.3,1.16,1.25,1.12,1.17,1.16,0.87,0.93,0.85,0.95,0.87,0.84,0.78,0.65,0.69,0.62,0.65,0.63,0.64,0.67,0.57,0.53,0.52,0.51,0.52,0.54,0.46,0.46,0.45,0.47,0.41,0.38,0.39,0.38,0.41,0.0,0.01,0.4,0.0,0.0,100.0
09/17/2021,5.41,4.9,5.11,4.63,4.5,4.26,4.39,4.45,4.02,3.92,3.61,3.59,3.31,2.2,2.23,2.2,2.26,1.89,1.74,1.82,1.37,1.37,1.55,1.29,1.16,1.23,1.12,1.2,1.12,0.74,0.94,0.85,0.95,0.9,0.88,0.79,0.68,0.71,0.62,0.63,0.64,0.65,0.66,0.58,0.53,0.5,0.52,0.53,0.51,0.48,0.48,0.44,0.45,0.42,0.37,0.4,0.39,0.4,0.0,0.01,0.37,0.15,0.0,100.02
09/20/2021,5.52,4.8,5.33,4.65,4.49,4.28,4.46,4.36,4.03,3.94,3.57,3.64,3.09,2.19,2.26,2.16,2.26,1.93,1.72,1.78,1.36,1.4,1.59,1.32,1.13,1.25,1.1,1.21,1.11,0.71,0.94,0.82,0.96,0.91,0.91,0.81,0.68,0.72,0.6,0.62,0.65,0.65,0.62,0.59,0.54,0.5,0.52,0.52,0.49,0.48,0.48,0.44,0.43,0.42,0.36,0.41,0.38,0.42,0.0,0.01,0.35,0.13,0.0,100.0
09/21/2021,5.5,5.11,5.3,4.57,4.52,4.3,4.41,4.21,3.99,3.9,3.59,3.71,3.17,2.2,2.22,2.17,2.23,1.87,1.72,1.81,1.37,1.4,1.57,1.32,1.13,1.24,1.14,1.19,1.09,0.76,0.95,0.82,0.95,0.91,0.91,0.81,0.7,0.72,0.61,0.61,0.65,0.65,0.6,0.59,0.53,0.48,0.53,0.52,0.47,0.47,0.48,0.44,0.41,0.41,0.37,0.4,0.38,0.41,0.0,0.01,0.33,0.16,0.0,99.99
09/22/2021,5.5,5.11,5.3,4.57,4.52,4.3,4.41,4.21,3.99,3.9,3.59,3.71,3.17,2.2,2.22,2.17,2.23,1.87,1.72,1.81,1.37,1.4,1.57,1.32,1.13,1.24,1.14,1.19,1.09,0.76,0.95,0.82,0.95,0.91,0.91,0.81,0.7,0.72,0.61,0.61,0.65,0.65,0.6,0.59,0.53,0.48,0.53,0.52,0.47,0.47,0.48,0.44,0.41,0.41,0.37,0.4,0.38,0.41,0.0,0.01,0.33,0.16,0.0,99.99
09/23/2021,5.5,5.11,5.3,4.57,4.52,4.3,4.41,4.21,3.99,3.9,3.59,3.71,3.17,2.2,2.22,2.17,2.23,1.87,1.72,1.81,1.37,1.4,1.57,1.32,1.13,1.24,1.14,1.19,1.09,0.76,0.95,0.82,0.95,0.91,0.91,0.81,0.7,0.72,0.61,0.61,0.65,0.65,0.6,0.59,0.53,0.48,0.53,0.52,0.47,0.47,0.48,0.44,0.41,0.41,0.37,0.4,0.38,0.41,0.0,0.01,0.33,0.16,0.0,99.99
09/24/2021,5.3,5.03,5.17,4.57,4.51,4.28,4.29,4.1,3.96,3.86,3.57,3.66,3.76,2.2,2.32,2.2,2.19,1.98,1.74,1.8,1.34,1.36,1.57,1.29,1.18,1.21,1.17,1.17,1.1,0.81,0.92,0.87,0.93,0.9,0.91,0.78,0.76,0.74,0.65,0.6,0.63,0.64,0.6,0.59,0.53,0.43,0.52,0.51,0.47,0.47,0.47,0.44,0.42,0.42,0.35,0.41,0.38,0.42,0.0,0.01,0.34,0.19,0.0,99.99
10/01/2021,5.37,4.88,5.3,4.8,4.6,4.38,3.96,3.95,4.19,4.16,3.71,3.76,3.76,2.09,2.25,2.11,2.16,1.91,1.8,1.71,1.39,1.41,1.55,1.31,0.85,1.12,1.13,1.19,1.04,0.79,0.94,0.9,0.92,0.89,0.89,0.81,0.72,0.71,0.7,0.56,0.65,0.65,0.59,0.58,0.54,0.39,0.51,0.5,0.46,0.46,0.5,0.42,0.4,0.42,0.35,0.41,0.37,0.41,0.0,0.01,0.34,0.36,0.0,99.99
10/04/2021,5.35,4.86,5.28,4.77,4.63,4.37,4.03,3.94,4.14,4.09,3.73,3.72,3.85,2.11,2.32,2.15,2.15,1.97,1.81,1.73,1.38,1.41,1.5,1.33,0.83,1.12,1.13,1.19,1.04,0.79,0.93,0.89,0.9,0.87,0.89,0.81,0.73,0.72,0.68,0.57,0.64,0.64,0.59,0.58,0.54,0.41,0.52,0.5,0.46,0.47,0.51,0.42,0.4,0.43,0.36,0.4,0.38,0.41,0.0,0.01,0.33,0.34,0.0,100.05
10/05/2021,5.34,4.8,5.25,4.77,4.64,4.37,4.04,3.99,4.12,4.09,3.72,3.7,3.77,2.16,2.37,2.14,2.15,2.01,1.79,1.74,1.36,1.42,1.57,1.32,0.8,1.13,1.1,1.18,1.07,0.79,0.93,0.88,0.9,0.87,0.88,0.8,0.73,0.72,0.64,0.59,0.64,0.63,0.6,0.58,0.54,0.43,0.52,0.5,0.48,0.47,0.5,0.43,0.41,0.43,0.36,0.4,0.38,0.43,0.0,0.02,0.34,0.28,0.0,100.01
10/06/2021,5.34,4.8,5.25,4.77,4.64,4.37,4.04,3.99,4.12,4.09,3.72,3.7,3.77,2.16,2.37,2.14,2.15,2.01,1.79,1.74,1.36,1.42,1.57,1.32,0.8,1.13,1.1,1.18,1.07,0.79,0.93,0.88,0.9,0.87,0.88,0.8,0.73,0.72,0.64,0.59,0.64,0.63,0.6,0.58,0.54,0.43,0.52,0.5,0.48,0.47,0.5,0.43,0.41,0.43,0.36,0.4,0.38,0.43,0.0,0.02,0.34,0.28,0.0,100.01
10/07/2021,5.36,4.84,5.31,4.76,4.75,4.43,3.98,3.96,4.2,4.1,3.86,3.75,3.83,2.05,2.25,2.14,2.12,1.91,1.77,1.72,1.39,1.42,1.53,1.33,0.81,1.11,1.11,1.19,1.03,0.8,0.95,0.89,0.9,0.87,0.88,0.8,0.72,0.71,0.63,0.57,0.65,0.63,0.58,0.57,0.54,0.41,0.53,0.49,0.46,0.47,0.51,0.41,0.39,0.43,0.36,0.39,0.38,0.4,0.0,0.02,0.33,0.34,0.0,100.02
10/08/2021,5.38,5.01,5.29,4.6,4.71,4.5,3.98,3.93,4.08,3.99,3.86,3.71,3.86,2.1,2.32,2.12,2.1,1.96,1.75,1.7,1.39,1.43,1.56,1.33,0.8,1.12,1.1,1.17,1.09,0.8,0.94,0.88,0.88,0.85,0.87,0.78,0.71,0.7,0.64,0.58,0.65,0.63,0.61,0.56,0.54,0.41,0.53,0.5,0.48,0.47,0.51,0.42,0.42,0.42,0.36,0.39,0.37,0.41,0.0,0.07,0.36,0.34,0.0,100.02
10/11/2021,5.59,4.82,5.48,4.57,4.66,4.5,4.13,4.08,4.09,3.93,3.8,3.57,3.7,2.14,2.18,2.19,2.12,1.86,1.75,1.67,1.38,1.5,1.54,1.38,0.81,1.16,1.05,1.19,1.13,0.75,0.92,0.93,0.89,0.86,0.89,0.8,0.69,0.72,0.6,0.61,0.67,0.62,0.62,0.57,0.53,0.41,0.54,0.51,0.5,0.47,0.51,0.42,0.43,0.41,0.35,0.39,0.37,0.39,0.0,0.03,0.36,0.27,0.0,99.99999999999999
