,ENPH,VWS.CO,ORSTED.CO,IBE.MC,SEDG,ENEL.MI,NEE,968.HK,916.HK,D,SSE.L,PLUG,NEP,EDP.LS,ES,FSLR,AES,PEG,XYL,PRY.MI,VER.VI,SGRE.MC,CWEN,RUN,ITM.L,RWE.DE,TPIC,ACC.OL,ECV.DE,DAR,MP,GOGRID SDB.ST,EDPR.LS,NOVA,n/a,2208.HK,JKS,SPWR,SUM
10/14/2021,6.55,5.5,5.9,3.98,4.4,3.76,3.91,3.53,3.62,3.59,3.61,3.94,3.14,3.03,2.97,3.35,3.3,2.82,2.03,2.55,2.6,1.89,2.48,2.25,1.59,1.79,1.6,2.06,1.66,1.66,1.45,0.0,1.19,1.19,0.63,0.48,0.0,0.0,100.0
10/15/2021,6.71,5.62,5.88,3.9,4.62,3.67,3.86,3.41,3.58,3.51,3.56,4.13,3.07,3.03,2.93,3.35,3.21,2.76,1.98,2.56,2.61,1.89,2.43,2.37,1.71,1.76,1.63,2.01,1.65,1.63,1.46,0.0,1.2,1.23,0.61,0.46,0.0,0.0,99.99
10/18/2021,6.69,5.7,5.89,3.92,4.61,3.68,3.89,3.32,3.49,3.47,3.52,4.3,3.06,3.01,2.93,3.3,3.16,2.77,2.0,2.56,2.57,1.87,2.34,2.34,1.86,1.74,1.6,2.18,1.68,1.61,1.47,0.0,1.22,1.2,0.59,0.45,0.0,0.0,99.99
10/19/2021,7.14,5.88,5.97,3.86,4.98,3.67,2.9,3.53,3.75,2.7,3.5,4.89,1.94,2.98,2.4,3.74,2.9,2.3,2.02,2.56,2.57,1.88,2.19,3.19,1.78,1.82,1.59,2.14,1.67,1.61,1.51,0.0,1.22,1.19,0.59,0.45,0.51,0.49,100.01
10/20/2021,7.14,5.88,5.97,3.86,4.98,3.67,2.9,3.53,3.75,2.7,3.5,4.89,1.94,2.98,2.4,3.74,2.9,2.3,2.02,2.56,2.57,1.88,2.19,3.19,1.78,1.82,1.59,2.14,1.67,1.61,1.51,0.0,1.22,1.19,0.59,0.45,0.51,0.49,100.01
10/25/2021,7.13,7.16,5.91,3.82,4.93,2.67,2.85,3.93,2.46,2.74,3.46,5.06,1.95,3.38,2.29,3.63,2.83,2.24,1.99,2.52,2.5,1.92,2.14,3.34,1.82,1.78,1.45,2.39,1.73,1.6,1.5,0.0,1.66,1.2,0.54,0.45,0.53,0.51,100.01000000000002
10/26/2021,7.03,7.26,5.9,3.83,4.85,2.66,2.88,3.91,2.42,2.75,3.49,4.93,1.97,3.44,2.31,3.64,2.86,2.27,2.01,2.55,2.57,1.92,2.17,3.27,1.75,1.81,1.41,2.31,1.74,1.64,1.56,0.0,1.69,1.17,0.54,0.45,0.53,0.5,99.99000000000002
10/27/2021,7.03,7.26,5.9,3.83,4.85,2.66,2.88,3.91,2.42,2.75,3.49,4.93,1.97,3.44,2.31,3.64,2.86,2.27,2.01,2.55,2.57,1.92,2.17,3.27,1.75,1.81,1.41,2.31,1.74,1.64,1.56,0.0,1.69,1.17,0.54,0.45,0.53,0.5,99.99000000000002
10/28/2021,7.05,7.04,5.77,3.75,4.93,2.6,2.84,3.88,2.59,2.69,3.42,5.19,1.97,3.37,2.27,3.69,2.85,2.25,1.99,2.54,2.53,1.87,2.24,3.39,1.71,1.76,1.44,2.5,1.69,1.65,1.61,0.0,1.67,1.2,0.53,0.45,0.53,0.52,99.97
10/29/2021,7.05,7.04,5.77,3.75,4.93,2.6,2.84,3.88,2.59,2.69,3.42,5.19,1.97,3.37,2.27,3.69,2.85,2.25,1.99,2.54,2.53,1.87,2.24,3.39,1.71,1.76,1.44,2.5,1.69,1.65,1.61,0.0,1.67,1.2,0.53,0.45,0.53,0.52,99.97
11/01/2021,8.4,6.99,5.68,3.81,5.3,2.56,2.78,3.7,2.42,2.56,3.4,5.26,1.93,3.26,2.15,3.8,2.76,2.16,1.93,2.44,2.4,1.94,2.22,3.33,1.72,1.75,1.36,2.25,1.73,1.65,1.39,0.0,1.66,1.26,0.51,0.48,0.53,0.52,99.99000000000001
