,2SPY  210930C00002680,2QQQ  210930C00278100,2SPY  210930P00334890,Cash&Other,2SPY  210930P00304750,2SPY  210930C00359710,2QQQ  210930C00298710,2SPY  220930C00003410,2QQQ  220930C00357950,2SPY  220930P00429130,2SPY  220930C00452400,2SPY  220930P00390500,2QQQ  220930C00377360,SUM
08/27/2021,116.66,30.55,0.08,0.02,-0.04,-23.28,-23.98,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000003
08/30/2021,116.35,29.96,0.09,0.01,-0.05,-22.95,-23.42,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/31/2021,117.29,31.07,0.06,0.01,-0.03,-23.84,-24.57,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/01/2021,117.29,31.07,0.06,0.01,-0.03,-23.84,-24.57,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/02/2021,117.89,32.49,0.05,0.01,-0.02,-24.44,-25.97,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/03/2021,117.87,32.45,0.05,0.01,-0.02,-24.44,-25.92,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/06/2021,118.02,32.3,0.04,0.0,-0.02,-24.56,-25.78,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
09/07/2021,118.05,32.82,0.04,0.0,-0.02,-24.59,-26.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/08/2021,118.05,32.82,0.04,0.0,-0.02,-24.59,-26.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/09/2021,118.05,32.82,0.04,0.0,-0.02,-24.59,-26.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/10/2021,117.57,32.87,0.04,-0.01,-0.01,-24.12,-26.34,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/13/2021,116.94,32.1,0.03,-0.02,-0.01,-23.48,-25.57,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
09/14/2021,116.09,31.31,0.06,-0.02,-0.02,-22.73,-24.68,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/15/2021,116.09,31.31,0.06,-0.02,-0.02,-22.73,-24.68,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/16/2021,116.47,31.26,0.03,-0.02,-0.01,-23.03,-24.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,115.79,30.94,0.03,-0.02,-0.01,-22.35,-24.37,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/20/2021,116.43,31.68,0.02,-0.03,-0.01,-22.97,-25.13,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000004
09/21/2021,114.95,30.03,0.02,-0.03,-0.01,-21.42,-23.54,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
09/22/2021,114.95,30.03,0.02,-0.03,-0.01,-21.42,-23.54,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
09/23/2021,113.05,27.65,0.03,-0.03,-0.01,-19.52,-21.17,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/24/2021,112.92,27.78,0.02,-0.04,-0.01,-19.39,-21.29,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/27/2021,115.54,29.91,0.03,-0.04,-0.01,-21.92,-23.56,0.0,0.0,0.0,0.0,0.0,0.0,99.95000000000005
09/28/2021,115.58,30.05,0.0,-0.01,0.0,-22.07,-23.55,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/29/2021,115.58,30.05,0.0,-0.01,0.0,-22.07,-23.55,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/30/2021,115.09,29.04,0.01,0.12,-0.01,-21.7,-22.55,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/01/2021,112.85,25.77,0.0,0.12,0.0,-19.46,-19.28,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/04/2021,0.0,0.0,0.0,1.53,0.0,0.0,0.0,96.98,9.35,8.61,-4.55,-5.62,-6.39,99.91
10/05/2021,0.0,0.0,0.0,0.78,0.0,0.0,0.0,98.72,9.78,8.06,-5.25,-5.33,-6.75,100.01
10/06/2021,0.0,0.0,0.0,0.78,0.0,0.0,0.0,98.72,9.78,8.06,-5.25,-5.33,-6.75,100.01
10/07/2021,0.0,0.0,0.0,0.78,0.0,0.0,0.0,98.43,8.79,8.75,-4.91,-5.77,-6.07,100.0
10/08/2021,0.0,0.0,0.0,0.78,0.0,0.0,0.0,98.77,9.33,8.16,-5.2,-5.37,-6.47,100.0
10/11/2021,0.0,0.0,0.0,0.77,0.0,0.0,0.0,99.04,9.73,7.99,-5.44,-5.24,-6.85,100.0
10/12/2021,0.0,0.0,0.0,0.76,0.0,0.0,0.0,99.21,9.77,7.56,-5.53,-4.94,-6.83,100.0
10/13/2021,0.0,0.0,0.0,0.76,0.0,0.0,0.0,99.21,9.77,7.56,-5.53,-4.94,-6.83,100.0
10/14/2021,0.0,0.0,0.0,0.76,0.0,0.0,0.0,98.89,9.22,7.85,-5.22,-5.12,-6.39,99.99
10/15/2021,0.0,0.0,0.0,0.76,0.0,0.0,0.0,98.62,8.83,7.9,-4.88,-5.13,-6.11,99.99000000000002
10/18/2021,0.0,0.0,0.0,0.8,0.0,0.0,0.0,99.57,10.14,6.81,-5.8,-4.39,-7.13,100.0
10/19/2021,0.0,0.0,0.0,0.8,0.0,0.0,0.0,100.17,10.41,6.57,-6.24,-4.25,-7.46,100.0
10/20/2021,0.0,0.0,0.0,0.8,0.0,0.0,0.0,100.17,10.41,6.57,-6.24,-4.25,-7.46,100.0
10/21/2021,0.0,0.0,0.0,0.79,0.0,0.0,0.0,100.28,11.25,6.5,-6.5,-4.23,-8.1,99.99000000000001
