,ARCT,BEAM,BRKR,SEER,NNDM,PDSB,ALNY,MRNA,LRCX,TMO,DHR,ALKS,BNTX,NPTN,AME,JAZZ,IEX,NVMI,KLAC,NTLA,CBT,ANGO,PACB,CTKB,SELB,SRGA,BNGO,VUZI,MTNB,GBIO,PSTX,LQDA,OMGA,NVEC,CLNN,n/a,SUM
01/07/2022,8.76,7.51,8.12,7.2,7.08,2.7,2.38,2.38,2.87,2.5,2.53,2.56,2.11,2.57,2.67,2.56,2.57,2.72,2.63,2.17,2.56,2.6,1.94,1.99,1.94,2.01,1.81,1.82,1.48,1.26,0.87,1.16,0.73,0.61,0.5,0.16,100.03
01/10/2022,8.39,7.19,8.27,6.77,7.14,2.66,2.3,2.33,2.99,2.65,2.65,2.82,2.13,2.7,2.8,2.77,2.66,2.72,2.79,2.11,2.68,2.31,1.86,2.06,1.89,2.1,1.7,1.67,1.53,1.25,0.84,1.35,0.65,0.65,0.51,0.12,100.01000000000002
01/11/2022,8.33,7.23,8.15,6.75,7.26,2.72,2.28,2.34,2.89,2.62,2.61,2.84,2.13,2.73,2.78,2.84,2.66,2.66,2.72,2.16,2.74,2.24,1.84,2.07,1.92,2.21,1.7,1.64,1.5,1.27,0.87,1.35,0.65,0.65,0.5,0.12,99.97000000000004
01/12/2022,8.33,7.23,8.15,6.75,7.26,2.72,2.28,2.34,2.89,2.62,2.61,2.84,2.13,2.73,2.78,2.84,2.66,2.66,2.72,2.16,2.74,2.24,1.84,2.07,1.92,2.21,1.7,1.64,1.5,1.27,0.87,1.35,0.65,0.65,0.5,0.12,99.97000000000004
01/13/2022,8.33,7.02,8.08,6.87,7.09,2.68,2.31,2.55,2.87,2.7,2.67,2.86,2.31,2.72,2.74,3.09,2.62,2.64,2.73,2.13,2.72,2.16,1.81,2.05,1.87,2.13,1.69,1.65,1.47,1.27,0.86,1.47,0.6,0.64,0.48,0.12,100.0
01/14/2022,8.04,7.64,7.89,7.3,7.25,2.64,2.24,2.38,2.86,2.64,2.65,2.91,2.14,2.68,2.74,3.11,2.6,2.68,2.73,2.12,2.71,2.21,1.58,2.0,1.86,2.27,1.68,1.68,1.46,1.26,0.83,1.4,0.61,0.64,0.48,0.12,100.03000000000002
01/17/2022,7.87,7.02,8.04,7.22,7.13,2.59,2.36,2.38,3.07,2.68,2.67,3.04,2.11,2.82,2.91,3.14,2.73,2.81,2.84,1.89,2.9,2.22,1.5,1.88,1.89,2.48,1.64,1.63,1.42,1.3,0.76,1.28,0.61,0.66,0.4,0.12,100.01
01/18/2022,8.31,7.09,7.91,7.22,7.19,2.6,2.33,2.28,3.21,2.62,2.64,3.04,2.01,2.77,2.82,3.11,2.62,2.92,2.96,1.9,2.91,2.2,1.39,1.86,1.86,2.38,1.62,1.58,1.41,1.35,0.73,1.37,0.63,0.66,0.39,0.12,100.01
01/19/2022,8.31,7.09,7.91,7.22,7.19,2.6,2.33,2.28,3.21,2.62,2.64,3.04,2.01,2.77,2.82,3.11,2.62,2.92,2.96,1.9,2.91,2.2,1.39,1.86,1.86,2.38,1.62,1.58,1.41,1.35,0.73,1.37,0.63,0.66,0.39,0.12,100.01
01/20/2022,8.31,7.09,7.91,7.22,7.19,2.6,2.33,2.28,3.21,2.62,2.64,3.04,2.01,2.77,2.82,3.11,2.62,2.92,2.96,1.9,2.91,2.2,1.39,1.86,1.86,2.38,1.62,1.58,1.41,1.35,0.73,1.37,0.63,0.66,0.39,0.12,100.01
01/21/2022,7.28,7.0,8.23,6.19,7.22,2.63,2.35,2.24,3.22,2.8,2.79,3.27,1.87,2.97,2.99,3.31,2.79,2.9,2.96,1.92,3.08,2.36,1.34,1.92,1.85,2.43,1.61,1.61,1.54,1.36,0.75,1.44,0.61,0.69,0.39,0.13,100.04
01/24/2022,6.98,7.3,8.35,6.51,7.28,2.57,2.41,2.07,3.03,2.87,2.82,3.25,1.78,3.07,3.02,3.33,2.85,2.73,2.83,1.91,2.99,2.4,1.29,2.12,1.86,2.27,1.62,1.59,1.52,1.42,0.74,1.4,0.63,0.68,0.4,0.14,100.03000000000002
01/25/2022,6.93,7.46,8.43,6.52,7.12,2.47,2.43,2.02,3.02,2.9,2.86,3.28,1.72,3.18,3.08,3.34,2.96,2.66,2.81,1.93,3.01,2.44,1.27,2.18,1.82,2.23,1.55,1.59,1.5,1.43,0.73,1.37,0.62,0.68,0.38,0.14,100.06
01/26/2022,6.93,7.46,8.43,6.52,7.12,2.47,2.43,2.02,3.02,2.9,2.86,3.28,1.72,3.18,3.08,3.34,2.96,2.66,2.81,1.93,3.01,2.44,1.27,2.18,1.82,2.23,1.55,1.59,1.5,1.43,0.73,1.37,0.62,0.68,0.38,0.14,100.06
01/27/2022,6.89,7.92,8.43,6.54,7.17,2.42,2.39,1.95,3.05,2.82,2.77,3.43,1.72,3.11,3.02,3.26,2.92,2.67,2.9,2.05,2.97,2.48,1.33,2.23,1.8,2.05,1.47,1.52,1.44,1.46,0.73,1.3,0.63,0.68,0.39,0.14,100.05
