,EQIX,AMT,CCI,PLD,PSA,DLR,SPG,SBAC,WELL,AVB,EQR,ARE,O,EXR,INVH,VTR,ESS,SUI,PEAK,DRE,VICI,BXP,UDR,ELS,HST,REG,FRT,KRC,ACC,CUZ,USD,XTSLA,MLPFT,DJEU1,MAA,DJEZ1,SUM
08/19/2021,8.27,8.21,7.63,8.26,5.57,5.23,4.96,4.44,4.1,3.62,3.26,3.25,3.12,2.67,2.59,2.44,2.37,2.54,2.21,2.2,1.86,1.91,1.83,1.62,1.27,1.19,0.95,0.81,0.77,0.67,0.07,0.12,0.01,0.0,0.0,0.0,100.02
08/20/2021,8.3,8.29,7.68,8.27,5.58,5.22,4.84,4.52,4.11,3.6,3.25,3.26,3.1,2.68,2.58,2.42,2.38,2.52,2.21,2.21,1.84,1.89,1.81,1.61,1.24,1.17,0.94,0.81,0.77,0.67,0.09,0.12,0.01,0.0,0.0,0.0,99.99
08/23/2021,8.38,8.37,7.74,8.23,5.65,5.27,4.86,4.53,4.04,3.6,3.25,3.24,3.08,2.68,2.63,2.35,2.38,2.54,2.18,2.18,1.81,1.84,1.81,1.63,1.21,1.17,0.93,0.79,0.77,0.66,0.06,0.14,0.01,0.0,0.0,0.0,100.01
08/24/2021,8.1,8.19,8.08,8.23,5.53,5.13,4.74,4.43,3.94,3.51,3.18,3.18,3.01,2.66,2.57,2.29,2.33,2.49,2.12,2.13,1.76,1.8,1.76,1.58,1.2,1.15,0.92,0.77,0.0,0.64,0.0,0.16,0.01,0.0,2.44,0.0,100.03
08/25/2021,8.1,8.19,8.08,8.23,5.53,5.13,4.74,4.43,3.94,3.51,3.18,3.18,3.01,2.66,2.57,2.29,2.33,2.49,2.12,2.13,1.76,1.8,1.76,1.58,1.2,1.15,0.92,0.77,0.0,0.64,0.0,0.16,0.01,0.0,2.44,0.0,100.03
08/26/2021,8.14,8.17,8.03,8.21,5.5,5.13,4.78,4.4,3.95,3.5,3.19,3.18,2.99,2.67,2.58,2.29,2.32,2.47,2.12,2.13,1.78,1.82,1.76,1.56,1.23,1.16,0.93,0.78,0.0,0.65,0.0,0.17,0.01,0.0,2.43,0.0,100.03
08/27/2021,8.04,8.11,7.95,8.1,5.48,5.15,4.93,4.37,3.99,3.51,3.19,3.18,3.0,2.69,2.58,2.32,2.32,2.49,2.15,2.11,1.79,1.84,1.75,1.58,1.27,1.17,0.95,0.79,0.0,0.66,0.0,0.17,0.01,0.0,2.42,0.0,100.06
08/30/2021,8.09,8.07,7.83,8.1,5.45,5.07,4.88,4.34,4.0,3.55,3.23,3.18,3.0,2.75,2.59,2.32,2.35,2.51,2.15,2.13,1.83,1.8,1.77,1.58,1.27,1.19,0.95,0.78,0.0,0.65,0.04,0.09,0.01,0.0,2.45,0.0,100.0
08/31/2021,8.03,8.08,7.82,8.08,5.44,5.07,4.94,4.34,4.02,3.54,3.22,3.16,3.0,2.76,2.58,2.33,2.34,2.5,2.15,2.13,1.84,1.81,1.76,1.58,1.3,1.21,0.96,0.79,0.0,0.65,0.02,0.11,0.01,0.0,2.43,0.0,100.0
09/01/2021,8.03,8.08,7.82,8.08,5.44,5.07,4.94,4.34,4.02,3.54,3.22,3.16,3.0,2.76,2.58,2.33,2.34,2.5,2.15,2.13,1.84,1.81,1.76,1.58,1.3,1.21,0.96,0.79,0.0,0.65,0.02,0.11,0.01,0.0,2.43,0.0,100.0
09/02/2021,8.08,8.16,7.79,8.13,5.42,5.08,4.87,4.36,3.98,3.54,3.23,3.14,2.99,2.76,2.6,2.31,2.36,2.51,2.14,2.16,1.83,1.77,1.76,1.58,1.28,1.2,0.95,0.77,0.0,0.64,0.03,0.11,0.01,0.0,2.45,0.0,99.99
09/03/2021,8.06,8.12,7.83,8.14,5.44,5.1,4.88,4.33,4.04,3.54,3.19,3.13,2.98,2.76,2.58,2.32,2.37,2.49,2.14,2.17,1.83,1.77,1.77,1.59,1.29,1.2,0.95,0.77,0.0,0.63,0.03,0.11,0.01,0.0,2.43,0.0,99.99
09/06/2021,8.18,8.18,7.79,8.19,5.45,5.11,4.84,4.33,3.96,3.52,3.2,3.09,2.93,2.77,2.6,2.3,2.37,2.53,2.13,2.17,1.84,1.77,1.78,1.62,1.26,1.18,0.94,0.77,0.0,0.63,0.02,0.12,0.01,0.0,2.43,0.0,100.01
09/07/2021,8.18,8.18,7.79,8.19,5.45,5.11,4.84,4.33,3.96,3.52,3.2,3.09,2.93,2.77,2.6,2.3,2.37,2.53,2.13,2.17,1.84,1.77,1.78,1.62,1.26,1.18,0.94,0.77,0.0,0.63,0.02,0.12,0.01,0.0,2.43,0.0,100.01
09/08/2021,8.26,8.22,7.82,8.22,5.44,5.1,4.82,4.33,3.92,3.51,3.18,3.09,2.92,2.8,2.57,2.28,2.36,2.53,2.12,2.17,1.86,1.75,1.78,1.62,1.23,1.18,0.94,0.76,0.0,0.63,0.02,0.12,0.01,0.0,2.43,0.0,99.99
09/09/2021,8.26,8.22,7.82,8.22,5.44,5.1,4.82,4.33,3.92,3.51,3.18,3.09,2.92,2.8,2.57,2.28,2.36,2.53,2.12,2.17,1.86,1.75,1.78,1.62,1.23,1.18,0.94,0.76,0.0,0.63,0.02,0.12,0.01,0.0,2.43,0.0,99.99
09/10/2021,8.35,8.24,7.8,8.24,5.44,5.13,4.84,4.37,3.89,3.48,3.14,3.09,2.91,2.79,2.56,2.29,2.33,2.53,2.11,2.17,1.86,1.76,1.75,1.59,1.26,1.19,0.94,0.77,0.0,0.63,0.01,0.13,0.01,0.0,2.41,0.0,100.01
09/13/2021,8.22,8.3,7.8,8.2,5.49,4.94,4.77,4.37,4.0,3.51,3.15,3.09,2.89,2.78,2.59,2.34,2.37,2.54,2.13,2.14,1.78,1.76,1.77,1.61,1.26,1.2,0.95,0.77,0.0,0.63,0.09,0.1,0.01,0.0,2.44,0.0,99.99
09/14/2021,8.23,8.33,7.73,8.24,5.54,4.93,4.73,4.35,4.08,3.52,3.16,3.09,2.86,2.82,2.58,2.37,2.36,2.52,2.15,2.14,1.8,1.73,1.76,1.6,1.27,1.18,0.94,0.76,0.0,0.62,0.09,0.09,0.01,0.0,2.44,0.0,100.02
09/15/2021,8.23,8.33,7.73,8.24,5.54,4.93,4.73,4.35,4.08,3.52,3.16,3.09,2.86,2.82,2.58,2.37,2.36,2.52,2.15,2.14,1.8,1.73,1.76,1.6,1.27,1.18,0.94,0.76,0.0,0.62,0.09,0.09,0.01,0.0,2.44,0.0,100.02
09/16/2021,8.23,8.33,7.73,8.24,5.54,4.93,4.73,4.35,4.08,3.52,3.16,3.09,2.86,2.82,2.58,2.37,2.36,2.52,2.15,2.14,1.8,1.73,1.76,1.6,1.27,1.18,0.94,0.76,0.0,0.62,0.09,0.09,0.01,0.0,2.44,0.0,100.02
09/17/2021,8.11,8.37,7.74,8.14,5.42,4.87,4.78,4.37,4.1,3.51,3.16,3.07,2.86,2.75,2.58,2.42,2.37,2.51,2.14,2.13,1.8,1.76,1.78,1.59,1.32,1.2,0.95,0.78,0.0,0.62,0.24,0.09,0.01,0.0,2.46,0.0,100.0
09/20/2021,8.25,8.35,7.71,8.11,5.4,4.92,4.87,4.34,4.1,3.49,3.14,3.04,2.85,2.73,2.57,2.42,2.38,2.46,2.13,2.12,1.8,1.76,1.78,1.57,1.29,1.22,0.95,0.78,0.0,0.62,0.27,0.09,0.02,0.0,2.45,0.0,99.98
09/21/2021,8.54,8.35,7.76,8.05,5.35,4.99,4.87,4.36,4.05,3.47,3.12,3.01,2.86,2.72,2.56,2.42,2.37,2.45,2.12,2.09,1.79,1.77,1.68,1.57,1.3,1.22,0.95,0.78,0.0,0.62,0.27,0.09,0.02,0.0,2.43,0.0,100.0
09/22/2021,8.54,8.35,7.76,8.05,5.35,4.99,4.87,4.36,4.05,3.47,3.12,3.01,2.86,2.72,2.56,2.42,2.37,2.45,2.12,2.09,1.79,1.77,1.68,1.57,1.3,1.22,0.95,0.78,0.0,0.62,0.27,0.09,0.02,0.0,2.43,0.0,100.0
09/23/2021,8.36,8.32,7.75,8.02,5.4,5.03,4.83,4.39,4.07,3.49,3.15,3.05,2.87,2.74,2.57,2.49,2.37,2.46,2.13,2.09,1.79,1.77,1.68,1.59,1.3,1.21,0.95,0.78,0.0,0.62,0.19,0.1,0.02,0.0,2.45,0.0,100.03
09/24/2021,8.34,8.34,7.77,8.01,5.39,5.02,4.86,4.4,4.07,3.5,3.15,3.03,2.85,2.73,2.58,2.48,2.39,2.47,2.11,2.08,1.79,1.75,1.69,1.59,1.3,1.21,0.94,0.79,0.0,0.62,0.2,0.09,0.02,0.0,2.44,0.0,100.0
09/27/2021,8.31,8.2,7.6,7.98,5.26,4.93,5.02,4.38,4.05,3.59,3.21,3.05,2.87,2.68,2.6,2.48,2.43,2.46,2.1,2.09,1.82,1.81,1.7,1.57,1.35,1.22,0.96,0.82,0.0,0.63,0.28,0.05,0.02,0.0,2.48,0.0,100.0
09/28/2021,8.26,8.11,7.58,8.0,5.29,4.91,5.02,4.31,3.97,3.61,3.21,3.06,2.84,2.64,2.57,2.46,2.43,2.44,2.1,2.09,2.08,1.83,1.71,1.57,1.37,1.23,0.96,0.84,0.0,0.64,0.32,0.06,0.02,0.0,2.48,0.0,100.01
09/29/2021,8.26,8.11,7.58,8.0,5.29,4.91,5.02,4.31,3.97,3.61,3.21,3.06,2.84,2.64,2.57,2.46,2.43,2.44,2.1,2.09,2.08,1.83,1.71,1.57,1.37,1.23,0.96,0.84,0.0,0.64,0.32,0.06,0.02,0.0,2.48,0.0,100.01
09/30/2021,8.13,8.02,7.51,8.03,5.26,4.84,5.13,4.27,4.02,3.6,3.21,3.07,2.85,2.64,2.55,2.51,2.42,2.44,2.11,2.1,2.1,1.87,1.71,1.55,1.4,1.26,0.98,0.85,0.0,0.66,0.36,0.06,0.02,0.0,2.48,0.0,100.00999999999998
10/01/2021,8.11,7.93,7.48,8.06,5.34,4.82,5.15,4.25,4.07,3.64,3.24,3.08,2.85,2.69,2.56,2.52,2.44,2.46,2.12,2.12,2.06,1.88,1.72,1.57,1.4,1.26,0.99,0.85,0.0,0.66,0.13,0.05,0.02,0.0,2.5,0.0,100.02
10/19/2021,7.58,7.67,7.1,8.45,5.65,4.77,5.21,4.07,3.99,3.69,3.34,3.14,2.96,2.8,2.6,2.47,2.48,2.48,2.11,2.26,2.1,1.88,1.75,1.63,1.32,1.26,1.0,0.84,0.0,0.67,-0.01,0.15,0.01,0.0,2.59,0.0,100.01
10/20/2021,7.7,7.72,7.01,8.54,5.54,4.73,5.24,4.07,4.0,3.67,3.31,3.15,2.96,2.79,2.6,2.47,2.46,2.48,2.13,2.27,2.1,1.89,1.71,1.61,1.35,1.27,1.0,0.84,0.0,0.68,0.03,0.11,0.01,0.0,2.57,0.0,100.01
10/21/2021,7.55,7.66,6.95,8.69,5.57,4.72,5.39,4.02,3.95,3.65,3.31,3.16,2.98,2.8,2.6,2.46,2.46,2.49,2.12,2.3,2.1,1.87,1.72,1.63,1.35,1.27,0.99,0.83,0.0,0.68,0.03,0.11,0.01,0.0,2.58,0.0,100.0
10/22/2021,7.64,7.77,7.13,8.62,5.53,4.78,5.31,4.11,3.97,3.61,3.27,3.15,2.96,2.78,2.58,2.46,2.43,2.49,2.1,2.28,2.09,1.87,1.7,1.62,1.33,1.24,0.97,0.82,0.0,0.67,0.03,0.11,0.01,0.0,2.56,0.0,99.99
10/25/2021,7.79,7.8,7.21,8.82,5.46,4.84,5.26,4.13,3.86,3.6,3.25,3.15,2.96,2.75,2.54,2.42,2.41,2.49,2.08,2.3,2.06,1.85,1.7,1.61,1.31,1.23,0.95,0.82,0.0,0.66,0.03,0.11,0.01,0.0,2.54,0.0,100.0
10/26/2021,7.85,7.91,7.21,8.71,5.49,4.88,5.27,4.18,3.74,3.59,3.25,3.16,2.96,2.75,2.56,2.36,2.41,2.5,2.07,2.3,2.05,1.85,1.7,1.61,1.32,1.22,0.94,0.81,0.0,0.66,0.02,0.11,0.01,0.0,2.55,0.0,100.0
10/27/2021,7.85,7.91,7.21,8.71,5.49,4.88,5.27,4.18,3.74,3.59,3.25,3.16,2.96,2.75,2.56,2.36,2.41,2.5,2.07,2.3,2.05,1.85,1.7,1.61,1.32,1.22,0.94,0.81,0.0,0.66,0.02,0.11,0.01,0.0,2.55,0.0,100.0
10/28/2021,7.85,7.9,7.14,8.76,5.51,4.87,5.32,4.21,3.73,3.58,3.23,3.16,3.04,2.78,2.57,2.33,2.4,2.49,2.05,2.3,2.04,1.84,1.68,1.61,1.31,1.23,0.94,0.81,0.0,0.65,0.02,0.11,0.01,0.0,2.54,0.0,100.01
10/29/2021,7.9,7.93,7.2,8.78,5.46,4.86,5.28,4.25,3.69,3.59,3.25,3.15,3.04,2.75,2.55,2.32,2.41,2.43,2.07,2.29,2.03,1.85,1.69,1.59,1.3,1.24,0.95,0.81,0.0,0.65,0.02,0.11,0.01,0.0,2.55,0.0,100.0
11/01/2021,7.98,7.83,7.22,8.74,5.5,4.91,5.26,4.2,3.76,3.63,3.3,3.07,2.97,2.82,2.56,2.35,2.45,2.39,2.12,2.32,2.0,1.76,1.71,1.57,1.3,1.22,0.93,0.78,0.0,0.65,0.02,0.11,0.01,0.0,2.57,0.0,100.01
11/03/2021,7.88,7.72,7.15,8.63,5.5,4.83,5.24,4.11,3.65,3.59,3.23,3.05,4.11,2.87,2.55,2.25,2.4,2.38,2.08,2.29,1.96,1.76,1.69,1.56,1.29,1.21,0.93,0.78,0.0,0.64,-0.05,0.14,0.0,0.0,2.54,0.0,99.96
11/04/2021,7.8,7.71,7.18,8.6,5.48,4.83,5.33,4.12,3.74,3.56,3.18,3.05,4.07,2.86,2.53,2.32,2.37,2.37,2.08,2.29,1.97,1.77,1.67,1.56,1.32,1.22,0.94,0.79,0.0,0.65,-0.03,0.14,0.0,0.0,2.5,0.0,99.97
11/05/2021,7.79,7.65,7.16,8.65,5.53,4.78,5.62,4.21,3.68,3.54,3.12,3.03,4.09,2.9,2.53,2.28,2.35,2.37,2.05,2.26,1.95,1.74,1.66,1.57,1.32,1.23,0.95,0.78,0.0,0.63,-0.01,0.11,0.01,0.0,2.5,0.0,100.03
