,NVDA,QCOM,AVGO,TXN,INTC,AMD,ASML,MRVL,KLAC,NXPI,ADI,TSM,AMAT,MCHP,LRCX,MU,SWKS,MPWR,QRVO,TER,ON,ENTG,CREE,IPGP,MKSI,LSCC,SLAB,IIVI,BRKS,CCMP,n/a,PLLDA.AX,POWI,AMKR,WOLF,AGPXX,AZTA,SUM
09/24/2021,7.75,7.33,8.06,8.25,7.98,3.79,4.19,4.07,4.28,3.91,4.27,3.94,4.08,3.77,3.96,3.99,2.47,1.98,1.66,1.67,1.8,1.54,0.85,0.75,0.0,0.77,0.55,0.55,0.68,0.0,0.0,0.0,0.56,0.55,0.0,0.0,0.0,100.0
09/27/2021,7.93,7.21,8.01,8.22,7.89,3.79,4.17,4.09,4.31,3.97,4.29,3.85,4.12,3.83,4.0,3.97,2.42,2.01,1.64,1.67,1.8,1.55,0.85,0.74,0.0,0.79,0.56,0.55,0.68,0.0,0.0,0.0,0.54,0.56,0.0,0.0,0.0,100.01
09/28/2021,7.8,7.21,8.03,8.31,7.93,3.78,4.12,4.11,4.3,3.98,4.33,3.84,4.15,3.84,4.0,3.97,2.42,2.01,1.64,1.67,1.8,1.52,0.83,0.75,0.0,0.79,0.55,0.55,0.68,0.0,0.0,0.0,0.54,0.56,0.0,0.0,0.0,100.01
09/30/2021,7.67,7.21,8.05,8.31,8.01,3.87,3.98,4.08,4.26,3.99,4.3,3.87,4.19,3.87,4.04,4.04,2.41,1.99,1.66,1.65,1.81,1.5,0.84,0.75,0.0,0.78,0.56,0.55,0.69,0.0,0.0,0.0,0.54,0.56,0.0,0.0,0.0,100.03
10/01/2021,7.62,7.29,8.14,8.41,8.23,3.78,3.86,4.09,4.2,3.95,4.33,3.87,4.05,3.83,3.99,4.09,2.43,1.99,1.68,1.62,1.8,1.48,0.84,0.76,0.0,0.78,0.56,0.56,0.69,0.0,0.0,0.0,0.54,0.56,0.0,0.0,0.0,100.02
10/07/2021,7.57,7.41,8.22,8.56,8.49,3.89,3.68,4.04,4.15,3.77,4.33,3.93,3.98,3.7,3.91,4.11,2.43,1.96,1.68,1.63,1.78,1.5,0.0,0.76,0.0,0.8,0.56,0.54,0.69,0.0,0.0,0.0,0.54,0.56,0.85,0.0,0.0,100.02000000000002
10/08/2021,7.73,7.35,8.26,8.59,8.44,3.89,3.72,4.11,4.12,3.77,4.29,3.88,4.01,3.68,3.89,4.05,2.4,1.95,1.67,1.64,1.78,1.49,0.0,0.75,0.0,0.8,0.56,0.53,0.69,0.0,0.0,0.0,0.54,0.56,0.87,0.0,0.0,100.01
10/11/2021,7.85,7.27,8.28,8.53,8.36,4.01,3.74,4.44,4.05,3.76,4.27,3.88,3.95,3.66,3.83,3.99,2.39,1.94,1.64,1.64,1.75,1.48,0.0,0.76,0.0,0.81,0.56,0.54,0.68,0.0,0.0,0.0,0.54,0.56,0.87,0.0,0.0,100.03000000000004
10/14/2021,7.84,7.22,8.39,8.58,8.38,4.01,3.67,4.39,4.05,3.66,4.37,3.93,4.0,3.58,3.87,3.98,2.39,1.92,1.65,1.62,1.7,1.51,0.0,0.77,0.0,0.79,0.56,0.53,0.67,0.0,0.0,0.0,0.54,0.56,0.88,0.0,0.0,100.01
10/15/2021,7.93,7.2,8.39,8.48,8.29,4.07,3.74,4.46,4.04,3.66,4.32,3.94,4.03,3.56,3.88,3.89,2.41,1.95,1.64,1.63,1.68,1.52,0.0,0.78,0.0,0.79,0.57,0.54,0.68,0.0,0.0,0.0,0.55,0.5,0.88,0.0,0.0,100.0
10/18/2021,8.06,7.28,8.3,8.36,8.27,4.2,3.88,4.43,4.02,3.65,4.28,3.92,4.05,3.53,3.89,3.82,2.35,1.96,1.63,1.65,1.65,1.54,0.0,0.77,0.0,0.8,0.58,0.54,0.67,0.0,0.0,0.0,0.53,0.49,0.91,0.0,0.0,100.01
10/19/2021,8.05,7.31,8.34,8.39,8.3,4.17,3.9,4.42,3.99,3.63,4.35,3.98,4.01,3.52,3.84,3.78,2.34,1.95,1.63,1.66,1.65,1.56,0.0,0.78,0.0,0.8,0.58,0.54,0.68,0.0,0.0,0.0,0.52,0.48,0.87,0.0,0.0,100.02
10/21/2021,8.12,7.25,8.28,8.35,8.24,4.3,3.87,4.49,3.93,3.65,4.35,3.96,4.03,3.55,3.84,3.73,2.34,1.97,1.61,1.67,1.67,1.54,0.0,0.77,0.0,0.81,0.58,0.54,0.68,0.0,0.0,0.0,0.52,0.48,0.89,0.0,0.0,100.01
10/22/2021,8.04,7.29,8.29,8.38,8.25,4.24,3.88,4.48,3.95,3.7,4.38,3.97,4.02,3.55,3.81,3.7,2.36,1.97,1.62,1.67,1.68,1.52,0.0,0.76,0.0,0.8,0.58,0.54,0.68,0.0,0.0,0.0,0.52,0.48,0.94,0.0,0.0,100.05000000000004
10/25/2021,8.11,7.26,8.27,8.44,8.29,4.31,3.78,4.39,3.95,3.74,4.39,3.91,3.95,3.57,3.67,3.73,2.37,2.04,1.62,1.66,1.71,1.56,0.0,0.75,0.0,0.81,0.59,0.54,0.68,0.0,0.0,0.0,0.53,0.49,0.91,0.0,0.0,100.02
10/26/2021,8.22,7.27,8.4,8.45,7.41,4.38,3.9,4.39,4.09,3.76,4.44,3.89,4.07,3.58,3.73,3.71,2.37,2.04,1.62,1.66,1.72,1.62,0.0,0.75,0.0,0.81,0.59,0.54,0.7,0.0,0.0,0.0,0.53,0.47,0.9,0.0,0.0,100.01000000000002
10/28/2021,8.33,7.24,8.45,8.44,7.36,4.45,3.81,4.45,4.06,3.75,4.46,3.84,4.04,3.58,3.67,3.75,2.35,2.07,1.6,1.67,1.72,1.59,0.0,0.74,0.0,0.81,0.59,0.54,0.7,0.0,0.0,0.0,0.54,0.48,0.92,0.0,0.0,100.0
10/29/2021,8.89,7.24,8.64,8.3,7.19,4.47,3.82,4.45,4.05,3.67,4.44,3.86,3.93,3.49,3.65,3.76,2.34,2.07,1.59,1.64,1.68,1.55,0.0,0.73,0.0,0.81,0.6,0.53,0.7,0.0,0.0,0.0,0.53,0.47,0.93,0.0,0.0,100.02
11/01/2021,8.85,7.24,8.46,7.81,7.06,4.34,3.88,4.44,4.15,3.69,4.2,3.87,4.0,3.47,3.71,3.75,2.39,2.15,1.6,1.92,1.73,1.6,0.0,0.72,0.0,0.81,0.71,0.55,0.72,0.0,0.0,0.0,0.55,0.46,1.19,0.0,0.0,100.01999999999998
11/02/2021,9.04,7.17,8.46,7.77,7.17,4.3,3.86,4.43,4.34,3.69,4.21,3.78,4.0,3.44,3.68,3.71,2.34,2.05,1.59,1.93,1.76,1.62,0.0,0.72,0.0,0.8,0.72,0.54,0.73,0.0,0.0,0.0,0.53,0.45,1.18,0.0,0.0,100.01
11/03/2021,9.04,7.17,8.46,7.77,7.17,4.3,3.86,4.43,4.34,3.69,4.21,3.78,4.0,3.44,3.68,3.71,2.34,2.05,1.59,1.93,1.76,1.62,0.0,0.72,0.0,0.8,0.72,0.54,0.73,0.0,0.0,0.0,0.53,0.45,1.18,0.0,0.0,100.01
11/04/2021,9.04,7.17,8.46,7.77,7.17,4.3,3.86,4.43,4.34,3.69,4.21,3.78,4.0,3.44,3.68,3.71,2.34,2.05,1.59,1.93,1.76,1.62,0.0,0.72,0.0,0.8,0.72,0.54,0.73,0.0,0.0,0.0,0.53,0.45,1.18,0.0,0.0,100.01
11/05/2021,9.08,7.1,8.32,7.64,7.1,4.44,3.75,4.4,4.4,3.7,4.2,3.69,4.02,3.56,3.65,3.7,2.33,2.03,1.58,1.9,2.03,1.61,0.0,0.78,0.0,0.83,0.66,0.56,0.74,0.0,0.0,0.0,0.51,0.45,1.26,0.0,0.0,100.02
11/11/2021,9.89,8.12,8.08,7.24,6.85,4.87,3.66,4.29,4.36,3.73,4.07,3.65,4.07,3.55,3.62,3.63,2.13,1.94,1.36,1.83,1.95,1.55,0.0,0.7,0.0,0.88,0.63,0.52,0.71,0.0,0.0,0.0,0.48,0.45,1.23,0.0,0.0,100.04
11/12/2021,9.85,8.17,8.07,7.18,6.81,4.83,3.67,4.28,4.41,3.69,4.08,3.68,4.16,3.5,3.7,3.69,2.09,1.96,1.35,1.85,1.93,1.55,0.0,0.7,0.0,0.85,0.62,0.52,0.71,0.0,0.0,0.0,0.47,0.44,1.21,0.0,0.0,100.02
11/15/2021,9.85,8.14,8.11,7.17,6.78,4.79,3.63,4.35,4.41,3.7,4.08,3.6,4.13,3.56,3.68,3.67,2.08,1.98,1.36,1.84,1.95,1.58,0.0,0.7,0.0,0.88,0.63,0.54,0.66,0.0,0.0,0.0,0.48,0.44,1.24,0.0,0.0,100.01
11/16/2021,9.78,8.1,8.16,7.17,6.7,4.81,3.68,4.32,4.38,3.65,4.08,3.59,4.18,3.53,3.72,3.78,2.1,1.99,1.38,1.86,1.95,1.57,0.0,0.7,0.0,0.87,0.63,0.53,0.66,0.0,0.0,0.0,0.48,0.44,1.25,0.0,0.0,100.04
11/17/2021,9.78,8.1,8.16,7.17,6.7,4.81,3.68,4.32,4.38,3.65,4.08,3.59,4.18,3.53,3.72,3.78,2.1,1.99,1.38,1.86,1.95,1.57,0.0,0.7,0.0,0.87,0.63,0.53,0.66,0.0,0.0,0.0,0.48,0.44,1.25,0.0,0.0,100.04
11/18/2021,9.66,8.27,8.2,7.14,6.7,4.76,3.7,4.29,4.38,3.61,4.09,3.57,4.16,3.52,3.75,3.75,2.08,2.0,1.36,1.89,1.97,1.57,0.0,0.7,0.0,0.88,0.64,0.53,0.66,0.0,0.0,0.0,0.49,0.44,1.23,0.0,0.0,99.99
11/19/2021,9.55,8.77,8.1,6.99,6.63,4.87,3.66,4.27,4.41,3.61,4.08,3.51,4.13,3.5,3.71,3.69,2.05,2.01,1.34,1.89,2.03,1.58,0.0,0.7,0.0,0.88,0.64,0.52,0.68,0.0,0.0,0.0,0.5,0.45,1.25,0.0,0.0,100.0
11/24/2021,10.29,8.81,7.99,7.14,6.4,4.9,3.59,4.26,4.34,3.59,4.05,3.65,3.88,3.39,3.72,3.94,1.99,1.97,1.29,1.87,2.04,1.56,0.0,0.66,0.0,0.86,0.62,0.51,0.67,0.0,0.0,0.0,0.48,0.46,1.12,0.0,0.0,100.04
11/25/2021,10.14,8.78,7.9,7.16,6.55,4.89,3.52,4.22,4.27,3.66,4.04,3.72,3.88,3.45,3.79,4.04,1.97,1.95,1.28,1.88,2.02,1.56,0.0,0.67,0.0,0.84,0.61,0.52,0.66,0.0,0.0,0.0,0.48,0.43,1.12,0.0,0.0,100.0
11/26/2021,10.1,8.79,7.95,7.19,6.47,4.82,3.45,4.26,4.32,3.63,3.99,3.63,3.93,3.49,3.89,4.13,1.98,1.92,1.3,1.88,2.02,1.55,0.0,0.67,0.0,0.83,0.61,0.52,0.66,0.0,0.0,0.0,0.49,0.44,1.1,0.01,0.0,100.02
11/29/2021,10.3,8.7,7.93,7.16,6.5,5.03,3.4,4.26,4.3,3.63,3.95,3.58,3.89,3.48,3.85,4.13,1.96,1.92,1.29,1.88,2.03,1.55,0.0,0.66,0.0,0.82,0.6,0.51,0.65,0.0,0.0,0.0,0.48,0.43,1.11,0.01,0.0,99.99
11/30/2021,10.23,8.71,7.99,7.17,6.56,5.08,3.41,4.28,4.27,3.59,3.97,3.58,3.86,3.42,3.85,4.12,1.96,1.92,1.29,1.88,2.02,1.57,0.0,0.66,0.0,0.8,0.6,0.52,0.65,0.0,0.0,0.0,0.48,0.42,1.12,0.01,0.0,99.99
12/01/2021,10.23,8.71,7.99,7.17,6.56,5.08,3.41,4.28,4.27,3.59,3.97,3.58,3.86,3.42,3.85,4.12,1.96,1.92,1.29,1.88,2.02,1.57,0.0,0.66,0.0,0.8,0.6,0.52,0.65,0.0,0.0,0.0,0.48,0.42,1.12,0.01,0.0,99.99
12/02/2021,10.42,8.75,7.92,7.11,6.46,5.11,3.41,4.28,4.26,3.64,3.93,3.5,3.91,3.47,3.92,4.08,1.92,1.95,1.26,1.91,2.03,1.57,0.0,0.65,0.0,0.8,0.6,0.49,0.65,0.0,0.0,0.0,0.47,0.41,1.12,0.0,0.0,100.0
12/06/2021,10.29,8.65,7.96,7.27,6.57,4.88,3.39,4.16,4.25,3.72,3.98,3.67,3.89,3.55,3.91,4.03,1.9,1.97,1.28,1.92,2.07,1.59,0.0,0.67,0.0,0.79,0.61,0.5,0.0,0.0,0.0,0.0,0.46,0.42,1.06,0.0,0.63,100.04
12/07/2021,10.29,8.65,7.96,7.27,6.57,4.88,3.39,4.16,4.25,3.72,3.98,3.67,3.89,3.55,3.91,4.03,1.9,1.97,1.28,1.92,2.07,1.59,0.0,0.67,0.0,0.79,0.61,0.5,0.0,0.0,0.0,0.0,0.46,0.42,1.06,0.0,0.63,100.04
12/08/2021,10.29,8.65,7.96,7.27,6.57,4.88,3.39,4.16,4.25,3.72,3.98,3.67,3.89,3.55,3.91,4.03,1.9,1.97,1.28,1.92,2.07,1.59,0.0,0.67,0.0,0.79,0.61,0.5,0.0,0.0,0.0,0.0,0.46,0.42,1.06,0.0,0.63,100.04
12/09/2021,10.29,8.65,7.96,7.27,6.57,4.88,3.39,4.16,4.25,3.72,3.98,3.67,3.89,3.55,3.91,4.03,1.9,1.97,1.28,1.92,2.07,1.59,0.0,0.67,0.0,0.79,0.61,0.5,0.0,0.0,0.0,0.0,0.46,0.42,1.06,0.0,0.63,100.04
12/10/2021,10.29,8.65,7.96,7.27,6.57,4.88,3.39,4.16,4.25,3.72,3.98,3.67,3.89,3.55,3.91,4.03,1.9,1.97,1.28,1.92,2.07,1.59,0.0,0.67,0.0,0.79,0.61,0.5,0.0,0.0,0.0,0.0,0.46,0.42,1.06,0.0,0.63,100.04
12/13/2021,10.29,8.65,7.96,7.27,6.57,4.88,3.39,4.16,4.25,3.72,3.98,3.67,3.89,3.55,3.91,4.03,1.9,1.97,1.28,1.92,2.07,1.59,0.0,0.67,0.0,0.79,0.61,0.5,0.0,0.0,0.0,0.0,0.46,0.42,1.06,0.0,0.63,100.04
12/14/2021,10.29,8.65,7.96,7.27,6.57,4.88,3.39,4.16,4.25,3.72,3.98,3.67,3.89,3.55,3.91,4.03,1.9,1.97,1.28,1.92,2.07,1.59,0.0,0.67,0.0,0.79,0.61,0.5,0.0,0.0,0.0,0.0,0.46,0.42,1.06,0.0,0.63,100.04
12/15/2021,10.29,8.65,7.96,7.27,6.57,4.88,3.39,4.16,4.25,3.72,3.98,3.67,3.89,3.55,3.91,4.03,1.9,1.97,1.28,1.92,2.07,1.59,0.0,0.67,0.0,0.79,0.61,0.5,0.0,0.0,0.0,0.0,0.46,0.42,1.06,0.0,0.63,100.04
12/16/2021,10.29,8.65,7.96,7.27,6.57,4.88,3.39,4.16,4.25,3.72,3.98,3.67,3.89,3.55,3.91,4.03,1.9,1.97,1.28,1.92,2.07,1.59,0.0,0.67,0.0,0.79,0.61,0.5,0.0,0.0,0.0,0.0,0.46,0.42,1.06,0.0,0.63,100.04
12/17/2021,10.29,8.65,7.96,7.27,6.57,4.88,3.39,4.16,4.25,3.72,3.98,3.67,3.89,3.55,3.91,4.03,1.9,1.97,1.28,1.92,2.07,1.59,0.0,0.67,0.0,0.79,0.61,0.5,0.0,0.0,0.0,0.0,0.46,0.42,1.06,0.0,0.63,100.04
12/20/2021,10.29,8.65,7.96,7.27,6.57,4.88,3.39,4.16,4.25,3.72,3.98,3.67,3.89,3.55,3.91,4.03,1.9,1.97,1.28,1.92,2.07,1.59,0.0,0.67,0.0,0.79,0.61,0.5,0.0,0.0,0.0,0.0,0.46,0.42,1.06,0.0,0.63,100.04
12/21/2021,6.93,7.98,9.34,3.95,8.38,7.09,3.86,4.81,3.91,3.99,3.85,4.05,4.05,3.79,4.01,4.03,2.03,1.8,1.32,2.06,2.16,1.46,0.0,0.72,0.0,0.8,0.64,0.59,0.0,0.0,0.0,0.0,0.43,0.44,1.0,0.0,0.57,100.04
12/23/2021,6.97,8.03,9.57,3.93,8.28,7.04,3.9,4.86,3.88,4.0,3.83,4.03,4.05,3.74,3.99,4.01,2.02,1.79,1.31,2.07,2.14,1.43,0.0,0.71,0.0,0.79,0.64,0.58,0.0,0.0,0.0,0.0,0.42,0.43,0.99,0.0,0.58,100.01
12/24/2021,7.07,7.9,9.27,3.85,8.2,7.24,3.93,4.82,3.98,3.99,3.79,3.98,4.09,3.74,3.99,4.29,1.99,1.76,1.31,2.06,2.2,1.42,0.0,0.71,0.0,0.8,0.63,0.57,0.0,0.0,0.0,0.0,0.42,0.44,0.99,0.0,0.58,100.00999999999998
12/27/2021,7.07,7.89,9.36,3.8,8.13,7.19,3.94,4.8,4.02,3.97,3.73,4.01,4.12,3.73,4.0,4.38,1.96,1.77,1.3,2.05,2.23,1.43,0.0,0.7,0.0,0.8,0.64,0.56,0.0,0.0,0.0,0.0,0.42,0.44,1.0,0.0,0.58,100.02
