,ETR,EVRG,PNW,ED,ATO,PEG,AGR,UGI,DTE,CNP,EXC,OGE,AEP,PPL,SRE,EIX,SO,AEE,XEL,LNT,FE,ES,HE,IDA,WTRG,PCG,D,WEC,NI,NRG,CMS,DUK,AWK,NEE,RSG,WM,SRCL,NFG,VST,CLH,DTM WI,US Dollar,MISXX,018000.KQ,Morgan Stanley Instl Lqudty Trs Instl,n/a,688001.SS,RUN,SUM
07/23/2021,4.17,4.3,4.2,4.16,4.2,4.12,4.13,4.05,3.42,3.34,3.37,3.27,3.29,3.27,3.23,3.19,2.53,2.55,2.52,2.55,2.46,2.61,2.49,2.6,1.7,1.5,1.67,1.71,1.67,1.59,1.7,1.71,0.88,0.85,0.85,0.84,0.8,0.79,0.8,0.81,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,4.14,4.35,4.16,4.17,4.16,4.13,4.1,4.01,3.41,3.34,3.4,3.23,3.29,3.29,3.19,3.17,2.56,2.53,2.51,2.54,2.59,2.6,2.48,2.59,1.7,1.5,1.66,1.7,1.66,1.65,1.7,1.71,0.87,0.85,0.86,0.85,0.8,0.79,0.83,0.81,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,4.17,4.36,4.17,4.18,4.19,4.15,4.07,4.03,3.42,3.32,3.4,3.23,3.29,3.27,3.19,3.15,2.56,2.53,2.52,2.55,2.51,2.61,2.48,2.61,1.72,1.47,1.66,1.71,1.67,1.65,1.7,1.71,0.88,0.85,0.85,0.85,0.79,0.79,0.83,0.81,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,4.17,4.36,4.17,4.18,4.19,4.15,4.07,4.03,3.42,3.32,3.4,3.23,3.29,3.27,3.19,3.15,2.56,2.53,2.52,2.55,2.51,2.61,2.48,2.61,1.72,1.47,1.66,1.71,1.67,1.65,1.7,1.71,0.88,0.85,0.85,0.85,0.79,0.79,0.83,0.81,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,4.21,4.36,4.19,4.17,4.19,4.17,4.08,4.03,3.4,3.34,3.39,3.24,3.35,3.28,3.19,3.1,2.56,2.52,2.52,2.55,2.53,2.6,2.48,2.6,1.73,1.39,1.65,1.71,1.67,1.63,1.7,1.71,0.87,0.85,0.85,0.85,0.8,0.8,0.83,0.81,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,4.2,4.37,4.19,4.19,4.19,4.19,4.09,4.0,3.43,3.33,3.39,3.24,3.36,3.27,3.19,3.15,2.55,2.53,2.52,2.56,2.49,2.61,2.47,2.58,1.73,1.41,1.66,1.73,1.66,1.63,1.7,1.71,0.88,0.85,0.84,0.83,0.78,0.8,0.83,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,100.03
08/02/2021,4.19,4.33,4.17,4.16,4.17,4.22,4.09,4.01,3.43,3.37,3.42,3.24,3.37,3.27,3.2,3.17,2.56,2.53,2.51,2.54,2.45,2.58,2.49,2.6,1.74,1.43,1.64,1.7,1.65,1.66,1.69,1.71,0.89,0.85,0.84,0.83,0.79,0.8,0.84,0.81,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,100.04
08/03/2021,4.17,4.35,4.11,4.15,4.14,4.2,4.09,4.01,3.43,3.35,3.41,3.24,3.36,3.27,3.18,3.04,2.56,2.54,2.51,2.54,2.49,2.6,2.48,2.62,1.73,1.39,1.64,1.71,1.63,1.65,1.69,1.72,0.89,0.86,0.87,0.85,0.8,0.79,0.83,0.82,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/04/2021,4.17,4.35,4.11,4.15,4.14,4.2,4.09,4.01,3.43,3.35,3.41,3.24,3.36,3.27,3.18,3.04,2.56,2.54,2.51,2.54,2.49,2.6,2.48,2.62,1.73,1.39,1.64,1.71,1.63,1.65,1.69,1.72,0.89,0.86,0.87,0.85,0.8,0.79,0.83,0.82,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/05/2021,4.17,4.37,4.07,4.17,4.15,4.22,4.09,3.97,3.42,3.34,3.41,3.25,3.35,3.26,3.18,3.06,2.55,2.55,2.5,2.55,2.49,2.62,2.49,2.63,1.74,1.41,1.64,1.71,1.65,1.64,1.7,1.73,0.9,0.86,0.86,0.84,0.8,0.79,0.82,0.81,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/06/2021,4.16,4.38,3.94,4.17,4.14,4.24,4.1,4.01,3.42,3.37,3.41,3.26,3.36,3.26,3.18,3.06,2.54,2.56,2.5,2.58,2.48,2.62,2.48,2.63,1.73,1.41,1.64,1.72,1.65,1.65,1.71,1.72,0.91,0.87,0.87,0.85,0.8,0.8,0.82,0.82,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,99.99
08/09/2021,4.24,4.41,3.85,4.17,4.19,4.25,4.09,4.03,3.44,3.4,3.42,3.26,3.37,3.28,3.19,3.04,2.55,2.57,2.51,2.59,2.43,2.64,2.47,2.61,1.78,1.3,1.64,1.72,1.65,1.66,1.7,1.74,0.93,0.87,0.85,0.84,0.78,0.79,0.78,0.84,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,100.0
08/10/2021,4.22,4.38,3.89,4.18,4.16,4.24,4.09,4.02,3.44,3.43,3.41,3.3,3.35,3.32,3.17,3.02,2.54,2.58,2.5,2.6,2.42,2.64,2.47,2.6,1.75,1.33,1.64,1.72,1.64,1.73,1.7,1.72,0.91,0.87,0.85,0.84,0.74,0.81,0.79,0.85,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,99.99
08/11/2021,4.22,4.38,3.89,4.18,4.16,4.24,4.09,4.02,3.44,3.43,3.41,3.3,3.35,3.32,3.17,3.02,2.54,2.58,2.5,2.6,2.42,2.64,2.47,2.6,1.75,1.33,1.64,1.72,1.64,1.73,1.7,1.72,0.91,0.87,0.85,0.84,0.74,0.81,0.79,0.85,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,99.99
08/13/2021,4.31,4.38,3.88,4.22,4.15,4.17,4.14,4.04,3.45,3.44,3.4,3.31,3.32,3.27,3.15,3.06,2.56,2.6,2.48,2.58,2.42,2.63,2.47,2.58,1.72,1.43,1.64,1.71,1.62,1.7,1.69,1.71,0.9,0.87,0.84,0.83,0.74,0.8,0.79,0.86,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,99.99
08/16/2021,4.29,4.39,3.83,4.24,4.12,4.21,4.13,4.04,3.43,3.44,3.41,3.38,3.31,3.27,3.15,3.11,2.56,2.59,2.47,2.57,2.43,2.64,2.49,2.58,1.68,1.43,1.66,1.69,1.63,1.68,1.68,1.69,0.91,0.89,0.86,0.84,0.74,0.8,0.78,0.87,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,100.04
08/17/2021,4.29,4.39,3.83,4.24,4.12,4.21,4.13,4.04,3.43,3.44,3.41,3.38,3.31,3.27,3.15,3.11,2.56,2.59,2.47,2.57,2.43,2.64,2.49,2.58,1.68,1.43,1.66,1.69,1.63,1.68,1.68,1.69,0.91,0.89,0.86,0.84,0.74,0.8,0.78,0.87,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,100.04
08/18/2021,4.31,4.41,3.81,4.24,4.13,4.24,4.14,4.06,3.41,3.43,3.41,3.37,3.32,3.29,3.16,3.08,2.54,2.6,2.46,2.57,2.44,2.64,2.48,2.58,1.69,1.4,1.65,1.69,1.63,1.69,1.68,1.68,0.91,0.89,0.86,0.84,0.73,0.79,0.78,0.85,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,100.01
08/19/2021,4.31,4.44,3.81,4.25,4.1,4.23,4.15,3.99,3.39,3.41,3.42,3.33,3.33,3.27,3.14,3.09,2.57,2.62,2.48,2.59,2.44,2.65,2.49,2.59,1.69,1.41,1.66,1.7,1.63,1.67,1.69,1.7,0.92,0.89,0.86,0.85,0.71,0.78,0.76,0.85,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,100.02
08/20/2021,4.3,4.45,3.81,4.2,4.09,4.22,4.16,3.98,3.4,3.41,3.4,3.33,3.34,3.27,3.15,3.11,2.57,2.63,2.48,2.59,2.43,2.65,2.5,2.61,1.68,1.4,1.67,1.71,1.63,1.67,1.7,1.7,0.92,0.89,0.86,0.84,0.71,0.78,0.76,0.84,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,99.98
08/23/2021,4.39,4.45,3.83,4.19,4.02,4.22,4.16,3.91,3.42,3.31,3.45,3.3,3.35,3.27,3.12,3.16,2.58,2.63,2.5,2.59,2.46,2.67,2.49,2.62,1.67,1.38,1.68,1.71,1.63,1.66,1.7,1.7,0.92,0.9,0.86,0.85,0.73,0.76,0.75,0.85,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,99.99
08/24/2021,4.46,4.45,3.79,4.16,3.99,4.22,4.14,3.91,3.42,3.33,3.46,3.31,3.34,3.3,3.12,3.19,2.59,2.61,2.49,2.6,2.44,2.67,2.46,2.61,1.67,1.42,1.69,1.7,1.63,1.67,1.7,1.68,0.93,0.91,0.86,0.85,0.72,0.75,0.76,0.84,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,4.46,4.45,3.79,4.16,3.99,4.22,4.14,3.91,3.42,3.33,3.46,3.31,3.34,3.3,3.12,3.19,2.59,2.61,2.49,2.6,2.44,2.67,2.46,2.61,1.67,1.42,1.69,1.7,1.63,1.67,1.7,1.68,0.93,0.91,0.86,0.85,0.72,0.75,0.76,0.84,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,100.0
08/26/2021,4.48,4.47,3.77,4.14,3.99,4.22,4.09,3.94,3.45,3.35,3.47,3.31,3.34,3.27,3.12,3.21,2.59,2.57,2.46,2.57,2.45,2.67,2.48,2.59,1.66,1.4,1.68,1.69,1.62,1.7,1.7,1.68,0.93,0.9,0.87,0.85,0.73,0.76,0.76,0.85,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,99.94
08/27/2021,4.49,4.47,3.74,4.12,4.02,4.21,4.12,3.94,3.44,3.32,3.48,3.32,3.33,3.29,3.12,3.21,2.57,2.57,2.45,2.57,2.45,2.68,2.46,2.58,1.68,1.43,1.68,1.67,1.62,1.72,1.69,1.68,0.92,0.9,0.88,0.86,0.73,0.76,0.78,0.86,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,99.98
08/30/2021,4.5,4.52,3.7,4.14,3.97,4.22,4.15,3.92,3.45,3.27,3.48,3.33,3.33,3.28,3.14,3.15,2.59,2.59,2.46,2.58,2.45,2.67,2.43,2.54,1.68,1.42,1.68,1.68,1.6,1.77,1.71,1.68,0.93,0.9,0.88,0.87,0.75,0.76,0.79,0.86,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,99.99
08/31/2021,4.5,4.52,3.7,4.14,3.97,4.22,4.15,3.92,3.45,3.27,3.48,3.33,3.33,3.28,3.14,3.15,2.59,2.59,2.46,2.58,2.45,2.67,2.43,2.54,1.68,1.42,1.68,1.68,1.6,1.77,1.71,1.68,0.93,0.9,0.88,0.87,0.75,0.76,0.79,0.86,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,99.99
09/01/2021,4.41,4.45,3.72,4.16,3.99,4.23,4.16,3.95,3.45,3.29,3.49,3.33,3.33,3.29,3.14,3.14,2.58,2.6,2.47,2.58,2.45,2.66,2.44,2.56,1.68,1.41,1.68,1.67,1.6,1.76,1.71,1.67,0.92,0.9,0.89,0.87,0.76,0.77,0.79,0.87,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,99.98
09/02/2021,4.32,4.43,3.68,4.16,4.0,4.24,4.2,3.96,3.44,3.26,3.51,3.33,3.34,3.29,3.14,3.14,2.57,2.61,2.48,2.58,2.46,2.68,2.44,2.55,1.72,1.4,1.68,1.68,1.59,1.75,1.72,1.67,0.93,0.9,0.89,0.87,0.76,0.78,0.8,0.87,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,99.98
09/03/2021,4.37,4.46,3.69,4.14,3.99,4.21,4.18,3.93,3.44,3.22,3.48,3.31,3.33,3.3,3.15,3.15,2.56,2.59,2.46,2.57,2.47,2.67,2.43,2.55,1.71,1.42,1.67,1.67,1.58,1.78,1.71,1.67,0.93,0.9,0.89,0.87,0.77,0.78,0.81,0.87,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,99.99
09/06/2021,4.42,4.42,3.7,4.17,3.96,4.19,4.17,3.94,3.43,3.26,3.5,3.31,3.33,3.37,3.15,3.17,2.57,2.58,2.48,2.59,2.49,2.68,2.42,2.56,1.71,1.41,1.66,1.69,1.61,1.76,1.72,1.67,0.94,0.91,0.89,0.86,0.76,0.78,0.81,0.88,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,100.0
09/07/2021,4.4,4.42,3.67,4.15,3.96,4.19,4.15,3.95,3.42,3.3,3.51,3.31,3.33,3.36,3.14,3.16,2.56,2.58,2.48,2.58,2.49,2.68,2.38,2.57,1.69,1.4,1.66,1.68,1.6,1.76,1.71,1.67,0.94,0.91,0.89,0.86,0.75,0.78,0.8,0.86,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,100.01
09/08/2021,4.4,4.42,3.67,4.15,3.96,4.19,4.15,3.95,3.42,3.3,3.51,3.31,3.33,3.36,3.14,3.16,2.56,2.58,2.48,2.58,2.49,2.68,2.38,2.57,1.69,1.4,1.66,1.68,1.6,1.76,1.71,1.67,0.94,0.91,0.89,0.86,0.75,0.78,0.8,0.86,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,100.01
09/09/2021,4.41,4.43,3.68,4.16,3.96,4.2,4.15,3.96,3.42,3.31,3.51,3.31,3.34,3.36,3.15,3.17,2.57,2.58,2.48,2.58,2.49,2.69,2.39,2.58,1.69,1.41,1.67,1.69,1.6,1.76,1.72,1.67,0.94,0.91,0.89,0.87,0.76,0.79,0.81,0.86,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,100.0
09/10/2021,4.47,4.41,3.66,4.14,3.97,4.18,4.1,3.93,3.43,3.34,3.54,3.32,3.33,3.41,3.16,3.22,2.6,2.56,2.45,2.55,2.46,2.66,2.36,2.58,1.7,1.47,1.65,1.68,1.6,1.77,1.7,1.66,0.95,0.92,0.89,0.87,0.77,0.78,0.81,0.86,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,100.0
09/13/2021,4.45,4.43,3.62,4.18,3.93,4.16,4.08,3.86,3.44,3.4,3.56,3.31,3.36,3.35,3.17,3.19,2.62,2.59,2.48,2.57,2.43,2.64,2.38,2.59,1.72,1.45,1.68,1.7,1.61,1.74,1.71,1.66,0.96,0.92,0.89,0.86,0.78,0.78,0.8,0.85,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,100.01
09/14/2021,4.46,4.39,3.62,4.14,3.85,4.14,4.04,3.85,3.43,3.4,3.58,3.32,3.34,3.37,3.18,3.2,2.61,2.59,2.45,2.56,2.42,2.63,2.35,2.57,1.69,1.46,1.67,1.7,1.6,1.72,1.71,1.66,0.95,0.92,0.9,0.88,0.79,0.79,0.79,0.86,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,100.0
09/15/2021,4.47,4.4,3.63,4.15,3.86,4.15,4.05,3.86,3.44,3.41,3.59,3.33,3.35,3.38,3.19,3.21,2.62,2.6,2.46,2.56,2.42,2.63,2.35,2.58,1.69,1.46,1.68,1.7,1.6,1.72,1.72,1.67,0.96,0.92,0.9,0.88,0.79,0.79,0.79,0.86,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,100.0
09/16/2021,4.53,4.39,3.65,4.14,3.82,4.16,4.04,3.88,3.41,3.4,3.64,3.33,3.33,3.37,3.23,3.26,2.62,2.57,2.44,2.55,2.41,2.63,2.32,2.57,1.67,1.54,1.66,1.68,1.61,1.74,1.7,1.66,0.95,0.92,0.9,0.88,0.78,0.79,0.8,0.86,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,100.01
09/17/2021,4.53,4.39,3.65,4.14,3.82,4.16,4.04,3.88,3.41,3.4,3.64,3.33,3.33,3.37,3.23,3.26,2.62,2.57,2.44,2.55,2.41,2.63,2.32,2.57,1.67,1.54,1.66,1.68,1.61,1.74,1.7,1.66,0.95,0.92,0.9,0.88,0.78,0.79,0.8,0.86,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,100.01
09/20/2021,4.57,4.33,3.63,4.17,3.79,4.25,4.03,3.81,3.46,3.26,3.67,3.29,3.3,3.38,3.31,3.23,2.63,2.59,2.4,2.56,2.44,2.57,2.38,2.56,1.66,1.55,1.65,1.67,1.59,1.73,1.72,1.67,0.96,0.93,0.91,0.89,0.78,0.81,0.78,0.87,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,100.02
09/21/2021,4.55,4.34,3.68,4.16,3.79,4.24,4.01,3.78,3.38,3.26,3.68,3.28,3.25,3.35,3.29,3.27,2.6,2.56,2.38,2.54,2.42,2.55,2.39,2.6,1.66,1.58,1.65,1.67,1.6,1.71,1.71,1.65,0.94,0.91,0.92,0.89,0.77,0.8,0.78,0.87,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,99.99
09/22/2021,4.57,4.35,3.69,4.18,3.8,4.25,4.02,3.8,3.39,3.27,3.69,3.29,3.26,3.36,3.3,3.28,2.61,2.57,2.39,2.55,2.43,2.55,2.39,2.61,1.67,1.59,1.65,1.67,1.61,1.71,1.71,1.66,0.95,0.91,0.92,0.89,0.78,0.8,0.79,0.87,0.0,0.0,0.31,0.0,0.0,-0.07,0.0,0.0,100.02
09/23/2021,4.5,4.36,3.68,4.19,3.8,4.26,4.0,3.78,3.39,3.31,3.68,3.27,3.23,3.36,3.24,3.27,2.6,2.56,2.37,2.55,2.41,2.56,2.38,2.61,1.7,1.55,1.66,1.68,1.6,1.68,1.72,1.66,0.95,0.91,0.92,0.89,0.77,0.79,0.77,0.86,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,100.0
09/24/2021,4.46,4.36,3.69,4.2,3.81,4.26,4.02,3.76,3.39,3.35,3.65,3.26,3.23,3.35,3.25,3.29,2.61,2.56,2.38,2.55,2.44,2.57,2.39,2.61,1.7,1.59,1.67,1.69,1.61,1.71,1.72,1.65,0.95,0.92,0.93,0.9,0.79,0.79,0.77,0.88,0.0,0.0,0.37,0.0,0.0,-0.07,0.0,0.0,100.01000000000002
09/27/2021,4.25,4.33,3.66,4.21,3.79,4.2,4.09,3.8,3.41,3.34,3.7,3.31,3.22,3.37,3.22,3.29,2.6,2.58,2.37,2.54,2.45,2.55,2.4,2.64,1.7,1.62,1.67,1.68,1.61,1.75,1.7,1.65,0.95,0.92,0.94,0.91,0.8,0.81,0.78,0.92,0.0,0.0,0.37,0.0,0.0,-0.07,0.0,0.0,100.03
09/28/2021,4.17,4.3,3.65,4.19,3.78,4.18,4.06,3.8,3.4,3.41,3.66,3.3,3.2,3.35,3.23,3.28,2.58,2.58,2.38,2.53,2.45,2.55,2.4,2.63,1.7,1.61,1.67,1.67,1.61,1.76,1.69,1.64,0.94,0.91,0.93,0.91,0.8,0.82,0.78,0.92,0.0,0.0,0.67,0.0,0.0,-0.07,0.0,0.0,100.02
09/29/2021,4.17,4.3,3.65,4.19,3.78,4.18,4.06,3.8,3.4,3.41,3.66,3.3,3.2,3.35,3.23,3.28,2.58,2.58,2.38,2.53,2.45,2.55,2.4,2.63,1.7,1.61,1.67,1.67,1.61,1.76,1.69,1.64,0.94,0.91,0.93,0.91,0.8,0.82,0.78,0.92,0.0,0.0,0.67,0.0,0.0,-0.07,0.0,0.0,100.02
09/30/2021,4.16,4.33,3.66,4.19,3.78,4.25,4.02,3.83,3.39,3.44,3.66,3.29,3.19,3.36,3.23,3.31,2.57,2.55,2.35,2.51,2.45,2.53,2.44,2.65,1.69,1.63,1.66,1.65,1.62,1.74,1.67,1.64,0.92,0.89,0.93,0.9,0.81,0.86,0.76,0.94,0.0,0.0,0.67,0.0,0.0,-0.07,0.0,0.0,100.05
10/01/2021,4.17,4.33,3.66,4.21,3.78,4.23,3.96,3.81,3.39,3.41,3.64,3.28,3.22,3.38,3.13,3.31,2.57,2.56,2.34,2.52,2.46,2.54,2.46,2.69,1.7,1.6,1.67,1.65,1.63,1.72,1.67,1.65,0.91,0.88,0.92,0.9,0.8,0.87,0.76,0.94,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,100.0
10/04/2021,4.18,4.32,3.71,4.25,3.85,4.28,3.97,3.86,3.4,3.37,3.66,3.29,3.22,3.35,3.21,3.22,2.58,2.55,2.39,2.53,2.41,2.57,2.43,2.67,1.69,1.59,1.67,1.67,1.66,1.7,1.7,1.66,0.92,0.9,0.92,0.9,0.8,0.84,0.77,0.94,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,99.99
10/05/2021,4.19,4.3,3.7,4.2,3.88,4.25,3.98,3.94,3.4,3.41,3.63,3.3,3.23,3.36,3.19,3.2,2.57,2.54,2.39,2.52,2.43,2.57,2.45,2.7,1.7,1.59,1.65,1.66,1.67,1.7,1.7,1.68,0.92,0.91,0.92,0.9,0.81,0.87,0.76,0.97,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,100.01
10/06/2021,4.19,4.3,3.7,4.2,3.88,4.25,3.98,3.94,3.4,3.41,3.63,3.3,3.23,3.36,3.19,3.2,2.57,2.54,2.39,2.52,2.43,2.57,2.45,2.7,1.7,1.59,1.65,1.66,1.67,1.7,1.7,1.68,0.92,0.91,0.92,0.9,0.81,0.87,0.76,0.97,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,100.01
10/07/2021,4.21,4.29,3.73,4.22,3.9,4.23,3.99,3.95,3.39,3.44,3.61,3.31,3.25,3.35,3.16,3.22,2.56,2.54,2.41,2.53,2.4,2.63,2.46,2.67,1.7,1.6,1.65,1.66,1.66,1.66,1.7,1.69,0.92,0.9,0.9,0.88,0.8,0.88,0.76,0.95,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,100.02
10/08/2021,4.19,4.14,4.12,3.3,4.18,2.46,3.34,4.24,4.17,3.39,3.28,4.15,3.35,0.83,3.28,3.29,1.64,2.48,2.49,2.48,1.67,1.7,2.51,2.5,0.83,2.53,1.63,1.65,1.65,4.1,1.66,3.36,0.83,0.83,0.83,2.47,0.83,1.74,0.0,0.85,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.76,99.99
10/11/2021,4.24,4.11,3.84,3.34,4.14,2.43,3.4,4.24,4.19,3.39,3.28,4.15,3.38,0.83,3.23,3.35,1.65,2.49,2.5,2.47,1.67,1.71,2.45,2.44,0.83,2.68,1.65,1.66,1.65,4.11,1.65,3.37,0.83,0.84,0.85,2.52,0.81,1.75,0.0,0.84,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.81,99.99
