,FENER.IS,FENER.IS.1,FENER.IS.2,FENER.IS.3,FENER.IS.4,FENER.IS.5,2SPY  220331C00003210,2SPY  220331C00396340,2SPY  220331P00396320,Cash&Other,2SPY  220331P00360670,2SPY  220331C00416540,SUM
08/25/2021,0.0,0.0,0.0,0.0,0.0,0.0,104.51,13.94,3.29,0.46,-2.02,-20.19,99.99
08/26/2021,0.0,0.0,0.0,0.0,0.0,0.0,105.17,14.64,2.95,0.46,-1.81,-21.42,99.99
08/27/2021,0.0,0.0,0.0,0.0,0.0,0.0,105.28,14.74,3.0,0.45,-1.85,-21.63,99.99
08/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,105.06,14.51,3.09,0.45,-1.9,-21.21,100.0
08/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,105.62,15.02,2.79,0.44,-1.7,-22.18,99.99
09/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,105.62,15.02,2.79,0.44,-1.7,-22.18,99.99
09/02/2021,0.0,0.0,0.0,0.0,0.0,0.0,105.97,15.44,2.68,0.44,-1.63,-22.89,100.01
09/03/2021,0.0,0.0,0.0,0.0,0.0,0.0,106.02,15.5,2.72,0.44,-1.66,-23.01,100.01
09/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,106.08,15.51,2.62,0.43,-1.59,-23.04,100.01000000000002
09/07/2021,0.0,0.0,0.0,0.0,0.0,0.0,106.09,15.56,2.64,0.42,-1.61,-23.12,99.98
09/08/2021,0.0,0.0,0.0,0.0,0.0,0.0,106.09,15.56,2.64,0.42,-1.61,-23.12,99.98
09/09/2021,0.0,0.0,0.0,0.0,0.0,0.0,106.09,15.56,2.64,0.42,-1.61,-23.12,99.98
09/10/2021,0.0,0.0,0.0,0.0,0.0,0.0,105.86,15.3,2.8,0.42,-1.72,-22.66,100.0
