,MS,GS,MKTX,ICE,NDAQ,CBOE,RJF,LPLA,SCHW,CME,SF,JEF,EVR,IBKR,LAZ,HLI,MC,VIRT,BGCP,PIPR,PJT,RILY,COWN,SNEX,DHIL,XTSLA,WFFUT,RTYU1,IXAU1,USD,RTYZ1,IXAZ1,SUM
08/04/2021,21.87,19.53,4.84,4.77,4.87,4.58,4.42,4.5,4.12,4.34,3.09,2.97,2.42,2.24,2.38,2.05,1.62,0.91,0.81,0.79,0.86,0.53,0.48,0.48,0.22,0.13,0.02,0.0,0.0,0.14,0.0,0.0,99.98
08/05/2021,21.87,19.53,4.84,4.77,4.87,4.58,4.42,4.5,4.12,4.34,3.09,2.97,2.42,2.24,2.38,2.05,1.62,0.91,0.81,0.79,0.86,0.53,0.48,0.48,0.22,0.13,0.02,0.0,0.0,0.14,0.0,0.0,99.98
08/06/2021,21.97,19.77,4.88,4.74,4.92,4.73,4.42,4.36,4.08,4.27,3.01,3.01,2.35,2.21,2.38,1.92,1.6,0.91,0.8,0.83,0.84,0.52,0.47,0.48,0.23,0.13,0.02,0.0,0.0,0.15,0.0,0.0,100.0
08/10/2021,21.99,20.05,4.78,4.62,4.77,4.6,4.43,4.47,4.22,4.16,3.01,3.02,2.35,2.22,2.33,1.93,1.6,0.9,0.83,0.87,0.84,0.52,0.47,0.48,0.23,0.06,0.02,0.0,0.0,0.23,0.0,0.0,100.0
08/11/2021,21.99,20.05,4.78,4.62,4.77,4.6,4.43,4.47,4.22,4.16,3.01,3.02,2.35,2.22,2.33,1.93,1.6,0.9,0.83,0.87,0.84,0.52,0.47,0.48,0.23,0.06,0.02,0.0,0.0,0.23,0.0,0.0,100.0
08/13/2021,22.22,20.31,4.55,4.56,4.72,4.53,4.48,4.44,4.32,4.1,3.42,3.02,2.35,2.21,2.33,1.95,1.6,0.88,0.82,0.87,0.83,0.52,0.47,0.48,0.23,0.11,0.02,0.0,0.0,0.0,0.0,0.0,100.34
08/16/2021,22.46,20.36,4.44,4.43,4.67,4.62,4.48,4.45,4.3,4.02,3.05,3.01,2.39,2.16,2.3,1.91,1.62,0.87,0.81,0.88,0.83,0.5,0.45,0.47,0.22,0.02,0.01,0.0,0.0,0.27,0.0,0.0,100.0
08/17/2021,22.48,20.3,4.48,4.42,4.73,4.66,4.51,4.43,4.26,4.02,2.97,2.98,2.39,2.17,2.33,1.94,1.62,0.87,0.81,0.88,0.83,0.49,0.44,0.46,0.22,0.19,0.01,0.0,0.0,0.09,0.0,0.0,99.98
08/19/2021,22.51,20.25,4.56,4.48,4.78,4.64,4.49,4.41,4.23,4.04,2.94,2.99,2.39,2.16,2.3,1.96,1.62,0.88,0.79,0.89,0.84,0.5,0.45,0.47,0.23,0.19,0.01,0.0,0.0,0.03,0.0,0.0,100.03000000000004
08/20/2021,22.53,20.27,4.65,4.5,4.77,4.62,4.47,4.37,4.22,4.05,2.93,2.99,2.36,2.15,2.32,1.95,1.62,0.87,0.79,0.88,0.84,0.49,0.44,0.48,0.23,0.19,0.01,0.0,0.0,0.03,0.0,0.0,100.02
08/23/2021,22.33,20.14,4.73,4.56,4.83,4.86,4.47,4.38,4.24,3.99,2.9,2.99,2.35,2.17,2.27,1.96,1.6,0.88,0.77,0.88,0.85,0.47,0.42,0.48,0.24,0.14,0.01,0.0,0.0,0.12,0.0,0.0,100.03000000000002
08/24/2021,22.28,20.03,4.71,4.54,4.79,4.88,4.51,4.42,4.24,3.95,2.91,3.0,2.37,2.18,2.27,2.0,1.62,0.88,0.77,0.89,0.85,0.49,0.42,0.48,0.23,0.17,0.01,0.0,0.0,0.08,0.0,0.0,99.97
08/25/2021,22.28,20.03,4.71,4.54,4.79,4.88,4.51,4.42,4.24,3.95,2.91,3.0,2.37,2.18,2.27,2.0,1.62,0.88,0.77,0.89,0.85,0.49,0.42,0.48,0.23,0.17,0.01,0.0,0.0,0.08,0.0,0.0,99.97
08/26/2021,22.38,20.1,4.67,4.52,4.78,4.7,4.5,4.44,4.21,3.98,2.91,3.08,2.39,2.18,2.26,2.0,1.64,0.88,0.78,0.89,0.86,0.51,0.44,0.49,0.24,0.2,0.01,0.0,0.0,0.0,0.0,0.0,100.04
08/27/2021,22.4,20.29,4.67,4.46,4.75,4.64,4.48,4.44,4.29,3.92,2.9,3.09,2.39,2.18,2.27,1.98,1.63,0.88,0.77,0.89,0.85,0.5,0.43,0.48,0.24,0.19,0.01,0.0,0.0,0.0,0.0,0.0,100.02
08/30/2021,22.48,20.4,4.61,4.45,4.75,4.6,4.54,4.47,4.25,3.88,2.86,3.13,2.37,2.2,2.31,1.95,1.61,0.87,0.75,0.88,0.84,0.49,0.42,0.48,0.23,0.12,0.01,0.0,0.0,0.05,0.0,0.0,100.0
08/31/2021,22.43,20.4,4.61,4.4,4.71,4.53,4.56,4.49,4.29,3.82,3.11,3.14,2.39,2.2,2.3,1.94,1.62,0.86,0.74,0.88,0.83,0.5,0.42,0.48,0.22,0.15,0.01,0.0,0.0,0.0,0.0,0.0,100.03
09/01/2021,22.43,20.4,4.61,4.4,4.71,4.53,4.56,4.49,4.29,3.82,3.11,3.14,2.39,2.2,2.3,1.94,1.62,0.86,0.74,0.88,0.83,0.5,0.42,0.48,0.22,0.15,0.01,0.0,0.0,0.0,0.0,0.0,100.03
09/02/2021,22.42,20.36,4.59,4.49,4.79,4.53,4.53,4.47,4.21,3.86,3.07,3.13,2.44,2.2,2.3,1.96,1.63,0.83,0.73,0.87,0.83,0.49,0.41,0.47,0.22,0.15,0.01,0.0,0.0,0.0,0.0,0.0,99.99000000000002
09/03/2021,22.42,20.36,4.59,4.49,4.79,4.53,4.53,4.47,4.21,3.86,3.07,3.13,2.44,2.2,2.3,1.96,1.63,0.83,0.73,0.87,0.83,0.49,0.41,0.47,0.22,0.15,0.01,0.0,0.0,0.0,0.0,0.0,99.99000000000002
09/06/2021,22.44,20.28,4.58,4.52,4.85,4.64,4.5,4.49,4.15,3.8,3.06,3.09,2.4,2.19,2.31,1.96,1.63,0.81,0.74,0.87,0.81,0.49,0.41,0.48,0.22,0.11,0.01,0.0,0.0,0.15,0.0,0.0,99.99
09/07/2021,22.46,20.25,4.57,4.56,4.9,4.62,4.49,4.52,4.13,3.78,3.02,3.09,2.4,2.2,2.31,1.96,1.64,0.82,0.74,0.88,0.81,0.47,0.41,0.48,0.23,0.12,0.01,0.0,0.0,0.14,0.0,0.0,100.01000000000002
09/08/2021,22.46,20.25,4.57,4.56,4.9,4.62,4.49,4.52,4.13,3.78,3.02,3.09,2.4,2.2,2.31,1.96,1.64,0.82,0.74,0.88,0.81,0.47,0.41,0.48,0.23,0.12,0.01,0.0,0.0,0.14,0.0,0.0,100.01000000000002
09/09/2021,22.49,20.28,4.58,4.57,4.9,4.62,4.5,4.52,4.13,3.79,3.03,3.1,2.4,2.21,2.31,1.97,1.64,0.82,0.74,0.88,0.81,0.47,0.41,0.48,0.23,0.12,0.01,0.0,0.0,0.14,0.0,0.0,100.15
09/10/2021,22.62,20.36,4.38,4.5,4.89,4.55,4.51,4.49,4.16,3.78,3.03,3.13,2.4,2.23,2.32,1.96,1.63,0.81,0.73,0.84,0.8,0.5,0.42,0.48,0.23,0.12,0.01,0.0,0.0,0.14,0.0,0.0,100.02
09/13/2021,22.65,20.17,4.32,4.55,4.95,4.6,4.51,4.46,4.19,3.77,3.07,3.15,2.43,2.19,2.3,1.98,1.63,0.81,0.73,0.84,0.8,0.48,0.41,0.48,0.22,0.08,0.01,0.0,0.0,0.2,0.0,0.0,99.98
09/14/2021,22.73,20.23,4.3,4.56,4.93,4.7,4.46,4.42,4.17,3.73,3.02,3.15,2.45,2.19,2.33,1.96,1.63,0.8,0.74,0.84,0.8,0.47,0.4,0.47,0.22,0.1,0.02,0.0,0.0,0.18,0.0,0.0,100.0
09/16/2021,22.8,20.43,4.22,4.52,4.86,4.61,4.47,4.43,4.17,3.71,3.04,3.16,2.45,2.15,2.32,1.97,1.63,0.8,0.73,0.84,0.8,0.46,0.41,0.47,0.22,0.1,0.02,0.0,0.0,0.18,0.0,0.0,99.96999999999998
09/17/2021,22.57,20.43,4.22,4.61,4.96,4.67,4.45,4.43,4.11,3.76,3.0,3.19,2.46,2.16,2.29,1.99,1.64,0.83,0.73,0.84,0.81,0.46,0.4,0.47,0.22,0.1,0.02,0.0,0.0,0.18,0.0,0.0,100.0
09/20/2021,22.68,20.07,4.23,4.6,4.95,4.65,4.46,4.47,4.17,3.75,3.04,3.17,2.48,2.16,2.31,2.04,1.67,0.83,0.75,0.84,0.82,0.46,0.41,0.47,0.23,0.14,0.02,0.0,0.0,0.15,0.0,0.0,100.02000000000002
09/21/2021,22.49,20.25,4.32,4.5,4.45,4.53,4.46,4.59,4.51,4.46,2.99,3.05,2.31,2.27,2.25,1.95,1.59,0.91,0.73,0.82,0.79,0.41,0.42,0.46,0.24,0.16,0.01,0.0,0.0,0.07,0.0,0.0,99.99
09/22/2021,22.49,20.25,4.32,4.5,4.45,4.53,4.46,4.59,4.51,4.46,2.99,3.05,2.31,2.27,2.25,1.95,1.59,0.91,0.73,0.82,0.79,0.41,0.42,0.46,0.24,0.16,0.01,0.0,0.0,0.07,0.0,0.0,99.99
09/23/2021,22.33,20.04,4.42,4.58,4.51,4.57,4.47,4.57,4.51,4.55,2.96,3.07,2.3,2.25,2.26,1.99,1.59,0.94,0.72,0.81,0.8,0.4,0.42,0.47,0.24,0.17,0.01,0.0,0.0,0.06,0.0,0.0,100.01
09/24/2021,22.36,20.01,4.4,4.59,4.56,4.67,4.43,4.59,4.51,4.52,2.94,3.07,2.28,2.25,2.23,1.99,1.57,0.94,0.72,0.83,0.81,0.39,0.4,0.46,0.24,0.17,0.01,0.0,0.0,0.06,0.0,0.0,100.0
09/27/2021,22.56,19.99,4.25,4.48,4.45,4.47,4.52,4.73,4.69,4.51,2.98,3.07,2.27,2.26,2.21,1.98,1.58,0.89,0.73,0.84,0.8,0.4,0.42,0.46,0.24,0.1,0.01,0.0,0.0,0.13,0.0,0.0,100.01999999999998
09/28/2021,22.34,19.87,4.22,4.5,4.46,4.53,4.58,4.78,4.75,4.6,3.01,3.06,2.26,2.27,2.17,2.01,1.6,0.89,0.72,0.85,0.8,0.39,0.42,0.46,0.24,0.11,0.01,0.0,0.0,0.08,0.0,0.0,99.98
09/30/2021,22.51,20.05,4.1,4.4,4.38,4.38,4.58,4.89,4.8,4.54,3.02,3.06,2.28,2.35,2.18,1.98,1.59,0.89,0.73,0.87,0.8,0.4,0.42,0.46,0.24,0.11,0.01,0.0,0.0,0.0,0.0,0.0,100.02
10/01/2021,22.32,19.94,4.2,4.41,4.36,4.44,4.62,4.89,4.82,4.63,3.01,3.1,2.28,2.38,2.16,1.95,1.59,0.91,0.73,0.86,0.79,0.4,0.41,0.46,0.24,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.04
10/20/2021,21.26,19.79,3.87,4.66,4.41,4.33,4.72,5.08,4.87,4.72,3.1,3.27,2.44,2.47,2.25,2.04,1.72,0.9,0.75,0.9,0.82,0.39,0.42,0.46,0.24,0.1,0.01,0.0,0.0,0.02,0.0,0.0,100.00999999999998
10/21/2021,20.99,20.05,3.84,4.67,4.4,4.36,4.71,5.05,4.83,4.73,3.12,3.28,2.45,2.47,2.27,2.08,1.71,0.9,0.75,0.89,0.82,0.39,0.42,0.46,0.24,0.1,0.01,0.0,0.0,0.01,0.0,0.0,100.0
10/22/2021,20.96,19.88,3.88,4.67,4.49,4.29,4.68,5.07,4.86,4.79,3.09,3.27,2.48,2.54,2.28,2.09,1.7,0.92,0.73,0.88,0.83,0.38,0.41,0.46,0.24,0.13,0.01,0.0,0.0,-0.01,0.0,0.0,100.0
10/25/2021,20.77,19.76,3.9,4.64,4.3,4.36,4.77,5.08,4.93,4.76,3.14,3.31,2.54,2.56,2.33,2.05,1.74,0.92,0.74,0.9,0.85,0.39,0.42,0.47,0.24,0.13,0.01,0.0,0.0,-0.02,0.0,0.0,99.99
10/26/2021,20.82,19.84,3.89,4.66,4.31,4.38,4.75,5.06,4.95,4.77,3.16,3.3,2.48,2.54,2.3,2.04,1.71,0.92,0.73,0.91,0.84,0.39,0.41,0.47,0.24,0.13,0.01,0.0,0.0,-0.02,0.0,0.0,99.99
10/27/2021,20.82,19.84,3.89,4.66,4.31,4.38,4.75,5.06,4.95,4.77,3.16,3.3,2.48,2.54,2.3,2.04,1.71,0.92,0.73,0.91,0.84,0.39,0.41,0.47,0.24,0.13,0.01,0.0,0.0,-0.02,0.0,0.0,99.99
10/28/2021,20.82,19.83,3.81,4.7,4.3,4.38,4.72,5.05,4.9,4.75,3.18,3.34,2.51,2.52,2.33,2.06,1.72,0.92,0.73,0.93,0.85,0.4,0.42,0.47,0.25,0.13,0.01,0.0,0.0,-0.02,0.0,0.0,100.01
10/29/2021,21.07,19.91,3.78,4.71,4.28,4.43,4.72,5.05,4.9,4.77,3.16,3.31,2.48,2.47,2.29,2.05,1.69,0.91,0.72,0.91,0.77,0.39,0.42,0.46,0.24,0.13,0.01,0.0,0.0,-0.02,0.0,0.0,100.01
11/01/2021,21.01,19.9,3.81,4.8,4.43,4.45,4.62,5.07,4.86,4.78,3.03,3.33,2.37,2.42,2.32,2.02,1.68,0.9,0.73,0.87,0.78,0.41,0.43,0.45,0.26,0.13,0.01,0.0,0.0,0.12,0.0,0.0,99.99
11/02/2021,21.06,19.83,3.84,4.91,4.49,4.48,4.58,4.76,4.87,4.83,2.99,3.33,2.36,2.42,2.16,2.22,1.74,0.87,0.71,0.92,0.78,0.45,0.43,0.46,0.27,0.12,0.01,0.0,0.0,0.12,0.0,0.0,100.01000000000002
11/03/2021,21.06,19.83,3.84,4.91,4.49,4.48,4.58,4.76,4.87,4.83,2.99,3.33,2.36,2.42,2.16,2.22,1.74,0.87,0.71,0.92,0.78,0.45,0.43,0.46,0.27,0.12,0.01,0.0,0.0,0.12,0.0,0.0,100.01000000000002
11/04/2021,21.09,19.78,3.8,4.81,4.44,4.49,4.58,4.79,4.81,4.73,3.03,3.31,2.37,2.52,2.13,2.28,1.81,0.88,0.74,0.95,0.79,0.46,0.43,0.46,0.28,0.12,0.01,0.0,0.0,0.11,0.0,0.0,100.0
11/05/2021,21.05,19.95,3.75,4.83,4.43,4.5,4.6,4.84,4.76,4.74,3.01,3.33,2.32,2.49,2.08,2.29,1.8,0.9,0.72,0.94,0.79,0.46,0.43,0.45,0.27,0.12,0.01,0.0,0.0,0.12,0.0,0.0,99.98000000000002
11/08/2021,20.49,19.61,3.66,4.85,4.55,4.51,4.67,4.95,4.84,4.84,3.06,3.37,2.35,2.56,2.15,2.34,1.82,0.98,0.68,1.0,0.8,0.49,0.44,0.46,0.27,0.12,0.01,0.0,0.0,0.12,0.0,0.0,99.99
11/09/2021,20.51,19.57,3.66,4.84,4.56,4.53,4.65,4.89,4.82,4.87,3.09,3.36,2.35,2.53,2.12,2.32,1.79,0.98,0.69,1.01,0.8,0.51,0.44,0.47,0.28,0.07,0.02,0.0,0.0,0.26,0.0,0.0,99.99
11/10/2021,20.51,19.57,3.66,4.84,4.56,4.53,4.65,4.89,4.82,4.87,3.09,3.36,2.35,2.53,2.12,2.32,1.79,0.98,0.69,1.01,0.8,0.51,0.44,0.47,0.28,0.07,0.02,0.0,0.0,0.26,0.0,0.0,99.99
11/11/2021,20.54,19.62,3.67,4.82,4.54,4.55,4.67,4.85,4.85,4.84,3.15,3.36,2.36,2.52,2.1,2.32,1.76,0.97,0.67,1.0,0.8,0.48,0.44,0.47,0.27,0.1,0.02,0.0,0.0,0.26,0.0,0.0,99.99999999999999
