,MSFT,FB,BKNG,APD,FAF,CCI,MA,AMT,SCHW,GOOGL,GFL.TO,UPS,HHC,FIS,AMZN,INFO,OCDDY,CSX,LH,WH,EQIX,TYL,KMX,n/a,SPGI,CPRT,META,SUM
01/20/2022,5.42,5.07,5.38,4.92,4.96,4.97,4.97,4.66,4.62,4.68,5.48,4.3,3.45,4.41,4.87,3.23,3.95,3.04,2.93,3.44,3.61,2.89,3.41,1.35,0.0,0.0,0.0,100.01
01/21/2022,5.4,4.96,5.34,4.94,4.96,5.06,4.99,4.74,4.55,4.66,5.49,4.37,3.42,4.36,4.86,3.23,4.01,3.0,2.94,3.43,3.67,2.86,3.39,1.37,0.0,0.0,0.0,100.0
01/24/2022,5.47,5.01,5.58,5.02,4.81,5.08,5.04,4.73,4.58,4.6,5.38,4.36,3.35,4.38,4.74,3.23,4.1,3.04,2.98,3.39,3.65,2.85,3.31,1.33,0.0,0.0,0.0,100.01
01/25/2022,5.47,4.89,5.52,5.04,4.84,5.19,5.01,4.79,4.55,4.56,5.35,4.44,3.37,4.4,4.56,3.28,4.06,3.0,3.04,3.45,3.66,2.87,3.44,1.21,0.0,0.0,0.0,99.99
01/26/2022,5.47,4.89,5.52,5.04,4.84,5.19,5.01,4.79,4.55,4.56,5.35,4.44,3.37,4.4,4.56,3.28,4.06,3.0,3.04,3.45,3.66,2.87,3.44,1.21,0.0,0.0,0.0,99.99
01/27/2022,5.44,4.94,5.5,5.01,4.88,5.2,4.89,4.83,4.5,4.54,5.47,4.46,3.32,4.37,4.59,3.27,3.9,3.0,3.03,3.42,3.69,2.93,3.53,1.3,0.0,0.0,0.0,100.01
01/28/2022,5.51,4.76,5.48,5.03,4.95,5.19,4.77,5.05,4.51,4.51,6.03,4.37,3.24,4.34,5.43,3.15,4.12,0.0,3.22,3.53,3.65,3.39,4.46,1.31,0.0,0.0,0.0,100.0
01/31/2022,5.84,4.76,5.65,5.05,4.94,4.97,5.03,4.85,4.66,4.66,5.97,4.29,3.29,4.38,5.51,3.16,4.52,0.0,3.25,3.56,3.53,3.35,4.36,0.43,0.0,0.0,0.0,100.01000000000002
02/01/2022,5.85,4.75,5.59,4.96,4.89,5.11,5.35,4.94,4.5,4.68,5.91,4.26,3.27,4.59,5.49,3.17,4.12,0.0,3.22,3.54,3.56,3.4,4.44,0.39,0.0,0.0,0.0,99.98
02/02/2022,5.85,4.75,5.59,4.96,4.89,5.11,5.35,4.94,4.5,4.68,5.91,4.26,3.27,4.59,5.49,3.17,4.12,0.0,3.22,3.54,3.56,3.4,4.44,0.39,0.0,0.0,0.0,99.98000000000002
02/03/2022,5.85,4.75,5.59,4.96,4.89,5.11,5.35,4.94,4.5,4.68,5.91,4.26,3.27,4.59,5.49,3.17,4.12,0.0,3.22,3.54,3.56,3.4,4.44,0.39,0.0,0.0,0.0,99.98000000000002
02/04/2022,5.79,4.83,5.52,4.93,4.88,5.05,5.3,4.93,4.35,4.63,6.01,4.25,3.36,4.6,5.52,3.17,4.22,0.0,3.17,3.52,3.57,3.5,4.39,0.49,0.0,0.0,0.0,99.97999999999998
02/07/2022,5.69,3.72,5.52,4.98,5.01,5.1,5.43,4.98,4.48,4.95,5.84,4.88,3.4,4.49,5.15,3.2,4.17,0.0,3.3,3.56,3.56,3.45,4.28,0.87,0.0,0.0,0.0,100.01000000000002
02/08/2022,5.77,3.71,5.52,4.66,4.96,5.05,5.31,4.89,4.62,4.95,5.85,4.79,3.4,4.42,5.84,3.21,4.04,0.0,3.29,3.57,3.5,3.52,4.26,0.87,0.0,0.0,0.0,100.0
02/09/2022,5.77,3.71,5.52,4.66,4.96,5.05,5.31,4.89,4.62,4.95,5.85,4.79,3.4,4.42,5.84,3.21,4.04,0.0,3.29,3.57,3.5,3.52,4.26,0.87,0.0,0.0,0.0,100.0
02/10/2022,5.71,3.54,5.65,4.53,4.92,5.1,5.26,4.92,4.71,4.84,5.92,4.83,3.41,4.46,5.88,3.16,4.06,0.0,3.28,3.65,3.5,3.55,4.26,0.87,0.0,0.0,0.0,100.01
02/11/2022,5.78,3.47,5.78,4.51,5.01,5.01,5.24,4.9,4.81,4.85,5.95,4.83,3.36,4.36,6.02,3.13,3.55,0.0,3.32,3.81,3.47,3.55,4.4,0.87,0.0,0.0,0.0,99.98
02/14/2022,5.74,3.59,5.94,4.5,4.73,4.88,5.24,4.84,4.71,4.8,6.05,4.74,3.45,4.45,5.88,3.11,3.8,0.0,3.37,3.82,3.45,3.63,4.46,0.81,0.0,0.0,0.0,99.99
02/15/2022,5.75,3.54,5.84,4.47,4.83,4.89,5.31,4.85,4.63,4.76,5.93,4.7,3.49,4.49,5.78,3.12,3.85,0.0,3.39,3.83,3.45,3.61,4.49,0.99,0.0,0.0,0.0,99.99
02/16/2022,5.75,3.54,5.84,4.47,4.83,4.89,5.31,4.85,4.63,4.76,5.93,4.7,3.49,4.49,5.78,3.12,3.85,0.0,3.39,3.83,3.45,3.61,4.49,0.99,0.0,0.0,0.0,99.99
02/17/2022,5.76,3.52,5.89,4.46,4.75,4.86,5.39,4.81,4.57,4.82,5.77,4.72,3.46,4.49,5.87,3.07,3.83,0.0,3.35,3.81,3.45,3.61,4.61,1.13,0.0,0.0,0.0,99.99999999999996
02/18/2022,5.78,3.91,5.07,4.99,4.77,4.74,4.54,4.81,4.61,4.87,5.81,4.73,3.49,4.08,5.99,3.81,3.98,0.0,3.27,3.92,3.42,3.64,4.64,1.12,0.0,0.0,0.0,99.99
02/21/2022,5.78,3.8,5.21,5.0,4.75,4.82,4.59,4.87,4.56,4.88,5.8,4.73,3.55,4.0,6.11,3.9,4.12,0.0,3.35,3.92,3.63,3.37,4.54,0.73,0.0,0.0,0.0,100.01
04/12/2022,5.86,4.04,4.24,5.18,4.11,5.81,4.29,5.63,4.31,4.85,6.5,4.26,3.54,4.15,6.02,0.0,3.5,0.0,3.51,3.58,4.0,3.32,4.29,0.79,4.19,0.0,0.0,99.97
04/14/2022,5.7,3.98,4.29,5.21,4.15,5.82,4.28,5.63,4.35,4.74,6.57,4.31,3.63,4.2,5.95,0.0,3.52,0.0,3.49,3.6,3.96,3.27,4.38,0.8,4.17,0.0,0.0,99.99999999999996
05/26/2022,5.95,4.02,4.62,5.83,5.75,4.92,4.3,4.89,3.89,5.44,7.29,5.45,2.4,3.93,5.58,0.0,2.91,0.0,3.06,2.87,3.9,3.03,5.34,0.43,4.19,0.0,0.0,99.99
08/18/2022,6.13,0.0,4.41,6.14,4.73,4.47,4.05,4.6,4.14,5.45,7.21,5.88,0.0,3.63,7.31,0.0,3.28,0.0,0.0,2.47,3.84,3.95,5.45,0.53,4.27,4.66,3.39,99.99
