,DCP,OXY,WES,COP,PXD,FANG,EOG,DVN,MRO,HES,CPE,OVV,COG,APA,AR,EQT,MTDR,RRC,SWN,SM,MUR,PDCE,HESM,MGY,CNX,WLL,TELL,CDEV,OAS,LPI,ERF.TO,VET.TO,BCEI,CRK,WTI,MCF,TALO,ESTE,US Dollar,W&T Offshore Inc,MISXX,018000.KQ,Morgan Stanley Instl Lqudty Trs Instl,n/a,CHK,SMLP,CTRA,SUM
07/23/2021,4.98,4.64,4.48,4.68,4.36,4.08,4.25,4.48,3.95,4.05,2.95,3.44,3.81,3.44,3.44,3.46,3.03,3.27,3.0,2.38,2.43,2.1,2.18,2.02,2.11,1.8,1.7,1.68,1.43,1.06,1.23,1.05,0.81,0.77,0.0,0.38,0.24,0.15,0.0,0.59,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/26/2021,4.94,4.74,4.52,4.64,4.31,4.12,4.24,4.38,3.91,3.88,3.02,3.59,3.59,3.42,3.52,3.54,3.14,3.26,2.96,2.35,2.49,2.12,2.13,2.02,1.97,1.84,1.73,1.67,1.56,1.07,1.22,1.07,0.76,0.75,0.0,0.38,0.23,0.15,0.0,0.61,0.17,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/27/2021,4.96,4.73,4.58,4.58,4.3,4.14,4.22,4.37,3.89,3.89,2.91,3.61,3.66,3.46,3.56,3.54,3.09,3.3,3.02,2.33,2.52,2.15,2.14,2.02,1.98,1.85,1.7,1.67,1.55,1.03,1.22,1.06,0.76,0.78,0.0,0.38,0.23,0.15,0.0,0.6,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,4.96,4.73,4.58,4.58,4.3,4.14,4.22,4.37,3.89,3.89,2.91,3.61,3.66,3.46,3.56,3.54,3.09,3.3,3.02,2.33,2.52,2.15,2.14,2.02,1.98,1.85,1.7,1.67,1.55,1.03,1.22,1.06,0.76,0.78,0.0,0.38,0.23,0.15,0.0,0.6,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,5.04,4.66,4.65,4.55,4.24,4.1,4.17,4.39,3.86,3.83,2.92,3.59,3.62,3.45,3.68,3.53,3.08,3.33,3.11,2.33,2.57,2.18,2.1,2.03,1.97,1.8,1.67,1.67,1.55,1.02,1.22,1.07,0.78,0.8,0.0,0.38,0.23,0.15,0.0,0.62,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,5.09,4.67,4.58,4.66,4.33,4.16,4.23,4.43,3.84,3.88,2.8,3.58,3.68,3.52,3.62,3.56,3.06,3.21,3.09,2.27,2.58,2.18,2.14,2.05,2.0,1.78,1.61,1.6,1.55,0.98,1.21,1.06,0.77,0.79,0.0,0.39,0.23,0.15,0.0,0.62,0.05,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,5.08,4.67,4.65,4.64,4.38,4.13,4.21,4.46,3.92,3.99,2.85,3.37,3.62,3.55,3.48,3.21,3.04,3.21,2.99,2.27,2.65,2.16,2.35,2.04,1.93,1.81,1.83,1.6,1.54,1.01,1.22,1.08,0.78,0.79,0.0,0.39,0.24,0.15,0.0,0.64,0.05,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/03/2021,4.98,4.62,4.6,4.62,4.39,4.07,4.22,4.39,3.9,3.98,2.83,3.37,3.69,3.54,3.53,3.21,3.08,3.27,2.92,2.33,2.62,2.18,2.36,2.05,1.94,1.79,1.76,1.58,1.57,1.0,1.25,1.09,0.78,0.79,0.63,0.38,0.24,0.15,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/04/2021,4.98,4.62,4.6,4.62,4.39,4.07,4.22,4.39,3.9,3.98,2.83,3.37,3.69,3.54,3.53,3.21,3.08,3.27,2.92,2.33,2.62,2.18,2.36,2.05,1.94,1.79,1.76,1.58,1.57,1.0,1.25,1.09,0.78,0.79,0.63,0.38,0.24,0.15,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/05/2021,5.03,4.67,4.54,4.67,4.4,4.14,4.24,4.43,3.89,3.93,2.79,3.39,3.81,3.54,3.46,3.13,3.04,3.23,2.92,2.38,2.55,2.19,2.4,2.08,1.93,1.8,1.69,1.56,1.54,0.98,1.25,1.09,0.78,0.78,0.64,0.37,0.24,0.15,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/06/2021,5.0,4.7,4.43,4.69,4.65,4.27,4.29,4.47,3.91,3.92,2.74,3.38,3.79,3.56,3.51,3.13,2.97,3.22,2.96,2.37,2.58,2.22,2.4,2.07,1.94,1.75,1.65,1.52,1.52,0.96,1.25,1.11,0.78,0.77,0.0,0.37,0.23,0.14,0.0,0.63,0.14,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/09/2021,5.04,4.77,4.43,4.74,4.71,4.33,4.21,4.65,4.08,3.92,2.47,3.43,3.81,3.51,3.53,3.25,3.0,3.26,3.02,2.32,2.64,2.15,2.42,2.14,1.98,1.75,1.45,1.43,1.55,0.86,1.2,1.09,0.77,0.76,0.0,0.36,0.23,0.14,0.0,0.0,0.1,0.0,0.0,0.51,0.0,0.0,0.0,100.01000000000002
08/10/2021,4.94,4.77,4.34,4.75,4.67,4.31,4.19,4.69,4.11,3.89,2.41,3.41,3.84,3.54,3.61,3.3,3.0,3.24,3.03,2.37,2.66,2.17,2.32,2.17,1.95,1.76,1.43,1.48,1.57,0.89,1.21,1.09,0.78,0.77,0.0,0.36,0.23,0.14,0.0,0.0,0.1,0.0,0.0,0.51,0.0,0.0,0.0,100.0
08/11/2021,4.94,4.77,4.34,4.75,4.67,4.31,4.19,4.69,4.11,3.89,2.41,3.41,3.84,3.54,3.61,3.3,3.0,3.24,3.03,2.37,2.66,2.17,2.32,2.17,1.95,1.76,1.43,1.48,1.57,0.89,1.21,1.09,0.78,0.77,0.0,0.36,0.23,0.14,0.0,0.0,0.1,0.0,0.0,0.51,0.0,0.0,0.0,100.0
08/13/2021,4.93,4.7,4.42,4.71,4.62,4.16,4.02,4.75,4.2,3.83,2.37,3.36,3.82,3.64,3.61,3.41,2.96,3.21,3.05,2.36,2.73,2.23,2.33,2.14,1.95,1.77,1.43,1.56,1.57,0.89,1.2,1.12,0.8,0.81,0.51,0.36,0.23,0.14,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,100.0
08/16/2021,5.05,4.8,4.62,4.74,4.71,4.22,4.08,4.88,4.21,3.78,2.31,3.27,3.75,3.61,3.53,3.3,2.88,3.15,2.92,2.38,2.74,2.3,2.32,2.22,1.93,1.75,1.41,1.55,1.55,0.86,1.17,1.11,0.78,0.77,0.51,0.36,0.23,0.13,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/17/2021,5.16,4.76,4.72,4.81,4.77,4.16,4.1,4.96,4.25,3.8,2.26,3.32,3.81,3.52,3.41,3.26,2.87,3.08,2.82,2.32,2.74,2.29,2.34,2.2,1.92,1.75,1.4,1.48,1.56,0.82,1.19,1.12,0.77,0.76,0.51,0.36,0.22,0.12,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/18/2021,5.16,4.76,4.72,4.81,4.77,4.16,4.1,4.96,4.25,3.8,2.26,3.32,3.81,3.52,3.41,3.26,2.87,3.08,2.82,2.32,2.74,2.29,2.34,2.2,1.92,1.75,1.4,1.48,1.56,0.82,1.19,1.12,0.77,0.76,0.51,0.36,0.22,0.12,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,100.02
08/19/2021,5.28,4.71,4.81,4.85,4.78,4.1,4.1,4.95,4.21,3.77,2.22,3.31,3.83,3.47,3.5,3.25,2.86,3.17,2.81,2.26,2.69,2.31,2.38,2.19,1.94,1.76,1.38,1.45,1.58,0.79,1.17,1.07,0.76,0.77,0.51,0.35,0.22,0.13,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
08/20/2021,5.27,4.6,4.82,4.86,4.73,4.1,4.13,4.94,4.18,3.74,2.24,3.37,3.87,3.44,3.55,3.21,2.96,3.13,2.83,2.23,2.73,2.33,2.4,2.2,1.92,1.75,1.42,1.45,1.57,0.8,1.16,1.02,0.76,0.76,0.5,0.36,0.22,0.13,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/23/2021,5.36,4.49,4.85,4.97,4.87,4.11,4.28,4.95,4.13,3.81,2.15,3.41,3.87,3.48,3.39,3.26,2.94,3.14,2.83,2.19,2.69,2.32,2.48,2.2,1.96,1.73,1.38,1.42,1.61,0.79,1.13,0.99,0.76,0.77,0.49,0.36,0.21,0.13,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/24/2021,5.4,4.44,4.94,4.97,4.87,4.11,4.27,4.99,4.12,3.83,2.22,3.47,3.8,3.47,3.44,3.22,2.92,3.12,2.82,2.17,2.67,2.27,2.47,2.21,1.94,1.72,1.38,1.44,1.57,0.78,1.13,0.99,0.76,0.77,0.5,0.36,0.21,0.13,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/25/2021,5.4,4.44,4.94,4.97,4.87,4.11,4.27,4.99,4.12,3.83,2.22,3.47,3.8,3.47,3.44,3.22,2.92,3.12,2.82,2.17,2.67,2.27,2.47,2.21,1.94,1.72,1.38,1.44,1.57,0.78,1.13,0.99,0.76,0.77,0.5,0.36,0.21,0.13,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/26/2021,5.41,4.53,4.72,4.92,4.79,4.15,4.27,5.05,4.15,3.79,2.31,3.5,3.69,3.56,3.46,3.15,2.93,2.98,2.74,2.25,2.69,2.33,2.43,2.23,1.87,1.72,1.43,1.5,1.56,0.84,1.17,1.03,0.79,0.74,0.51,0.37,0.22,0.13,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/27/2021,5.24,4.59,4.66,4.86,4.75,4.16,4.22,5.16,4.16,3.78,2.39,3.56,3.61,3.6,3.42,3.08,2.94,3.0,2.72,2.3,2.75,2.32,2.4,2.23,1.85,1.75,1.44,1.54,1.57,0.87,1.17,1.04,0.8,0.74,0.52,0.37,0.24,0.13,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.02999999999996
08/30/2021,5.15,4.51,4.62,4.83,4.71,4.09,4.15,5.25,4.12,3.73,2.42,3.56,3.61,3.55,3.54,3.21,2.87,3.15,2.77,2.31,2.67,2.3,2.42,2.25,1.83,1.81,1.42,1.57,1.55,0.9,1.19,1.01,0.8,0.74,0.52,0.37,0.25,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/31/2021,5.15,4.51,4.62,4.83,4.71,4.09,4.15,5.25,4.12,3.73,2.42,3.56,3.61,3.55,3.54,3.21,2.87,3.15,2.77,2.31,2.67,2.3,2.42,2.25,1.83,1.81,1.42,1.57,1.55,0.9,1.19,1.01,0.8,0.74,0.52,0.37,0.25,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/01/2021,5.02,4.58,4.61,4.72,4.62,4.08,4.07,5.2,4.08,3.67,2.48,3.6,3.64,3.57,3.62,3.27,2.89,3.28,2.85,2.39,2.68,2.31,2.35,2.23,1.79,1.8,1.39,1.58,1.52,0.96,1.18,1.02,0.82,0.78,0.51,0.37,0.26,0.13,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/02/2021,4.97,4.57,4.66,4.74,4.64,4.11,3.99,5.17,4.05,3.68,2.48,3.59,3.71,3.61,3.63,3.23,2.92,3.23,2.85,2.4,2.67,2.28,2.36,2.31,1.79,1.79,1.39,1.56,1.5,0.95,1.18,1.02,0.8,0.78,0.52,0.37,0.26,0.13,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,100.01
09/03/2021,4.82,4.61,4.6,4.64,4.58,4.12,3.96,5.09,4.01,3.63,2.49,3.63,3.72,3.73,3.61,3.24,2.91,3.18,2.86,2.41,2.6,2.34,2.37,2.33,1.85,1.82,1.51,1.57,1.5,0.99,1.2,1.02,0.8,0.77,0.51,0.37,0.26,0.13,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,99.99
09/06/2021,4.97,4.59,4.61,4.55,4.41,3.94,3.86,4.86,3.85,3.62,2.38,3.64,3.91,3.66,3.9,3.37,2.81,3.48,2.96,2.44,2.56,2.34,2.34,2.34,1.87,1.87,1.45,1.56,1.49,1.04,1.2,1.02,0.81,0.84,0.5,0.37,0.26,0.13,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,99.98000000000002
09/07/2021,4.98,4.48,4.57,4.52,4.41,3.89,3.84,4.84,3.82,3.55,2.36,3.64,4.01,3.63,4.12,3.49,2.75,3.61,3.06,2.39,2.47,2.32,2.36,2.27,1.87,1.85,1.42,1.52,1.5,1.05,1.2,1.02,0.82,0.89,0.5,0.36,0.26,0.12,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,99.97
09/08/2021,4.98,4.48,4.57,4.52,4.41,3.89,3.84,4.84,3.82,3.55,2.36,3.64,4.01,3.63,4.12,3.49,2.75,3.61,3.06,2.39,2.47,2.32,2.36,2.27,1.87,1.85,1.42,1.52,1.5,1.05,1.2,1.02,0.82,0.89,0.5,0.36,0.26,0.12,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,99.97
09/09/2021,4.98,4.48,4.57,4.52,4.42,3.89,3.84,4.84,3.82,3.56,2.36,3.65,4.01,3.63,4.12,3.49,2.76,3.61,3.07,2.39,2.47,2.32,2.36,2.27,1.87,1.86,1.42,1.52,1.5,1.05,1.2,1.02,0.82,0.89,0.5,0.36,0.26,0.12,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/10/2021,4.98,4.46,4.52,4.53,4.38,3.88,3.85,4.85,3.83,3.59,2.37,3.66,4.03,3.63,4.06,3.48,2.78,3.53,3.08,2.39,2.47,2.29,2.37,2.26,1.84,1.92,1.46,1.56,1.56,1.05,1.19,1.02,0.83,0.93,0.5,0.36,0.26,0.12,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000002
09/13/2021,4.99,4.36,4.56,4.5,4.46,3.92,3.83,4.75,3.75,3.51,2.37,3.58,4.2,3.51,4.09,3.4,2.81,3.65,3.16,2.42,2.41,2.28,2.38,2.32,1.87,1.9,1.41,1.56,1.54,1.09,1.16,1.0,0.88,1.0,0.48,0.36,0.25,0.12,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
09/14/2021,4.95,4.37,4.52,4.54,4.51,3.91,3.84,4.71,3.75,3.49,2.35,3.67,4.18,3.49,4.08,3.34,2.82,3.67,3.07,2.44,2.4,2.28,2.36,2.32,1.87,1.92,1.33,1.57,1.56,1.12,1.16,1.0,0.88,1.02,0.49,0.36,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,100.01
09/15/2021,4.95,4.37,4.52,4.54,4.51,3.91,3.85,4.72,3.75,3.49,2.35,3.68,4.18,3.49,4.09,3.35,2.83,3.68,3.08,2.44,2.4,2.29,2.36,2.32,1.87,1.93,1.34,1.57,1.56,1.12,1.16,1.0,0.88,1.03,0.49,0.36,0.25,0.12,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
09/16/2021,4.82,4.47,4.36,4.5,4.44,3.89,3.85,4.66,3.86,3.53,2.41,3.72,4.16,3.61,4.07,3.3,2.8,3.76,3.07,2.45,2.42,2.24,2.29,2.27,1.89,1.91,1.43,1.58,1.51,1.13,1.19,1.06,0.85,1.08,0.49,0.36,0.26,0.12,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/17/2021,4.79,4.51,4.42,4.55,4.48,3.87,3.91,4.66,3.83,3.48,2.36,3.65,4.18,3.55,4.05,3.3,2.79,3.83,3.1,2.45,2.4,2.2,2.3,2.26,1.88,1.95,1.41,1.56,1.55,1.1,1.2,1.07,0.85,1.08,0.49,0.36,0.26,0.12,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,99.96
09/20/2021,4.71,4.47,4.39,4.51,4.38,3.9,3.96,4.76,3.83,3.47,2.54,3.59,4.13,3.58,4.08,3.12,2.87,3.88,2.92,2.6,2.41,2.29,2.28,2.33,1.78,1.96,1.45,1.57,1.53,1.18,1.21,1.09,0.82,1.06,0.49,0.36,0.25,0.13,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/21/2021,4.71,4.47,4.39,4.51,4.38,3.9,3.96,4.76,3.83,3.47,2.54,3.59,4.13,3.58,4.08,3.12,2.87,3.88,2.92,2.6,2.41,2.29,2.28,2.33,1.78,1.96,1.45,1.57,1.53,1.18,1.21,1.09,0.82,1.06,0.49,0.36,0.25,0.13,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/22/2021,4.32,4.35,4.21,4.4,4.35,3.94,4.45,3.96,3.63,3.95,2.18,3.3,3.9,3.55,3.44,3.4,2.5,3.5,2.81,2.44,2.44,2.33,1.94,1.7,1.91,1.74,1.81,1.47,1.23,1.64,1.06,0.84,0.96,0.72,0.25,0.4,0.65,0.13,0.0,0.0,0.2,0.0,0.0,0.0,3.22,0.77,0.0,99.99
09/23/2021,4.28,4.27,4.2,4.43,4.3,3.92,4.45,3.89,3.61,3.88,2.11,3.29,4.04,3.46,3.49,3.52,2.49,3.6,2.85,2.45,2.39,2.33,1.97,1.7,1.98,1.7,1.77,1.45,1.19,1.67,1.04,0.84,0.99,0.75,0.25,0.39,0.63,0.13,0.0,0.0,0.0,0.0,0.0,0.3,3.27,0.77,0.0,100.04
09/24/2021,4.25,4.26,4.18,4.6,4.26,3.96,4.49,3.93,3.58,3.86,2.15,3.27,3.95,3.43,3.51,3.45,2.53,3.5,2.75,2.43,2.41,2.29,2.03,1.69,1.96,1.76,1.76,1.48,1.25,1.68,1.08,0.85,1.0,0.74,0.24,0.4,0.63,0.12,0.0,0.0,0.0,0.0,0.0,0.3,3.19,0.77,0.0,99.97
09/27/2021,4.22,4.32,4.1,4.56,4.19,4.01,4.41,4.17,3.69,3.96,2.23,3.31,3.8,3.64,3.51,3.37,2.65,3.5,2.64,2.5,2.44,2.38,1.94,1.68,1.85,1.7,1.82,1.49,1.17,1.78,1.09,0.89,0.96,0.71,0.24,0.4,0.65,0.12,0.0,0.0,0.0,0.0,0.0,0.09,3.05,0.74,0.0,99.97
09/28/2021,4.07,4.31,4.05,4.62,4.27,4.02,4.45,4.18,3.7,3.96,2.33,3.33,3.88,3.67,3.44,3.43,2.58,3.58,2.59,2.5,2.45,2.36,1.97,1.61,1.79,1.67,1.89,1.46,1.16,1.77,1.13,0.9,0.96,0.72,0.24,0.4,0.64,0.12,0.0,0.0,0.0,0.0,0.0,0.09,2.94,0.73,0.0,99.96
09/29/2021,4.06,4.3,4.04,4.6,4.26,4.01,4.44,4.17,3.69,3.95,2.32,3.32,3.87,3.66,3.43,3.42,2.57,3.56,2.59,2.5,2.44,2.35,1.96,1.6,1.79,1.67,1.88,1.46,1.16,1.77,1.13,0.9,0.96,0.71,0.24,0.39,0.64,0.12,0.0,0.0,0.41,0.0,0.0,0.0,2.93,0.73,0.0,100.0
09/30/2021,3.97,4.3,3.98,4.4,4.11,4.02,4.33,4.1,3.65,3.86,2.41,3.28,3.91,3.62,3.47,3.56,2.59,3.62,2.94,2.54,2.48,2.36,1.92,1.6,1.85,1.65,1.94,1.49,1.13,1.81,1.16,0.89,0.92,0.76,0.24,0.43,0.61,0.12,0.0,0.0,0.36,0.0,0.0,0.0,2.91,0.7,0.0,99.99
10/01/2021,3.98,4.31,3.93,4.52,4.19,4.04,4.37,4.16,3.72,3.88,2.42,3.31,3.91,3.41,3.39,3.56,2.69,3.55,2.93,2.49,2.52,2.32,1.88,1.62,1.82,1.65,1.92,1.5,1.13,1.78,1.16,0.9,0.93,0.75,0.25,0.42,0.6,0.12,0.0,0.0,0.36,0.0,0.0,0.0,2.92,0.69,0.0,100.0
10/04/2021,4.03,4.28,3.95,4.54,4.14,4.05,4.31,4.23,3.71,3.87,2.53,3.32,3.92,3.39,3.47,3.31,2.76,3.75,2.81,2.58,2.58,2.25,1.89,1.62,1.83,1.64,1.89,1.59,1.14,1.65,1.19,0.98,0.95,0.77,0.25,0.42,0.61,0.12,0.0,0.0,0.0,0.0,0.0,0.09,2.91,0.68,0.0,100.0
10/05/2021,4.05,4.39,3.93,4.57,4.23,4.12,4.39,4.27,3.77,3.92,2.53,3.25,3.9,3.36,3.44,3.25,2.8,3.72,2.74,2.66,2.66,2.0,1.83,1.64,1.79,1.62,1.87,1.62,1.11,1.69,1.16,0.99,0.95,0.76,0.26,0.41,0.62,0.12,0.0,0.0,0.07,0.0,0.0,0.0,2.86,0.69,0.0,100.01
10/06/2021,4.05,4.39,3.93,4.57,4.23,4.12,4.39,4.27,3.77,3.92,2.53,3.25,3.9,3.36,3.44,3.25,2.8,3.72,2.74,2.66,2.66,2.0,1.83,1.64,1.79,1.62,1.87,1.62,1.11,1.69,1.16,0.99,0.95,0.76,0.26,0.41,0.62,0.12,0.0,0.0,0.07,0.0,0.0,0.0,2.86,0.69,0.0,100.01
10/07/2021,4.07,4.34,3.96,4.51,4.19,4.16,4.38,4.35,3.79,3.87,2.62,3.33,3.86,3.29,3.55,3.28,2.77,3.79,2.64,2.67,2.7,2.07,1.8,1.65,1.76,1.64,1.74,1.62,1.11,1.69,1.17,0.98,0.93,0.74,0.26,0.4,0.58,0.14,0.0,0.0,0.07,0.0,0.0,0.0,2.88,0.68,0.0,100.03
10/08/2021,4.08,4.41,3.89,4.47,4.21,4.14,4.36,4.44,3.88,3.88,2.7,3.39,3.79,3.27,3.56,3.26,2.78,3.76,2.64,2.68,2.63,2.06,1.81,1.61,1.75,1.56,1.72,1.58,1.09,1.64,1.17,1.05,0.91,0.75,0.26,0.4,0.58,0.14,0.0,0.0,0.06,0.0,0.0,0.0,2.95,0.68,0.0,99.99
10/11/2021,4.24,4.41,3.78,4.5,4.31,4.22,4.33,4.29,3.91,3.89,2.75,3.55,3.72,3.38,3.52,3.24,2.8,3.6,2.49,2.78,2.7,2.12,1.63,1.62,1.8,1.62,1.58,1.58,1.1,1.76,1.23,1.02,0.93,0.72,0.26,0.39,0.56,0.14,0.0,0.0,0.05,0.0,0.0,0.0,2.88,0.63,0.0,100.03
10/12/2021,4.1,4.46,3.76,4.59,4.39,4.3,4.45,4.35,3.99,4.05,2.73,3.55,3.67,3.53,3.47,3.1,2.81,3.54,2.38,2.72,2.8,2.11,1.6,1.65,1.8,1.6,1.52,1.55,1.1,1.69,1.22,0.99,0.92,0.72,0.27,0.38,0.55,0.14,0.0,0.0,0.04,0.0,0.0,0.0,2.85,0.6,0.0,100.04
