,VCSH,PULS,CMBS,VCLT,EMLC,VTV,SCHP,TLH,SPHY,NFRA,BCI,GQRE,ACWV,VCIT,BAR,VYMI,SMMV,MXI,VIGI,RYT,DVYE,LOW,SUSC,LDEM,HD,JEPI,SHW,ZG,SWK,CARR,n/a,TOL,LEN.B,WSM,MAS,OC,FND,WHR,TREX,PHM,GBTC,ETHE,VNQI,TDV,IGSB,SCHY,XLU,DHI,DGRO,CHRW,IGIB,SUM
11/03/2021,10.74,9.4,8.47,6.98,6.71,5.6,5.05,4.91,3.61,3.41,3.24,3.0,2.87,1.98,1.99,1.98,1.97,1.94,1.94,1.48,1.09,1.14,0.99,0.98,1.05,0.88,0.77,0.81,0.58,0.49,0.46,0.46,0.47,0.45,0.42,0.38,0.39,0.34,0.3,0.18,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/04/2021,10.74,9.4,8.47,6.98,6.71,5.6,5.05,4.91,3.61,3.41,3.24,3.0,2.87,1.98,1.99,1.98,1.97,1.94,1.94,1.48,1.09,1.14,0.99,0.98,1.05,0.88,0.77,0.81,0.58,0.49,0.46,0.46,0.47,0.45,0.42,0.38,0.39,0.34,0.3,0.18,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/05/2021,10.51,9.19,8.26,6.83,6.52,5.53,4.92,4.8,3.51,3.36,3.19,2.96,2.81,1.93,1.95,1.94,1.96,1.9,1.9,1.47,1.06,1.11,0.97,0.95,1.02,0.85,0.74,0.64,0.58,0.48,2.68,0.45,0.45,0.46,0.41,0.37,0.39,0.34,0.31,0.17,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
11/08/2021,10.51,9.18,8.27,6.84,6.52,5.53,4.94,4.8,3.53,3.35,3.13,2.97,2.83,1.93,1.96,1.94,1.98,1.9,1.92,1.49,1.06,1.13,0.97,0.96,1.03,0.85,0.76,0.51,0.58,0.48,2.59,0.45,0.46,0.49,0.41,0.37,0.4,0.35,0.31,0.17,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
11/09/2021,10.48,9.14,8.26,6.89,6.54,5.53,4.94,4.83,3.53,3.35,3.13,2.98,2.81,1.94,1.98,1.94,1.98,1.9,1.91,1.49,1.05,1.11,0.97,0.95,1.02,0.85,0.75,0.5,0.58,0.48,2.66,0.46,0.47,0.49,0.4,0.38,0.37,0.34,0.32,0.18,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/10/2021,10.48,9.14,8.26,6.89,6.54,5.53,4.94,4.83,3.53,3.35,3.13,2.98,2.81,1.94,1.98,1.94,1.98,1.9,1.91,1.49,1.05,1.11,0.97,0.95,1.02,0.85,0.75,0.5,0.58,0.48,2.66,0.46,0.47,0.49,0.4,0.38,0.37,0.34,0.32,0.18,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/11/2021,10.48,9.14,8.26,6.89,6.54,5.53,4.94,4.83,3.53,3.35,3.13,2.98,2.81,1.94,1.98,1.94,1.98,1.9,1.91,1.49,1.05,1.11,0.97,0.95,1.02,0.85,0.75,0.5,0.58,0.48,2.66,0.46,0.47,0.49,0.4,0.38,0.37,0.34,0.32,0.18,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/12/2021,10.45,9.14,8.26,6.87,6.55,5.54,4.95,4.82,3.52,3.34,3.13,2.97,2.81,1.93,1.98,1.94,1.98,1.92,1.91,1.5,1.06,1.11,0.97,0.96,1.02,0.85,0.76,0.51,0.58,0.48,2.66,0.46,0.47,0.48,0.4,0.38,0.37,0.34,0.32,0.18,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
11/15/2021,10.52,9.24,8.3,6.86,6.59,5.59,5.02,4.83,3.55,3.35,3.18,2.99,2.84,1.93,2.04,1.96,2.0,1.96,1.92,1.51,1.08,1.11,0.97,0.98,1.02,0.86,0.78,0.48,0.61,0.5,1.82,0.48,0.49,0.49,0.41,0.37,0.36,0.36,0.36,0.18,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/16/2021,10.52,9.24,8.3,6.86,6.59,5.59,5.02,4.83,3.55,3.35,3.18,2.99,2.84,1.93,2.04,1.96,2.0,1.96,1.92,1.51,1.08,1.11,0.97,0.98,1.02,0.86,0.78,0.48,0.61,0.5,1.82,0.48,0.49,0.49,0.41,0.37,0.36,0.36,0.36,0.18,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/17/2021,10.56,9.26,8.33,6.85,6.6,5.62,5.03,4.84,3.55,3.37,3.17,3.0,2.87,1.94,2.05,1.96,2.01,1.97,1.93,1.53,1.07,1.13,0.98,0.98,1.04,0.86,0.79,0.48,0.63,0.51,1.37,0.49,0.5,0.5,0.43,0.38,0.37,0.37,0.36,0.18,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
11/18/2021,10.56,9.26,8.33,6.85,6.6,5.62,5.03,4.84,3.55,3.37,3.17,3.0,2.87,1.94,2.05,1.96,2.01,1.97,1.93,1.53,1.07,1.13,0.98,0.98,1.04,0.86,0.79,0.48,0.63,0.51,1.37,0.49,0.5,0.5,0.43,0.38,0.37,0.37,0.36,0.18,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
11/19/2021,10.26,9.01,8.08,6.57,6.37,5.46,4.89,4.65,3.45,3.27,3.1,2.92,2.79,1.88,1.98,1.9,1.96,1.89,1.87,1.5,1.03,1.14,0.94,0.95,1.07,0.84,0.79,0.46,0.61,0.5,4.24,0.48,0.48,0.52,0.43,0.36,0.37,0.37,0.36,0.18,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
11/22/2021,10.26,9.01,8.08,6.57,6.37,5.46,4.89,4.65,3.45,3.27,3.1,2.92,2.79,1.88,1.98,1.9,1.96,1.89,1.87,1.5,1.03,1.14,0.94,0.95,1.07,0.84,0.79,0.46,0.61,0.5,4.24,0.48,0.48,0.52,0.43,0.36,0.37,0.37,0.36,0.18,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
11/23/2021,10.26,9.01,8.08,6.57,6.37,5.46,4.89,4.65,3.45,3.27,3.1,2.92,2.79,1.88,1.98,1.9,1.96,1.89,1.87,1.5,1.03,1.14,0.94,0.95,1.07,0.84,0.79,0.46,0.61,0.5,4.24,0.48,0.48,0.52,0.43,0.36,0.37,0.37,0.36,0.18,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
11/24/2021,10.41,9.14,8.21,6.78,6.4,5.45,4.96,4.8,3.49,3.29,3.11,0.0,2.82,1.91,2.01,1.9,1.95,1.91,1.0,1.51,1.03,1.18,0.96,0.94,1.13,0.0,0.78,0.42,0.6,0.52,3.54,0.88,0.86,0.51,0.83,0.7,0.73,0.36,0.74,0.37,0.06,0.05,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/25/2021,10.43,9.18,8.22,6.73,6.37,5.5,4.94,4.77,3.49,3.29,3.12,0.0,2.82,1.91,1.97,1.9,1.96,1.92,1.0,1.5,1.03,1.2,0.96,0.94,1.13,0.0,0.78,0.4,0.59,0.51,3.56,0.88,0.86,0.52,0.84,0.72,0.73,0.36,0.74,0.37,0.05,0.05,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/26/2021,10.44,9.19,8.19,6.66,6.36,5.56,4.93,4.72,3.5,3.31,3.17,0.0,2.83,1.91,1.96,1.92,1.97,1.93,0.99,1.5,1.04,1.2,0.96,0.94,1.13,0.0,0.78,0.41,0.6,0.5,3.56,0.89,0.86,0.5,0.84,0.73,0.73,0.37,0.73,0.38,0.06,0.05,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
11/29/2021,10.42,9.18,8.19,6.71,6.33,5.55,4.94,4.76,3.5,3.31,3.17,0.0,2.82,1.91,1.95,1.91,1.96,1.91,0.99,1.51,1.04,1.2,0.96,0.94,1.14,0.0,0.78,0.42,0.6,0.51,3.56,0.88,0.85,0.5,0.84,0.72,0.73,0.37,0.73,0.37,0.06,0.05,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
11/30/2021,10.51,9.23,8.31,6.84,6.33,5.47,5.0,4.88,3.48,3.27,3.08,0.0,2.79,1.93,1.96,1.86,1.93,1.88,0.98,0.0,1.01,1.18,0.97,0.91,1.12,0.0,0.77,0.42,0.58,0.51,3.58,0.87,0.83,0.49,0.83,0.7,0.74,0.36,0.73,0.37,0.05,0.05,1.74,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
12/01/2021,10.51,9.23,8.31,6.84,6.33,5.47,5.0,4.88,3.48,3.27,3.08,0.0,2.79,1.93,1.96,1.86,1.93,1.88,0.98,0.0,1.01,1.18,0.97,0.91,1.12,0.0,0.77,0.42,0.58,0.51,3.58,0.87,0.83,0.49,0.83,0.7,0.74,0.36,0.73,0.37,0.05,0.05,1.74,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
12/02/2021,10.45,4.14,8.24,6.79,6.31,5.44,4.95,4.83,9.03,3.26,3.02,0.0,2.79,1.92,1.95,1.86,1.91,1.88,0.98,0.0,1.01,1.18,0.97,0.91,1.13,0.0,0.79,0.41,0.58,0.51,3.57,0.86,0.83,0.49,0.83,0.69,0.72,0.35,0.74,0.37,0.06,0.05,1.72,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/06/2021,10.62,4.21,8.37,6.97,6.44,5.48,5.04,4.99,9.2,3.28,2.98,0.0,2.82,1.96,1.97,1.9,1.93,1.91,0.99,0.0,1.05,1.21,0.99,0.94,1.15,0.0,0.82,0.41,0.57,0.51,1.85,0.94,0.89,0.45,0.84,0.71,0.74,0.36,0.76,0.38,0.05,0.05,1.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
12/07/2021,10.62,4.21,8.37,6.97,6.44,5.48,5.04,4.99,9.2,3.28,2.98,0.0,2.82,1.96,1.97,1.9,1.93,1.91,0.99,0.0,1.05,1.21,0.99,0.94,1.15,0.0,0.82,0.41,0.57,0.51,1.85,0.94,0.89,0.45,0.84,0.71,0.74,0.36,0.76,0.38,0.05,0.05,1.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
12/08/2021,10.62,4.21,8.37,6.97,6.44,5.48,5.04,4.99,9.2,3.28,2.98,0.0,2.82,1.96,1.97,1.9,1.93,1.91,0.99,0.0,1.05,1.21,0.99,0.94,1.15,0.0,0.82,0.41,0.57,0.51,1.85,0.94,0.89,0.45,0.84,0.71,0.74,0.36,0.76,0.38,0.05,0.05,1.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
12/09/2021,10.62,4.21,8.37,6.97,6.44,5.48,5.04,4.99,9.2,3.28,2.98,0.0,2.82,1.96,1.97,1.9,1.93,1.91,0.99,0.0,1.05,1.21,0.99,0.94,1.15,0.0,0.82,0.41,0.57,0.51,1.85,0.94,0.89,0.45,0.84,0.71,0.74,0.36,0.76,0.38,0.05,0.05,1.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
12/10/2021,10.62,4.21,8.37,6.97,6.44,5.48,5.04,4.99,9.2,3.28,2.98,0.0,2.82,1.96,1.97,1.9,1.93,1.91,0.99,0.0,1.05,1.21,0.99,0.94,1.15,0.0,0.82,0.41,0.57,0.51,1.85,0.94,0.89,0.45,0.84,0.71,0.74,0.36,0.76,0.38,0.05,0.05,1.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
12/13/2021,10.62,4.21,8.37,6.97,6.44,5.48,5.04,4.99,9.2,3.28,2.98,0.0,2.82,1.96,1.97,1.9,1.93,1.91,0.99,0.0,1.05,1.21,0.99,0.94,1.15,0.0,0.82,0.41,0.57,0.51,1.85,0.94,0.89,0.45,0.84,0.71,0.74,0.36,0.76,0.38,0.05,0.05,1.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
12/14/2021,10.62,4.21,8.37,6.97,6.44,5.48,5.04,4.99,9.2,3.28,2.98,0.0,2.82,1.96,1.97,1.9,1.93,1.91,0.99,0.0,1.05,1.21,0.99,0.94,1.15,0.0,0.82,0.41,0.57,0.51,1.85,0.94,0.89,0.45,0.84,0.71,0.74,0.36,0.76,0.38,0.05,0.05,1.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
12/15/2021,10.62,4.21,8.37,6.97,6.44,5.48,5.04,4.99,9.2,3.28,2.98,0.0,2.82,1.96,1.97,1.9,1.93,1.91,0.99,0.0,1.05,1.21,0.99,0.94,1.15,0.0,0.82,0.41,0.57,0.51,1.85,0.94,0.89,0.45,0.84,0.71,0.74,0.36,0.76,0.38,0.05,0.05,1.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
12/16/2021,10.62,4.21,8.37,6.97,6.44,5.48,5.04,4.99,9.2,3.28,2.98,0.0,2.82,1.96,1.97,1.9,1.93,1.91,0.99,0.0,1.05,1.21,0.99,0.94,1.15,0.0,0.82,0.41,0.57,0.51,1.85,0.94,0.89,0.45,0.84,0.71,0.74,0.36,0.76,0.38,0.05,0.05,1.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
12/17/2021,10.62,4.21,8.37,6.97,6.44,5.48,5.04,4.99,9.2,3.28,2.98,0.0,2.82,1.96,1.97,1.9,1.93,1.91,0.99,0.0,1.05,1.21,0.99,0.94,1.15,0.0,0.82,0.41,0.57,0.51,1.85,0.94,0.89,0.45,0.84,0.71,0.74,0.36,0.76,0.38,0.05,0.05,1.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
12/20/2021,10.62,4.21,8.37,6.97,6.44,5.48,5.04,4.99,9.2,3.28,2.98,0.0,2.82,1.96,1.97,1.9,1.93,1.91,0.99,0.0,1.05,1.21,0.99,0.94,1.15,0.0,0.82,0.41,0.57,0.51,1.85,0.94,0.89,0.45,0.84,0.71,0.74,0.36,0.76,0.38,0.05,0.05,1.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
12/21/2021,10.73,0.0,8.43,7.0,6.48,5.68,5.01,0.0,9.29,0.0,3.03,0.0,3.75,6.97,2.01,0.0,1.98,1.93,0.0,0.0,1.06,1.21,0.99,0.91,1.1,0.0,0.83,0.47,0.6,0.49,1.18,0.95,0.85,0.41,0.84,0.71,0.69,0.37,0.73,0.39,0.04,0.0,1.77,1.52,4.25,2.94,1.71,0.71,0.0,0.0,0.0,100.01
12/22/2021,10.73,0.0,8.43,7.0,6.48,5.68,5.01,0.0,9.29,0.0,3.03,0.0,3.75,6.97,2.01,0.0,1.98,1.93,0.0,0.0,1.06,1.21,0.99,0.91,1.1,0.0,0.83,0.47,0.6,0.49,1.18,0.95,0.85,0.41,0.84,0.71,0.69,0.37,0.73,0.39,0.04,0.0,1.77,1.52,4.25,2.94,1.71,0.71,0.0,0.0,0.0,100.01
12/23/2021,10.83,0.0,8.53,7.01,6.56,5.67,5.05,0.0,9.37,0.0,3.03,0.0,3.77,7.03,2.02,0.0,1.99,1.92,0.0,0.0,1.06,1.21,1.0,0.91,1.12,0.0,0.83,0.45,0.58,0.48,0.74,0.94,0.85,0.4,0.82,0.69,0.69,0.36,0.72,0.38,0.04,0.0,1.76,1.52,4.28,2.98,1.71,0.71,0.0,0.0,0.0,100.01
12/24/2021,10.86,0.0,8.54,7.05,6.61,5.75,5.08,0.0,9.43,0.0,2.57,0.0,3.8,7.04,2.03,0.0,2.01,1.95,0.0,0.0,1.07,1.22,1.0,0.92,1.12,0.0,0.83,0.47,0.59,0.49,0.49,0.95,0.88,0.41,0.85,0.72,0.72,0.36,0.74,0.39,0.05,0.0,1.69,1.56,4.3,3.01,1.71,0.72,0.0,0.0,0.0,99.98
12/27/2021,10.63,0.0,8.37,6.91,6.57,5.72,4.99,0.0,9.32,0.0,2.57,0.0,3.76,6.86,2.01,0.0,2.0,1.95,0.0,0.0,1.07,0.91,0.98,0.92,0.96,0.0,0.55,0.0,0.44,0.36,1.87,0.71,0.63,0.41,0.6,0.54,0.53,0.37,0.54,0.4,0.05,0.0,1.67,1.56,4.22,2.98,1.69,0.55,2.83,0.0,0.0,100.0
12/28/2021,10.63,0.0,8.37,6.91,6.57,5.72,4.99,0.0,9.32,0.0,2.57,0.0,3.76,6.86,2.01,0.0,2.0,1.95,0.0,0.0,1.07,0.91,0.98,0.92,0.96,0.0,0.55,0.0,0.44,0.36,1.87,0.71,0.63,0.41,0.6,0.54,0.53,0.37,0.54,0.4,0.05,0.0,1.67,1.56,4.22,2.98,1.69,0.55,2.83,0.0,0.0,100.0
12/29/2021,10.63,0.0,8.37,6.91,6.57,5.72,4.99,0.0,9.32,0.0,2.57,0.0,3.76,6.86,2.01,0.0,2.0,1.95,0.0,0.0,1.07,0.91,0.98,0.92,0.96,0.0,0.55,0.0,0.44,0.36,1.87,0.71,0.63,0.41,0.6,0.54,0.53,0.37,0.54,0.4,0.05,0.0,1.67,1.56,4.22,2.98,1.69,0.55,2.83,0.0,0.0,100.0
12/30/2021,10.58,0.0,8.32,6.9,6.54,5.71,4.98,0.0,9.28,0.0,2.59,0.0,3.76,6.84,2.01,0.0,2.0,1.95,0.0,0.0,1.07,0.92,0.98,0.92,0.97,0.0,0.56,0.0,0.44,0.37,1.95,0.72,0.64,0.41,0.61,0.54,0.53,0.37,0.55,0.4,0.05,0.0,1.68,1.57,4.2,2.98,1.69,0.55,2.85,0.0,0.0,99.98000000000002
12/31/2021,10.58,0.0,8.32,6.88,6.51,5.73,4.98,0.0,9.29,0.0,2.59,0.0,3.78,6.84,2.0,0.0,2.01,1.95,0.0,0.0,1.07,0.92,0.98,0.9,0.98,0.0,0.56,0.0,0.45,0.37,1.95,0.72,0.64,0.4,0.62,0.54,0.52,0.37,0.54,0.41,0.04,0.0,1.68,1.57,4.2,2.99,1.7,0.56,2.86,0.0,0.0,100.0
01/03/2022,10.52,0.0,8.25,6.83,6.43,5.7,4.98,0.0,9.22,0.0,2.56,0.0,3.76,6.79,2.0,0.0,2.0,1.95,0.0,0.0,1.06,0.92,0.97,0.9,0.98,0.0,0.56,0.0,0.45,0.36,2.54,0.72,0.64,0.41,0.61,0.54,0.52,0.37,0.53,0.41,0.04,0.0,1.68,1.55,4.18,2.97,1.71,0.56,2.84,0.0,0.0,100.01
01/03/2022,10.52,0.0,8.25,6.83,6.43,5.7,4.98,0.0,9.22,0.0,2.56,0.0,3.76,6.79,2.0,0.0,2.0,1.95,0.0,0.0,1.06,0.92,0.97,0.9,0.98,0.0,0.56,0.0,0.45,0.36,2.54,0.72,0.64,0.41,0.61,0.54,0.52,0.37,0.53,0.41,0.04,0.0,1.68,1.55,4.18,2.97,1.71,0.56,2.84,0.0,0.0,100.01
01/03/2022,10.52,0.0,8.25,6.83,6.43,5.7,4.98,0.0,9.22,0.0,2.56,0.0,3.76,6.79,2.0,0.0,2.0,1.95,0.0,0.0,1.06,0.92,0.97,0.9,0.98,0.0,0.56,0.0,0.45,0.36,2.54,0.72,0.64,0.41,0.61,0.54,0.52,0.37,0.53,0.41,0.04,0.0,1.68,1.55,4.18,2.97,1.71,0.56,2.84,0.0,0.0,100.01
01/04/2022,10.52,0.0,8.25,6.83,6.43,5.7,4.98,0.0,9.22,0.0,2.56,0.0,3.76,6.79,2.0,0.0,2.0,1.95,0.0,0.0,1.06,0.92,0.97,0.9,0.98,0.0,0.56,0.0,0.45,0.36,2.54,0.72,0.64,0.41,0.61,0.54,0.52,0.37,0.53,0.41,0.04,0.0,1.68,1.55,4.18,2.97,1.71,0.56,2.84,0.0,0.0,100.01
01/05/2022,10.52,0.0,8.25,6.83,6.43,5.7,4.98,0.0,9.22,0.0,2.56,0.0,3.76,6.79,2.0,0.0,2.0,1.95,0.0,0.0,1.06,0.92,0.97,0.9,0.98,0.0,0.56,0.0,0.45,0.36,2.54,0.72,0.64,0.41,0.61,0.54,0.52,0.37,0.53,0.41,0.04,0.0,1.68,1.55,4.18,2.97,1.71,0.56,2.84,0.0,0.0,100.01
01/06/2022,10.52,0.0,8.25,6.83,6.43,5.7,4.98,0.0,9.22,0.0,2.56,0.0,3.76,6.79,2.0,0.0,2.0,1.95,0.0,0.0,1.06,0.92,0.97,0.9,0.98,0.0,0.56,0.0,0.45,0.36,2.54,0.72,0.64,0.41,0.61,0.54,0.52,0.37,0.53,0.41,0.04,0.0,1.68,1.55,4.18,2.97,1.71,0.56,2.84,0.0,0.0,100.01
01/07/2022,10.59,0.0,8.27,6.76,6.43,5.83,4.97,0.0,9.27,0.0,2.6,0.0,3.77,6.8,2.02,0.0,2.01,1.98,0.0,0.0,1.08,0.94,0.97,0.91,1.0,0.0,0.54,0.0,0.46,0.37,1.96,0.72,0.64,0.4,0.62,0.56,0.51,0.39,0.54,0.41,0.04,0.0,1.7,1.58,4.21,3.01,1.71,0.55,2.89,0.0,0.0,100.01000000000002
