,TEAM,MSTR,PRFT,NET,SPT,DOMO,SPLK,NEWR,MDLA,DT,SNOW,ESTC,TWLO,TDC,MDB,PD,PLTR,CLDR,VMW,PRGS,APPN,AYX,94NA.L,ATO.PA,FSLY,KC,SWI,SOW.DE,GBG.L,FGXXX,n/a,80ML.L,FROG,CFLT,BASE,SUM
09/02/2021,4.98,4.44,5.05,4.43,5.18,4.13,4.31,3.87,3.91,4.06,3.87,3.8,3.72,3.66,3.84,3.47,3.43,3.25,2.94,3.24,3.27,3.04,0.0,2.51,2.58,2.34,1.57,1.37,0.53,0.41,0.0,2.79,0.0,0.0,0.0,99.99
09/03/2021,5.06,4.39,5.13,4.4,5.14,4.14,4.26,3.89,3.9,4.11,3.85,3.87,3.76,3.61,3.83,3.52,3.42,3.22,2.96,3.18,3.22,3.03,0.0,2.5,2.56,2.43,1.54,1.38,0.53,0.0,0.4,2.77,0.0,0.0,0.0,100.0
09/06/2021,5.12,4.28,5.03,4.52,5.11,3.83,4.31,3.85,3.85,4.12,3.91,3.93,3.62,3.77,3.82,3.6,3.47,3.18,2.85,3.14,3.18,3.01,0.0,2.63,2.73,2.68,1.53,1.36,0.54,0.4,0.0,2.66,0.0,0.0,0.0,100.03
09/07/2021,5.12,4.28,5.03,4.52,5.11,3.83,4.31,3.85,3.85,4.12,3.91,3.93,3.62,3.77,3.82,3.6,3.47,3.18,2.85,3.14,3.18,3.01,0.0,2.63,2.73,2.68,1.53,1.36,0.54,0.4,0.0,0.0,2.66,0.0,0.0,100.03
09/08/2021,5.12,4.28,5.03,4.52,5.11,3.83,4.31,3.85,3.85,4.12,3.91,3.93,3.62,3.77,3.82,3.6,3.47,3.18,2.85,3.14,3.18,3.01,0.0,2.63,2.73,2.68,1.53,1.36,0.54,0.4,0.0,0.0,2.66,0.0,0.0,100.03
09/09/2021,5.11,4.27,5.05,4.47,5.17,3.73,4.21,3.81,3.75,4.11,3.85,4.02,3.62,3.68,4.71,3.75,3.4,3.1,2.76,3.06,3.26,2.97,0.0,2.55,2.63,2.63,1.51,1.32,0.53,0.39,0.0,0.0,2.59,0.0,0.0,100.01
09/10/2021,5.11,3.92,4.98,4.54,5.33,3.71,4.21,3.8,3.77,4.14,3.92,4.03,3.57,3.66,4.59,3.76,3.43,3.13,2.79,3.04,3.22,2.95,0.0,2.55,2.64,2.73,1.51,1.35,0.54,0.39,0.0,0.0,2.69,0.0,0.0,100.0
09/13/2021,5.21,3.93,5.1,4.51,5.29,3.62,4.24,3.78,3.84,4.17,4.06,3.91,3.57,3.69,4.5,3.75,3.35,3.18,2.84,3.1,3.13,2.99,0.0,2.52,2.62,2.7,1.5,1.36,0.55,0.36,0.0,0.0,2.65,0.0,0.0,100.02
09/14/2021,5.16,3.94,5.13,4.5,5.29,3.61,4.25,3.79,3.84,4.2,4.08,3.92,3.56,3.73,4.52,3.68,3.42,3.18,2.84,3.09,3.1,2.98,0.0,2.44,2.64,2.68,1.52,1.35,0.55,0.36,0.0,0.0,2.64,0.0,0.0,99.98999999999998
09/15/2021,5.25,3.84,5.12,4.54,5.37,3.56,4.25,3.73,3.89,4.23,4.12,3.89,3.51,3.43,4.72,3.63,3.49,3.22,2.79,3.09,3.03,2.94,0.0,2.63,2.58,2.72,1.51,1.37,0.56,0.37,0.0,0.0,2.61,0.0,0.0,99.99000000000002
09/16/2021,5.25,3.84,5.12,4.54,5.37,3.56,4.25,3.73,3.89,4.23,4.12,3.89,3.51,3.43,4.72,3.63,3.49,3.22,2.79,3.09,3.03,2.94,0.0,2.63,2.58,2.72,1.51,1.37,0.56,0.37,0.0,0.0,2.61,0.0,0.0,99.99000000000002
09/17/2021,5.39,3.87,5.06,4.53,5.36,3.5,4.17,3.73,3.91,4.27,4.14,3.91,3.46,3.37,4.89,3.71,3.49,3.23,2.77,3.05,2.98,2.9,0.0,2.73,2.59,2.57,1.53,1.33,0.56,0.37,0.0,0.0,2.59,0.0,0.0,99.96
09/20/2021,5.42,3.93,5.06,4.56,5.55,3.5,4.17,3.71,3.89,4.26,4.17,3.88,3.49,3.42,4.84,3.67,3.57,3.21,2.79,3.13,3.01,2.85,0.0,2.6,2.54,2.45,1.55,1.31,0.53,0.37,0.0,0.0,2.58,0.0,0.0,100.01000000000002
09/21/2021,5.48,3.88,4.97,4.67,5.56,3.51,4.16,3.8,3.84,4.29,4.1,3.93,3.48,3.38,4.83,3.77,3.73,3.17,2.71,3.09,2.97,2.83,0.0,2.59,2.55,2.44,1.56,1.29,0.53,0.37,0.0,0.0,2.52,0.0,0.0,100.0
09/22/2021,5.48,3.88,4.97,4.67,5.56,3.51,4.16,3.8,3.84,4.29,4.1,3.93,3.48,3.38,4.83,3.77,3.73,3.17,2.71,3.09,2.97,2.83,0.0,2.59,2.55,2.44,1.56,1.29,0.53,0.37,0.0,0.0,2.52,0.0,0.0,100.0
09/23/2021,5.48,3.88,4.97,4.67,5.56,3.51,4.16,3.8,3.84,4.29,4.1,3.93,3.48,3.38,4.83,3.77,3.73,3.17,2.71,3.09,2.97,2.83,0.0,2.59,2.55,2.44,1.56,1.29,0.53,0.37,0.0,0.0,2.52,0.0,0.0,100.0
09/24/2021,5.24,3.54,4.67,4.32,5.15,3.37,3.86,3.54,3.72,4.04,3.82,3.74,3.3,3.39,4.56,3.62,3.35,3.08,2.63,2.92,2.79,2.72,0.0,2.55,2.37,2.23,1.45,1.24,0.52,0.38,0.0,0.0,2.43,3.88,1.6,100.02
09/27/2021,5.18,3.51,4.79,4.53,5.31,3.51,3.84,3.42,3.62,4.02,3.78,3.78,3.32,3.29,4.64,3.56,3.37,2.99,2.55,2.85,2.83,2.65,0.0,2.4,2.32,2.32,1.41,1.21,0.49,0.47,0.0,0.0,2.37,4.09,1.57,99.99
09/28/2021,5.12,3.54,4.81,4.4,5.51,3.52,3.83,3.4,3.55,4.05,3.78,3.72,3.26,3.31,4.57,3.52,3.46,2.94,2.57,2.86,2.87,2.69,0.0,2.37,2.29,2.28,1.41,1.21,0.48,0.46,0.0,0.0,2.34,4.22,1.67,100.01
09/29/2021,5.18,3.45,4.85,4.24,5.52,3.54,3.81,3.39,3.56,4.07,3.73,3.71,3.21,3.39,4.53,3.49,3.45,2.95,2.64,3.29,2.91,2.81,0.0,2.37,2.24,2.18,1.4,1.21,0.48,0.4,0.0,0.0,2.3,4.15,1.56,100.01
09/30/2021,5.18,3.45,4.85,4.24,5.52,3.54,3.81,3.39,3.56,4.07,3.73,3.71,3.21,3.39,4.53,3.49,3.45,2.95,2.64,3.29,2.91,2.81,0.0,2.37,2.24,2.18,1.4,1.21,0.48,0.4,0.0,0.0,2.3,4.15,1.56,100.01
10/01/2021,5.18,3.45,4.85,4.24,5.52,3.54,3.81,3.39,3.56,4.07,3.73,3.71,3.21,3.39,4.53,3.49,3.45,2.95,2.64,3.29,2.91,2.81,0.0,2.37,2.24,2.18,1.4,1.21,0.48,0.4,0.0,0.0,2.3,4.15,1.56,100.01
10/04/2021,5.23,3.51,5.04,3.94,4.98,3.78,3.73,3.39,3.83,4.15,3.74,3.55,3.15,3.73,4.41,3.45,3.19,3.19,2.94,3.26,2.7,2.88,0.0,2.56,2.27,2.25,1.49,1.24,0.49,0.43,0.0,0.0,2.35,3.69,1.46,100.0
10/05/2021,5.24,3.56,4.88,3.92,4.99,3.78,3.89,3.41,3.8,4.17,3.81,3.55,3.19,3.75,4.5,3.33,3.1,3.16,2.88,3.26,2.69,2.91,0.0,2.58,2.31,2.23,1.47,1.23,0.49,0.43,0.0,0.0,2.33,3.72,1.46,100.02
10/06/2021,5.17,3.71,4.96,3.94,5.07,3.75,3.85,3.42,3.75,4.22,3.78,3.55,3.2,3.73,4.46,3.35,3.09,3.12,2.9,3.26,2.71,2.91,0.0,2.55,2.28,2.16,1.45,1.2,0.47,0.42,0.0,0.0,2.27,3.9,1.39,99.99
10/07/2021,5.25,3.83,5.15,4.12,4.69,3.64,3.87,3.44,3.9,4.21,3.81,3.48,3.21,3.78,4.35,3.26,3.06,3.24,2.95,3.33,2.58,2.79,0.0,2.63,2.16,2.14,1.54,1.23,0.49,0.44,0.0,0.0,2.24,3.77,1.4,99.98
10/08/2021,5.25,3.83,5.15,4.12,4.69,3.64,3.87,3.44,3.9,4.21,3.81,3.48,3.21,3.78,4.35,3.26,3.06,3.24,2.95,3.33,2.58,2.79,0.0,2.63,2.16,2.14,1.54,1.23,0.49,0.44,0.0,0.0,2.24,3.77,1.4,99.98
10/11/2021,5.24,4.11,5.01,4.6,4.73,3.61,3.91,3.48,3.77,4.14,3.87,3.48,3.14,3.57,4.4,3.21,3.01,3.13,2.91,3.24,2.58,2.87,0.0,2.47,2.24,2.1,1.58,1.2,0.48,0.42,0.0,0.0,2.24,3.88,1.4,100.02
10/12/2021,5.12,4.15,5.04,4.63,4.72,3.59,3.93,3.49,3.7,4.11,3.93,3.53,3.15,3.55,4.39,3.2,2.98,3.08,2.9,3.19,2.59,2.84,0.0,2.41,2.25,2.17,1.57,1.13,0.47,0.42,0.0,0.0,2.25,4.07,1.46,100.01
10/13/2021,5.12,4.15,5.04,4.63,4.72,3.59,3.93,3.49,3.7,4.11,3.93,3.53,3.15,3.55,4.39,3.2,2.98,3.08,2.9,3.19,2.59,2.84,0.0,2.41,2.25,2.17,1.57,1.13,0.47,0.42,0.0,0.0,2.25,4.07,1.46,100.01
10/14/2021,5.31,4.43,5.17,4.93,4.65,3.67,4.12,3.62,3.86,4.25,4.01,3.76,3.25,3.66,4.35,3.22,3.08,0.0,2.91,3.3,2.69,2.93,0.0,2.54,2.33,2.27,1.64,1.19,0.49,0.39,0.0,0.0,2.37,4.08,1.53,100.0
10/18/2021,5.27,4.28,5.14,5.35,4.92,3.79,4.21,3.49,3.69,4.32,4.01,3.88,3.33,3.59,4.55,3.21,3.01,0.0,2.78,3.15,2.58,2.87,0.0,2.48,2.42,2.2,1.72,1.17,0.48,0.29,0.0,0.0,2.25,4.0,1.55,99.98
10/19/2021,5.2,4.21,5.22,5.47,4.9,3.82,4.23,3.48,3.64,4.31,4.01,3.94,3.4,3.59,4.45,3.22,3.0,0.0,2.81,3.19,2.55,2.91,0.0,2.46,2.39,2.15,1.67,1.2,0.48,0.29,0.0,0.0,2.28,4.0,1.53,100.00000000000004
10/20/2021,5.25,4.37,5.18,5.56,4.94,3.75,4.25,3.41,3.65,4.24,4.03,3.91,3.37,3.6,4.48,3.17,2.96,0.0,2.89,3.19,2.56,2.87,0.0,2.43,2.45,2.15,1.62,1.21,0.51,0.29,0.0,0.0,2.26,3.98,1.49,100.02000000000002
10/21/2021,5.25,4.27,5.29,5.92,5.04,3.85,4.17,3.29,3.61,4.24,4.04,3.83,3.4,3.58,4.54,3.15,2.96,0.0,2.88,3.12,2.6,2.84,0.0,2.38,2.42,2.14,1.58,1.19,0.49,0.29,0.0,0.0,2.21,3.85,1.59,100.01
10/22/2021,5.15,4.16,5.25,5.62,5.06,3.94,4.18,3.33,3.58,4.24,4.03,3.82,3.41,3.49,4.53,3.18,2.99,0.0,2.93,3.1,2.65,2.82,0.0,2.35,2.65,2.31,1.59,1.06,0.5,0.28,0.0,0.0,2.31,3.89,1.62,100.02
10/25/2021,5.17,4.36,5.01,5.73,4.82,3.92,4.25,3.33,3.6,4.24,3.98,3.79,3.45,3.52,4.53,3.2,2.95,0.0,2.98,3.14,2.66,2.84,0.0,2.31,2.66,2.29,1.48,1.06,0.5,0.29,0.0,0.0,2.36,3.91,1.67,100.00000000000004
10/26/2021,5.21,4.19,4.8,5.89,4.8,3.89,4.24,3.45,3.56,4.27,4.04,3.77,3.44,3.53,4.53,3.2,2.99,0.0,2.97,3.14,2.69,2.77,0.0,2.32,2.64,2.28,1.52,1.07,0.5,0.28,0.0,0.0,2.3,4.0,1.72,100.0
10/27/2021,5.21,4.19,4.8,5.89,4.8,3.89,4.24,3.45,3.56,4.27,4.04,3.77,3.44,3.53,4.53,3.2,2.99,0.0,2.97,3.14,2.69,2.77,0.0,2.32,2.64,2.28,1.52,1.07,0.5,0.28,0.0,0.0,2.3,4.0,1.72,100.0
10/28/2021,5.21,4.19,4.8,5.89,4.8,3.89,4.24,3.45,3.56,4.27,4.04,3.77,3.44,3.53,4.53,3.2,2.99,0.0,2.97,3.14,2.69,2.77,0.0,2.32,2.64,2.28,1.52,1.07,0.5,0.28,0.0,0.0,2.3,4.0,1.72,100.0
10/29/2021,5.34,4.23,4.88,6.11,4.7,3.84,4.22,3.42,3.55,4.25,4.02,3.83,3.32,3.59,4.6,3.24,3.05,0.0,2.94,3.11,2.68,2.72,0.0,2.4,2.66,2.09,1.49,1.06,0.49,0.28,0.0,0.0,2.23,3.96,1.71,100.00999999999999
