,SQ,PYPL,V,MA,AXP,FIS,ADYEN.AS,FISV,GPN,DFS,APT.AX,WLN.PA,STNE,ETFMG Sit Ultra Short ETF,PAGS,AFRM,FLT,NEXI.MI,NVEI.TO,3769.T,FOUR,WEX,WU,GDOT,FLYW,NCR,EEFT,ACIW,EVTC,NETW.L,9923.HK,EVOP,327.HK,CIEL3.SA,EML.AX,IIIV,8584.T,BOKU.L,CTLP,FGXXX,SZL.AX,4051.T,QIWI,IMXI,PAY.L,UEPS,PAYS,4847.T,British Pounds,688101.SS,n/a,SUM
07/23/2021,6.49,6.71,6.19,5.93,5.81,5.71,5.4,4.82,4.02,3.03,2.51,2.66,2.01,2.4,2.1,1.89,2.18,2.03,1.97,1.84,1.6,1.59,1.64,1.54,1.41,1.46,1.44,1.37,1.37,1.32,1.22,1.31,1.26,1.09,0.5,0.45,0.46,0.43,0.36,0.3,0.39,0.43,0.33,0.35,0.24,0.18,0.11,0.14,0.0,0.0,0.0,99.99
07/26/2021,6.9,6.63,6.05,5.95,5.94,5.63,5.29,4.8,4.0,3.14,2.46,2.66,2.06,2.31,2.27,1.98,2.18,2.01,2.01,1.79,1.51,1.64,1.6,1.52,1.4,1.5,1.47,1.36,1.34,1.24,1.11,1.34,1.21,1.06,0.49,0.47,0.44,0.45,0.38,0.29,0.38,0.39,0.33,0.34,0.23,0.19,0.12,0.13,0.0,0.0,0.0,99.99
07/27/2021,6.9,6.63,6.05,5.95,5.94,5.63,5.29,4.8,4.0,3.14,2.46,2.66,2.06,2.31,2.27,1.98,2.18,2.01,2.01,1.79,1.51,1.64,1.6,1.52,1.4,1.5,1.47,1.36,1.34,1.24,1.11,1.34,1.21,1.06,0.49,0.47,0.44,0.45,0.38,0.29,0.38,0.39,0.33,0.34,0.23,0.19,0.12,0.13,0.0,0.0,0.0,99.99
07/29/2021,6.95,6.66,6.14,6.08,5.87,5.68,5.51,4.8,3.94,3.09,2.4,2.7,1.95,2.28,2.21,1.92,2.17,2.03,2.07,1.84,1.51,1.66,1.61,1.5,1.44,1.47,1.46,1.32,1.36,1.26,1.01,1.31,1.18,1.05,0.47,0.45,0.44,0.48,0.36,0.29,0.36,0.4,0.33,0.34,0.23,0.18,0.11,0.13,0.0,0.0,0.0,100.0
07/30/2021,6.95,6.66,6.14,6.08,5.87,5.68,5.51,4.8,3.94,3.09,2.4,2.7,1.95,2.28,2.21,1.92,2.17,2.03,2.07,1.84,1.51,1.66,1.61,1.5,1.44,1.47,1.46,1.32,1.36,1.26,1.01,1.31,1.18,1.05,0.47,0.45,0.44,0.48,0.36,0.29,0.36,0.4,0.33,0.34,0.23,0.18,0.11,0.13,0.0,0.0,0.0,100.0
08/02/2021,6.91,6.61,6.11,5.98,5.83,5.73,5.64,4.95,3.98,3.08,2.28,2.55,1.97,2.3,2.17,1.99,2.19,2.05,2.1,1.84,1.57,1.69,1.6,1.51,1.42,1.47,1.5,1.3,1.37,1.28,0.95,1.3,1.09,1.06,0.46,0.45,0.45,0.5,0.37,0.29,0.37,0.4,0.32,0.35,0.24,0.19,0.11,0.13,0.0,0.0,0.0,100.0
08/03/2021,6.91,6.61,6.11,5.98,5.83,5.73,5.64,4.95,3.98,3.08,2.28,2.55,1.97,2.3,2.17,1.99,2.19,2.05,2.1,1.84,1.57,1.69,1.6,1.51,1.42,1.47,1.5,1.3,1.37,1.28,0.95,1.3,1.09,1.06,0.46,0.45,0.45,0.5,0.37,0.29,0.37,0.4,0.32,0.35,0.24,0.19,0.11,0.13,0.0,0.0,0.0,100.0
08/04/2021,6.91,6.61,6.11,5.98,5.83,5.73,5.64,4.95,3.98,3.08,2.28,2.55,1.97,2.3,2.17,1.99,2.19,2.05,2.1,1.84,1.57,1.69,1.6,1.51,1.42,1.47,1.5,1.3,1.37,1.28,0.95,1.3,1.09,1.06,0.46,0.45,0.45,0.5,0.37,0.29,0.37,0.4,0.32,0.35,0.24,0.19,0.11,0.13,0.0,0.0,0.0,100.0
08/05/2021,6.91,6.61,6.11,5.98,5.83,5.73,5.64,4.95,3.98,3.08,2.28,2.55,1.97,2.3,2.17,1.99,2.19,2.05,2.1,1.84,1.57,1.69,1.6,1.51,1.42,1.47,1.5,1.3,1.37,1.28,0.95,1.3,1.09,1.06,0.46,0.45,0.45,0.5,0.37,0.29,0.37,0.4,0.32,0.35,0.24,0.19,0.11,0.13,0.0,0.0,0.0,100.0
08/06/2021,7.35,6.11,5.99,5.86,5.92,5.13,5.75,4.8,3.6,3.21,3.02,2.59,2.01,2.34,2.26,2.22,2.19,1.99,2.05,1.84,1.57,1.55,1.61,1.5,1.45,1.49,1.49,1.29,1.38,1.22,1.03,1.27,1.17,1.08,0.5,0.45,0.46,0.53,0.37,0.24,0.36,0.41,0.33,0.35,0.24,0.2,0.11,0.14,0.0,0.0,0.0,100.02
08/09/2021,7.63,6.23,6.03,5.88,5.9,5.06,5.82,4.83,3.59,3.21,2.94,2.56,2.01,0.0,2.25,2.22,2.26,1.93,2.11,1.78,1.54,1.51,1.56,1.55,1.47,1.33,1.44,1.24,1.47,1.27,0.99,1.22,1.17,1.05,0.47,0.45,0.46,0.51,0.38,0.24,0.37,0.37,0.32,0.37,0.24,0.2,0.11,0.14,0.0,0.0,2.32,100.0
08/10/2021,7.63,6.23,6.03,5.88,5.9,5.06,5.82,4.83,3.59,3.21,2.94,2.56,2.01,0.0,2.25,2.22,2.26,1.93,2.11,1.78,1.54,1.51,1.56,1.55,1.47,1.33,1.44,1.24,1.47,1.27,0.99,1.22,1.17,1.05,0.47,0.45,0.46,0.51,0.38,0.24,0.37,0.37,0.32,0.37,0.24,0.2,0.11,0.14,0.0,0.0,2.32,100.0
08/11/2021,7.63,6.23,6.03,5.88,5.9,5.06,5.82,4.83,3.59,3.21,2.94,2.56,2.01,0.0,2.25,2.22,2.26,1.93,2.11,1.78,1.54,1.51,1.56,1.55,1.47,1.33,1.44,1.24,1.47,1.27,0.99,1.22,1.17,1.05,0.47,0.45,0.46,0.51,0.38,0.24,0.37,0.37,0.32,0.37,0.24,0.2,0.11,0.14,0.0,0.0,2.32,100.0
08/13/2021,7.36,6.06,5.94,5.79,5.86,5.15,5.73,4.86,3.56,3.32,3.11,2.5,1.95,0.0,2.3,2.15,2.27,1.91,2.4,1.78,1.49,1.48,1.58,1.53,1.68,1.39,1.44,1.21,1.47,1.32,1.02,1.21,1.22,1.03,0.48,0.43,0.46,0.51,0.38,0.26,0.38,0.36,0.31,0.37,0.24,0.2,0.11,0.14,0.0,0.0,2.31,100.00999999999999
