,COST,WMT,T,KR,ABC,CVS,VZ,TGT,JNJ,HUM,PG,PEP,LMT,ABBV,MRK,ALL,PGR,PFE,TSN,BMY,ORCL,NOC,DG,MMM,PM,VIAC,MDLZ,LLY,GILD,KHC,DUK,SO,KMB,BDX,MCD,LUMN,GIS,LHX,CL,LH,WM,AEP,AZO,K,EIX,OTIS,ORLY,D,TSCO,XEL,ED,BAX,DVA,CAG,DISCK,DISCA,SRE,DGX,DTE,FE,RSG,ETR,JBHT,HRL,PEG,AIZ,HII,CPB,ES,HSY,SJM,CLX,WEC,CMS,PPL,YUM,MKC,CCI,AEE,EA,CERN,EVRG,CHD,PRGO,NI,DPZ,DLR,IRM,CBOE,AWK,PSA,PNW,LNT,ATO,FGXXX,ARE,NLOK,SBAC,DTM WI,COG,MAA,EXR,DRE,CNC,IBM,ABT,KO,DHR,SHW,FOXA,TAP,HBI,EQIX,HAS,HOLX,SEE,CTXS,SUM
07/26/2021,5.35,5.0,4.71,5.13,4.92,4.81,4.62,3.76,3.18,3.14,2.83,2.73,2.36,1.85,1.77,1.68,1.64,1.76,1.5,1.56,1.59,1.31,1.3,1.21,1.02,0.95,1.0,1.0,0.94,0.89,0.89,0.76,0.73,0.71,0.72,0.65,0.65,0.68,0.6,0.6,0.59,0.56,0.53,0.5,0.48,0.52,0.5,0.48,0.42,0.43,0.43,0.42,0.41,0.4,0.38,0.38,0.39,0.4,0.4,0.38,0.39,0.36,0.36,0.34,0.34,0.33,0.32,0.32,0.34,0.31,0.29,0.28,0.28,0.25,0.25,0.21,0.2,0.23,0.2,0.2,0.19,0.2,0.18,0.17,0.16,0.16,0.15,0.14,0.14,0.15,0.13,0.12,0.12,0.11,0.11,0.1,0.08,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/27/2021,5.35,5.0,4.71,5.13,4.92,4.81,4.62,3.76,3.18,3.14,2.83,2.73,2.36,1.85,1.77,1.68,1.64,1.76,1.5,1.56,1.59,1.31,1.3,1.21,1.02,0.95,1.0,1.0,0.94,0.89,0.89,0.76,0.73,0.71,0.72,0.65,0.65,0.68,0.6,0.6,0.59,0.56,0.53,0.5,0.48,0.52,0.5,0.48,0.42,0.43,0.43,0.42,0.41,0.4,0.38,0.38,0.39,0.4,0.4,0.38,0.39,0.36,0.36,0.34,0.34,0.33,0.32,0.32,0.34,0.31,0.29,0.28,0.28,0.25,0.25,0.21,0.2,0.23,0.2,0.2,0.19,0.2,0.18,0.17,0.16,0.16,0.15,0.14,0.14,0.15,0.13,0.12,0.12,0.11,0.11,0.1,0.08,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/28/2021,5.4,5.0,4.7,5.05,5.0,4.77,4.57,3.8,3.19,3.16,2.81,2.74,2.33,1.86,1.78,1.68,1.63,1.77,1.49,1.57,1.54,1.3,1.31,1.2,1.03,0.93,1.0,1.02,0.94,0.88,0.89,0.76,0.72,0.72,0.74,0.63,0.65,0.67,0.61,0.6,0.59,0.56,0.53,0.49,0.48,0.52,0.51,0.47,0.43,0.44,0.44,0.42,0.4,0.39,0.37,0.37,0.38,0.41,0.4,0.39,0.39,0.36,0.37,0.34,0.35,0.33,0.32,0.32,0.35,0.31,0.29,0.29,0.28,0.25,0.24,0.22,0.2,0.22,0.2,0.2,0.19,0.2,0.18,0.17,0.16,0.17,0.15,0.14,0.14,0.15,0.13,0.12,0.12,0.11,0.11,0.1,0.08,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,5.4,5.01,4.71,5.04,4.98,4.75,4.57,3.8,3.19,3.14,2.82,2.74,2.26,1.85,1.78,1.69,1.63,1.78,1.49,1.56,1.55,1.29,1.32,1.2,1.04,0.96,1.0,1.02,0.93,0.89,0.89,0.76,0.72,0.71,0.74,0.65,0.65,0.67,0.61,0.6,0.59,0.57,0.53,0.49,0.47,0.52,0.51,0.47,0.43,0.44,0.44,0.42,0.4,0.39,0.39,0.38,0.39,0.41,0.4,0.39,0.39,0.37,0.37,0.34,0.35,0.33,0.32,0.32,0.34,0.31,0.29,0.29,0.29,0.25,0.25,0.22,0.2,0.22,0.2,0.2,0.19,0.2,0.18,0.17,0.16,0.17,0.15,0.14,0.14,0.15,0.13,0.13,0.12,0.11,0.11,0.1,0.08,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,5.4,5.01,4.71,5.04,4.98,4.75,4.57,3.8,3.19,3.14,2.82,2.74,2.26,1.85,1.78,1.69,1.63,1.78,1.49,1.56,1.55,1.29,1.32,1.2,1.04,0.96,1.0,1.02,0.93,0.89,0.89,0.76,0.72,0.71,0.74,0.65,0.65,0.67,0.61,0.6,0.59,0.57,0.53,0.49,0.47,0.52,0.51,0.47,0.43,0.44,0.44,0.42,0.4,0.39,0.39,0.38,0.39,0.41,0.4,0.39,0.39,0.37,0.37,0.34,0.35,0.33,0.32,0.32,0.34,0.31,0.29,0.29,0.29,0.25,0.25,0.22,0.2,0.22,0.2,0.2,0.19,0.2,0.18,0.17,0.16,0.17,0.15,0.14,0.14,0.15,0.13,0.13,0.12,0.11,0.11,0.1,0.08,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,5.4,4.99,4.69,5.08,5.01,4.79,4.57,3.76,3.2,2.96,2.8,2.73,2.29,1.87,1.8,1.69,1.63,1.85,1.5,1.58,1.54,1.3,1.32,1.19,1.04,0.95,0.98,1.03,0.95,0.87,0.9,0.77,0.72,0.73,0.73,0.63,0.64,0.67,0.61,0.6,0.58,0.58,0.53,0.49,0.48,0.52,0.5,0.48,0.42,0.44,0.44,0.43,0.4,0.38,0.38,0.38,0.39,0.41,0.41,0.38,0.39,0.37,0.36,0.34,0.35,0.33,0.32,0.31,0.35,0.3,0.29,0.28,0.29,0.26,0.25,0.22,0.2,0.22,0.21,0.2,0.19,0.2,0.18,0.17,0.16,0.17,0.15,0.14,0.13,0.15,0.13,0.13,0.13,0.12,0.11,0.1,0.08,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/03/2021,5.4,4.99,4.69,5.08,5.01,4.79,4.57,3.76,3.2,2.96,2.8,2.73,2.29,1.87,1.8,1.69,1.63,1.85,1.5,1.58,1.54,1.3,1.32,1.19,1.04,0.95,0.98,1.03,0.95,0.87,0.9,0.77,0.72,0.73,0.73,0.63,0.64,0.67,0.61,0.6,0.58,0.58,0.53,0.49,0.48,0.52,0.5,0.48,0.42,0.44,0.44,0.43,0.4,0.38,0.38,0.38,0.39,0.41,0.41,0.38,0.39,0.37,0.36,0.34,0.35,0.33,0.32,0.31,0.35,0.3,0.29,0.28,0.29,0.26,0.25,0.22,0.2,0.22,0.21,0.2,0.19,0.2,0.18,0.17,0.16,0.17,0.15,0.14,0.13,0.15,0.13,0.13,0.13,0.12,0.11,0.1,0.08,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/04/2021,5.4,4.99,4.69,5.08,5.01,4.79,4.57,3.76,3.2,2.96,2.8,2.73,2.29,1.87,1.8,1.69,1.63,1.85,1.5,1.58,1.54,1.3,1.32,1.19,1.04,0.95,0.98,1.03,0.95,0.87,0.9,0.77,0.72,0.73,0.73,0.63,0.64,0.67,0.61,0.6,0.58,0.58,0.53,0.49,0.48,0.52,0.5,0.48,0.42,0.44,0.44,0.43,0.4,0.38,0.38,0.38,0.39,0.41,0.41,0.38,0.39,0.37,0.36,0.34,0.35,0.33,0.32,0.31,0.35,0.3,0.29,0.28,0.29,0.26,0.25,0.22,0.2,0.22,0.21,0.2,0.19,0.2,0.18,0.17,0.16,0.17,0.15,0.14,0.13,0.15,0.13,0.13,0.13,0.12,0.11,0.1,0.08,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/05/2021,5.4,4.99,4.69,5.08,5.01,4.79,4.57,3.76,3.2,2.96,2.8,2.73,2.29,1.87,1.8,1.69,1.63,1.85,1.5,1.58,1.54,1.3,1.32,1.19,1.04,0.95,0.98,1.03,0.95,0.87,0.9,0.77,0.72,0.73,0.73,0.63,0.64,0.67,0.61,0.6,0.58,0.58,0.53,0.49,0.48,0.52,0.5,0.48,0.42,0.44,0.44,0.43,0.4,0.38,0.38,0.38,0.39,0.41,0.41,0.38,0.39,0.37,0.36,0.34,0.35,0.33,0.32,0.31,0.35,0.3,0.29,0.28,0.29,0.26,0.25,0.22,0.2,0.22,0.21,0.2,0.19,0.2,0.18,0.17,0.16,0.17,0.15,0.14,0.13,0.15,0.13,0.13,0.13,0.12,0.11,0.1,0.08,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/06/2021,5.49,4.99,4.66,5.34,5.04,4.76,4.51,3.78,3.2,2.75,2.86,2.7,2.24,1.81,1.71,1.67,1.65,1.92,1.48,1.58,1.56,1.3,1.33,1.19,1.04,0.87,0.97,1.06,0.94,0.86,0.9,0.76,0.71,0.72,0.71,0.62,0.64,0.67,0.57,0.63,0.59,0.58,0.54,0.49,0.47,0.53,0.5,0.47,0.42,0.43,0.44,0.38,0.41,0.37,0.36,0.36,0.38,0.42,0.39,0.38,0.4,0.36,0.37,0.33,0.35,0.33,0.31,0.31,0.35,0.31,0.29,0.25,0.29,0.26,0.24,0.24,0.2,0.22,0.21,0.19,0.2,0.2,0.18,0.17,0.16,0.17,0.15,0.14,0.14,0.16,0.13,0.12,0.13,0.11,0.45,0.1,0.08,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/09/2021,5.66,5.11,4.68,5.31,5.03,4.6,4.53,3.81,3.23,2.73,2.87,2.69,2.22,1.81,1.71,1.66,1.65,1.92,1.46,1.57,1.57,1.29,1.35,1.18,1.04,0.95,0.96,1.1,0.94,0.83,0.92,0.77,0.71,0.7,0.72,0.58,0.63,0.68,0.58,0.64,0.6,0.59,0.54,0.49,0.47,0.54,0.5,0.48,0.43,0.44,0.44,0.37,0.44,0.37,0.38,0.38,0.39,0.43,0.4,0.38,0.4,0.37,0.37,0.33,0.36,0.34,0.32,0.3,0.36,0.31,0.28,0.25,0.29,0.26,0.25,0.24,0.2,0.22,0.21,0.19,0.2,0.2,0.18,0.17,0.16,0.18,0.15,0.14,0.14,0.16,0.13,0.12,0.13,0.12,0.03,0.1,0.08,0.09,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/10/2021,5.66,5.11,4.68,5.31,5.03,4.6,4.53,3.81,3.23,2.73,2.87,2.69,2.22,1.81,1.71,1.66,1.65,1.92,1.46,1.57,1.57,1.29,1.35,1.18,1.04,0.95,0.96,1.1,0.94,0.83,0.92,0.77,0.71,0.7,0.72,0.58,0.63,0.68,0.58,0.64,0.6,0.59,0.54,0.49,0.47,0.54,0.5,0.48,0.43,0.44,0.44,0.37,0.44,0.37,0.38,0.38,0.39,0.43,0.4,0.38,0.4,0.37,0.37,0.33,0.36,0.34,0.32,0.3,0.36,0.31,0.28,0.25,0.29,0.26,0.25,0.24,0.2,0.22,0.21,0.19,0.2,0.2,0.18,0.17,0.16,0.18,0.15,0.14,0.14,0.16,0.13,0.12,0.13,0.12,0.03,0.1,0.08,0.09,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/11/2021,5.66,5.11,4.68,5.31,5.03,4.6,4.53,3.81,3.23,2.73,2.87,2.69,2.22,1.81,1.71,1.66,1.65,1.92,1.46,1.57,1.57,1.29,1.35,1.18,1.04,0.95,0.96,1.1,0.94,0.83,0.92,0.77,0.71,0.7,0.72,0.58,0.63,0.68,0.58,0.64,0.6,0.59,0.54,0.49,0.47,0.54,0.5,0.48,0.43,0.44,0.44,0.37,0.44,0.37,0.38,0.38,0.39,0.43,0.4,0.38,0.4,0.37,0.37,0.33,0.36,0.34,0.32,0.3,0.36,0.31,0.28,0.25,0.29,0.26,0.25,0.24,0.2,0.22,0.21,0.19,0.2,0.2,0.18,0.17,0.16,0.18,0.15,0.14,0.14,0.16,0.13,0.12,0.13,0.12,0.03,0.1,0.08,0.09,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/13/2021,5.61,5.18,4.66,5.38,4.87,4.74,4.51,3.82,3.2,2.69,2.84,2.67,2.21,1.79,1.68,1.72,1.65,2.03,1.65,1.54,1.56,1.3,1.35,1.18,1.04,0.92,0.95,1.12,0.93,0.83,0.9,0.77,0.71,0.68,0.7,0.58,0.63,0.68,0.57,0.64,0.58,0.58,0.53,0.5,0.47,0.53,0.49,0.48,0.43,0.44,0.45,0.37,0.44,0.38,0.38,0.38,0.39,0.43,0.4,0.38,0.39,0.38,0.37,0.33,0.35,0.34,0.32,0.3,0.35,0.31,0.28,0.25,0.29,0.26,0.25,0.24,0.2,0.22,0.21,0.19,0.19,0.2,0.18,0.18,0.16,0.17,0.15,0.15,0.14,0.16,0.13,0.12,0.13,0.11,0.03,0.1,0.08,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/16/2021,5.63,5.18,4.64,5.35,4.9,4.83,4.51,3.78,3.22,2.63,2.85,2.68,2.19,1.8,1.7,1.73,1.66,1.99,1.65,1.52,1.56,1.3,1.34,1.19,1.04,0.9,0.96,1.09,0.95,0.83,0.89,0.78,0.71,0.7,0.71,0.59,0.64,0.67,0.57,0.63,0.6,0.58,0.53,0.5,0.48,0.53,0.48,0.48,0.44,0.43,0.45,0.36,0.44,0.38,0.37,0.37,0.39,0.43,0.4,0.38,0.4,0.38,0.38,0.32,0.36,0.35,0.32,0.3,0.36,0.3,0.29,0.26,0.29,0.26,0.25,0.24,0.2,0.22,0.21,0.19,0.19,0.2,0.18,0.15,0.16,0.17,0.15,0.15,0.14,0.16,0.13,0.12,0.13,0.11,0.03,0.1,0.08,0.09,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/17/2021,5.63,5.18,4.64,5.35,4.9,4.83,4.51,3.78,3.22,2.63,2.85,2.68,2.19,1.8,1.7,1.73,1.66,1.99,1.65,1.52,1.56,1.3,1.34,1.19,1.04,0.9,0.96,1.09,0.95,0.83,0.89,0.78,0.71,0.7,0.71,0.59,0.64,0.67,0.57,0.63,0.6,0.58,0.53,0.5,0.48,0.53,0.48,0.48,0.44,0.43,0.45,0.36,0.44,0.38,0.37,0.37,0.39,0.43,0.4,0.38,0.4,0.38,0.38,0.32,0.36,0.35,0.32,0.3,0.36,0.3,0.29,0.26,0.29,0.26,0.25,0.24,0.2,0.22,0.21,0.19,0.19,0.2,0.18,0.15,0.16,0.17,0.15,0.15,0.14,0.16,0.13,0.12,0.13,0.11,0.03,0.1,0.08,0.09,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
