,1299.HK,388.HK,669.HK,16.HK,1.HK,823.HK,3.HK,27.HK,2.HK,11.HK,1113.HK,J36.SI,2388.HK,1997.HK,1928.HK,6.HK,66.HK,288.HK,17.HK,868.HK,12.HK,1821.HK,FUTU,H78.SI,1876.HK,6823.HK,83.HK,101.HK,1038.HK,MLCO,1972.HK,19.HK,2638.HK,1929.HK,1128.HK,23.HK,880.HK,HKD,XTSLA,UBFUT,MFSU1,MARGIN_HKD,USD,1308.HK,MFSZ1,SUM
08/11/2021,20.83,15.57,5.04,4.02,3.92,3.82,3.63,2.6,3.22,2.85,2.89,2.53,2.4,1.79,1.64,1.83,1.83,1.6,1.52,1.58,1.39,1.22,0.87,1.12,1.0,1.13,1.12,1.17,0.93,0.64,0.77,0.72,0.68,0.57,0.44,0.51,0.41,0.09,0.14,0.01,0.0,0.0,0.0,0.0,0.0,100.04
08/13/2021,21.14,15.2,5.01,3.96,3.9,3.77,3.57,2.68,3.22,2.87,2.84,2.51,2.43,1.84,1.65,1.82,1.83,1.63,1.52,1.58,1.4,1.25,0.9,1.11,1.03,1.16,1.14,1.16,0.92,0.64,0.77,0.72,0.68,0.58,0.44,0.52,0.42,0.09,0.14,0.01,0.0,0.0,0.0,0.0,0.0,100.05
08/16/2021,20.8,14.75,5.59,4.03,3.95,3.78,3.62,2.69,3.24,2.91,2.85,2.5,2.42,1.86,1.64,1.85,1.84,1.63,1.54,1.61,1.42,1.16,0.85,1.1,1.01,1.16,1.1,1.17,0.94,0.63,0.77,0.74,0.68,0.59,0.44,0.54,0.41,0.09,0.1,0.01,0.0,0.0,0.0,0.0,0.0,100.01
08/17/2021,21.02,14.74,5.71,3.97,3.91,3.78,3.63,2.67,3.24,2.87,2.87,2.49,2.41,1.85,1.58,1.84,1.86,1.67,1.53,1.55,1.43,1.13,0.83,1.09,1.0,1.16,1.09,1.15,0.93,0.61,0.77,0.79,0.68,0.58,0.42,0.53,0.41,0.15,0.1,0.01,0.0,0.0,0.0,0.0,0.0,100.05
08/19/2021,21.23,14.36,5.9,3.99,3.93,3.79,3.66,2.67,3.26,2.85,2.86,2.47,2.41,1.85,1.58,1.85,1.85,1.71,1.54,1.46,1.44,1.11,0.75,1.09,1.01,1.15,1.1,1.17,0.93,0.59,0.77,0.81,0.68,0.58,0.42,0.52,0.41,0.15,0.1,0.01,0.0,0.0,0.0,0.0,0.0,100.01
08/20/2021,21.94,13.97,5.94,3.98,3.92,3.8,3.64,2.59,3.25,2.85,2.85,2.47,2.39,1.84,1.51,1.84,1.85,1.71,1.53,1.46,1.42,1.11,0.74,1.08,0.99,1.15,1.08,1.15,0.92,0.58,0.8,0.82,0.67,0.58,0.41,0.52,0.41,0.16,0.1,0.01,0.0,0.0,0.0,0.0,0.0,100.03000000000002
08/23/2021,22.28,14.02,5.75,4.06,3.93,3.81,3.68,2.57,3.28,2.81,2.89,2.44,2.4,1.82,1.51,1.86,1.86,1.43,1.53,1.5,1.42,1.15,0.72,1.08,0.96,1.12,1.07,1.15,0.93,0.54,0.79,0.81,0.67,0.55,0.39,0.52,0.4,0.19,0.1,0.01,0.0,0.0,0.01,0.0,0.0,100.01
08/24/2021,22.05,13.89,5.66,4.16,3.92,3.91,3.74,2.46,3.34,2.85,2.88,2.5,2.41,1.82,1.43,1.88,1.88,1.52,1.55,1.45,1.43,1.2,0.76,1.08,0.94,1.13,1.09,1.12,0.94,0.54,0.8,0.81,0.68,0.54,0.38,0.55,0.39,0.2,0.09,0.02,0.0,0.0,0.01,0.0,0.0,100.0
08/25/2021,22.05,13.89,5.66,4.16,3.92,3.91,3.74,2.46,3.34,2.85,2.88,2.5,2.41,1.82,1.43,1.88,1.88,1.52,1.55,1.45,1.43,1.2,0.76,1.08,0.94,1.13,1.09,1.12,0.94,0.54,0.8,0.81,0.68,0.54,0.38,0.55,0.39,0.2,0.09,0.02,0.0,0.0,0.01,0.0,0.0,100.0
08/27/2021,21.67,14.44,5.75,4.07,3.87,3.78,3.58,2.6,3.25,2.78,2.79,2.48,2.35,1.79,1.52,1.85,1.83,1.55,1.52,1.58,1.4,1.19,0.86,1.09,0.93,1.11,1.11,1.1,0.93,0.62,0.78,0.79,0.67,0.56,0.42,0.51,0.42,0.33,0.09,0.02,0.0,0.0,0.01,0.0,0.0,99.99
09/02/2021,21.35,14.52,5.93,4.0,3.87,3.74,3.6,2.75,3.25,2.76,2.83,2.47,2.29,1.78,1.59,1.82,1.81,1.61,1.52,1.69,1.4,1.19,0.78,1.08,0.92,1.12,1.03,1.06,0.93,0.64,0.77,0.79,0.66,0.57,0.43,0.52,0.44,0.38,0.05,0.03,0.0,0.0,0.03,0.0,0.0,100.0
09/10/2021,21.64,14.76,5.98,3.83,3.54,3.66,3.55,2.8,3.18,2.68,2.64,2.46,2.27,1.9,1.66,1.75,1.78,1.34,1.48,1.6,1.37,1.18,0.93,1.2,0.93,1.13,1.01,1.03,0.71,0.71,0.72,0.78,0.66,0.63,0.46,0.0,0.46,0.54,0.19,0.04,0.0,0.0,0.0,0.84,0.0,100.02
09/28/2021,21.69,15.21,6.02,3.71,3.62,3.72,3.71,2.41,3.44,2.84,2.58,2.44,2.38,1.9,1.07,1.88,1.9,1.35,1.36,1.32,1.26,1.32,0.87,1.3,1.01,1.27,1.01,1.06,0.76,0.54,0.74,0.73,0.73,0.65,0.34,0.0,0.38,0.0,0.23,0.02,0.0,0.0,0.21,1.03,0.0,100.01
09/30/2021,21.84,15.22,5.9,3.68,3.61,3.69,3.72,2.33,3.45,2.87,2.62,2.44,2.41,1.92,1.03,1.89,1.89,1.35,1.39,1.32,1.27,1.32,0.87,1.34,1.03,1.26,1.03,1.07,0.77,0.57,0.75,0.73,0.73,0.66,0.33,0.0,0.36,0.0,0.23,0.02,0.0,0.0,0.2,0.89,0.0,100.0
10/01/2021,21.8,15.23,5.83,3.7,3.61,3.68,3.71,2.36,3.43,2.86,2.7,2.42,2.42,1.95,1.07,1.88,1.88,1.36,1.4,1.35,1.29,1.3,0.84,1.34,1.03,1.26,1.04,1.08,0.77,0.54,0.76,0.74,0.72,0.64,0.34,0.0,0.37,0.11,0.41,0.02,0.0,0.0,0.0,0.89,0.0,100.13
10/20/2021,21.63,14.91,5.78,3.89,3.65,3.83,3.54,2.35,3.37,3.11,2.78,2.63,2.59,2.16,1.14,1.82,1.85,1.22,1.5,1.22,1.39,1.27,0.57,1.38,1.0,1.22,1.06,1.09,0.75,0.59,0.79,0.79,0.71,0.76,0.35,0.0,0.38,0.05,0.23,0.01,0.0,0.0,-0.02,0.67,0.0,100.01
10/25/2021,21.84,14.77,5.69,3.89,3.65,3.76,3.55,2.46,3.34,3.03,2.78,2.66,2.55,2.11,1.18,1.84,1.85,1.23,1.48,1.23,1.37,1.3,0.68,1.39,1.0,1.23,1.05,1.09,0.78,0.6,0.8,0.8,0.71,0.7,0.37,0.0,0.39,0.07,0.13,0.01,0.0,0.0,-0.07,0.71,0.0,100.0
10/26/2021,21.73,14.71,5.73,3.89,3.62,3.78,3.55,2.48,3.34,3.04,2.8,2.67,2.54,2.11,1.18,1.84,1.85,1.23,1.49,1.27,1.38,1.3,0.67,1.41,0.99,1.23,1.05,1.09,0.78,0.58,0.8,0.8,0.71,0.69,0.38,0.0,0.4,0.07,0.09,0.01,0.0,0.0,-0.03,0.73,0.0,99.98000000000002
10/27/2021,21.73,14.71,5.73,3.89,3.62,3.78,3.55,2.48,3.34,3.04,2.8,2.67,2.54,2.11,1.18,1.84,1.85,1.23,1.49,1.27,1.38,1.3,0.67,1.41,0.99,1.23,1.05,1.09,0.78,0.58,0.8,0.8,0.71,0.69,0.38,0.0,0.4,0.07,0.09,0.01,0.0,0.0,-0.03,0.73,0.0,99.98000000000002
10/28/2021,22.01,14.77,5.83,3.85,3.61,3.77,3.56,2.43,3.32,3.03,2.76,2.63,2.53,2.11,1.15,1.82,1.83,1.26,1.48,1.24,1.37,1.33,0.69,1.38,0.95,1.22,1.04,1.08,0.77,0.58,0.78,0.79,0.71,0.68,0.37,0.0,0.39,0.07,0.09,0.01,0.0,0.0,-0.03,0.74,0.0,100.0
10/29/2021,21.82,14.69,5.98,3.83,3.6,3.75,3.58,2.47,3.33,3.04,2.78,2.61,2.54,2.14,1.2,1.83,1.83,1.25,1.47,1.23,1.36,1.35,0.63,1.43,0.99,1.23,1.03,1.09,0.77,0.58,0.78,0.78,0.71,0.65,0.37,0.0,0.41,0.07,0.09,0.01,0.0,0.0,-0.03,0.75,0.0,100.02
11/01/2021,21.78,14.34,5.91,3.86,3.61,3.84,3.61,2.44,3.37,3.06,2.81,2.66,2.51,2.16,1.21,1.87,1.85,1.27,1.48,1.23,1.37,1.35,0.55,1.47,1.06,1.23,1.05,1.11,0.79,0.58,0.79,0.78,0.72,0.65,0.37,0.0,0.4,0.07,0.09,0.01,0.0,0.0,-0.04,0.74,0.0,100.00999999999998
11/05/2021,21.55,14.29,5.95,3.87,3.61,3.81,3.69,2.44,3.42,3.1,2.82,2.79,2.55,2.09,1.19,1.9,1.87,1.31,1.48,1.15,1.38,1.38,0.52,1.5,1.09,1.23,0.95,1.09,0.81,0.58,0.77,0.77,0.72,0.65,0.36,0.0,0.39,0.09,0.13,0.01,0.0,0.0,-0.04,0.73,0.0,99.98999999999998
11/08/2021,21.08,14.42,5.92,3.92,3.59,3.85,3.66,2.46,3.42,3.11,2.86,2.72,2.57,2.17,1.17,1.92,1.89,1.32,1.48,1.16,1.37,1.4,0.55,1.53,1.09,1.25,0.97,1.07,0.81,0.56,0.78,0.78,0.73,0.71,0.37,0.0,0.38,0.09,0.13,0.01,0.0,0.0,-0.05,0.77,0.0,99.99
11/09/2021,21.14,14.41,5.91,3.93,3.59,3.83,3.65,2.47,3.4,3.11,2.83,2.81,2.52,2.18,1.16,1.9,1.9,1.32,1.48,1.12,1.4,1.41,0.54,1.55,1.09,1.25,0.97,1.07,0.81,0.6,0.77,0.78,0.72,0.7,0.36,0.0,0.39,0.09,0.13,0.01,0.0,0.0,-0.05,0.75,0.0,100.0
