,NIO,ENPH,TSLA,ALB,PLUG,XPEV,SEDG,RUN,CREE,ON,BEP.UN.TO,OLED,FSLR,AYI,LFUS,NEP,BLDP.TO,SPWR,POWI,HASI,ITRI,NOVA,AY,AEIS,ENS,DQ,ORA,BE,VICR,REGI,LTHM,FCEL,CSIQ,SQM,AMRC,CWEN,JKS,ARRY,TPIC,WKHS,BLNK,NIU,AZRE,MAXN,AMSC,CBAT,GPV.V,SOL,US Dollar,IEA,OIIM,LYTS,OESX,FLUX,018000.KQ,Flux Power Holdings Inc,n/a,688101.SS,688001.SS,ALGM,CHPT,MP,SHLS,STEM,LEV,FTCI,RMO,ADN,SUNW,WOLF,GPV.NE,SUM
07/23/2021,8.86,7.59,8.18,7.1,4.96,4.91,3.69,3.5,3.42,3.44,3.48,3.4,2.99,2.04,2.05,1.92,1.6,1.41,1.65,1.49,1.41,1.33,1.42,1.3,1.39,1.31,1.3,1.03,1.17,1.03,1.01,0.74,0.78,0.89,0.74,0.73,0.76,0.61,0.51,0.47,0.46,0.42,0.41,0.23,0.13,0.12,0.12,0.1,0.0,0.1,0.07,0.07,0.05,0.0,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02999999999996
07/26/2021,9.01,7.69,7.84,7.12,4.92,5.08,3.77,3.54,3.48,3.38,3.49,3.43,2.94,1.97,2.01,1.88,1.59,1.4,1.65,1.48,1.4,1.32,1.43,1.29,1.38,1.31,1.26,1.04,1.15,1.01,1.04,0.71,0.79,0.9,0.75,0.76,0.8,0.59,0.51,0.46,0.46,0.42,0.41,0.23,0.13,0.12,0.12,0.1,0.0,0.1,0.07,0.06,0.05,0.0,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/27/2021,8.75,7.8,7.91,7.16,4.91,4.9,3.7,3.48,3.55,3.49,3.57,3.54,2.97,2.01,2.07,1.9,1.58,1.38,1.73,1.51,1.45,1.31,1.46,1.31,1.4,1.16,1.3,1.05,1.15,1.0,1.03,0.7,0.79,0.87,0.72,0.77,0.76,0.58,0.47,0.45,0.45,0.41,0.37,0.22,0.13,0.12,0.12,0.09,0.0,0.1,0.08,0.07,0.05,0.0,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,8.75,7.8,7.91,7.16,4.91,4.9,3.7,3.48,3.55,3.49,3.57,3.54,2.97,2.01,2.07,1.9,1.58,1.38,1.73,1.51,1.45,1.31,1.46,1.31,1.4,1.16,1.3,1.05,1.15,1.0,1.03,0.7,0.79,0.87,0.72,0.77,0.76,0.58,0.47,0.45,0.45,0.41,0.37,0.22,0.13,0.12,0.12,0.09,0.0,0.1,0.08,0.07,0.05,0.0,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,8.62,7.75,8.11,7.35,4.97,4.89,3.67,3.45,3.55,3.53,3.52,3.46,2.92,2.06,2.08,1.91,1.57,1.38,1.73,1.49,1.45,1.28,1.44,1.3,1.39,1.11,1.29,1.03,1.21,1.0,1.04,0.7,0.77,0.88,0.73,0.77,0.72,0.56,0.46,0.47,0.47,0.4,0.37,0.22,0.13,0.11,0.13,0.09,0.0,0.1,0.07,0.07,0.05,0.0,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/30/2021,8.1,7.82,8.2,7.36,5.03,4.29,3.7,3.53,3.5,3.56,3.71,3.5,3.02,2.1,2.1,2.0,1.61,1.39,1.72,1.53,1.46,1.33,1.51,1.31,1.42,1.09,1.36,1.05,1.2,0.99,1.04,0.71,0.8,0.89,0.75,0.8,0.64,0.58,0.47,0.47,0.48,0.36,0.39,0.23,0.13,0.11,0.13,0.1,0.0,0.1,0.08,0.07,0.05,0.0,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
08/02/2021,8.3,7.79,8.15,7.47,4.88,4.46,3.81,3.54,3.43,3.63,3.6,3.61,2.94,2.03,2.16,1.94,1.58,1.4,1.7,1.49,1.46,1.36,1.47,1.3,1.39,1.14,1.3,1.03,1.2,0.97,1.04,0.68,0.81,0.88,0.75,0.78,0.7,0.57,0.46,0.48,0.47,0.36,0.4,0.23,0.13,0.1,0.12,0.1,0.0,0.1,0.08,0.07,0.05,0.0,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/03/2021,8.55,7.98,8.12,7.46,4.81,4.66,3.72,3.5,3.43,3.61,3.5,3.58,2.96,2.03,2.12,1.91,1.56,1.38,1.91,1.45,1.44,1.38,1.43,1.29,1.37,1.12,1.27,1.02,1.19,0.95,1.02,0.66,0.78,0.84,0.74,0.76,0.7,0.56,0.47,0.46,0.47,0.37,0.4,0.22,0.13,0.1,0.12,0.1,0.1,0.1,0.08,0.06,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/04/2021,8.55,7.98,8.12,7.46,4.81,4.66,3.72,3.5,3.43,3.61,3.5,3.58,2.96,2.03,2.12,1.91,1.56,1.38,1.91,1.45,1.44,1.38,1.43,1.29,1.37,1.12,1.27,1.02,1.19,0.95,1.02,0.66,0.78,0.84,0.74,0.76,0.7,0.56,0.47,0.46,0.47,0.37,0.4,0.22,0.13,0.1,0.12,0.1,0.1,0.1,0.08,0.06,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/05/2021,8.74,7.67,8.35,7.45,4.67,4.97,3.67,3.37,3.42,4.01,3.44,3.49,3.03,1.99,2.08,1.93,1.52,1.35,1.89,1.43,1.42,1.31,1.42,1.28,1.35,1.15,1.28,1.0,1.21,0.9,1.04,0.66,0.77,0.84,0.72,0.76,0.7,0.53,0.46,0.45,0.46,0.37,0.38,0.22,0.12,0.1,0.12,0.09,0.1,0.09,0.08,0.06,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,8.37,7.95,8.23,7.35,4.58,4.83,4.21,3.48,3.4,4.11,3.39,3.43,3.12,2.0,2.07,1.93,1.48,1.39,1.88,1.44,1.4,1.34,1.42,1.26,1.34,1.13,1.27,0.99,1.19,0.9,1.02,0.64,0.79,0.84,0.66,0.78,0.72,0.54,0.46,0.42,0.45,0.36,0.38,0.22,0.12,0.1,0.11,0.09,0.0,0.1,0.08,0.06,0.05,0.0,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/09/2021,8.61,7.62,8.34,7.81,4.52,4.85,4.05,3.49,3.52,4.08,3.46,3.52,3.11,2.01,2.05,1.96,1.45,1.3,1.93,1.44,1.04,1.33,1.38,1.13,1.33,1.09,1.26,0.99,1.23,0.94,1.05,0.64,0.77,0.86,0.69,0.79,0.71,0.56,0.47,0.42,0.48,0.35,0.38,0.21,0.11,0.1,0.12,0.09,0.0,0.1,0.08,0.06,0.05,0.0,0.05,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/10/2021,8.61,7.62,8.34,7.81,4.52,4.85,4.05,3.49,3.52,4.08,3.46,3.52,3.11,2.01,2.05,1.96,1.45,1.3,1.93,1.44,1.04,1.33,1.38,1.13,1.33,1.09,1.26,0.99,1.23,0.94,1.05,0.64,0.77,0.86,0.69,0.79,0.71,0.56,0.47,0.42,0.48,0.35,0.38,0.21,0.11,0.1,0.12,0.09,0.0,0.1,0.08,0.06,0.05,0.0,0.05,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/11/2021,8.36,7.54,8.24,8.18,4.55,4.72,4.21,3.18,3.53,4.16,3.45,3.18,3.2,2.06,2.09,1.95,1.49,1.3,1.95,1.47,1.12,1.3,1.39,1.17,1.35,1.09,1.23,1.01,1.25,0.92,1.15,0.66,0.78,0.88,0.69,0.81,0.71,0.56,0.49,0.4,0.46,0.34,0.39,0.22,0.11,0.1,0.11,0.09,0.0,0.1,0.08,0.06,0.05,0.0,0.05,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/13/2021,8.22,7.52,8.15,8.4,4.98,4.73,4.12,3.18,3.39,3.98,3.33,3.04,3.2,2.01,2.09,1.9,1.55,1.32,1.89,1.48,1.16,1.32,1.37,1.08,1.33,1.12,1.19,1.05,1.19,0.87,1.28,0.76,0.79,0.93,0.72,0.79,0.75,0.61,0.5,0.4,0.48,0.33,0.38,0.23,0.13,0.1,0.11,0.1,0.0,0.15,0.07,0.06,0.05,0.0,0.05,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/16/2021,8.04,7.54,8.44,8.47,4.6,4.67,4.12,3.26,3.35,3.96,3.41,3.02,3.3,2.08,2.17,1.93,1.5,1.32,1.9,1.49,1.19,1.33,1.39,1.07,1.29,1.06,1.23,1.03,1.22,0.85,1.34,0.69,0.8,0.93,0.73,0.81,0.68,0.7,0.5,0.39,0.46,0.32,0.38,0.22,0.12,0.1,0.1,0.09,0.0,0.15,0.08,0.06,0.05,0.0,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/17/2021,7.94,7.44,8.57,8.61,4.45,4.67,4.12,3.12,3.39,4.05,3.46,3.03,3.36,2.13,2.24,1.99,1.47,1.28,1.96,1.51,1.18,1.25,1.41,1.09,1.29,0.98,1.24,1.01,1.23,0.85,1.37,0.65,0.76,0.97,0.74,0.83,0.6,0.72,0.49,0.38,0.45,0.31,0.38,0.22,0.12,0.09,0.1,0.09,0.0,0.15,0.07,0.06,0.05,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/18/2021,7.94,7.44,8.57,8.6,4.45,4.67,4.12,3.12,3.39,4.05,3.46,3.03,3.36,2.13,2.24,1.98,1.47,1.28,1.96,1.51,1.18,1.25,1.41,1.09,1.29,0.98,1.24,1.01,1.23,0.84,1.37,0.65,0.76,0.97,0.74,0.83,0.6,0.72,0.49,0.38,0.45,0.31,0.38,0.22,0.12,0.09,0.1,0.09,0.0,0.15,0.07,0.06,0.05,0.0,0.06,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/19/2021,7.68,7.33,8.43,8.5,4.6,4.48,4.14,3.04,3.36,4.16,3.54,3.12,3.47,2.2,2.31,2.03,1.5,1.28,2.01,1.53,1.19,1.26,1.42,1.11,1.32,0.98,1.27,0.99,1.28,0.85,1.33,0.66,0.75,0.94,0.74,0.85,0.58,0.73,0.48,0.38,0.45,0.33,0.37,0.22,0.11,0.09,0.1,0.09,0.0,0.15,0.07,0.07,0.05,0.0,0.06,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/20/2021,7.73,7.29,8.34,8.3,4.83,4.62,4.07,3.05,3.38,4.11,3.58,3.19,3.41,2.22,2.31,2.05,1.51,1.26,2.02,1.54,1.2,1.22,1.46,1.09,1.31,0.98,1.29,1.01,1.29,0.85,1.27,0.66,0.71,0.92,0.72,0.86,0.56,0.76,0.47,0.4,0.44,0.37,0.34,0.21,0.11,0.09,0.1,0.09,0.0,0.15,0.07,0.07,0.05,0.0,0.06,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/23/2021,7.5,7.4,8.6,8.34,4.52,4.67,4.06,2.93,3.18,4.09,3.66,3.36,3.46,2.22,2.33,2.08,1.56,1.24,2.1,1.54,1.2,1.25,1.47,1.12,1.29,0.94,1.32,0.99,1.33,0.82,1.28,0.65,0.67,0.92,0.74,0.88,0.52,0.8,0.47,0.38,0.44,0.39,0.31,0.21,0.11,0.09,0.09,0.09,0.0,0.15,0.07,0.07,0.05,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/25/2021,7.49,7.4,8.53,8.43,4.53,4.72,4.1,2.95,3.24,4.06,3.69,3.29,3.45,2.22,2.31,2.07,1.52,1.24,2.08,1.54,1.19,1.25,1.46,1.09,1.26,0.94,1.29,0.99,1.32,0.77,1.34,0.64,0.67,0.93,0.75,0.87,0.55,0.82,0.48,0.38,0.44,0.38,0.3,0.23,0.11,0.09,0.09,0.09,0.0,0.15,0.08,0.07,0.04,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/26/2021,7.5,7.44,8.58,8.47,4.58,4.69,4.13,3.03,3.29,4.02,3.69,3.25,3.4,2.19,2.27,2.0,1.6,1.25,2.05,1.52,1.18,1.28,1.43,1.07,1.23,0.95,1.26,1.0,1.29,0.79,1.33,0.66,0.68,0.93,0.75,0.85,0.55,0.81,0.48,0.37,0.45,0.37,0.3,0.23,0.11,0.09,0.09,0.09,0.0,0.14,0.07,0.07,0.05,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/27/2021,7.58,7.4,8.52,8.43,4.63,4.74,4.07,2.98,3.29,4.09,3.67,3.23,3.31,2.19,2.25,1.98,1.64,1.24,2.07,1.51,1.2,1.27,1.41,1.1,1.23,0.97,1.25,1.01,1.3,0.8,1.3,0.67,0.71,0.91,0.75,0.84,0.58,0.79,0.49,0.39,0.45,0.39,0.3,0.24,0.11,0.09,0.09,0.09,0.0,0.15,0.08,0.07,0.05,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/30/2021,7.48,7.41,8.47,8.53,4.66,4.77,4.11,3.0,3.2,4.15,3.71,3.19,3.3,2.19,2.28,1.99,1.58,1.21,2.11,1.51,1.22,1.29,1.39,1.12,1.21,1.0,1.26,1.01,1.26,0.79,1.27,0.65,0.72,0.93,0.75,0.86,0.58,0.81,0.51,0.38,0.43,0.38,0.3,0.23,0.12,0.09,0.09,0.09,0.0,0.15,0.08,0.07,0.05,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/31/2021,7.31,7.4,8.45,8.6,4.71,4.65,4.19,2.95,3.23,4.22,3.65,3.21,3.27,2.19,2.28,1.94,1.58,1.21,2.14,1.51,1.26,1.31,1.38,1.14,1.21,1.03,1.27,1.01,1.27,0.8,1.31,0.66,0.72,0.92,0.75,0.85,0.58,0.8,0.51,0.38,0.43,0.37,0.3,0.23,0.11,0.09,0.09,0.09,0.0,0.15,0.08,0.07,0.05,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/01/2021,7.32,7.4,8.45,8.6,4.71,4.65,4.19,2.95,3.23,4.22,3.65,3.21,3.27,2.19,2.28,1.94,1.59,1.21,2.14,1.51,1.26,1.31,1.38,1.14,1.21,1.03,1.27,1.01,1.27,0.8,1.31,0.66,0.72,0.92,0.75,0.85,0.58,0.8,0.51,0.38,0.43,0.37,0.3,0.23,0.11,0.09,0.09,0.09,0.0,0.15,0.08,0.07,0.05,0.0,0.0,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/02/2021,7.23,7.47,8.63,8.57,4.6,4.68,4.23,2.95,3.16,4.17,3.63,3.18,3.29,2.14,2.29,1.95,1.59,1.2,2.16,1.54,1.24,1.33,1.34,1.12,1.19,1.21,1.27,1.01,1.26,0.76,1.31,0.65,0.73,0.92,0.74,0.84,0.63,0.78,0.47,0.39,0.42,0.37,0.3,0.24,0.11,0.09,0.09,0.09,0.0,0.15,0.08,0.07,0.04,0.0,0.0,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/03/2021,7.51,7.3,8.69,8.56,4.59,4.88,4.15,2.92,3.14,4.09,3.6,3.18,3.23,2.13,2.27,1.96,1.62,1.2,2.13,1.54,1.23,1.31,1.35,1.12,1.17,1.16,1.29,1.0,1.27,0.75,1.3,0.65,0.72,0.92,0.74,0.83,0.63,0.78,0.43,0.39,0.44,0.38,0.35,0.24,0.13,0.09,0.09,0.09,0.0,0.15,0.08,0.07,0.05,0.04,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/06/2021,7.6,7.32,8.52,8.69,4.71,4.61,4.11,3.08,3.16,4.12,3.63,3.13,3.21,2.05,2.22,2.01,1.6,1.22,2.13,1.52,1.2,1.33,1.36,1.1,1.17,1.2,1.29,1.01,1.29,0.72,1.32,0.66,0.72,0.94,0.76,0.83,0.66,0.78,0.43,0.37,0.45,0.4,0.34,0.24,0.12,0.09,0.09,0.09,0.0,0.15,0.08,0.07,0.04,0.0,0.0,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/07/2021,7.68,7.28,8.62,8.7,4.63,4.55,4.07,2.99,3.15,4.2,3.69,3.18,3.22,2.04,2.22,1.98,1.57,1.21,2.15,1.52,1.19,1.28,1.36,1.1,1.16,1.16,1.3,1.02,1.31,0.72,1.32,0.64,0.72,0.95,0.77,0.84,0.66,0.8,0.44,0.36,0.45,0.41,0.33,0.24,0.13,0.09,0.09,0.09,0.0,0.15,0.08,0.07,0.04,0.04,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/08/2021,7.68,7.28,8.62,8.7,4.63,4.55,4.07,2.99,3.15,4.2,3.69,3.18,3.22,2.04,2.22,1.98,1.57,1.21,2.15,1.52,1.19,1.28,1.36,1.1,1.16,1.16,1.3,1.02,1.31,0.72,1.32,0.64,0.72,0.95,0.77,0.84,0.66,0.8,0.44,0.36,0.45,0.41,0.33,0.24,0.13,0.09,0.09,0.09,0.0,0.15,0.08,0.07,0.04,0.04,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/09/2021,7.68,7.28,8.62,8.7,4.63,4.55,4.07,2.99,3.15,4.2,3.69,3.18,3.22,2.04,2.22,1.98,1.57,1.21,2.15,1.52,1.19,1.28,1.36,1.1,1.16,1.16,1.3,1.02,1.31,0.72,1.32,0.64,0.72,0.95,0.77,0.84,0.66,0.8,0.44,0.36,0.45,0.41,0.33,0.24,0.13,0.09,0.09,0.09,0.0,0.15,0.08,0.07,0.04,0.04,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/10/2021,7.73,7.06,8.86,8.6,4.7,4.78,3.97,2.99,3.13,4.19,3.66,3.12,3.24,2.0,2.18,1.96,1.63,1.22,2.13,1.49,1.19,1.29,1.36,1.11,1.14,1.2,1.3,1.0,1.3,0.72,1.35,0.62,0.72,0.93,0.77,0.83,0.66,0.81,0.44,0.36,0.44,0.42,0.35,0.24,0.13,0.08,0.09,0.09,0.0,0.15,0.08,0.07,0.04,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
