,DE,JPM,BAC,LRCX,TEL,SRE,AXP,CMCSA,EIX,BKNG,UNH,TRP.TO,BRK.B,JNJ,APD,DISH,ITW,SCHW,VRT,HON,JPMorgan 100% US Tr Sec MM Inst,OTIS,MSI,TMUS,UPS,AMT,CHTR,AMGN,HD,GOOGL,NXPI,PPG,MLM,COF,CSCO,PGR,MMC,TJX,QCOM,MSFT,n/a,JTSXX,SUM
07/23/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.73,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.0,99.99
07/26/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.73,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.0,99.99
07/27/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.73,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.0,99.99
07/28/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.73,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.0,99.99
07/29/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.73,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.0,99.99
07/30/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.73,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.0,99.99
08/02/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.73,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.0,99.99
08/03/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.73,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.0,99.99
08/04/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.73,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.0,99.99
08/05/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.73,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.0,99.99
08/06/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.73,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.0,99.99
08/09/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
08/10/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
08/11/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
08/13/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
08/16/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
08/17/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
08/18/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
08/19/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
08/20/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
08/23/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
08/24/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
08/25/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
08/26/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
08/27/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
08/30/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
08/31/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
09/01/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
09/02/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
09/03/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
09/06/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.73,0.0,99.99
09/07/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/08/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/09/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/10/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/13/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/14/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/15/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/16/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/17/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/20/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/21/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/22/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/23/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/24/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/27/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/28/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/29/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
09/30/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
10/01/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
10/04/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
10/05/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
10/06/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
10/07/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
10/08/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
10/11/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
10/12/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
10/13/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
10/14/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
10/15/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
10/18/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.0,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.73,99.99
10/19/2021,4.59,5.16,5.04,0.0,3.58,3.4,4.16,3.12,1.48,2.96,3.01,2.94,2.92,2.66,2.39,3.07,2.32,2.58,2.63,2.08,0.0,2.39,2.39,1.95,2.04,2.09,2.18,1.58,1.89,2.24,1.64,1.53,1.59,1.85,3.08,1.29,1.49,1.65,1.42,1.11,0.0,4.52,100.01
10/20/2021,4.59,5.16,5.04,0.0,3.58,3.4,4.16,3.12,1.48,2.96,3.01,2.94,2.92,2.66,2.39,3.07,2.32,2.58,2.63,2.08,0.0,2.39,2.39,1.95,2.04,2.09,2.18,1.58,1.89,2.24,1.64,1.53,1.59,1.85,3.08,1.29,1.49,1.65,1.42,1.11,0.0,4.52,100.01
10/21/2021,4.59,5.16,5.04,0.0,3.58,3.4,4.16,3.12,1.48,2.96,3.01,2.94,2.92,2.66,2.39,3.07,2.32,2.58,2.63,2.08,0.0,2.39,2.39,1.95,2.04,2.09,2.18,1.58,1.89,2.24,1.64,1.53,1.59,1.85,3.08,1.29,1.49,1.65,1.42,1.11,0.0,4.52,100.01
10/22/2021,4.59,5.16,5.04,0.0,3.58,3.4,4.16,3.12,1.48,2.96,3.01,2.94,2.92,2.66,2.39,3.07,2.32,2.58,2.63,2.08,0.0,2.39,2.39,1.95,2.04,2.09,2.18,1.58,1.89,2.24,1.64,1.53,1.59,1.85,3.08,1.29,1.49,1.65,1.42,1.11,0.0,4.52,100.01
