,SPCE,AXON,KTOS,MAXR,TDY,TDG,HXL,MRCY,TXT,HEI,LHX,NOC,LMT,GD,AJRD,RTX,BA,HWM,CW,HII,SPR,BWXT,PSN,AVAV,TGI,AIR,MOG.A,KAMN,PAE,ATRO,DCO,Vectrus Inc,NPK,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,VEC,4970.T,LWB.WA,GVMXX,SSIXX,n/a,ASTR,SUM
07/29/2021,3.42,4.54,4.09,3.79,4.12,3.86,3.78,3.88,3.91,3.72,3.97,3.75,3.73,3.93,3.75,3.8,3.58,3.61,3.58,3.64,3.37,3.53,3.36,3.26,2.59,2.05,1.46,1.1,0.78,0.58,0.55,0.46,0.42,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,3.39,4.51,4.05,3.69,4.1,3.85,3.73,3.85,3.95,3.73,4.02,3.8,3.8,3.99,3.72,3.91,3.54,3.64,3.57,3.64,3.37,3.52,3.36,3.3,2.55,2.04,1.46,1.09,0.77,0.57,0.54,0.0,0.42,0.0,0.0,0.46,0.04,0.0,0.0,0.0,0.0,0.0,99.97
08/02/2021,3.46,4.61,4.06,3.75,4.19,3.82,3.59,3.84,3.94,3.73,3.97,3.74,3.75,3.98,3.71,3.83,3.65,3.62,3.58,3.61,3.41,3.5,3.35,3.37,2.57,2.02,1.47,1.09,0.76,0.57,0.55,0.0,0.41,0.0,0.0,0.46,0.04,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,3.41,4.6,4.07,3.77,4.11,3.84,3.52,3.82,3.94,3.7,3.98,3.79,3.73,4.02,3.68,3.83,3.64,3.64,3.61,3.64,3.4,3.51,3.33,3.41,2.59,2.06,1.48,1.08,0.75,0.57,0.55,0.47,0.42,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,3.35,4.63,4.07,3.94,4.19,3.8,3.45,3.86,3.96,3.7,3.98,3.8,3.76,4.01,3.74,3.84,3.59,3.64,3.61,3.64,3.33,3.52,3.33,3.45,2.52,2.02,1.42,1.08,0.75,0.56,0.55,0.47,0.42,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/05/2021,3.56,4.73,4.05,3.87,4.19,3.77,3.5,3.82,4.0,3.66,3.97,3.79,3.73,4.01,3.74,3.83,3.58,3.63,3.62,3.61,3.33,3.49,3.32,3.47,2.51,1.98,1.39,1.06,0.75,0.56,0.56,0.47,0.41,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,3.51,4.66,4.06,3.84,4.2,3.74,3.52,3.72,4.11,3.62,4.06,3.81,3.73,4.04,3.73,3.88,3.63,3.66,3.68,3.62,3.33,3.38,3.23,3.47,2.6,1.98,1.4,1.06,0.73,0.54,0.55,0.47,0.41,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/10/2021,3.78,4.86,3.76,3.47,4.29,3.78,3.67,3.32,4.22,3.67,4.12,3.84,3.71,4.13,3.72,3.92,3.72,3.57,3.73,3.7,3.31,3.35,2.91,3.64,2.66,1.97,1.41,1.06,0.7,0.52,0.56,0.0,0.4,0.0,0.0,0.49,0.07,0.0,0.0,0.0,0.0,0.0,100.03
08/16/2021,2.96,4.74,3.79,3.56,4.31,3.71,3.75,3.19,4.35,3.69,4.13,3.88,3.71,4.16,3.59,3.96,3.85,3.69,3.77,3.75,3.4,3.47,3.12,3.61,2.63,1.99,1.42,1.08,0.69,0.47,0.58,0.0,0.41,0.0,0.0,0.51,0.07,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/17/2021,2.94,4.78,3.45,3.41,4.36,3.72,3.79,3.22,4.39,3.71,4.18,3.93,3.75,4.21,3.51,3.99,3.85,3.69,3.82,3.79,3.35,3.51,3.13,3.57,2.66,1.99,1.43,1.09,0.69,0.46,0.57,0.0,0.41,0.0,0.0,0.51,0.07,0.0,0.0,0.0,0.0,0.0,99.92999999999998
08/18/2021,2.94,4.78,3.45,3.41,4.36,3.72,3.79,3.22,4.39,3.71,4.18,3.93,3.75,4.21,3.51,3.99,3.85,3.69,3.82,3.79,3.35,3.51,3.13,3.57,2.66,1.99,1.43,1.09,0.69,0.46,0.57,0.0,0.41,0.0,0.0,0.51,0.07,0.0,0.0,0.0,0.0,0.0,99.92999999999998
08/24/2021,2.92,4.96,3.51,3.2,4.44,3.76,3.69,3.09,4.34,3.71,4.33,4.05,3.85,4.31,3.59,3.96,3.6,3.76,3.83,3.84,3.17,3.65,3.2,3.63,2.45,1.95,1.48,1.04,0.68,0.46,0.56,0.0,0.4,0.0,0.0,0.54,0.0,0.04,0.0,0.0,0.0,0.0,99.99
08/26/2021,4.94,4.24,4.1,4.17,3.72,3.69,3.8,3.73,3.79,3.67,3.65,3.65,3.68,3.71,3.68,3.62,3.65,3.68,3.49,3.6,3.5,3.42,3.26,3.29,2.64,2.1,1.47,1.18,0.72,0.55,0.54,0.0,0.43,0.0,0.0,0.48,0.0,0.0,0.18,0.17,0.0,0.0,100.19
08/30/2021,2.98,4.84,3.8,3.4,4.4,3.7,3.74,3.11,4.32,3.64,4.32,4.02,3.84,4.28,3.44,3.93,3.6,3.75,3.83,3.81,3.22,3.69,3.27,3.63,2.47,1.96,1.46,1.0,0.58,0.46,0.55,0.0,0.39,0.0,0.0,0.53,0.0,0.04,0.0,0.0,0.0,0.0,100.0
08/31/2021,3.01,4.81,3.82,3.52,4.38,3.73,3.83,3.08,4.32,3.61,4.21,3.94,3.78,4.23,3.39,3.9,3.63,3.76,3.88,3.79,3.26,3.63,3.22,3.65,2.55,2.01,1.47,1.02,0.57,0.47,0.56,0.0,0.39,0.0,0.0,0.53,0.0,0.04,0.0,0.0,0.0,0.0,99.99
09/07/2021,2.84,4.82,3.81,3.64,4.35,3.74,3.75,3.05,4.36,3.57,4.26,4.01,3.77,4.34,3.6,3.87,3.62,3.64,3.8,3.78,3.19,3.69,3.22,3.72,2.53,1.99,1.5,0.97,0.57,0.47,0.54,0.0,0.39,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.05,0.0,100.0
09/08/2021,2.84,4.82,3.81,3.64,4.35,3.74,3.75,3.05,4.36,3.57,4.26,4.01,3.77,4.34,3.6,3.87,3.62,3.64,3.8,3.78,3.19,3.69,3.22,3.72,2.53,1.99,1.5,0.97,0.57,0.47,0.54,0.0,0.39,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.05,0.0,100.0
09/09/2021,2.84,4.82,3.81,3.64,4.35,3.74,3.75,3.05,4.36,3.57,4.26,4.01,3.77,4.34,3.6,3.87,3.62,3.64,3.8,3.78,3.19,3.69,3.22,3.72,2.53,1.99,1.5,0.97,0.57,0.47,0.54,0.0,0.39,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.05,0.0,100.0
09/10/2021,2.91,4.82,3.81,3.6,4.34,3.71,3.77,3.01,4.33,3.57,4.27,3.97,3.74,4.39,3.62,3.88,3.6,3.67,3.77,3.74,3.23,3.72,3.19,3.73,2.55,2.01,1.5,0.96,0.57,0.47,0.55,0.0,0.39,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.05,0.0,99.98
09/13/2021,3.06,4.81,3.73,3.59,4.35,3.78,3.66,2.99,4.36,3.65,4.34,3.98,3.76,4.45,3.64,3.94,3.62,3.74,3.77,3.77,3.19,3.71,3.26,3.35,2.48,1.98,1.49,0.95,0.57,0.46,0.55,0.0,0.39,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.08,0.0,100.0
09/14/2021,3.02,4.82,3.66,3.59,4.31,3.82,3.79,2.95,4.35,3.66,4.38,3.98,3.76,4.44,3.61,3.94,3.59,3.72,3.73,3.78,3.17,3.72,3.24,3.45,2.47,1.95,1.49,0.95,0.57,0.47,0.56,0.0,0.38,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.11,0.0,99.97
09/21/2021,3.2,4.65,3.67,3.55,4.24,3.91,3.99,2.91,4.25,3.77,4.23,3.97,3.74,4.33,3.56,3.99,3.67,3.72,4.08,3.75,3.28,3.66,3.22,3.19,2.52,1.95,1.51,0.93,0.54,0.45,0.57,0.0,0.39,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.11,0.0,100.04
09/28/2021,4.16,4.17,3.76,4.0,0.0,4.49,4.51,3.28,4.21,4.52,4.03,4.19,4.22,4.09,4.2,4.39,4.4,4.22,3.47,4.12,4.66,3.41,2.42,2.03,2.38,2.03,1.39,0.9,0.57,0.64,0.37,0.0,0.22,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.1,0.0,100.03
09/29/2021,4.16,4.17,3.76,4.0,0.0,4.49,4.51,3.28,4.21,4.52,4.03,4.19,4.22,4.09,4.2,4.39,4.4,4.22,3.47,4.12,4.66,3.41,2.42,2.03,2.38,2.03,1.39,0.9,0.57,0.64,0.37,0.0,0.22,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.1,0.0,100.03
09/30/2021,4.08,4.09,3.78,4.05,0.0,4.44,4.6,3.32,4.23,4.51,3.96,4.14,4.2,4.03,4.17,4.32,4.38,4.34,3.48,4.08,4.76,3.38,2.44,2.04,2.48,1.97,1.39,0.92,0.59,0.64,0.37,0.0,0.22,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.09,0.0,99.98000000000002
10/01/2021,3.88,4.12,3.7,3.94,0.0,4.44,4.57,3.34,4.28,4.49,4.0,4.22,4.25,4.08,4.22,4.37,4.34,4.33,3.48,4.14,4.72,3.38,2.46,2.07,2.46,1.99,1.39,0.92,0.59,0.65,0.37,0.0,0.22,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.1,0.0,100.0
10/04/2021,4.22,4.09,3.7,3.87,0.0,4.37,4.49,3.34,4.16,4.45,3.99,4.27,4.19,4.08,4.32,4.35,4.39,4.2,3.52,4.09,4.87,3.33,2.42,2.09,2.46,2.01,1.39,0.93,0.6,0.64,0.37,0.0,0.22,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.1,0.0,100.01
10/05/2021,3.91,4.1,3.68,3.87,0.0,4.49,4.52,3.32,4.15,4.49,3.91,4.2,4.15,4.06,4.14,4.35,4.44,4.29,3.51,4.04,4.96,3.35,2.43,2.07,2.71,2.05,1.4,0.94,0.6,0.67,0.37,0.0,0.22,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,99.99
10/06/2021,3.91,4.1,3.68,3.87,0.0,4.49,4.52,3.32,4.15,4.49,3.91,4.2,4.15,4.06,4.14,4.35,4.44,4.29,3.51,4.04,4.96,3.35,2.43,2.07,2.71,2.05,1.4,0.94,0.6,0.67,0.37,0.0,0.22,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,99.99
10/07/2021,3.75,3.84,3.63,3.84,0.0,4.46,4.65,3.32,4.12,4.48,3.92,4.29,4.15,4.07,4.18,4.39,4.42,4.24,3.56,4.09,5.09,3.42,2.44,2.06,2.69,2.07,1.42,0.95,0.62,0.65,0.37,0.0,0.22,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.1,0.0,99.99
10/08/2021,3.71,3.81,3.64,3.73,0.0,4.46,4.68,3.32,4.15,4.5,3.98,4.33,4.17,4.08,4.05,4.43,4.43,4.27,3.59,4.08,5.09,3.48,2.42,2.04,2.69,2.08,1.42,0.98,0.6,0.64,0.37,0.0,0.22,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.1,0.0,100.03
10/11/2021,3.77,3.84,3.58,3.73,0.0,4.41,4.58,3.3,4.24,4.45,4.07,4.41,4.15,4.09,4.12,4.44,4.4,4.2,3.58,4.18,5.12,3.49,2.43,2.05,2.58,2.05,1.4,0.97,0.6,0.63,0.36,0.0,0.21,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.1,0.0,100.01
10/12/2021,3.76,3.74,3.59,3.77,0.0,4.39,4.55,3.34,4.17,4.43,4.11,4.5,4.18,4.1,4.19,4.46,4.4,4.14,3.61,4.26,5.08,3.48,2.43,2.04,2.53,2.03,1.4,0.97,0.58,0.62,0.37,0.0,0.21,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.1,0.0,100.01
10/13/2021,3.76,3.74,3.59,3.77,0.0,4.39,4.55,3.34,4.17,4.43,4.11,4.5,4.18,4.1,4.19,4.46,4.4,4.14,3.61,4.26,5.08,3.48,2.43,2.04,2.53,2.03,1.4,0.97,0.58,0.62,0.37,0.0,0.21,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.1,0.0,100.01
10/14/2021,3.77,3.81,3.62,3.77,0.0,4.34,4.58,3.31,4.12,4.43,4.15,4.54,4.22,4.11,4.19,4.43,4.4,4.11,3.51,4.35,5.09,3.5,2.4,2.07,2.5,1.99,1.4,0.94,0.58,0.61,0.36,0.0,0.21,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.1,0.0,99.99
10/18/2021,3.89,4.05,3.65,4.0,0.0,4.31,4.48,3.45,4.22,4.53,4.15,4.48,4.25,4.14,4.19,4.37,4.2,4.02,3.53,4.28,4.71,3.41,2.45,2.1,2.49,1.98,1.42,0.95,0.58,0.61,0.35,0.0,0.21,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.08,0.0,100.0
10/19/2021,3.24,4.03,3.62,3.92,0.0,4.34,4.49,3.42,4.27,4.58,4.2,4.54,4.3,4.2,4.22,4.46,4.2,4.08,3.55,4.32,4.72,3.39,2.51,2.11,2.58,2.03,1.41,0.96,0.57,0.63,0.35,0.0,0.21,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.08,0.0,100.0
10/20/2021,3.24,4.03,3.62,3.92,0.0,4.34,4.49,3.42,4.27,4.58,4.2,4.54,4.3,4.2,4.22,4.46,4.2,4.08,3.55,4.32,4.72,3.39,2.51,2.11,2.58,2.03,1.41,0.96,0.57,0.63,0.35,0.0,0.21,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.08,0.0,100.0
10/21/2021,3.21,4.14,3.6,3.85,0.0,4.37,4.43,3.43,4.25,4.65,4.22,4.56,4.32,4.2,4.24,4.48,4.23,4.05,3.59,4.29,4.62,3.42,2.49,2.14,2.56,2.0,1.41,0.95,0.57,0.61,0.34,0.0,0.21,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.08,0.0,99.98
10/22/2021,3.21,4.19,3.66,3.91,0.0,4.39,4.29,3.59,4.23,4.59,4.25,4.58,4.36,4.21,4.22,4.47,4.18,4.02,3.53,4.3,4.61,3.4,2.48,2.17,2.53,2.0,1.4,0.94,0.58,0.61,0.35,0.0,0.21,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.08,0.0,100.01
10/26/2021,3.24,4.16,3.63,3.94,0.0,4.39,4.17,3.62,4.3,4.57,4.23,4.6,4.37,4.18,4.23,4.47,4.13,3.98,3.55,4.31,4.59,3.47,2.52,2.17,2.56,2.02,1.4,0.95,0.57,0.6,0.35,0.0,0.21,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.08,0.0,100.02
10/27/2021,3.17,4.12,3.6,3.87,0.0,4.38,4.22,3.58,4.29,4.58,4.28,4.65,4.39,4.21,4.24,4.49,4.11,3.96,3.56,4.35,4.6,3.47,2.51,2.12,2.56,2.09,1.39,0.94,0.58,0.59,0.34,0.0,0.21,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.08,0.0,100.0
10/28/2021,3.23,4.05,3.58,3.89,0.0,4.3,4.15,3.63,4.27,4.56,4.27,4.65,4.41,4.18,4.19,4.46,4.1,3.94,3.59,4.34,4.51,3.48,2.49,2.15,2.53,2.06,1.4,0.94,0.96,0.58,0.33,0.0,0.21,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.08,0.0,99.97
11/02/2021,3.13,4.2,3.55,3.63,0.0,4.37,4.28,3.63,4.4,4.7,4.18,4.23,4.03,4.22,4.36,4.5,4.13,3.99,3.56,4.29,4.55,3.51,2.48,2.16,2.7,2.19,1.37,0.93,1.0,0.59,0.36,0.0,0.22,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.08,0.0,99.99
11/03/2021,3.13,4.2,3.55,3.63,0.0,4.37,4.28,3.63,4.4,4.7,4.18,4.23,4.03,4.22,4.36,4.5,4.13,3.99,3.56,4.29,4.55,3.51,2.48,2.16,2.7,2.19,1.37,0.93,1.0,0.59,0.36,0.0,0.22,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.08,0.0,99.99
11/05/2021,3.25,4.21,3.74,3.54,0.0,4.38,4.41,3.6,4.45,4.64,3.93,4.16,3.93,4.17,4.38,4.41,4.22,4.1,3.56,4.21,4.64,3.27,2.46,2.23,2.81,2.22,1.37,0.94,1.0,0.6,0.37,0.0,0.22,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.09,0.0,99.98
11/08/2021,3.22,4.24,3.5,4.28,0.0,4.33,4.31,3.6,4.45,4.63,3.96,4.16,4.0,4.06,4.4,4.38,4.18,4.1,3.59,3.98,4.35,3.31,2.53,2.24,2.82,2.25,1.4,1.0,0.98,0.61,0.37,0.0,0.22,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.09,0.0,100.02
11/09/2021,3.09,4.05,3.52,4.15,0.0,4.42,4.47,3.47,4.37,4.66,3.85,4.1,3.91,3.97,4.31,4.38,4.25,4.26,3.6,3.9,4.76,3.24,2.51,2.18,3.04,2.32,1.44,1.02,0.95,0.63,0.38,0.0,0.22,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.09,0.0,100.0
11/10/2021,3.09,4.05,3.52,4.15,0.0,4.42,4.47,3.47,4.37,4.66,3.85,4.1,3.91,3.97,4.31,4.38,4.25,4.26,3.6,3.9,4.76,3.24,2.51,2.18,3.04,2.32,1.44,1.02,0.95,0.63,0.38,0.0,0.22,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.09,0.0,100.0
11/24/2021,2.89,4.26,3.36,4.1,0.0,4.43,4.49,3.48,4.5,4.92,4.0,4.2,4.16,4.1,4.26,4.33,4.29,4.07,3.7,3.92,4.63,3.19,2.55,2.15,2.67,2.26,1.38,0.99,1.01,0.58,0.34,0.0,0.23,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.09,0.0,100.0
11/25/2021,2.84,4.22,3.35,4.06,0.0,4.4,4.43,3.51,4.55,4.88,4.02,4.3,4.18,4.14,4.29,4.38,4.18,4.06,3.68,4.03,4.57,3.18,2.53,2.13,2.69,2.28,1.38,1.02,1.0,0.58,0.34,0.0,0.23,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.09,0.0,99.98
11/26/2021,2.8,4.06,3.37,4.06,0.0,4.37,4.46,3.48,4.52,4.88,4.01,4.31,4.18,4.16,4.3,4.41,4.17,4.13,3.74,4.0,4.71,3.16,2.55,2.07,2.72,2.28,1.39,1.02,1.0,0.57,0.34,0.0,0.23,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.09,0.0,100.0
11/29/2021,2.84,4.19,3.43,4.03,0.0,4.31,4.44,3.5,4.47,4.92,3.96,4.27,4.16,4.13,4.35,4.4,4.19,4.12,3.75,3.94,4.78,3.12,2.52,2.08,2.71,2.31,1.37,1.05,1.0,0.56,0.35,0.0,0.22,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.09,0.0,100.01
11/30/2021,2.92,4.32,3.48,3.93,0.0,4.11,4.2,3.55,4.52,4.86,4.08,4.39,4.35,4.21,4.48,4.39,4.16,4.04,3.74,4.06,4.59,3.19,2.56,2.1,2.44,2.22,1.36,1.04,1.05,0.55,0.34,0.0,0.23,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.09,0.0,100.01
12/01/2021,2.92,4.32,3.48,3.93,0.0,4.11,4.2,3.55,4.52,4.86,4.08,4.39,4.35,4.21,4.48,4.39,4.16,4.04,3.74,4.06,4.59,3.19,2.56,2.1,2.44,2.22,1.36,1.04,1.05,0.55,0.34,0.0,0.23,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.09,0.0,100.01
12/02/2021,2.84,4.39,3.47,4.04,0.0,4.28,4.19,3.65,4.53,4.95,4.07,4.42,4.33,4.23,4.42,4.39,4.14,4.01,3.76,4.03,4.45,3.14,2.54,2.09,2.4,2.21,1.37,1.01,1.05,0.51,0.34,0.0,0.23,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.09,0.0,100.01
12/06/2021,2.72,4.22,3.64,3.93,0.0,4.25,4.06,3.7,4.51,4.93,4.12,4.5,4.37,4.32,4.61,4.38,4.12,4.04,3.78,4.1,4.25,3.18,2.58,2.09,2.26,2.17,1.35,1.09,1.1,0.51,0.34,0.0,0.24,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.1,0.0,100.0
12/07/2021,2.72,4.22,3.64,3.93,0.0,4.25,4.06,3.7,4.51,4.93,4.12,4.5,4.37,4.32,4.61,4.38,4.12,4.04,3.78,4.1,4.25,3.18,2.58,2.09,2.26,2.17,1.35,1.09,1.1,0.51,0.34,0.0,0.24,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.1,0.0,100.0
12/08/2021,2.72,4.22,3.64,3.93,0.0,4.25,4.06,3.7,4.51,4.93,4.12,4.5,4.37,4.32,4.61,4.38,4.12,4.04,3.78,4.1,4.25,3.18,2.58,2.09,2.26,2.17,1.35,1.09,1.1,0.51,0.34,0.0,0.24,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.1,0.0,100.0
12/09/2021,2.72,4.22,3.64,3.93,0.0,4.25,4.06,3.7,4.51,4.93,4.12,4.5,4.37,4.32,4.61,4.38,4.12,4.04,3.78,4.1,4.25,3.18,2.58,2.09,2.26,2.17,1.35,1.09,1.1,0.51,0.34,0.0,0.24,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.1,0.0,100.0
12/10/2021,2.72,4.22,3.64,3.93,0.0,4.25,4.06,3.7,4.51,4.93,4.12,4.5,4.37,4.32,4.61,4.38,4.12,4.04,3.78,4.1,4.25,3.18,2.58,2.09,2.26,2.17,1.35,1.09,1.1,0.51,0.34,0.0,0.24,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.1,0.0,100.0
