,ENPH,006400.KS,968.HK,VWS.CO,SGRE.MC,FSLR,SEDG,PLUG,JMAT.L,009830.KS,VAR1.DE,BLDP,3800.HK,SPWR,DQ,QS,BE,ITM.L,257.HK,NEL.OL,SHLS,112610.KS,336260.KS,FCEL,CSIQ,CWR.L,JKS,NDX1.DE,6121 TT,LAND.SW,ALFEN.AS,S92.DE,ARRY,AMRC,TPIC,6865 HK,PCELL.ST,2208 HK,MAXN,1072 HK,CASH,NDXB GR,n/a,968 HK,VWS DC,006400 KS,SGRE SM,JMAT LN,009830 KS,VAR1 GR,3800 HK,257 HK,ITM LN,NDX1 GR,336260 KS,CWR LN,112610 KS,NEL NO,ALFEN NA,LAND SW,S92 GR,PCELL SS,NVX.AX,MBTN.SW,AERI3.SA,SUM
07/23/2021,7.56,7.64,7.68,6.8,5.24,4.76,4.52,4.05,4.32,3.83,3.52,2.54,2.59,2.23,2.48,2.19,1.64,1.6,1.78,1.53,1.31,1.73,1.57,1.19,1.24,1.13,1.38,1.62,1.34,1.18,1.03,0.94,0.98,1.07,0.82,1.07,0.61,0.62,0.29,0.28,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/26/2021,7.6,7.46,7.72,7.17,5.39,4.66,4.58,3.98,4.27,3.75,3.51,2.5,2.5,2.19,2.46,2.11,1.66,1.62,1.75,1.6,1.36,1.68,1.53,1.14,1.25,1.16,1.45,1.64,1.32,1.15,1.08,0.95,0.94,1.09,0.81,1.07,0.61,0.62,0.28,0.29,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,7.6,7.46,7.72,7.17,5.39,4.66,4.58,3.98,4.27,3.75,3.51,2.5,2.5,2.19,2.46,2.11,1.66,1.62,1.75,1.6,1.36,1.68,1.53,1.14,1.25,1.16,1.45,1.64,1.32,1.15,1.08,0.95,0.94,1.09,0.81,1.07,0.61,0.62,0.28,0.29,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,7.72,7.64,7.57,7.01,5.39,4.66,4.5,4.06,4.39,3.8,3.7,2.5,2.59,2.18,2.11,2.09,1.65,1.6,1.8,1.54,1.37,1.64,1.5,1.13,1.23,1.18,1.31,1.64,1.38,1.19,1.22,0.96,0.9,1.06,0.74,1.1,0.61,0.66,0.28,0.3,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,7.67,8.03,7.29,6.95,5.36,4.73,4.46,4.04,4.44,3.88,3.7,2.52,2.64,2.15,2.04,2.01,1.65,1.62,1.77,1.56,1.41,1.68,1.53,1.13,1.26,1.22,1.15,1.63,1.41,1.19,1.21,0.95,0.92,1.07,0.74,0.98,0.6,0.71,0.28,0.3,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/02/2021,7.81,7.84,7.37,6.82,5.47,4.71,4.7,4.0,4.23,3.66,3.63,2.52,2.54,2.22,2.18,2.06,1.66,1.65,1.75,1.51,1.42,1.64,1.51,1.1,1.29,1.3,1.27,1.64,1.33,1.22,1.18,0.97,0.92,1.09,0.74,1.02,0.6,0.71,0.29,0.3,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/03/2021,7.81,7.84,7.37,6.82,5.47,4.71,4.7,4.0,4.23,3.66,3.63,2.52,2.54,2.22,2.18,2.06,1.66,1.65,1.75,1.51,1.42,1.64,1.51,1.1,1.29,1.3,1.27,1.64,1.33,1.22,1.18,0.97,0.92,1.09,0.74,1.02,0.6,0.71,0.29,0.3,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/04/2021,8.1,7.54,7.58,6.81,5.44,4.82,4.65,4.0,4.23,3.45,3.69,2.53,2.52,2.22,2.17,2.07,1.67,1.67,1.76,1.48,1.44,1.6,1.48,1.08,1.27,1.28,1.29,1.62,1.34,1.21,1.16,0.96,0.91,1.1,0.76,1.06,0.6,0.77,0.28,0.31,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/05/2021,7.77,7.54,7.85,6.91,5.58,4.91,4.58,3.87,4.18,3.36,3.8,2.46,2.49,2.15,2.22,2.08,1.62,1.69,1.79,1.49,1.41,1.55,1.47,1.08,1.25,1.28,1.3,1.63,1.33,1.22,1.18,0.97,0.87,1.06,0.74,1.21,0.61,0.79,0.28,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/06/2021,8.02,7.43,8.34,6.85,5.36,5.03,5.23,3.78,4.13,3.31,3.69,2.38,2.45,2.21,2.17,1.92,1.59,1.65,1.78,1.43,1.47,1.5,1.43,1.03,1.28,1.25,1.33,1.56,1.31,1.19,1.19,0.96,0.88,0.97,0.74,1.1,0.58,0.76,0.28,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/10/2021,7.65,7.7,8.5,7.05,5.44,5.01,5.01,3.72,4.1,3.39,3.94,2.33,2.45,2.06,2.09,1.94,1.59,1.51,1.82,1.22,1.51,1.52,1.46,1.03,1.24,1.21,1.3,1.59,1.32,1.18,1.2,0.99,0.9,1.02,0.76,1.25,0.53,0.76,0.26,0.33,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/11/2021,7.48,7.75,8.22,7.08,5.51,5.08,5.15,3.7,4.06,3.4,3.92,2.36,2.47,2.04,2.07,1.94,1.61,1.54,1.82,1.27,1.58,1.53,1.48,1.05,1.23,1.26,1.29,1.59,1.32,1.12,1.18,0.99,0.89,1.01,0.78,1.22,0.54,0.75,0.27,0.33,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/13/2021,7.49,7.76,7.76,6.85,5.4,5.1,5.06,4.06,4.05,3.35,3.88,2.46,2.46,2.08,2.12,2.08,1.68,1.58,1.81,1.28,1.56,1.47,1.45,1.23,1.27,1.28,1.36,1.61,1.25,1.08,1.21,0.98,0.97,1.05,0.8,1.14,0.55,0.7,0.28,0.32,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/16/2021,7.57,8.04,7.62,6.63,5.43,5.3,5.09,3.78,4.25,3.38,3.71,2.41,2.47,2.09,2.02,1.99,1.66,1.58,2.02,1.26,1.61,1.54,1.44,1.12,1.29,1.31,1.25,1.57,1.19,1.11,1.2,0.93,1.14,1.06,0.8,1.03,0.54,0.71,0.27,0.35,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/17/2021,7.57,8.04,7.62,6.63,5.43,5.3,5.09,3.78,4.25,3.38,3.71,2.41,2.47,2.09,2.02,1.99,1.66,1.58,2.02,1.26,1.61,1.54,1.44,1.12,1.29,1.31,1.25,1.57,1.19,1.11,1.2,0.93,1.14,1.06,0.8,1.03,0.54,0.71,0.27,0.35,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/18/2021,7.44,8.14,7.71,7.03,5.62,5.38,5.07,3.64,4.31,3.34,3.4,2.35,2.54,2.03,1.87,1.96,1.61,1.58,2.31,1.28,1.63,1.52,1.43,1.04,1.21,1.3,1.09,1.56,1.17,1.14,1.21,0.91,1.16,1.08,0.79,1.02,0.56,0.72,0.27,0.35,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/19/2021,7.27,8.31,7.4,7.17,5.74,5.5,5.06,3.74,4.34,3.41,3.2,2.38,2.59,2.0,1.85,1.9,1.57,1.6,2.32,1.25,1.5,1.55,1.46,1.05,1.19,1.31,1.06,1.55,1.16,1.17,1.23,0.92,1.17,1.07,0.76,0.99,0.55,0.71,0.28,0.36,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/20/2021,7.24,8.19,7.42,7.17,5.8,5.42,4.98,3.93,4.3,3.34,3.42,2.39,2.67,1.97,1.85,1.9,1.61,1.64,2.33,1.21,1.5,1.49,1.41,1.05,1.14,1.33,1.02,1.52,1.17,1.18,1.26,0.87,1.21,1.05,0.75,1.0,0.55,0.71,0.26,0.4,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/23/2021,7.19,7.99,7.69,7.45,5.96,5.37,4.86,3.6,4.3,3.36,3.43,2.43,2.63,1.9,1.74,1.81,1.54,1.9,2.27,1.24,1.51,1.43,1.43,1.01,1.05,1.45,0.93,1.58,1.16,1.17,1.3,0.87,1.25,1.05,0.72,1.02,0.58,0.69,0.26,0.49,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/24/2021,7.19,7.99,7.69,7.45,5.96,5.37,4.86,3.6,4.3,3.36,3.43,2.43,2.63,1.9,1.74,1.81,1.54,1.9,2.27,1.24,1.51,1.43,1.43,1.01,1.05,1.45,0.93,1.58,1.16,1.17,1.3,0.87,1.25,1.05,0.72,1.02,0.58,0.69,0.26,0.49,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/25/2021,7.3,7.89,7.65,7.52,5.93,5.44,4.98,3.66,4.27,3.19,3.4,2.39,2.62,1.93,1.77,1.83,1.57,1.88,2.21,1.19,1.58,1.4,1.34,1.02,1.05,1.43,0.99,1.58,1.14,1.17,1.27,0.85,1.3,1.07,0.75,0.96,0.57,0.71,0.28,0.49,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/26/2021,7.36,7.96,7.7,7.45,5.83,5.37,5.03,3.71,4.2,3.23,3.38,2.53,2.53,1.95,1.79,1.86,1.59,1.85,2.21,1.2,1.56,1.37,1.28,1.05,1.08,1.39,0.99,1.56,1.13,1.17,1.27,0.85,1.3,1.08,0.75,0.94,0.59,0.74,0.29,0.51,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/27/2021,7.3,7.64,7.75,7.49,5.84,5.22,4.95,3.74,4.2,3.27,3.35,2.58,2.49,1.93,1.82,1.91,1.6,1.91,2.18,1.26,1.54,1.37,1.37,1.06,1.12,1.42,1.04,1.59,1.1,1.18,1.3,0.87,1.26,1.08,0.77,0.99,0.61,0.75,0.29,0.47,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
08/30/2021,7.25,7.53,8.17,7.42,5.78,5.16,4.95,3.73,4.14,3.39,3.29,2.48,2.42,1.88,1.87,1.9,1.58,1.94,2.12,1.28,1.55,1.43,1.44,1.03,1.13,1.45,1.04,1.57,1.12,1.16,1.26,0.87,1.28,1.07,0.79,1.12,0.62,0.7,0.29,0.47,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/31/2021,7.25,7.53,8.17,7.42,5.78,5.16,4.95,3.73,4.14,3.39,3.29,2.48,2.42,1.88,1.87,1.9,1.58,1.94,2.12,1.28,1.55,1.43,1.44,1.03,1.13,1.45,1.04,1.57,1.12,1.16,1.26,0.87,1.28,1.07,0.79,1.12,0.62,0.7,0.29,0.47,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/01/2021,7.3,7.48,8.16,7.28,5.73,5.16,5.09,3.8,4.11,3.44,3.22,2.5,2.37,1.89,1.95,1.9,1.6,1.93,2.09,1.24,1.54,1.46,1.5,1.05,1.14,1.43,1.04,1.57,1.11,1.16,1.18,0.88,1.27,1.08,0.8,1.15,0.6,0.7,0.29,0.45,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/02/2021,7.29,7.35,8.78,7.17,5.66,5.14,5.08,3.67,4.04,3.38,3.15,2.48,2.3,1.85,2.25,1.86,1.57,1.9,2.16,1.21,1.52,1.47,1.51,1.02,1.13,1.41,1.13,1.55,1.1,1.15,1.15,0.86,1.22,1.05,0.73,1.27,0.59,0.73,0.29,0.48,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/03/2021,7.12,7.69,8.76,7.15,5.55,5.05,4.98,3.66,3.97,3.42,3.26,2.52,2.28,1.86,2.15,1.91,1.57,1.87,2.16,1.22,1.55,1.48,1.58,1.02,1.12,1.42,1.13,1.51,1.11,1.12,1.18,0.84,1.23,1.06,0.67,1.34,0.59,0.75,0.29,0.49,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/06/2021,7.17,7.18,8.53,7.43,5.68,5.04,4.96,3.78,3.92,3.28,3.21,2.5,2.19,1.89,2.24,1.93,1.59,1.89,2.11,1.28,1.58,1.44,1.5,1.04,1.13,1.48,1.17,1.56,1.09,1.16,1.19,0.86,1.24,1.09,0.68,1.24,0.62,0.84,0.3,0.54,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/07/2021,7.17,0.0,0.0,0.0,0.0,5.04,4.96,3.78,0.0,0.0,0.0,2.5,0.0,1.89,2.24,1.93,1.59,0.0,0.0,0.0,1.58,0.0,0.0,1.04,1.13,0.0,1.17,0.0,1.09,0.0,0.0,0.0,1.24,1.09,0.68,1.24,0.0,0.84,0.3,0.54,0.0,0.0,0.45,8.53,7.43,7.18,5.68,3.92,3.28,3.21,2.19,2.11,1.89,1.56,1.5,1.48,1.44,1.28,1.19,1.16,0.86,0.62,0.0,0.0,0.0,100.0
09/08/2021,7.13,7.36,8.49,7.52,5.71,5.06,4.92,3.71,3.95,3.26,3.26,2.47,2.15,1.89,2.18,1.96,1.6,1.95,2.17,1.26,1.58,1.45,1.51,1.0,1.12,1.53,1.18,1.57,1.1,1.16,1.21,0.87,1.25,1.1,0.69,1.18,0.62,0.85,0.29,0.56,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/09/2021,7.13,7.36,8.49,7.52,5.71,5.06,4.92,3.71,3.95,3.26,3.26,2.47,2.15,1.89,2.18,1.96,1.6,1.95,2.17,1.26,1.58,1.45,1.51,1.0,1.12,1.53,1.18,1.57,1.1,1.16,1.21,0.87,1.25,1.1,0.69,1.18,0.62,0.85,0.29,0.56,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/10/2021,6.92,7.5,8.31,7.47,5.66,5.08,4.8,3.77,3.93,3.51,3.23,2.56,2.05,1.9,2.26,1.94,1.57,1.99,2.38,1.29,1.54,1.46,1.54,0.98,1.13,1.49,1.18,1.53,1.08,1.13,1.29,0.75,1.27,1.1,0.69,1.18,0.63,0.85,0.29,0.6,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/13/2021,6.83,7.41,8.47,7.34,5.3,5.49,4.91,3.67,3.98,3.58,3.27,2.44,2.04,1.94,2.3,1.93,1.53,1.98,2.43,1.26,1.5,1.44,1.52,0.98,1.15,1.52,1.15,1.51,1.09,1.17,1.32,0.8,1.25,1.11,0.67,1.17,0.58,0.85,0.31,0.63,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/14/2021,6.83,7.41,8.47,7.34,5.3,5.49,4.91,3.67,3.98,3.58,3.27,2.44,2.04,1.94,2.3,1.93,1.53,1.98,2.43,1.26,1.5,1.44,1.52,0.98,1.15,1.52,1.15,1.51,1.09,1.17,1.32,0.8,1.25,1.11,0.67,1.17,0.58,0.85,0.31,0.63,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/15/2021,6.77,7.5,8.75,7.36,5.28,5.58,4.83,3.55,4.0,3.65,3.29,2.41,2.06,1.92,2.26,1.92,1.49,1.89,2.43,1.24,1.47,1.43,1.49,0.95,1.15,1.5,1.12,1.49,1.11,1.17,1.34,0.8,1.18,1.11,0.68,1.22,0.56,0.88,0.31,0.64,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/16/2021,6.78,7.3,8.46,7.59,5.31,5.9,4.87,3.52,4.02,3.74,3.17,2.42,2.07,1.99,2.27,1.91,1.52,1.65,2.63,1.19,1.57,1.42,1.44,0.95,1.18,1.46,1.14,1.47,1.07,1.14,1.37,0.79,1.26,1.08,0.69,1.11,0.56,0.86,0.32,0.61,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/17/2021,6.71,7.48,8.43,7.58,5.36,5.86,4.86,3.6,3.89,3.67,3.15,2.42,2.12,1.94,2.23,1.89,1.48,1.6,2.56,1.24,1.62,1.44,1.49,1.09,1.16,1.47,1.11,1.53,1.08,1.14,1.33,0.81,1.23,1.11,0.69,1.13,0.56,0.86,0.31,0.59,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
