,AMZN,HD,WMT,COST,LOW,TGT,TJX,JD,CVS,DG,ORLY,ROST,SYY,AZO,WBA,LULU,MCK,KR,BBY,DLTR,ABC,CAH,W,LB,Gap Inc,010950.KS,GPS,PTBL.TA,VSCO WI,BBWI WI,1379.T,SAR.AX,VSCO,LBEUR,n/a,SUM
09/02/2021,20.29,11.61,8.28,5.04,4.92,4.54,4.51,4.78,4.28,3.46,2.99,2.8,2.8,2.46,2.63,2.19,1.99,1.96,1.69,1.68,1.25,1.08,1.05,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,100.06
09/03/2021,19.61,11.57,8.43,5.64,5.06,4.55,4.74,4.47,4.21,3.5,3.06,2.6,2.76,2.49,2.36,2.42,2.04,2.3,1.69,1.5,1.27,0.94,0.94,0.0,0.0,0.0,0.65,0.0,0.0,0.88,0.0,0.04,0.28,0.0,0.0,100.0
09/06/2021,19.76,11.54,8.44,5.68,5.06,4.46,4.66,4.65,4.31,3.48,2.96,2.55,2.73,2.42,2.51,2.26,2.08,2.34,1.66,1.52,1.32,0.98,0.88,0.0,0.0,0.0,0.62,0.0,0.0,0.83,0.0,0.04,0.28,0.0,0.0,100.02
09/07/2021,19.84,11.63,8.47,5.7,5.06,4.44,4.6,4.63,4.34,3.44,2.99,2.52,2.69,2.45,2.48,2.26,2.08,2.31,1.62,1.52,1.32,0.98,0.88,0.0,0.0,0.0,0.6,0.0,0.0,0.83,0.0,0.0,0.28,0.0,0.04,100.0
09/08/2021,19.84,11.63,8.47,5.7,5.06,4.44,4.6,4.63,4.34,3.44,2.99,2.52,2.69,2.45,2.48,2.26,2.08,2.31,1.62,1.52,1.32,0.98,0.88,0.0,0.0,0.0,0.6,0.0,0.0,0.83,0.0,0.0,0.28,0.0,0.04,100.0
09/09/2021,19.84,11.63,8.47,5.7,5.06,4.44,4.6,4.63,4.34,3.44,2.99,2.52,2.69,2.45,2.48,2.26,2.08,2.31,1.62,1.52,1.32,0.98,0.88,0.0,0.0,0.0,0.6,0.0,0.0,0.83,0.0,0.0,0.28,0.0,0.04,100.0
09/10/2021,20.06,11.61,8.38,5.67,5.05,4.42,4.53,4.84,4.3,3.43,2.97,2.51,2.69,2.44,2.47,2.25,2.08,2.28,1.59,1.51,1.31,0.98,0.87,0.0,0.0,0.0,0.6,0.0,0.0,0.82,0.0,0.0,0.27,0.0,0.07,99.99999999999996
09/13/2021,20.1,11.67,8.37,5.73,5.01,4.47,4.52,4.74,4.27,3.46,3.02,2.49,2.66,2.48,2.47,2.21,2.08,2.29,1.58,1.52,1.31,0.97,0.85,0.0,0.0,0.0,0.58,0.0,0.0,0.81,0.0,0.0,0.27,0.0,0.08,100.01
09/14/2021,19.96,11.79,8.35,5.78,5.06,4.48,4.5,4.71,4.19,3.4,3.05,2.48,2.69,2.49,2.41,2.49,2.06,2.13,1.6,1.49,1.3,0.97,0.85,0.0,0.0,0.0,0.58,0.0,0.0,0.81,0.0,0.0,0.26,0.0,0.12,100.0
09/15/2021,19.96,11.79,8.35,5.78,5.06,4.48,4.5,4.71,4.19,3.4,3.05,2.48,2.69,2.49,2.41,2.49,2.06,2.13,1.6,1.49,1.3,0.97,0.85,0.0,0.0,0.0,0.58,0.0,0.0,0.81,0.0,0.0,0.26,0.0,0.12,100.0
09/16/2021,19.96,11.79,8.35,5.78,5.06,4.48,4.5,4.71,4.19,3.4,3.05,2.48,2.69,2.49,2.41,2.49,2.06,2.13,1.6,1.49,1.3,0.97,0.85,0.0,0.0,0.0,0.58,0.0,0.0,0.81,0.0,0.0,0.26,0.0,0.12,100.0
09/17/2021,19.97,11.9,8.31,5.73,5.09,4.46,4.57,4.58,4.22,3.39,3.06,2.49,2.68,2.53,2.37,2.48,2.09,2.1,1.59,1.47,1.32,0.96,0.87,0.0,0.0,0.0,0.58,0.0,0.0,0.81,0.0,0.0,0.26,0.0,0.12,100.0
09/20/2021,20.0,11.84,8.28,5.72,5.09,4.47,4.54,4.48,4.28,3.38,3.09,2.49,2.68,2.57,2.45,2.46,2.12,2.05,1.57,1.46,1.34,0.98,0.89,0.0,0.0,0.0,0.58,0.0,0.0,0.83,0.0,0.0,0.26,0.0,0.12,100.02
09/21/2021,19.83,11.87,8.25,5.68,5.15,4.5,4.58,4.52,4.26,3.45,3.07,2.51,2.66,2.55,2.41,2.49,2.1,2.04,1.57,1.47,1.31,0.96,0.92,0.0,0.0,0.0,0.59,0.0,0.0,0.84,0.0,0.0,0.26,0.0,0.19,100.03000000000002
09/22/2021,19.83,11.87,8.25,5.68,5.15,4.5,4.58,4.52,4.26,3.45,3.07,2.51,2.66,2.55,2.41,2.49,2.1,2.04,1.57,1.47,1.31,0.96,0.92,0.0,0.0,0.0,0.59,0.0,0.0,0.84,0.0,0.0,0.26,0.0,0.19,100.03000000000002
09/23/2021,19.83,11.87,8.25,5.68,5.15,4.5,4.58,4.52,4.26,3.45,3.07,2.51,2.66,2.55,2.41,2.49,2.1,2.04,1.57,1.47,1.31,0.96,0.92,0.0,0.0,0.0,0.59,0.0,0.0,0.84,0.0,0.0,0.26,0.0,0.19,100.03000000000002
09/24/2021,19.45,15.3,4.94,4.95,5.14,4.52,4.55,4.17,4.51,3.32,3.31,2.69,2.91,2.71,2.29,2.66,2.36,2.14,1.58,1.49,1.41,1.02,0.88,0.0,0.0,0.0,0.63,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.19,100.01999999999998
09/27/2021,19.55,15.33,4.88,4.9,5.14,4.48,4.6,4.23,4.47,3.23,3.42,2.72,3.01,2.85,2.26,2.71,2.34,2.1,1.56,1.43,1.4,1.0,0.85,0.0,0.0,0.0,0.63,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,100.02
09/28/2021,19.58,15.38,4.89,5.06,5.13,4.45,4.62,4.1,4.45,3.21,3.41,2.72,3.03,2.85,2.25,2.71,2.34,2.08,1.53,1.41,1.39,1.0,0.85,0.0,0.0,0.0,0.62,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,99.99
09/29/2021,19.58,15.38,4.89,5.06,5.13,4.45,4.62,4.1,4.45,3.21,3.41,2.72,3.03,2.85,2.25,2.71,2.34,2.08,1.53,1.41,1.39,1.0,0.85,0.0,0.0,0.0,0.62,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,99.99
09/30/2021,19.38,15.49,4.84,4.96,5.18,4.38,4.6,4.22,4.49,3.19,3.39,2.72,3.06,2.83,2.27,2.68,2.34,2.09,1.61,1.45,1.39,1.0,0.88,0.0,0.0,0.0,0.63,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,100.01
10/01/2021,19.22,15.42,4.87,4.91,5.14,4.36,4.61,4.24,4.57,3.22,3.39,2.73,3.08,2.88,2.28,2.63,2.36,2.14,1.62,1.46,1.4,1.01,0.87,0.0,0.0,0.0,0.65,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,100.0
10/04/2021,19.03,15.48,4.84,4.93,5.15,4.38,4.58,4.01,4.6,3.23,3.44,2.72,3.07,2.95,2.29,2.59,2.38,2.17,1.62,1.7,1.41,1.01,0.85,0.0,0.0,0.0,0.64,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,100.01
10/05/2021,19.37,15.52,4.83,5.01,5.19,4.34,4.46,4.01,4.56,3.19,3.4,2.69,3.14,2.91,2.25,2.59,2.38,2.11,1.59,1.69,1.41,1.0,0.81,0.0,0.0,0.0,0.63,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.01,100.0
10/06/2021,19.37,15.52,4.83,5.01,5.19,4.34,4.46,4.01,4.56,3.19,3.4,2.69,3.14,2.91,2.25,2.59,2.38,2.11,1.59,1.69,1.41,1.0,0.81,0.0,0.0,0.0,0.63,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.01,100.0
10/07/2021,19.05,15.54,4.84,4.97,5.27,4.35,4.47,4.02,4.6,3.18,3.41,2.7,3.2,2.89,2.28,2.57,2.4,2.16,1.61,1.72,1.41,1.01,0.77,0.0,0.0,0.0,0.65,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.01,99.99
10/08/2021,19.13,15.6,4.85,5.02,5.24,4.36,4.39,4.13,4.57,3.15,3.44,2.64,3.16,2.89,2.28,2.58,2.37,2.16,1.62,1.69,1.41,0.99,0.78,0.0,0.0,0.0,0.64,0.0,0.0,0.91,0.0,0.0,0.0,0.0,-0.01,99.98999999999998
10/11/2021,19.27,15.7,4.86,5.0,5.24,4.32,4.31,4.32,4.52,3.18,3.41,2.59,3.18,2.89,2.28,2.55,2.35,2.1,1.61,1.68,1.38,0.97,0.77,0.0,0.0,0.0,0.62,0.0,0.0,0.9,0.0,0.0,0.0,0.0,-0.01,99.99
10/12/2021,19.23,15.59,4.88,5.0,5.21,4.31,4.3,4.46,4.54,3.18,3.4,2.59,3.21,2.9,2.26,2.54,2.36,2.11,1.61,1.69,1.39,0.97,0.77,0.0,0.0,0.0,0.61,0.0,0.0,0.9,0.0,0.0,0.0,0.0,-0.01,100.0
10/13/2021,19.23,15.59,4.88,5.0,5.21,4.31,4.3,4.46,4.54,3.18,3.4,2.59,3.21,2.9,2.26,2.54,2.36,2.11,1.61,1.69,1.39,0.97,0.77,0.0,0.0,0.0,0.61,0.0,0.0,0.9,0.0,0.0,0.0,0.0,-0.01,100.0
10/14/2021,19.06,15.78,4.9,5.0,5.3,4.33,4.2,4.45,4.55,3.18,3.39,2.55,3.2,2.9,2.27,2.48,2.39,2.12,1.64,1.69,1.43,0.97,0.74,0.0,0.0,0.0,0.59,0.0,0.0,0.88,0.0,0.0,0.0,0.0,-0.01,99.97999999999998
10/15/2021,19.06,15.78,4.9,5.0,5.3,4.33,4.2,4.45,4.55,3.18,3.39,2.55,3.2,2.9,2.27,2.48,2.39,2.12,1.64,1.69,1.43,0.97,0.74,0.0,0.0,0.0,0.59,0.0,0.0,0.88,0.0,0.0,0.0,0.0,-0.01,99.97999999999998
10/18/2021,19.17,15.74,4.83,4.92,5.35,4.45,4.21,4.56,4.46,3.16,3.41,2.56,3.14,2.89,2.25,2.56,2.34,2.1,1.66,1.66,1.38,0.95,0.74,0.0,0.0,0.0,0.6,0.0,0.0,0.91,0.0,0.0,0.0,0.0,-0.01,99.99
10/19/2021,19.4,15.9,4.78,4.87,5.38,4.51,4.16,4.5,4.49,3.13,3.41,2.54,3.08,2.91,2.27,2.51,2.34,2.0,1.66,1.65,1.36,0.94,0.74,0.0,0.0,0.0,0.57,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.01,100.0
10/20/2021,19.4,15.9,4.78,4.87,5.38,4.51,4.16,4.5,4.49,3.13,3.41,2.54,3.08,2.91,2.27,2.51,2.34,2.0,1.66,1.65,1.36,0.94,0.74,0.0,0.0,0.0,0.57,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.01,100.0
10/21/2021,19.4,15.9,4.78,4.87,5.38,4.51,4.16,4.5,4.49,3.13,3.41,2.54,3.08,2.91,2.27,2.51,2.34,2.0,1.66,1.65,1.36,0.94,0.74,0.0,0.0,0.0,0.57,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.01,100.0
10/22/2021,19.33,16.02,4.85,4.96,5.4,4.56,4.07,4.62,4.38,3.1,3.42,2.5,3.01,2.92,2.2,2.56,2.29,2.0,1.64,1.65,1.34,0.93,0.76,0.0,0.0,0.0,0.59,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.01,100.0
10/25/2021,19.12,15.99,4.89,4.98,5.44,4.54,4.06,4.65,4.46,3.11,3.44,2.51,2.94,2.92,2.21,2.54,2.32,2.01,1.64,1.66,1.37,0.94,0.75,0.0,0.0,0.0,0.58,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.01,99.99
10/26/2021,19.04,16.12,4.86,5.01,5.44,4.54,4.07,4.52,4.43,3.13,3.51,2.52,2.91,2.95,2.22,2.57,2.31,1.99,1.67,1.66,1.36,0.93,0.73,0.0,0.0,0.0,0.58,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.01,100.0
10/27/2021,19.04,16.12,4.86,5.01,5.44,4.54,4.07,4.52,4.43,3.13,3.51,2.52,2.91,2.95,2.22,2.57,2.31,1.99,1.67,1.66,1.36,0.93,0.73,0.0,0.0,0.0,0.58,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.01,100.0
10/28/2021,19.04,16.12,4.86,5.01,5.44,4.54,4.07,4.52,4.43,3.13,3.51,2.52,2.91,2.95,2.22,2.57,2.31,1.99,1.67,1.66,1.36,0.93,0.73,0.0,0.0,0.0,0.58,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.01,100.0
10/29/2021,18.32,16.34,4.95,5.12,5.52,4.63,4.09,4.51,4.45,3.17,3.48,2.56,2.84,2.96,2.22,2.59,2.31,2.03,1.7,1.7,1.35,0.92,0.7,0.0,0.0,0.0,0.56,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.03,99.99
11/01/2021,18.8,16.45,4.89,5.13,5.55,4.58,4.06,4.35,4.49,3.15,3.44,2.52,2.79,2.98,2.13,2.63,2.27,2.0,1.69,1.7,1.32,0.89,0.69,0.0,0.0,0.0,0.55,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.04,100.01
11/02/2021,18.61,16.36,4.93,5.13,5.57,4.62,4.11,4.19,4.53,3.16,3.28,2.57,2.79,2.9,2.12,2.82,2.31,2.01,1.73,1.74,1.34,0.9,0.74,0.0,0.0,0.0,0.57,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.04,99.99
11/03/2021,18.61,16.36,4.93,5.13,5.57,4.62,4.11,4.19,4.53,3.16,3.28,2.57,2.79,2.9,2.12,2.82,2.31,2.01,1.73,1.74,1.34,0.9,0.74,0.0,0.0,0.0,0.57,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.04,99.99
11/04/2021,18.61,16.36,4.93,5.13,5.57,4.62,4.11,4.19,4.53,3.16,3.28,2.57,2.79,2.9,2.12,2.82,2.31,2.01,1.73,1.74,1.34,0.9,0.74,0.0,0.0,0.0,0.57,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.04,99.99
11/05/2021,18.22,16.11,4.92,5.17,5.54,4.61,4.21,4.31,4.61,3.15,3.26,2.59,2.81,2.9,2.15,2.8,2.43,2.04,1.75,1.79,1.37,0.92,0.77,0.0,0.0,0.0,0.58,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.03,100.0
11/08/2021,18.34,15.94,4.86,5.15,5.48,4.55,4.21,4.28,4.8,3.13,3.21,2.61,2.76,2.86,2.18,2.77,2.45,2.12,1.74,1.8,1.39,0.93,0.79,0.0,0.0,0.0,0.6,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.05,99.98
11/09/2021,18.91,15.79,4.83,5.22,5.47,4.4,4.35,4.05,4.64,3.13,3.27,2.64,2.88,2.88,2.2,2.75,2.4,2.07,1.78,1.73,1.37,0.91,0.72,0.0,0.0,0.0,0.61,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.05,100.03
11/10/2021,18.91,15.79,4.83,5.22,5.47,4.4,4.35,4.05,4.64,3.13,3.27,2.64,2.88,2.88,2.2,2.75,2.4,2.07,1.78,1.73,1.37,0.91,0.72,0.0,0.0,0.0,0.61,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.05,100.03
11/11/2021,18.86,15.89,4.82,5.16,5.48,4.41,4.29,4.07,4.66,3.08,3.28,2.63,2.86,2.9,2.2,2.76,2.4,2.06,1.8,1.75,1.36,0.91,0.71,0.0,0.0,0.0,0.6,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.05,99.96999999999998
11/12/2021,18.86,15.89,4.82,5.16,5.48,4.41,4.29,4.07,4.66,3.08,3.28,2.63,2.86,2.9,2.2,2.76,2.4,2.06,1.8,1.75,1.36,0.91,0.71,0.0,0.0,0.0,0.6,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.05,99.96999999999998
