,LLY,PKI,WST,CTLT,ISRG,PODD,EW,SGEN,BSX,AZN.L,VEEV,GMAB,NBIX,7741.T,NOVT,CSL.AX,DHR,ALNY,ARE,GH,LONN.SW,ILMN,IDXX,ALGN,MTD,DXCM,BEAM,DIM.PA,ARGX,HALO,ZBH,4519.T,COO,AGIO,2269.HK,4151.T,TNDM,TWST,SWAV,QTRX,RGEN,RARE,PACB,ONT.L,AXNX,BMY,NEOG,CERT,ALLO,EXEL,RPID,BIIB,STVN,SONX,TPTX,ARNA,MXCT.L,MASS,PHVS,YMAB,TECH,FIGS,OLK,RANI,n/a,SUM
12/20/2021,5.01,4.14,4.01,3.84,3.73,3.43,3.33,3.17,3.07,3.04,2.9,2.83,2.74,2.4,2.33,2.32,2.24,2.24,2.24,2.05,1.98,1.94,1.85,1.8,1.71,1.61,1.51,1.51,1.5,1.48,1.25,1.24,1.21,1.19,1.0,0.99,0.97,0.91,0.9,0.9,0.86,0.82,0.8,0.72,0.67,0.64,0.6,0.56,0.55,0.53,0.52,0.51,0.49,0.46,0.45,0.44,0.42,0.37,0.26,0.26,0.26,0.22,0.18,0.06,-0.11,100.05
12/21/2021,5.3,4.23,4.04,3.69,3.76,3.07,3.62,2.94,3.1,3.07,2.78,2.81,2.89,2.25,2.34,1.9,2.17,2.34,2.33,2.16,2.02,2.04,1.87,1.71,1.71,1.56,1.72,1.39,1.55,1.69,1.2,1.19,1.24,1.14,0.85,0.95,1.08,0.84,0.88,0.96,0.83,0.86,0.77,0.68,0.62,0.7,0.65,0.55,0.44,0.58,0.45,0.51,0.49,0.37,0.51,0.75,0.39,0.39,0.27,0.23,0.25,0.17,0.16,0.0,0.0,100.0
12/22/2021,5.26,4.19,4.02,3.66,3.76,3.04,3.59,2.92,3.08,3.07,2.75,2.81,2.89,2.25,2.34,1.9,2.15,2.32,2.33,2.16,1.98,2.04,1.83,1.71,1.71,1.52,1.72,1.39,1.54,1.68,1.2,1.19,1.24,1.14,0.85,0.95,1.07,0.84,0.87,0.96,0.83,0.86,0.77,0.68,0.62,0.7,0.65,0.55,0.44,0.58,0.45,1.02,0.49,0.37,0.51,0.75,0.39,0.39,0.27,0.0,0.25,0.0,0.16,0.0,0.35,100.0
12/23/2021,5.24,4.24,3.96,3.53,3.74,3.0,3.57,3.04,3.01,3.08,2.71,2.9,2.87,2.2,2.36,2.04,2.18,2.38,2.35,2.11,2.02,2.0,1.81,1.69,1.7,1.51,1.71,1.42,1.7,1.69,1.2,1.2,1.24,1.14,0.82,0.94,1.1,0.8,0.87,0.94,0.85,0.9,0.75,0.68,0.6,0.71,0.65,0.56,0.44,0.6,0.41,1.03,0.48,0.35,0.53,0.75,0.4,0.39,0.28,0.0,0.25,0.0,0.16,0.0,0.23,100.01
12/24/2021,5.16,4.18,3.93,3.6,3.84,3.04,3.62,3.02,3.07,3.06,2.79,2.88,2.79,2.16,2.29,2.1,2.13,2.35,2.33,2.09,1.95,1.99,1.83,1.75,1.68,1.54,1.74,1.37,1.73,1.7,1.21,1.2,1.23,1.14,0.84,0.93,1.11,0.83,0.9,0.97,0.83,0.88,0.78,0.67,0.64,0.69,0.64,0.57,0.43,0.59,0.41,1.0,0.48,0.34,0.54,0.73,0.38,0.38,0.27,0.0,0.26,0.0,0.17,0.0,0.23,99.98
12/27/2021,5.24,4.22,4.01,3.56,3.96,3.08,3.69,3.01,3.14,3.05,2.72,2.87,2.77,2.15,2.34,2.14,2.14,2.26,2.3,1.99,1.94,1.98,1.87,1.8,1.72,1.53,1.72,1.39,1.7,1.72,1.23,1.19,1.26,1.17,0.82,0.92,1.11,0.8,0.91,0.96,0.81,0.84,0.76,0.69,0.65,0.69,0.63,0.58,0.43,0.59,0.44,0.99,0.47,0.31,0.55,0.72,0.42,0.39,0.26,0.0,0.26,0.0,0.17,0.0,0.0,100.03000000000004
12/28/2021,5.24,4.22,4.01,3.56,3.96,3.08,3.69,3.01,3.14,3.05,2.72,2.87,2.77,2.15,2.34,2.14,2.14,2.26,2.3,1.99,1.94,1.98,1.87,1.8,1.72,1.53,1.72,1.39,1.7,1.72,1.23,1.19,1.26,1.17,0.82,0.92,1.11,0.8,0.91,0.96,0.81,0.84,0.76,0.69,0.65,0.69,0.63,0.58,0.43,0.59,0.44,0.99,0.47,0.31,0.55,0.72,0.42,0.39,0.26,0.0,0.26,0.0,0.17,0.0,0.0,100.03000000000004
12/29/2021,5.23,4.21,4.0,3.55,3.95,3.35,3.68,3.0,3.13,3.05,2.72,2.86,2.76,2.15,2.33,2.13,2.14,2.25,2.29,1.99,1.56,2.28,1.86,1.79,1.71,1.53,1.71,1.39,1.7,1.71,1.04,1.19,1.26,1.16,0.82,0.92,1.22,0.8,0.91,0.96,0.81,0.84,0.76,0.69,0.65,0.69,0.63,0.57,0.43,0.59,0.44,0.99,0.47,0.31,0.55,0.72,0.42,0.39,0.26,0.0,0.11,0.0,0.17,0.0,0.23,100.01000000000002
12/30/2021,5.34,4.31,4.06,3.6,3.96,3.35,3.74,2.99,3.17,3.06,2.74,2.88,2.74,2.14,2.38,2.14,2.19,1.87,2.32,1.95,1.6,2.3,1.89,1.81,1.76,1.52,1.59,1.42,1.69,1.72,1.05,1.19,1.28,1.13,0.81,0.91,1.22,0.76,0.89,0.92,0.82,0.83,0.74,0.71,0.66,0.69,0.0,0.58,0.42,0.59,0.39,0.98,0.46,0.32,0.53,0.73,0.4,0.36,0.27,0.0,0.11,0.0,0.16,0.0,0.88,100.02
12/31/2021,5.33,4.27,4.07,3.59,3.98,3.29,3.73,3.01,3.19,3.08,2.71,2.86,2.77,2.19,2.39,2.15,2.17,1.97,2.35,1.97,1.61,2.29,1.89,1.81,1.78,1.42,1.56,1.44,1.7,1.71,1.06,1.21,1.29,1.12,0.83,0.92,1.23,0.73,0.89,0.89,0.78,0.83,0.71,0.72,0.66,0.69,0.0,0.57,0.42,0.58,0.38,0.99,0.46,0.31,0.54,0.74,0.39,0.36,0.27,0.0,0.11,0.0,0.16,0.0,0.88,100.0
01/11/2022,5.57,4.34,3.74,3.55,3.93,3.42,3.92,3.05,3.46,3.35,2.7,2.91,2.72,2.24,2.4,2.26,2.21,1.92,2.43,1.97,1.53,2.47,1.78,1.68,1.79,1.4,1.54,1.39,1.67,1.75,1.17,1.29,1.4,1.17,0.79,0.96,1.16,0.59,0.92,0.82,0.7,0.81,0.65,0.68,0.69,0.77,0.0,0.55,0.41,0.64,0.39,1.08,0.4,0.31,0.52,0.81,0.37,0.32,0.35,0.0,0.1,0.0,0.11,0.0,0.0,100.02
01/13/2022,5.57,4.39,3.76,3.64,3.94,3.29,3.85,3.07,3.48,3.32,2.8,2.94,2.76,2.25,2.39,2.27,2.26,1.94,2.41,2.08,1.45,2.41,1.81,1.68,1.82,1.37,1.49,1.21,1.61,1.69,1.15,1.3,1.73,1.18,0.64,0.96,1.13,0.59,0.96,0.84,0.71,0.8,0.65,0.63,0.69,0.8,0.0,0.56,0.37,0.62,0.31,1.4,0.38,0.31,0.51,0.82,0.36,0.19,0.34,0.0,0.0,0.0,0.13,0.0,0.0,100.01
01/18/2022,5.35,3.96,3.71,3.4,3.81,3.4,3.88,2.97,3.76,3.51,2.67,2.92,2.89,2.2,2.38,2.3,2.24,1.96,2.5,1.79,1.43,2.75,1.75,1.64,1.8,1.36,1.52,1.16,1.59,1.71,1.19,1.35,1.75,1.22,0.73,0.95,1.1,0.54,0.94,0.8,0.67,0.8,0.5,0.62,0.7,0.81,0.0,0.61,0.41,0.63,0.32,1.95,0.39,0.46,0.48,0.82,0.34,0.18,0.34,0.0,0.0,0.0,0.12,0.0,0.0,100.03
01/19/2022,5.35,3.96,3.71,3.4,3.81,3.4,3.88,2.97,3.76,3.51,2.67,2.92,2.89,2.2,2.38,2.3,2.24,1.96,2.5,1.79,1.43,2.75,1.75,1.64,1.8,1.36,1.52,1.16,1.59,1.71,1.19,1.35,1.75,1.22,0.73,0.95,1.1,0.54,0.94,0.8,0.67,0.8,0.5,0.62,0.7,0.81,0.0,0.61,0.41,0.63,0.32,1.95,0.39,0.46,0.48,0.82,0.34,0.18,0.34,0.0,0.0,0.0,0.12,0.0,0.0,100.03
01/25/2022,5.61,4.1,3.79,3.38,3.52,3.31,3.89,2.91,3.8,3.76,2.79,2.89,2.92,2.31,2.34,2.32,2.26,1.9,2.47,1.7,1.5,2.62,1.76,1.52,1.83,1.35,1.48,1.24,1.61,1.72,1.2,1.4,1.74,1.15,0.75,1.0,1.18,0.5,0.8,0.71,0.67,0.79,0.42,0.65,0.67,0.84,0.0,0.6,0.37,0.63,0.32,1.89,0.44,0.39,0.47,0.85,0.3,0.15,0.34,0.0,0.0,0.0,0.14,0.0,0.0,99.96
01/28/2022,5.36,3.99,3.94,3.36,3.48,3.16,3.82,2.89,4.06,3.87,2.81,2.84,2.98,2.2,2.24,2.47,2.19,1.8,2.7,1.51,1.42,2.5,1.68,1.56,1.8,1.32,1.48,1.2,1.53,1.73,1.21,1.43,1.76,1.24,0.72,1.01,1.14,0.51,0.81,0.63,0.69,0.83,0.44,0.58,0.66,1.27,0.0,0.6,0.38,0.68,0.33,1.93,0.43,0.44,0.51,0.86,0.31,0.16,0.35,0.0,0.0,0.0,0.15,0.0,0.0,99.95
02/01/2022,5.48,4.0,4.09,3.34,3.58,3.43,3.66,2.94,4.08,3.99,2.85,2.86,3.01,2.15,2.17,2.41,2.27,1.82,2.63,1.44,1.46,2.41,1.72,1.55,1.82,1.34,1.42,1.25,1.52,1.67,1.21,1.43,1.74,1.18,0.63,0.98,1.1,0.5,0.81,0.66,0.7,0.79,0.43,0.55,0.62,1.32,0.0,0.59,0.35,0.66,0.31,1.95,0.4,0.44,0.45,0.87,0.28,0.16,0.35,0.0,0.0,0.0,0.15,0.0,0.0,99.97000000000003
