,LIT,TSLA,NVDA,MSFT,n/a,MRNA,IIPR,LEN,MGP,HD,AAPL,SQ,BX,AMZN,ELY,PLD,GOOG,FLGT,NEE,DIS,CHWY,NKE,CCI,ZTS,MGM,SBUX,WOOF,PYPL,ILMN,ATVI,LOGN.SW,TMO,EA,TTWO,SEDG,SHOP,ASML,CRWD,DE,TGT,COIN,RBLX,SPWR,NFLX,FUV,1176.HK,PLLDA.AX,AXON,MSOS,SIVB,ATAI,U,PGNY,GGPI,SUM
11/16/2021,4.14,7.73,5.6,4.36,1.49,1.39,3.34,3.21,1.91,2.97,2.64,2.13,3.23,2.18,2.59,2.53,2.62,1.87,2.03,1.91,0.62,1.97,0.58,2.06,3.17,1.59,2.78,1.2,1.15,0.0,0.0,2.15,0.89,1.01,1.46,1.24,1.9,1.27,0.51,1.22,2.16,1.33,1.47,1.75,0.76,0.0,0.0,0.7,3.41,0.96,0.17,0.48,0.17,0.0,100.0
11/17/2021,4.14,7.73,5.6,4.36,1.49,1.39,3.34,3.21,1.91,2.97,2.64,2.13,3.23,2.18,2.59,2.53,2.62,1.87,2.03,1.91,0.62,1.97,0.58,2.06,3.17,1.59,2.78,1.2,1.15,0.0,0.0,2.15,0.89,1.01,1.46,1.24,1.9,1.27,0.51,1.22,2.16,1.33,1.47,1.75,0.76,0.0,0.0,0.7,3.41,0.96,0.17,0.48,0.17,0.0,100.0
11/18/2021,4.14,7.73,5.6,4.36,1.49,1.39,3.34,3.21,1.91,2.97,2.64,2.13,3.23,2.18,2.59,2.53,2.62,1.87,2.03,1.91,0.62,1.97,0.58,2.06,3.17,1.59,2.78,1.2,1.15,0.0,0.0,2.15,0.89,1.01,1.46,1.24,1.9,1.27,0.51,1.22,2.16,1.33,1.47,1.75,0.76,0.0,0.0,0.7,3.41,0.96,0.17,0.48,0.17,0.0,100.0
11/19/2021,4.01,7.41,5.13,4.34,1.43,1.37,3.39,3.2,1.87,3.06,2.76,2.17,3.24,2.17,2.59,2.46,2.69,2.14,2.0,1.54,0.36,1.95,0.56,2.03,3.04,1.53,2.72,1.33,1.09,0.0,0.0,2.15,0.86,0.97,1.49,1.35,2.14,1.27,0.33,1.25,2.35,1.57,1.42,1.81,0.71,0.0,0.0,0.72,3.49,1.14,0.19,0.52,0.32,0.37,100.0
11/22/2021,4.01,7.41,5.13,4.34,1.43,1.37,3.39,3.2,1.87,3.06,2.76,2.17,3.24,2.17,2.59,2.46,2.69,2.14,2.0,1.54,0.36,1.95,0.56,2.03,3.04,1.53,2.72,1.33,1.09,0.0,0.0,2.15,0.86,0.97,1.49,1.35,2.14,1.27,0.33,1.25,2.35,1.57,1.42,1.81,0.71,0.0,0.0,0.72,3.49,1.14,0.19,0.52,0.32,0.37,100.0
11/23/2021,4.01,7.41,5.13,4.34,1.43,1.37,3.39,3.2,1.87,3.06,2.76,2.17,3.24,2.17,2.59,2.46,2.69,2.14,2.0,1.54,0.36,1.95,0.56,2.03,3.04,1.53,2.72,1.33,1.09,0.0,0.0,2.15,0.86,0.97,1.49,1.35,2.14,1.27,0.33,1.25,2.35,1.57,1.42,1.81,0.71,0.0,0.0,0.72,3.49,1.14,0.19,0.52,0.32,0.37,100.0
11/24/2021,4.08,8.0,5.61,4.39,0.88,1.55,3.29,3.31,1.83,3.2,2.94,2.05,3.29,2.28,2.49,2.47,2.68,2.14,2.03,1.49,0.0,1.99,0.57,2.09,2.96,1.51,2.28,1.2,1.1,0.0,0.0,2.14,0.82,0.92,1.51,1.36,2.15,1.25,0.0,1.18,2.29,1.83,1.39,1.8,0.68,0.0,0.0,0.74,3.29,1.1,0.18,0.59,0.3,0.79,100.01
11/25/2021,4.21,8.26,5.52,4.41,0.91,1.68,3.26,3.32,1.84,3.24,2.99,1.95,3.3,2.25,2.46,2.52,2.67,2.12,2.04,1.52,0.0,2.01,0.57,2.1,3.02,1.54,2.28,1.19,1.11,0.0,0.0,2.16,0.8,0.91,1.48,1.3,2.1,1.18,0.0,1.17,2.2,1.65,1.39,1.77,0.67,0.0,0.0,0.74,3.19,1.13,0.18,0.56,0.29,0.82,99.98
11/26/2021,4.18,7.99,5.53,4.42,0.92,1.66,3.08,3.36,1.68,3.27,3.17,1.96,3.35,2.27,2.41,2.57,2.76,1.9,2.06,1.5,0.0,2.0,0.58,2.12,3.1,1.42,2.27,1.19,1.03,0.0,0.0,2.18,0.82,0.68,1.48,1.29,2.07,1.15,0.0,1.2,2.24,1.59,1.38,1.93,0.66,0.0,0.0,0.72,3.31,1.48,0.17,0.56,0.28,1.04,99.98
11/29/2021,4.17,7.99,5.66,4.4,0.59,1.63,3.15,3.31,1.68,3.28,3.17,2.0,3.39,2.26,2.43,2.59,2.74,1.95,2.05,1.49,0.0,1.99,0.59,2.1,3.11,1.42,2.23,1.19,1.02,0.0,0.0,2.17,0.8,0.68,1.47,1.33,2.05,1.14,0.0,1.19,2.19,1.71,1.39,1.93,0.66,0.0,0.0,0.74,3.36,1.48,0.18,0.57,0.27,1.09,99.98
11/30/2021,4.13,7.87,5.54,4.36,0.61,2.0,3.17,3.28,1.67,3.26,3.11,2.0,3.34,2.24,2.39,2.55,2.71,2.16,2.05,1.48,0.0,1.98,0.59,2.1,3.09,1.4,2.26,1.2,1.05,0.0,0.0,2.22,0.81,0.71,1.46,1.31,2.02,1.17,0.0,1.2,2.16,1.72,1.34,1.98,0.65,0.0,0.0,0.74,3.4,1.45,0.18,0.58,0.27,1.06,100.02
12/01/2021,4.13,7.87,5.54,4.36,0.61,2.0,3.17,3.28,1.67,3.26,3.11,2.0,3.34,2.24,2.39,2.55,2.71,2.16,2.05,1.48,0.0,1.98,0.59,2.1,3.09,1.4,2.26,1.2,1.05,0.0,0.0,2.22,0.81,0.71,1.46,1.31,2.02,1.17,0.0,1.2,2.16,1.72,1.34,1.98,0.65,0.0,0.0,0.74,3.4,1.45,0.18,0.58,0.27,1.06,100.02
12/02/2021,4.15,8.12,5.77,4.37,0.59,2.19,3.1,3.23,1.66,3.23,3.12,1.97,3.4,2.24,2.35,2.56,2.72,2.11,2.07,1.45,0.0,1.96,0.58,2.1,2.98,1.38,2.15,1.17,1.04,0.0,0.0,2.21,0.79,0.69,1.46,1.28,2.07,1.11,0.0,1.19,2.23,1.78,1.37,1.94,0.65,0.0,0.0,0.74,3.2,1.44,0.17,0.54,0.26,1.09,99.96999999999998
12/06/2021,4.2,8.05,5.76,4.44,0.59,1.86,3.1,3.54,1.68,3.36,3.46,1.85,3.35,2.27,2.07,2.68,2.73,1.89,2.27,1.51,0.0,2.04,0.6,2.17,3.1,1.44,2.21,1.22,0.96,0.0,0.0,2.23,0.8,0.69,1.39,1.21,2.1,1.07,0.0,1.22,2.07,1.67,1.29,1.87,0.63,0.0,0.0,0.68,3.21,1.48,0.18,0.49,0.26,1.06,100.0
12/07/2021,4.2,8.05,5.76,4.44,0.59,1.86,3.1,3.54,1.68,3.36,3.46,1.85,3.35,2.27,2.07,2.68,2.73,1.89,2.27,1.51,0.0,2.04,0.6,2.17,3.1,1.44,2.21,1.22,0.96,0.0,0.0,2.23,0.8,0.69,1.39,1.21,2.1,1.07,0.0,1.22,2.07,1.67,1.29,1.87,0.63,0.0,0.0,0.68,3.21,1.48,0.18,0.49,0.26,1.06,100.0
12/08/2021,4.2,8.05,5.76,4.44,0.59,1.86,3.1,3.54,1.68,3.36,3.46,1.85,3.35,2.27,2.07,2.68,2.73,1.89,2.27,1.51,0.0,2.04,0.6,2.17,3.1,1.44,2.21,1.22,0.96,0.0,0.0,2.23,0.8,0.69,1.39,1.21,2.1,1.07,0.0,1.22,2.07,1.67,1.29,1.87,0.63,0.0,0.0,0.68,3.21,1.48,0.18,0.49,0.26,1.06,100.0
