,7203.T,TSLA,GM,DAI.DE,VOW3.DE,BYD Company Limited (Class H),175.HK,7201.T,7267.T,Subaru Corp.,000270.KS,F,7269.T,005380.KS,BMW.DE,PAH3.DE,Great Wall Motor Company Limited (Class H),RNO.PA,7261.T,FSR,1114.HK,"Guangzhou Automobile Group Co., Ltd. (Class H)",1585.HK,489.HK,7211.T,Aston Martin Lagonda Global Holdings Plc,C07.SI,RIDE,GOEV,"Chongqing Changan Automobile Co., Ltd. (Class B)",2201.TW,China Motor Corporation,1958.HK,7222.T,US Dollar,BY6.,2333.HK,7270.T,2238.HK,AML.L,018000.KQ,200625.SZ,2204.TW,n/a,688101.SS,688001.SS,SUM
08/23/2021,8.32,8.83,6.78,7.15,6.68,0.0,5.54,4.28,4.12,0.0,3.64,3.57,4.03,3.4,3.49,3.49,0.0,2.83,1.97,0.8,0.36,0.0,0.74,0.75,0.67,0.0,0.53,0.2,0.23,0.0,0.24,0.0,0.23,0.09,0.0,5.86,4.77,3.96,0.97,0.67,0.3,0.28,0.22,0.0,0.0,0.0,99.99000000000002
08/24/2021,8.32,8.83,6.78,7.15,6.68,0.0,5.54,4.28,4.12,0.0,3.64,3.57,4.03,3.4,3.49,3.49,0.0,2.83,1.97,0.8,0.36,0.0,0.74,0.75,0.67,0.0,0.53,0.2,0.23,0.0,0.24,0.0,0.23,0.09,0.0,5.86,4.77,3.96,0.97,0.67,0.0,0.28,0.22,0.3,0.0,0.0,99.99000000000002
08/25/2021,8.21,9.05,6.84,7.32,6.74,0.0,5.47,4.09,4.05,0.0,3.66,3.6,3.92,3.38,3.54,3.53,0.0,2.85,1.88,0.82,0.36,0.0,0.71,0.75,0.64,0.0,0.55,0.22,0.24,0.0,0.25,0.0,0.23,0.09,0.0,5.85,4.82,3.92,0.97,0.67,0.0,0.28,0.22,0.0,0.31,0.0,100.03
09/01/2021,8.31,9.15,6.75,7.25,6.82,0.0,5.24,4.23,3.88,0.0,3.66,3.68,3.92,3.39,3.5,3.6,0.0,2.77,1.87,0.83,0.35,0.0,0.72,0.84,0.62,0.0,0.53,0.26,0.29,0.0,0.25,0.0,0.23,0.09,0.0,5.84,4.86,3.8,1.02,0.66,0.0,0.27,0.22,0.0,0.0,0.29,99.99
09/02/2021,8.27,9.29,6.59,7.21,6.75,0.0,5.4,4.25,3.91,0.0,3.65,3.57,3.94,3.38,3.5,3.6,0.0,2.73,1.87,0.81,0.35,0.0,0.69,0.84,0.63,0.0,0.52,0.26,0.27,0.0,0.25,0.0,0.24,0.09,0.0,5.75,5.13,3.78,1.04,0.65,0.0,0.27,0.22,0.0,0.0,0.29,99.99
09/16/2021,8.48,9.43,6.8,7.22,6.6,0.0,5.38,4.14,3.99,0.0,3.62,3.55,4.17,3.27,3.61,3.59,0.0,2.64,1.89,0.8,0.44,0.0,0.66,0.84,0.64,0.0,0.53,0.26,0.27,0.0,0.25,0.0,0.25,0.09,0.0,5.63,4.64,3.86,1.09,0.66,0.0,0.25,0.23,0.24,0.0,0.0,100.01
09/17/2021,8.55,9.36,6.72,7.23,6.55,0.0,5.27,4.21,4.03,0.0,3.63,3.48,4.24,3.32,3.6,3.56,0.0,2.6,1.91,0.77,0.43,0.0,0.64,0.82,0.65,0.0,0.52,0.25,0.26,0.0,0.25,0.0,0.24,0.1,0.0,5.73,4.77,3.92,1.05,0.63,0.0,0.24,0.23,0.24,0.0,0.0,100.0
09/20/2021,8.53,9.52,6.88,7.25,6.55,0.0,5.25,4.18,3.97,0.0,3.64,3.58,4.23,3.33,3.65,3.55,0.0,2.58,1.88,0.77,0.42,0.0,0.63,0.8,0.64,0.0,0.52,0.27,0.26,0.0,0.26,0.0,0.23,0.1,0.0,5.63,4.62,3.87,1.05,0.63,0.0,0.24,0.24,0.24,0.0,0.0,99.99
09/21/2021,8.67,9.66,6.93,7.27,6.51,0.0,5.06,4.22,4.05,0.0,3.73,3.68,4.3,3.35,3.63,3.53,0.0,2.56,1.89,0.74,0.44,0.0,0.61,0.8,0.64,0.0,0.53,0.27,0.26,0.0,0.27,0.0,0.24,0.1,0.0,5.5,4.28,3.9,1.02,0.64,0.0,0.23,0.24,0.24,0.0,0.0,99.99
10/15/2021,7.9,8.57,9.41,8.81,3.57,0.0,3.14,3.78,7.79,0.0,3.65,4.7,3.99,3.64,4.11,3.78,0.0,2.91,1.96,0.81,0.31,0.0,0.63,0.75,0.75,0.0,0.59,0.22,0.28,0.0,0.28,0.0,0.23,0.09,0.0,3.76,3.38,4.05,0.99,0.57,0.0,0.25,0.23,0.14,0.0,0.0,100.02
10/18/2021,7.75,8.59,9.09,8.86,3.7,0.0,3.17,3.76,7.68,0.0,3.75,4.58,3.97,3.74,4.09,3.9,0.0,2.83,2.0,0.82,0.29,0.0,0.63,0.74,0.78,0.0,0.64,0.21,0.28,0.0,0.28,0.0,0.23,0.09,0.0,3.83,3.41,4.11,0.99,0.58,0.0,0.24,0.23,0.14,0.0,0.0,99.98
10/19/2021,7.61,8.72,9.01,8.77,3.69,0.0,3.3,3.72,7.62,0.0,3.68,4.59,3.97,3.66,4.08,3.94,0.0,2.89,1.98,0.79,0.26,0.0,0.66,0.76,0.8,0.0,0.61,0.21,0.28,0.0,0.29,0.0,0.23,0.09,0.0,3.94,3.54,4.14,1.0,0.58,0.0,0.24,0.23,0.14,0.0,0.0,100.02
10/20/2021,7.61,8.72,9.01,8.77,3.69,0.0,3.3,3.72,7.62,0.0,3.68,4.59,3.97,3.66,4.08,3.94,0.0,2.89,1.98,0.79,0.26,0.0,0.66,0.76,0.8,0.0,0.61,0.21,0.28,0.0,0.29,0.0,0.23,0.09,0.0,3.94,3.54,4.14,1.0,0.58,0.0,0.24,0.23,0.14,0.0,0.0,100.02
10/21/2021,7.77,8.99,8.82,8.58,3.57,0.0,3.35,3.72,7.71,0.0,3.67,4.54,4.05,3.66,4.02,3.8,0.0,2.83,2.01,0.8,0.28,0.0,0.62,0.76,0.81,0.0,0.62,0.2,0.27,0.0,0.27,0.0,0.24,0.09,0.0,3.99,3.56,4.21,1.02,0.55,0.0,0.24,0.23,0.14,0.0,0.0,99.99
10/22/2021,7.74,8.94,8.83,8.66,3.54,0.0,3.43,3.74,7.66,0.0,3.71,4.51,4.03,3.68,3.99,3.78,0.0,2.81,1.99,0.82,0.28,0.0,0.64,0.76,0.81,0.0,0.62,0.21,0.28,0.0,0.27,0.0,0.24,0.08,0.0,4.06,3.6,4.12,0.99,0.55,0.0,0.24,0.23,0.14,0.0,0.0,99.98
