,AGZ,IEI,STIP,SJNK,SHYG,iShares TIPS Bond ETF,Blackrock Federal Fd 30 Instl,Cash,TIP,SHV,BKLN,SHY,iShares CMBS ETF,iShares 0-5 Year High Yield Corp Bd ETF,n/a,SUM
09/16/2021,29.96,23.26,29.38,0.0,0.0,0.0,0.0,0.0,0.0,1.66,14.34,0.0,0.0,0.0,1.4,100.0
09/17/2021,29.99,23.27,29.35,0.0,0.0,0.0,0.0,0.0,0.0,1.66,14.33,0.0,0.0,0.0,1.39,99.99
09/20/2021,29.96,23.25,29.36,0.0,0.0,0.0,0.0,0.0,0.0,1.66,14.35,0.0,0.0,0.0,1.41,99.98999999999998
09/21/2021,29.94,23.23,29.38,0.0,0.0,0.0,0.0,0.0,0.0,1.67,14.37,0.0,0.0,0.0,1.41,100.0
09/22/2021,29.94,23.23,29.38,0.0,0.0,0.0,0.0,0.0,0.0,1.67,14.37,0.0,0.0,0.0,1.41,100.0
09/23/2021,29.94,23.23,29.38,0.0,0.0,0.0,0.0,0.0,0.0,1.67,14.37,0.0,0.0,0.0,1.41,100.0
09/24/2021,29.94,23.23,29.38,0.0,0.0,0.0,0.0,0.0,0.0,1.67,14.37,0.0,0.0,0.0,1.41,100.0
09/27/2021,30.1,23.34,29.42,0.0,0.0,0.0,0.0,0.0,0.0,1.67,14.4,0.0,0.0,0.0,1.07,100.0
09/28/2021,30.04,17.84,29.48,4.79,2.05,0.0,0.0,0.0,0.0,9.32,5.43,0.0,0.0,0.0,1.05,100.0
09/29/2021,30.04,17.84,29.48,4.79,2.05,0.0,0.0,0.0,0.0,9.32,5.43,0.0,0.0,0.0,1.05,100.0
09/30/2021,30.04,17.84,29.48,4.79,2.05,0.0,0.0,0.0,0.0,9.32,5.43,0.0,0.0,0.0,1.05,100.0
10/01/2021,30.04,17.82,29.51,4.79,2.05,0.0,0.0,0.0,0.0,9.32,5.43,0.0,0.0,0.0,1.04,100.0
10/04/2021,30.01,17.82,29.54,4.79,2.04,0.0,0.0,0.0,0.0,9.32,5.44,0.0,0.0,0.0,1.04,100.0
10/08/2021,30.11,17.87,29.62,4.77,2.04,0.0,0.0,0.0,0.0,9.35,5.45,0.0,0.0,0.0,0.79,100.0
10/11/2021,30.04,17.83,29.59,4.77,2.04,0.0,0.0,0.0,0.0,9.34,5.45,0.0,0.0,0.0,0.93,99.99
10/12/2021,30.05,17.82,29.62,4.77,2.04,0.0,0.0,0.0,0.0,9.35,5.46,0.0,0.0,0.0,0.9,100.01
10/13/2021,30.05,17.82,29.62,4.77,2.04,0.0,0.0,0.0,0.0,9.35,5.46,0.0,0.0,0.0,0.9,100.01
10/14/2021,30.02,17.8,29.65,4.76,2.04,0.0,0.0,0.0,0.0,9.36,5.46,0.0,0.0,0.0,0.9,99.99
10/15/2021,30.02,17.8,29.65,4.76,2.04,0.0,0.0,0.0,0.0,9.36,5.46,0.0,0.0,0.0,0.9,99.99
10/18/2021,30.06,17.81,29.62,4.78,2.04,0.0,0.0,0.0,0.0,9.34,5.45,0.0,0.0,0.0,0.9,100.0
10/19/2021,30.04,17.78,29.65,4.78,2.04,0.0,0.0,0.0,0.0,9.35,5.45,0.0,0.0,0.0,0.9,99.99
10/20/2021,30.04,17.78,29.65,4.78,2.04,0.0,0.0,0.0,0.0,9.35,5.45,0.0,0.0,0.0,0.9,99.99
10/21/2021,30.04,17.78,29.65,4.78,2.04,0.0,0.0,0.0,0.0,9.35,5.45,0.0,0.0,0.0,0.9,99.99
