,MAPS,TLRY,WEED.TO,VFF.TO,39342L108 TRS 050322,GRWG,AFCG,HYFM,IIPR,23126M102 TRS 050322,89788C104 TRS 050322,22587M106 TRS 050322,CRON.TO,RIV.TO,VLNS.TO,Cash&Other,CWEB.TO,GNLN,JAZZ,CARA,CLVR,OGI.TO,NEPT.TO,05475P109 TRS 050322,YCBD,ZYNE,197309107 TRS 050322,PKI,LABS.TO,KERN,XLY.TO,IMCC.CN,ARNA,AH.TO,GTBIF,CURLF,TCNNF,CRLBF,AYRWF,CCHWF,92338D101 TRS 050322,CGC,VFF,VLNS CN,RIV CN,CRON,CWEB CN,OGI,NEPT,LABS CN,XLY CN,IMCC CN,AH CN,RIV.CN,SUM
07/23/2021,7.78,7.13,6.02,6.31,5.73,4.76,5.18,5.0,4.1,4.39,4.25,4.0,3.32,3.25,2.48,4.95,2.71,2.63,2.51,1.82,1.79,1.76,0.97,1.07,0.99,0.88,0.89,0.87,0.8,0.66,0.44,0.32,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,7.57,7.56,6.68,6.29,5.84,4.83,5.45,5.92,3.52,4.44,4.14,4.02,3.26,3.21,2.74,2.58,2.78,2.57,3.11,1.79,1.77,1.7,0.97,1.11,0.99,0.87,0.9,0.89,0.81,0.66,0.43,0.34,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,7.5,7.49,6.7,6.36,5.8,4.8,5.45,6.06,3.59,4.35,4.07,4.0,3.26,3.21,2.75,2.61,2.78,2.61,3.16,1.71,1.79,1.7,0.95,1.11,0.98,0.86,0.89,0.93,0.81,0.67,0.45,0.34,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,7.5,7.49,6.7,6.36,5.8,4.8,5.45,6.06,3.59,4.35,4.07,4.0,3.26,3.21,2.75,2.61,2.78,2.61,3.16,1.71,1.79,1.7,0.95,1.11,0.98,0.86,0.89,0.93,0.81,0.67,0.45,0.34,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,7.35,7.51,6.69,6.39,5.75,4.81,5.63,6.07,3.57,4.2,4.01,3.97,3.31,3.19,2.83,2.59,2.76,2.65,3.13,1.72,1.89,1.77,0.97,1.1,0.92,0.86,0.89,0.97,0.83,0.65,0.44,0.34,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,7.13,7.22,6.45,6.41,5.71,4.91,5.7,6.22,3.66,4.18,4.05,3.97,3.35,3.28,2.79,2.68,2.77,2.6,3.24,1.75,1.88,1.75,0.94,1.12,0.95,0.89,0.91,0.99,0.83,0.63,0.45,0.35,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,7.22,8.33,6.54,6.45,5.44,4.91,5.47,5.94,3.55,4.08,4.0,3.86,3.38,3.2,2.99,2.56,2.77,2.61,3.03,1.71,2.0,1.79,0.95,1.07,0.96,0.85,0.9,0.99,0.8,0.65,0.42,0.33,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/03/2021,7.17,8.0,6.41,6.42,5.53,4.86,5.49,6.05,3.6,4.08,4.06,4.01,3.34,3.2,3.06,2.59,2.76,2.58,3.05,1.7,1.99,1.8,0.97,1.09,0.97,0.83,0.9,1.02,0.83,0.62,0.44,0.34,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,7.17,8.0,6.41,6.42,5.53,4.86,5.49,6.05,3.6,4.08,4.06,4.01,3.34,3.2,3.06,2.59,2.76,2.58,3.05,1.7,1.99,1.8,0.97,1.09,0.97,0.83,0.9,1.02,0.83,0.62,0.44,0.34,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,7.16,7.98,6.36,6.32,5.73,4.81,5.44,6.05,3.58,4.18,4.14,4.17,3.32,3.18,3.05,2.58,2.75,2.46,3.07,1.73,1.93,1.77,0.94,1.12,0.91,0.85,0.93,1.03,0.82,0.64,0.44,0.34,0.21,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/06/2021,7.12,7.88,6.43,6.36,5.9,4.94,5.31,6.07,3.62,4.08,4.11,4.19,3.38,2.96,2.97,2.62,2.71,2.46,3.12,1.68,2.02,1.79,0.96,1.11,0.93,0.85,0.91,1.05,0.82,0.64,0.44,0.33,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/10/2021,6.7,7.85,6.88,6.23,6.5,4.41,4.85,6.09,3.14,4.04,5.1,4.57,2.62,2.96,3.0,2.12,2.77,2.23,2.69,1.81,2.08,1.24,0.97,2.53,0.84,0.83,0.88,0.01,0.78,0.63,0.4,0.33,0.19,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/11/2021,6.7,7.85,6.88,6.23,6.5,4.41,4.85,6.09,3.14,4.04,5.1,4.57,2.62,2.96,3.0,2.12,2.77,2.23,2.69,1.81,2.08,1.24,0.97,2.53,0.84,0.83,0.88,0.01,0.78,0.63,0.4,0.33,0.19,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/13/2021,7.28,8.7,6.62,5.5,6.91,3.96,4.75,5.66,3.09,4.97,5.69,4.95,2.56,3.09,2.78,0.82,2.81,1.83,2.24,1.82,1.81,1.24,0.96,3.08,0.84,0.84,1.07,0.01,0.78,0.64,0.39,0.32,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.92000000000002
08/16/2021,6.86,8.71,6.62,5.56,7.13,3.44,5.17,5.41,3.3,5.15,5.61,5.04,2.47,2.69,3.01,0.92,2.74,1.77,2.37,1.95,1.91,1.28,0.86,3.13,0.86,0.86,1.08,0.01,0.77,0.65,0.42,0.34,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/17/2021,6.75,8.36,6.56,5.1,7.09,3.09,5.24,4.79,3.38,5.22,5.54,5.5,2.45,2.57,3.59,1.35,3.03,1.8,2.36,2.07,2.17,1.41,0.8,3.07,0.82,0.81,1.05,0.01,0.77,0.65,0.41,0.34,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/18/2021,6.75,8.36,6.56,5.1,7.09,3.09,5.24,4.79,3.38,5.22,5.54,5.5,2.45,2.57,3.59,1.35,3.03,1.8,2.36,2.07,2.17,1.41,0.8,3.07,0.82,0.81,1.05,0.01,0.77,0.65,0.41,0.34,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/19/2021,6.52,8.54,6.6,5.59,7.16,2.83,5.44,3.37,3.45,5.21,4.24,5.52,2.52,2.81,3.54,3.83,2.85,1.79,2.41,1.94,1.9,1.25,0.79,3.14,0.88,0.81,1.02,0.01,0.77,0.66,0.5,0.33,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07000000000002
08/20/2021,6.92,8.64,6.64,5.55,7.06,2.74,5.39,3.41,3.46,5.14,4.15,5.46,2.52,2.82,3.69,3.88,2.81,1.71,2.39,1.99,1.81,1.25,0.76,3.09,0.83,0.82,1.02,0.01,0.72,0.64,0.48,0.31,0.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/23/2021,6.99,8.54,6.42,5.4,7.1,2.77,5.4,3.5,3.55,5.2,4.27,5.56,2.5,2.77,3.78,3.95,2.59,1.72,2.33,1.98,1.89,1.22,0.79,3.11,0.86,0.79,1.02,0.01,0.73,0.64,0.47,0.28,0.18,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/24/2021,7.15,8.62,6.48,5.55,6.81,2.81,5.41,3.59,3.62,5.18,4.15,5.47,2.5,2.71,3.69,3.94,2.53,1.73,2.37,2.19,1.88,1.23,0.81,3.03,0.83,0.79,1.0,0.01,0.7,0.65,0.47,0.27,0.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,7.15,8.62,6.48,5.55,6.81,2.81,5.41,3.59,3.62,5.18,4.15,5.47,2.5,2.71,3.69,3.94,2.53,1.73,2.37,2.19,1.88,1.23,0.81,3.03,0.83,0.79,1.0,0.01,0.7,0.65,0.47,0.27,0.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/26/2021,6.98,8.75,6.52,5.57,6.67,2.88,5.44,3.75,3.57,5.14,4.04,5.53,2.51,2.76,3.75,3.83,2.53,1.7,2.4,2.22,1.87,1.29,0.87,2.93,0.83,0.83,0.98,0.01,0.7,0.63,0.47,0.26,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/27/2021,6.91,8.85,6.57,5.69,6.85,2.95,5.39,3.85,3.54,5.22,4.07,5.39,2.54,2.55,3.74,3.75,2.49,1.7,2.3,2.26,1.85,1.31,0.88,2.75,0.82,0.85,0.98,0.01,0.72,0.64,0.51,0.27,0.19,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/30/2021,6.8,8.7,6.49,5.64,7.02,2.91,5.48,3.93,3.58,5.35,4.1,5.31,2.53,2.56,3.59,3.83,2.4,1.86,2.3,2.13,1.78,1.3,0.96,2.85,0.89,0.84,0.99,0.01,0.7,0.65,0.48,0.27,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,6.96,8.69,6.43,5.64,6.97,2.86,5.51,3.96,3.58,5.39,4.08,5.42,2.52,2.61,3.56,3.77,2.29,1.96,2.27,2.24,1.78,1.31,0.93,2.73,0.86,0.85,1.0,0.01,0.68,0.64,0.51,0.27,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/01/2021,6.96,8.69,6.43,5.64,6.97,2.86,5.51,3.96,3.58,5.39,4.08,5.42,2.52,2.61,3.56,3.77,2.29,1.96,2.27,2.24,1.78,1.31,0.93,2.73,0.86,0.85,1.0,0.01,0.68,0.64,0.51,0.27,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/02/2021,7.18,8.58,6.38,5.64,6.86,2.83,5.51,3.97,3.68,5.37,4.09,5.41,2.52,2.6,3.56,3.81,2.24,1.99,2.27,2.3,1.72,1.3,0.86,2.74,0.89,0.85,1.0,0.01,0.69,0.65,0.49,0.26,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/03/2021,7.19,8.82,6.41,5.68,6.82,2.92,5.48,4.05,3.65,5.28,4.04,5.35,2.56,2.54,3.45,3.75,2.28,1.91,2.24,2.41,1.66,1.33,0.84,2.74,0.87,0.9,0.98,0.01,0.7,0.66,0.5,0.24,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/06/2021,7.85,8.84,6.44,5.53,6.57,2.86,5.52,4.21,3.66,5.2,4.01,5.19,2.54,2.48,3.36,3.69,2.2,1.89,2.28,2.39,1.66,1.35,0.84,2.7,0.91,0.91,0.98,0.01,0.67,0.67,0.51,0.26,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/07/2021,7.82,8.66,0.0,0.0,6.67,2.87,5.38,4.35,3.7,5.79,4.09,5.17,0.0,0.0,0.0,2.8,0.0,2.0,2.3,2.31,1.64,0.0,0.0,2.99,0.96,0.89,1.18,0.01,0.0,0.65,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,6.25,5.42,3.28,2.5,2.49,2.18,1.31,0.81,0.68,0.51,0.25,0.02,0.0,100.01
09/08/2021,7.82,8.66,6.25,5.42,6.67,2.87,5.38,4.35,3.7,5.79,4.09,5.17,2.49,2.5,3.28,2.8,2.18,2.0,2.3,2.31,1.64,1.31,0.81,2.99,0.96,0.89,1.18,0.01,0.68,0.65,0.51,0.25,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/09/2021,7.82,8.66,6.25,5.42,6.67,2.87,5.38,4.35,3.7,5.79,4.09,5.17,2.49,2.5,3.28,2.8,2.18,2.0,2.3,2.31,1.64,1.31,0.81,2.99,0.96,0.89,1.18,0.01,0.68,0.65,0.51,0.25,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/10/2021,7.39,8.64,6.33,5.41,6.55,2.88,5.42,4.4,3.74,5.8,4.04,5.06,2.49,2.49,3.29,3.07,2.25,2.07,2.31,2.41,1.56,1.31,0.84,2.95,0.97,0.91,1.14,0.01,0.67,0.69,0.51,0.24,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/13/2021,7.8,8.67,6.13,5.4,6.3,2.91,5.4,4.42,3.79,5.78,4.11,4.84,2.52,2.58,3.09,3.16,2.15,1.97,2.39,2.49,1.66,1.33,0.84,2.91,0.98,0.97,1.1,0.01,0.7,0.69,0.49,0.25,0.24,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/14/2021,7.69,8.55,6.01,5.37,6.22,2.88,5.48,4.52,3.73,5.72,4.03,4.74,2.54,2.49,3.16,3.23,2.18,2.39,2.44,2.5,1.69,1.31,0.91,2.84,0.98,0.97,1.11,0.01,0.72,0.7,0.47,0.25,0.24,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/15/2021,7.69,8.55,6.01,5.37,6.22,2.88,5.48,4.52,3.73,5.72,4.03,4.74,2.54,2.49,3.16,3.23,2.18,2.39,2.44,2.5,1.69,1.31,0.91,2.84,0.98,0.97,1.11,0.01,0.72,0.7,0.47,0.25,0.24,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/16/2021,7.77,8.48,6.03,5.5,6.41,2.79,5.51,4.26,3.65,5.79,4.05,4.78,2.53,2.68,3.17,3.26,2.16,2.18,2.47,2.45,1.66,1.33,0.86,2.92,0.94,0.97,1.09,0.01,0.71,0.7,0.48,0.24,0.24,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/17/2021,8.16,8.36,6.02,5.51,6.51,2.61,5.59,4.04,3.74,5.77,3.99,4.86,2.5,2.64,3.16,3.34,2.13,2.09,2.53,2.47,1.65,1.32,0.84,2.99,0.91,0.97,1.06,0.01,0.72,0.68,0.49,0.24,0.24,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/20/2021,7.8,8.26,5.89,5.53,6.71,2.63,5.2,3.96,3.73,5.94,4.32,5.14,2.46,2.67,3.02,3.85,2.06,2.08,2.39,2.44,1.66,1.28,0.77,3.09,0.85,0.94,1.15,0.01,0.67,0.63,0.48,0.22,0.24,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/21/2021,7.93,8.39,5.86,5.53,6.5,2.64,5.06,3.91,3.69,5.93,4.21,5.05,2.48,2.71,3.22,3.85,2.02,2.16,2.42,2.5,1.66,1.28,0.9,3.09,0.85,0.92,1.18,0.01,0.59,0.62,0.48,0.22,0.25,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/22/2021,7.93,8.39,5.86,5.53,6.5,2.64,5.06,3.91,3.69,5.93,4.21,5.05,2.48,2.71,3.22,3.85,2.02,2.16,2.42,2.5,1.66,1.28,0.9,3.09,0.85,0.92,1.18,0.01,0.59,0.62,0.48,0.22,0.25,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/23/2021,8.04,8.1,5.64,5.55,6.55,2.67,5.24,3.82,3.88,6.04,4.12,4.95,2.48,2.75,3.02,4.03,2.07,2.14,2.45,2.62,1.59,1.29,0.83,2.96,0.88,0.95,1.18,0.01,0.62,0.62,0.49,0.22,0.26,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/24/2021,7.76,8.0,5.57,5.41,6.76,2.63,5.27,3.65,3.83,6.18,4.36,5.07,2.43,2.78,3.25,3.98,2.08,2.05,2.43,2.64,1.61,1.28,0.83,2.91,0.93,0.98,1.2,0.01,0.62,0.66,0.48,0.21,0.26,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/27/2021,8.03,8.19,5.73,5.14,7.08,3.13,4.77,3.5,3.86,6.78,5.04,5.33,2.46,2.77,3.21,1.44,2.02,2.04,2.42,2.57,1.66,1.32,0.8,3.45,0.87,0.97,1.12,0.01,0.62,0.64,0.49,0.25,0.25,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/28/2021,8.17,7.99,5.5,4.91,7.43,2.94,4.72,3.23,3.86,6.94,5.24,5.7,2.35,0.0,3.08,1.45,2.01,1.98,2.44,2.59,1.66,1.28,0.83,3.68,0.88,0.96,1.19,0.01,0.6,0.62,0.47,0.27,0.24,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,99.97
09/29/2021,8.17,7.99,5.5,4.91,7.43,2.94,4.72,3.23,3.86,6.94,5.24,5.7,2.35,0.0,3.08,1.45,2.01,1.98,2.44,2.59,1.66,1.28,0.83,3.68,0.88,0.96,1.19,0.01,0.6,0.62,0.47,0.27,0.24,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,99.97
09/30/2021,8.06,8.21,5.71,4.84,7.41,3.02,4.72,3.34,3.74,6.83,5.15,5.83,2.38,0.0,3.06,1.42,2.02,2.01,2.37,2.56,1.58,1.28,0.89,3.66,0.85,0.97,1.14,0.01,0.6,0.61,0.46,0.26,0.24,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72,99.98
