,AAPL,MSFT,AMZN,OTIS,MRK,EVR,ABBV,JEF,BAH,ACI,PLTK,FB,HD,TGT,JNJ,MSCI,LLY,WMT,BMY,CRWD,VZ,LAZ,VRSN,PG,KR,AMGN,AMCR,PM,TXN,ALL,AZPN,FTNT,ALLY,QCOM,COST,TSLA,OMF,NVDA,CTXS,DPZ,UPS,FICO,KMB,VST,TREX,LMT,RS,SPGI,SGFY,GOOG,TEAM,HPE,MSI,AMP,GOOGL,EBAY,CDNS,SMG,FCN,MA,BBY,HCA,PRI,BPOP,EXPD,ALSN,QRVO,NOC,ADBE,HLF,ORCL,LESL,TER,DVA,LII,INTC,WSM,STT,CVS,MANH,CHE,CSCO,SYF,LOW,BPYU,YUM,INTU,STNE,POOL,AFL,MS,XRX,HUBS,DVN,TTWO,MRNA,FLO,COF,MCFE,UI,BHF,HPQ,EQH,CNXC,WTM,SLG,CARR,LRCX,VRTX,ZM,AFG,AM,EL,ZS,MTCH,TMO,AMAT,VNT,DKS,ZBRA,AVGO,LUMN,PFE,VER,KLAC,DG,GS,MAS,LITE,AZO,W,DNB,EA,NRG,NVT,AMED,BIIB,NTAP,ATVI,CRUS,MTD,IDXX,QRTEA,PFG,SEE,VEEV,GO,DBX,XLRN,ABT,V,PHM,JBL,CACI,GWW,SBUX,CIEN,AN,DOV,ORLY,MOH,CPB,ETR,DT,FAF,VIRT,WU,ENPH,RL,ATH,CDW,QDEL,LULU,RHI,CLX,SLGN,SHC,MO,RPRX,MCK,UPST,WORK,TPX,CAH,SHLS,FNF,XTSLA,CHTR,OKTA,COLM,HIG,HSY,PAYX,LDOS,RJF,HRB,UNM,SMAR,GDDY,LPLA,SNPS,AKAM,MRO,LB,DTM WI,LPX,OGN,SF,DECK,NKE,CL,BRX,GILD,CMCSA,UNH,PYPL,SJM,BLD,MCD,SBAC,MCY,AMD,ANET,RSG,127.HK,USD,n/a,MXIM,FDX,GIS,ZTS,BBWI WI,NWL,AVY,MDLZ,GGG,OMC,AA,HE,GPK,BEN,AZEK,SNDR,NTNX,PEP,TT,WM,688185.SS,SUM
07/23/2021,5.83,5.54,3.52,1.38,1.27,1.38,1.34,1.13,1.11,1.16,0.95,1.2,1.05,1.02,1.03,0.86,0.85,0.87,0.72,0.7,0.72,0.79,0.62,0.98,0.71,0.67,0.6,0.69,0.67,0.57,0.69,0.65,0.72,0.72,0.66,0.51,0.71,0.81,0.68,0.57,0.59,0.52,0.55,0.45,0.41,0.54,0.46,0.58,0.45,0.76,0.5,0.56,0.48,0.39,0.83,0.51,0.47,0.55,0.49,0.49,0.51,0.54,0.43,0.47,0.42,0.39,0.38,0.37,0.6,0.43,0.46,0.41,0.39,0.39,0.36,0.37,0.43,0.43,0.48,0.35,0.33,0.44,0.33,0.32,0.44,0.33,0.36,0.3,0.26,0.35,0.39,0.33,0.34,0.0,0.3,0.45,0.33,0.24,0.24,0.31,0.31,0.32,0.3,0.28,0.26,0.54,0.24,0.3,0.27,0.24,0.28,0.21,0.24,0.23,0.22,0.35,0.28,0.22,0.24,0.23,0.32,0.29,0.28,0.42,0.26,0.31,0.29,0.17,0.18,0.25,0.23,0.22,0.19,0.2,0.22,0.18,0.24,0.22,0.22,0.21,0.26,0.24,0.29,0.14,0.18,0.19,0.17,0.17,0.2,0.27,0.36,0.1,0.16,0.2,0.17,0.16,0.15,0.21,0.15,0.15,0.14,0.21,0.23,0.0,0.2,0.21,0.13,0.0,0.0,0.1,0.1,0.11,0.13,0.0,0.22,0.13,0.16,0.18,0.11,0.15,0.17,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.13,0.12,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.13,0.94,0.62,0.53,0.38,0.27,0.19,0.19,0.18,0.18,0.18,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8
07/26/2021,5.75,5.53,3.5,1.38,1.26,1.41,1.34,1.14,1.1,1.16,0.97,1.2,1.05,1.02,1.03,0.85,0.85,0.86,0.72,0.7,0.72,0.8,0.61,0.97,0.7,0.66,0.6,0.69,0.69,0.57,0.69,0.64,0.73,0.73,0.65,0.51,0.72,0.84,0.67,0.56,0.59,0.53,0.54,0.45,0.42,0.53,0.46,0.57,0.44,0.77,0.5,0.56,0.47,0.4,0.83,0.51,0.46,0.55,0.49,0.49,0.51,0.53,0.43,0.49,0.41,0.39,0.39,0.37,0.6,0.42,0.46,0.42,0.4,0.39,0.35,0.37,0.0,0.44,0.48,0.35,0.33,0.44,0.34,0.32,0.44,0.33,0.37,0.3,0.26,0.35,0.4,0.34,0.34,0.0,0.29,0.47,0.32,0.24,0.24,0.3,0.31,0.32,0.3,0.28,0.26,0.54,0.24,0.31,0.27,0.23,0.28,0.21,0.24,0.23,0.23,0.34,0.29,0.22,0.24,0.23,0.33,0.29,0.28,0.41,0.27,0.31,0.29,0.17,0.18,0.25,0.22,0.22,0.18,0.2,0.21,0.18,0.24,0.22,0.21,0.21,0.26,0.24,0.29,0.15,0.18,0.18,0.17,0.17,0.2,0.27,0.36,0.0,0.16,0.2,0.17,0.16,0.16,0.21,0.15,0.15,0.14,0.21,0.22,0.11,0.2,0.2,0.13,0.0,0.0,0.0,0.0,0.11,0.12,0.0,0.21,0.13,0.15,0.18,0.11,0.15,0.17,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.13,0.12,0.1,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,2.15,0.96,0.64,0.54,0.38,0.27,0.19,0.19,0.18,0.18,0.17,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.1,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.95
07/27/2021,5.8,5.62,3.55,1.39,1.27,1.41,1.35,1.12,1.1,1.11,0.95,1.22,1.05,1.02,1.03,0.86,0.85,0.86,0.73,0.72,0.72,0.78,0.62,0.96,0.69,0.65,0.6,0.7,0.65,0.57,0.69,0.66,0.72,0.73,0.65,0.5,0.71,0.85,0.67,0.64,0.59,0.54,0.54,0.46,0.41,0.53,0.46,0.57,0.44,0.77,0.5,0.55,0.47,0.39,0.83,0.53,0.47,0.54,0.48,0.5,0.5,0.53,0.42,0.48,0.41,0.38,0.38,0.37,0.61,0.42,0.47,0.4,0.4,0.39,0.34,0.37,0.0,0.43,0.48,0.36,0.33,0.44,0.33,0.32,0.44,0.33,0.37,0.3,0.26,0.34,0.4,0.34,0.34,0.0,0.29,0.47,0.32,0.24,0.24,0.3,0.3,0.31,0.3,0.28,0.26,0.52,0.24,0.31,0.27,0.24,0.27,0.21,0.24,0.24,0.23,0.35,0.29,0.22,0.24,0.23,0.33,0.28,0.28,0.41,0.27,0.31,0.29,0.17,0.18,0.25,0.22,0.22,0.18,0.2,0.21,0.18,0.24,0.22,0.21,0.21,0.26,0.25,0.29,0.14,0.18,0.19,0.15,0.17,0.2,0.27,0.36,0.0,0.16,0.2,0.17,0.16,0.15,0.21,0.15,0.15,0.14,0.2,0.22,0.11,0.21,0.2,0.13,0.0,0.0,0.1,0.1,0.12,0.13,0.0,0.22,0.13,0.15,0.18,0.11,0.16,0.17,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.13,0.12,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.11,0.95,0.65,0.53,0.39,0.27,0.19,0.18,0.18,0.18,0.18,0.14,0.14,0.13,0.13,0.12,0.11,0.11,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.01
07/28/2021,5.82,5.63,3.53,1.4,1.27,1.41,1.34,1.09,1.1,1.11,0.94,1.27,1.06,1.02,1.03,0.86,0.86,0.86,0.72,0.73,0.71,0.77,0.59,0.97,0.69,0.66,0.59,0.7,0.66,0.57,0.69,0.66,0.71,0.73,0.66,0.49,0.72,0.83,0.67,0.62,0.58,0.53,0.54,0.46,0.41,0.53,0.46,0.57,0.43,0.79,0.5,0.55,0.47,0.39,0.86,0.53,0.48,0.54,0.49,0.51,0.51,0.53,0.42,0.48,0.41,0.38,0.38,0.37,0.6,0.42,0.45,0.39,0.4,0.38,0.34,0.35,0.42,0.43,0.48,0.36,0.33,0.44,0.33,0.32,0.43,0.34,0.37,0.3,0.26,0.34,0.39,0.34,0.33,0.0,0.3,0.5,0.32,0.24,0.24,0.3,0.3,0.32,0.29,0.28,0.26,0.51,0.25,0.31,0.27,0.24,0.27,0.21,0.25,0.24,0.23,0.35,0.29,0.22,0.25,0.24,0.33,0.28,0.28,0.41,0.27,0.31,0.29,0.17,0.18,0.25,0.21,0.22,0.19,0.2,0.22,0.18,0.24,0.22,0.21,0.21,0.26,0.25,0.29,0.14,0.18,0.19,0.15,0.17,0.2,0.27,0.37,0.0,0.16,0.2,0.17,0.16,0.16,0.21,0.15,0.15,0.14,0.2,0.22,0.11,0.21,0.2,0.13,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.22,0.13,0.15,0.18,0.11,0.16,0.16,0.0,0.0,0.15,0.0,0.0,0.6,0.15,0.0,0.0,0.0,0.13,0.12,0.1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.94,0.62,0.53,0.4,0.27,0.19,0.18,0.18,0.18,0.17,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.28
07/29/2021,5.83,5.62,3.57,1.4,1.27,1.4,1.34,1.1,1.1,1.12,0.92,1.28,1.05,1.02,1.03,0.86,0.86,0.86,0.72,0.72,0.71,0.77,0.59,0.97,0.69,0.65,0.6,0.7,0.66,0.57,0.69,0.66,0.72,0.73,0.66,0.5,0.71,0.82,0.67,0.63,0.58,0.52,0.53,0.46,0.4,0.51,0.46,0.56,0.42,0.8,0.49,0.56,0.48,0.4,0.86,0.53,0.47,0.54,0.49,0.51,0.52,0.52,0.42,0.48,0.41,0.38,0.38,0.36,0.6,0.42,0.45,0.4,0.39,0.38,0.35,0.35,0.42,0.44,0.48,0.35,0.33,0.45,0.33,0.32,0.43,0.34,0.37,0.29,0.27,0.34,0.4,0.34,0.34,0.0,0.29,0.48,0.32,0.24,0.24,0.3,0.31,0.32,0.3,0.28,0.26,0.52,0.24,0.31,0.27,0.24,0.27,0.21,0.25,0.23,0.23,0.35,0.29,0.22,0.24,0.23,0.33,0.28,0.28,0.41,0.27,0.31,0.29,0.17,0.18,0.25,0.21,0.21,0.19,0.2,0.22,0.18,0.24,0.22,0.21,0.21,0.26,0.25,0.29,0.14,0.18,0.18,0.15,0.17,0.19,0.27,0.37,0.1,0.16,0.2,0.17,0.16,0.16,0.21,0.15,0.15,0.14,0.2,0.23,0.11,0.2,0.2,0.13,0.0,0.0,0.0,0.0,0.11,0.13,0.1,0.22,0.13,0.15,0.18,0.11,0.16,0.17,0.0,0.0,0.15,0.0,0.0,0.6,0.15,0.0,0.0,0.0,0.13,0.12,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.95,0.61,0.53,0.4,0.27,0.19,0.18,0.18,0.18,0.17,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.23999999999998
07/30/2021,5.78,5.61,3.54,1.4,1.28,1.39,1.35,1.11,1.11,1.12,0.91,1.27,1.05,1.02,1.04,0.88,0.87,0.86,0.72,0.71,0.72,0.76,0.58,0.98,0.7,0.65,0.6,0.72,0.66,0.58,0.69,0.66,0.71,0.72,0.67,0.5,0.72,0.83,0.67,0.65,0.54,0.52,0.54,0.47,0.4,0.52,0.47,0.57,0.41,0.79,0.5,0.56,0.48,0.4,0.89,0.53,0.47,0.54,0.49,0.51,0.52,0.53,0.42,0.49,0.4,0.38,0.38,0.37,0.6,0.42,0.45,0.4,0.39,0.39,0.36,0.35,0.55,0.44,0.49,0.35,0.34,0.45,0.34,0.31,0.59,0.35,0.38,0.28,0.27,0.35,0.4,0.36,0.34,0.0,0.29,0.48,0.32,0.24,0.24,0.3,0.31,0.32,0.3,0.28,0.27,0.53,0.25,0.3,0.28,0.25,0.27,0.2,0.25,0.23,0.23,0.36,0.29,0.22,0.24,0.23,0.33,0.28,0.38,0.41,0.27,0.32,0.29,0.17,0.18,0.26,0.21,0.21,0.18,0.2,0.22,0.18,0.25,0.22,0.2,0.21,0.28,0.25,0.29,0.14,0.18,0.19,0.15,0.17,0.19,0.27,0.37,0.1,0.16,0.2,0.18,0.17,0.16,0.21,0.15,0.15,0.14,0.21,0.23,0.11,0.21,0.2,0.13,0.0,0.0,0.0,0.0,0.11,0.13,0.0,0.22,0.13,0.15,0.18,0.11,0.16,0.16,0.0,0.0,0.16,0.0,0.0,0.8,0.15,0.0,0.0,0.0,0.13,0.16,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.96,0.61,0.71,0.39,0.27,0.19,0.19,0.18,0.18,0.18,0.14,0.14,0.14,0.13,0.13,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.41
08/02/2021,5.67,5.54,3.49,1.39,1.25,1.38,1.34,1.12,1.09,1.18,0.91,1.22,1.03,1.02,1.03,0.89,0.86,0.85,0.72,0.71,0.71,0.8,0.57,0.96,0.7,0.64,0.6,0.71,0.66,0.58,0.68,0.66,0.71,0.76,0.65,0.52,0.72,0.83,0.57,0.63,0.52,0.51,0.53,0.47,0.39,0.51,0.48,0.58,0.39,0.78,0.5,0.56,0.47,0.41,0.91,0.53,0.47,0.53,0.5,0.5,0.52,0.52,0.42,0.48,0.4,0.38,0.38,0.37,0.6,0.42,0.44,0.39,0.38,0.38,0.36,0.35,0.41,0.44,0.48,0.39,0.33,0.44,0.34,0.31,0.0,0.36,0.38,0.29,0.27,0.35,0.39,0.35,0.33,0.0,0.29,0.5,0.31,0.24,0.24,0.31,0.31,0.32,0.3,0.28,0.27,0.52,0.25,0.3,0.27,0.26,0.27,0.2,0.25,0.23,0.23,0.36,0.29,0.22,0.24,0.23,0.33,0.27,0.0,0.4,0.27,0.32,0.29,0.16,0.18,0.26,0.2,0.21,0.18,0.2,0.22,0.18,0.24,0.22,0.19,0.2,0.29,0.26,0.28,0.14,0.18,0.18,0.16,0.17,0.2,0.27,0.36,0.1,0.17,0.2,0.18,0.16,0.16,0.21,0.15,0.14,0.13,0.2,0.22,0.11,0.21,0.2,0.13,0.0,0.0,0.1,0.0,0.11,0.13,0.1,0.21,0.13,0.16,0.19,0.0,0.16,0.17,0.0,0.0,0.15,0.0,0.0,0.16,0.15,0.0,0.0,0.0,0.13,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,2.19,0.98,0.6,0.55,0.4,0.27,0.19,0.19,0.18,0.18,0.18,0.13,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.03
08/03/2021,5.7,5.53,3.24,1.41,1.26,1.37,1.32,1.11,1.05,1.18,0.9,1.22,1.04,1.02,1.03,0.89,0.86,0.86,0.72,0.69,0.71,0.83,0.57,0.98,0.7,0.64,0.6,0.71,0.67,0.57,0.69,0.66,0.71,0.76,0.66,0.53,0.71,0.83,0.59,0.63,0.52,0.51,0.53,0.46,0.4,0.51,0.47,0.59,0.4,0.78,0.61,0.56,0.47,0.41,0.9,0.49,0.48,0.52,0.51,0.5,0.51,0.53,0.42,0.48,0.4,0.38,0.38,0.37,0.6,0.41,0.44,0.39,0.39,0.38,0.35,0.35,0.4,0.44,0.47,0.38,0.33,0.45,0.33,0.31,0.0,0.36,0.38,0.29,0.27,0.35,0.39,0.34,0.34,0.0,0.3,0.51,0.32,0.24,0.24,0.31,0.31,0.32,0.31,0.29,0.27,0.51,0.26,0.3,0.28,0.25,0.27,0.19,0.25,0.23,0.22,0.36,0.3,0.22,0.24,0.24,0.33,0.27,0.0,0.41,0.3,0.32,0.29,0.17,0.18,0.26,0.18,0.21,0.19,0.2,0.22,0.18,0.23,0.22,0.19,0.2,0.28,0.25,0.28,0.14,0.18,0.19,0.15,0.17,0.2,0.27,0.36,0.1,0.17,0.2,0.17,0.16,0.16,0.21,0.15,0.14,0.14,0.2,0.22,0.11,0.21,0.2,0.13,0.0,0.0,0.1,0.1,0.11,0.13,0.1,0.21,0.13,0.16,0.18,0.1,0.16,0.17,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.13,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.97,0.6,0.54,0.41,0.28,0.18,0.19,0.18,0.18,0.18,0.13,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.99
08/04/2021,5.7,5.53,3.24,1.41,1.26,1.37,1.32,1.11,1.05,1.18,0.9,1.22,1.04,1.02,1.03,0.89,0.86,0.86,0.72,0.69,0.71,0.83,0.57,0.98,0.7,0.64,0.6,0.71,0.67,0.57,0.69,0.66,0.71,0.76,0.66,0.53,0.71,0.83,0.59,0.63,0.52,0.51,0.53,0.46,0.4,0.51,0.47,0.59,0.4,0.78,0.61,0.56,0.47,0.41,0.9,0.49,0.48,0.52,0.51,0.5,0.51,0.53,0.42,0.48,0.4,0.38,0.38,0.37,0.6,0.41,0.44,0.39,0.39,0.38,0.35,0.35,0.4,0.44,0.47,0.38,0.33,0.45,0.33,0.31,0.0,0.36,0.38,0.29,0.27,0.35,0.39,0.34,0.34,0.0,0.3,0.51,0.32,0.24,0.24,0.31,0.31,0.32,0.31,0.29,0.27,0.51,0.26,0.3,0.28,0.25,0.27,0.19,0.25,0.23,0.22,0.36,0.3,0.22,0.24,0.24,0.33,0.27,0.0,0.41,0.3,0.32,0.29,0.17,0.18,0.26,0.18,0.21,0.19,0.2,0.22,0.18,0.23,0.22,0.19,0.2,0.28,0.25,0.28,0.14,0.18,0.19,0.15,0.17,0.2,0.27,0.36,0.1,0.17,0.2,0.17,0.16,0.16,0.21,0.15,0.14,0.14,0.2,0.22,0.11,0.21,0.2,0.13,0.0,0.0,0.1,0.1,0.11,0.13,0.1,0.21,0.13,0.16,0.18,0.1,0.16,0.17,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.13,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.97,0.6,0.54,0.41,0.28,0.18,0.19,0.18,0.18,0.18,0.13,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.99
08/05/2021,5.7,5.53,3.24,1.41,1.26,1.37,1.32,1.11,1.05,1.18,0.9,1.22,1.04,1.02,1.03,0.89,0.86,0.86,0.72,0.69,0.71,0.83,0.57,0.98,0.7,0.64,0.6,0.71,0.67,0.57,0.69,0.66,0.71,0.76,0.66,0.53,0.71,0.83,0.59,0.63,0.52,0.51,0.53,0.46,0.4,0.51,0.47,0.59,0.4,0.78,0.61,0.56,0.47,0.41,0.9,0.49,0.48,0.52,0.51,0.5,0.51,0.53,0.42,0.48,0.4,0.38,0.38,0.37,0.6,0.41,0.44,0.39,0.39,0.38,0.35,0.35,0.4,0.44,0.47,0.38,0.33,0.45,0.33,0.31,0.0,0.36,0.38,0.29,0.27,0.35,0.39,0.34,0.34,0.0,0.3,0.51,0.32,0.24,0.24,0.31,0.31,0.32,0.31,0.29,0.27,0.51,0.26,0.3,0.28,0.25,0.27,0.19,0.25,0.23,0.22,0.36,0.3,0.22,0.24,0.24,0.33,0.27,0.0,0.41,0.3,0.32,0.29,0.17,0.18,0.26,0.18,0.21,0.19,0.2,0.22,0.18,0.23,0.22,0.19,0.2,0.28,0.25,0.28,0.14,0.18,0.19,0.15,0.17,0.2,0.27,0.36,0.1,0.17,0.2,0.17,0.16,0.16,0.21,0.15,0.14,0.14,0.2,0.22,0.11,0.21,0.2,0.13,0.0,0.0,0.1,0.1,0.11,0.13,0.1,0.21,0.13,0.16,0.18,0.1,0.16,0.17,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.13,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.97,0.6,0.54,0.41,0.28,0.18,0.19,0.18,0.18,0.18,0.13,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.99
08/06/2021,5.71,5.53,3.25,1.43,1.24,1.33,1.31,1.12,1.0,1.27,0.88,1.19,1.05,1.02,1.04,0.92,0.9,0.86,0.73,0.69,0.71,0.82,0.57,0.99,0.73,0.64,0.6,0.71,0.66,0.57,0.67,0.71,0.7,0.74,0.67,0.54,0.71,0.84,0.59,0.64,0.53,0.5,0.53,0.45,0.4,0.5,0.47,0.59,0.4,0.78,0.61,0.57,0.47,0.41,0.9,0.49,0.48,0.52,0.51,0.47,0.52,0.53,0.42,0.48,0.4,0.38,0.39,0.37,0.6,0.41,0.45,0.38,0.39,0.39,0.35,0.0,0.42,0.44,0.48,0.39,0.33,0.45,0.33,0.31,0.0,0.37,0.38,0.28,0.27,0.35,0.39,0.35,0.33,0.0,0.27,0.56,0.31,0.24,0.25,0.31,0.3,0.33,0.31,0.28,0.27,0.49,0.27,0.31,0.27,0.25,0.27,0.19,0.24,0.24,0.22,0.36,0.3,0.22,0.25,0.23,0.33,0.28,0.0,0.4,0.3,0.32,0.29,0.17,0.17,0.26,0.19,0.19,0.18,0.2,0.23,0.18,0.24,0.23,0.18,0.19,0.28,0.25,0.29,0.14,0.19,0.19,0.16,0.17,0.19,0.27,0.34,0.1,0.17,0.19,0.0,0.15,0.16,0.21,0.15,0.15,0.14,0.2,0.0,0.11,0.21,0.2,0.12,0.0,0.0,0.1,0.1,0.11,0.14,0.1,0.19,0.13,0.16,0.18,0.1,0.16,0.18,0.0,0.1,0.15,0.0,0.0,1.11,0.16,0.0,0.0,0.0,0.13,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,2.2,0.0,0.6,0.53,0.42,0.28,0.18,0.19,0.18,0.18,0.18,0.13,0.14,0.15,0.12,0.13,0.11,0.13,0.11,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.47
08/09/2021,5.68,5.57,3.25,1.41,1.22,1.36,1.29,1.14,0.99,1.26,1.0,1.23,1.05,1.01,1.03,0.93,0.93,0.87,0.72,0.72,0.7,0.82,0.56,0.97,0.72,0.61,0.6,0.7,0.67,0.56,0.68,0.72,0.7,0.73,0.68,0.54,0.68,0.87,0.58,0.63,0.51,0.47,0.52,0.44,0.43,0.49,0.45,0.6,0.42,0.78,0.63,0.57,0.47,0.41,0.9,0.48,0.49,0.47,0.5,0.48,0.52,0.52,0.42,0.48,0.39,0.37,0.38,0.36,0.61,0.38,0.45,0.36,0.39,0.41,0.35,0.0,0.41,0.44,0.46,0.39,0.33,0.44,0.34,0.3,0.0,0.36,0.38,0.28,0.28,0.35,0.4,0.33,0.38,0.0,0.26,0.6,0.3,0.24,0.26,0.31,0.31,0.32,0.31,0.29,0.27,0.49,0.26,0.31,0.28,0.26,0.28,0.19,0.24,0.24,0.2,0.36,0.3,0.22,0.25,0.24,0.33,0.26,0.0,0.41,0.3,0.32,0.29,0.17,0.17,0.26,0.21,0.19,0.17,0.2,0.23,0.14,0.24,0.23,0.18,0.19,0.29,0.26,0.28,0.14,0.19,0.19,0.15,0.17,0.2,0.27,0.35,0.0,0.17,0.18,0.0,0.15,0.16,0.21,0.15,0.14,0.14,0.19,0.0,0.11,0.21,0.2,0.12,0.0,0.0,0.1,0.1,0.11,0.14,0.1,0.19,0.13,0.15,0.18,0.1,0.15,0.18,0.0,0.1,0.13,0.0,0.0,1.89,0.16,0.0,0.0,0.0,0.13,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.0,0.0,2.24,0.0,0.6,0.54,0.43,0.28,0.18,0.19,0.18,0.18,0.18,0.13,0.13,0.15,0.12,0.13,0.11,0.13,0.11,0.1,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.52
