,COSCO SHIPPING Holdings Company Limited (Class H),Yanzhou Coal Mining Company Limited (Class H),Jiangxi Copper Company Ltd. (Class H),688.HK,392.HK,"Chongqing Changan Automobile Co., Ltd. (Class B)",1114.HK,836.HK,1585.HK,"China Molybdenum Co., Ltd. (Class H)","Zijin Mining Group Co., Ltd.",1378.HK,"Xinjiang Goldwind Science & Technology Co., Ltd. (Class H)",2328.HK,2269.HK,992.HK,COSCO SHIPPING Energy Transportation Company Limited (Class H),"Flat Glass Group Co., Ltd. (Class H)",2777.HK,489.HK,1813.HK,Great Wall Motor Company Limited (Class H),2020.HK,2357.HK,US Dollar,1313.HK,285.HK,China Railway Group Ltd. (Class H),968.HK,China Petroleum & Chemical Corporation (Sinopec) (Class H),China Shenhua Energy Company Limited (Class H),1801.HK,China Coal Energy Company Limited,3383.HK,China National Building Material Company Ltd. (Class H),Aluminum Corporation of China Limited (Class H),"Huaxin Cement Co., Ltd. (Class B)","Zoomlion Heavy Industry Science and Technology Co., Ltd. (Class H)",2331.HK,2382.HK,Huadian Power International Corp. Ltd. (Class H),2013.HK,BYD Company Limited (Class H),3888.HK,586.HK,Anhui Conch Cement Company Limited (Class H),1919.HK,1171.HK,D7N.,358.HK,200625.SZ,2899.HK,6865.HK,2208.HK,1138.HK,2333.HK,390.HK,SNPMF,1088.HK,1898.HK,3323.HK,2600.HK,1157.HK,900933.SZ,SHX.,BY6.,AQE.,Hong Kong Dollar,Us Dollars,347.HK,1548.HK,598.HK,3759.HK,1918.HK,ACRE,956.HK,2196.HK,867.HK,3808.HK,1268.HK,2359.HK,135.HK,788.HK,916.HK,3998.HK,857.HK,3380.HK,881.HK,1109.HK,148.HK,3988.HK,1359.HK,3328.HK,6098.HK,Angang Steel Company Limited (Class H),Sinotrans Limited (Class H),6078.HK,"Pharmaron Beijing Co., Ltd. (Class H)","Shanghai Fosun Pharmaceutical (Group) Co, Ltd. (Class H)",China Suntien Green Energy Corporation Limited (Class H),Sinotruk (Hong Kong) Limited,"WuXi AppTec Co., Ltd. (Class H)",Bosideng International Holdings Limited,PetroChina Company Limited (Class H),Bank of China Ltd.,"Bank of Communications Co., Ltd. (Class H)",n/a,8174.T,688101.SS,FTOXX,688001.SS,SUM
07/23/2021,0.0,0.0,0.0,3.45,0.0,0.0,2.47,2.75,0.0,0.0,0.0,1.92,0.0,2.04,1.98,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,3.25,2.31,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,2.55,0.0,3.06,0.79,0.0,3.31,1.85,1.32,0.0,0.0,0.0,0.74,0.0,3.1,1.35,3.6,0.0,3.39,0.0,2.52,0.58,1.86,3.22,0.0,-0.3,3.45,3.23,2.7,2.29,2.3,2.42,2.11,2.23,1.83,1.67,1.49,1.4,1.28,1.34,1.29,1.24,1.18,1.14,0.8,0.69,0.68,0.66,0.64,0.59,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/26/2021,0.0,0.0,0.0,3.47,0.0,0.0,1.66,2.94,0.0,0.0,0.0,2.0,0.0,1.99,1.89,0.0,0.0,0.0,0.0,3.34,0.0,0.0,0.0,0.0,0.0,3.19,2.27,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,2.55,0.0,3.03,0.79,0.0,3.37,1.88,1.35,0.0,0.0,0.0,0.84,0.0,3.16,1.33,3.59,0.0,3.65,0.0,2.57,0.59,1.98,3.26,0.0,-0.3,3.56,3.02,2.71,2.34,2.44,2.31,2.11,2.25,1.84,1.74,1.53,1.35,1.28,1.34,1.33,1.23,1.19,1.14,0.79,0.7,0.66,0.66,0.63,0.59,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,0.0,0.0,0.0,3.54,0.0,0.0,2.85,2.94,0.0,0.0,0.0,2.0,0.0,1.99,1.84,0.0,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.0,3.18,2.19,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,2.57,0.0,2.84,0.79,0.0,3.38,1.89,1.38,0.0,0.0,0.0,0.92,0.0,3.15,1.35,3.46,0.0,3.55,0.0,2.58,0.58,2.02,3.26,0.03,-0.3,3.6,2.92,2.6,2.19,2.41,2.19,2.05,2.21,1.78,1.71,1.47,1.31,1.27,1.33,1.32,1.17,1.18,1.14,0.78,0.7,0.65,0.66,0.64,0.59,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/28/2021,0.0,0.0,0.0,3.54,0.0,0.0,2.85,2.94,0.0,0.0,0.0,2.0,0.0,1.99,1.84,0.0,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.0,3.18,2.19,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,2.57,0.0,2.84,0.79,0.0,3.38,1.89,1.38,0.0,0.0,0.0,0.92,0.0,3.15,1.35,3.46,0.0,3.55,0.0,2.58,0.58,2.02,3.26,0.03,-0.3,3.6,2.92,2.6,2.19,2.41,2.19,2.05,2.21,1.78,1.71,1.47,1.31,1.27,1.33,1.32,1.17,1.18,1.14,0.78,0.7,0.65,0.66,0.64,0.59,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/29/2021,0.0,0.0,0.0,3.56,0.0,0.0,4.15,2.99,0.0,0.0,0.0,2.01,0.0,2.0,1.7,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,3.18,2.14,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,2.58,0.0,2.89,0.8,0.0,3.44,1.87,1.4,0.0,0.0,0.0,0.9,0.0,3.14,1.35,3.42,0.0,3.61,0.0,2.59,0.58,1.99,3.25,0.03,-0.31,3.66,2.66,2.59,2.08,2.28,1.96,2.0,2.08,1.73,1.66,1.44,1.25,1.3,1.35,1.27,1.16,1.19,1.1,0.78,0.69,0.66,0.68,0.64,0.6,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
07/30/2021,0.0,0.0,0.0,3.65,0.0,0.0,3.35,3.18,0.0,0.0,0.0,2.04,0.0,1.99,1.65,0.0,0.0,0.0,0.0,3.38,0.0,0.0,0.0,0.0,0.0,3.21,2.14,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,2.53,0.0,2.77,0.81,0.0,3.72,1.9,1.54,0.0,0.0,0.0,0.89,0.0,3.32,1.39,3.43,0.0,3.5,0.0,2.69,0.61,1.95,3.26,0.11,-0.3,3.6,2.51,2.66,2.12,2.24,1.89,2.07,2.01,1.7,1.66,1.43,1.24,1.35,1.39,1.31,1.16,1.25,1.09,0.79,0.69,0.68,0.71,0.65,0.63,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/02/2021,0.0,0.0,0.0,3.57,0.0,0.0,2.74,3.21,0.0,0.0,0.0,1.95,0.0,1.96,1.8,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,3.17,2.21,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,2.52,0.0,2.92,0.8,0.0,3.65,1.82,1.45,0.0,0.0,0.0,0.9,0.0,3.31,1.38,3.41,0.0,3.43,0.0,2.54,0.6,2.0,3.2,0.09,-0.24,3.5,2.78,2.57,2.34,2.28,2.14,2.17,2.09,1.78,1.65,1.46,1.37,1.35,1.36,1.4,1.19,1.26,1.05,0.8,0.65,0.68,0.71,0.64,0.63,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,2.68,0.75,3.54,3.19,0.0,1.88,3.98,3.48,0.0,0.0,1.46,2.03,0.0,1.91,1.71,0.0,0.0,0.0,0.0,3.4,0.0,1.02,0.0,0.0,0.13,3.0,2.13,0.0,0.0,3.12,1.33,0.0,3.48,2.33,0.0,3.53,2.29,0.0,0.0,0.0,0.59,0.0,2.16,1.61,2.39,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,0.0,0.0,2.09,0.0,0.0,0.0,1.59,0.0,1.39,0.0,1.3,1.33,1.49,0.0,0.0,0.98,0.78,0.59,0.66,0.0,0.61,0.0,0.49,3.73,2.45,2.09,2.27,2.35,2.18,1.66,1.3,1.21,1.18,0.67,0.6,0.0,0.0,0.0,0.0,0.0,100.01
08/04/2021,2.68,0.75,3.54,3.19,0.0,1.88,3.98,3.48,0.0,0.0,1.46,2.03,0.0,1.91,1.71,0.0,0.0,0.0,0.0,3.4,0.0,1.02,0.0,0.0,0.13,3.0,2.13,0.0,0.0,3.12,1.33,0.0,3.48,2.33,0.0,3.53,2.29,0.0,0.0,0.0,0.59,0.0,2.16,1.61,2.39,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,0.0,0.0,2.09,0.0,0.0,0.0,1.59,0.0,1.39,0.0,1.3,1.33,1.49,0.0,0.0,0.98,0.78,0.59,0.66,0.0,0.61,0.0,0.49,3.73,2.45,2.09,2.27,2.35,2.18,1.66,1.3,1.21,1.18,0.67,0.6,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,2.68,0.75,3.54,3.19,0.0,1.88,3.98,3.48,0.0,0.0,1.46,2.03,0.0,1.91,1.71,0.0,0.0,0.0,0.0,3.4,0.0,1.02,0.0,0.0,0.13,3.0,2.13,0.0,0.0,3.12,1.33,0.0,3.48,2.33,0.0,3.53,2.29,0.0,0.0,0.0,0.59,0.0,2.16,1.61,2.39,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,0.0,0.0,2.09,0.0,0.0,0.0,1.59,0.0,1.39,0.0,1.3,1.33,1.49,0.0,0.0,0.98,0.78,0.59,0.66,0.0,0.61,0.0,0.49,3.73,2.45,2.09,2.27,2.35,2.18,1.66,1.3,1.21,1.18,0.67,0.6,0.0,0.0,0.0,0.0,0.0,100.01
08/06/2021,0.0,0.0,0.0,3.24,0.0,0.0,3.44,3.75,0.0,0.0,0.0,1.94,0.0,2.02,1.81,0.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0,3.34,2.12,0.0,0.0,0.0,0.0,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,2.7,0.0,3.01,0.72,0.0,3.5,1.84,1.49,0.0,0.0,0.0,0.94,0.0,3.13,1.33,3.21,0.0,3.31,0.0,2.42,0.61,2.32,3.46,0.28,-1.81,3.25,3.14,2.49,2.34,2.1,2.08,2.24,2.43,1.69,1.97,1.34,1.35,1.28,1.38,1.55,1.27,1.19,1.01,0.74,0.61,0.65,0.67,0.64,0.6,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/10/2021,0.0,0.0,0.0,3.18,0.0,0.0,3.04,3.79,0.0,0.0,0.0,1.94,0.0,2.0,1.79,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.0,0.0,3.33,2.15,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,2.62,0.0,3.07,0.72,0.0,3.43,1.92,1.5,0.0,0.0,0.0,1.0,0.0,3.12,1.35,3.3,0.0,3.45,0.0,2.45,0.61,2.5,3.41,0.0,0.0,3.36,3.02,2.44,2.3,2.12,2.08,2.25,2.19,1.71,2.02,1.3,1.25,1.26,1.4,1.48,1.37,1.16,0.98,0.68,0.59,0.64,0.66,0.64,0.59,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95,0.0,0.0,0.0,0.0,99.98
08/11/2021,0.0,0.0,0.0,3.18,0.0,0.0,3.04,3.79,0.0,0.0,0.0,1.94,0.0,2.0,1.79,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.0,0.0,3.33,2.15,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,2.62,0.0,3.07,0.72,0.0,3.43,1.92,1.5,0.0,0.0,0.0,1.0,0.0,3.12,1.35,3.3,0.0,3.45,0.0,2.45,0.61,2.5,3.41,0.0,0.0,3.36,3.02,2.44,2.3,2.12,2.08,2.25,2.19,1.71,2.02,1.3,1.25,1.26,1.4,1.48,1.37,1.16,0.98,0.68,0.59,0.64,0.66,0.64,0.59,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.95,0.0,0.0,0.0,0.0,99.98
08/17/2021,0.0,0.0,0.0,3.48,0.0,0.0,2.49,3.76,0.0,0.0,0.0,2.18,0.0,1.99,1.7,0.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0,3.3,2.07,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,2.49,0.0,3.26,0.68,0.0,3.32,1.91,1.51,0.0,0.0,0.0,0.91,0.0,3.03,1.33,3.32,0.0,3.59,0.0,2.51,0.62,2.38,3.4,0.0,0.0,3.54,2.7,2.42,2.21,2.06,1.88,2.33,1.85,1.63,1.89,1.4,1.17,1.35,1.28,1.35,1.39,1.17,1.04,0.7,0.64,0.59,0.64,0.64,0.58,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,99.99
08/18/2021,0.0,0.0,0.0,3.48,0.0,0.0,2.49,3.76,0.0,0.0,0.0,2.18,0.0,1.99,1.7,0.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0,3.3,2.07,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,2.49,0.0,3.26,0.68,0.0,3.32,1.91,1.51,0.0,0.0,0.0,0.91,0.0,3.03,1.33,3.32,0.0,3.59,0.0,2.51,0.62,2.38,3.4,0.0,0.0,3.54,2.7,2.42,2.21,2.06,1.88,2.33,1.85,1.63,1.89,1.4,1.17,1.35,1.28,1.35,1.39,1.17,1.04,0.7,0.64,0.59,0.64,0.64,0.58,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,99.99
