,WEED.TO,SNDL,CRON.TO,HEXO.TO,ACB,TLRY,OGI.TO,CWEB.TO,VLNS.TO,RIV.TO,CRBP,ZYNE,XLY.TO,TGOD.TO,PCLO.V,FAF.TO,AH.TO,TBP.TO,LABS.TO,YCBD,CPH.AX,CRDL.TO,CAN.AX,CASH,n/a,AFCG,MYMD,AVNT CN,FLGC,AVNT.TO,CPHO AU,SUM
07/30/2021,10.2,9.57,9.18,7.54,8.04,7.3,5.48,4.58,3.94,4.57,3.73,3.93,3.13,2.7,2.8,2.13,1.96,1.48,1.71,1.55,1.47,1.48,1.26,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/02/2021,10.26,9.5,9.22,7.21,7.93,8.38,5.66,4.55,4.2,4.42,3.56,3.73,2.94,2.76,2.83,2.11,1.93,1.5,1.64,1.55,1.34,1.42,1.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,10.26,9.5,9.22,7.21,7.93,8.38,5.66,4.55,4.2,4.42,3.56,3.73,2.94,2.76,2.83,2.11,1.93,1.5,1.64,1.55,1.34,1.42,1.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/04/2021,10.11,9.68,9.17,7.17,7.95,8.07,5.59,4.54,4.3,4.44,3.54,3.69,3.04,2.79,2.89,2.09,1.98,1.52,1.7,1.57,1.35,1.54,1.05,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/05/2021,10.1,9.55,9.16,7.16,8.02,8.07,5.59,4.54,4.3,4.43,3.67,3.76,3.03,2.79,2.88,2.09,1.98,1.52,1.7,1.48,1.36,1.54,1.05,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/06/2021,10.13,9.7,9.27,7.19,8.26,7.98,5.61,4.47,4.18,4.11,3.59,3.76,3.05,2.85,2.81,2.08,1.96,1.59,1.69,1.51,1.38,1.52,1.06,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/09/2021,10.33,9.69,9.3,7.06,8.39,8.05,5.81,4.39,4.12,4.35,3.51,3.81,2.88,2.73,2.47,2.22,2.02,1.59,1.65,1.37,1.5,1.45,1.06,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/10/2021,10.33,9.69,9.3,7.06,8.39,8.05,5.81,4.39,4.12,4.35,3.51,3.81,2.88,2.73,2.47,2.22,2.02,1.59,1.65,1.37,1.5,1.45,1.06,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/11/2021,10.39,9.56,9.2,7.09,8.4,8.06,5.84,4.63,4.29,4.17,3.56,3.76,2.81,2.72,2.46,2.08,1.96,1.64,1.63,1.39,1.43,1.53,1.13,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/13/2021,10.33,9.51,8.93,7.09,8.25,8.12,5.83,4.68,4.18,4.61,3.49,3.75,2.71,2.85,2.28,2.09,2.04,1.71,1.63,1.39,1.53,1.6,1.13,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,10.19,9.98,7.89,6.27,8.23,8.02,6.95,4.5,4.46,3.91,3.27,3.82,2.83,2.68,2.44,2.43,2.0,1.82,1.54,1.39,1.64,1.81,1.09,0.0,0.26,0.4,0.12,0.03,0.0,0.0,0.0,99.97
08/18/2021,7.64,7.28,7.0,4.0,7.74,7.29,8.88,4.71,5.31,2.95,2.58,2.76,2.52,1.96,2.52,2.78,1.61,1.51,1.21,1.13,1.69,1.77,1.04,0.0,-0.15,3.48,1.54,0.34,6.91,0.0,0.0,100.0
08/19/2021,7.48,7.41,7.0,3.86,7.6,7.25,7.67,4.3,5.1,3.19,2.51,2.66,2.97,1.86,2.39,2.63,1.56,1.61,1.22,1.22,1.8,1.75,0.76,0.0,-0.18,3.97,1.96,0.46,7.97,0.0,0.0,99.98
08/20/2021,7.69,7.21,7.2,4.06,8.02,7.49,7.89,4.35,5.43,3.2,2.68,2.77,2.96,1.89,2.12,2.71,1.37,1.55,1.16,1.17,1.65,2.05,0.7,0.0,-0.54,3.9,1.98,0.46,6.88,0.0,0.0,100.0
08/23/2021,7.69,7.48,7.38,4.0,8.09,7.65,7.9,4.14,5.76,3.25,2.6,2.78,2.97,1.97,2.14,2.76,1.35,1.53,1.21,1.25,1.65,2.04,0.61,0.0,-0.59,4.04,2.25,0.63,5.47,0.0,0.0,100.0
08/24/2021,7.69,7.48,7.38,4.0,8.09,7.65,7.9,4.14,5.76,3.25,2.6,2.78,2.97,1.97,2.14,2.76,1.35,1.53,1.21,1.25,1.65,2.04,0.61,0.0,-0.59,4.04,2.25,0.0,5.47,0.63,0.0,100.0
08/25/2021,7.63,7.35,7.23,2.83,8.27,7.64,7.89,3.98,5.53,3.13,2.59,2.75,2.91,1.93,1.94,2.68,1.35,1.53,1.15,1.2,1.62,2.07,0.57,0.0,-0.58,4.0,2.33,0.0,7.77,0.7,0.0,99.99
08/26/2021,7.65,7.39,7.28,3.05,8.33,7.7,8.18,3.96,5.59,3.14,2.64,2.85,2.92,1.97,1.86,2.6,1.52,1.66,1.15,1.19,1.59,2.08,0.39,0.0,-0.52,4.0,2.52,0.0,6.61,0.71,0.0,100.01
08/27/2021,7.85,7.81,7.48,3.06,8.61,7.9,8.5,3.96,5.68,2.8,2.8,2.97,3.21,2.2,1.81,2.67,1.63,1.75,1.19,1.17,1.59,2.17,0.22,0.0,-3.22,4.02,2.67,0.0,6.66,0.83,0.0,99.99
08/30/2021,7.91,7.83,7.63,3.04,8.7,7.92,8.64,3.91,5.56,1.85,2.76,3.01,3.09,2.05,1.78,2.71,1.51,1.7,1.17,1.3,1.59,2.31,0.0,0.0,-2.26,4.16,2.91,0.0,6.29,0.92,0.0,99.99
08/31/2021,7.91,7.83,7.63,3.04,8.7,7.92,8.64,3.91,5.56,1.85,2.76,3.01,3.09,2.05,1.78,2.71,1.51,1.7,1.17,1.3,1.59,2.31,0.0,0.0,-2.26,4.16,2.91,0.0,6.29,0.92,0.0,99.99
09/01/2021,7.82,7.97,7.59,2.97,8.83,7.93,8.66,3.72,5.51,1.82,2.8,3.03,3.3,1.99,1.78,2.8,1.54,1.71,1.14,1.26,1.58,2.49,0.0,0.0,-2.3,4.2,3.19,0.0,5.7,0.98,0.0,100.01
09/02/2021,7.8,7.89,7.59,3.01,8.87,7.84,8.62,3.65,5.53,1.74,2.71,3.03,3.16,1.95,1.76,2.75,1.56,1.71,1.15,1.31,1.6,2.61,0.0,0.0,-2.27,4.2,3.47,0.0,5.75,1.02,0.0,100.01
09/03/2021,7.71,8.03,7.6,2.95,8.98,7.96,8.72,3.66,5.28,1.6,2.86,3.18,3.19,1.89,1.72,2.75,1.54,1.66,1.15,1.26,1.69,2.59,0.0,0.0,-2.25,4.13,3.55,0.0,5.58,1.03,0.0,100.01000000000002
09/06/2021,7.8,8.21,7.58,2.92,8.98,8.03,8.89,3.57,5.17,1.39,2.9,3.25,3.26,1.9,1.56,2.74,1.52,1.69,1.12,1.33,1.71,2.51,0.0,0.0,-2.13,4.18,3.67,0.0,5.18,1.06,0.0,99.99
09/08/2021,7.71,8.07,7.58,2.92,9.04,7.99,8.75,3.59,5.14,1.34,2.81,3.23,3.31,1.74,0.0,2.72,1.5,1.69,1.16,1.42,1.67,2.69,0.0,0.0,-0.65,4.19,3.84,0.0,5.31,1.21,0.0,99.97
09/09/2021,7.71,8.07,7.58,2.92,9.04,7.99,8.75,3.59,5.14,1.34,2.81,3.23,3.31,1.74,0.0,2.72,1.5,1.69,1.16,1.42,1.67,2.69,0.0,0.0,-0.65,4.19,3.84,0.0,5.31,1.21,0.0,99.97
09/10/2021,7.78,7.97,7.53,2.88,8.88,7.93,8.77,3.68,5.14,1.27,2.78,3.29,3.33,1.59,0.0,2.8,1.6,1.7,1.13,1.43,1.68,3.04,0.0,0.0,-0.67,4.37,3.91,0.0,4.95,1.23,0.0,99.99
09/13/2021,7.52,8.06,7.64,2.9,8.91,7.97,8.82,3.52,4.82,0.0,2.84,3.48,3.14,1.38,0.0,2.9,1.58,1.7,1.18,1.45,1.75,3.03,0.0,0.0,0.18,4.35,4.54,0.0,4.71,1.62,0.0,99.99
09/14/2021,7.52,8.06,7.64,2.9,8.91,7.97,8.82,3.52,4.82,0.0,2.84,3.48,3.14,1.38,0.0,2.9,1.58,1.7,1.18,1.45,1.75,3.03,0.0,0.0,0.18,4.35,4.54,0.0,4.71,1.62,0.0,99.99
09/15/2021,7.4,8.09,7.72,2.83,8.74,7.86,8.78,3.59,4.95,0.0,2.87,3.5,3.03,0.0,0.0,3.0,1.88,1.71,1.22,1.45,1.78,3.04,0.0,0.0,0.35,4.42,5.54,0.0,4.64,1.63,0.0,100.02
09/16/2021,7.51,8.49,7.72,2.92,8.92,7.9,8.97,3.59,5.02,0.0,2.83,3.55,3.15,0.0,0.0,2.99,1.86,1.65,1.22,1.41,1.75,2.84,0.0,0.0,0.37,4.5,5.13,0.0,4.19,1.53,0.0,100.01
09/17/2021,7.53,8.38,7.68,2.85,9.02,7.82,8.97,3.56,5.03,0.0,2.82,3.55,3.24,0.0,0.0,3.01,1.81,1.73,1.24,1.37,1.79,2.91,0.0,0.0,0.38,4.6,5.06,0.0,4.11,1.55,0.0,100.01
09/20/2021,7.52,8.38,7.72,2.76,9.06,7.9,8.9,3.51,4.9,0.0,2.83,3.51,3.19,0.0,0.0,2.97,1.81,1.58,1.18,1.31,1.75,3.39,0.0,0.0,0.39,4.93,5.05,0.0,4.0,1.45,0.0,99.99
09/21/2021,7.52,8.38,7.72,2.76,9.06,7.9,8.9,3.51,4.9,0.0,2.83,3.51,3.19,0.0,0.0,2.97,1.81,1.58,1.18,1.31,1.75,3.39,0.0,0.0,0.39,4.93,5.05,0.0,4.0,1.45,0.0,99.99
09/22/2021,7.44,8.43,7.74,2.76,9.06,7.99,8.87,3.42,5.2,0.0,2.55,3.44,3.24,0.0,0.0,2.89,1.77,1.72,1.02,1.3,1.74,3.35,0.0,0.0,0.11,4.78,5.56,0.0,4.27,1.35,0.0,100.0
09/23/2021,7.26,8.43,7.85,2.7,8.88,7.82,9.02,3.56,4.95,0.0,2.67,3.59,3.35,0.0,0.0,2.91,1.73,1.69,1.1,1.35,1.77,3.29,0.0,0.0,0.12,5.02,5.82,0.0,3.73,1.4,0.0,100.01
09/24/2021,7.15,8.4,7.69,2.71,8.61,7.7,8.94,3.57,5.3,0.0,2.64,3.7,3.24,0.0,0.0,2.97,1.65,1.66,1.1,1.44,1.66,3.29,0.0,0.0,0.12,5.03,5.93,0.0,4.06,1.46,0.0,100.02
09/27/2021,7.45,8.23,7.88,2.66,8.47,7.96,9.34,3.51,5.31,0.0,2.77,3.71,3.37,0.0,0.0,3.01,1.54,1.63,1.09,1.35,1.69,3.37,0.0,0.0,0.12,4.96,5.72,0.0,3.52,1.34,0.0,100.0
09/28/2021,7.45,8.23,7.88,2.66,8.47,7.96,9.34,3.51,5.31,0.0,2.77,3.71,3.37,0.0,0.0,3.01,1.54,1.63,1.09,1.35,1.69,3.37,0.0,0.0,0.12,4.96,5.72,0.0,3.52,1.34,0.0,100.0
09/29/2021,7.21,8.03,7.57,2.65,8.34,7.86,9.08,3.51,5.14,0.0,2.66,3.72,3.28,0.0,0.0,2.94,1.56,1.58,1.07,1.38,1.63,3.64,0.0,0.0,0.13,4.97,5.88,0.0,4.78,1.39,0.0,100.0
09/30/2021,7.41,8.41,7.61,2.75,8.67,7.97,9.04,3.5,5.04,0.0,2.68,3.7,3.13,0.0,0.0,2.97,1.52,1.54,1.06,1.32,1.59,3.75,0.0,0.0,0.13,4.91,5.86,0.0,4.11,1.32,0.0,99.99
10/01/2021,7.39,8.19,7.52,2.67,9.55,7.84,9.05,3.45,5.04,0.0,2.72,3.74,3.08,0.0,0.0,2.88,1.51,1.58,1.07,1.31,1.63,3.59,0.0,0.0,0.24,4.87,5.43,0.0,4.29,1.37,0.0,100.01
10/04/2021,7.34,8.25,7.67,2.59,9.89,7.75,8.88,3.47,4.8,0.0,2.66,3.6,3.35,0.0,0.0,2.94,1.52,1.59,1.03,1.43,1.66,3.41,0.0,0.0,0.25,4.94,5.59,0.0,3.99,1.38,0.0,99.98
10/05/2021,7.34,8.25,7.67,2.59,9.89,7.75,8.88,3.47,4.8,0.0,2.66,3.6,3.35,0.0,0.0,2.94,1.52,1.59,1.03,1.43,1.66,3.41,0.0,0.0,0.25,4.94,5.59,0.0,3.99,1.38,0.0,99.98
10/06/2021,7.16,8.23,7.73,2.58,10.22,7.73,8.81,3.43,4.8,0.0,2.69,3.62,3.31,0.0,0.0,2.93,1.56,1.53,1.04,1.36,1.69,3.26,0.0,0.0,0.25,5.04,5.63,0.0,3.96,1.41,0.0,99.97
10/07/2021,7.14,7.98,7.79,2.54,10.47,7.68,8.9,3.3,4.77,0.0,2.94,3.7,3.3,0.0,0.0,2.83,1.56,1.53,1.0,1.4,1.66,3.05,0.0,0.0,0.27,5.16,5.72,0.0,3.92,1.38,0.0,99.99
10/08/2021,7.24,7.95,7.61,2.63,10.67,7.78,9.01,3.25,4.85,0.0,2.77,3.52,3.16,0.0,0.0,2.99,1.54,1.82,0.98,1.39,1.55,3.09,0.0,0.0,0.18,5.14,5.75,0.0,3.82,1.34,0.0,100.03
10/11/2021,7.24,7.96,7.68,2.54,10.67,7.64,8.93,3.82,4.7,0.0,2.87,3.53,3.14,0.0,0.0,2.89,1.57,1.67,1.11,1.29,1.7,2.83,0.0,0.0,0.17,5.24,5.63,0.0,3.82,1.37,0.0,100.01
10/12/2021,7.24,7.96,7.68,2.54,10.67,7.64,8.93,3.82,4.7,0.0,2.87,3.53,3.14,0.0,0.0,2.89,1.57,1.67,1.11,1.29,1.7,2.83,0.0,0.0,0.17,5.24,5.63,0.0,3.82,1.37,0.0,100.01
10/13/2021,7.16,8.46,7.6,2.52,10.56,7.37,8.89,3.52,4.67,0.0,2.77,3.52,3.13,0.0,0.0,3.06,1.62,1.63,1.26,1.25,1.8,2.75,0.0,0.0,0.17,5.27,5.52,0.0,4.11,1.38,0.0,99.98999999999998
10/14/2021,7.2,8.45,7.65,2.53,10.33,7.18,8.94,3.54,4.7,0.0,2.79,3.53,3.15,0.0,0.0,3.08,1.63,1.64,1.27,1.22,1.74,2.76,0.0,0.0,0.19,5.38,5.91,0.0,3.79,1.39,0.0,99.99
10/15/2021,7.14,8.27,7.56,2.56,10.31,7.24,8.89,3.57,4.81,0.0,2.77,3.58,2.99,0.0,0.0,2.92,1.57,1.78,1.16,1.25,1.74,2.95,0.0,0.0,0.19,5.38,6.15,0.0,3.84,1.38,0.0,100.0
10/18/2021,7.33,8.14,7.63,2.57,10.48,7.19,8.96,3.41,4.4,0.0,2.71,3.54,3.04,0.0,0.0,2.97,1.59,1.54,1.13,1.22,1.8,3.22,0.0,0.0,0.19,5.48,6.34,0.0,3.65,1.47,0.0,100.0
10/19/2021,7.33,8.14,7.63,2.57,10.48,7.19,8.96,3.41,4.4,0.0,2.71,3.54,3.04,0.0,0.0,2.97,1.59,1.54,1.13,1.22,1.8,3.22,0.0,0.0,0.19,5.48,6.34,0.0,3.65,1.47,0.0,100.0
10/21/2021,7.24,8.18,7.56,2.49,10.23,7.14,8.78,3.31,4.25,0.0,2.77,3.42,3.11,0.0,0.0,2.89,1.6,1.56,1.07,1.4,1.76,3.7,0.0,0.0,0.22,5.65,6.73,0.0,3.58,1.36,0.0,100.0
10/22/2021,7.35,8.11,7.68,2.68,10.32,7.74,8.83,3.42,4.29,0.0,2.72,3.3,3.18,0.0,0.0,2.91,1.52,1.49,1.1,1.33,1.74,3.63,0.0,0.0,0.21,5.26,6.72,0.0,3.21,1.23,0.0,99.97
10/25/2021,7.23,8.22,7.86,2.52,10.22,7.68,9.11,3.35,4.24,0.0,2.63,3.4,3.26,0.0,0.0,2.75,1.5,1.53,1.11,1.41,1.67,3.71,0.0,0.0,0.22,5.31,6.76,0.0,3.1,1.21,0.0,100.0
10/26/2021,7.23,8.22,7.86,2.52,10.22,7.68,9.11,3.35,4.24,0.0,2.63,3.4,3.26,0.0,0.0,2.75,1.5,1.53,1.11,1.41,1.67,3.71,0.0,0.0,0.22,5.31,6.76,0.0,3.1,1.21,0.0,100.0
10/27/2021,7.17,8.11,7.75,2.47,10.24,7.69,9.05,3.29,4.4,0.0,2.53,3.33,3.19,0.0,0.0,2.83,1.54,1.53,1.09,1.46,1.74,3.69,0.0,0.0,0.23,5.54,6.87,0.0,3.05,1.22,0.0,100.01
10/28/2021,7.24,8.12,7.61,2.43,10.33,7.59,9.07,3.24,4.34,0.0,2.67,3.29,3.23,0.0,0.0,2.85,1.5,1.55,1.1,1.43,1.73,3.64,0.0,0.0,0.24,5.47,6.97,0.0,3.16,1.21,0.0,100.01
10/29/2021,7.16,8.3,7.64,2.43,10.33,7.55,9.01,3.23,4.28,0.0,2.76,3.28,3.3,0.0,0.0,2.8,1.53,1.58,1.11,1.37,1.85,3.64,0.0,0.0,0.25,5.52,6.86,0.0,3.1,1.14,0.0,100.02
11/01/2021,7.16,8.36,7.5,2.45,10.24,7.5,9.03,3.12,4.24,0.0,2.76,3.33,3.28,0.0,0.0,2.84,1.5,1.57,1.1,1.33,1.81,3.48,0.0,0.0,0.26,5.62,7.08,0.0,3.26,1.18,0.0,100.0
11/02/2021,7.16,8.36,7.5,2.45,10.24,7.5,9.03,3.12,4.24,0.0,2.76,3.33,3.28,0.0,0.0,2.84,1.5,1.57,1.1,1.33,1.81,3.48,0.0,0.0,0.26,5.62,7.08,0.0,3.26,1.18,0.0,100.0
11/03/2021,7.1,8.39,7.47,2.2,10.07,7.5,9.0,3.04,4.15,0.0,2.79,3.45,3.19,0.0,0.0,2.74,1.46,1.6,1.08,1.29,2.0,3.19,0.0,0.0,0.27,5.7,7.9,0.0,3.24,1.18,0.01,100.01
11/04/2021,7.2,8.19,7.54,2.06,10.25,7.56,9.14,3.07,4.33,0.0,2.78,3.51,3.37,0.0,0.0,2.8,1.39,1.55,1.09,1.24,2.1,2.97,0.0,0.0,0.25,5.55,7.71,0.0,3.24,1.09,0.03,100.01
11/05/2021,7.23,8.28,7.63,1.93,10.33,7.48,9.11,2.93,4.15,0.0,2.89,3.46,3.35,0.0,0.0,2.69,1.35,1.61,1.14,1.26,2.11,2.93,0.0,0.0,0.26,5.6,7.79,0.0,3.24,1.1,0.13,99.98
11/08/2021,7.33,8.28,7.69,2.1,10.23,7.74,9.32,2.87,3.97,0.0,2.83,3.56,3.41,0.0,0.0,2.57,1.37,1.56,1.16,1.26,2.18,2.25,0.0,0.0,0.27,5.65,7.62,0.0,3.51,1.05,0.22,100.0
11/09/2021,7.33,8.28,7.69,2.1,10.23,7.74,9.32,2.87,3.97,0.0,2.83,3.56,3.41,0.0,0.0,2.57,1.37,1.56,1.16,1.26,2.18,2.25,0.0,0.0,0.27,5.65,7.62,0.0,3.51,1.05,0.22,100.0
11/10/2021,6.64,8.35,7.75,2.12,10.18,7.84,9.36,3.06,3.94,0.0,2.9,3.57,3.64,0.0,0.0,2.63,1.38,1.57,1.19,1.28,2.23,2.26,0.0,0.0,0.28,5.79,7.16,0.0,3.46,1.06,0.37,100.01
11/11/2021,6.72,8.3,8.9,2.16,10.17,8.28,9.39,3.24,4.21,0.0,2.78,3.38,3.77,0.0,0.0,2.62,1.33,1.42,1.12,1.13,2.29,2.06,0.0,0.0,-0.11,5.34,6.75,0.0,3.52,0.94,0.3,100.01
