,PTLC,PTBD,PTMC,PTNQ,Pacer Trendpilot International ETF,URC.V,PTIN,Pacer Trendpilot™ US Mid Cap ETF,ELPE.AT,n/a,BIDI11.SA,USBFS03,SUM
08/10/2021,20.31,19.81,0.0,20.15,0.0,0.0,19.98,0.0,0.06,19.7,0.0,0.0,100.01
08/11/2021,20.31,19.81,0.0,20.15,0.0,0.0,19.98,0.0,0.06,19.7,0.0,0.0,100.01
08/13/2021,20.4,0.0,19.8,20.13,0.0,0.0,19.93,0.0,0.05,19.69,0.0,0.0,100.0
08/16/2021,20.46,0.0,19.84,20.1,0.0,0.0,19.91,0.0,0.05,19.65,0.0,0.0,100.01
08/17/2021,20.46,0.0,19.84,20.1,0.0,0.0,19.91,0.0,0.05,19.65,0.0,0.0,100.01
08/18/2021,20.47,0.0,19.78,20.08,0.0,0.0,19.95,0.0,0.05,19.68,0.0,0.0,100.01
08/19/2021,20.47,0.0,19.78,20.08,0.0,0.0,19.95,0.0,0.05,19.68,0.0,0.0,100.01
08/20/2021,20.51,0.0,19.75,20.09,0.0,0.0,19.87,0.0,0.05,19.73,0.0,0.0,100.0
08/23/2021,20.45,20.01,19.68,20.22,0.0,0.0,0.0,0.0,0.05,19.59,0.0,0.0,100.0
08/24/2021,20.45,20.01,19.68,20.22,0.0,0.0,0.0,0.0,0.05,19.59,0.0,0.0,100.0
08/25/2021,20.55,19.93,19.75,20.27,0.0,0.0,0.0,0.0,0.0,19.45,0.05,0.0,100.0
08/26/2021,20.55,19.93,19.75,20.27,0.0,0.0,0.0,0.0,0.0,19.45,0.05,0.0,100.0
08/27/2021,20.56,19.79,19.7,20.27,0.0,0.0,0.0,0.0,0.0,19.63,0.05,0.0,100.0
08/30/2021,20.57,19.72,19.79,20.28,0.0,0.0,0.0,0.0,0.0,19.6,0.05,0.0,100.01
08/31/2021,20.57,19.72,19.79,20.28,0.0,0.0,0.0,0.0,0.0,19.6,0.05,0.0,100.01
09/01/2021,20.59,0.0,19.86,20.25,0.0,0.0,19.63,0.0,0.0,19.63,0.05,0.0,100.01
09/02/2021,20.59,0.0,19.86,20.25,0.0,0.0,19.63,0.0,0.0,19.63,0.05,0.0,100.01
09/03/2021,20.65,19.59,19.8,20.33,0.0,0.0,0.0,0.0,0.0,19.58,0.05,0.0,100.0
09/06/2021,20.59,0.0,19.75,20.33,0.0,0.0,19.72,0.0,0.0,19.57,0.05,0.0,100.01
09/07/2021,20.6,19.52,19.78,20.28,0.0,0.0,19.78,0.0,0.0,0.05,0.0,0.0,100.01
09/08/2021,20.6,19.52,19.78,20.28,0.0,0.0,19.78,0.0,0.0,0.05,0.0,0.0,100.01
09/09/2021,20.59,19.47,19.73,20.32,0.0,0.0,19.85,0.0,0.0,0.05,0.0,0.0,100.01
09/10/2021,20.58,19.45,19.65,20.4,0.0,0.0,19.88,0.0,0.0,0.05,0.0,0.0,100.01
09/13/2021,20.58,19.52,19.64,20.39,0.0,0.0,19.82,0.0,0.0,0.04,0.0,0.0,99.99
09/14/2021,20.52,19.62,19.66,20.37,0.0,0.0,19.8,0.0,0.0,0.04,0.0,0.0,100.01
09/15/2021,20.47,19.68,19.64,20.34,0.0,0.0,19.83,0.0,0.0,0.04,0.0,0.0,100.0
09/16/2021,20.47,19.68,19.64,20.34,0.0,0.0,19.83,0.0,0.0,0.04,0.0,0.0,100.0
09/17/2021,20.47,19.63,19.66,20.29,0.0,0.0,19.91,0.0,0.0,0.04,0.0,0.0,100.0
09/20/2021,20.47,19.62,19.62,20.33,0.0,0.0,19.92,0.0,0.0,0.04,0.0,0.0,100.0
09/21/2021,20.46,19.64,19.61,20.36,0.0,0.0,19.89,0.0,0.0,0.04,0.0,0.0,100.0
09/22/2021,20.46,19.64,19.61,20.36,0.0,0.0,19.89,0.0,0.0,0.04,0.0,0.0,100.0
09/23/2021,20.44,19.75,19.67,20.38,0.0,0.0,19.71,0.0,0.0,0.04,0.0,0.0,99.99
09/24/2021,20.29,19.88,19.7,20.38,0.0,0.0,19.72,0.0,0.0,0.04,0.0,0.0,100.01
09/27/2021,20.47,19.52,19.75,20.32,0.0,0.0,19.91,0.0,0.0,0.04,0.0,0.0,100.01
09/28/2021,20.47,19.52,19.75,20.32,0.0,0.0,19.91,0.0,0.0,0.04,0.0,0.0,100.01
09/29/2021,20.47,19.52,19.75,20.32,0.0,0.0,19.91,0.0,0.0,0.04,0.0,0.0,100.01
09/30/2021,20.55,19.51,19.8,20.33,0.0,0.0,19.78,0.0,0.0,0.04,0.0,0.0,100.01
10/01/2021,20.55,19.51,19.8,20.33,0.0,0.0,19.78,0.0,0.0,0.04,0.0,0.0,100.01
10/04/2021,20.29,19.93,19.84,20.12,0.0,0.0,19.78,0.0,0.0,0.0,0.0,0.06,100.02
10/05/2021,20.23,19.78,19.92,20.24,0.0,0.0,19.63,0.0,0.0,0.2,0.0,0.0,100.0
10/06/2021,20.23,19.78,19.92,20.24,0.0,0.0,19.63,0.0,0.0,0.2,0.0,0.0,100.0
10/07/2021,19.99,20.03,19.99,19.97,0.0,0.0,19.82,0.0,0.0,0.2,0.0,0.0,100.0
10/08/2021,19.92,20.2,20.07,19.91,0.0,0.0,19.81,0.0,0.0,0.09,0.0,0.0,100.0
10/11/2021,20.18,19.83,20.04,20.06,0.0,0.0,19.83,0.0,0.0,0.08,0.0,0.0,100.01999999999998
10/12/2021,20.18,19.83,20.04,20.06,0.0,0.0,19.83,0.0,0.0,0.08,0.0,0.0,100.01999999999998
10/13/2021,20.18,19.83,20.04,20.06,0.0,0.0,19.83,0.0,0.0,0.08,0.0,0.0,100.01999999999998
10/14/2021,20.19,19.86,20.03,20.03,0.0,0.0,19.81,0.0,0.0,0.08,0.0,0.0,100.0
10/15/2021,20.12,19.86,20.02,20.03,0.0,0.0,19.89,0.0,0.0,0.08,0.0,0.0,100.0
10/18/2021,20.06,19.83,20.06,19.99,0.0,0.0,19.97,0.0,0.0,0.08,0.0,0.0,99.99
10/19/2021,20.18,19.72,20.01,19.98,0.0,0.0,20.03,0.0,0.0,0.08,0.0,0.0,100.0
10/20/2021,20.26,19.66,19.96,19.98,0.0,0.0,20.07,0.0,0.0,0.08,0.0,0.0,100.01
10/21/2021,20.31,19.63,19.95,20.07,0.0,0.0,19.97,0.0,0.0,0.08,0.0,0.0,100.01
10/22/2021,20.38,19.56,19.91,20.05,0.0,0.0,20.03,0.0,0.0,0.08,0.0,0.0,100.01
10/25/2021,20.39,19.53,19.95,20.01,0.0,0.0,20.06,0.0,0.0,0.08,0.0,0.0,100.02
10/26/2021,20.44,19.47,19.98,20.07,0.0,0.0,19.96,0.0,0.0,0.08,0.0,0.0,100.0
10/27/2021,20.44,19.47,19.98,20.07,0.0,0.0,19.96,0.0,0.0,0.08,0.0,0.0,100.0
10/28/2021,20.44,19.46,20.0,19.97,0.0,0.0,20.06,0.0,0.0,0.08,0.0,0.0,100.01
10/29/2021,20.47,19.39,19.99,20.05,0.0,0.0,20.03,0.0,0.0,0.08,0.0,0.0,100.01
11/01/2021,20.47,19.49,19.8,20.16,0.0,0.0,20.02,0.0,0.0,0.07,0.0,0.0,100.00999999999998
11/02/2021,20.54,19.35,19.84,20.16,0.0,0.0,20.05,0.0,0.0,0.08,0.0,0.0,100.02
