,IBM,CVX,VZ,DOW,MRK,KO,MMM,CSCO,WBA,AMGN,HD,MCD,PG,JNJ,JPM,TRV,INTC,HON,CAT,WMT,UNH,GS,AXP,MSFT,NKE,AAPL,V,Cash/Receivables/Payables,AGPXX,Securities Lending - Bnym,Interest/Overdraft,n/a,688008.SS,KD WI,SUM
08/02/2021,8.28,6.44,6.19,6.23,5.01,5.27,4.91,5.04,4.68,4.47,4.16,3.91,3.78,3.73,3.25,3.0,2.65,2.71,2.4,2.43,2.36,2.29,1.99,1.58,1.31,1.1,0.9,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,99.98
08/03/2021,8.24,6.41,6.18,6.2,5.01,5.28,4.92,5.08,4.7,4.47,4.18,3.89,3.87,3.74,3.24,3.01,2.66,2.73,2.34,2.44,2.36,2.28,1.98,1.58,1.32,1.11,0.9,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/04/2021,8.24,6.41,6.18,6.2,5.01,5.28,4.92,5.08,4.7,4.47,4.18,3.89,3.87,3.74,3.24,3.01,2.66,2.73,2.34,2.44,2.36,2.28,1.98,1.58,1.32,1.11,0.9,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/05/2021,8.28,6.41,6.19,6.12,4.98,5.27,4.92,5.1,4.68,4.44,4.18,3.86,3.87,3.75,3.23,3.02,2.66,2.72,2.32,2.44,2.39,2.31,1.97,1.58,1.33,1.11,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/09/2021,8.35,6.38,6.13,6.09,4.93,5.23,4.92,5.12,4.68,4.33,4.24,3.8,3.88,3.78,3.27,3.05,2.67,2.69,2.34,2.49,2.36,2.34,1.97,1.61,1.37,1.12,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/13/2021,8.22,6.39,6.11,6.26,4.88,5.23,4.92,5.08,4.8,4.19,4.2,3.72,3.85,3.76,3.38,3.1,2.66,2.69,2.41,2.53,2.35,2.47,1.96,1.58,1.35,1.1,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/16/2021,8.25,6.37,6.08,6.29,4.89,5.19,4.94,5.11,4.85,4.16,4.19,3.74,3.83,3.76,3.4,3.12,2.62,2.67,2.46,2.52,2.3,2.49,1.93,1.59,1.33,1.11,0.83,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.03
08/17/2021,8.25,6.37,6.08,6.29,4.89,5.19,4.94,5.11,4.85,4.16,4.19,3.74,3.83,3.76,3.4,3.12,2.61,2.67,2.46,2.52,2.3,2.49,1.93,1.58,1.33,1.11,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/18/2021,8.25,6.33,6.11,6.26,4.93,5.22,4.91,5.11,4.84,4.19,4.16,3.78,3.85,3.78,3.36,3.12,2.61,2.67,2.44,2.52,2.32,2.46,1.9,1.6,1.33,1.11,0.84,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01
08/19/2021,8.25,6.24,6.1,6.2,4.99,5.23,4.94,5.08,4.81,4.2,4.19,3.8,3.86,3.8,3.33,3.14,2.6,2.68,2.42,2.54,2.35,2.44,1.89,1.61,1.34,1.13,0.84,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.03
08/20/2021,8.22,6.26,6.15,6.13,5.08,5.24,4.9,5.08,4.84,4.22,4.03,3.81,3.89,3.85,3.31,3.18,2.58,2.67,2.38,2.55,2.39,2.43,1.89,1.61,1.33,1.12,0.84,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.01
08/23/2021,8.1,5.96,6.16,6.06,5.14,5.28,4.88,5.28,4.76,4.17,4.13,3.82,3.96,3.9,3.3,3.24,2.61,2.67,2.32,2.58,2.46,2.41,1.85,1.65,1.31,1.12,0.85,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.0
08/24/2021,8.12,5.93,6.15,6.06,5.13,5.24,4.82,5.34,4.81,4.13,4.19,3.82,3.94,3.9,3.3,3.25,2.57,2.66,2.31,2.59,2.46,2.41,1.85,1.69,1.32,1.12,0.84,0.0,0.04,0.0,0.0,0.0,0.0,0.0,99.99
08/25/2021,8.12,5.93,6.15,6.06,5.13,5.24,4.82,5.34,4.81,4.13,4.19,3.82,3.94,3.9,3.3,3.25,2.57,2.66,2.31,2.59,2.46,2.41,1.85,1.69,1.32,1.12,0.84,0.0,0.04,0.0,0.0,0.0,0.0,0.0,99.99
08/26/2021,8.11,6.05,6.11,6.16,5.09,5.2,4.81,5.35,4.81,4.14,4.14,3.82,3.9,3.84,3.32,3.21,2.62,2.66,2.36,2.57,2.43,2.44,1.86,1.68,1.33,1.13,0.85,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.03
08/27/2021,8.11,6.11,6.06,6.27,5.04,5.15,4.81,5.41,4.79,4.12,4.11,3.8,3.86,3.78,3.34,3.22,2.64,2.67,2.39,2.54,2.42,2.48,1.86,1.67,1.33,1.13,0.85,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
09/02/2021,8.09,6.17,6.06,6.36,4.98,5.18,4.86,5.41,4.83,4.13,4.15,3.78,3.87,3.76,3.41,3.21,2.66,2.7,2.39,2.53,2.4,2.52,1.91,1.68,1.32,1.16,0.84,0.0,0.0,0.0,0.0,-0.33,0.0,0.0,100.03
09/03/2021,8.17,6.06,6.08,6.25,4.96,5.2,4.83,5.4,5.04,4.15,4.13,3.79,3.86,3.75,3.4,3.22,2.66,2.7,2.38,2.53,2.38,2.51,1.93,1.67,1.3,1.15,0.84,0.0,0.0,0.0,0.0,-0.33,0.0,0.0,100.01
09/06/2021,8.11,6.1,6.08,6.2,4.99,5.21,4.81,5.42,5.12,4.14,4.14,3.81,3.88,3.77,3.39,3.21,2.64,2.67,2.38,2.53,2.42,2.51,1.87,1.66,1.28,1.16,0.81,0.0,0.0,0.0,0.0,-0.31,0.0,0.0,100.0
09/07/2021,8.11,6.1,6.11,6.16,5.01,5.22,4.81,5.43,5.08,4.16,4.18,3.81,3.89,3.78,3.38,3.2,2.63,2.65,2.37,2.55,2.42,2.5,1.84,1.67,1.28,1.17,0.82,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,100.03
09/08/2021,8.11,6.1,6.11,6.16,5.01,5.22,4.81,5.43,5.08,4.16,4.18,3.81,3.89,3.78,3.38,3.2,2.63,2.65,2.37,2.55,2.42,2.5,1.84,1.67,1.28,1.17,0.82,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,100.03
09/10/2021,8.1,6.13,6.11,6.2,4.98,5.18,4.64,5.43,5.11,4.11,4.2,3.8,3.92,3.76,3.41,3.2,2.67,2.61,2.37,2.54,2.43,2.51,1.87,1.68,1.29,1.2,0.83,0.0,0.0,0.0,0.0,-0.27,0.0,0.0,100.01
09/14/2021,8.12,6.13,6.1,6.11,4.86,5.22,4.65,5.39,5.0,4.01,4.28,3.89,3.97,3.68,3.4,3.21,2.7,2.63,2.36,2.54,2.36,2.5,1.87,1.67,1.31,1.15,0.83,0.0,0.06,0.0,0.0,0.0,0.0,0.0,100.0
09/16/2021,8.12,6.2,6.1,6.1,4.81,5.23,4.64,5.37,4.94,4.03,4.29,3.89,3.98,3.63,3.43,3.23,2.74,2.63,2.35,2.51,2.4,2.51,1.89,1.66,1.27,1.14,0.83,0.0,0.1,0.0,0.0,0.0,0.0,0.0,100.01999999999998
09/17/2021,8.09,6.15,6.14,6.05,4.79,5.24,4.61,5.41,4.89,4.06,4.31,3.93,4.02,3.64,3.4,3.21,2.74,2.61,2.33,2.52,2.41,2.51,1.89,1.7,1.28,1.15,0.83,0.0,0.1,0.0,0.0,0.0,0.0,0.0,100.01
09/20/2021,8.07,6.2,6.12,6.01,4.76,5.19,4.6,5.34,5.05,4.07,4.33,3.95,3.97,3.64,3.41,3.21,2.75,2.6,2.34,2.52,2.43,2.45,1.92,1.72,1.26,1.15,0.83,0.0,0.13,0.0,0.0,0.0,0.0,0.0,100.02
09/23/2021,7.06,8.42,7.03,6.38,5.14,4.47,4.58,3.73,5.67,4.84,3.11,3.35,3.73,3.7,3.37,3.31,3.9,2.4,3.02,2.24,2.2,2.79,1.62,1.14,0.97,0.86,0.84,0.0,0.16,0.0,0.0,0.0,0.0,0.0,100.03
09/24/2021,6.97,8.4,6.98,6.28,5.13,4.45,4.51,3.68,5.61,4.83,3.13,3.36,3.73,3.71,3.36,3.31,3.88,2.38,2.99,2.24,2.19,2.77,1.64,1.14,0.97,0.86,0.84,0.0,0.68,0.0,0.0,0.0,0.0,0.0,100.02
09/27/2021,7.02,8.68,6.89,6.36,5.1,4.36,4.5,3.69,5.55,4.72,3.08,3.35,3.68,3.64,3.47,3.31,3.88,2.38,3.04,2.19,2.12,2.83,1.7,1.13,0.98,0.86,0.85,0.0,0.67,0.0,0.0,0.0,0.0,0.0,100.03
09/28/2021,7.05,8.72,6.88,6.29,5.14,4.35,4.48,3.7,5.53,4.69,3.09,3.37,3.66,3.63,3.51,3.32,3.89,2.38,3.04,2.19,2.12,2.82,1.73,1.13,0.92,0.86,0.87,0.0,0.67,0.0,0.0,0.0,0.0,0.0,100.03
09/30/2021,7.06,8.86,6.84,6.57,5.08,4.29,4.47,3.64,5.55,4.65,3.11,3.37,3.59,3.57,3.57,3.29,3.9,2.35,3.07,2.16,2.09,2.86,1.73,1.1,0.9,0.85,0.85,0.0,0.66,0.0,0.0,0.0,0.0,0.0,100.03
10/01/2021,8.23,6.4,6.17,6.19,5.01,5.27,4.91,5.08,4.69,4.46,4.17,3.89,3.86,3.74,3.23,3.01,2.66,2.73,2.33,2.44,2.36,2.28,1.98,1.58,1.32,1.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/07/2021,7.45,9.15,6.95,6.51,5.85,4.31,4.4,3.56,5.39,4.68,3.02,3.35,3.57,3.54,3.62,3.24,3.87,2.34,3.01,2.1,2.03,2.72,1.71,1.08,0.91,0.82,0.85,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,100.01
10/08/2021,7.36,9.2,6.91,6.56,5.71,4.29,4.42,3.57,5.4,4.66,3.03,3.36,3.56,3.53,3.64,3.26,3.88,2.35,2.98,2.1,2.05,2.79,1.72,1.09,0.92,0.83,0.84,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,99.99
10/11/2021,7.25,9.13,6.8,6.46,5.7,4.33,4.39,3.57,5.46,4.58,3.08,3.38,3.62,3.55,3.65,3.32,3.88,2.36,3.01,2.13,2.1,2.81,1.71,1.11,0.93,0.84,0.86,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.04
10/12/2021,7.25,9.13,6.8,6.46,5.7,4.33,4.39,3.57,5.46,4.58,3.08,3.38,3.62,3.55,3.65,3.32,3.88,2.36,3.01,2.12,2.1,2.81,1.71,1.11,0.93,0.84,0.86,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.03
10/13/2021,7.32,9.33,6.71,6.48,5.6,4.35,4.37,3.57,5.4,4.57,3.05,3.37,3.6,3.54,3.65,3.32,3.85,2.35,3.0,2.13,2.12,2.82,1.72,1.11,0.93,0.83,0.86,0.0,0.03,0.0,0.0,0.0,0.0,0.0,99.98000000000002
10/14/2021,7.33,9.32,6.63,6.48,5.6,4.39,4.38,3.59,5.45,4.56,3.1,3.38,3.64,3.55,3.6,3.32,3.85,2.34,2.99,2.14,2.11,2.79,1.71,1.12,0.93,0.84,0.84,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.01
10/15/2021,7.28,9.39,6.56,6.47,5.61,4.42,4.39,3.57,5.48,4.48,3.13,3.38,3.66,3.52,3.6,3.35,3.79,2.35,2.96,2.16,2.12,2.82,1.74,1.12,0.95,0.84,0.85,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.02
10/18/2021,7.31,9.38,6.53,6.47,5.43,4.38,4.44,3.6,5.78,4.51,3.14,3.32,3.65,3.51,3.5,3.3,3.85,2.36,2.98,2.13,2.17,2.8,1.68,1.14,0.96,0.84,0.84,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.03
10/19/2021,7.34,9.4,6.54,6.46,5.4,4.35,4.46,3.56,5.54,4.51,3.18,3.27,3.64,3.52,3.54,3.26,3.87,2.37,3.04,2.13,2.2,2.89,1.71,1.14,0.96,0.84,0.85,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.0
10/20/2021,7.34,9.4,6.54,6.46,5.4,4.35,4.46,3.56,5.54,4.51,3.18,3.27,3.64,3.52,3.54,3.26,3.87,2.37,3.04,2.13,2.2,2.89,1.71,1.14,0.96,0.84,0.85,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.0
10/21/2021,7.26,9.44,6.53,6.49,5.35,4.33,4.47,3.57,5.51,4.43,3.24,3.29,3.61,3.51,3.56,3.22,3.89,2.38,3.04,2.16,2.2,2.96,1.73,1.15,0.97,0.85,0.86,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.03
10/22/2021,7.18,9.54,6.53,6.46,5.47,4.31,4.45,3.58,5.41,4.47,3.24,3.27,3.53,3.56,3.57,3.25,3.91,2.37,3.06,2.18,2.18,2.93,1.72,1.15,0.96,0.86,0.86,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.03
10/25/2021,6.48,9.54,6.65,6.47,5.58,4.32,4.44,3.57,5.54,4.52,3.29,3.25,3.5,3.55,3.59,3.34,3.96,2.4,3.07,2.21,2.27,2.89,1.72,1.16,0.98,0.86,0.85,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.03
10/26/2021,6.49,9.67,6.62,6.4,5.6,4.34,4.43,3.55,5.54,4.54,3.32,3.22,3.55,3.57,3.65,3.4,3.51,2.33,3.06,2.25,2.31,2.95,1.82,1.15,0.99,0.86,0.85,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99.99
10/27/2021,6.49,9.67,6.62,6.4,5.6,4.34,4.43,3.55,5.54,4.54,3.32,3.22,3.55,3.57,3.65,3.4,3.51,2.33,3.06,2.25,2.31,2.95,1.82,1.15,0.99,0.86,0.85,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99.99
10/28/2021,6.46,9.74,6.57,6.42,5.62,4.32,4.46,3.55,5.56,4.5,3.36,3.2,3.55,3.57,3.63,3.38,3.5,2.33,3.08,2.27,2.31,2.95,1.77,1.15,1.0,0.86,0.86,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99.99
10/29/2021,6.44,9.76,6.63,6.42,5.66,4.34,4.45,3.59,5.46,4.52,3.34,3.19,3.59,3.61,3.64,3.36,3.42,2.34,3.04,2.25,2.33,2.97,1.76,1.16,0.99,0.86,0.85,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99.98999999999998
11/01/2021,6.38,9.69,6.6,6.2,5.97,4.47,4.4,3.62,5.33,4.5,3.37,3.32,3.6,3.55,3.62,3.38,3.41,2.34,3.12,2.25,2.34,2.96,1.7,1.21,1.0,0.88,0.77,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.02
11/02/2021,6.33,9.79,6.61,6.12,6.06,4.49,4.37,3.6,5.31,4.48,3.36,3.31,3.6,3.54,3.6,3.36,3.47,2.34,3.11,2.26,2.36,2.94,1.68,1.24,1.01,0.86,0.78,0.0,0.05,0.0,0.0,0.0,0.0,0.0,100.03
11/03/2021,6.33,9.79,6.61,6.12,6.06,4.49,4.37,3.6,5.31,4.48,3.36,3.31,3.6,3.54,3.6,3.36,3.47,2.34,3.11,2.26,2.36,2.94,1.68,1.24,1.01,0.86,0.78,0.0,0.05,0.0,0.0,0.0,0.0,0.0,100.03
11/04/2021,6.33,9.79,6.61,6.12,6.06,4.49,4.37,3.6,5.31,4.48,3.36,3.31,3.6,3.54,3.6,3.36,3.47,2.34,3.11,2.26,2.36,2.94,1.68,1.24,1.01,0.86,0.78,0.0,0.05,0.0,0.0,0.0,0.0,0.0,100.03
11/05/2021,6.32,9.64,6.5,6.33,6.07,4.42,4.4,3.66,5.34,4.6,3.28,3.32,3.59,3.57,3.58,3.29,3.5,2.34,3.12,2.24,2.29,2.98,1.66,1.23,1.01,0.86,0.76,0.0,0.14,0.0,0.0,0.0,0.0,0.0,100.04000000000002
11/08/2021,6.06,9.62,6.41,6.19,6.18,4.46,4.37,3.63,5.54,4.61,3.33,3.38,3.62,3.55,3.53,3.24,3.53,2.35,3.07,2.26,2.32,2.88,1.65,1.24,1.05,0.86,0.76,0.0,0.01,0.0,0.0,0.0,0.0,0.26,99.96000000000002
11/09/2021,6.21,9.74,6.47,6.32,5.57,4.49,4.41,3.64,5.62,4.6,3.31,3.41,3.64,3.53,3.54,3.31,3.58,2.4,3.11,2.25,2.31,2.87,1.7,1.24,1.07,0.87,0.79,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01000000000002
11/10/2021,6.21,9.74,6.47,6.32,5.57,4.49,4.41,3.64,5.62,4.6,3.31,3.41,3.64,3.53,3.54,3.31,3.58,2.4,3.11,2.25,2.31,2.87,1.7,1.24,1.07,0.87,0.79,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01000000000002
11/11/2021,6.25,9.76,6.47,6.34,5.64,4.44,4.4,3.63,5.58,4.54,3.3,3.38,3.61,3.51,3.55,3.29,3.62,2.39,3.23,2.23,2.35,2.88,1.73,1.24,1.03,0.86,0.81,0.0,0.0,0.0,0.0,-0.07,0.0,0.0,99.99000000000002
11/12/2021,6.08,9.86,6.48,6.39,5.66,4.47,4.4,3.67,5.51,4.56,3.33,3.38,3.63,3.51,3.54,3.27,3.6,2.42,3.18,2.25,2.36,2.87,1.73,1.24,1.05,0.87,0.78,0.0,0.0,0.0,0.0,-0.07,0.0,0.0,100.02
11/15/2021,6.06,9.72,6.52,6.5,5.76,4.5,4.39,3.63,5.62,4.56,3.31,3.36,3.67,3.53,3.54,3.29,3.57,2.36,3.16,2.23,2.33,2.85,1.75,1.23,1.01,0.85,0.77,0.0,0.0,0.0,0.0,-0.07,0.0,0.0,100.0
11/16/2021,5.99,9.72,6.5,6.53,5.75,4.48,4.46,3.63,5.56,4.55,3.35,3.36,3.67,3.57,3.52,3.27,3.54,2.37,3.17,2.22,2.34,2.86,1.75,1.25,1.02,0.86,0.78,0.0,0.0,0.0,0.0,-0.07,0.0,0.0,100.0
11/17/2021,5.99,9.72,6.5,6.53,5.75,4.48,4.46,3.63,5.56,4.55,3.35,3.36,3.67,3.57,3.52,3.27,3.54,2.37,3.17,2.22,2.34,2.86,1.75,1.25,1.02,0.86,0.78,0.0,0.0,0.0,0.0,-0.07,0.0,0.0,100.0
11/18/2021,5.98,9.93,6.5,6.51,5.73,4.48,4.45,3.66,5.52,4.47,3.34,3.39,3.69,3.54,3.51,3.29,3.54,2.37,3.15,2.21,2.29,2.86,1.76,1.24,1.02,0.86,0.78,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,100.02
11/19/2021,5.97,9.99,6.47,6.41,5.77,4.46,4.46,3.65,5.46,4.43,3.53,3.39,3.69,3.53,3.49,3.31,3.57,2.36,3.12,2.15,2.29,2.86,1.75,1.26,1.04,0.87,0.79,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,100.02000000000002
