,4SPX  210930C02017740,4SPX  210930P04035480,4XSP  210930C00201770,4SPX  210930P03362900,4XSP  210930P00403550,4XSP  210930P00201770,4XSP  210930P00285850,4XSP  210930P00336290,Cash&Other,4SPX  210930P02017740,4XSP  210930C00403550,4XSP  210930C00376880,4SPX  210930P02858470,4SPX  210930C04035480,4SPX  210930C03768800,2SPY  220930C00003430,2SPY  220930P00429140,2SPY  220930C00468490,2SPY  220930P00364770,SUM
07/23/2021,122.07,1.61,0.92,0.36,0.01,0.0,0.0,0.0,-0.01,-0.08,-0.07,-0.12,-0.16,-9.1,-15.43,0.0,0.0,0.0,0.0,100.0
07/26/2021,124.17,1.27,0.93,0.27,0.01,0.0,0.0,0.0,-0.02,-0.06,-0.07,-0.12,-0.12,-9.91,-16.36,0.0,0.0,0.0,0.0,99.99
07/27/2021,126.1,1.1,0.95,0.26,0.01,0.0,0.0,0.0,-0.02,-0.05,-0.08,-0.13,-0.11,-10.74,-17.27,0.0,0.0,0.0,0.0,100.01999999999995
07/28/2021,126.1,1.1,0.95,0.26,0.01,0.0,0.0,0.0,-0.02,-0.05,-0.08,-0.13,-0.11,-10.74,-17.27,0.0,0.0,0.0,0.0,100.01999999999995
07/29/2021,126.84,1.01,0.95,0.23,0.01,0.0,0.0,0.0,-0.02,-0.05,-0.08,-0.13,-0.1,-11.06,-17.6,0.0,0.0,0.0,0.0,99.99999999999996
07/30/2021,125.42,1.21,0.94,0.27,0.01,0.0,0.0,0.0,-0.03,-0.06,-0.08,-0.13,-0.12,-10.48,-16.96,0.0,0.0,0.0,0.0,99.98999999999998
08/02/2021,126.95,0.99,0.59,0.2,0.0,0.0,0.0,0.0,0.0,-0.05,-0.05,-0.08,-0.1,-10.94,-17.52,0.0,0.0,0.0,0.0,99.98999999999997
08/03/2021,125.89,1.07,0.38,0.22,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.05,-0.1,-10.41,-16.95,0.0,0.0,0.0,0.0,99.98
08/04/2021,125.89,1.07,0.38,0.22,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.05,-0.1,-10.41,-16.95,0.0,0.0,0.0,0.0,99.98
08/05/2021,125.64,1.09,0.38,0.24,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.05,-0.1,-10.29,-16.85,0.0,0.0,0.0,0.0,99.99
08/06/2021,126.94,0.92,0.39,0.2,0.0,0.0,0.0,0.0,0.0,-0.03,-0.03,-0.05,-0.08,-10.81,-17.43,0.0,0.0,0.0,0.0,100.01999999999995
08/10/2021,127.94,0.7,0.39,0.15,0.0,0.0,0.0,0.0,-0.01,-0.02,-0.03,-0.05,-0.06,-11.15,-17.85,0.0,0.0,0.0,0.0,100.00999999999996
08/11/2021,127.94,0.7,0.39,0.15,0.0,0.0,0.0,0.0,-0.01,-0.02,-0.03,-0.05,-0.06,-11.15,-17.85,0.0,0.0,0.0,0.0,100.00999999999996
08/13/2021,128.11,0.69,0.04,0.14,0.0,0.0,0.0,0.0,-0.01,-0.02,0.0,-0.01,-0.05,-11.08,-17.8,0.0,0.0,0.0,0.0,100.01000000000002
08/16/2021,129.45,0.54,0.04,0.11,0.0,0.0,0.0,0.0,-0.02,-0.02,0.0,-0.01,-0.04,-11.63,-18.42,0.0,0.0,0.0,0.0,100.0
08/17/2021,129.84,0.51,0.04,0.11,0.0,0.0,0.0,0.0,-0.02,-0.01,0.0,-0.01,-0.04,-11.8,-18.61,0.0,0.0,0.0,0.0,100.01000000000002
08/18/2021,129.84,0.51,0.04,0.11,0.0,0.0,0.0,0.0,-0.02,-0.01,0.0,-0.01,-0.04,-11.8,-18.61,0.0,0.0,0.0,0.0,100.01000000000002
08/19/2021,130.5,0.48,0.04,0.1,0.0,0.0,0.0,0.0,-0.03,-0.01,0.0,-0.01,-0.04,-12.1,-18.93,0.0,0.0,0.0,0.0,100.0
08/20/2021,128.67,0.62,0.04,0.12,0.0,0.0,0.0,0.0,-0.03,-0.01,0.0,-0.01,-0.05,-11.3,-18.06,0.0,0.0,0.0,0.0,99.99
08/23/2021,126.58,0.86,0.43,0.18,0.0,0.0,0.0,0.0,-0.02,-0.02,-0.04,-0.06,-0.07,-10.62,-17.24,0.0,0.0,0.0,0.0,99.98
08/24/2021,128.03,0.61,0.44,0.12,0.0,0.0,0.0,0.0,-0.02,-0.01,-0.04,-0.06,-0.04,-11.15,-17.88,0.0,0.0,0.0,0.0,100.00000000000004
08/25/2021,128.03,0.61,0.44,0.12,0.0,0.0,0.0,0.0,-0.02,-0.01,-0.04,-0.06,-0.04,-11.15,-17.88,0.0,0.0,0.0,0.0,100.00000000000004
08/26/2021,130.32,0.42,0.45,0.09,0.0,0.0,0.0,0.0,-0.03,-0.01,-0.04,-0.06,-0.03,-12.13,-18.97,0.0,0.0,0.0,0.0,100.01
08/27/2021,130.47,0.4,0.45,0.08,0.0,0.0,0.0,0.0,-0.03,-0.01,-0.04,-0.07,-0.03,-12.19,-19.04,0.0,0.0,0.0,0.0,99.99
08/30/2021,129.79,0.45,0.44,0.09,0.0,0.0,0.0,0.0,-0.04,-0.01,-0.04,-0.06,-0.03,-11.89,-18.71,0.0,0.0,0.0,0.0,99.99
08/31/2021,131.65,0.31,0.45,0.06,0.0,0.0,0.0,0.0,-0.04,-0.01,-0.04,-0.07,-0.02,-12.7,-19.6,0.0,0.0,0.0,0.0,99.99
09/01/2021,131.65,0.31,0.45,0.06,0.0,0.0,0.0,0.0,-0.04,-0.01,-0.04,-0.07,-0.02,-12.7,-19.6,0.0,0.0,0.0,0.0,99.99
09/02/2021,133.03,0.25,0.13,0.04,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.02,-0.01,-13.22,-20.18,0.0,0.0,0.0,0.0,100.01
09/03/2021,133.05,0.25,0.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.02,-0.01,-13.24,-20.19,0.0,0.0,0.0,0.0,100.01000000000003
09/06/2021,133.41,0.22,0.13,0.04,0.0,0.0,0.0,0.0,-0.01,0.0,-0.01,-0.02,-0.01,-13.4,-20.36,0.0,0.0,0.0,0.0,99.99
09/07/2021,133.46,0.21,0.13,0.04,0.0,0.0,0.0,0.0,-0.02,0.0,-0.01,-0.02,-0.01,-13.4,-20.37,0.0,0.0,0.0,0.0,100.01
09/08/2021,133.46,0.21,0.13,0.04,0.0,0.0,0.0,0.0,-0.02,0.0,-0.01,-0.02,-0.01,-13.4,-20.37,0.0,0.0,0.0,0.0,100.01
09/09/2021,133.46,0.21,0.13,0.04,0.0,0.0,0.0,0.0,-0.02,0.0,-0.01,-0.02,-0.01,-13.4,-20.37,0.0,0.0,0.0,0.0,100.01
09/10/2021,132.6,0.21,0.17,0.03,0.0,0.0,0.0,0.0,-0.02,0.0,-0.02,-0.03,-0.01,-12.99,-19.96,0.0,0.0,0.0,0.0,99.98
09/13/2021,131.2,0.22,0.17,0.03,0.0,0.0,0.0,0.0,-0.02,0.0,-0.02,-0.03,-0.01,-12.3,-19.25,0.0,0.0,0.0,0.0,99.98999999999997
09/14/2021,129.65,0.34,0.17,0.07,0.0,0.0,0.0,0.0,-0.03,0.0,-0.02,-0.02,-0.01,-11.63,-18.53,0.0,0.0,0.0,0.0,99.99
09/15/2021,129.65,0.34,0.17,0.07,0.0,0.0,0.0,0.0,-0.03,0.0,-0.02,-0.02,-0.01,-11.63,-18.53,0.0,0.0,0.0,0.0,99.99
09/16/2021,130.24,0.21,0.17,0.03,0.0,0.0,0.0,0.0,-0.03,0.0,-0.02,-0.02,-0.01,-11.81,-18.76,0.0,0.0,0.0,0.0,100.0
09/17/2021,128.84,0.2,0.17,0.03,0.0,0.0,0.0,0.0,-0.03,0.0,-0.01,-0.02,-0.01,-11.1,-18.05,0.0,0.0,0.0,0.0,100.02
09/20/2021,130.14,0.11,0.17,0.02,0.0,0.0,0.0,0.0,-0.04,0.0,-0.02,-0.02,0.0,-11.67,-18.69,0.0,0.0,0.0,0.0,99.99999999999996
09/21/2021,127.65,0.16,0.17,0.02,0.0,0.0,0.0,0.0,-0.04,0.0,-0.01,-0.02,-0.01,-10.47,-17.44,0.0,0.0,0.0,0.0,100.01
09/22/2021,127.65,0.16,0.17,0.02,0.0,0.0,0.0,0.0,-0.04,0.0,-0.01,-0.02,-0.01,-10.47,-17.44,0.0,0.0,0.0,0.0,100.01
09/23/2021,123.74,0.33,0.16,0.03,0.0,0.0,0.0,0.0,-0.04,0.0,-0.01,-0.02,-0.01,-8.66,-15.51,0.0,0.0,0.0,0.0,100.00999999999998
09/24/2021,123.43,0.22,0.16,0.02,0.0,0.0,0.0,0.0,-0.05,0.0,-0.01,-0.02,0.0,-8.42,-15.33,0.0,0.0,0.0,0.0,100.0
09/27/2021,128.96,0.04,0.17,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,-0.01,-0.02,0.0,-11.02,-18.06,0.0,0.0,0.0,0.0,100.00999999999998
09/28/2021,129.28,0.02,0.17,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,-0.01,-0.02,0.0,-11.17,-18.21,0.0,0.0,0.0,0.0,100.0
09/29/2021,129.28,0.02,0.17,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,-0.01,-0.02,0.0,-11.17,-18.21,0.0,0.0,0.0,0.0,100.0
09/30/2021,128.17,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.04,-0.07,0.0,-10.76,-17.81,0.0,0.0,0.0,0.0,100.0
10/01/2021,123.44,0.06,0.48,0.02,0.0,0.0,0.0,0.0,-0.02,-0.01,-0.03,-0.06,-0.01,-8.43,-15.45,0.0,0.0,0.0,0.0,99.99
10/04/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,96.96,8.57,-2.96,-4.22,99.98
10/05/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,98.61,8.05,-3.48,-3.98,100.0
10/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,98.61,8.05,-3.48,-3.98,100.0
10/07/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,97.95,8.71,-3.21,-4.29,100.0
10/08/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,98.39,8.17,-3.36,-4.01,99.99
10/11/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,98.64,7.98,-3.51,-3.91,99.99
10/12/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,99.02,7.55,-3.69,-3.66,100.0
10/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,99.02,7.55,-3.69,-3.66,100.0
10/14/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,98.43,7.89,-3.34,-3.77,99.99000000000001
