,SQ,SHOP,PYPL,SE,Z,TWLO,JD,MELI,PINS,ADYEN,COIN,TCEHY,FB,3690,DOCU,OPEN,4689,PDD,ICE,TCS.L,SI,6060,INTU,WDAY,SNAP,1833,DKNG,BEKE,BABA,9923,AMZN,PATH,DSY,TDOC,LC,BILL,STNE,4477,SCHW,KSPI,GOOG,HDB,DREYFUS GOVT CASH MAN INS,SOUTH AFRICAN RAND,FTCH,HOOD,ETSY,TOST,TWTR,GLBE,NU,PLTR,CND,n/a,SUM
07/23/2021,10.66,6.22,5.02,4.42,4.25,3.78,3.16,3.47,3.08,3.44,3.48,2.79,2.57,2.52,2.77,2.08,2.5,2.0,2.19,1.89,1.8,2.07,1.92,1.71,1.58,1.57,1.32,1.33,1.4,1.14,1.17,1.78,1.08,1.07,1.03,1.13,0.88,0.99,0.43,0.57,0.51,0.47,0.25,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/26/2021,10.96,6.32,4.98,4.51,4.23,3.82,3.16,3.48,3.05,3.58,3.4,2.7,2.57,2.5,2.76,2.02,2.43,1.99,2.15,1.87,1.87,2.19,1.92,1.71,1.55,1.45,1.38,1.29,1.39,1.23,1.16,1.73,1.06,1.03,1.03,1.15,0.87,0.92,0.41,0.57,0.51,0.46,0.18,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/28/2021,11.03,6.47,5.03,4.54,4.24,3.83,2.99,3.51,3.2,3.6,3.36,2.58,2.69,2.42,2.75,1.99,2.4,1.84,2.16,1.87,1.85,2.15,1.93,1.72,1.91,1.35,1.38,1.14,1.33,1.19,1.16,1.76,1.05,1.01,1.0,1.17,0.88,0.92,0.41,0.57,0.52,0.46,0.18,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/29/2021,11.18,6.36,5.1,4.51,4.68,3.8,2.24,3.52,3.25,3.67,4.47,1.37,2.77,2.13,2.78,2.21,2.51,1.44,2.18,1.94,2.02,2.05,1.97,1.74,1.91,1.35,1.4,0.02,0.76,1.06,1.19,1.91,1.07,2.0,1.06,1.17,1.17,0.96,0.42,0.65,0.54,0.47,0.19,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/30/2021,10.73,6.5,4.99,4.22,4.83,3.7,1.75,3.75,3.16,3.62,4.28,1.34,2.73,0.93,2.74,2.65,2.57,0.91,2.19,1.86,1.89,1.81,1.95,1.19,1.85,0.81,1.39,0.02,0.74,0.94,1.17,2.36,1.06,2.38,1.03,1.16,1.54,0.93,0.42,0.67,0.53,0.47,0.19,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.12
08/02/2021,10.95,6.64,4.73,4.46,4.92,3.76,1.96,4.17,3.08,3.81,4.32,1.42,2.68,1.1,2.75,2.79,1.98,1.06,2.2,1.87,1.93,1.99,1.97,1.22,1.88,0.91,1.43,0.0,0.79,1.08,1.17,2.51,1.08,2.47,1.56,1.19,1.65,0.8,0.03,0.69,0.53,0.48,0.23,0.0,1.28,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.88
08/03/2021,10.95,6.64,4.73,4.46,4.92,3.76,1.96,4.17,3.08,3.81,4.32,1.42,2.68,1.1,2.75,2.79,1.98,1.06,2.2,1.87,1.93,1.99,1.97,1.22,1.88,0.91,1.43,0.0,0.79,1.08,1.17,2.51,1.08,2.47,1.56,1.19,1.65,0.8,0.03,0.69,0.53,0.48,0.23,0.0,1.28,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.88
08/04/2021,10.9,6.72,4.74,4.45,4.98,3.69,1.98,4.1,2.84,3.8,4.46,1.44,2.74,1.06,2.8,2.84,1.99,1.08,1.8,1.85,1.91,1.99,2.04,1.25,1.92,0.91,1.43,0.0,0.8,1.1,1.11,2.56,1.1,2.42,1.63,1.23,1.69,0.73,0.0,0.7,0.54,0.49,0.26,0.0,1.31,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
08/05/2021,11.83,6.79,4.59,4.46,4.96,3.69,1.97,4.06,2.71,3.78,4.37,1.43,2.66,1.05,2.73,2.82,2.01,1.06,1.76,1.87,1.86,2.05,2.0,1.22,1.47,0.9,1.42,0.0,0.81,1.1,1.1,2.4,1.11,2.41,1.69,1.21,1.66,0.78,0.0,0.69,0.53,0.48,0.25,0.0,1.29,0.61,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/06/2021,11.77,6.75,4.66,4.51,4.86,3.62,1.95,4.08,2.86,3.81,4.29,1.13,2.67,1.04,2.72,2.69,2.05,1.04,1.77,1.94,1.85,2.03,2.02,1.24,1.08,0.91,1.41,0.0,0.8,1.08,1.11,2.45,1.12,2.44,1.72,1.22,1.63,0.8,0.0,0.7,0.54,0.5,0.27,0.0,1.21,0.88,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
02/07/2022,9.73,7.73,0.01,4.9,3.02,6.67,1.65,3.92,0.0,3.59,9.49,0.0,0.0,0.0,1.17,0.96,1.51,0.0,1.17,2.91,3.13,0.0,1.3,1.78,0.0,0.0,3.08,0.0,0.0,0.0,0.0,5.42,4.02,4.15,1.79,1.72,2.25,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.9,4.39,1.76,1.86,0.98,0.89,0.85,0.07,0.05,0.0,100.0
