,BUL,CALF,COWZ,GCOW,Pacer Dev Mkts Intl Csh Cows 100 ETF,URC.V,ICOW,Pacer US Small Cap Cash Cows 100 ETF,U.S. Bank Money Market Deposit Account,n/a,BIDI11.SA,SUM
08/30/2021,20.71,19.42,20.79,19.7,0.0,0.0,0.0,0.0,0.0,19.36,0.02,100.0
08/31/2021,20.71,19.42,20.79,19.7,0.0,0.0,0.0,0.0,0.0,19.36,0.02,100.0
09/01/2021,20.67,19.67,20.69,19.64,0.0,0.0,0.0,0.0,0.0,19.32,0.02,100.01
09/02/2021,20.67,19.67,20.69,19.64,0.0,0.0,0.0,0.0,0.0,19.32,0.02,100.01
09/03/2021,20.83,19.54,20.64,19.61,0.0,0.0,0.0,0.0,0.0,19.35,0.02,99.99
09/06/2021,20.76,19.52,20.65,19.59,0.0,0.0,0.0,0.0,0.0,19.46,0.02,100.0
09/07/2021,20.68,19.45,20.74,19.63,0.0,0.0,19.48,0.0,0.0,0.02,0.0,100.0
09/08/2021,20.68,19.45,20.74,19.63,0.0,0.0,19.48,0.0,0.0,0.02,0.0,100.0
09/09/2021,20.75,19.28,20.65,19.67,0.0,0.0,19.64,0.0,0.0,0.02,0.0,100.01
09/10/2021,20.66,19.14,20.69,19.73,0.0,0.0,19.76,0.0,0.0,0.02,0.0,100.0
09/13/2021,20.8,18.97,20.67,19.79,0.0,0.0,19.77,0.0,0.0,0.01,0.0,100.01
09/14/2021,20.81,19.07,20.7,19.68,0.0,0.0,19.73,0.0,0.0,0.01,0.0,100.0
09/15/2021,20.89,19.03,20.62,19.74,0.0,0.0,19.72,0.0,0.0,0.01,0.0,100.01
09/16/2021,20.89,19.03,20.62,19.74,0.0,0.0,19.72,0.0,0.0,0.01,0.0,100.01
09/17/2021,20.75,19.02,20.6,19.77,0.0,0.0,19.85,0.0,0.0,0.01,0.0,100.0
09/20/2021,20.81,18.98,20.66,19.72,0.0,0.0,19.83,0.0,0.0,0.01,0.0,100.01
09/21/2021,20.89,19.02,20.71,19.64,0.0,0.0,19.74,0.0,0.0,0.01,0.0,100.01
09/22/2021,20.89,19.02,20.71,19.64,0.0,0.0,19.74,0.0,0.0,0.01,0.0,100.01
09/23/2021,20.89,19.02,20.71,19.64,0.0,0.0,19.74,0.0,0.0,0.01,0.0,100.01
09/24/2021,20.92,19.04,20.61,19.68,0.0,0.0,19.74,0.0,0.0,0.01,0.0,100.0
09/27/2021,21.05,19.45,20.86,19.17,0.0,0.0,19.46,0.0,0.0,0.01,0.0,100.0
09/28/2021,21.05,19.45,20.86,19.17,0.0,0.0,19.46,0.0,0.0,0.01,0.0,100.0
09/29/2021,21.03,19.49,20.92,19.15,0.0,0.0,19.4,0.0,0.0,0.01,0.0,100.0
09/30/2021,21.03,19.49,20.92,19.15,0.0,0.0,19.4,0.0,0.0,0.01,0.0,100.0
10/01/2021,21.03,19.49,20.92,19.15,0.0,0.0,19.4,0.0,0.0,0.01,0.0,100.0
10/04/2021,20.22,19.89,20.98,19.08,0.0,0.0,19.1,0.0,0.0,0.72,0.0,99.99
10/05/2021,20.43,19.52,20.89,19.32,0.0,0.0,19.35,0.0,0.0,0.49,0.0,100.0
10/06/2021,20.43,19.52,20.89,19.32,0.0,0.0,19.35,0.0,0.0,0.49,0.0,100.0
10/07/2021,19.96,19.81,20.05,20.15,0.0,0.0,20.03,0.0,0.0,0.0,0.0,100.0
10/08/2021,19.71,19.95,20.12,20.18,0.0,0.0,19.92,0.0,0.0,0.13,0.0,100.01
10/11/2021,19.97,19.66,20.08,20.25,0.0,0.0,19.91,0.0,0.0,0.13,0.0,100.0
10/12/2021,20.01,19.87,20.11,20.09,0.0,0.0,19.79,0.0,0.0,0.13,0.0,100.0
10/13/2021,20.01,19.87,20.11,20.09,0.0,0.0,19.79,0.0,0.0,0.13,0.0,100.0
10/14/2021,20.01,19.87,20.11,20.09,0.0,0.0,19.79,0.0,0.0,0.13,0.0,100.0
10/15/2021,19.93,19.77,20.08,20.21,0.0,0.0,19.89,0.0,0.0,0.12,0.0,100.0
10/18/2021,19.93,19.77,20.04,20.16,0.0,0.0,19.97,0.0,0.0,0.12,0.0,99.99
10/19/2021,20.07,19.73,20.09,20.13,0.0,0.0,19.86,0.0,0.0,0.12,0.0,100.0
10/20/2021,20.11,19.62,20.1,20.14,0.0,0.0,19.92,0.0,0.0,0.12,0.0,100.01000000000002
10/21/2021,20.21,19.75,20.11,20.03,0.0,0.0,19.78,0.0,0.0,0.12,0.0,100.0
10/22/2021,20.3,19.56,20.14,20.05,0.0,0.0,19.83,0.0,0.0,0.12,0.0,100.0
10/25/2021,20.29,19.59,20.23,20.05,0.0,0.0,19.72,0.0,0.0,0.11,0.0,99.99
10/26/2021,20.43,19.71,20.23,19.89,0.0,0.0,19.63,0.0,0.0,0.11,0.0,100.0
10/27/2021,20.43,19.71,20.23,19.89,0.0,0.0,19.63,0.0,0.0,0.11,0.0,100.0
10/28/2021,20.45,19.63,20.23,19.92,0.0,0.0,19.66,0.0,0.0,0.11,0.0,100.0
10/29/2021,20.38,19.78,20.21,19.86,0.0,0.0,19.65,0.0,0.0,0.11,0.0,99.99
11/01/2021,20.71,19.24,19.97,20.07,0.0,0.0,19.89,0.0,0.0,0.12,0.0,100.0
11/02/2021,20.79,19.36,20.05,19.92,0.0,0.0,19.77,0.0,0.0,0.12,0.0,100.01
11/03/2021,20.79,19.36,20.05,19.92,0.0,0.0,19.77,0.0,0.0,0.12,0.0,100.01
11/04/2021,21.0,19.36,20.01,19.84,0.0,0.0,19.68,0.0,0.0,0.12,0.0,100.01
11/05/2021,20.89,19.76,20.06,19.65,0.0,0.0,19.52,0.0,0.0,0.11,0.0,99.99
11/08/2021,21.01,20.13,20.0,19.45,0.0,0.0,19.31,0.0,0.0,0.11,0.0,100.01
11/09/2021,21.22,20.11,19.93,19.35,0.0,0.0,19.27,0.0,0.0,0.11,0.0,99.99
11/10/2021,21.22,20.11,19.93,19.35,0.0,0.0,19.27,0.0,0.0,0.11,0.0,99.99
11/11/2021,21.09,20.32,20.02,19.32,0.0,0.0,19.15,0.0,0.0,0.1,0.0,100.0
11/12/2021,21.12,20.32,20.12,19.28,0.0,0.0,19.07,0.0,0.0,0.1,0.0,100.01
11/15/2021,21.06,20.27,20.2,19.33,0.0,0.0,19.04,0.0,0.0,0.1,0.0,100.0
11/16/2021,21.06,20.27,20.2,19.33,0.0,0.0,19.04,0.0,0.0,0.1,0.0,100.0
11/17/2021,21.06,20.27,20.2,19.33,0.0,0.0,19.04,0.0,0.0,0.1,0.0,100.0
11/18/2021,21.2,20.16,20.16,19.3,0.0,0.0,19.07,0.0,0.0,0.1,0.0,99.98999999999998
11/19/2021,21.27,20.2,20.16,19.26,0.0,0.0,19.01,0.0,0.0,0.1,0.0,100.0
11/22/2021,21.41,20.33,20.09,19.17,0.0,0.0,18.91,0.0,0.0,0.1,0.0,100.01
11/23/2021,21.41,20.33,20.09,19.17,0.0,0.0,18.91,0.0,0.0,0.1,0.0,100.01
11/24/2021,21.56,20.1,19.94,19.24,0.0,0.0,19.06,0.0,0.0,0.1,0.0,99.99999999999999
