,NTR,CTVA,BYND,OTLY,LNN,RAVN,NUF.AX,TTCF,ULVR.L,HYFM,TITN,GRWG,BAYN.DE,APPH,AGFY,BN.PA,ADM,UAVS,K,FMC,AGCO,MFI.TO,HAIN,ICL.TA,SMG,INGR,MRFG3.SA,SFM,STKL,LSF,n/a,NUF AU,ULVR LN,BAYN GR,BN FP,MFI CN,ICL IT,MRFG3 BZ,SUM
09/10/2021,14.23,13.58,9.89,9.05,5.05,5.15,4.84,5.24,4.21,4.72,3.21,3.25,2.87,2.6,1.9,2.27,1.69,1.22,1.06,0.66,0.4,0.35,0.32,0.35,0.34,0.34,0.36,0.32,0.27,0.22,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/13/2021,14.59,13.59,10.1,8.85,5.09,5.24,4.61,5.27,4.28,4.64,3.17,3.21,2.8,2.53,1.69,2.3,1.72,1.2,1.1,0.68,0.4,0.35,0.33,0.35,0.34,0.34,0.37,0.32,0.26,0.21,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/14/2021,14.59,13.59,10.1,8.85,5.09,5.24,4.61,5.27,4.28,4.64,3.17,3.21,2.8,2.53,1.69,2.3,1.72,1.2,1.1,0.68,0.4,0.35,0.33,0.35,0.34,0.34,0.37,0.32,0.26,0.21,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/15/2021,14.46,13.56,10.0,9.37,5.06,5.23,4.8,5.08,4.28,4.65,3.1,3.12,2.83,2.51,1.63,2.29,1.73,1.15,1.1,0.69,0.39,0.36,0.33,0.35,0.33,0.34,0.36,0.31,0.27,0.22,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
09/16/2021,14.58,13.52,10.04,9.64,4.99,5.25,4.71,4.93,4.34,4.37,3.11,3.01,2.84,2.45,1.77,2.3,1.78,1.2,1.12,0.69,0.4,0.36,0.33,0.36,0.34,0.35,0.36,0.31,0.27,0.21,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/17/2021,14.61,13.54,10.04,9.33,5.11,5.35,4.85,5.0,4.45,4.13,3.15,2.8,2.91,2.49,1.67,2.37,1.79,1.2,1.15,0.7,0.4,0.36,0.34,0.37,0.33,0.35,0.37,0.32,0.27,0.21,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999995
09/20/2021,15.06,13.59,9.8,8.96,4.96,5.3,4.99,4.88,4.34,4.18,3.17,2.92,2.86,2.55,1.87,2.32,1.86,1.16,1.14,0.7,0.41,0.37,0.35,0.37,0.32,0.36,0.37,0.32,0.26,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
09/21/2021,15.06,13.59,9.8,8.96,4.96,5.3,4.99,4.88,4.34,4.18,3.17,2.92,2.86,2.55,1.87,2.32,1.86,1.16,1.14,0.7,0.41,0.37,0.35,0.37,0.32,0.36,0.37,0.32,0.26,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
09/22/2021,14.98,13.31,10.19,8.9,5.04,5.28,4.94,5.08,4.28,4.09,3.1,2.9,2.82,2.59,2.01,2.3,1.84,1.18,1.14,0.68,0.39,0.37,0.35,0.37,0.32,0.35,0.36,0.31,0.26,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/23/2021,14.92,13.43,10.31,8.94,4.96,5.38,5.11,5.04,4.41,3.89,3.1,2.86,2.87,2.51,1.8,2.32,1.82,1.13,1.15,0.69,0.39,0.36,0.35,0.37,0.33,0.35,0.36,0.32,0.25,0.23,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
09/24/2021,15.01,13.37,10.28,9.16,4.97,5.37,5.29,4.88,4.42,3.76,3.01,2.84,2.9,2.42,1.88,2.34,1.8,1.11,1.14,0.68,0.39,0.36,0.36,0.37,0.33,0.36,0.36,0.32,0.26,0.23,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/27/2021,15.23,13.38,10.11,9.02,4.99,5.26,5.32,4.97,4.33,3.68,3.06,2.95,2.88,2.37,2.03,2.3,1.76,1.2,1.12,0.67,0.4,0.35,0.36,0.36,0.32,0.35,0.38,0.31,0.26,0.23,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/28/2021,15.23,13.38,10.11,9.02,4.99,5.26,5.32,4.97,4.33,3.68,3.06,2.95,2.88,2.37,2.03,2.3,1.76,1.2,1.12,0.67,0.4,0.35,0.36,0.36,0.32,0.35,0.38,0.31,0.26,0.23,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/29/2021,15.59,13.6,10.0,9.01,5.04,5.35,5.32,4.83,4.38,3.44,3.1,2.81,2.93,2.3,1.84,2.32,1.78,1.14,1.15,0.68,0.39,0.35,0.36,0.37,0.33,0.36,0.38,0.31,0.26,0.23,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/30/2021,15.62,13.71,10.15,8.7,4.98,5.26,5.33,4.81,4.29,3.57,3.16,2.89,2.92,2.3,1.9,2.27,1.78,1.18,1.13,0.68,0.4,0.35,0.35,0.37,0.33,0.36,0.4,0.32,0.26,0.23,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04000000000002
10/01/2021,15.65,13.79,9.76,8.77,5.04,5.34,5.41,4.75,4.35,3.49,3.22,2.8,2.93,2.24,1.86,2.28,1.8,1.15,1.15,0.67,0.4,0.35,0.37,0.37,0.34,0.36,0.4,0.32,0.26,0.23,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/04/2021,15.83,13.75,9.76,8.5,5.09,5.45,5.5,4.76,4.41,3.49,3.18,2.73,2.98,2.28,1.53,2.32,1.82,1.13,1.17,0.67,0.39,0.35,0.39,0.39,0.34,0.37,0.43,0.33,0.27,0.24,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
