,LLY,EW,NOVOB.CO,REGN,AZN,RO SW,BSX,ABBV,BMY,SYK,MDT,JNJ,BIIB,AMGN,4519.T,DXCM,WELL,ALC.SW,ZBH,068270.KS,4503.T,4543.T,BGNE,SGEN,GMAB.CO,STMN.SW,SOON.SW,3692.HK,FME.DE,VTR,EXAS,UCB.BR,TFX,SN.L,NVCR,PODD,INCY,853.HK,ABMD,DEMANT.CO,DVA,GN.CO,COH.AX,AMP.MI,ALEC,DNLI,NBIX,AMED,OHI,ORP.PA,UTHR,FGEN,HALO,LHCG,1302.HK,INGN,MNKD,1789.HK,ACAD,BKD,1858.HK,AED.BR,EXEL,ANGO,CSH.UN.TO,AGIO,2186.HK,BLUE,EKTA B.ST,MMSI,8086.T,ARNA,LIVN,ITGR,KORI.PA,SBRA,NUVA,BPMC,GKOS,TCMD,SILK,2500.HK,PNTG,ENSG,NHC,4547.T,RYM.NZ,EPZM,DHC,ATEC,NHI,RDUS,LTC,HRTX,OMER,AERI,PHM.MC,AMRN,TBPH,CASH,n/a,RO.SW,NOVO B.CO,TSVTV,SUM
07/23/2021,3.62,3.58,3.57,3.47,3.28,3.41,3.12,3.09,3.04,2.88,2.93,2.92,2.7,2.81,2.67,2.39,2.03,1.9,1.8,1.81,1.78,1.58,1.6,1.46,1.55,1.52,1.31,1.33,1.29,1.24,1.08,1.1,0.99,0.97,1.06,0.98,0.94,0.82,0.81,0.72,0.72,0.69,0.63,0.58,0.46,0.42,0.49,0.45,0.47,0.43,0.44,0.21,0.33,0.35,0.38,0.36,0.3,0.36,0.32,0.32,0.31,0.32,0.29,0.29,0.29,0.3,0.27,0.26,0.28,0.28,0.3,0.27,0.28,0.27,0.26,0.27,0.26,0.27,0.16,0.25,0.26,0.25,0.23,0.26,0.27,0.27,0.24,0.25,0.23,0.22,0.25,0.24,0.25,0.2,0.22,0.23,0.21,0.2,0.18,0.18,0.0,0.0,0.0,0.0,99.98000000000002
07/26/2021,3.65,3.57,3.6,3.45,3.29,3.31,3.16,3.11,3.08,2.91,2.95,2.93,2.72,2.77,2.63,2.39,2.0,1.93,1.82,1.77,1.78,1.58,1.61,1.43,1.58,1.57,1.34,1.24,1.32,1.23,1.08,1.12,1.0,1.01,1.06,0.97,0.93,0.83,0.8,0.76,0.72,0.71,0.64,0.6,0.44,0.42,0.5,0.45,0.46,0.44,0.44,0.2,0.33,0.35,0.37,0.37,0.29,0.34,0.3,0.31,0.31,0.32,0.29,0.3,0.29,0.27,0.27,0.26,0.29,0.29,0.3,0.27,0.29,0.27,0.27,0.27,0.26,0.27,0.16,0.25,0.25,0.25,0.22,0.25,0.26,0.27,0.24,0.23,0.22,0.23,0.25,0.23,0.25,0.21,0.22,0.23,0.21,0.19,0.17,0.18,0.0,0.0,0.0,0.0,100.02
07/27/2021,3.65,3.57,3.6,3.45,3.29,3.31,3.16,3.11,3.08,2.91,2.95,2.93,2.72,2.77,2.63,2.39,2.0,1.93,1.82,1.77,1.78,1.58,1.61,1.43,1.58,1.57,1.34,1.24,1.32,1.23,1.08,1.12,1.0,1.01,1.06,0.97,0.93,0.83,0.8,0.76,0.72,0.71,0.64,0.6,0.44,0.42,0.5,0.45,0.46,0.44,0.44,0.2,0.33,0.35,0.37,0.37,0.29,0.34,0.3,0.31,0.31,0.32,0.29,0.3,0.29,0.27,0.27,0.26,0.29,0.29,0.3,0.27,0.29,0.27,0.27,0.27,0.26,0.27,0.16,0.25,0.25,0.25,0.22,0.25,0.26,0.27,0.24,0.23,0.22,0.23,0.25,0.23,0.25,0.21,0.22,0.23,0.21,0.19,0.17,0.18,0.0,0.0,0.0,0.0,100.02
07/29/2021,3.75,3.66,3.64,3.42,3.25,3.37,3.21,3.14,3.09,2.98,3.0,2.98,2.79,2.8,2.68,2.42,2.02,1.94,1.85,1.74,1.8,1.62,1.39,1.44,1.6,1.56,1.35,1.16,1.32,1.23,1.05,1.11,1.02,1.01,1.03,0.95,0.92,0.7,0.81,0.76,0.72,0.71,0.66,0.6,0.43,0.35,0.49,0.45,0.47,0.45,0.44,0.19,0.33,0.35,0.32,0.38,0.28,0.27,0.29,0.31,0.27,0.32,0.28,0.3,0.3,0.26,0.25,0.25,0.3,0.29,0.3,0.27,0.29,0.28,0.27,0.27,0.27,0.26,0.16,0.25,0.25,0.21,0.21,0.25,0.27,0.27,0.24,0.22,0.23,0.23,0.25,0.22,0.25,0.2,0.23,0.23,0.21,0.18,0.17,0.18,0.0,0.0,0.0,0.0,99.99000000000002
07/30/2021,3.76,3.69,3.65,3.44,3.28,3.42,3.32,3.14,3.08,3.04,3.05,2.99,2.8,2.79,2.68,2.4,2.04,1.93,1.88,1.75,1.79,1.63,1.36,1.45,1.58,1.56,1.35,1.04,1.32,1.24,1.03,1.12,1.03,1.01,1.01,0.96,0.91,0.66,0.81,0.77,0.72,0.71,0.64,0.59,0.42,0.32,0.48,0.45,0.47,0.44,0.44,0.19,0.32,0.35,0.29,0.4,0.27,0.22,0.28,0.31,0.25,0.33,0.28,0.3,0.3,0.25,0.24,0.25,0.29,0.3,0.3,0.26,0.29,0.29,0.27,0.28,0.27,0.26,0.16,0.25,0.25,0.19,0.21,0.25,0.27,0.27,0.24,0.22,0.23,0.23,0.25,0.22,0.25,0.2,0.22,0.23,0.21,0.18,0.17,0.18,0.0,0.0,0.0,0.0,99.96
08/02/2021,3.74,3.71,3.69,3.41,3.26,3.42,3.27,3.13,3.08,3.01,3.02,2.95,2.73,2.74,2.62,2.41,2.0,1.99,1.86,1.72,1.77,1.65,1.56,1.46,1.59,1.6,1.37,1.18,1.33,1.21,1.02,1.14,1.01,0.97,0.91,0.98,0.91,0.75,0.8,0.79,0.71,0.68,0.65,0.59,0.33,0.33,0.47,0.44,0.46,0.45,0.43,0.19,0.32,0.36,0.31,0.41,0.27,0.25,0.3,0.3,0.29,0.33,0.28,0.3,0.29,0.26,0.26,0.24,0.29,0.3,0.3,0.26,0.31,0.3,0.27,0.28,0.26,0.27,0.16,0.26,0.24,0.21,0.21,0.25,0.27,0.27,0.24,0.22,0.22,0.23,0.25,0.21,0.24,0.2,0.23,0.23,0.21,0.19,0.17,0.18,0.0,0.0,0.0,0.0,99.99
08/03/2021,3.74,3.71,3.69,3.41,3.26,3.42,3.27,3.13,3.08,3.01,3.02,2.95,2.73,2.74,2.62,2.41,2.0,1.99,1.86,1.72,1.77,1.65,1.56,1.46,1.59,1.6,1.37,1.18,1.33,1.21,1.02,1.14,1.01,0.97,0.91,0.98,0.91,0.75,0.8,0.79,0.71,0.68,0.65,0.59,0.33,0.33,0.47,0.44,0.46,0.45,0.43,0.19,0.32,0.36,0.31,0.41,0.27,0.25,0.3,0.3,0.29,0.33,0.28,0.3,0.29,0.26,0.26,0.24,0.29,0.3,0.3,0.26,0.31,0.3,0.27,0.28,0.26,0.27,0.16,0.26,0.24,0.21,0.21,0.25,0.27,0.27,0.24,0.22,0.22,0.23,0.25,0.21,0.24,0.2,0.23,0.23,0.21,0.19,0.17,0.18,0.0,0.0,0.0,0.0,99.99
08/04/2021,3.72,3.74,3.74,3.37,3.24,3.43,3.3,3.07,3.07,3.04,3.04,2.96,2.72,2.73,2.57,2.73,1.98,1.99,1.87,1.66,1.62,1.61,1.59,1.52,1.61,1.61,1.38,1.16,1.27,1.22,0.99,1.13,1.01,0.96,0.85,1.0,0.91,0.74,0.81,0.8,0.72,0.68,0.64,0.61,0.33,0.33,0.47,0.45,0.45,0.44,0.43,0.19,0.32,0.36,0.31,0.42,0.26,0.25,0.29,0.3,0.3,0.33,0.28,0.3,0.29,0.25,0.26,0.24,0.29,0.32,0.3,0.26,0.3,0.29,0.27,0.28,0.26,0.28,0.16,0.26,0.28,0.2,0.21,0.25,0.28,0.26,0.25,0.22,0.22,0.23,0.25,0.21,0.24,0.2,0.22,0.23,0.2,0.19,0.16,0.18,0.0,0.0,0.0,0.0,100.01
08/05/2021,3.75,3.75,3.74,3.37,3.23,3.44,3.3,3.03,3.06,3.01,3.03,2.94,2.74,2.7,2.61,2.69,1.96,2.02,1.86,1.72,1.7,1.64,1.63,1.53,1.61,1.63,1.39,1.14,1.24,1.2,0.99,1.14,0.99,0.94,0.83,0.99,0.92,0.71,0.81,0.8,0.72,0.68,0.65,0.61,0.35,0.33,0.49,0.45,0.45,0.44,0.42,0.19,0.31,0.36,0.3,0.41,0.25,0.24,0.28,0.29,0.3,0.33,0.29,0.3,0.29,0.25,0.26,0.24,0.3,0.31,0.31,0.25,0.3,0.29,0.27,0.27,0.26,0.27,0.16,0.25,0.28,0.2,0.2,0.25,0.27,0.27,0.24,0.21,0.22,0.23,0.24,0.21,0.23,0.2,0.23,0.23,0.21,0.19,0.17,0.17,0.0,0.0,0.0,0.0,99.95
08/06/2021,3.87,3.78,3.73,3.4,3.23,3.46,3.26,3.04,3.1,2.98,3.02,2.97,2.78,2.73,2.55,2.73,1.97,2.0,1.74,1.73,1.67,1.64,1.69,1.56,1.63,1.62,1.39,1.17,1.27,1.2,0.94,1.15,0.97,0.92,0.82,0.99,0.91,0.73,0.8,0.79,0.73,0.69,0.65,0.61,0.36,0.33,0.49,0.44,0.43,0.43,0.42,0.19,0.31,0.36,0.3,0.4,0.25,0.25,0.28,0.29,0.32,0.32,0.28,0.31,0.29,0.24,0.26,0.24,0.3,0.31,0.31,0.25,0.29,0.28,0.26,0.26,0.24,0.27,0.16,0.23,0.29,0.2,0.21,0.25,0.27,0.27,0.25,0.21,0.22,0.22,0.24,0.2,0.23,0.19,0.23,0.22,0.2,0.19,0.17,0.17,0.0,0.0,0.0,0.0,99.99
08/10/2021,3.99,3.77,4.09,3.49,3.27,3.45,3.19,3.0,3.05,2.93,2.93,2.95,2.76,2.61,2.53,2.74,1.95,1.97,1.7,1.75,1.64,1.68,1.66,1.59,1.66,1.63,1.42,1.17,1.27,1.21,0.98,1.15,0.95,0.91,0.86,0.99,0.9,0.69,0.85,0.8,0.77,0.69,0.65,0.61,0.39,0.34,0.47,0.34,0.43,0.42,0.48,0.2,0.31,0.32,0.3,0.31,0.26,0.26,0.25,0.28,0.35,0.33,0.28,0.31,0.29,0.24,0.26,0.24,0.3,0.3,0.3,0.25,0.29,0.28,0.26,0.25,0.24,0.28,0.16,0.23,0.28,0.18,0.2,0.25,0.27,0.27,0.25,0.21,0.22,0.22,0.24,0.19,0.22,0.19,0.23,0.21,0.19,0.22,0.17,0.0,0.17,0.0,0.0,0.0,100.03
08/11/2021,4.02,3.83,4.0,3.57,3.19,3.39,3.22,3.01,3.07,2.94,2.97,2.97,2.82,2.6,2.54,2.73,1.94,1.97,1.7,1.79,1.65,1.68,1.61,1.6,1.6,1.62,1.41,1.15,1.27,1.19,0.93,1.16,0.97,0.9,0.83,0.98,0.9,0.67,0.85,0.77,0.79,0.68,0.65,0.6,0.38,0.34,0.46,0.33,0.44,0.43,0.5,0.2,0.31,0.32,0.3,0.33,0.26,0.26,0.25,0.27,0.35,0.33,0.29,0.31,0.29,0.24,0.26,0.24,0.3,0.31,0.31,0.23,0.29,0.28,0.26,0.26,0.25,0.3,0.16,0.23,0.28,0.18,0.2,0.25,0.27,0.27,0.25,0.21,0.23,0.22,0.24,0.19,0.22,0.19,0.23,0.22,0.19,0.22,0.16,0.0,0.17,0.0,0.0,0.0,99.99
08/13/2021,4.15,3.76,4.07,3.64,3.22,3.52,3.11,3.06,3.07,2.87,2.93,3.01,2.83,2.6,2.61,2.67,1.95,1.97,1.68,1.79,1.67,1.68,1.59,1.57,1.63,1.56,1.39,1.19,1.3,1.17,0.89,1.18,0.93,0.91,0.8,1.01,0.88,0.72,0.83,0.77,0.8,0.68,0.66,0.61,0.38,0.35,0.45,0.34,0.44,0.43,0.49,0.19,0.32,0.31,0.31,0.34,0.25,0.28,0.25,0.26,0.35,0.33,0.29,0.31,0.29,0.23,0.27,0.19,0.3,0.3,0.29,0.22,0.28,0.27,0.26,0.25,0.24,0.3,0.16,0.22,0.28,0.19,0.19,0.25,0.28,0.27,0.26,0.18,0.22,0.22,0.23,0.19,0.22,0.19,0.23,0.21,0.19,0.22,0.17,0.0,0.18,0.0,0.0,0.0,100.04
08/16/2021,4.06,3.75,4.15,3.6,3.28,3.55,3.22,3.08,3.06,2.95,2.98,3.04,2.86,2.6,2.63,2.63,1.93,1.95,1.69,1.85,1.68,1.65,1.46,1.57,1.67,1.61,1.39,1.07,1.3,1.16,0.89,1.22,0.93,0.92,0.79,1.02,0.87,0.67,0.8,0.73,0.79,0.65,0.65,0.62,0.39,0.35,0.45,0.32,0.44,0.43,0.48,0.19,0.33,0.31,0.29,0.33,0.26,0.26,0.24,0.26,0.33,0.33,0.3,0.31,0.3,0.23,0.25,0.18,0.3,0.31,0.29,0.21,0.27,0.28,0.26,0.25,0.24,0.3,0.16,0.22,0.26,0.17,0.18,0.25,0.27,0.28,0.26,0.18,0.22,0.21,0.23,0.19,0.22,0.18,0.24,0.21,0.19,0.26,0.17,0.0,0.21,0.0,0.0,0.0,100.0
08/18/2021,4.05,3.78,4.15,3.68,3.33,3.56,3.22,3.09,3.07,2.96,2.99,3.04,2.86,2.59,2.63,2.61,1.95,1.95,1.68,1.79,1.67,1.66,1.39,1.56,1.67,1.6,1.39,1.07,1.31,1.17,0.85,1.22,0.94,0.91,0.78,1.03,0.87,0.67,0.8,0.73,0.78,0.65,0.66,0.62,0.4,0.34,0.46,0.31,0.44,0.43,0.48,0.18,0.32,0.3,0.29,0.33,0.26,0.26,0.23,0.26,0.34,0.33,0.31,0.31,0.3,0.23,0.25,0.18,0.3,0.3,0.29,0.2,0.27,0.28,0.27,0.25,0.24,0.3,0.16,0.22,0.28,0.17,0.17,0.25,0.27,0.28,0.26,0.18,0.22,0.2,0.23,0.19,0.22,0.18,0.24,0.21,0.19,0.25,0.17,0.0,0.25,0.0,0.0,0.0,100.01
08/19/2021,4.12,3.81,4.16,3.68,3.33,3.59,3.23,3.12,3.1,2.97,3.0,3.05,2.85,2.61,2.58,2.68,1.95,1.94,1.68,1.78,1.63,1.65,1.4,1.55,1.65,1.62,1.39,1.06,1.31,1.15,0.85,1.21,0.95,0.91,0.75,1.05,0.88,0.66,0.8,0.72,0.78,0.64,0.65,0.62,0.38,0.34,0.46,0.32,0.43,0.43,0.47,0.18,0.32,0.3,0.31,0.33,0.26,0.25,0.22,0.26,0.34,0.33,0.31,0.31,0.3,0.23,0.25,0.17,0.3,0.3,0.28,0.2,0.27,0.28,0.26,0.24,0.24,0.29,0.16,0.21,0.28,0.17,0.17,0.25,0.27,0.27,0.27,0.17,0.21,0.2,0.22,0.18,0.22,0.17,0.23,0.21,0.19,0.24,0.17,0.0,0.25,0.0,0.0,0.0,99.98
08/20/2021,4.14,3.87,4.19,3.77,3.34,3.57,3.24,3.13,3.1,2.98,3.01,3.06,2.89,2.59,2.58,2.68,1.94,1.92,1.68,1.75,1.63,1.65,1.4,1.58,1.65,1.62,1.37,1.02,1.3,1.14,0.85,1.2,0.96,0.9,0.74,1.08,0.89,0.62,0.81,0.72,0.78,0.64,0.64,0.61,0.38,0.33,0.46,0.32,0.42,0.42,0.48,0.17,0.31,0.3,0.31,0.32,0.26,0.24,0.23,0.25,0.32,0.33,0.32,0.31,0.28,0.23,0.24,0.18,0.29,0.3,0.28,0.2,0.28,0.28,0.26,0.24,0.24,0.29,0.16,0.21,0.28,0.17,0.17,0.24,0.27,0.27,0.26,0.17,0.21,0.2,0.22,0.19,0.22,0.17,0.23,0.21,0.2,0.25,0.16,0.0,0.25,0.0,0.0,0.0,100.01
08/23/2021,4.13,3.92,4.26,3.84,3.35,3.57,3.2,3.11,3.1,2.96,2.99,3.07,2.81,2.54,2.75,2.67,1.92,2.2,1.65,1.74,1.71,1.71,1.38,1.57,1.66,1.61,1.36,1.07,1.29,1.11,0.83,1.22,0.96,0.91,0.71,1.06,0.88,0.59,0.82,0.72,0.79,0.58,0.65,0.62,0.35,0.31,0.46,0.31,0.41,0.42,0.47,0.17,0.3,0.29,0.3,0.31,0.25,0.23,0.21,0.25,0.31,0.33,0.3,0.31,0.28,0.22,0.24,0.16,0.29,0.31,0.28,0.19,0.28,0.29,0.26,0.23,0.24,0.29,0.15,0.21,0.26,0.17,0.16,0.23,0.27,0.28,0.27,0.16,0.2,0.19,0.22,0.18,0.21,0.16,0.21,0.2,0.2,0.25,0.17,0.0,0.25,0.0,0.0,0.0,100.04
08/24/2021,4.13,3.92,4.26,3.84,3.35,0.0,3.2,3.11,3.1,2.96,2.99,3.07,2.81,2.54,2.75,2.67,1.92,2.2,1.65,1.74,1.71,1.71,1.38,1.57,1.66,1.61,1.36,1.07,1.29,1.11,0.83,1.22,0.96,0.91,0.71,1.06,0.88,0.59,0.82,0.72,0.79,0.58,0.65,0.62,0.35,0.31,0.46,0.31,0.41,0.42,0.47,0.17,0.3,0.29,0.3,0.31,0.25,0.23,0.21,0.25,0.31,0.33,0.3,0.31,0.28,0.22,0.24,0.16,0.29,0.31,0.28,0.19,0.28,0.29,0.26,0.23,0.24,0.29,0.15,0.21,0.26,0.17,0.16,0.23,0.27,0.28,0.27,0.16,0.2,0.19,0.22,0.18,0.21,0.16,0.21,0.2,0.2,0.25,0.17,0.0,0.25,3.57,0.0,0.0,100.04
08/25/2021,4.12,3.94,4.31,3.87,3.35,0.0,3.2,3.12,3.12,2.96,3.0,3.05,2.83,2.52,2.72,2.73,1.92,2.2,1.66,1.7,1.71,1.71,1.24,1.58,1.7,1.62,1.37,1.0,1.28,1.11,0.85,1.21,0.96,0.92,0.73,1.05,0.88,0.55,0.86,0.73,0.79,0.57,0.6,0.63,0.34,0.32,0.47,0.3,0.4,0.43,0.48,0.18,0.31,0.3,0.28,0.32,0.27,0.22,0.22,0.25,0.3,0.33,0.31,0.32,0.28,0.22,0.23,0.17,0.29,0.31,0.28,0.19,0.28,0.29,0.26,0.23,0.24,0.29,0.16,0.21,0.27,0.16,0.16,0.24,0.27,0.28,0.27,0.16,0.2,0.19,0.21,0.18,0.21,0.17,0.23,0.21,0.2,0.24,0.18,0.0,0.26,3.52,0.0,0.0,100.06
