,MA,FB,GOOGL,V,RDS.A.MX,ABNB,BHP,RIO,CVS,NFLX,F,MDB,MSFT,DIS,PENN,ADBE,ROKU,AAPL,NVDA,CRWD,CMPS,DOCU,RBLX,ATVI,AMZN,SQ,TEAM,DNMR,BYND,TWLO,BROS,COIN,SHOP,SQM,DDOG,U,ARX.TO,SE,RRC,AFRM,OKTA,TDOC,HUBS,SNOW,WOLF,ZM,SMT.TO,ATAI,GLXY.TO,PTON,TTD,TSLA,ZS,GRWG,TLRY,NET,VLNS.TO,FXFXX,FGXXX,FTRP.TO,n/a,CVX,VALE,LYB,SLB,HBM.TO,SHEL,CENX,LYFT,CVNA,SWN,CRK,SBOW,EQT,ALB,LGO.TO,LAC.TO,SUM
01/25/2022,7.85,6.37,6.56,5.74,8.38,4.55,5.11,6.05,5.5,2.21,2.31,0.51,3.01,3.12,2.73,2.81,1.55,2.0,0.45,1.01,1.12,0.68,0.82,1.7,2.63,0.0,0.0,0.87,0.76,0.47,0.67,0.48,0.74,2.03,0.0,0.0,1.03,0.0,0.81,0.0,0.0,0.47,0.0,0.0,0.44,0.47,0.39,0.24,0.23,0.34,0.0,0.43,0.0,0.19,0.0,0.0,0.2,0.12,0.12,0.19,0.15,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
01/26/2022,7.95,6.33,6.66,5.72,8.55,4.69,5.07,6.13,5.66,1.79,2.29,0.51,3.07,3.01,2.77,2.85,1.46,2.05,0.46,0.99,1.13,0.66,0.78,1.76,2.57,0.0,0.0,0.84,0.79,0.46,0.68,0.43,0.66,2.06,0.0,0.0,1.03,0.0,0.8,0.0,0.0,0.47,0.0,0.0,0.45,0.47,0.4,0.24,0.19,0.39,0.0,0.43,0.0,0.19,0.0,0.0,0.19,0.16,0.16,0.18,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/27/2022,7.95,6.33,6.66,5.72,8.55,4.69,5.07,6.13,5.66,1.79,2.29,0.51,3.07,3.01,2.77,2.85,1.46,2.05,0.46,0.99,1.13,0.66,0.78,1.76,2.57,0.0,0.0,0.84,0.79,0.46,0.68,0.43,0.66,2.06,0.0,0.0,1.03,0.0,0.8,0.0,0.0,0.47,0.0,0.0,0.45,0.47,0.4,0.24,0.19,0.39,0.0,0.43,0.0,0.19,0.0,0.0,0.19,0.16,0.16,0.18,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/28/2022,7.82,6.45,6.68,5.61,8.44,4.42,5.04,6.04,5.77,1.74,2.26,0.52,3.07,3.01,2.87,2.97,1.51,2.04,0.46,1.01,1.11,0.7,0.8,1.73,2.61,0.0,0.0,0.9,0.8,0.47,0.75,0.43,0.7,2.01,0.0,0.0,1.01,0.0,0.82,0.0,0.0,0.49,0.0,0.0,0.46,0.48,0.4,0.23,0.19,0.43,0.0,0.42,0.0,0.19,0.0,0.0,0.18,0.16,0.16,0.19,0.0,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
01/31/2022,7.91,6.22,6.47,5.78,8.93,4.18,4.61,6.27,6.02,2.29,2.19,0.0,2.74,3.0,2.9,2.81,0.49,1.49,0.0,0.0,0.45,0.53,0.42,1.73,2.55,0.0,0.0,0.81,0.37,0.0,0.8,0.0,0.0,3.35,0.0,0.0,1.04,0.0,0.85,0.0,0.0,0.44,0.0,0.0,0.35,0.44,0.39,0.21,0.09,0.67,0.0,0.38,0.0,0.17,0.0,0.0,0.18,0.1,0.1,0.18,0.0,4.04,2.02,1.54,0.81,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
02/01/2022,7.91,6.22,6.47,5.78,8.93,4.18,4.61,6.27,6.02,2.29,2.19,0.0,2.74,3.0,2.9,2.81,0.49,1.49,0.0,0.0,0.45,0.53,0.42,1.73,2.55,0.0,0.0,0.81,0.37,0.0,0.8,0.0,0.0,3.35,0.0,0.0,1.04,0.0,0.85,0.0,0.0,0.44,0.0,0.0,0.35,0.44,0.39,0.21,0.09,0.67,0.0,0.38,0.0,0.17,0.0,0.0,0.18,0.1,0.1,0.18,0.0,4.04,2.02,1.54,0.81,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
02/02/2022,7.91,6.22,6.47,5.78,8.93,4.18,4.61,6.27,6.02,2.29,2.19,0.0,2.74,3.0,2.9,2.81,0.49,1.49,0.0,0.0,0.45,0.53,0.42,1.73,2.55,0.0,0.0,0.81,0.37,0.0,0.8,0.0,0.0,3.35,0.0,0.0,1.04,0.0,0.85,0.0,0.0,0.44,0.0,0.0,0.35,0.44,0.39,0.21,0.09,0.67,0.0,0.38,0.0,0.17,0.0,0.0,0.18,0.1,0.1,0.18,0.0,4.04,2.02,1.54,0.81,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
02/03/2022,8.43,6.21,6.53,6.24,8.71,4.21,4.38,5.96,6.01,2.22,2.14,0.0,2.74,2.99,2.95,2.88,0.49,1.55,0.0,0.0,0.46,0.55,0.41,1.69,2.56,0.0,0.0,0.84,0.36,0.0,0.77,0.0,0.0,3.24,0.0,0.0,1.08,0.0,0.87,0.0,0.0,0.45,0.0,0.0,0.33,0.45,0.4,0.22,0.1,0.7,0.0,0.38,0.0,0.17,0.0,0.0,0.17,0.1,0.1,0.16,0.0,3.81,1.97,1.51,0.8,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
02/04/2022,8.3,6.29,6.46,6.04,0.0,4.43,4.24,5.67,5.71,2.41,2.17,0.0,2.7,3.01,2.97,2.9,0.52,1.56,0.0,0.0,0.48,0.57,0.46,1.65,2.6,0.0,0.0,0.89,0.4,0.0,0.83,0.0,0.0,3.34,0.0,0.0,1.12,0.0,0.84,0.0,0.0,0.47,0.0,0.0,0.35,0.47,0.41,0.23,0.1,0.73,0.0,0.41,0.0,0.19,0.0,0.0,0.19,0.31,0.31,0.17,0.0,3.74,1.88,1.48,0.77,0.68,8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
02/07/2022,8.49,4.84,6.92,6.26,0.0,4.36,4.44,5.91,5.9,2.32,2.15,0.0,2.65,2.99,2.99,2.81,0.46,1.56,0.0,0.0,0.46,0.53,0.43,1.67,2.44,0.0,0.0,0.73,0.36,0.0,0.88,0.0,0.0,3.3,0.0,0.0,1.15,0.0,0.91,0.0,0.0,0.46,0.0,0.0,0.34,0.42,0.39,0.22,0.09,0.66,0.0,0.39,0.0,0.18,0.0,0.0,0.17,0.32,0.32,0.17,0.0,3.87,2.02,1.55,0.77,0.69,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
02/08/2022,8.49,4.84,6.92,6.26,0.0,4.36,4.44,5.91,5.9,2.32,2.15,0.0,2.65,2.99,2.99,2.81,0.46,1.56,0.0,0.0,0.46,0.53,0.43,1.67,2.44,0.0,0.0,0.73,0.36,0.0,0.88,0.0,0.0,3.3,0.0,0.0,1.15,0.0,0.91,0.0,0.0,0.46,0.0,0.0,0.34,0.42,0.39,0.22,0.09,0.66,0.0,0.39,0.0,0.18,0.0,0.0,0.17,0.32,0.32,0.17,0.0,3.87,2.02,1.55,0.77,0.69,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
02/09/2022,8.49,4.84,6.92,6.26,0.0,4.36,4.44,5.91,5.9,2.32,2.15,0.0,2.65,2.99,2.99,2.81,0.46,1.56,0.0,0.0,0.46,0.53,0.43,1.67,2.44,0.0,0.0,0.73,0.36,0.0,0.88,0.0,0.0,3.3,0.0,0.0,1.15,0.0,0.91,0.0,0.0,0.46,0.0,0.0,0.34,0.42,0.39,0.22,0.09,0.66,0.0,0.39,0.0,0.18,0.0,0.0,0.17,0.32,0.32,0.17,0.0,3.87,2.02,1.55,0.77,0.69,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
02/10/2022,8.26,4.78,6.88,6.13,0.0,4.5,4.43,5.9,5.85,2.33,1.93,0.0,2.67,3.01,2.94,2.8,0.5,1.54,0.0,0.0,0.46,0.54,0.45,1.66,2.75,0.0,0.0,0.73,0.36,0.0,0.92,0.0,0.0,3.31,0.0,0.0,1.14,0.0,0.9,0.0,0.0,0.46,0.0,0.0,0.34,0.44,0.39,0.22,0.1,0.66,0.0,0.4,0.0,0.19,0.0,0.0,0.17,0.32,0.32,0.17,0.0,3.88,2.05,1.54,0.76,0.7,9.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
02/11/2022,8.01,4.4,6.63,6.06,0.0,4.65,4.59,6.18,5.92,2.27,1.88,0.0,2.63,2.99,3.12,2.76,0.49,1.55,0.0,0.0,0.45,0.55,0.45,1.66,2.79,0.0,0.0,0.69,0.37,0.0,0.92,0.0,0.0,3.48,0.0,0.0,1.07,0.0,0.83,0.0,0.0,0.43,0.0,0.0,0.35,0.43,0.4,0.22,0.1,0.99,0.0,0.4,0.0,0.19,0.0,0.0,0.2,0.32,0.32,0.17,0.0,3.86,2.14,1.54,0.77,0.72,9.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
02/14/2022,7.35,4.06,6.47,3.88,0.0,4.83,3.95,3.95,3.72,1.98,1.68,0.0,1.96,2.71,3.19,2.62,0.51,1.92,0.0,0.0,0.46,0.57,0.47,1.66,3.04,0.0,0.0,0.69,0.37,0.0,0.19,0.0,0.0,9.73,0.0,0.0,1.07,0.0,0.52,0.0,0.0,0.44,0.0,0.0,0.35,0.43,0.39,0.24,0.11,0.98,0.0,0.38,0.0,0.21,0.0,0.0,0.27,0.32,0.32,0.16,-0.37,2.93,1.5,1.53,0.76,0.75,7.31,5.95,1.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
02/15/2022,7.35,4.06,6.47,3.88,0.0,4.83,3.95,3.95,3.72,1.98,1.68,0.0,1.96,2.71,3.19,2.62,0.51,1.92,0.0,0.0,0.46,0.57,0.47,1.66,3.04,0.0,0.0,0.69,0.37,0.0,0.19,0.0,0.0,9.73,0.0,0.0,1.07,0.0,0.52,0.0,0.0,0.44,0.0,0.0,0.35,0.43,0.39,0.24,0.11,0.98,0.0,0.38,0.0,0.21,0.0,0.0,0.27,0.32,0.32,0.16,-0.37,2.93,1.5,1.53,0.76,0.75,7.31,5.95,1.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
02/16/2022,7.34,3.96,6.34,3.9,0.0,4.73,3.94,3.94,3.72,1.93,1.64,0.0,1.93,2.69,3.13,2.54,0.51,1.9,0.0,0.0,0.45,0.55,0.46,1.68,2.96,0.0,0.0,0.65,0.37,0.0,0.18,0.0,0.0,10.13,0.0,0.0,0.72,0.0,0.54,0.0,0.0,0.45,0.0,0.0,0.35,0.42,0.41,0.24,0.1,0.91,0.0,0.37,0.0,0.21,0.0,0.0,0.27,0.32,0.32,0.16,0.0,3.02,1.49,1.54,0.79,0.75,7.49,6.14,0.96,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
02/17/2022,7.34,3.96,6.34,3.9,0.0,4.73,3.94,3.94,3.72,1.93,1.64,0.0,1.93,2.69,3.13,2.54,0.51,1.9,0.0,0.0,0.45,0.55,0.46,1.68,2.96,0.0,0.0,0.65,0.37,0.0,0.18,0.0,0.0,10.13,0.0,0.0,0.72,0.0,0.54,0.0,0.0,0.45,0.0,0.0,0.35,0.42,0.41,0.24,0.1,0.91,0.0,0.37,0.0,0.21,0.0,0.0,0.27,0.32,0.32,0.16,0.0,3.02,1.49,1.54,0.79,0.75,7.49,6.14,0.96,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
02/18/2022,7.13,1.92,6.38,3.92,0.0,5.07,3.66,3.87,2.93,1.99,1.68,0.0,1.95,2.76,3.18,2.55,0.52,1.93,0.0,0.0,0.45,0.4,0.5,1.66,2.99,0.0,0.0,0.71,0.38,0.0,0.18,0.0,0.0,14.63,0.0,0.0,0.71,0.0,0.52,0.0,0.0,0.45,0.0,0.0,0.39,0.44,0.4,0.77,0.1,0.87,0.0,0.39,0.0,0.21,0.0,0.0,0.68,0.1,0.1,0.16,0.0,2.89,1.44,1.39,0.77,0.75,7.18,4.45,1.03,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
02/21/2022,7.13,1.85,6.32,3.94,0.0,5.27,3.76,3.92,2.97,1.93,1.66,0.0,1.92,2.78,3.21,2.48,0.45,1.92,0.0,0.0,0.42,0.37,0.38,1.68,3.02,0.0,0.0,0.69,0.35,0.0,0.17,0.0,0.0,14.33,0.0,0.0,0.72,0.0,0.54,0.0,0.0,0.44,0.0,0.0,0.37,0.39,0.43,0.76,0.1,0.82,0.0,0.38,0.0,0.2,0.0,0.0,0.61,0.14,0.14,0.14,0.0,2.94,1.43,1.41,0.81,0.75,7.35,4.73,1.04,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
03/28/2022,3.98,1.03,5.65,2.04,0.0,2.93,3.79,3.69,2.68,0.98,1.47,0.0,1.73,2.18,2.1,2.16,0.31,1.7,0.0,0.0,0.37,0.24,0.23,0.92,2.94,0.0,0.0,0.96,0.29,0.0,0.18,0.0,0.0,14.41,0.0,0.0,1.97,0.0,3.37,0.0,0.0,0.0,0.0,0.0,0.3,0.26,0.77,0.28,0.13,0.62,0.0,0.4,0.0,0.0,0.0,0.0,0.42,0.28,0.3,0.13,0.0,3.15,1.95,0.51,0.67,1.16,5.76,5.52,0.31,0.45,3.18,2.92,2.66,1.64,1.13,0.8,0.0,100.0
04/19/2022,3.89,1.9,4.99,1.92,0.0,3.51,1.51,1.51,2.19,0.87,1.3,0.0,1.57,1.99,1.77,3.44,0.27,1.6,0.0,1.59,0.35,0.23,0.2,1.21,2.69,0.0,0.0,0.84,0.45,0.0,0.16,0.0,0.0,10.49,0.0,0.0,1.01,0.0,4.66,0.0,0.0,0.0,0.0,0.0,0.59,0.24,0.29,0.27,0.09,0.52,0.0,0.79,0.0,0.0,0.0,0.0,0.25,0.42,0.42,0.12,0.0,2.54,0.96,0.97,0.38,0.92,2.58,2.71,0.27,0.3,6.19,6.08,5.92,4.72,1.92,0.54,0.88,99.99
