,SNPS,CPRT,APH,CDNS,WAT,VRSK,JBHT,TYL,GXO,ZBRA,LH,FAST,NVR,STE,PH,CTAS,TTC,DHI,GGG,ODFL,CSL,XRAY,HEI,ROL,LKQ,TDY,KEYS,CHE,CACI,FLT,CCK,SUM
12/14/2021,3.6,4.79,4.46,4.68,3.87,4.23,3.79,3.83,3.78,3.84,3.45,3.49,3.66,3.06,3.22,3.19,3.24,3.5,3.05,3.35,3.07,2.4,3.17,2.22,2.62,2.43,2.87,2.94,2.61,1.6,0.0,100.01
12/15/2021,3.6,4.79,4.46,4.68,3.87,4.23,3.79,3.83,3.78,3.84,3.45,3.49,3.66,3.06,3.22,3.19,3.24,3.5,3.05,3.35,3.07,2.4,3.17,2.22,2.62,2.43,2.87,2.94,2.61,1.6,0.0,100.01
12/16/2021,3.6,4.79,4.46,4.68,3.87,4.23,3.79,3.83,3.78,3.84,3.45,3.49,3.66,3.06,3.22,3.19,3.24,3.5,3.05,3.35,3.07,2.4,3.17,2.22,2.62,2.43,2.87,2.94,2.61,1.6,0.0,100.01
12/17/2021,3.6,4.79,4.46,4.68,3.87,4.23,3.79,3.83,3.78,3.84,3.45,3.49,3.66,3.06,3.22,3.19,3.24,3.5,3.05,3.35,3.07,2.4,3.17,2.22,2.62,2.43,2.87,2.94,2.61,1.6,0.0,100.01
12/20/2021,3.6,4.79,4.46,4.68,3.87,4.23,3.79,3.83,3.78,3.84,3.45,3.49,3.66,3.06,3.22,3.19,3.24,3.5,3.05,3.35,3.07,2.4,3.17,2.22,2.62,2.43,2.87,2.94,2.61,1.6,0.0,100.01
12/21/2021,3.63,4.67,4.46,4.66,3.99,4.16,3.8,3.72,3.45,3.78,3.62,3.6,3.71,3.2,3.23,3.26,3.0,3.59,3.15,3.16,3.1,2.58,3.14,2.21,2.53,2.39,2.84,3.14,2.58,1.66,0.0,100.01
12/22/2021,3.63,4.67,4.46,4.66,3.99,4.16,3.8,3.72,3.45,3.78,3.62,3.6,3.71,3.2,3.23,3.26,3.0,3.59,3.15,3.16,3.1,2.58,3.14,2.21,2.53,2.39,2.84,3.14,2.58,1.66,0.0,100.01
12/23/2021,3.63,4.67,4.46,4.66,3.99,4.16,3.8,3.72,3.45,3.78,3.62,3.6,3.71,3.2,3.23,3.26,3.0,3.59,3.15,3.16,3.1,2.58,3.14,2.21,2.53,2.39,2.84,3.14,2.58,1.66,0.0,100.01
12/24/2021,3.72,4.65,4.46,4.72,3.97,4.12,3.83,3.83,3.51,3.7,3.53,3.55,3.75,3.16,3.23,3.22,3.03,3.57,3.15,3.13,3.09,2.54,3.23,2.18,2.57,2.4,2.82,3.09,2.57,1.69,0.0,100.01
12/27/2021,3.72,4.65,4.49,4.75,4.03,4.11,3.8,3.78,3.57,3.64,3.46,3.54,3.71,3.23,3.24,3.15,3.04,3.56,3.16,3.15,3.08,2.61,3.2,2.15,2.56,2.39,2.82,3.13,2.58,1.69,0.0,99.99
12/28/2021,3.72,4.65,4.49,4.75,4.03,4.11,3.8,3.78,3.57,3.64,3.46,3.54,3.71,3.23,3.24,3.15,3.04,3.56,3.16,3.15,3.08,2.61,3.2,2.15,2.56,2.39,2.82,3.13,2.58,1.69,0.0,99.99
12/29/2021,3.72,4.65,4.49,4.75,4.03,4.11,3.8,3.78,3.57,3.64,3.46,3.54,3.71,3.23,3.24,3.15,3.04,3.56,3.16,3.15,3.08,2.61,3.2,2.15,2.56,2.39,2.82,3.13,2.58,1.69,0.0,99.99
12/30/2021,3.72,4.65,4.49,4.75,4.03,4.11,3.8,3.78,3.57,3.64,3.46,3.54,3.71,3.23,3.24,3.15,3.04,3.56,3.16,3.15,3.08,2.61,3.2,2.15,2.56,2.39,2.82,3.13,2.58,1.69,0.0,99.99
12/31/2021,3.72,4.68,4.52,4.73,4.03,4.09,3.86,3.78,3.5,3.67,3.46,3.55,3.7,3.21,3.25,3.16,2.99,3.57,3.18,3.17,3.09,2.59,3.2,2.17,2.56,2.38,2.85,3.12,2.57,1.67,0.0,100.02
01/03/2022,3.7,4.72,4.51,4.68,4.07,4.08,3.86,3.82,3.48,3.67,3.52,3.54,3.71,3.23,3.22,3.12,2.99,3.58,3.17,3.16,3.09,2.59,3.19,2.17,2.58,2.38,2.85,3.1,2.56,1.67,0.0,100.01
01/03/2022,3.7,4.72,4.51,4.68,4.07,4.08,3.86,3.82,3.48,3.67,3.52,3.54,3.71,3.23,3.22,3.12,2.99,3.58,3.17,3.16,3.09,2.59,3.19,2.17,2.58,2.38,2.85,3.1,2.56,1.67,0.0,100.01
01/03/2022,3.7,4.72,4.51,4.68,4.07,4.08,3.86,3.82,3.48,3.67,3.52,3.54,3.71,3.23,3.22,3.12,2.99,3.58,3.17,3.16,3.09,2.59,3.19,2.17,2.58,2.38,2.85,3.1,2.56,1.67,0.0,100.01
01/04/2022,3.7,4.72,4.51,4.68,4.07,4.08,3.86,3.82,3.48,3.67,3.52,3.54,3.71,3.23,3.22,3.12,2.99,3.58,3.17,3.16,3.09,2.59,3.19,2.17,2.58,2.38,2.85,3.1,2.56,1.67,0.0,100.01
01/05/2022,3.7,4.72,4.51,4.68,4.07,4.08,3.86,3.82,3.48,3.67,3.52,3.54,3.71,3.23,3.22,3.12,2.99,3.58,3.17,3.16,3.09,2.59,3.19,2.17,2.58,2.38,2.85,3.1,2.56,1.67,0.0,100.01
01/06/2022,3.7,4.72,4.51,4.68,4.07,4.08,3.86,3.82,3.48,3.67,3.52,3.54,3.71,3.23,3.22,3.12,2.99,3.58,3.17,3.16,3.09,2.59,3.19,2.17,2.58,2.38,2.85,3.1,2.56,1.67,0.0,100.01
01/07/2022,3.56,4.61,4.54,4.48,3.94,4.01,3.98,3.74,3.47,3.65,3.3,3.5,3.7,3.26,3.34,3.05,3.08,3.56,3.15,3.19,3.17,2.67,3.29,2.21,2.62,2.48,2.74,3.03,2.68,0.0,2.02,100.02
01/10/2022,3.52,4.58,4.57,4.45,3.98,3.98,4.0,3.63,3.37,3.56,3.34,3.54,3.74,3.26,3.37,2.99,3.08,3.56,3.2,3.15,3.17,2.69,3.34,2.2,2.65,2.44,2.74,3.07,2.72,0.0,2.09,99.98
01/11/2022,3.5,4.52,4.51,4.22,4.03,3.92,4.02,3.64,3.38,3.46,3.4,3.57,3.63,3.28,3.5,2.99,3.11,3.36,3.23,3.13,3.19,2.76,3.5,2.3,2.69,2.45,2.74,3.07,2.75,0.0,2.15,100.0
01/12/2022,3.5,4.52,4.51,4.22,4.03,3.92,4.02,3.64,3.38,3.46,3.4,3.57,3.63,3.28,3.5,2.99,3.11,3.36,3.23,3.13,3.19,2.76,3.5,2.3,2.69,2.45,2.74,3.07,2.75,0.0,2.15,100.0
01/13/2022,3.5,4.52,4.51,4.22,4.03,3.92,4.02,3.64,3.38,3.46,3.4,3.57,3.63,3.28,3.5,2.99,3.11,3.36,3.23,3.13,3.19,2.76,3.5,2.3,2.69,2.45,2.74,3.07,2.75,0.0,2.15,100.0
01/14/2022,3.57,4.52,4.49,4.26,3.96,3.92,3.96,3.77,3.49,3.47,3.45,3.51,3.68,3.25,3.44,3.02,3.16,3.45,3.16,3.03,3.17,2.73,3.45,2.28,2.63,2.46,2.77,3.07,2.76,0.0,2.12,100.0
01/17/2022,3.54,4.6,4.5,4.27,3.94,3.89,4.02,3.75,3.54,3.46,3.33,3.51,3.67,3.33,3.48,3.02,3.12,3.47,3.19,3.02,3.21,2.65,3.44,2.29,2.63,2.46,2.74,3.02,2.74,0.0,2.16,99.99
01/18/2022,3.46,4.58,4.49,4.14,3.91,3.85,4.09,3.61,3.64,3.42,3.31,3.57,3.79,3.27,3.54,3.04,3.15,3.51,3.22,2.99,3.22,2.64,3.48,2.29,2.65,2.45,2.72,3.02,2.77,0.0,2.2,100.02
01/19/2022,3.47,4.54,4.5,4.13,3.89,3.78,4.07,3.63,3.71,3.45,3.31,3.5,3.83,3.29,3.55,3.01,3.15,3.49,3.17,2.99,3.17,2.65,3.58,2.24,2.63,2.45,2.74,3.02,2.82,0.0,2.23,99.99
01/20/2022,3.47,4.54,4.5,4.13,3.89,3.78,4.07,3.63,3.71,3.45,3.31,3.5,3.83,3.29,3.55,3.01,3.15,3.49,3.17,2.99,3.17,2.65,3.58,2.24,2.63,2.45,2.74,3.02,2.82,0.0,2.23,99.99
01/21/2022,3.41,4.52,4.5,4.01,3.88,3.87,4.13,3.6,3.58,3.45,3.33,3.53,3.76,3.3,3.64,3.02,3.24,3.39,3.16,3.03,3.18,2.67,3.56,2.23,2.62,2.46,2.72,3.05,2.89,0.0,2.27,100.0
01/24/2022,3.44,4.45,4.48,4.0,3.85,3.94,4.21,3.62,3.73,3.42,3.38,3.46,3.62,3.32,3.56,3.0,3.14,3.26,3.16,3.02,3.2,2.73,3.62,2.27,2.58,2.54,2.71,3.06,2.88,0.0,2.38,100.03
01/25/2022,3.39,4.43,4.47,3.98,3.92,3.93,4.22,3.62,3.62,3.4,3.42,3.51,3.63,3.36,3.59,3.02,3.14,3.28,3.16,2.95,3.21,2.74,3.61,2.26,2.62,2.54,2.67,3.08,2.89,0.0,2.33,99.99
01/26/2022,3.39,4.43,4.47,3.98,3.92,3.93,4.22,3.62,3.62,3.4,3.42,3.51,3.63,3.36,3.59,3.02,3.14,3.28,3.16,2.95,3.21,2.74,3.61,2.26,2.62,2.54,2.67,3.08,2.89,0.0,2.33,99.99
01/27/2022,3.39,4.43,4.47,3.98,3.92,3.93,4.22,3.62,3.62,3.4,3.42,3.51,3.63,3.36,3.59,3.02,3.14,3.28,3.16,2.95,3.21,2.74,3.61,2.26,2.62,2.54,2.67,3.08,2.89,0.0,2.33,99.99000000000001
