,CNTY,RRR,BYD,VICI,GLPI,MCRI,WH,FLL,MAR,BVH,GDEN,PENN,ABNB,TH,NCLH,PLYA,CHH,RCL,DIS,CCL,MTN,BKNG,EXPE,HLT,HGV,TNL,FENER.IS,TRIP,VAC,n/a,H,LIND,002960.SZ,IHG,MGM,SUM
09/02/2021,5.64,6.25,5.73,5.12,4.9,4.77,4.85,4.29,4.56,4.55,4.32,4.8,4.04,4.09,3.31,3.36,2.75,2.73,2.32,2.04,1.94,1.88,1.73,1.68,1.71,1.59,0.0,1.05,1.01,0.88,0.67,0.66,0.74,0.0,0.0,99.96
09/03/2021,5.64,6.25,5.73,5.12,4.9,4.77,4.85,4.29,4.56,4.55,4.32,4.8,4.04,4.09,3.31,3.36,2.75,2.73,2.32,2.04,1.94,1.88,1.73,1.68,1.71,1.59,0.0,1.05,1.01,0.88,0.67,0.66,0.74,0.0,0.0,99.96
09/06/2021,5.59,6.41,5.61,5.22,5.11,4.81,4.74,4.19,4.52,4.73,4.08,4.81,4.03,4.19,3.29,3.42,2.73,2.73,2.32,2.06,1.88,1.88,1.71,1.65,1.76,1.57,0.0,1.04,1.01,0.88,0.67,0.63,0.72,0.0,0.0,99.99
09/07/2021,5.7,6.33,5.59,5.32,5.18,4.77,4.73,4.24,4.48,4.73,4.18,4.8,4.08,4.31,3.2,3.33,2.72,2.64,2.33,1.98,1.87,1.9,1.71,1.65,1.74,1.56,0.0,1.03,1.0,0.73,0.66,0.62,0.0,0.88,0.0,99.99
09/08/2021,5.7,6.33,5.59,5.32,5.18,4.77,4.73,4.24,4.48,4.73,4.18,4.8,4.08,4.31,3.2,3.33,2.72,2.64,2.33,1.98,1.87,1.9,1.71,1.65,1.74,1.56,0.0,1.03,1.0,0.73,0.66,0.62,0.0,0.88,0.0,99.99
09/09/2021,5.7,6.33,5.59,5.32,5.18,4.77,4.73,4.24,4.48,4.73,4.18,4.8,4.08,4.31,3.2,3.33,2.72,2.64,2.33,1.98,1.87,1.9,1.71,1.65,1.74,1.56,0.0,1.03,1.0,0.73,0.66,0.62,0.0,0.88,0.0,99.99
09/13/2021,5.95,6.03,5.68,4.98,4.91,4.8,4.75,4.33,4.6,6.14,5.6,2.85,4.31,3.64,3.25,3.47,2.74,1.19,2.4,2.02,1.93,1.91,1.77,1.69,1.76,1.55,0.0,1.06,1.02,2.12,0.67,0.0,0.0,0.87,0.0,99.99
09/15/2021,5.78,5.9,5.53,5.0,4.9,4.65,4.81,4.49,4.62,6.37,5.51,2.73,4.33,3.58,3.24,3.6,2.76,1.2,2.4,1.99,1.95,1.92,1.77,1.73,1.78,1.62,0.0,1.06,1.02,2.21,0.67,0.0,0.0,0.88,0.0,100.0
09/16/2021,5.66,5.93,5.42,5.0,4.89,4.7,4.84,4.39,4.74,6.51,5.51,2.65,4.17,3.52,3.31,3.61,2.76,1.22,2.39,2.02,1.92,1.92,1.8,1.76,1.8,1.64,0.0,1.11,1.06,2.19,0.69,0.0,0.0,0.89,0.0,100.02
09/17/2021,5.5,6.15,5.45,5.02,4.9,4.66,4.9,4.3,4.84,6.47,5.59,2.56,4.27,3.25,3.25,3.57,2.79,1.21,2.37,1.99,1.93,1.94,1.83,1.79,1.86,1.65,0.0,1.09,1.07,2.21,0.7,0.0,0.0,0.9,0.0,100.01
09/23/2021,5.35,6.43,5.62,4.87,4.74,4.83,4.79,4.35,4.81,6.84,5.73,2.5,4.28,3.21,3.3,3.38,2.77,1.21,2.35,2.02,1.97,1.9,1.82,1.75,1.81,1.62,0.0,1.08,1.04,2.08,0.69,0.0,0.0,0.88,0.0,100.02
09/27/2021,5.49,6.55,5.64,4.76,4.6,4.67,4.82,4.38,4.82,6.58,5.93,2.44,4.33,3.4,3.39,3.47,2.76,1.22,2.17,2.03,2.01,1.95,1.92,1.72,1.83,1.62,0.0,1.03,1.03,1.91,0.68,0.0,0.0,0.87,0.0,100.02
09/28/2021,5.4,6.51,5.58,4.65,4.49,4.66,4.87,4.41,4.84,6.55,5.98,2.41,4.29,3.39,3.44,3.59,2.75,1.24,2.14,2.07,2.13,1.93,1.95,1.71,1.84,1.61,0.0,1.05,1.04,1.94,0.69,0.0,0.0,0.86,0.0,100.01
09/29/2021,5.4,6.51,5.58,4.65,4.49,4.66,4.87,4.41,4.84,6.55,5.98,2.41,4.29,3.39,3.44,3.59,2.75,1.24,2.14,2.07,2.13,1.93,1.95,1.71,1.84,1.61,0.0,1.05,1.04,1.94,0.69,0.0,0.0,0.86,0.0,100.01
09/30/2021,5.5,6.61,5.69,4.54,4.41,4.73,4.87,4.4,4.85,6.51,5.94,2.44,4.2,3.36,3.43,3.76,2.75,1.26,2.15,2.12,2.06,1.9,1.91,1.73,1.85,1.61,0.0,1.03,1.06,1.79,0.69,0.0,0.0,0.87,0.0,100.02000000000002
10/01/2021,5.52,6.75,5.68,4.48,4.43,4.74,4.95,4.49,4.88,6.35,5.84,2.41,4.11,3.25,3.42,3.8,2.79,1.26,2.12,2.13,2.08,1.89,1.92,1.72,1.84,1.57,0.0,1.0,1.05,1.97,0.69,0.0,0.0,0.85,0.0,99.98
10/04/2021,5.58,5.28,5.76,4.64,4.61,4.85,5.04,4.82,4.97,6.7,6.07,2.39,4.21,3.34,3.44,3.93,2.9,1.28,2.16,2.13,2.14,1.9,1.94,1.76,1.89,1.57,0.0,0.0,1.08,2.04,0.7,0.0,0.0,0.88,0.0,100.0
10/08/2021,5.65,5.28,5.59,4.49,4.51,4.7,5.08,6.53,2.02,6.37,5.95,2.3,3.99,3.44,3.38,3.86,2.84,1.24,2.12,2.05,2.08,1.88,1.91,1.76,0.91,1.51,0.0,0.0,1.04,5.95,0.71,0.0,0.0,0.87,0.0,100.01
10/11/2021,5.32,5.0,5.25,4.35,5.2,4.39,4.81,6.33,1.92,5.9,5.62,2.15,3.84,3.14,3.18,3.68,2.71,1.17,2.01,1.9,1.97,1.8,1.82,1.66,0.85,1.42,0.0,0.0,0.98,7.1,0.67,0.0,0.0,3.88,0.0,100.02
10/12/2021,5.63,5.2,5.43,4.46,5.3,4.57,5.1,6.64,2.01,6.08,6.0,2.28,4.04,3.32,3.15,3.82,2.86,1.18,2.1,1.89,2.04,1.88,1.89,1.75,0.87,1.45,0.0,0.0,1.0,3.26,0.71,0.0,0.0,4.1,0.0,100.01
10/13/2021,5.63,5.2,5.43,4.46,5.3,4.57,5.1,6.64,2.01,6.08,6.0,2.28,4.04,3.32,3.15,3.82,2.86,1.18,2.1,1.89,2.04,1.88,1.89,1.75,0.87,1.45,0.0,0.0,1.0,3.26,0.71,0.0,0.0,4.1,0.0,100.01
10/14/2021,5.63,5.2,5.43,4.46,5.3,4.57,5.1,6.64,2.01,6.08,6.0,2.28,4.04,3.32,3.15,3.82,2.86,1.18,2.1,1.89,2.04,1.88,1.89,1.75,0.87,1.45,0.0,0.0,1.0,3.26,0.71,0.0,0.0,4.1,0.0,100.01
10/15/2021,5.68,5.42,5.6,4.49,5.33,4.5,5.07,6.83,2.0,5.99,5.83,2.29,4.08,3.17,3.2,3.74,2.86,1.18,2.04,1.91,2.0,1.86,1.87,1.77,0.89,1.43,0.0,0.0,0.99,3.23,0.72,0.0,0.0,4.03,0.0,100.0
10/18/2021,5.65,5.3,5.51,4.44,5.28,4.41,4.9,6.54,1.92,5.71,5.83,2.28,3.93,3.03,3.07,3.53,5.32,1.13,2.01,1.82,1.94,1.84,1.81,1.69,0.86,1.4,0.0,0.0,0.96,3.16,0.7,0.0,0.0,4.02,0.0,99.99
10/22/2021,5.73,2.92,5.6,4.62,5.49,4.58,5.01,6.53,1.99,5.69,5.85,2.55,4.09,3.1,3.08,3.69,5.43,1.14,2.05,1.78,2.09,1.88,1.86,1.75,0.86,1.41,0.0,0.0,0.98,3.21,0.73,0.0,0.0,4.3,0.0,99.99
10/25/2021,5.67,2.96,5.67,4.66,5.56,4.61,5.01,6.51,1.98,5.77,5.8,2.46,4.08,3.11,3.09,3.66,5.41,1.14,2.05,1.8,2.08,1.83,1.83,1.75,0.88,1.42,0.0,0.0,0.99,3.23,0.71,0.0,0.0,4.3,0.0,100.01999999999998
10/26/2021,5.77,2.95,5.67,4.67,5.57,4.59,5.08,6.47,1.99,6.05,5.77,2.35,4.01,3.14,3.08,3.69,5.46,1.14,2.03,1.79,2.12,1.84,1.8,1.77,0.92,1.42,0.0,0.0,0.98,3.0,0.71,0.0,0.0,4.17,0.0,100.0
10/28/2021,5.77,2.95,5.67,4.67,5.57,4.59,5.08,6.47,1.99,6.05,5.77,2.35,4.01,3.14,3.08,3.69,5.46,1.14,2.03,1.79,2.12,1.84,1.8,1.77,0.92,1.42,0.0,0.0,0.98,3.0,0.71,0.0,0.0,4.17,0.0,100.0
10/29/2021,5.77,2.95,5.67,4.67,5.57,4.59,5.08,6.47,1.99,6.05,5.77,2.35,4.01,3.14,3.08,3.69,5.46,1.14,2.03,1.79,2.12,1.84,1.8,1.77,0.92,1.42,0.0,0.0,0.98,3.0,0.71,0.0,0.0,4.17,0.0,100.0
11/01/2021,5.77,2.95,5.67,4.67,5.57,4.59,5.08,6.47,1.99,6.05,5.77,2.35,4.01,3.14,3.08,3.69,5.46,1.14,2.03,1.79,2.12,1.84,1.8,1.77,0.92,1.42,0.0,0.0,0.98,3.0,0.71,0.0,0.0,4.17,0.0,100.0
11/02/2021,5.77,2.95,5.67,4.67,5.57,4.59,5.08,6.47,1.99,6.05,5.77,2.35,4.01,3.14,3.08,3.69,5.46,1.14,2.03,1.79,2.12,1.84,1.8,1.77,0.92,1.42,0.0,0.0,0.98,3.0,0.71,0.0,0.0,4.17,0.0,100.0
11/03/2021,5.77,2.95,5.67,4.67,5.57,4.59,5.08,6.47,1.99,6.05,5.77,2.35,4.01,3.14,3.08,3.69,5.46,1.14,2.03,1.79,2.12,1.84,1.8,1.77,0.92,1.42,0.0,0.0,0.98,3.0,0.71,0.0,0.0,4.17,0.0,100.0
11/04/2021,5.77,2.95,5.67,4.67,5.57,4.59,5.08,6.47,1.99,6.05,5.77,2.35,4.01,3.14,3.08,3.69,5.46,1.14,2.03,1.79,2.12,1.84,1.8,1.77,0.92,1.42,0.0,0.0,0.98,3.0,0.71,0.0,0.0,4.17,0.0,100.0
11/05/2021,5.77,2.95,5.67,4.67,5.57,4.59,5.08,6.47,1.99,6.05,5.77,2.35,4.01,3.14,3.08,3.69,5.46,1.14,2.03,1.79,2.12,1.84,1.8,1.77,0.92,1.42,0.0,0.0,0.98,3.0,0.71,0.0,0.0,4.17,0.0,100.0
11/08/2021,5.38,2.51,5.44,4.46,5.38,4.73,5.24,5.84,2.09,6.52,5.89,1.79,4.25,3.49,3.21,3.91,5.78,1.19,2.02,1.82,2.11,1.85,1.74,1.82,0.97,1.52,0.0,0.0,1.02,2.93,0.75,0.0,0.0,4.35,0.0,100.0
11/09/2021,5.79,2.41,5.36,4.27,5.11,4.59,4.99,5.64,2.0,6.54,6.17,3.23,4.5,3.28,3.24,3.63,5.6,1.21,1.95,1.85,2.07,1.86,1.88,1.76,0.94,1.49,0.0,0.0,0.99,2.75,0.73,0.0,0.0,4.16,0.0,99.99
11/10/2021,5.79,2.41,5.36,4.27,5.11,4.59,4.99,5.64,2.0,6.54,6.17,3.23,4.5,3.28,3.24,3.63,5.6,1.21,1.95,1.85,2.07,1.86,1.88,1.76,0.94,1.49,0.0,0.0,0.99,2.75,0.73,0.0,0.0,4.16,0.0,99.99
11/15/2021,5.72,2.59,5.23,4.32,5.28,4.7,5.1,5.93,2.01,7.36,6.26,3.07,4.47,3.7,3.13,3.45,5.81,1.16,2.02,1.83,2.06,1.91,2.0,1.77,0.94,1.49,0.0,0.0,1.03,0.79,0.73,0.0,0.0,4.14,0.0,100.0
11/16/2021,5.72,2.59,5.23,4.32,5.28,4.7,5.1,5.93,2.01,7.36,6.26,3.07,4.47,3.7,3.13,3.45,5.81,1.16,2.02,1.83,2.06,1.91,2.0,1.77,0.94,1.49,0.0,0.0,1.03,0.79,0.73,0.0,0.0,4.14,0.0,100.0
11/17/2021,5.72,2.59,5.23,4.32,5.28,4.7,5.1,5.93,2.01,7.36,6.26,3.07,4.47,3.7,3.13,3.45,5.81,1.16,2.02,1.83,2.06,1.91,2.0,1.77,0.94,1.49,0.0,0.0,1.03,0.79,0.73,0.0,0.0,4.14,0.0,100.0
11/18/2021,5.72,2.59,5.23,4.32,5.28,4.7,5.1,5.93,2.01,7.36,6.26,3.07,4.47,3.7,3.13,3.45,5.81,1.16,2.02,1.83,2.06,1.91,2.0,1.77,0.94,1.49,0.0,0.0,1.03,0.79,0.73,0.0,0.0,4.14,0.0,100.0
11/19/2021,5.84,2.63,5.07,4.42,5.25,4.79,5.16,5.9,1.93,7.5,6.47,3.11,4.85,3.85,2.78,3.38,5.98,1.1,1.85,1.69,2.02,1.78,1.91,1.72,0.94,1.48,0.0,0.0,1.04,0.77,0.7,0.0,0.0,4.08,0.0,99.99
11/22/2021,5.84,2.63,5.07,4.42,5.25,4.79,5.16,5.9,1.93,7.5,6.47,3.11,4.85,3.85,2.78,3.38,5.98,1.1,1.85,1.69,2.02,1.78,1.91,1.72,0.94,1.48,0.0,0.0,1.04,0.77,0.7,0.0,0.0,4.08,0.0,99.99
11/23/2021,5.84,2.63,5.07,4.42,5.25,4.79,5.16,5.9,1.93,7.5,6.47,3.11,4.85,3.85,2.78,3.38,5.98,1.1,1.85,1.69,2.02,1.78,1.91,1.72,0.94,1.48,0.0,0.0,1.04,0.77,0.7,0.0,0.0,4.08,0.0,99.99
11/24/2021,5.85,2.62,5.1,4.38,5.22,4.84,5.39,5.73,1.99,7.98,6.43,2.94,4.71,3.35,2.78,3.33,6.13,1.08,1.84,1.64,2.04,1.79,1.95,1.8,0.99,1.48,0.0,0.0,1.05,0.77,0.72,0.0,0.0,4.09,0.0,100.01
11/25/2021,5.88,2.49,5.19,4.37,5.28,4.91,5.35,5.97,2.02,7.82,6.45,3.0,4.38,3.41,2.79,3.36,6.11,1.07,1.85,1.64,2.06,1.77,1.94,1.8,0.98,1.46,0.0,0.0,1.04,0.78,0.72,0.0,0.0,4.09,0.0,99.98
11/26/2021,5.76,2.51,5.2,4.39,5.3,4.89,5.36,5.78,2.04,7.98,6.5,2.93,4.31,3.4,2.74,3.43,6.11,1.07,1.82,1.63,2.06,1.8,1.99,1.83,0.98,1.49,0.0,0.0,1.05,0.78,0.72,0.0,0.0,4.14,0.0,99.99
11/29/2021,5.83,2.49,5.32,4.41,5.29,4.88,5.31,5.77,2.04,7.85,6.45,3.01,4.34,3.55,2.74,3.39,6.12,1.06,1.81,1.62,2.05,1.79,1.97,1.82,0.98,1.47,0.0,0.0,1.05,0.78,0.71,0.0,0.0,4.11,0.0,100.01
12/01/2021,5.61,2.54,5.5,4.52,5.41,4.97,5.32,5.91,2.0,7.63,6.62,3.13,4.39,3.58,2.55,3.36,6.15,0.96,1.86,1.52,2.11,1.74,1.87,1.79,0.96,1.42,0.0,0.0,1.03,0.81,0.7,0.0,0.0,4.05,0.0,100.01
12/02/2021,5.61,2.54,5.5,4.52,5.41,4.97,5.32,5.91,2.0,7.63,6.62,3.13,4.39,3.58,2.55,3.36,6.15,0.96,1.86,1.52,2.11,1.74,1.87,1.79,0.96,1.42,0.0,0.0,1.03,0.81,0.7,0.0,0.0,4.05,0.0,100.01
12/06/2021,5.58,2.67,5.47,4.51,5.57,4.98,5.28,5.68,2.07,7.98,6.33,3.02,4.34,3.22,2.47,3.41,6.29,0.99,1.87,1.53,2.12,1.77,1.91,1.86,0.98,1.43,0.0,0.0,1.03,0.82,0.76,0.0,0.0,4.07,0.0,100.01
12/07/2021,5.58,2.67,5.47,4.51,5.57,4.98,5.28,5.68,2.07,7.98,6.33,3.02,4.34,3.22,2.47,3.41,6.29,0.99,1.87,1.53,2.12,1.77,1.91,1.86,0.98,1.43,0.0,0.0,1.03,0.82,0.76,0.0,0.0,4.07,0.0,100.01
12/08/2021,5.58,2.67,5.47,4.51,5.57,4.98,5.28,5.68,2.07,7.98,6.33,3.02,4.34,3.22,2.47,3.41,6.29,0.99,1.87,1.53,2.12,1.77,1.91,1.86,0.98,1.43,0.0,0.0,1.03,0.82,0.76,0.0,0.0,4.07,0.0,100.01
12/09/2021,5.58,2.67,5.47,4.51,5.57,4.98,5.28,5.68,2.07,7.98,6.33,3.02,4.34,3.22,2.47,3.41,6.29,0.99,1.87,1.53,2.12,1.77,1.91,1.86,0.98,1.43,0.0,0.0,1.03,0.82,0.76,0.0,0.0,4.07,0.0,100.01
12/10/2021,5.58,2.67,5.47,4.51,5.57,4.98,5.28,5.68,2.07,7.98,6.33,3.02,4.34,3.22,2.47,3.41,6.29,0.99,1.87,1.53,2.12,1.77,1.91,1.86,0.98,1.43,0.0,0.0,1.03,0.82,0.76,0.0,0.0,4.07,0.0,100.01
12/13/2021,5.58,2.67,5.47,4.51,5.57,4.98,5.28,5.68,2.07,7.98,6.33,3.02,4.34,3.22,2.47,3.41,6.29,0.99,1.87,1.53,2.12,1.77,1.91,1.86,0.98,1.43,0.0,0.0,1.03,0.82,0.76,0.0,0.0,4.07,0.0,100.01
12/14/2021,5.58,2.67,5.47,4.51,5.57,4.98,5.28,5.68,2.07,7.98,6.33,3.02,4.34,3.22,2.47,3.41,6.29,0.99,1.87,1.53,2.12,1.77,1.91,1.86,0.98,1.43,0.0,0.0,1.03,0.82,0.76,0.0,0.0,4.07,0.0,100.01
12/15/2021,5.58,2.67,5.47,4.51,5.57,4.98,5.28,5.68,2.07,7.98,6.33,3.02,4.34,3.22,2.47,3.41,6.29,0.99,1.87,1.53,2.12,1.77,1.91,1.86,0.98,1.43,0.0,0.0,1.03,0.82,0.76,0.0,0.0,4.07,0.0,100.01
12/16/2021,5.58,2.67,5.47,4.51,5.57,4.98,5.28,5.68,2.07,7.98,6.33,3.02,4.34,3.22,2.47,3.41,6.29,0.99,1.87,1.53,2.12,1.77,1.91,1.86,0.98,1.43,0.0,0.0,1.03,0.82,0.76,0.0,0.0,4.07,0.0,100.01
12/17/2021,5.58,2.67,5.47,4.51,5.57,4.98,5.28,5.68,2.07,7.98,6.33,3.02,4.34,3.22,2.47,3.41,6.29,0.99,1.87,1.53,2.12,1.77,1.91,1.86,0.98,1.43,0.0,0.0,1.03,0.82,0.76,0.0,0.0,4.07,0.0,100.01
12/20/2021,5.58,2.67,5.47,4.51,5.57,4.98,5.28,5.68,2.07,7.98,6.33,3.02,4.34,3.22,2.47,3.41,6.29,0.99,1.87,1.53,2.12,1.77,1.91,1.86,0.98,1.43,0.0,0.0,1.03,0.82,0.76,0.0,0.0,4.07,0.0,100.01
12/21/2021,5.04,2.68,5.43,4.5,5.5,4.74,5.29,7.24,2.04,8.56,6.52,2.87,3.99,2.95,2.59,3.29,6.12,1.03,0.0,1.55,2.03,1.79,1.87,1.85,0.91,1.39,0.0,0.0,0.98,2.64,0.75,0.0,0.0,3.87,0.0,100.01
12/22/2021,5.04,2.68,5.43,4.5,5.5,4.74,5.29,7.24,2.04,8.56,6.52,2.87,3.99,2.95,2.59,3.29,6.12,1.03,0.0,1.55,2.03,1.79,1.87,1.85,0.91,1.39,0.0,0.0,0.98,2.64,0.75,0.0,0.0,3.87,0.0,100.01
12/23/2021,4.76,2.72,5.05,4.59,5.55,4.9,4.93,4.81,2.08,8.25,6.56,2.86,4.07,2.92,2.71,3.39,6.17,1.06,0.0,1.64,2.02,1.83,1.95,1.89,3.42,1.42,0.0,0.0,1.0,2.71,0.76,0.0,0.0,3.98,0.0,100.0
12/24/2021,4.72,2.74,5.09,4.5,5.31,4.93,4.82,4.75,2.07,8.38,6.59,2.91,4.04,2.97,2.73,3.34,6.09,1.05,0.0,1.68,2.01,1.85,2.01,1.88,3.4,1.43,0.0,0.0,1.01,3.09,0.77,0.0,0.0,3.85,0.0,100.01000000000002
12/28/2021,4.71,2.7,5.06,4.42,5.2,4.96,4.91,4.69,2.1,8.48,6.42,2.87,4.07,2.79,2.72,3.38,6.12,1.06,0.0,1.69,1.96,1.82,2.02,1.9,3.51,1.44,0.0,0.0,1.03,3.25,0.79,0.0,0.0,3.9,0.0,99.97
12/29/2021,4.71,2.7,5.06,4.42,5.2,4.96,4.91,4.69,2.1,8.48,6.42,2.87,4.07,2.79,2.72,3.38,6.12,1.06,0.0,1.69,1.96,1.82,2.02,1.9,3.51,1.44,0.0,0.0,1.03,3.25,0.79,0.0,0.0,3.9,0.0,99.97
12/30/2021,4.66,2.73,5.06,4.45,5.23,4.97,4.9,4.99,2.11,8.55,6.41,2.81,4.04,2.68,2.63,3.34,6.15,1.04,0.0,1.65,1.94,1.8,1.99,1.9,3.55,1.45,0.0,0.0,1.02,3.23,0.8,0.0,0.0,3.92,0.0,100.0
12/31/2021,4.52,2.7,5.05,4.47,5.27,4.98,4.96,4.81,2.12,8.44,6.32,2.75,4.03,2.99,2.62,3.32,6.19,1.04,0.0,1.66,1.94,1.81,1.99,1.91,3.59,1.46,0.0,0.0,1.04,3.25,0.81,0.0,0.0,3.98,0.0,100.02
01/03/2022,4.52,2.79,2.19,4.58,5.42,4.97,4.91,4.86,2.1,8.36,6.44,2.86,4.0,3.0,2.51,3.36,6.19,1.03,0.0,1.63,1.94,1.82,1.99,1.9,6.12,1.46,0.0,0.0,1.04,3.27,0.8,0.0,0.0,3.94,0.0,100.0
01/07/2022,4.67,2.7,2.14,4.54,5.39,4.84,4.93,4.68,2.1,8.35,6.38,2.73,3.99,3.04,2.65,3.51,6.1,1.08,0.0,1.7,1.84,1.84,2.01,1.89,6.3,1.54,0.0,0.0,1.05,3.1,0.79,0.0,0.0,4.11,0.0,99.99
01/10/2022,5.0,2.58,2.11,4.41,5.22,4.77,4.88,4.37,2.09,8.24,6.09,2.6,3.77,3.7,2.54,3.39,6.16,1.03,0.0,1.67,1.85,1.83,1.94,1.86,6.3,1.52,0.0,0.0,1.04,3.15,0.79,0.0,0.0,5.11,0.0,100.01000000000002
01/11/2022,4.98,2.62,2.16,4.43,5.28,4.9,4.99,4.39,2.15,8.33,6.26,2.67,3.99,3.67,2.69,3.5,6.27,1.09,0.0,1.77,1.84,1.87,2.01,1.9,6.54,1.56,0.0,0.0,1.07,1.01,0.83,0.0,0.0,5.22,0.0,99.99
01/12/2022,4.98,2.62,2.16,4.43,5.28,4.9,4.99,4.39,2.15,8.33,6.26,2.67,3.99,3.67,2.69,3.5,6.27,1.09,0.0,1.77,1.84,1.87,2.01,1.9,6.54,1.56,0.0,0.0,1.07,1.01,0.83,0.0,0.0,5.22,0.0,99.99
01/13/2022,4.97,2.59,2.17,4.55,5.37,4.89,5.0,4.46,2.14,8.08,6.21,2.72,3.95,3.63,2.69,3.45,6.33,1.1,0.0,1.77,1.82,1.91,2.06,1.9,6.46,1.57,0.0,0.0,1.07,1.04,0.83,0.0,0.0,5.26,0.0,99.98999999999998
01/14/2022,5.14,2.59,2.19,4.55,5.31,4.88,4.99,4.39,2.16,7.92,6.19,2.75,4.11,3.61,2.7,3.47,6.3,1.12,0.0,1.8,1.82,1.92,2.06,1.93,6.33,1.57,0.0,0.0,1.07,1.03,0.83,0.0,0.0,5.29,0.0,100.02
01/17/2022,4.88,2.65,2.17,4.51,5.2,4.84,4.99,4.17,2.17,8.22,6.02,2.65,4.08,3.6,2.87,3.47,6.4,1.15,0.0,1.89,1.82,1.93,2.11,1.91,6.46,1.57,0.0,0.0,1.09,0.49,1.37,0.0,0.0,5.31,0.0,99.99
01/25/2022,4.67,2.51,2.13,4.69,5.43,4.75,5.11,3.85,2.25,7.86,6.19,2.58,4.19,3.69,2.71,3.6,6.32,1.19,0.0,1.79,1.86,2.01,2.16,1.97,6.21,1.62,0.0,0.0,1.11,0.51,1.37,0.0,0.0,5.67,0.0,100.0
01/26/2022,4.67,2.51,2.13,4.69,5.43,4.75,5.11,3.85,2.25,7.86,6.19,2.58,4.19,3.69,2.71,3.6,6.32,1.19,0.0,1.79,1.86,2.01,2.16,1.97,6.21,1.62,0.0,0.0,1.11,0.51,1.37,0.0,0.0,5.67,0.0,100.0
01/27/2022,4.9,2.6,2.2,4.69,5.38,4.82,5.04,3.88,2.21,7.95,6.36,2.64,3.92,3.58,2.66,3.61,6.33,1.17,0.0,1.75,1.87,1.99,2.11,1.94,6.34,1.64,0.0,0.0,1.13,0.44,1.37,0.0,0.0,5.46,0.0,99.98
