,HTO.AT,EUROB.AT,OPAP.AT,ALPHA.AT,PPC.AT,ETE.AT,TPEIR.AT,MYTIL.AT,MOH.AT,TITC.BR,TENERGY.AT,GEKTERNA.AT,LAMDA.AT,BELA.AT,GOFPY,ELPE.AT,EYDAP.AT,SAR.AT,ADMIE.AT,AEGN.AT,EXAE.AT,ELLAKTOR.AT,JUMSY,MOHCY,MYTHY,TNP,CASH,FFGRP.AT,FLLIY,ELLAKTOR SA - RTS,n/a,PVMEZZ GA,TITC GA,FRGXX,SUM
07/30/2021,16.25,9.37,8.93,11.11,4.39,4.1,3.82,3.65,3.43,3.59,2.92,2.98,3.25,2.46,2.39,2.09,2.09,1.91,1.87,1.56,1.49,1.35,1.42,0.94,0.91,0.76,0.68,0.0,0.0,0.28,0.0,0.0,0.0,0.0,99.99
08/02/2021,16.38,9.37,8.95,11.31,4.32,4.19,3.85,3.67,3.38,3.58,2.88,2.93,3.26,2.36,2.41,2.06,2.04,1.9,1.85,1.6,1.49,1.28,1.36,0.93,0.91,0.82,0.67,0.0,0.0,0.24,0.0,0.0,0.0,0.0,99.98999999999998
08/03/2021,16.38,9.37,8.95,11.31,4.32,4.19,3.85,3.67,3.38,3.58,2.88,2.93,3.26,2.36,2.41,2.06,2.04,1.9,1.85,1.6,1.49,1.28,1.36,0.93,0.91,0.82,0.67,0.0,0.0,0.24,0.0,0.0,0.0,0.0,99.98999999999998
08/04/2021,16.18,9.46,9.0,11.16,4.39,4.33,4.02,3.73,3.32,3.43,2.85,2.95,3.26,2.38,2.43,2.05,2.01,1.89,1.85,1.6,1.5,1.28,1.37,0.91,0.93,0.83,0.67,0.0,0.0,0.24,0.0,0.0,0.0,0.0,100.01999999999995
08/05/2021,16.2,9.33,8.96,11.6,4.29,4.42,3.99,3.71,3.31,3.42,2.85,2.91,3.2,2.39,2.39,2.05,1.99,1.84,1.81,1.53,1.48,1.37,1.38,0.91,0.92,0.77,0.66,0.0,0.0,0.31,0.0,0.0,0.0,0.0,99.98999999999998
08/06/2021,16.32,9.39,8.93,11.43,4.33,4.36,3.97,3.66,3.28,3.42,2.86,2.92,3.17,2.41,2.37,2.04,1.98,1.86,1.83,1.51,1.47,2.39,1.39,0.9,0.91,0.76,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/10/2021,16.31,9.38,8.8,11.56,4.39,4.44,4.11,3.7,3.26,3.45,2.88,2.92,3.18,2.36,2.33,2.02,1.96,1.86,1.83,1.51,1.43,2.28,1.36,0.89,0.92,0.74,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,99.99
08/13/2021,16.47,9.41,8.79,11.54,4.46,4.5,3.93,3.74,3.26,3.46,2.93,2.89,3.12,2.33,2.37,2.01,1.94,1.85,1.79,1.51,1.45,2.15,1.35,0.89,0.93,0.77,0.0,0.0,0.0,0.0,0.12,0.05,0.0,0.0,100.01
08/16/2021,16.31,9.43,8.85,11.59,4.47,4.4,3.89,3.67,3.32,0.0,2.9,2.9,3.07,2.33,2.4,2.0,1.99,1.83,1.81,1.5,1.44,2.17,1.35,0.91,0.92,0.79,0.0,0.0,0.0,0.0,0.11,0.11,3.52,0.0,99.98
08/18/2021,16.32,9.38,8.86,11.6,4.43,4.36,3.88,3.66,3.29,0.0,2.93,2.91,3.08,2.32,2.36,1.98,1.99,1.85,1.82,1.53,1.43,2.34,1.34,0.9,0.91,0.78,0.0,0.0,0.0,0.0,0.11,0.11,3.5,0.0,99.97
08/19/2021,16.59,9.38,8.95,11.59,4.47,4.34,3.78,3.66,3.25,0.0,2.9,2.89,3.08,2.32,2.35,1.96,1.97,1.87,1.81,1.52,1.43,2.36,1.34,0.89,0.85,0.77,0.0,0.0,0.0,0.0,0.11,0.1,3.46,0.0,99.98999999999998
08/20/2021,16.53,9.47,9.04,11.55,4.48,4.27,3.79,3.64,3.26,0.0,2.88,2.89,3.1,2.34,2.46,1.95,1.97,1.86,1.82,1.54,1.43,2.29,1.34,0.89,0.91,0.79,0.0,0.0,0.0,0.0,0.07,0.0,3.42,0.0,99.98000000000002
08/23/2021,16.83,9.32,8.97,11.29,4.56,4.21,3.75,3.64,3.27,0.0,2.92,2.91,3.14,2.31,2.41,1.98,1.96,1.87,1.84,1.58,1.4,2.44,1.33,0.89,0.91,0.77,0.0,0.0,0.0,0.0,0.06,0.0,3.45,0.0,100.01
08/24/2021,16.83,9.32,8.97,11.29,4.56,4.21,3.75,3.64,3.27,0.0,2.92,2.91,3.14,2.31,2.41,1.98,1.96,1.87,1.84,1.58,1.4,2.44,1.33,0.89,0.91,0.77,0.0,0.0,0.0,0.0,0.06,0.0,3.45,0.0,100.01
08/25/2021,16.85,9.31,8.97,11.18,4.54,4.18,3.84,3.7,3.22,0.0,2.92,2.91,3.12,2.29,2.48,1.99,1.95,1.87,1.82,1.58,1.41,2.43,1.35,0.9,0.94,0.75,0.0,0.0,0.0,0.0,0.06,0.0,3.43,0.0,99.99
08/26/2021,16.97,9.17,8.96,11.33,4.66,4.23,3.8,3.72,3.26,0.0,2.89,2.87,3.1,2.27,2.42,1.98,1.95,1.84,1.81,1.56,1.41,2.4,1.34,0.91,0.94,0.74,0.0,0.0,0.0,0.0,0.06,0.0,3.41,0.0,100.0
08/27/2021,16.79,9.18,8.94,11.41,4.72,4.21,3.81,3.71,3.25,0.0,2.89,2.98,3.12,2.26,2.39,2.0,1.98,1.84,1.81,1.56,1.39,2.36,1.34,0.9,0.94,0.73,0.0,0.0,0.0,0.0,0.06,0.0,3.42,0.0,99.99
08/30/2021,16.85,9.14,9.12,11.32,4.63,4.36,3.84,3.62,3.26,0.0,2.89,2.93,3.04,2.2,2.58,1.99,1.97,1.8,1.83,1.54,1.39,2.28,1.36,0.95,0.95,0.72,0.0,0.0,0.0,0.0,0.06,0.0,3.39,0.0,100.01
08/31/2021,16.85,9.14,9.12,11.32,4.63,4.36,3.84,3.62,3.26,0.0,2.89,2.93,3.04,2.2,2.58,1.99,1.97,1.8,1.83,1.54,1.39,2.28,1.36,0.95,0.95,0.72,0.0,0.0,0.0,0.0,0.06,0.0,3.39,0.0,100.01
09/01/2021,16.89,9.09,9.05,11.35,4.67,4.37,3.76,3.56,3.27,0.0,2.94,2.89,3.04,2.21,2.54,2.06,2.01,1.82,1.85,1.54,1.39,2.28,1.37,0.95,0.94,0.75,0.0,0.0,0.0,0.0,0.06,0.0,3.35,0.0,100.0
09/02/2021,16.24,9.1,8.6,10.74,4.67,4.41,3.95,3.62,3.29,0.0,3.09,2.87,3.01,2.45,2.55,2.3,2.23,1.96,1.97,1.6,1.56,2.41,1.35,0.95,0.95,0.66,0.0,0.0,0.0,0.0,-0.05,0.0,3.51,0.0,99.99
09/03/2021,15.76,8.18,8.22,10.44,4.57,4.73,4.52,3.52,3.52,0.0,3.18,2.92,3.27,3.02,2.6,2.37,2.31,2.09,2.06,1.69,1.72,2.37,1.36,0.93,0.94,0.0,0.0,0.0,0.0,0.0,0.15,0.0,3.56,0.0,100.0
09/06/2021,15.51,8.48,8.14,10.33,4.64,4.81,4.44,3.56,3.49,0.0,3.18,2.96,3.23,3.01,2.56,2.38,2.33,2.09,2.1,1.67,1.71,2.3,1.37,0.94,0.97,0.0,0.0,0.0,0.0,0.0,0.15,0.0,3.64,0.0,99.99
09/08/2021,15.19,8.69,8.23,10.45,4.61,4.85,4.43,3.55,3.46,0.0,3.17,2.97,3.23,3.0,2.64,2.34,2.36,2.07,1.99,1.67,1.73,2.29,1.37,0.93,0.96,0.0,0.0,0.0,0.0,0.0,0.23,0.0,3.61,0.0,100.02
09/09/2021,15.19,8.69,8.23,10.45,4.61,4.85,4.43,3.55,3.46,0.0,3.17,2.97,3.23,3.0,2.64,2.34,2.36,2.07,1.99,1.67,1.73,2.29,1.37,0.93,0.96,0.0,0.0,0.0,0.0,0.0,0.23,0.0,3.61,0.0,100.02
09/10/2021,15.39,8.65,8.08,10.36,4.63,4.91,4.42,3.57,3.45,0.0,3.2,2.96,3.18,3.01,2.64,2.35,2.33,2.1,2.03,1.66,1.71,2.26,1.37,0.93,0.97,0.0,0.0,0.0,0.0,0.0,0.22,0.0,3.63,0.0,100.01
09/13/2021,15.54,8.63,8.25,10.52,4.52,4.71,4.33,3.55,3.4,0.0,3.22,2.93,3.15,3.06,2.68,2.36,2.31,2.15,2.01,1.67,1.67,2.21,1.39,0.91,0.96,0.0,0.0,0.0,0.0,0.0,0.22,0.0,3.66,0.0,100.01
09/14/2021,15.54,8.63,8.25,10.52,4.52,4.71,4.33,3.55,3.4,0.0,3.22,2.93,3.15,3.06,2.68,2.36,2.31,2.15,2.01,1.67,1.67,2.21,1.39,0.91,0.96,0.0,0.0,0.0,0.0,0.0,0.22,0.0,3.66,0.0,100.01
09/15/2021,15.8,8.65,8.18,10.42,4.6,4.76,4.49,3.52,3.38,0.0,3.17,2.9,3.12,3.01,2.57,2.34,2.22,2.09,2.0,1.64,1.69,2.29,1.37,0.91,0.95,0.0,0.0,0.0,0.0,0.0,0.27,0.0,3.63,0.0,99.97
09/16/2021,15.65,8.66,8.22,10.46,4.85,4.74,4.48,3.51,3.38,0.0,3.15,2.9,3.1,3.0,2.59,2.35,2.22,2.09,2.02,1.64,1.67,2.22,1.37,0.91,0.95,0.0,0.0,0.0,0.0,0.0,0.27,0.0,3.61,0.0,100.01
09/17/2021,15.78,8.71,8.34,10.34,4.8,4.7,4.54,3.5,3.37,0.0,3.19,2.88,3.08,2.95,2.64,2.36,2.17,2.09,2.01,1.65,1.65,2.17,1.35,0.91,0.95,0.0,0.0,0.0,0.0,0.0,0.27,0.0,3.58,0.0,99.98
09/20/2021,15.5,8.68,8.53,10.36,4.68,4.83,4.49,3.51,3.39,0.0,3.16,2.86,3.06,3.06,2.75,2.34,2.14,2.09,1.98,1.65,1.65,2.16,1.39,0.91,0.95,0.0,0.0,0.0,0.0,0.0,0.27,0.0,3.61,0.0,100.0
09/21/2021,15.5,8.68,8.53,10.36,4.68,4.83,4.49,3.51,3.39,0.0,3.16,2.86,3.06,3.06,2.75,2.34,2.14,2.09,1.98,1.65,1.65,2.16,1.39,0.91,0.95,0.0,0.0,0.0,0.0,0.0,0.27,0.0,3.61,0.0,100.0
09/22/2021,15.47,8.78,8.53,10.43,4.62,4.89,4.49,3.46,3.42,0.0,3.13,2.83,3.04,3.15,2.73,2.24,2.21,2.08,2.0,1.63,1.6,2.16,1.43,0.92,0.94,0.0,0.0,0.0,0.0,0.0,0.26,0.0,3.57,0.0,100.01
09/23/2021,15.77,8.72,8.59,10.21,4.54,4.71,4.44,3.45,3.41,0.0,3.19,2.82,3.03,3.2,2.77,2.29,2.21,2.1,1.98,1.62,1.61,2.15,1.46,0.92,0.94,0.0,0.0,0.0,0.0,0.0,0.27,0.0,3.6,0.0,100.0
09/24/2021,15.72,8.72,8.54,10.2,4.4,4.81,4.56,3.41,3.42,0.0,3.2,2.85,2.99,3.26,2.73,2.3,2.19,2.11,1.96,1.65,1.61,2.14,1.48,0.92,0.92,0.0,0.0,0.0,0.0,0.0,0.27,0.0,3.6,0.0,99.96
09/27/2021,15.91,8.77,8.63,10.18,4.25,4.79,4.48,3.3,3.44,0.0,3.2,2.85,3.01,3.28,2.83,2.3,2.15,2.12,1.96,1.62,1.64,2.11,1.52,0.94,0.91,0.0,0.0,0.0,0.0,0.0,0.27,0.0,3.55,0.0,100.01
09/28/2021,15.91,8.77,8.63,10.18,4.25,4.79,4.48,3.3,3.44,0.0,3.2,2.85,3.01,3.28,2.83,2.3,2.15,2.12,1.96,1.62,1.64,2.11,1.52,0.94,0.91,0.0,0.0,0.0,0.0,0.0,0.27,0.0,3.55,0.0,100.01
09/29/2021,15.72,8.76,8.62,10.33,3.82,4.82,4.55,3.25,3.48,0.0,3.2,2.89,3.04,3.36,2.87,2.31,2.17,2.17,1.98,1.64,1.65,2.11,1.56,0.95,0.9,0.0,0.0,0.0,0.0,0.0,0.28,0.0,3.6,0.0,100.03000000000002
09/30/2021,15.84,8.92,8.43,10.43,3.86,4.75,4.63,3.23,3.5,0.0,3.14,2.82,3.06,3.3,2.8,2.35,2.16,2.18,1.98,1.64,1.64,2.17,1.54,0.96,0.89,0.0,0.0,0.0,0.0,0.0,0.27,0.0,3.51,0.0,100.0
10/01/2021,16.18,9.46,9.0,11.16,4.39,4.33,4.02,3.73,3.32,3.43,2.85,2.95,3.26,2.38,2.43,2.05,2.01,1.89,1.85,1.6,1.5,1.28,1.37,0.91,0.93,0.83,0.0,0.0,0.0,0.0,0.24,0.0,0.0,2.33,101.68
10/04/2021,16.16,8.65,8.65,10.24,3.93,4.7,4.64,3.26,3.47,0.0,3.17,2.85,3.08,3.34,2.81,2.32,2.13,2.17,1.93,1.68,1.6,2.13,1.55,0.95,0.9,0.0,0.0,0.0,0.0,0.0,0.27,0.0,3.39,0.0,99.97
10/05/2021,16.16,8.65,8.65,10.24,3.93,4.7,4.64,3.26,3.47,0.0,3.17,2.85,3.08,3.34,2.81,2.32,2.13,2.17,1.93,1.68,1.6,2.13,1.55,0.95,0.9,0.0,0.0,0.0,0.0,0.0,0.27,0.0,3.39,0.0,99.97
10/06/2021,16.01,8.66,8.65,10.3,4.06,4.64,4.56,3.31,3.51,0.0,3.1,2.89,3.09,3.36,2.85,2.34,2.1,2.16,1.94,1.65,1.63,2.11,1.56,0.96,0.92,0.0,0.0,0.0,0.0,0.0,0.27,0.0,3.37,0.0,100.0
10/07/2021,15.84,8.7,8.72,10.41,4.12,4.73,4.6,3.28,3.48,0.0,3.16,2.86,3.05,3.28,2.84,2.3,2.1,2.17,1.89,1.64,1.64,2.12,1.53,0.95,0.9,0.0,0.0,0.0,0.0,0.0,0.26,0.0,3.42,0.0,99.99
10/08/2021,15.5,8.74,8.58,10.48,4.14,4.76,4.64,3.34,3.57,0.0,3.16,2.84,3.07,3.28,2.86,2.37,2.12,2.13,1.93,1.66,1.62,2.11,1.53,0.98,0.92,0.0,0.0,0.0,0.0,0.0,0.26,0.0,3.43,0.0,100.02
10/11/2021,15.57,8.77,8.53,10.28,4.13,4.78,4.64,3.35,3.67,0.0,3.1,2.84,3.04,3.31,2.88,2.38,2.2,2.12,1.97,1.68,1.63,2.11,1.53,1.01,0.92,0.0,0.0,0.0,0.0,0.0,0.13,0.0,3.43,0.0,100.0
10/12/2021,15.57,8.77,8.53,10.28,4.13,4.78,4.64,3.35,3.67,0.0,3.1,2.84,3.04,3.31,2.88,2.38,2.2,2.12,1.97,1.68,1.63,2.11,1.53,1.01,0.92,0.0,0.0,0.0,0.0,0.0,0.13,0.0,3.43,0.0,100.0
10/13/2021,15.61,8.76,8.52,10.19,4.13,4.86,4.65,3.37,3.71,0.0,3.09,2.89,3.05,3.28,2.76,2.44,2.18,2.1,1.99,1.65,1.65,2.11,1.52,1.02,0.93,0.0,0.0,0.0,0.0,0.0,0.12,0.0,3.41,0.0,99.99
10/14/2021,15.56,8.87,8.52,10.22,4.1,4.86,4.62,3.37,3.68,0.0,3.06,2.92,3.05,3.28,2.76,2.46,2.18,2.14,1.99,1.64,1.65,2.1,1.52,1.01,0.93,0.0,0.0,0.0,0.0,0.0,0.12,0.0,3.4,0.0,100.01000000000002
10/15/2021,15.47,8.95,8.48,10.11,4.12,4.85,4.59,3.38,3.65,0.0,3.05,2.93,3.04,3.24,2.7,2.44,2.16,2.14,2.01,1.64,1.64,2.44,1.5,1.0,0.93,0.0,0.0,0.0,0.0,0.0,0.12,0.0,3.42,0.0,100.0
10/18/2021,15.4,8.96,8.53,10.12,4.19,4.73,4.64,3.38,3.66,0.0,3.06,2.96,3.04,3.23,2.85,2.47,2.16,2.12,1.98,1.63,1.67,2.2,1.49,1.0,0.93,0.0,0.0,0.0,0.0,0.0,0.11,0.0,3.47,0.0,99.98000000000005
10/19/2021,15.4,8.96,8.53,10.12,4.19,4.73,4.64,3.38,3.66,0.0,3.06,2.96,3.04,3.23,2.85,2.47,2.16,2.12,1.98,1.63,1.67,2.2,1.49,1.0,0.93,0.0,0.0,0.0,0.0,0.0,0.11,0.0,3.47,0.0,99.98000000000005
10/21/2021,14.91,9.26,8.47,10.34,4.28,4.84,4.71,3.37,3.78,0.0,3.13,2.99,3.01,3.05,2.76,2.47,2.14,2.12,1.97,1.6,1.66,2.22,1.41,1.03,0.93,0.0,0.0,0.0,0.0,0.0,0.11,0.0,3.45,0.0,100.01000000000002
10/22/2021,14.96,9.32,8.46,10.29,4.31,4.85,4.69,3.43,3.76,0.0,3.1,2.97,2.97,3.02,2.73,2.47,2.11,2.07,1.97,1.61,1.66,2.21,1.4,1.03,0.95,0.0,0.0,0.0,0.0,0.0,0.18,0.0,3.47,0.0,99.99
10/25/2021,14.66,9.3,8.49,10.28,4.32,5.01,4.77,3.46,3.79,0.0,3.14,2.94,2.96,3.0,2.81,2.45,2.13,2.05,1.99,1.6,1.68,2.22,1.38,1.03,0.95,0.0,0.0,0.0,0.0,0.0,0.18,0.0,3.42,0.0,100.01
10/26/2021,14.66,9.3,8.49,10.28,4.32,5.01,4.77,3.46,3.79,0.0,3.14,2.94,2.96,3.0,2.81,2.45,2.13,2.05,1.99,1.6,1.68,2.22,1.38,1.03,0.95,0.0,0.0,0.0,0.0,0.0,0.18,0.0,3.42,0.0,100.01
10/27/2021,14.67,9.39,8.61,10.2,4.25,5.03,4.74,3.45,3.74,0.0,3.18,3.0,2.95,2.98,2.82,2.43,2.12,2.05,2.02,1.61,1.67,2.18,1.37,1.02,0.95,0.0,0.0,0.0,0.0,0.0,0.18,0.0,3.4,0.0,100.01
10/28/2021,14.91,9.4,8.4,10.12,4.19,5.06,4.77,3.46,3.77,0.0,3.16,3.02,2.96,2.94,2.75,2.44,2.1,2.03,2.05,1.62,1.66,2.2,1.36,1.03,0.95,0.0,0.0,0.0,0.0,0.0,0.18,0.0,3.46,0.0,99.99
10/29/2021,14.9,9.4,8.48,10.02,4.2,5.05,4.81,3.5,3.75,0.0,3.15,3.01,2.92,3.03,2.76,2.38,2.1,2.06,2.0,1.61,1.65,2.22,1.4,1.02,0.96,0.0,0.0,0.0,0.0,0.0,0.17,0.0,3.43,0.0,99.98
11/01/2021,14.85,9.41,8.58,9.97,4.32,5.07,4.74,3.47,3.76,0.0,3.16,2.96,2.9,3.0,2.8,2.42,2.12,2.06,2.03,1.61,1.64,2.16,1.39,1.03,0.96,0.0,0.0,0.0,0.0,0.0,0.17,0.0,3.41,0.0,99.99
11/02/2021,14.85,9.41,8.58,9.97,4.32,5.07,4.74,3.47,3.76,0.0,3.16,2.96,2.9,3.0,2.8,2.42,2.12,2.06,2.03,1.61,1.64,2.16,1.39,1.03,0.96,0.0,0.0,0.0,0.0,0.0,0.17,0.0,3.41,0.0,99.99
11/03/2021,14.82,9.39,8.47,10.0,4.36,4.83,4.75,3.54,3.75,0.0,3.14,2.96,2.86,2.97,2.8,2.39,2.14,2.08,2.02,1.62,1.65,2.16,1.37,1.03,0.98,0.0,0.0,0.0,0.0,0.0,0.47,0.0,3.43,0.0,99.98
11/04/2021,14.93,9.6,8.38,10.04,4.28,4.83,4.72,3.5,3.74,0.0,3.1,3.01,2.93,2.9,2.76,2.42,2.15,2.05,2.02,1.61,1.65,2.14,1.34,1.02,0.96,0.0,0.0,0.0,0.0,0.0,0.47,0.0,3.43,0.0,99.98
11/05/2021,14.94,9.76,8.29,9.98,4.3,4.86,4.73,3.44,3.74,0.0,3.13,3.01,2.99,2.95,2.69,2.4,2.12,2.08,2.02,1.59,1.66,2.11,1.36,1.02,0.95,0.0,0.0,0.0,0.0,0.0,0.47,0.0,3.43,0.0,100.02
11/09/2021,14.58,9.9,8.26,10.08,4.38,5.22,4.7,3.44,3.77,0.0,3.16,2.96,2.97,2.96,2.71,2.38,2.13,2.04,2.03,1.59,1.66,2.11,1.4,1.05,0.97,0.0,0.0,0.0,0.0,0.0,0.14,0.0,3.4,0.0,99.99
11/10/2021,14.53,10.08,8.05,10.03,4.54,5.25,4.64,3.35,3.64,0.0,3.12,2.93,2.95,2.92,2.87,2.38,2.17,2.03,2.03,1.61,1.64,2.11,1.48,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,3.36,0.0,100.0
