,CRWD,ZS,FTNT,PANW,OKTA,NLOK,CHKP,VRNS,RPD,CYBR,AVST.L,FEYE,4704.T,SAIL,PFPT,MCFE,TENB,QLYS,MIME,TLS,PING,RDWR,2326.T,OSPN,ATEN,ABST.TO,053800.KQ,INTZ,ZIXI,TUFN,4493.T,VHC,CASH,n/a,MNDT,FEYECHF,B 0 09.07.21,DARK.L,SCWX,S,SUM
07/23/2021,6.93,7.03,6.56,6.12,5.4,4.77,5.21,4.89,4.94,4.57,4.94,4.09,4.24,3.75,3.92,3.58,3.72,3.33,2.99,1.55,1.56,1.19,0.86,0.81,0.7,0.56,0.49,0.11,0.34,0.29,0.25,0.23,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/26/2021,7.11,7.11,6.63,5.98,5.38,4.68,5.26,4.99,5.11,4.62,4.82,4.03,4.19,3.78,3.87,3.55,3.82,3.21,2.98,1.48,1.54,1.17,0.85,0.81,0.72,0.55,0.49,0.1,0.34,0.3,0.25,0.23,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,7.11,7.11,6.63,5.98,5.38,4.68,5.26,4.99,5.11,4.62,4.82,4.03,4.19,3.78,3.87,3.55,3.82,3.21,2.98,1.48,1.54,1.17,0.85,0.81,0.72,0.55,0.49,0.1,0.34,0.3,0.25,0.23,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,7.14,7.06,6.65,5.97,5.44,4.66,5.08,5.07,5.18,4.66,4.82,4.02,4.23,3.81,3.85,3.57,3.93,3.2,2.91,1.43,1.53,1.17,0.83,0.81,0.72,0.55,0.48,0.08,0.34,0.3,0.25,0.23,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/30/2021,7.02,7.09,6.69,6.01,5.39,4.67,5.22,5.02,5.14,4.6,4.85,3.96,4.28,3.73,3.89,3.54,3.91,3.19,2.95,1.47,1.51,1.17,0.84,0.81,0.71,0.56,0.49,0.13,0.34,0.29,0.25,0.23,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,7.01,7.14,6.69,5.97,5.33,4.46,5.27,4.99,5.26,4.59,4.82,3.95,4.22,3.79,3.84,3.61,3.8,3.28,2.97,1.52,1.52,1.22,0.8,0.83,0.82,0.56,0.49,0.11,0.35,0.29,0.24,0.24,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/03/2021,7.01,7.14,6.69,5.97,5.33,4.46,5.27,4.99,5.26,4.59,4.82,3.95,4.22,3.79,3.84,3.61,3.8,3.28,2.97,1.52,1.52,1.22,0.8,0.83,0.82,0.56,0.49,0.11,0.35,0.29,0.24,0.24,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/04/2021,6.89,7.16,6.69,6.01,5.37,4.54,5.37,4.95,5.18,4.58,4.9,3.98,4.13,3.8,3.87,3.63,3.74,3.27,2.95,1.53,1.5,1.23,0.8,0.82,0.81,0.55,0.49,0.11,0.35,0.29,0.24,0.24,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,6.83,7.18,6.93,5.98,5.27,4.45,5.27,4.88,5.21,4.54,4.92,3.97,4.17,3.81,3.84,3.62,3.89,3.28,2.9,1.54,1.49,1.21,0.84,0.82,0.83,0.55,0.49,0.11,0.34,0.29,0.24,0.24,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/06/2021,6.81,7.27,7.22,5.92,5.18,4.41,5.3,4.7,5.18,4.54,4.83,4.0,4.14,3.76,3.82,3.71,3.89,3.31,3.04,1.51,1.47,1.22,0.87,0.83,0.82,0.55,0.49,0.11,0.34,0.29,0.23,0.23,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
08/09/2021,7.07,7.37,7.24,5.97,5.36,4.3,5.2,4.76,5.08,4.47,4.81,3.88,4.02,3.78,3.8,3.9,3.75,3.32,3.07,1.52,1.59,1.19,0.81,0.62,0.84,0.56,0.49,0.11,0.32,0.29,0.22,0.23,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/10/2021,7.07,7.37,7.24,5.97,5.36,4.3,5.2,4.76,5.08,4.47,4.81,3.88,4.02,3.78,3.8,3.9,3.75,3.32,3.07,1.52,1.59,1.19,0.81,0.62,0.84,0.56,0.49,0.11,0.32,0.29,0.22,0.23,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/11/2021,7.09,7.35,7.47,5.83,5.2,4.39,5.27,4.71,5.12,4.49,4.87,3.29,4.09,3.76,3.88,4.12,3.76,3.3,3.12,1.52,1.56,1.22,0.83,0.62,0.84,0.57,0.5,0.11,0.32,0.29,0.22,0.24,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/13/2021,6.95,7.39,7.49,5.76,5.11,4.47,5.27,4.7,5.04,4.43,4.84,3.57,4.13,3.47,3.92,3.87,3.72,3.6,3.16,1.58,1.65,1.22,0.85,0.66,0.85,0.56,0.51,0.11,0.34,0.29,0.23,0.23,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,6.64,7.33,7.48,5.53,5.09,4.74,5.15,4.78,5.12,4.69,4.93,3.6,4.05,3.44,3.85,3.7,3.66,3.56,3.13,1.47,1.67,1.19,0.85,0.69,0.84,0.48,0.49,0.11,0.34,0.32,0.23,0.23,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/18/2021,6.59,7.41,7.57,5.6,5.09,4.79,5.21,4.84,5.13,5.07,4.98,3.54,4.12,3.34,3.86,3.52,3.71,3.55,3.15,1.4,1.64,1.24,0.87,0.67,0.85,0.46,0.48,0.11,0.34,0.33,0.22,0.22,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/19/2021,6.45,7.47,7.52,5.64,5.08,4.79,5.28,4.75,5.08,5.1,5.07,3.51,4.26,3.34,3.92,3.51,3.67,3.56,3.19,1.34,1.6,1.24,0.87,0.64,0.87,0.46,0.48,0.12,0.33,0.33,0.22,0.22,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/20/2021,6.44,7.47,7.49,5.61,5.09,4.84,5.27,4.7,5.09,5.08,5.1,3.46,4.25,3.37,3.95,3.54,3.64,3.61,3.18,1.42,1.62,1.25,0.85,0.64,0.83,0.46,0.48,0.11,0.33,0.31,0.21,0.21,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/23/2021,6.51,7.59,7.43,5.58,5.11,4.8,5.4,4.66,5.08,5.12,5.05,3.39,4.29,3.29,3.96,3.49,3.58,3.62,3.14,1.52,1.63,1.26,0.87,0.62,0.84,0.46,0.47,0.11,0.32,0.31,0.22,0.21,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/24/2021,6.51,7.59,7.43,5.58,5.11,4.8,5.4,4.66,5.08,5.12,5.05,3.39,4.29,3.29,3.96,3.49,3.58,3.62,3.14,1.52,1.63,1.26,0.87,0.62,0.84,0.46,0.47,0.11,0.32,0.31,0.22,0.21,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/25/2021,6.54,7.58,7.43,5.6,5.07,4.77,5.35,4.69,5.1,5.06,5.04,3.39,4.27,3.31,3.93,3.51,3.58,3.59,3.2,1.6,1.62,1.26,0.87,0.6,0.85,0.46,0.44,0.1,0.33,0.3,0.22,0.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/26/2021,6.64,7.58,7.53,5.58,5.08,4.73,5.25,4.75,5.1,5.03,5.03,3.4,4.28,3.34,3.87,3.48,3.61,3.53,3.18,1.63,1.62,1.26,0.88,0.62,0.84,0.46,0.44,0.11,0.33,0.3,0.22,0.24,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/27/2021,6.95,7.55,7.11,6.41,5.17,4.67,5.15,4.73,5.05,5.04,4.8,3.45,4.14,3.34,3.74,3.48,3.58,3.49,3.21,1.64,1.58,1.24,0.86,0.61,0.82,0.45,0.45,0.11,0.33,0.31,0.22,0.24,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/30/2021,7.12,7.62,7.18,6.48,5.34,4.6,5.02,4.78,4.97,5.03,4.71,3.41,4.02,3.32,3.67,3.32,3.58,3.48,3.47,1.63,1.63,1.23,0.83,0.58,0.83,0.44,0.43,0.1,0.34,0.3,0.24,0.23,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/31/2021,7.12,7.62,7.18,6.48,5.34,4.6,5.02,4.78,4.97,5.03,4.71,3.41,4.02,3.32,3.67,3.32,3.58,3.48,3.47,1.63,1.63,1.23,0.83,0.58,0.83,0.44,0.43,0.1,0.34,0.3,0.24,0.23,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/01/2021,7.11,7.71,7.21,6.44,5.27,4.55,4.97,4.99,5.0,5.05,4.65,3.39,3.98,3.42,3.62,3.33,3.61,3.44,3.38,1.64,1.63,1.21,0.81,0.59,0.85,0.44,0.43,0.1,0.33,0.3,0.23,0.23,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/06/2021,7.04,8.14,7.34,6.62,5.6,4.72,5.04,5.45,5.33,5.16,4.72,3.42,4.19,3.47,0.0,3.51,3.8,3.67,3.5,1.7,1.71,1.28,0.87,0.6,0.84,0.47,0.45,0.1,0.34,0.29,0.23,0.23,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/08/2021,7.09,8.19,7.4,6.62,5.5,4.68,4.94,5.55,5.33,5.15,4.69,3.42,4.2,3.42,0.0,3.49,3.82,3.63,3.51,1.75,1.76,1.3,0.88,0.6,0.82,0.47,0.46,0.1,0.34,0.29,0.23,0.23,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/09/2021,7.09,8.19,7.4,6.62,5.5,4.68,4.94,5.55,5.33,5.15,4.69,3.42,4.2,3.42,0.0,3.49,3.82,3.63,3.51,1.75,1.76,1.3,0.88,0.6,0.82,0.47,0.46,0.1,0.34,0.29,0.23,0.23,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/10/2021,6.97,8.17,7.35,6.63,5.46,4.72,4.94,5.64,5.33,5.2,4.71,3.4,4.27,3.4,0.0,3.45,3.88,3.58,3.49,1.75,1.77,1.3,0.91,0.59,0.82,0.47,0.46,0.1,0.32,0.29,0.23,0.23,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.96
09/13/2021,6.93,8.19,7.36,6.76,5.56,4.82,4.98,5.48,5.28,5.14,4.75,3.5,4.35,3.38,0.0,3.01,3.93,3.64,3.49,1.78,1.7,1.3,0.94,0.61,0.84,0.46,0.45,0.1,0.33,0.3,0.24,0.22,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/14/2021,6.93,8.19,7.36,6.76,5.56,4.82,4.98,5.48,5.28,5.14,4.75,3.5,4.35,3.38,0.0,3.01,3.93,3.64,3.49,1.78,1.7,1.3,0.94,0.61,0.84,0.46,0.45,0.1,0.33,0.3,0.24,0.22,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/15/2021,6.96,8.04,7.47,6.92,5.39,4.88,5.01,5.48,5.26,5.12,4.84,3.49,4.42,3.38,0.0,2.74,3.92,3.63,3.54,1.78,1.69,1.3,0.97,0.61,0.85,0.47,0.47,0.1,0.33,0.3,0.25,0.22,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/16/2021,6.76,7.96,7.15,7.02,5.3,4.77,4.9,5.37,5.39,5.06,4.81,3.55,4.51,3.53,0.0,2.86,4.11,3.77,3.59,1.76,1.67,1.36,0.97,0.65,0.91,0.45,0.48,0.1,0.34,0.3,0.26,0.23,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/17/2021,6.84,8.19,7.23,7.14,5.37,4.68,4.81,5.34,5.38,5.05,4.8,3.57,4.49,3.51,0.0,2.79,3.98,3.77,3.54,1.76,1.64,1.34,0.97,0.66,0.9,0.45,0.48,0.09,0.34,0.3,0.25,0.22,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/20/2021,6.99,8.1,7.27,7.09,5.39,4.61,4.83,5.43,5.39,5.15,4.69,3.53,4.45,3.48,0.0,2.83,3.99,3.74,3.58,1.77,1.64,1.33,0.93,0.63,0.9,0.45,0.47,0.09,0.33,0.3,0.24,0.23,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/21/2021,6.99,8.1,7.27,7.09,5.39,4.61,4.83,5.43,5.39,5.15,4.69,3.53,4.45,3.48,0.0,2.83,3.99,3.74,3.58,1.77,1.64,1.33,0.93,0.63,0.9,0.45,0.47,0.09,0.33,0.3,0.24,0.23,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/22/2021,6.99,8.18,7.21,7.01,5.47,4.59,4.85,5.43,5.35,5.21,4.68,3.51,4.46,3.48,0.0,2.86,3.96,3.77,3.5,1.72,1.68,1.33,0.97,0.64,0.86,0.46,0.48,0.1,0.35,0.3,0.24,0.23,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/23/2021,6.97,8.17,7.29,7.12,5.46,4.6,4.84,5.32,5.37,5.28,4.72,3.47,4.57,3.43,0.0,2.84,3.89,3.71,3.49,1.73,1.68,1.33,0.99,0.6,0.87,0.45,0.49,0.1,0.34,0.29,0.25,0.23,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
09/24/2021,6.88,8.24,7.35,7.09,5.44,4.55,4.77,5.44,5.38,5.27,4.71,3.47,4.5,3.43,0.0,2.87,3.92,3.73,3.53,1.66,1.73,1.33,0.98,0.61,0.87,0.45,0.49,0.1,0.33,0.29,0.24,0.23,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/27/2021,6.96,8.31,7.46,7.1,5.41,4.6,4.77,5.42,5.34,5.27,4.62,3.51,4.35,3.42,0.0,2.86,3.95,3.78,3.46,1.63,1.77,1.32,0.94,0.61,0.9,0.46,0.47,0.1,0.33,0.3,0.22,0.23,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/28/2021,6.96,8.31,7.46,7.1,5.41,4.6,4.77,5.42,5.34,5.27,4.62,3.51,4.35,3.42,0.0,2.86,3.95,3.78,3.46,1.63,1.77,1.32,0.94,0.61,0.9,0.46,0.47,0.1,0.33,0.3,0.22,0.23,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/29/2021,6.92,8.27,7.47,7.18,5.35,4.59,4.83,5.31,5.38,5.29,4.61,3.48,4.38,3.38,0.0,2.91,4.08,3.74,3.44,1.57,1.77,1.33,0.96,0.61,0.9,0.45,0.48,0.1,0.34,0.29,0.22,0.22,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/30/2021,6.82,8.2,7.33,7.25,5.19,4.68,4.89,5.29,5.35,5.27,4.67,3.52,4.46,3.44,0.0,2.9,4.13,3.72,3.49,1.6,1.75,1.31,0.98,0.61,0.9,0.46,0.49,0.1,0.34,0.29,0.23,0.23,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/01/2021,6.72,8.04,7.25,7.34,5.23,4.8,5.01,5.14,5.29,5.23,4.79,3.56,4.55,3.4,0.0,3.03,4.1,3.69,3.48,1.58,1.74,1.32,0.98,0.6,0.88,0.45,0.49,0.1,0.33,0.29,0.23,0.22,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/04/2021,6.84,8.16,7.36,7.39,5.27,4.74,4.9,5.04,5.26,5.22,4.75,3.59,4.54,3.33,0.0,3.03,4.12,3.68,3.46,1.58,1.7,1.31,0.96,0.64,0.88,0.45,0.49,0.1,0.34,0.28,0.22,0.22,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/05/2021,6.84,8.16,7.36,7.39,5.27,4.74,4.9,5.04,5.26,5.22,4.75,3.59,4.54,3.33,0.0,3.03,4.12,3.68,3.46,1.58,1.7,1.31,0.96,0.64,0.88,0.45,0.49,0.1,0.34,0.28,0.22,0.22,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/06/2021,6.87,8.11,7.44,7.43,5.24,4.74,4.89,5.1,5.24,5.22,4.71,3.57,4.49,3.34,0.0,3.0,4.12,3.65,3.51,1.57,1.73,1.31,0.95,0.65,0.88,0.45,0.49,0.1,0.34,0.28,0.23,0.23,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/07/2021,6.78,7.99,7.43,7.39,5.1,4.79,5.02,5.11,5.26,5.29,4.8,0.0,4.6,3.37,0.0,2.91,4.13,3.66,3.52,1.55,1.67,1.33,0.97,0.66,0.87,0.46,0.5,0.09,0.35,0.28,0.22,0.23,0.0,0.13,3.55,0.0,0.0,0.0,0.0,0.0,100.01
10/08/2021,6.85,8.08,7.57,7.37,5.09,4.76,4.95,5.15,5.27,5.23,4.78,0.0,4.38,3.43,0.0,2.98,4.23,3.65,3.47,1.52,1.67,1.32,0.93,0.64,0.88,0.45,0.48,0.1,0.35,0.28,0.21,0.22,0.0,0.12,3.56,0.0,0.0,0.0,0.0,0.0,99.97
10/11/2021,6.81,8.22,7.65,7.46,5.09,4.72,4.96,5.02,5.35,5.37,4.68,0.0,4.24,3.41,0.0,2.95,4.28,3.65,3.43,1.52,1.72,1.31,0.9,0.65,0.86,0.45,0.47,0.09,0.35,0.28,0.22,0.22,0.0,0.12,3.54,0.0,0.0,0.0,0.0,0.0,99.99
10/12/2021,6.81,8.22,7.65,7.46,5.09,4.72,4.96,5.02,5.35,5.37,4.68,0.0,4.24,3.41,0.0,2.95,4.28,3.65,3.43,1.52,1.72,1.31,0.9,0.65,0.86,0.45,0.47,0.09,0.35,0.28,0.22,0.22,0.0,0.12,3.54,0.0,0.0,0.0,0.0,0.0,99.99
10/13/2021,6.76,8.22,7.68,7.53,5.03,4.77,5.02,4.85,5.36,5.38,4.73,0.0,4.36,3.4,0.0,2.9,4.27,3.6,3.39,1.47,1.74,1.3,0.93,0.66,0.86,0.45,0.49,0.09,0.35,0.28,0.22,0.22,0.0,0.12,3.54,0.0,0.0,0.0,0.0,0.0,99.97
10/14/2021,6.76,8.27,7.68,7.66,4.98,4.76,5.12,4.69,5.35,5.38,4.75,0.0,4.37,3.38,0.0,2.92,4.23,3.61,3.36,1.48,1.74,1.3,0.93,0.65,0.85,0.45,0.49,0.09,0.35,0.28,0.22,0.22,0.0,0.12,3.55,0.0,0.0,0.0,0.0,0.0,99.99
10/15/2021,6.89,8.46,7.57,7.63,5.11,4.66,5.08,4.86,5.39,5.46,4.66,0.0,4.29,3.41,0.0,2.77,4.27,3.57,3.35,1.47,1.74,1.26,0.92,0.66,0.84,0.44,0.49,0.08,0.35,0.29,0.21,0.22,0.0,0.11,3.52,0.0,0.0,0.0,0.0,0.0,100.03
10/18/2021,7.24,8.62,7.46,7.31,5.35,4.47,5.0,4.89,5.37,5.66,4.5,0.0,4.18,3.38,0.0,2.75,4.35,3.59,3.42,1.47,1.74,1.25,0.91,0.65,0.81,0.44,0.49,0.09,0.34,0.27,0.21,0.22,0.0,0.1,3.46,0.0,0.0,0.0,0.0,0.0,99.98999999999998
10/19/2021,7.24,8.62,7.46,7.31,5.35,4.47,5.0,4.89,5.37,5.66,4.5,0.0,4.18,3.38,0.0,2.75,4.35,3.59,3.42,1.47,1.74,1.25,0.91,0.65,0.81,0.44,0.49,0.09,0.34,0.27,0.21,0.22,0.0,0.1,3.46,0.0,0.0,0.0,0.0,0.0,99.98999999999998
10/21/2021,7.38,8.71,7.65,7.38,5.36,4.48,4.85,4.9,5.37,5.64,4.45,0.0,4.13,3.34,0.0,2.76,4.27,3.51,3.45,1.42,1.76,1.25,0.92,0.64,0.82,0.44,0.48,0.09,0.34,0.26,0.2,0.21,0.0,0.09,3.45,0.0,0.0,0.0,0.0,0.0,100.0
10/22/2021,7.3,8.62,7.78,7.34,5.32,4.5,4.9,4.88,5.4,5.59,4.47,0.0,4.19,3.36,0.0,2.79,4.24,3.53,3.44,1.4,1.75,1.25,0.94,0.65,0.81,0.44,0.49,0.09,0.36,0.26,0.2,0.21,0.0,0.09,3.4,0.0,0.0,0.0,0.0,0.0,99.99
10/25/2021,7.28,8.75,7.76,7.21,5.31,4.53,4.93,4.91,5.35,5.6,4.46,0.0,4.17,3.37,0.0,2.83,4.26,3.55,3.44,1.39,1.77,1.27,0.9,0.66,0.83,0.44,0.5,0.08,0.37,0.26,0.2,0.21,0.0,0.08,3.34,0.0,0.0,0.0,0.0,0.0,100.01
10/26/2021,7.28,8.75,7.76,7.21,5.31,4.53,4.93,4.91,5.35,5.6,4.46,0.0,4.17,3.37,0.0,2.83,4.26,3.55,3.44,1.39,1.77,1.27,0.9,0.66,0.83,0.44,0.5,0.08,0.37,0.26,0.2,0.21,0.0,0.08,3.34,0.0,0.0,0.0,0.0,0.0,100.01
10/27/2021,7.26,8.82,7.78,7.16,5.33,4.6,4.94,4.81,5.39,5.59,4.41,0.0,4.18,3.36,0.0,2.87,4.26,3.57,3.45,1.36,1.78,1.28,0.9,0.64,0.81,0.43,0.51,0.08,0.37,0.26,0.19,0.2,0.0,0.08,3.31,0.0,0.0,0.0,0.0,0.0,99.98
10/28/2021,7.15,8.88,7.67,7.04,5.32,4.58,4.86,5.0,5.43,5.53,4.4,0.0,4.17,3.45,0.0,2.84,4.33,3.6,3.53,1.35,1.8,1.26,0.91,0.65,0.82,0.43,0.53,0.08,0.37,0.26,0.19,0.2,0.0,0.07,3.29,0.0,0.0,0.0,0.0,0.0,99.99
10/29/2021,7.38,9.06,7.51,6.93,5.25,4.56,4.82,5.02,5.44,5.47,4.44,0.0,4.24,3.44,0.0,2.84,4.26,3.64,3.54,1.33,1.79,1.24,0.93,0.64,0.82,0.43,0.53,0.09,0.37,0.26,0.19,0.2,0.0,0.07,3.27,0.0,0.0,0.0,0.0,0.0,100.0
11/01/2021,7.06,7.81,7.17,6.42,5.28,4.49,4.92,5.16,5.11,5.01,4.61,0.0,4.03,3.29,3.61,3.29,3.58,3.51,3.43,1.65,1.62,1.2,0.85,0.59,0.81,0.45,0.44,0.1,0.33,0.29,0.24,0.24,0.0,0.0,0.0,3.31,1.95,0.0,0.0,0.0,101.85
11/02/2021,7.06,7.81,7.17,6.42,5.28,4.49,4.92,5.16,5.11,5.01,4.61,0.0,4.03,3.29,3.61,3.29,3.58,3.51,3.43,1.65,1.62,1.2,0.85,0.59,0.81,0.45,0.44,0.1,0.33,0.29,0.24,0.24,0.0,0.0,0.0,3.31,1.95,0.0,0.0,0.0,101.85
11/03/2021,7.17,9.07,7.76,7.18,5.02,4.36,4.74,4.9,5.48,5.45,4.36,0.0,4.2,3.41,0.0,2.68,4.35,3.77,3.75,1.32,1.79,1.26,0.88,0.63,1.11,0.42,0.54,0.09,0.37,0.26,0.19,0.2,0.0,0.06,3.21,0.0,0.0,0.0,0.0,0.0,99.98
11/04/2021,6.9,9.13,7.53,7.22,5.12,4.38,4.64,5.05,5.43,5.5,4.37,0.0,4.28,3.52,0.0,2.69,4.4,3.8,3.76,1.33,1.79,1.25,0.95,0.64,0.92,0.43,0.47,0.09,0.36,0.27,0.19,0.21,0.0,0.06,3.33,0.0,0.0,0.0,0.0,0.0,100.01
11/05/2021,6.89,9.36,7.64,7.24,5.2,4.36,4.68,4.77,5.29,5.56,4.38,0.0,4.28,3.49,0.0,2.71,4.36,3.82,3.79,1.31,1.74,1.25,0.95,0.64,0.93,0.42,0.47,0.1,0.36,0.27,0.19,0.21,0.0,0.05,3.29,0.0,0.0,0.0,0.0,0.0,100.0
