,EDP.LS,GALP.LS,CTT.LS,EDPR.LS,JMT.LS,COR.LS,SON.LS,RENE.LS,NOS.LS,NVG.LS,656.HK,BCP.LS,ALTR.LS,SEM.LS,EGL.LS,GSJ.MC,IBS.LS,PHR.LS,NBA.LS,SNC.LS,RAM.LS,CASH,BES PL,BANIF PL,1885874D PL,GVOLT PL,B 08/12/21,GVOLT.LS,n/a,B 0 08/12/21,FRGXX,BKESF,SUM
07/23/2021,23.61,16.8,5.35,5.32,5.08,4.96,4.8,4.79,4.55,4.27,4.26,3.66,3.64,2.16,1.47,1.34,0.92,0.89,0.75,0.64,0.49,0.19,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,23.92,16.39,5.25,5.57,4.97,4.88,4.7,4.77,4.6,4.33,4.36,3.65,3.66,2.24,1.45,1.41,0.9,0.87,0.73,0.62,0.47,0.18,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/27/2021,23.92,16.39,5.25,5.57,4.97,4.88,4.7,4.77,4.6,4.33,4.36,3.65,3.66,2.24,1.45,1.41,0.9,0.87,0.73,0.62,0.47,0.18,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/29/2021,23.68,16.57,5.41,5.42,4.94,4.94,4.77,4.69,4.75,4.43,4.03,3.79,3.74,2.33,1.46,1.37,0.87,0.86,0.72,0.62,0.48,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,23.64,16.72,5.32,5.42,4.99,5.02,4.83,4.78,4.71,4.41,3.9,3.65,3.74,2.29,1.46,1.36,0.88,0.86,0.75,0.64,0.47,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/02/2021,23.46,16.53,5.39,5.42,5.11,5.08,4.93,4.71,4.68,4.61,3.8,3.64,3.82,2.3,1.46,1.33,0.91,0.85,0.74,0.62,0.48,-3.89,0.0,0.0,0.0,0.0,4.02,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,23.46,16.53,5.39,5.42,5.11,5.08,4.93,4.71,4.68,4.61,3.8,3.64,3.82,2.3,1.46,1.33,0.91,0.85,0.74,0.62,0.48,-3.89,0.0,0.0,0.0,0.0,4.02,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,23.42,16.4,5.41,5.29,5.24,4.86,5.08,4.81,4.76,4.59,3.83,3.64,3.71,2.4,1.46,1.29,0.94,0.87,0.76,0.63,0.48,-3.98,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,23.52,16.34,5.35,5.37,5.22,4.97,5.02,4.78,4.84,4.54,3.83,3.59,3.62,2.3,1.46,1.38,0.94,0.87,0.78,0.65,0.48,-3.94,0.0,0.0,0.0,0.0,4.08,0.0,0.0,0.0,0.0,0.0,99.99
08/06/2021,23.41,16.56,5.37,5.45,5.28,5.03,4.94,4.79,4.8,4.48,3.84,3.57,3.6,2.3,1.45,1.35,0.94,0.85,0.76,0.62,0.47,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/10/2021,23.48,16.43,5.29,5.34,5.17,5.34,4.95,4.8,4.82,4.51,3.75,3.67,3.64,2.31,1.44,1.31,0.94,0.86,0.75,0.64,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,100.03
08/11/2021,23.43,16.45,5.72,5.24,5.13,5.18,4.98,4.77,4.81,4.46,3.67,3.71,3.64,2.26,1.45,1.34,0.95,0.85,0.75,0.64,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,100.02
08/13/2021,23.55,16.52,5.3,5.37,5.12,5.11,5.0,4.77,4.87,4.49,3.68,3.69,3.71,2.31,1.47,1.3,0.93,0.85,0.75,0.64,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,100.0
08/16/2021,23.24,16.66,5.29,5.21,5.17,5.17,5.18,4.78,4.94,4.5,3.63,3.76,3.67,2.29,1.48,1.32,0.92,0.85,0.73,0.64,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,100.02
08/18/2021,23.27,16.58,5.24,5.26,5.17,5.22,5.2,4.77,4.97,4.49,3.61,3.71,3.66,2.32,1.51,1.3,0.93,0.84,0.73,0.64,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,100.0
08/19/2021,23.54,16.42,5.27,5.37,5.19,5.18,5.22,4.75,4.97,4.47,3.56,3.61,3.66,2.29,1.49,1.3,0.92,0.84,0.73,0.63,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,99.99
08/20/2021,23.4,16.68,5.25,5.35,5.26,5.13,5.22,4.75,5.03,4.44,3.51,3.56,3.65,2.31,1.48,1.3,0.91,0.83,0.72,0.66,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,100.01
08/23/2021,24.26,15.82,5.27,5.57,5.26,5.15,5.19,4.77,5.01,4.36,3.48,3.62,3.56,2.3,1.48,1.27,0.9,0.83,0.7,0.65,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,100.01
08/24/2021,24.26,15.82,5.27,5.57,5.26,5.15,5.19,4.77,5.01,4.36,3.48,3.62,3.56,2.3,1.48,1.27,0.9,0.83,0.7,0.65,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,100.01
08/25/2021,24.54,15.58,5.15,5.68,5.3,5.08,5.28,4.81,5.04,4.37,3.39,3.55,3.56,2.29,1.47,1.27,0.9,0.82,0.7,0.65,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,99.98
08/26/2021,23.69,16.08,5.21,5.63,5.32,5.16,5.31,4.85,5.1,4.38,3.34,3.62,3.62,2.29,1.48,1.27,0.9,0.83,0.7,0.66,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,100.0
08/27/2021,23.79,16.07,5.22,5.58,5.21,5.14,5.36,4.81,5.09,4.36,3.47,3.57,3.67,2.27,1.5,1.25,0.9,0.82,0.7,0.66,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,100.0
08/30/2021,23.69,16.07,5.26,5.5,5.15,5.11,5.29,4.8,5.07,4.37,3.54,3.81,3.67,2.31,1.49,1.26,0.89,0.82,0.71,0.65,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,100.02
08/31/2021,23.69,16.07,5.26,5.5,5.15,5.11,5.29,4.8,5.07,4.37,3.54,3.81,3.67,2.31,1.49,1.26,0.89,0.82,0.71,0.65,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,100.02
09/01/2021,23.45,16.36,5.26,5.42,5.15,5.11,5.33,4.79,5.12,4.41,3.43,3.74,3.71,2.31,1.5,1.28,0.89,0.81,0.7,0.66,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,99.99
09/02/2021,23.43,16.33,5.27,5.45,5.22,5.02,5.33,4.78,5.13,4.4,3.47,3.68,3.79,2.34,1.49,1.29,0.88,0.79,0.7,0.65,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,100.0
09/03/2021,21.79,4.64,4.57,21.43,4.42,4.43,4.6,4.51,4.6,4.64,3.88,4.66,4.3,2.21,1.4,1.21,0.82,0.72,0.65,0.58,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47,0.0,0.0,0.0,100.0
09/06/2021,21.79,4.51,4.52,21.58,4.42,4.45,4.52,4.44,4.63,4.58,3.98,4.63,4.21,2.32,1.43,1.27,0.81,0.74,0.64,0.58,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45,0.0,0.0,0.0,100.0
09/08/2021,21.83,4.42,4.51,21.45,4.38,4.4,4.46,4.44,4.54,4.53,4.01,4.59,4.17,2.31,1.41,1.23,0.8,0.73,0.66,0.58,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,99.98000000000002
09/09/2021,21.83,4.42,4.51,21.45,4.38,4.4,4.46,4.44,4.54,4.53,4.01,4.59,4.17,2.31,1.41,1.23,0.8,0.73,0.66,0.58,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,99.98000000000002
09/10/2021,21.66,4.46,4.63,21.15,4.42,4.45,4.46,4.45,4.52,4.57,4.03,4.63,4.17,2.34,1.44,1.24,0.83,0.73,0.68,0.58,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,99.99
09/13/2021,21.99,4.42,4.65,20.97,4.41,4.54,4.44,4.52,4.39,4.57,3.98,4.59,4.14,2.31,1.45,1.25,0.83,0.72,0.69,0.59,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,99.98999999999998
09/14/2021,21.99,4.42,4.65,20.97,4.41,4.54,4.44,4.52,4.39,4.57,3.98,4.59,4.14,2.31,1.45,1.25,0.83,0.72,0.69,0.59,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,99.98999999999998
09/15/2021,22.0,4.42,4.61,21.0,4.38,4.5,4.42,4.51,4.42,4.61,4.03,4.49,4.23,2.32,1.43,1.25,0.83,0.73,0.7,0.61,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,100.04
09/16/2021,22.32,4.29,4.63,21.1,4.32,4.45,4.38,4.52,4.36,4.53,3.9,4.59,4.22,2.29,1.44,1.21,0.82,0.72,0.68,0.59,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,100.0
09/17/2021,22.29,4.34,4.61,21.4,4.33,4.41,4.35,4.57,4.34,4.47,3.89,4.52,4.15,2.29,1.44,1.2,0.83,0.7,0.68,0.57,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,100.02
09/20/2021,21.87,4.52,4.77,20.79,4.39,4.49,4.46,4.62,4.4,4.54,3.88,4.67,4.22,2.28,1.46,1.21,0.81,0.69,0.69,0.58,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,99.99
09/21/2021,21.87,4.52,4.77,20.79,4.39,4.49,4.46,4.62,4.4,4.54,3.88,4.67,4.22,2.28,1.46,1.21,0.81,0.69,0.69,0.58,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,99.99
09/22/2021,21.7,4.48,4.73,21.04,4.4,4.58,4.52,4.61,4.41,4.5,3.76,4.66,4.2,2.27,1.45,1.22,0.82,0.7,0.69,0.6,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,99.99
09/23/2021,21.68,4.56,4.68,20.98,4.45,4.52,4.52,4.7,4.5,4.49,3.83,4.52,4.17,2.26,1.42,1.22,0.83,0.7,0.69,0.62,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,100.0
09/24/2021,21.59,4.51,4.69,21.49,4.42,4.52,4.48,4.67,4.48,4.45,3.82,4.49,4.09,2.24,1.4,1.19,0.83,0.71,0.68,0.61,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,100.0
09/27/2021,21.52,4.71,4.64,21.3,4.31,4.46,4.56,4.56,4.46,4.46,3.7,4.97,4.16,2.23,1.4,1.16,0.79,0.69,0.68,0.59,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,99.99
09/28/2021,21.52,4.71,4.64,21.3,4.31,4.46,4.56,4.56,4.46,4.46,3.7,4.97,4.16,2.23,1.4,1.16,0.79,0.69,0.68,0.59,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,99.99
09/29/2021,21.43,4.78,4.71,21.04,4.35,4.42,4.57,4.67,4.49,4.45,3.74,4.94,4.18,2.22,1.41,1.17,0.81,0.7,0.68,0.58,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,99.96999999999998
09/30/2021,21.68,4.93,4.71,20.64,4.32,4.39,4.51,4.65,4.52,4.42,3.69,5.12,4.2,2.2,1.44,1.17,0.8,0.7,0.68,0.6,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,100.0
10/01/2021,23.42,16.4,5.41,5.29,5.24,4.86,5.08,4.81,4.76,4.59,3.83,3.64,3.71,2.4,1.46,1.29,0.94,0.87,0.76,0.63,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,1.05,0.0,105.04
10/04/2021,21.24,5.24,4.62,20.38,4.24,4.52,4.53,4.64,4.49,4.46,3.8,5.57,4.09,2.17,1.43,1.19,0.82,0.69,0.67,0.6,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,100.00999999999999
