,2SPY  220630C00003410,2SPY  220630P00406660,Cash&Other,2SPY  220630P00278240,2SPY  220630C00453740,SUM
11/09/2021,105.09,2.83,0.54,-0.51,-7.95,100.0
11/10/2021,105.09,2.83,0.54,-0.51,-7.95,100.0
11/11/2021,105.16,2.86,0.54,-0.51,-8.06,99.99
11/12/2021,104.86,2.94,0.54,-0.53,-7.81,100.0
11/15/2021,104.27,2.99,0.53,-0.52,-7.27,100.0
11/16/2021,104.93,2.78,0.53,-0.51,-7.74,99.99
11/17/2021,104.93,2.78,0.53,-0.51,-7.74,99.99
11/18/2021,104.9,2.77,0.52,-0.5,-7.69,100.0
11/19/2021,105.24,2.73,0.52,-0.51,-7.99,99.99
11/22/2021,105.01,2.88,0.52,-0.55,-7.87,99.99
11/23/2021,105.01,2.88,0.52,-0.55,-7.87,99.99
11/24/2021,105.25,2.86,0.51,-0.54,-8.08,100.0
11/25/2021,105.09,2.93,0.51,-0.55,-7.98,100.00000000000001
