,MARA,COIN,RIOT,VYGR.CN,BITF.V,HIVE.V,CAN,HUT.TO,GLXY.TO,BTBT,NB2.DE,ARB.L,SOS,EBON,863.HK,SQ,NVDA,PYPL,BIGG.CN,OSTK,GBOX,FTFT,CLSK,BTCM,EQOS,n/a,VOYG.TO,SUM
09/23/2021,13.98,12.25,9.58,6.54,3.92,4.67,4.41,6.31,4.36,2.7,4.33,5.49,3.42,2.28,2.13,2.19,2.35,2.04,1.27,1.6,1.57,0.8,0.67,0.94,0.22,-0.04,0.0,99.98
09/24/2021,13.9,12.51,9.65,6.36,3.79,4.61,4.46,6.26,4.28,2.66,4.33,5.56,3.37,2.28,2.15,2.23,2.4,2.07,1.34,1.63,1.56,0.83,0.66,0.91,0.22,-0.04,0.0,99.98
09/27/2021,14.67,11.56,9.65,6.29,4.18,5.02,4.42,6.76,4.23,2.78,4.26,4.43,3.24,2.38,2.05,2.2,2.31,1.96,1.75,1.65,1.57,0.81,0.65,0.91,0.21,0.07,0.0,100.01
09/28/2021,14.67,11.56,9.65,0.0,4.18,5.02,4.42,6.76,4.23,2.78,4.26,4.43,3.24,2.38,2.05,2.2,2.31,1.96,1.75,1.65,1.57,0.81,0.65,0.91,0.21,0.07,6.29,100.01
09/29/2021,14.79,11.85,9.63,0.0,4.23,5.14,3.66,6.69,4.19,2.85,4.41,4.27,3.14,2.32,2.2,2.28,2.39,2.05,1.66,1.8,1.68,0.78,0.65,0.86,0.2,0.08,6.19,99.99
09/30/2021,14.52,11.99,9.67,0.0,4.04,5.14,3.65,7.01,4.13,2.78,4.6,4.2,3.17,2.38,2.05,2.26,2.36,2.04,1.83,1.87,1.62,0.8,0.67,0.87,0.2,0.07,6.06,99.98
10/01/2021,14.28,12.53,9.48,0.0,3.99,5.04,3.63,6.87,4.08,2.82,4.6,4.12,3.22,2.32,2.18,2.25,2.39,2.07,1.94,1.94,1.59,0.83,0.67,0.83,0.2,0.08,6.04,99.99
10/04/2021,13.85,12.48,9.51,0.0,3.97,5.1,3.93,7.2,4.25,2.34,4.65,4.21,3.16,2.18,2.07,2.23,2.4,2.06,2.03,1.85,1.53,0.83,0.71,0.82,0.19,0.07,6.36,99.98
10/05/2021,13.85,12.48,9.51,0.0,3.97,5.1,3.93,7.2,4.25,2.34,4.65,4.21,3.16,2.18,2.07,2.23,2.4,2.06,2.03,1.85,1.53,0.83,0.71,0.82,0.19,0.07,6.36,99.98
10/06/2021,14.15,12.33,9.39,0.0,4.58,5.12,4.01,7.67,4.47,2.54,3.58,4.14,3.1,2.14,2.02,2.17,2.34,2.04,1.89,1.82,1.55,0.8,0.75,0.84,0.2,0.07,6.3,100.01
10/07/2021,14.47,12.34,9.17,0.0,4.57,5.31,3.97,8.08,4.66,2.41,3.57,4.1,3.06,2.15,1.97,2.07,2.25,1.98,1.86,1.72,1.42,0.78,0.74,0.86,0.19,0.06,6.26,100.02
10/08/2021,15.12,12.21,9.03,0.0,4.55,5.4,3.92,8.18,4.48,3.1,3.18,3.91,3.0,2.09,1.9,2.04,2.2,1.91,1.87,1.64,1.36,0.79,0.76,0.86,0.18,0.06,6.28,100.02
10/11/2021,15.54,12.73,8.91,0.0,4.36,5.2,3.94,7.74,4.5,3.29,3.4,3.82,2.97,1.99,2.01,2.14,2.26,1.93,1.88,1.67,1.32,0.78,0.78,0.89,0.19,0.05,5.71,100.0
10/12/2021,15.54,12.73,8.91,0.0,4.36,5.2,3.94,7.74,4.5,3.29,3.4,3.82,2.97,1.99,2.01,2.14,2.26,1.93,1.88,1.67,1.32,0.78,0.78,0.89,0.19,0.05,5.71,100.0
10/13/2021,15.93,12.52,8.79,0.0,4.42,5.12,3.72,8.21,4.52,3.38,3.34,3.79,2.91,1.9,1.97,2.04,2.23,1.9,1.83,1.71,1.38,0.77,0.81,0.87,0.18,0.05,5.73,100.01999999999998
10/14/2021,16.9,12.62,9.17,0.0,4.31,4.99,3.88,8.01,4.41,3.44,3.27,3.56,2.88,1.82,1.93,1.94,2.16,1.81,1.79,1.61,1.27,0.76,0.8,0.87,0.18,0.04,5.59,100.01
10/15/2021,16.67,12.73,8.78,0.0,4.27,5.15,3.87,8.06,4.19,3.21,3.53,3.66,2.86,1.8,1.93,2.06,2.23,1.89,1.81,1.7,1.28,0.79,0.82,0.86,0.18,0.04,5.61,99.98000000000005
10/18/2021,17.36,12.95,8.77,0.0,4.26,5.01,3.69,8.2,4.0,3.14,3.47,3.53,2.86,1.9,1.89,2.09,2.3,1.92,1.7,1.64,1.17,0.78,0.85,0.85,0.18,0.03,5.44,99.98000000000002
