,MP,AA,RGLD,CENX,CMC,NEM,STLD,FCX,NUE,CLF,RS,ATI,ARNC,CDE,HL,X,WOR,ARCH,SCHN,CRS,BTU,UEC,CMP,HCC,KALU,TMST,MTRN,SXC,MUX,CONSOL Energy Inc,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,CEIX,SSIXX,State Street Instl Liquid Reserves Prem,McEwen Mining Inc.,GVMXX,AMR,n/a,SUM
07/23/2021,5.45,4.87,4.9,4.53,4.78,4.47,4.73,4.2,4.47,4.27,4.47,4.33,4.16,3.51,3.71,4.01,3.14,2.93,2.57,2.46,2.73,2.09,2.69,2.34,2.11,1.86,1.65,1.06,0.7,0.7,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,5.42,5.04,4.78,4.8,4.69,4.33,4.6,4.31,4.45,4.36,4.38,4.22,4.07,3.52,3.71,4.07,3.08,3.02,2.55,2.41,3.2,2.08,2.55,2.35,2.0,1.84,1.57,1.05,0.0,0.0,0.11,0.0,0.72,0.0,0.0,0.69,0.0,0.0,0.0,99.97
07/27/2021,5.59,4.99,4.77,4.65,4.69,4.3,4.57,4.33,4.45,4.44,4.39,4.2,4.13,3.44,3.63,4.06,3.09,3.01,2.59,2.41,3.17,2.06,2.6,2.38,2.06,1.83,1.58,1.07,0.68,0.0,0.0,0.0,0.71,0.11,0.0,0.0,0.0,0.0,0.0,99.98
07/28/2021,5.59,4.99,4.77,4.65,4.69,4.3,4.57,4.33,4.45,4.44,4.39,4.2,4.13,3.44,3.63,4.06,3.09,3.01,2.59,2.41,3.17,2.06,2.6,2.38,2.06,1.83,1.58,1.07,0.68,0.0,0.0,0.0,0.71,0.0,0.11,0.0,0.0,0.0,0.0,99.98
07/29/2021,5.46,5.1,4.67,4.74,4.7,4.2,4.59,4.39,4.48,4.41,4.34,4.21,4.13,3.42,3.58,4.12,3.06,3.01,2.56,2.39,3.39,2.11,2.51,2.33,2.1,1.86,1.55,1.06,0.0,0.0,0.12,0.0,0.75,0.0,0.0,0.68,0.0,0.0,0.0,100.02
07/30/2021,5.56,5.06,4.74,4.93,4.7,4.31,4.64,4.39,4.56,4.5,4.37,4.25,4.11,3.41,3.52,4.11,3.05,3.09,2.53,2.37,2.92,2.01,2.49,2.34,2.09,1.84,1.54,1.06,0.68,0.0,0.0,0.0,0.71,0.12,0.0,0.0,0.0,0.0,0.0,100.00000000000004
08/02/2021,5.55,4.98,4.71,4.87,4.68,4.29,4.59,4.38,4.54,4.7,4.32,4.13,4.18,3.43,3.55,4.17,3.04,3.07,2.48,2.35,3.02,2.12,2.43,2.35,2.09,1.82,1.56,1.06,0.69,0.0,0.0,0.0,0.71,0.12,0.0,0.0,0.0,0.0,0.0,99.98
08/03/2021,5.55,4.91,4.61,4.99,4.65,4.16,4.64,4.39,4.52,4.74,4.27,4.17,4.23,3.31,3.53,4.14,3.01,3.14,2.49,2.35,3.15,2.06,2.41,2.41,2.07,1.83,1.52,1.18,0.0,0.0,0.11,0.0,0.76,0.0,0.0,0.69,0.0,0.0,0.0,99.99
08/04/2021,5.53,5.05,4.65,5.09,4.66,4.2,4.67,4.39,4.59,4.81,4.27,4.06,4.16,3.31,3.48,4.35,3.01,3.05,2.49,2.27,3.17,1.91,2.41,2.34,2.04,1.8,1.53,1.16,0.0,0.0,0.11,0.0,0.73,0.0,0.0,0.68,0.0,0.0,0.0,99.97
08/05/2021,5.65,5.06,4.7,5.14,4.6,4.23,4.65,4.3,4.6,4.7,4.29,3.98,4.18,3.27,3.46,4.2,2.95,3.1,2.47,2.31,3.23,1.95,2.45,2.46,2.06,1.78,1.55,1.15,0.0,0.0,0.12,0.0,0.74,0.0,0.0,0.68,0.0,0.0,0.0,100.01
08/06/2021,5.52,5.11,4.66,5.24,4.65,4.21,4.7,4.24,4.73,4.72,4.3,3.95,4.02,3.24,3.46,4.27,2.95,3.09,2.49,2.29,3.1,2.0,2.43,2.45,2.07,1.82,1.61,1.15,0.0,0.0,0.11,0.0,0.72,0.0,0.0,0.69,0.0,0.0,0.0,99.99
08/10/2021,5.63,5.29,4.59,4.14,4.73,4.13,4.69,4.38,4.75,4.77,4.28,3.97,4.05,3.15,3.33,4.39,2.92,3.17,2.51,2.28,3.45,1.99,2.47,2.45,2.12,2.0,1.64,1.13,0.66,0.0,0.0,0.0,0.8,0.12,0.0,0.0,0.0,0.0,0.0,99.97999999999998
08/16/2021,5.47,5.56,4.26,4.26,5.0,3.82,5.16,4.32,5.41,4.84,4.2,3.87,3.99,2.94,3.05,4.51,2.86,3.09,2.6,2.2,3.63,1.86,2.37,2.26,2.1,2.24,1.54,1.1,0.6,0.0,0.0,0.0,0.78,0.13,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/17/2021,5.29,5.58,4.35,4.21,5.04,3.86,5.18,4.3,5.46,4.87,4.18,3.77,4.03,2.98,3.13,4.66,2.85,3.08,2.59,2.16,3.57,1.82,2.36,2.21,2.1,2.21,1.57,1.09,0.62,0.0,0.0,0.0,0.76,0.14,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/18/2021,5.29,5.58,4.35,4.21,5.04,3.86,5.18,4.3,5.46,4.87,4.18,3.77,4.03,2.98,3.13,4.66,2.85,3.08,2.59,2.16,3.57,1.82,2.36,2.21,2.1,2.21,1.57,1.09,0.62,0.0,0.0,0.0,0.76,0.14,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/24/2021,5.02,5.24,4.59,4.15,5.08,4.16,5.35,4.17,5.67,4.89,4.49,3.87,4.43,3.0,3.17,4.9,3.01,3.3,2.53,2.13,3.78,1.99,2.51,0.0,2.25,2.06,1.69,1.09,0.62,0.0,0.0,0.0,0.78,0.07,0.0,0.0,0.0,0.0,0.0,99.99
08/26/2021,5.66,4.84,4.56,4.71,4.56,4.43,4.51,4.47,4.42,4.34,4.28,4.3,4.31,4.07,4.05,4.12,3.0,2.76,2.44,2.5,2.24,2.44,2.18,2.26,2.17,2.0,1.69,1.12,0.81,0.0,0.0,0.0,0.67,0.08,0.0,0.0,1.37,0.0,0.0,101.36
08/30/2021,5.09,5.59,4.49,4.29,4.99,4.06,5.36,4.27,5.59,4.93,4.36,3.76,4.26,3.05,3.16,4.69,2.9,3.68,2.38,2.11,4.09,2.11,2.45,0.0,2.15,1.99,1.59,1.09,0.66,0.0,0.0,0.0,0.81,0.07,0.0,0.0,0.0,0.0,0.0,100.02
08/31/2021,5.08,5.7,4.42,4.45,4.93,3.99,5.26,4.32,5.43,4.81,4.26,3.72,4.27,3.13,3.24,4.65,2.87,3.69,2.36,2.09,4.34,2.15,2.41,0.0,2.16,2.0,1.58,1.09,0.68,0.0,0.0,0.0,0.82,0.09,0.0,0.0,0.0,0.0,0.0,99.99
09/07/2021,5.16,6.08,4.42,4.54,4.64,4.08,4.94,4.26,5.15,4.71,4.15,3.62,4.05,3.27,3.41,4.4,2.63,3.88,2.3,2.03,4.86,2.68,2.44,0.0,2.11,1.84,1.6,1.08,0.69,0.0,0.0,0.0,0.87,0.11,0.0,0.0,0.0,0.0,0.0,100.0
09/13/2021,5.09,6.21,4.38,4.52,4.58,3.98,4.95,4.16,5.16,4.66,4.19,3.6,4.18,3.16,3.3,4.38,2.62,3.99,2.23,1.98,5.29,2.64,2.41,0.0,2.11,1.84,1.58,1.08,0.66,0.0,0.0,0.0,0.92,0.13,0.0,0.0,0.0,0.0,0.0,99.98
09/14/2021,5.16,6.41,4.28,4.62,4.53,3.92,4.9,4.2,5.1,4.62,4.15,3.52,4.11,3.12,3.24,4.38,2.58,4.05,2.21,1.94,5.29,2.9,2.41,0.0,2.07,1.85,1.57,1.09,0.67,0.0,0.0,0.0,0.99,0.13,0.0,0.0,0.0,0.0,0.0,100.01
09/21/2021,5.45,6.68,4.35,4.95,4.64,4.02,4.87,4.14,5.03,4.57,4.25,3.6,4.05,2.97,3.16,4.17,2.74,4.0,2.12,2.05,4.33,3.09,2.43,0.0,2.04,1.91,1.66,1.03,0.68,0.0,0.0,0.0,0.91,0.1,0.0,0.0,0.0,0.0,0.0,99.99
09/24/2021,5.45,6.68,4.35,4.95,4.64,4.02,4.87,4.14,5.03,4.57,4.25,3.6,4.05,2.97,3.16,4.17,2.74,4.0,2.12,2.05,4.33,3.09,2.43,0.0,2.04,1.91,1.66,1.03,0.68,0.0,0.0,0.0,0.91,0.1,0.0,0.0,0.0,0.0,0.0,99.99
09/28/2021,4.86,4.76,4.48,3.69,4.86,4.59,4.42,4.41,4.37,4.27,4.67,4.57,4.28,4.34,4.38,4.1,2.48,3.58,2.64,2.43,3.32,1.87,3.33,0.0,2.02,1.71,1.15,1.03,0.78,0.0,0.0,0.0,1.34,0.22,0.0,0.0,0.0,1.04,0.0,99.99
09/29/2021,4.86,4.76,4.48,3.69,4.86,4.59,4.42,4.41,4.37,4.27,4.67,4.57,4.28,4.34,4.38,4.1,2.48,3.58,2.64,2.43,3.32,1.87,3.33,0.0,2.02,1.71,1.15,1.03,0.78,0.0,0.0,0.0,1.34,0.22,0.0,0.0,0.0,1.04,0.0,99.99
09/30/2021,4.83,4.89,4.28,3.69,4.9,4.44,4.41,4.49,4.35,4.26,4.6,4.52,4.31,4.25,4.32,4.14,2.48,3.71,2.68,2.44,3.49,1.92,3.28,0.0,2.02,1.74,1.15,1.05,0.77,0.0,0.0,0.0,1.35,0.22,0.0,0.0,0.0,1.03,0.0,100.00999999999998
10/01/2021,4.65,4.87,4.27,3.74,4.9,4.53,4.44,4.47,4.33,4.15,4.64,4.44,4.34,4.32,4.41,4.09,2.51,3.82,2.71,2.4,3.47,1.9,3.27,0.0,2.03,1.72,1.14,1.05,0.79,0.0,0.0,0.0,1.37,0.22,0.0,0.0,0.0,1.03,0.0,100.02
10/05/2021,4.44,4.77,4.15,3.69,4.76,4.46,4.21,4.4,4.13,4.0,4.58,4.61,4.37,4.28,4.33,3.98,2.44,4.37,2.82,2.49,3.92,1.87,3.44,0.0,2.03,1.71,1.15,1.07,0.77,0.0,0.0,0.0,1.5,0.06,0.0,0.0,0.0,1.19,0.0,99.98999999999998
10/06/2021,4.44,4.77,4.15,3.69,4.76,4.46,4.21,4.4,4.13,4.0,4.58,4.61,4.37,4.28,4.33,3.98,2.44,4.37,2.82,2.49,3.92,1.87,3.44,0.0,2.03,1.71,1.15,1.07,0.77,0.0,0.0,0.0,1.5,0.06,0.0,0.0,0.0,1.19,0.0,99.98999999999998
10/07/2021,4.44,4.77,4.15,3.69,4.76,4.46,4.21,4.4,4.13,4.0,4.58,4.61,4.37,4.28,4.33,3.98,2.44,4.37,2.82,2.49,3.92,1.87,3.44,0.0,2.03,1.71,1.15,1.07,0.77,0.0,0.0,0.0,1.5,0.06,0.0,0.0,0.0,1.19,0.0,99.98999999999998
10/11/2021,4.2,4.47,4.1,3.75,4.91,4.51,4.25,4.55,4.15,4.18,4.52,4.48,4.24,4.24,4.25,3.77,2.45,4.28,2.99,2.43,4.08,1.87,3.45,0.0,2.02,1.74,1.16,1.09,0.78,0.0,0.0,0.0,1.78,0.06,0.0,0.0,0.0,1.25,0.0,100.0
10/12/2021,4.21,4.42,4.11,3.78,4.89,4.53,4.27,4.57,4.15,4.2,4.53,4.51,4.19,4.26,4.32,3.79,2.37,4.23,3.02,2.42,4.02,1.81,3.49,0.0,1.99,1.76,1.16,1.1,0.79,0.0,0.0,0.0,1.8,0.06,0.0,0.0,0.0,1.3,0.0,100.05
10/13/2021,4.21,4.42,4.11,3.78,4.89,4.53,4.27,4.57,4.15,4.2,4.53,4.51,4.19,4.26,4.32,3.79,2.37,4.23,3.02,2.42,4.02,1.81,3.49,0.0,1.99,1.76,1.16,1.1,0.79,0.0,0.0,0.0,1.8,0.06,0.0,0.0,0.0,1.3,0.0,100.05
10/15/2021,4.37,4.49,4.11,4.1,4.85,4.48,4.36,4.54,4.13,4.34,4.52,4.3,4.07,4.16,3.93,3.92,2.35,4.32,3.03,2.38,4.06,2.05,3.52,0.0,1.94,1.69,1.15,1.08,0.78,0.0,0.0,0.0,1.7,0.06,0.0,0.0,0.0,1.26,0.0,100.04
10/19/2021,4.48,5.09,4.1,4.3,4.61,4.5,4.23,4.9,4.08,4.14,4.47,4.33,4.04,4.13,4.15,3.84,2.27,4.01,3.03,2.31,3.78,2.01,3.66,0.0,2.01,1.58,1.12,1.08,0.8,0.0,0.0,0.0,1.64,0.06,0.0,0.0,0.0,1.25,0.0,100.0
10/20/2021,4.48,5.09,4.1,4.3,4.61,4.5,4.23,4.9,4.08,4.14,4.47,4.33,4.04,4.13,4.15,3.84,2.27,4.01,3.03,2.31,3.78,2.01,3.66,0.0,2.01,1.58,1.12,1.08,0.8,0.0,0.0,0.0,1.64,0.06,0.0,0.0,0.0,1.25,0.0,100.0
10/22/2021,4.68,4.92,4.1,4.07,4.64,4.54,4.38,4.97,4.17,4.09,4.5,4.18,3.87,4.11,4.22,3.87,2.28,4.1,3.09,2.29,3.8,2.12,3.62,0.0,1.94,1.55,1.12,1.07,0.8,0.0,0.0,0.0,1.58,0.06,0.0,0.0,0.0,1.27,0.0,100.0
10/26/2021,4.76,4.63,4.17,3.92,4.71,4.6,4.39,4.96,4.17,4.16,4.58,4.19,3.89,4.36,4.31,3.93,2.33,4.02,3.18,2.29,3.38,2.36,3.47,0.0,1.78,1.57,1.13,1.08,0.8,0.0,0.0,0.0,1.53,0.06,0.0,0.0,0.0,1.29,0.0,100.0
11/01/2021,4.66,4.3,4.29,3.66,4.74,4.42,4.56,4.92,4.47,4.8,4.45,4.3,3.96,4.11,4.62,4.14,2.37,4.0,3.24,2.21,2.91,2.32,3.29,0.0,1.75,1.69,1.14,1.11,0.79,0.0,0.0,0.0,1.43,0.06,0.0,0.0,0.0,1.29,0.0,100.0
11/02/2021,4.58,4.29,4.21,3.38,4.8,4.38,4.64,4.91,4.59,4.77,4.54,4.17,3.84,4.22,4.41,4.7,2.39,3.97,3.26,2.18,2.89,2.25,3.31,0.0,1.71,1.73,1.16,1.16,0.78,0.0,0.0,0.0,1.42,0.06,0.0,0.0,0.0,1.28,0.0,99.98
11/03/2021,4.58,4.29,4.21,3.38,4.8,4.38,4.64,4.91,4.59,4.77,4.54,4.17,3.84,4.22,4.41,4.7,2.39,3.97,3.26,2.18,2.89,2.25,3.31,0.0,1.71,1.73,1.16,1.16,0.78,0.0,0.0,0.0,1.42,0.06,0.0,0.0,0.0,1.28,0.0,99.98
11/05/2021,4.57,4.38,4.33,3.37,4.71,4.43,4.4,5.01,4.4,4.48,4.67,4.19,4.14,4.47,4.47,4.6,2.39,3.81,3.1,2.19,2.8,2.42,3.51,0.0,1.72,1.72,1.38,1.1,0.79,0.0,0.0,0.0,1.15,0.07,0.0,0.0,0.0,1.23,0.0,100.0
11/08/2021,4.92,4.25,4.34,3.27,4.79,4.36,4.43,4.73,4.52,4.31,4.91,4.21,3.95,4.44,4.27,4.6,2.42,3.82,3.14,2.16,2.7,2.72,3.48,0.0,1.75,1.73,1.45,1.07,0.77,0.0,0.0,0.0,1.19,0.07,0.0,0.0,0.0,1.22,0.0,99.99
11/09/2021,4.77,4.29,4.3,3.24,4.85,4.39,4.39,4.64,4.44,4.25,4.88,4.41,4.03,4.45,4.4,4.48,2.44,3.81,3.06,2.22,2.73,2.67,3.52,0.0,1.82,1.78,1.44,1.06,0.76,0.0,0.0,0.0,1.19,0.07,0.0,0.0,0.0,1.22,0.0,100.0
11/10/2021,4.77,4.29,4.3,3.24,4.85,4.39,4.39,4.64,4.44,4.25,4.88,4.41,4.03,4.45,4.4,4.48,2.44,3.81,3.06,2.22,2.73,2.67,3.52,0.0,1.82,1.78,1.44,1.06,0.76,0.0,0.0,0.0,1.19,0.07,0.0,0.0,0.0,1.22,0.0,100.0
