,ENB.TO,TRP.TO,KMI,OKE,WMB,LNG,PPL.TO,EPD,TRGP,ET,IPL.TO,KEY.TO,MMP,MPLX,AM,ETRN,GEI.TO,MIC,PAGP,Plains All American Pipeline LP,CNX,WES,ENLC,NFE,DCP,PSXP,SHLX,CQP,CEQP,NS,PAA,SAR.AX,601319.SS,n/a,DTM,SUM
07/30/2021,8.46,7.94,7.12,6.25,6.3,5.7,5.41,4.63,4.52,4.36,4.62,4.46,4.17,3.5,2.8,2.65,2.44,2.36,1.84,0.0,1.59,1.29,1.22,0.98,0.86,0.88,0.64,0.62,0.58,0.45,1.69,-0.36,0.0,0.0,0.0,99.97
08/02/2021,8.47,7.95,7.07,6.25,6.26,5.69,5.42,4.52,4.57,4.41,4.6,4.45,4.15,3.54,2.8,2.64,2.43,2.34,1.85,0.0,1.64,1.31,1.21,0.98,0.87,0.89,0.65,0.64,0.61,0.46,1.69,-0.35,0.0,0.0,0.0,100.01000000000002
08/03/2021,8.47,7.95,7.07,6.25,6.26,5.69,5.42,4.52,4.57,4.41,4.6,4.45,4.15,3.54,2.8,2.64,2.43,2.34,1.85,0.0,1.64,1.31,1.21,0.98,0.87,0.89,0.65,0.64,0.61,0.46,1.69,-0.35,0.0,0.0,0.0,100.01000000000002
08/04/2021,8.47,7.95,7.07,6.25,6.26,5.69,5.42,4.52,4.57,4.41,4.6,4.45,4.15,3.54,2.8,2.64,2.43,2.34,1.85,0.0,1.64,1.31,1.21,0.98,0.87,0.89,0.65,0.64,0.61,0.46,1.69,-0.35,0.0,0.0,0.0,100.01000000000002
08/05/2021,8.47,7.95,7.07,6.25,6.26,5.69,5.42,4.52,4.57,4.41,4.6,4.45,4.15,3.54,2.8,2.64,2.43,2.34,1.85,0.0,1.64,1.31,1.21,0.98,0.87,0.89,0.65,0.64,0.61,0.46,1.69,-0.35,0.0,0.0,0.0,100.01000000000002
08/06/2021,8.6,7.94,7.04,6.09,6.29,5.82,5.5,4.41,4.54,4.35,4.64,4.54,4.23,3.58,2.73,2.66,2.49,2.38,1.82,0.0,1.56,1.25,1.14,1.0,0.85,0.85,0.62,0.63,0.6,0.46,1.65,-0.26,0.0,0.0,0.0,99.99999999999996
08/09/2021,8.73,8.05,6.95,6.27,6.36,5.88,5.53,4.39,4.63,4.15,4.71,4.43,4.1,3.52,2.71,2.73,2.46,2.4,1.79,0.0,1.57,1.24,1.13,1.03,0.85,0.83,0.6,0.62,0.56,0.43,1.64,-0.31,0.0,0.0,0.0,99.98
08/10/2021,8.73,8.05,6.98,6.31,6.35,5.79,5.44,4.47,4.68,4.21,4.7,4.41,4.09,3.51,2.72,2.76,2.42,2.41,1.81,0.0,1.56,1.22,1.13,1.04,0.84,0.84,0.6,0.6,0.56,0.43,1.65,-0.31,0.0,0.0,0.0,100.0
08/11/2021,8.73,8.05,6.98,6.31,6.35,5.79,5.44,4.47,4.68,4.21,4.7,4.41,4.09,3.51,2.72,2.76,2.42,2.41,1.81,0.0,1.56,1.22,1.13,1.04,0.84,0.84,0.6,0.6,0.56,0.43,1.65,-0.31,0.0,0.0,0.0,100.0
08/13/2021,8.71,7.92,6.96,6.28,6.28,5.95,5.42,4.49,4.81,4.24,4.66,4.26,4.17,3.57,2.72,2.75,2.4,2.39,1.8,0.0,1.56,1.25,1.16,0.99,0.84,0.85,0.6,0.62,0.56,0.43,1.65,-0.3,0.0,0.0,0.0,99.99
08/16/2021,8.45,7.76,6.9,6.26,6.19,5.89,5.37,4.43,4.73,4.31,4.86,4.46,4.22,3.59,2.69,2.77,2.55,2.36,1.82,0.0,1.53,1.29,1.17,0.94,0.85,0.86,0.6,0.63,0.57,0.44,1.67,-0.14,0.0,0.0,0.0,100.01999999999998
08/17/2021,8.57,7.85,6.95,6.24,6.24,5.91,5.44,4.44,4.75,4.28,4.67,4.49,4.29,3.57,2.68,2.77,2.57,2.39,1.83,0.0,1.49,1.29,1.14,0.92,0.85,0.87,0.61,0.63,0.57,0.45,1.69,-0.43,0.0,0.0,0.0,100.01
08/18/2021,8.57,7.85,6.95,6.24,6.24,5.91,5.44,4.44,4.75,4.28,4.67,4.49,4.29,3.57,2.68,2.77,2.57,2.39,1.83,0.0,1.49,1.29,1.14,0.92,0.85,0.87,0.61,0.63,0.57,0.45,1.69,-0.43,0.0,0.0,0.0,100.01
08/19/2021,8.57,7.85,6.95,6.24,6.24,5.91,5.44,4.44,4.75,4.28,4.67,4.49,4.29,3.57,2.68,2.77,2.57,2.39,1.83,0.0,1.49,1.29,1.14,0.92,0.85,0.87,0.61,0.63,0.57,0.45,1.69,0.0,-0.43,0.0,0.0,100.01
08/23/2021,8.46,7.75,6.66,6.07,6.22,5.83,5.23,4.36,4.61,4.18,4.73,4.07,4.29,3.58,2.64,2.75,2.37,2.45,1.73,0.0,1.43,1.24,1.07,0.94,0.83,0.85,0.59,0.68,0.56,0.45,1.59,1.8,0.0,0.0,0.0,100.01
08/24/2021,8.73,7.9,6.8,6.33,6.37,5.97,5.32,4.49,4.78,4.28,4.8,4.14,4.41,3.7,2.75,2.8,2.43,2.51,1.77,0.0,1.45,1.3,1.12,0.95,0.86,0.87,0.59,0.67,0.57,0.46,1.63,-0.77,0.0,0.0,0.0,99.98000000000002
08/25/2021,8.73,7.9,6.8,6.33,6.37,5.97,5.32,4.49,4.78,4.28,4.8,4.14,4.41,3.7,2.75,2.8,2.43,2.51,1.77,0.0,1.45,1.3,1.12,0.95,0.86,0.87,0.59,0.67,0.57,0.46,1.63,-0.77,0.0,0.0,0.0,99.98000000000002
08/26/2021,9.26,8.35,7.19,6.76,6.73,6.36,5.68,4.73,5.1,4.53,0.0,4.43,4.57,3.86,2.89,2.98,2.6,2.61,1.88,0.0,1.51,1.35,1.21,1.03,0.93,0.92,0.62,0.68,0.61,0.49,1.74,-1.6,0.0,0.0,0.0,100.0
08/27/2021,8.73,7.85,6.82,6.45,6.34,6.03,5.35,4.46,4.87,4.3,0.0,4.19,4.33,3.6,2.72,2.87,2.45,2.46,1.78,0.0,1.44,1.28,1.17,1.01,0.87,0.87,0.58,0.64,0.57,0.46,1.64,3.91,0.0,0.0,0.0,100.04
08/30/2021,8.7,7.8,6.67,6.39,6.2,6.09,5.23,4.43,4.82,4.23,4.72,4.18,4.34,3.58,2.76,2.89,2.44,2.46,1.73,0.0,1.42,1.26,1.14,0.98,0.85,0.85,0.58,0.63,0.56,0.46,1.59,0.0,0.0,0.0,0.0,99.97999999999998
08/31/2021,8.31,7.68,6.99,6.28,6.33,5.58,5.07,4.52,4.57,4.54,4.52,4.36,4.11,3.55,2.88,2.62,2.45,2.2,1.97,0.0,1.68,1.33,1.28,1.18,0.91,0.88,0.68,0.64,0.59,0.48,1.82,0.0,0.0,0.0,0.0,100.0
09/01/2021,8.31,7.68,6.99,6.28,6.33,5.58,5.07,4.52,4.57,4.54,4.52,4.36,4.11,3.55,2.88,2.62,2.45,2.2,1.97,0.0,1.68,1.33,1.28,1.18,0.91,0.88,0.68,0.64,0.59,0.48,1.82,0.0,0.0,0.0,0.0,100.0
09/02/2021,8.31,7.68,6.99,6.28,6.33,5.58,5.07,4.52,4.57,4.54,4.52,4.36,4.11,3.55,2.88,2.62,2.45,2.2,1.97,0.0,1.68,1.33,1.28,1.18,0.91,0.88,0.68,0.64,0.59,0.48,1.82,0.0,0.0,0.0,0.0,100.0
09/03/2021,8.7,7.82,6.65,6.35,6.21,6.07,5.25,4.42,4.81,4.21,4.67,4.19,4.38,3.6,2.82,2.94,2.46,2.42,1.69,0.0,1.43,1.31,1.14,0.97,0.84,0.85,0.61,0.62,0.56,0.46,1.57,0.0,0.0,0.0,0.0,100.02
09/06/2021,8.62,7.79,6.57,6.27,6.24,6.02,5.19,4.46,4.82,4.31,4.62,4.1,4.38,3.65,2.9,2.99,2.44,2.4,1.75,0.0,1.53,1.33,1.22,0.99,0.87,0.85,0.59,0.64,0.57,0.47,1.61,-0.19,0.0,0.0,0.0,100.0
09/07/2021,8.67,7.82,6.54,6.26,6.21,6.03,5.18,4.45,4.83,4.3,4.62,4.11,4.37,3.67,2.93,2.98,2.45,2.39,1.75,0.0,1.53,1.32,1.21,0.98,0.87,0.85,0.58,0.64,0.58,0.46,1.61,0.0,0.0,-0.19,0.0,100.0
09/08/2021,8.67,7.82,6.54,6.26,6.21,6.03,5.18,4.45,4.83,4.3,4.62,4.11,4.37,3.67,2.93,2.98,2.45,2.39,1.75,0.0,1.53,1.32,1.21,0.98,0.87,0.85,0.58,0.64,0.58,0.46,1.61,0.0,0.0,-0.19,0.0,100.0
09/09/2021,8.67,7.82,6.54,6.26,6.21,6.03,5.18,4.45,4.83,4.3,4.62,4.11,4.37,3.67,2.93,2.98,2.45,2.39,1.75,0.0,1.53,1.32,1.21,0.98,0.87,0.85,0.58,0.64,0.58,0.46,1.61,0.0,0.0,-0.19,0.0,100.0
09/10/2021,8.72,7.88,6.52,6.23,6.17,6.08,5.18,4.45,4.8,4.27,4.61,4.13,4.33,3.66,2.95,2.99,2.45,2.42,1.76,0.0,1.51,1.31,1.22,0.97,0.87,0.85,0.58,0.64,0.57,0.46,1.61,0.0,0.0,-0.2,0.0,99.98999999999998
09/13/2021,8.82,7.94,6.49,6.22,6.21,6.09,5.21,4.4,4.79,4.24,4.6,4.14,4.25,3.61,2.96,2.99,2.47,2.41,1.76,0.0,1.54,1.29,1.21,0.95,0.87,0.84,0.57,0.65,0.57,0.46,1.63,0.0,0.0,-0.2,0.0,99.98
09/14/2021,8.78,7.95,6.51,6.3,6.15,6.02,5.2,4.4,4.75,4.22,4.65,4.19,4.25,3.59,2.97,2.95,2.49,2.43,1.76,0.0,1.54,1.31,1.29,0.91,0.87,0.84,0.56,0.64,0.58,0.44,1.65,0.0,0.0,-0.2,0.0,99.99
09/15/2021,8.78,7.95,6.51,6.3,6.15,6.02,5.2,4.4,4.75,4.22,4.65,4.19,4.25,3.59,2.97,2.95,2.49,2.43,1.76,0.0,1.54,1.31,1.29,0.91,0.87,0.84,0.56,0.64,0.58,0.44,1.65,0.0,0.0,-0.2,0.0,99.99
09/16/2021,8.78,7.95,6.51,6.3,6.15,6.02,5.2,4.4,4.75,4.22,4.65,4.19,4.25,3.59,2.97,2.95,2.49,2.43,1.76,0.0,1.54,1.31,1.29,0.91,0.87,0.84,0.56,0.64,0.58,0.44,1.65,0.0,0.0,-0.2,0.0,99.99
09/17/2021,8.69,7.99,6.46,6.3,6.2,5.99,5.23,4.38,4.77,4.18,4.6,4.35,4.21,3.54,2.95,3.01,2.47,2.42,1.8,0.0,1.57,1.29,1.34,0.92,0.85,0.83,0.55,0.63,0.59,0.43,1.67,0.0,0.0,-0.2,0.0,100.01
09/21/2021,8.61,7.98,6.41,6.52,6.31,5.85,5.24,4.31,4.84,4.07,4.54,4.4,4.17,3.6,2.94,3.09,2.48,2.41,1.75,0.0,1.51,1.3,1.41,0.91,0.84,0.82,0.55,0.6,0.58,0.42,1.59,0.0,0.0,-0.04,0.0,100.01
09/22/2021,8.61,7.98,6.41,6.52,6.31,5.85,5.24,4.31,4.84,4.07,4.54,4.4,4.17,3.6,2.94,3.09,2.48,2.41,1.75,0.0,1.51,1.3,1.41,0.91,0.84,0.82,0.55,0.6,0.58,0.42,1.59,0.0,0.0,-0.04,0.0,100.01
09/23/2021,8.61,7.98,6.41,6.52,6.31,5.85,5.24,4.31,4.84,4.07,4.54,4.4,4.17,3.6,2.94,3.09,2.48,2.41,1.75,0.0,1.51,1.3,1.41,0.91,0.84,0.82,0.55,0.6,0.58,0.42,1.59,0.0,0.0,-0.04,0.0,100.01
09/24/2021,7.93,8.09,7.01,5.72,6.63,5.97,5.1,4.43,4.64,4.31,4.55,4.22,3.92,3.81,2.54,2.62,2.14,2.23,1.54,0.0,1.38,1.32,1.19,0.0,0.87,0.86,0.58,0.63,0.59,0.42,1.65,0.0,0.0,-0.36,3.45,99.98
09/27/2021,7.8,7.96,7.05,5.94,6.58,6.15,4.98,4.34,4.74,4.45,4.45,4.15,3.81,3.78,2.55,2.69,2.1,2.15,1.61,0.0,1.36,1.35,1.2,0.0,0.91,0.88,0.6,0.64,0.59,0.44,1.72,0.0,0.0,-0.35,3.39,100.01
09/28/2021,7.8,8.03,7.07,5.94,6.56,6.21,4.98,4.25,4.74,4.35,4.44,4.16,3.76,3.78,2.55,2.76,2.12,2.16,1.62,0.0,1.32,1.35,1.21,0.0,0.88,0.88,0.6,0.65,0.59,0.44,1.72,0.0,0.0,-0.35,3.42,99.99
09/29/2021,7.8,8.03,7.07,5.94,6.56,6.21,4.98,4.25,4.74,4.35,4.44,4.16,3.76,3.78,2.55,2.76,2.12,2.16,1.62,0.0,1.32,1.35,1.21,0.0,0.88,0.88,0.6,0.65,0.59,0.44,1.72,0.0,0.0,-0.35,3.42,99.99
09/30/2021,7.68,7.97,7.1,5.95,6.57,6.15,4.94,4.23,4.83,4.41,4.35,4.05,3.79,3.74,2.58,2.78,2.09,2.11,1.64,0.0,1.44,1.39,1.25,0.0,0.9,0.87,0.6,0.65,0.6,0.43,1.74,0.0,0.0,-0.24,3.42,100.01
10/01/2021,7.64,7.82,7.13,5.94,6.64,6.27,4.94,4.26,4.86,4.4,4.38,4.08,3.78,3.74,2.58,2.77,2.06,2.13,1.62,0.0,1.41,1.37,1.24,0.0,0.9,0.86,0.59,0.65,0.6,0.43,1.72,0.0,0.0,-0.24,3.41,99.98000000000002
10/04/2021,7.64,7.67,7.14,5.99,6.69,6.31,4.87,4.28,4.88,4.43,4.35,4.03,3.72,3.72,2.61,2.81,2.05,2.14,1.64,0.0,1.41,1.38,1.24,0.0,0.91,0.87,0.59,0.65,0.61,0.43,1.75,0.0,0.0,-0.24,3.42,99.99
10/05/2021,7.61,7.69,7.07,6.0,6.66,6.33,4.95,4.22,4.96,4.47,4.35,4.14,3.64,3.71,2.6,2.79,2.06,2.12,1.61,0.0,1.4,1.39,1.22,0.0,0.93,0.88,0.57,0.64,0.6,0.44,1.71,0.0,0.0,-0.24,3.48,100.0
10/06/2021,7.61,7.69,7.07,6.0,6.66,6.33,4.95,4.22,4.96,4.47,4.35,4.14,3.64,3.71,2.6,2.79,2.06,2.12,1.61,0.0,1.4,1.39,1.22,0.0,0.93,0.88,0.57,0.64,0.6,0.44,1.71,0.0,0.0,-0.24,3.48,100.0
10/07/2021,7.61,7.69,7.07,6.0,6.66,6.33,4.95,4.22,4.96,4.47,4.35,4.14,3.64,3.71,2.6,2.79,2.06,2.12,1.61,0.0,1.4,1.39,1.22,0.0,0.93,0.88,0.57,0.64,0.6,0.44,1.71,0.0,0.0,-0.24,3.48,100.0
10/08/2021,7.54,7.61,6.98,6.0,6.8,6.35,4.88,4.42,5.03,4.46,4.31,4.04,3.62,3.7,2.62,2.82,2.05,2.09,1.6,0.0,1.42,1.42,1.26,0.0,0.97,0.9,0.55,0.63,0.6,0.44,1.69,0.0,0.0,-0.27,3.49,100.02
10/11/2021,7.63,7.64,6.96,6.03,6.86,6.3,4.9,4.4,5.02,4.34,4.31,3.97,3.62,3.71,2.61,2.83,2.04,2.09,1.59,0.0,1.44,1.37,1.25,0.0,0.99,0.9,0.56,0.63,0.59,0.43,1.69,0.0,0.0,-0.25,3.56,100.01
10/12/2021,7.79,7.79,7.23,6.16,7.07,6.32,5.04,4.51,5.09,4.51,4.29,4.0,3.72,3.77,2.64,2.88,2.04,0.19,1.63,0.0,1.49,1.4,1.3,0.0,0.99,0.91,0.55,0.64,0.59,0.44,1.73,0.0,0.0,-0.25,3.56,100.02
10/13/2021,7.79,7.79,7.23,6.16,7.07,6.32,5.04,4.51,5.09,4.51,4.29,4.0,3.72,3.77,2.64,2.88,2.04,0.19,1.63,0.0,1.49,1.4,1.3,0.0,0.99,0.91,0.55,0.64,0.59,0.44,1.73,0.0,0.0,-0.25,3.56,100.02
10/14/2021,7.79,7.79,7.23,6.16,7.07,6.32,5.04,4.51,5.09,4.51,4.29,4.0,3.72,3.77,2.64,2.88,2.04,0.19,1.63,0.0,1.49,1.4,1.3,0.0,0.99,0.91,0.55,0.64,0.59,0.44,1.73,0.0,0.0,-0.25,3.56,100.02
10/15/2021,7.6,7.62,7.17,6.04,6.99,6.3,4.93,4.4,5.0,4.4,4.18,3.9,3.67,3.76,2.58,2.81,1.99,0.19,1.61,0.0,1.43,1.39,1.3,0.0,0.95,0.88,0.55,0.64,0.58,0.43,1.7,0.0,0.0,1.51,3.49,99.99
10/18/2021,7.75,7.89,7.27,6.18,7.06,6.51,5.04,4.5,5.12,4.41,4.21,3.96,3.66,3.75,2.57,2.86,1.95,0.19,1.63,0.0,1.42,1.43,1.35,0.0,1.0,0.9,0.55,0.64,0.6,0.44,1.74,0.0,0.0,-0.1,3.51,99.99
10/22/2021,7.68,8.09,7.26,6.19,6.89,6.53,4.95,4.46,5.16,4.34,4.12,3.91,3.77,3.74,2.6,2.87,2.07,0.18,1.66,0.0,1.44,1.42,1.38,0.0,0.99,0.89,0.56,0.65,0.6,0.42,1.77,0.0,0.0,-0.03,3.46,100.02
10/25/2021,7.68,8.14,7.29,6.14,6.88,6.24,4.97,4.47,5.18,4.36,4.11,3.94,3.74,3.77,2.63,2.85,2.07,0.18,1.68,0.0,1.49,1.44,1.39,0.0,1.0,0.9,0.57,0.65,0.59,0.43,1.78,0.0,0.0,-0.03,3.47,100.00000000000004
10/26/2021,7.68,8.19,6.96,6.17,6.84,6.45,4.97,4.49,5.17,4.3,4.15,3.92,3.88,3.77,2.63,2.81,2.09,0.18,1.66,0.0,1.52,1.41,1.38,0.0,1.0,0.9,0.58,0.65,0.6,0.44,1.75,0.0,0.0,-0.03,3.49,100.0
10/27/2021,7.68,8.19,6.96,6.17,6.84,6.45,4.97,4.49,5.17,4.3,4.15,3.92,3.88,3.77,2.63,2.81,2.09,0.18,1.66,0.0,1.52,1.41,1.38,0.0,1.0,0.9,0.58,0.65,0.6,0.44,1.75,0.0,0.0,-0.03,3.49,100.0
10/28/2021,7.72,8.24,7.0,6.2,6.85,6.39,4.93,4.49,5.2,4.29,4.14,3.85,3.88,3.74,2.64,2.82,2.1,0.18,1.65,0.0,1.54,1.4,1.39,0.0,0.99,0.9,0.58,0.65,0.6,0.44,1.74,0.0,0.0,-0.03,3.48,99.99000000000002
10/29/2021,7.65,8.16,7.04,6.27,6.86,6.53,4.93,4.49,5.23,4.31,3.93,3.88,3.79,3.75,2.68,2.86,2.1,0.18,1.64,0.0,1.64,1.38,1.4,0.0,1.0,0.89,0.58,0.65,0.6,0.43,1.72,0.0,0.0,-0.02,3.45,100.0
11/01/2021,7.75,8.32,6.98,6.37,6.91,6.45,4.99,4.32,5.19,4.27,4.06,3.97,3.77,3.77,2.54,2.79,2.19,0.19,1.58,0.0,1.63,1.37,1.38,0.0,1.0,0.87,0.58,0.66,0.6,0.43,1.65,0.0,0.0,-0.02,3.43,99.99
11/02/2021,8.13,8.72,7.15,6.56,7.24,6.76,5.23,4.49,5.45,4.45,0.0,4.18,3.98,3.94,2.64,2.83,2.3,0.2,1.65,0.0,1.66,1.41,1.4,0.0,1.01,0.9,0.62,0.7,0.63,0.44,1.73,0.0,0.0,-0.02,3.62,100.0
11/03/2021,8.13,8.72,7.15,6.56,7.24,6.76,5.23,4.49,5.45,4.45,0.0,4.18,3.98,3.94,2.64,2.83,2.3,0.2,1.65,0.0,1.66,1.41,1.4,0.0,1.01,0.9,0.62,0.7,0.63,0.44,1.73,0.0,0.0,-0.02,3.62,100.0
11/04/2021,8.13,8.72,7.15,6.56,7.24,6.76,5.23,4.49,5.45,4.45,0.0,4.18,3.98,3.94,2.64,2.83,2.3,0.2,1.65,0.0,1.66,1.41,1.4,0.0,1.01,0.9,0.62,0.7,0.63,0.44,1.73,0.0,0.0,-0.02,3.62,100.0
11/05/2021,8.08,8.64,7.15,6.52,7.23,6.82,5.2,4.34,5.47,4.54,0.0,4.13,4.08,4.04,2.63,2.85,2.21,0.19,1.69,0.0,1.66,1.42,1.4,0.0,1.0,0.92,0.61,0.69,0.65,0.43,1.79,0.0,0.0,0.03,3.58,99.99
11/08/2021,8.17,8.66,7.17,6.56,7.31,6.93,5.17,4.45,5.6,4.33,0.0,4.0,3.96,4.07,2.64,2.77,2.15,0.2,1.73,0.0,1.64,1.43,1.32,0.0,0.97,0.93,0.63,0.7,0.62,0.44,1.82,0.0,0.0,0.03,3.61,100.01
11/09/2021,8.37,8.26,7.2,6.64,7.32,7.02,5.31,4.44,5.62,4.33,0.0,3.96,3.87,4.06,2.66,2.74,2.15,0.2,1.73,0.0,1.68,1.43,1.3,0.0,0.96,0.93,0.61,0.68,0.62,0.42,1.82,0.0,0.0,0.03,3.66,100.02
11/10/2021,8.37,8.26,7.2,6.64,7.32,7.02,5.31,4.44,5.62,4.33,0.0,3.96,3.87,4.06,2.66,2.74,2.15,0.2,1.73,0.0,1.68,1.43,1.3,0.0,0.96,0.93,0.61,0.68,0.62,0.42,1.82,0.0,0.0,0.03,3.66,100.02
11/11/2021,8.37,8.26,7.2,6.64,7.32,7.02,5.31,4.44,5.62,4.33,0.0,3.96,3.87,4.06,2.66,2.74,2.15,0.2,1.73,0.0,1.68,1.43,1.3,0.0,0.96,0.93,0.61,0.68,0.62,0.42,1.82,0.0,0.0,0.03,3.66,100.02
11/12/2021,8.15,8.09,7.12,6.63,7.27,7.0,5.38,4.46,5.71,4.33,0.0,4.01,3.85,4.15,2.68,2.84,2.13,0.19,1.73,0.0,1.63,1.45,1.31,0.0,0.98,0.93,0.62,0.69,0.63,0.42,1.83,0.0,0.0,0.11,3.67,99.99
11/15/2021,8.15,8.09,7.12,6.63,7.27,7.0,5.38,4.46,5.71,4.33,0.0,4.01,3.85,4.15,2.68,2.84,2.13,0.19,1.73,0.0,1.63,1.45,1.31,0.0,0.98,0.93,0.62,0.69,0.63,0.42,1.83,0.0,0.0,0.11,3.67,99.99
11/16/2021,8.15,8.09,7.12,6.63,7.27,7.0,5.38,4.46,5.71,4.33,0.0,4.01,3.85,4.15,2.68,2.84,2.13,0.19,1.73,0.0,1.63,1.45,1.31,0.0,0.98,0.93,0.62,0.69,0.63,0.42,1.83,0.0,0.0,0.11,3.67,99.99
11/17/2021,8.15,8.09,7.12,6.63,7.27,7.0,5.38,4.46,5.71,4.33,0.0,4.01,3.85,4.15,2.68,2.84,2.13,0.19,1.73,0.0,1.63,1.45,1.31,0.0,0.98,0.93,0.62,0.69,0.63,0.42,1.83,0.0,0.0,0.11,3.67,99.99
11/18/2021,7.88,8.04,7.15,6.53,7.41,6.85,5.24,4.63,5.42,4.29,0.0,4.02,4.01,4.06,2.64,2.86,2.17,0.2,1.71,0.0,1.67,1.48,1.31,0.0,1.0,0.94,0.64,0.68,0.62,0.45,1.83,0.0,0.0,0.55,3.73,100.01000000000002
11/22/2021,7.86,7.9,7.14,6.53,7.3,6.98,5.25,4.59,5.47,4.34,0.0,3.95,4.0,4.04,2.63,2.88,2.18,0.2,1.7,0.0,1.69,1.46,1.29,0.0,1.01,0.94,0.63,0.67,0.62,0.45,1.82,0.0,0.0,0.87,3.63,100.02
11/23/2021,7.86,7.9,7.14,6.53,7.3,6.98,5.25,4.59,5.47,4.34,0.0,3.95,4.0,4.04,2.63,2.88,2.18,0.2,1.7,0.0,1.69,1.46,1.29,0.0,1.01,0.94,0.63,0.67,0.62,0.45,1.82,0.0,0.0,0.87,3.63,100.02
11/24/2021,8.09,8.05,7.23,6.63,7.41,7.15,5.45,4.5,5.6,4.27,0.0,4.01,3.93,4.07,2.65,2.94,2.23,0.2,1.67,0.0,1.66,1.47,1.28,0.0,0.97,0.89,0.62,0.68,0.62,0.46,1.81,0.0,0.0,-0.26,3.73,100.01
11/25/2021,8.04,8.08,7.21,6.7,7.46,7.06,5.28,4.57,5.63,4.33,0.0,3.97,4.03,4.13,2.63,2.94,2.25,0.2,1.66,0.0,1.67,1.42,1.3,0.0,0.96,0.92,0.61,0.68,0.62,0.44,1.78,0.0,0.0,-0.26,3.67,99.98
11/26/2021,7.99,8.09,7.2,6.81,7.47,7.09,5.1,4.49,5.72,4.32,0.0,3.87,3.95,4.14,2.67,2.97,2.24,0.2,1.68,0.0,1.71,1.46,1.34,0.0,0.97,0.93,0.61,0.68,0.61,0.43,1.78,0.0,0.0,-0.25,3.71,99.98000000000002
