,DANGCEM.NL,GTCO NL,NESTLE.NL,ZENITHBANK.NL,CASH,MTNN.NL,FBNH.NL,STANBIC.NL,NB.NL,FLOURMILL.NL,UBA.NL,DANGSUGAR.NL,WAPCO.NL,ACCESS.NL,FCMB.NL,FIDELITYBK.NL,TRANSCORP.NL,ETI.NL,UACN.NL,STERLNBANK.NL,UNILEVER NL,GTCO.NL,UNILEVER.NL,STERLNBA NL,B 08/12/21,n/a,B 0 08/12/21,UPDCREIT.NL,SUM
11/12/2021,15.86,0.0,8.35,7.48,0.0,5.43,6.34,3.83,3.51,3.43,3.94,3.18,4.21,3.46,2.57,2.4,2.14,3.28,2.11,1.62,0.0,8.99,1.77,0.0,0.0,5.83,0.0,0.25,99.98
11/15/2021,15.97,0.0,8.41,7.41,0.0,5.46,6.46,3.85,3.53,3.47,3.82,3.2,4.02,3.43,2.61,2.34,2.11,3.21,2.08,1.58,0.0,8.97,1.78,0.0,0.0,6.01,0.0,0.26,99.98
11/16/2021,15.97,0.0,8.41,7.41,0.0,5.46,6.46,3.85,3.53,3.47,3.82,3.2,4.02,3.43,2.61,2.34,2.11,3.21,2.08,1.58,0.0,8.97,1.78,0.0,0.0,6.01,0.0,0.26,99.98
11/17/2021,15.92,0.0,8.38,7.39,0.0,5.2,6.72,3.84,3.52,3.52,3.95,3.19,4.01,3.42,2.62,2.33,2.11,3.25,2.07,1.58,0.0,8.96,1.78,0.0,0.0,5.99,0.0,0.25,100.0
11/18/2021,15.91,0.0,8.38,7.4,0.0,5.17,6.89,3.84,3.52,3.59,3.83,3.17,4.0,3.44,2.58,2.33,2.13,3.2,2.07,1.57,0.0,8.97,1.78,0.0,0.0,5.98,0.0,0.25,100.0
11/19/2021,15.95,0.0,8.34,7.42,0.0,5.19,7.02,3.85,3.53,3.59,3.91,3.18,4.01,3.43,2.57,2.33,2.05,3.15,2.07,1.59,0.0,8.8,1.78,0.0,0.0,5.99,0.0,0.25,100.0
11/22/2021,16.04,0.0,8.38,7.47,0.0,5.21,6.94,3.87,3.55,3.57,3.96,3.16,4.03,3.35,2.59,2.29,2.1,3.22,2.08,1.6,0.0,8.65,1.66,0.0,0.0,6.02,0.0,0.26,100.0
11/23/2021,16.04,0.0,8.38,7.47,0.0,5.21,6.94,3.87,3.55,3.57,3.96,3.16,4.03,3.35,2.59,2.29,2.1,3.22,2.08,1.6,0.0,8.65,1.66,0.0,0.0,6.02,0.0,0.26,100.0
11/24/2021,16.26,0.0,8.35,7.51,0.0,5.28,6.61,3.92,3.47,3.55,3.92,3.2,4.01,3.36,2.59,2.3,2.07,3.32,2.05,1.6,0.0,8.47,1.68,0.0,0.0,6.26,0.0,0.24,100.02
11/25/2021,16.15,0.0,8.45,7.56,0.0,5.25,6.99,3.9,3.44,3.52,3.89,3.13,3.9,3.38,2.62,2.31,2.05,3.34,1.99,1.58,0.0,8.43,1.67,0.0,0.0,6.21,0.0,0.24,100.0
11/26/2021,16.15,0.0,8.44,7.56,0.0,5.25,6.99,3.9,3.44,3.58,3.87,3.09,3.9,3.43,2.62,2.22,2.07,3.36,1.99,1.58,0.0,8.41,1.69,0.0,0.0,6.21,0.0,0.24,99.98999999999998
11/29/2021,16.14,0.0,8.47,7.63,0.0,5.25,6.82,3.77,3.44,3.61,3.87,3.11,3.98,3.39,2.64,2.26,2.09,3.36,1.99,1.59,0.0,8.41,1.72,0.0,0.0,6.22,0.0,0.24,100.0
11/30/2021,16.14,0.0,8.47,7.63,0.0,5.25,6.82,3.77,3.44,3.61,3.87,3.11,3.98,3.39,2.64,2.26,2.09,3.36,1.99,1.59,0.0,8.41,1.72,0.0,0.0,6.22,0.0,0.24,100.0
12/01/2021,16.31,0.0,8.56,7.68,0.0,5.3,6.89,3.83,3.2,3.59,3.88,3.15,4.02,3.37,2.65,2.29,2.07,3.1,1.93,1.6,0.0,8.36,1.73,0.0,0.0,6.28,0.0,0.22,100.01
12/02/2021,16.35,0.0,8.58,7.65,0.0,5.31,6.85,3.84,3.2,3.59,3.84,3.15,4.03,3.42,2.61,2.25,2.08,3.13,1.93,1.61,0.0,8.36,1.73,0.0,0.0,6.29,0.0,0.2,100.0
12/06/2021,16.59,0.0,8.71,7.55,0.0,4.8,7.03,3.8,3.28,3.59,3.85,3.15,4.02,3.43,2.63,2.28,2.17,3.15,1.96,1.61,0.0,8.33,1.75,0.0,0.0,6.12,0.0,0.18,99.98
12/07/2021,16.59,0.0,8.71,7.55,0.0,4.8,7.03,3.8,3.28,3.59,3.85,3.15,4.02,3.43,2.63,2.28,2.17,3.15,1.96,1.61,0.0,8.33,1.75,0.0,0.0,6.12,0.0,0.18,99.98
12/08/2021,16.59,0.0,8.71,7.55,0.0,4.8,7.03,3.8,3.28,3.59,3.85,3.15,4.02,3.43,2.63,2.28,2.17,3.15,1.96,1.61,0.0,8.33,1.75,0.0,0.0,6.12,0.0,0.18,99.98
12/09/2021,16.59,0.0,8.71,7.55,0.0,4.8,7.03,3.8,3.28,3.59,3.85,3.15,4.02,3.43,2.63,2.28,2.17,3.15,1.96,1.61,0.0,8.33,1.75,0.0,0.0,6.12,0.0,0.18,99.98
12/10/2021,16.59,0.0,8.71,7.55,0.0,4.8,7.03,3.8,3.28,3.59,3.85,3.15,4.02,3.43,2.63,2.28,2.17,3.15,1.96,1.61,0.0,8.33,1.75,0.0,0.0,6.12,0.0,0.18,99.98
12/13/2021,16.59,0.0,8.71,7.55,0.0,4.8,7.03,3.8,3.28,3.59,3.85,3.15,4.02,3.43,2.63,2.28,2.17,3.15,1.96,1.61,0.0,8.33,1.75,0.0,0.0,6.12,0.0,0.18,99.98
12/14/2021,16.59,0.0,8.71,7.55,0.0,4.8,7.03,3.8,3.28,3.59,3.85,3.15,4.02,3.43,2.63,2.28,2.17,3.15,1.96,1.61,0.0,8.33,1.75,0.0,0.0,6.12,0.0,0.18,99.98
12/15/2021,16.59,0.0,8.71,7.55,0.0,4.8,7.03,3.8,3.28,3.59,3.85,3.15,4.02,3.43,2.63,2.28,2.17,3.15,1.96,1.61,0.0,8.33,1.75,0.0,0.0,6.12,0.0,0.18,99.98
12/16/2021,16.59,0.0,8.71,7.55,0.0,4.8,7.03,3.8,3.28,3.59,3.85,3.15,4.02,3.43,2.63,2.28,2.17,3.15,1.96,1.61,0.0,8.33,1.75,0.0,0.0,6.12,0.0,0.18,99.98
12/17/2021,16.59,0.0,8.71,7.55,0.0,4.8,7.03,3.8,3.28,3.59,3.85,3.15,4.02,3.43,2.63,2.28,2.17,3.15,1.96,1.61,0.0,8.33,1.75,0.0,0.0,6.12,0.0,0.18,99.98
