,605277.SS,XRT,SPY,SPHB,XHB,FXO,KBWB,IAT,PSCE,FCG,IEO,AMZA,CALF,IJS,SLYV,AVUV,URA,XSVM,SLX,URNM,First Trust Materials AlphaDEX® ETF,XME,605277.SS.1,DRIV,TECH,LIT,BATT,PEJ,FXN,MLPA,AMLP,FENY,VDE,XES,OIH,SPDR® S&P Oil & Gas Explor & Prodtn ETF,U.S. Bank Money Market Deposit Account,XOP,VanEck Vectors Oil Services ETF,Invesco S&P SmallCap Energy ETF,VICI,IAI,603087.SS,n/a,SUM
07/28/2021,0.0,7.23,15.01,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.07,1.09,13.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.42,13.58,8.11,7.27,6.96,1.12,1.13,1.13,1.1,1.09,1.03,1.04,0.0,0.55,1.03,0.0,1.02,0.0,0.0,0.0,0.0,99.98
07/29/2021,0.0,7.17,14.87,0.0,0.0,0.0,0.0,0.0,1.06,1.07,1.09,1.12,13.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.32,13.86,8.03,7.19,6.95,1.13,1.14,1.15,1.11,1.11,1.06,1.07,1.05,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,0.0,7.17,14.87,0.0,0.0,0.0,0.0,0.0,1.06,1.07,1.09,1.12,13.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.32,13.86,8.03,7.19,6.95,1.13,1.14,1.15,1.11,1.11,1.06,1.07,1.05,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,0.0,7.1,14.84,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.09,1.11,13.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.39,0.0,8.02,7.24,6.89,1.13,1.14,1.13,1.11,1.11,1.05,1.06,0.0,0.54,1.04,0.0,1.04,14.02,0.0,0.0,0.0,99.99
08/03/2021,0.0,7.1,14.84,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.09,1.11,13.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.39,0.0,8.02,7.24,6.89,1.13,1.14,1.13,1.11,1.11,1.05,1.06,0.0,0.54,1.04,0.0,1.04,14.02,0.0,0.0,0.0,99.99
08/04/2021,0.0,7.1,14.84,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.09,1.11,13.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.39,0.0,8.02,7.24,6.89,1.13,1.14,1.13,1.11,1.11,1.05,1.06,0.0,0.54,1.04,0.0,1.04,14.02,0.0,0.0,0.0,99.99
08/05/2021,0.0,7.1,14.84,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.09,1.11,13.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.39,0.0,8.02,7.24,6.89,1.13,1.14,1.13,1.11,1.11,1.05,1.06,0.0,0.54,1.04,0.0,1.04,14.02,0.0,0.0,0.0,99.99
08/06/2021,0.0,7.1,14.77,0.0,0.0,0.0,0.0,0.0,0.0,1.03,1.07,1.07,14.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.59,0.0,8.11,7.34,6.64,1.12,1.11,1.1,1.1,1.1,1.02,1.04,0.0,0.57,1.02,0.0,1.01,14.08,0.0,0.0,0.0,100.0
08/25/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,25.09,12.12,100.0
08/26/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,25.09,12.12,100.0
08/30/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,25.09,12.12,100.0
08/31/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,25.09,12.12,100.0
09/01/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,25.09,12.12,100.0
09/03/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,25.09,12.12,100.0
09/06/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,25.09,12.12,100.0
09/07/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,0.0,25.09,100.0
09/08/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,0.0,25.09,100.0
09/09/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,0.0,25.09,100.0
09/10/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,0.0,25.09,100.0
09/13/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,0.0,25.09,100.0
09/14/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,0.0,25.09,100.0
09/15/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,0.0,25.09,100.0
09/16/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,0.0,25.09,100.0
09/17/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,0.0,25.09,100.0
09/20/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,0.0,25.09,100.0
09/21/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,0.0,25.09,100.0
09/22/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,0.0,25.09,100.0
09/23/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,0.0,25.09,100.0
09/24/2021,0.0,0.0,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59,0.0,25.09,100.0
