,CTVA,OTLY,GIVN.SW,INGR,APPH,DE,TTCF,MFI.TO,BLL,NZYM B.CO,KRZ.IR,ORBIA.MX,BYND,CHR.CO,SY1.DE,TRMB,BG,IFF,BHIL,6326.T,NESN.SW,BUCN.SW,345.HK,VMI,BN.PA,LNN,DNA,JBT,FMC,ADM,CAG,TSN,BCPC,ASA.OL,ECL,K,BERY,CRBN.AS,MONDE.PM,AMRS,BIOG B.ST,LOCL,TWI,CDZI,ANIC.L,GRWG,HYFM,n/a,UAVS,BABY.V,BABY.TO,SUM
01/05/2022,4.61,4.37,4.25,3.99,3.2,3.46,3.24,3.56,3.57,3.35,3.15,3.34,2.97,3.19,3.14,3.07,3.08,3.06,2.06,2.16,2.17,2.16,1.98,2.06,2.05,2.04,1.51,1.66,1.6,1.57,1.09,1.06,1.05,1.06,1.04,1.01,1.03,1.01,0.91,0.82,0.76,0.72,0.75,0.45,0.46,0.4,0.41,0.18,0.11,0.06,0.0,100.0
01/06/2022,4.61,4.37,4.25,3.99,3.2,3.46,3.24,3.56,3.57,3.35,3.15,3.34,2.97,3.19,3.14,3.07,3.08,3.06,2.06,2.16,2.17,2.16,1.98,2.06,2.05,2.04,1.51,1.66,1.6,1.57,1.09,1.06,1.05,1.06,1.04,1.01,1.03,1.01,0.91,0.82,0.76,0.72,0.75,0.45,0.46,0.4,0.41,0.18,0.11,0.06,0.0,100.0
01/07/2022,4.64,4.35,4.19,4.02,3.15,3.74,3.19,3.57,3.34,3.32,3.21,3.29,2.7,3.23,3.11,2.97,3.14,3.06,2.1,2.17,2.19,2.21,1.98,2.07,2.1,2.09,1.33,1.74,1.62,1.61,1.09,1.1,1.04,1.1,1.03,1.03,1.03,1.0,0.91,0.79,0.83,0.78,0.8,0.46,0.47,0.39,0.36,0.2,0.12,0.06,0.0,100.02
01/10/2022,4.67,4.35,4.27,4.13,3.08,3.81,3.04,3.56,3.45,3.32,3.32,3.29,2.61,3.32,3.15,2.9,3.18,3.02,2.07,2.23,2.16,2.23,1.98,2.05,2.12,2.05,1.19,1.73,1.62,1.63,1.11,1.12,1.03,1.1,1.05,1.05,1.04,1.03,0.95,0.73,0.84,0.76,0.76,0.46,0.47,0.35,0.33,0.14,0.11,0.06,0.0,100.02
01/11/2022,4.81,4.41,4.1,4.19,3.31,3.9,3.06,3.65,3.43,3.3,3.25,3.17,3.07,3.28,3.06,2.82,3.3,2.97,1.93,2.22,2.14,2.23,1.96,2.02,2.14,1.87,1.17,1.64,1.61,1.66,1.13,1.14,1.01,1.12,1.04,1.07,1.05,1.02,0.95,0.71,0.81,0.58,0.77,0.48,0.46,0.34,0.35,0.16,0.1,0.06,0.0,100.02
01/12/2022,4.81,4.41,4.1,4.19,3.31,3.9,3.06,3.65,3.43,3.3,3.25,3.17,3.07,3.28,3.06,2.82,3.3,2.97,1.93,2.22,2.14,2.23,1.96,2.02,2.14,1.87,1.17,1.64,1.61,1.66,1.13,1.14,1.01,1.12,1.04,1.07,1.05,1.02,0.95,0.71,0.81,0.58,0.77,0.48,0.46,0.34,0.35,0.16,0.1,0.06,0.0,100.02
01/13/2022,4.81,4.09,4.01,4.28,3.3,3.99,3.01,3.7,3.48,3.16,3.37,3.2,3.04,3.27,3.03,2.87,3.33,3.0,1.68,2.26,2.13,2.21,2.05,2.04,2.21,1.94,1.17,1.64,1.63,1.7,1.14,1.16,1.01,1.08,1.04,1.1,1.05,1.01,0.96,0.71,0.81,0.59,0.77,0.44,0.48,0.35,0.36,0.16,0.1,0.06,0.0,99.98
01/14/2022,4.83,4.56,3.98,4.23,3.28,3.93,3.03,3.68,3.42,3.13,3.35,3.16,3.12,3.22,3.01,2.85,3.34,3.07,1.65,2.27,2.1,2.2,1.97,2.03,2.18,1.95,1.17,1.67,1.64,1.68,1.11,1.14,1.0,1.04,1.03,1.07,1.04,0.99,0.94,0.73,0.8,0.62,0.78,0.45,0.47,0.35,0.38,0.16,0.1,0.06,0.0,99.96
01/17/2022,4.89,4.36,4.06,4.25,3.21,3.9,3.02,3.7,3.48,3.16,3.26,3.3,3.05,3.24,3.04,2.84,3.38,3.08,1.46,2.29,2.12,2.26,2.02,2.03,2.19,1.93,1.08,1.66,1.67,1.69,1.1,1.14,1.01,1.06,1.03,1.07,1.05,0.98,0.95,0.82,0.82,0.65,0.78,0.42,0.46,0.34,0.35,0.16,0.1,0.06,0.0,99.97
01/18/2022,4.92,4.18,3.92,4.33,3.33,3.98,2.98,3.71,3.51,3.05,3.35,3.23,3.04,3.41,2.95,2.76,3.42,3.11,1.26,2.33,2.14,2.3,2.02,2.06,2.27,1.95,1.01,1.67,1.73,1.74,1.17,1.2,1.01,1.05,1.0,1.11,1.06,0.97,1.04,0.78,0.77,0.61,0.79,0.4,0.43,0.29,0.34,0.17,0.1,0.06,0.0,100.01
01/19/2022,4.92,4.18,3.92,4.33,3.33,3.98,2.98,3.71,3.51,3.05,3.35,3.23,3.04,3.41,2.95,2.76,3.42,3.11,1.26,2.33,2.14,2.3,2.02,2.06,2.27,1.95,1.01,1.67,1.73,1.74,1.17,1.2,1.01,1.05,1.0,1.11,1.06,0.97,1.04,0.78,0.77,0.61,0.79,0.4,0.43,0.29,0.34,0.17,0.1,0.06,0.0,100.01
01/20/2022,4.92,4.18,3.92,4.33,3.33,3.98,2.98,3.71,3.51,3.05,3.35,3.23,3.04,3.41,2.95,2.76,3.42,3.11,1.26,2.33,2.14,2.3,2.02,2.06,2.27,1.95,1.01,1.67,1.73,1.74,1.17,1.2,1.01,1.05,1.0,1.11,1.06,0.97,1.04,0.78,0.77,0.61,0.79,0.4,0.43,0.29,0.34,0.17,0.1,0.06,0.0,100.01
01/21/2022,4.92,4.18,3.92,4.33,3.33,3.98,2.98,3.71,3.51,3.05,3.35,3.23,3.04,3.41,2.95,2.76,3.42,3.11,1.26,2.33,2.14,2.3,2.02,2.06,2.27,1.95,1.01,1.67,1.73,1.74,1.17,1.2,1.01,1.05,1.0,1.11,1.06,0.97,1.04,0.78,0.77,0.61,0.79,0.4,0.43,0.29,0.34,0.17,0.1,0.06,0.0,100.01
01/24/2022,4.9,3.99,3.94,4.42,3.28,4.04,3.04,3.75,3.64,3.1,3.35,3.31,2.96,3.63,2.93,2.75,3.43,3.04,1.14,2.26,2.16,2.35,2.01,2.07,2.27,1.94,0.9,1.65,1.73,1.76,1.21,1.21,1.0,0.95,1.02,1.12,1.09,0.99,1.02,0.76,0.79,0.59,0.76,0.39,0.47,0.28,0.32,0.17,0.09,0.06,0.0,100.03
01/25/2022,4.83,3.86,3.98,4.4,3.09,4.01,2.84,3.92,3.59,3.19,3.41,3.41,2.95,3.71,2.96,2.69,3.43,3.12,1.13,2.34,2.23,2.43,2.08,2.01,2.34,1.91,0.97,1.61,1.73,1.75,1.23,1.2,1.01,0.94,0.94,1.14,1.06,1.01,1.04,0.69,0.77,0.59,0.73,0.39,0.46,0.25,0.3,0.19,0.08,0.07,0.0,100.01
01/26/2022,4.83,3.86,3.98,4.4,3.09,4.01,2.84,3.92,3.59,3.19,3.41,3.41,2.95,3.71,2.96,2.69,3.43,3.12,1.13,2.34,2.23,2.43,2.08,2.01,2.34,1.91,0.97,1.61,1.73,1.75,1.23,1.2,1.01,0.94,0.94,1.14,1.06,1.01,1.04,0.69,0.77,0.59,0.73,0.39,0.46,0.25,0.3,0.19,0.08,0.07,0.0,100.01
01/27/2022,4.83,3.86,3.98,4.4,3.09,4.01,2.84,3.92,3.59,3.19,3.41,3.41,2.95,3.71,2.96,2.69,3.43,3.12,1.13,2.34,2.23,2.43,2.08,2.01,2.34,1.91,0.97,1.61,1.73,1.75,1.23,1.2,1.01,0.94,0.94,1.14,1.06,1.01,1.04,0.69,0.77,0.59,0.73,0.39,0.46,0.25,0.3,0.19,0.08,0.07,0.0,100.01
01/28/2022,4.92,4.09,3.92,4.37,3.16,4.03,2.74,3.89,3.56,3.14,3.36,3.35,3.01,3.57,2.89,2.78,3.43,3.07,1.07,2.34,2.2,2.42,2.19,2.07,2.3,1.94,0.94,1.66,1.72,1.75,1.24,1.22,1.03,0.88,0.94,1.14,1.05,1.0,1.06,0.76,0.74,0.58,0.74,0.39,0.42,0.27,0.31,0.22,0.08,0.07,0.0,100.02
01/31/2022,5.13,3.81,3.97,4.39,2.93,4.27,2.71,4.05,3.94,3.18,3.42,3.36,2.79,3.47,2.88,2.64,3.62,3.04,1.0,2.29,2.21,2.25,2.18,1.93,2.33,1.83,0.88,1.59,1.78,1.95,1.27,1.24,1.0,1.02,0.92,1.15,1.06,0.99,1.09,0.67,0.77,0.62,0.73,0.33,0.43,0.24,0.28,0.23,0.08,0.08,0.0,100.01999999999998
02/01/2022,5.17,4.03,3.73,4.36,3.03,4.22,2.74,4.11,3.89,3.11,3.48,3.31,2.78,3.51,2.81,2.75,3.66,3.0,0.98,2.26,2.21,2.21,2.08,1.97,2.28,1.83,0.93,1.59,1.77,1.98,1.26,1.25,1.01,0.96,0.92,1.15,1.05,1.01,1.06,0.69,0.78,0.62,0.74,0.35,0.42,0.25,0.29,0.23,0.08,0.09,0.0,99.99
02/02/2022,5.17,4.03,3.73,4.36,3.03,4.22,2.74,4.11,3.89,3.11,3.48,3.31,2.78,3.51,2.81,2.75,3.66,3.0,0.98,2.26,2.21,2.21,2.08,1.97,2.28,1.83,0.93,1.59,1.77,1.98,1.26,1.25,1.01,0.96,0.92,1.15,1.05,1.01,1.06,0.69,0.78,0.62,0.74,0.35,0.42,0.25,0.29,0.23,0.08,0.09,0.0,99.99
02/03/2022,5.17,4.03,3.73,4.36,3.03,4.22,2.74,4.11,3.89,3.11,3.48,3.31,2.78,3.51,2.81,2.75,3.66,3.0,0.98,2.26,2.21,2.21,2.08,1.97,2.28,1.83,0.93,1.59,1.77,1.98,1.26,1.25,1.01,0.96,0.92,1.15,1.05,1.01,1.06,0.69,0.78,0.62,0.74,0.35,0.42,0.25,0.29,0.23,0.08,0.0,0.09,99.99
02/04/2022,5.14,4.23,3.65,4.28,2.62,4.17,2.87,4.13,3.96,3.07,3.4,3.32,3.14,3.56,2.78,2.77,3.61,2.97,1.06,2.28,2.18,2.19,2.07,1.96,2.24,1.86,1.1,1.59,1.77,1.92,1.22,1.22,1.0,1.0,0.92,1.09,1.04,0.98,1.05,0.76,0.79,0.58,0.73,0.36,0.41,0.28,0.31,0.22,0.09,0.0,0.09,100.03
02/07/2022,5.32,4.1,3.7,4.03,2.71,4.21,2.71,4.21,3.9,2.97,3.48,3.39,2.87,3.52,2.86,2.78,3.71,2.98,0.9,2.25,2.26,2.23,2.12,1.97,2.32,1.87,1.08,1.59,1.82,1.99,1.27,1.25,0.98,1.07,0.95,1.12,1.0,1.0,1.05,0.68,0.8,0.63,0.75,0.28,0.45,0.26,0.29,0.16,0.08,0.0,0.08,100.0
02/08/2022,5.51,4.2,3.67,3.96,2.66,4.2,2.77,4.17,3.92,2.94,3.5,3.42,2.9,3.44,2.85,2.77,3.68,2.93,0.88,2.26,2.25,2.2,2.11,1.96,2.32,1.89,1.14,1.57,1.81,1.99,1.25,1.22,0.98,1.08,0.94,1.09,0.97,1.0,1.05,0.69,0.82,0.66,0.75,0.29,0.44,0.27,0.29,0.16,0.09,0.0,0.08,99.99
02/09/2022,5.51,4.2,3.67,3.96,2.66,4.2,2.77,4.17,3.92,2.94,3.5,3.42,2.9,3.44,2.85,2.77,3.68,2.93,0.88,2.26,2.25,2.2,2.11,1.96,2.32,1.89,1.14,1.57,1.81,1.99,1.25,1.22,0.98,1.08,0.94,1.09,0.97,1.0,1.05,0.69,0.82,0.66,0.75,0.29,0.44,0.27,0.29,0.16,0.09,0.0,0.08,99.99
02/10/2022,5.51,4.2,3.67,3.96,2.66,4.2,2.77,4.17,3.92,2.94,3.5,3.42,2.9,3.44,2.85,2.77,3.68,2.93,0.88,2.26,2.25,2.2,2.11,1.96,2.32,1.89,1.14,1.57,1.81,1.99,1.25,1.22,0.98,1.08,0.94,1.09,0.97,1.0,1.05,0.69,0.82,0.66,0.75,0.29,0.44,0.27,0.29,0.16,0.09,0.0,0.08,99.99
02/11/2022,5.41,4.31,3.62,3.94,2.74,4.21,2.75,4.23,3.85,2.87,3.44,3.42,2.92,3.4,2.81,2.76,3.7,2.94,0.94,2.26,2.24,2.18,2.11,1.93,2.34,1.88,1.15,1.62,1.77,1.99,1.25,1.36,0.96,1.11,0.93,1.09,0.99,1.0,1.01,0.67,0.83,0.67,0.76,0.28,0.43,0.27,0.31,0.16,0.08,0.0,0.08,99.96999999999998
02/14/2022,5.51,4.53,3.47,3.94,2.76,4.38,2.91,4.25,3.84,2.77,3.32,3.44,3.02,3.23,2.72,2.74,3.64,2.98,0.9,2.23,2.19,2.18,2.14,1.99,2.29,1.92,1.08,1.62,1.88,1.98,1.23,1.33,0.95,0.96,0.93,1.07,0.97,0.98,1.04,0.74,0.8,0.69,0.81,0.27,0.44,0.3,0.31,0.17,0.08,0.0,0.08,100.0
