,PG,KO,WMT,PEP,COST,PM,MDLZ,MO,CL,EL,KMB,SYY,WBA,STZ,ADM,MNST,GIS,KHC,KR,HSY,BF.B,TSN,CLX,CHD,MKC,CAG,K,SJM,HRL,KDP,DAR,BG,SAM,LW,TAP,FRPT,CASY,USFD,POST,MED,HLF,INGR,BJ,PFGC,CPB,SPB,WDFC,FLO,HAIN,SAFM,LANC,UNFI,SFM,NUS,CENTA,SMPL,ENR,JJSF,COKE,IPAR,EPC,THS,PSMT,COTY,BGS,TWNK,VGR,FIZZ,RAD,CHEF,USNA,IMKTA,PPC,ELF,UVV,CALM,CVGW,CENT,FDP,SPTN,WMK,ANDE,MGPI,JBSS,TR,GO,TPB,CELH,BYND,TTCF,XXII,VITL,AVO,FREE,BRBR,UTZ,REYN,EGCO.BK,HFFG,LNDC,VLGEA,NBEV,LMNR,PTBL.TA,1379.T,SAR.AX,n/a,SUM
08/20/2021,13.72,8.87,8.42,8.16,6.55,4.64,3.88,3.61,2.93,3.12,2.06,1.76,1.79,1.73,1.56,1.64,1.6,1.21,1.34,1.15,1.04,0.98,1.03,1.0,0.97,0.83,0.75,0.67,0.64,0.6,0.61,0.53,0.54,0.55,0.47,0.46,0.38,0.39,0.33,0.29,0.33,0.3,0.32,0.29,0.26,0.24,0.25,0.24,0.22,0.25,0.22,0.2,0.19,0.19,0.19,0.21,0.16,0.16,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.13,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,0.0,0.0,99.97
08/23/2021,13.72,8.87,8.42,8.16,6.55,4.64,3.88,3.61,2.93,3.12,2.06,1.76,1.79,1.73,1.56,1.64,1.6,1.21,1.34,1.15,1.04,0.98,1.03,1.0,0.97,0.83,0.75,0.67,0.64,0.6,0.61,0.53,0.54,0.55,0.47,0.46,0.38,0.39,0.33,0.29,0.33,0.3,0.32,0.29,0.26,0.24,0.25,0.24,0.22,0.25,0.22,0.2,0.19,0.19,0.19,0.21,0.16,0.16,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.13,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,0.0,0.0,99.97
08/24/2021,13.72,8.87,8.42,8.16,6.55,4.64,3.88,3.61,2.93,3.12,2.06,1.76,1.79,1.73,1.56,1.64,1.6,1.21,1.34,1.15,1.04,0.98,1.03,1.0,0.97,0.83,0.75,0.67,0.64,0.6,0.61,0.53,0.54,0.55,0.47,0.46,0.38,0.39,0.33,0.29,0.33,0.3,0.32,0.29,0.26,0.24,0.25,0.24,0.22,0.25,0.22,0.2,0.19,0.19,0.19,0.21,0.16,0.16,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.13,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,99.97
08/25/2021,13.72,8.87,8.42,8.16,6.55,4.64,3.88,3.61,2.93,3.12,2.06,1.76,1.79,1.73,1.56,1.64,1.6,1.21,1.34,1.15,1.04,0.98,1.03,1.0,0.97,0.83,0.75,0.67,0.64,0.6,0.61,0.53,0.54,0.55,0.47,0.46,0.38,0.39,0.33,0.29,0.33,0.3,0.32,0.29,0.26,0.24,0.25,0.24,0.22,0.25,0.22,0.2,0.19,0.19,0.19,0.21,0.16,0.16,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.13,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,99.97
08/26/2021,13.72,8.87,8.42,8.16,6.55,4.64,3.88,3.61,2.93,3.12,2.06,1.76,1.79,1.73,1.56,1.64,1.6,1.21,1.34,1.15,1.04,0.98,1.03,1.0,0.97,0.83,0.75,0.67,0.64,0.6,0.61,0.53,0.54,0.55,0.47,0.46,0.38,0.39,0.33,0.29,0.33,0.3,0.32,0.29,0.26,0.24,0.25,0.24,0.22,0.25,0.22,0.2,0.19,0.19,0.19,0.21,0.16,0.16,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.13,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,99.97
08/27/2021,13.72,8.87,8.42,8.16,6.55,4.64,3.88,3.61,2.93,3.12,2.06,1.76,1.79,1.73,1.56,1.64,1.6,1.21,1.34,1.15,1.04,0.98,1.03,1.0,0.97,0.83,0.75,0.67,0.64,0.6,0.61,0.53,0.54,0.55,0.47,0.46,0.38,0.39,0.33,0.29,0.33,0.3,0.32,0.29,0.26,0.24,0.25,0.24,0.22,0.25,0.22,0.2,0.19,0.19,0.19,0.21,0.16,0.16,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.13,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,99.97
08/30/2021,13.72,8.87,8.42,8.16,6.55,4.64,3.88,3.61,2.93,3.12,2.06,1.76,1.79,1.73,1.56,1.64,1.6,1.21,1.34,1.15,1.04,0.98,1.03,1.0,0.97,0.83,0.75,0.67,0.64,0.6,0.61,0.53,0.54,0.55,0.47,0.46,0.38,0.39,0.33,0.29,0.33,0.3,0.32,0.29,0.26,0.24,0.25,0.24,0.22,0.25,0.22,0.2,0.19,0.19,0.19,0.21,0.16,0.16,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.13,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,99.97
08/31/2021,13.72,8.87,8.42,8.16,6.55,4.64,3.88,3.61,2.93,3.12,2.06,1.76,1.79,1.73,1.56,1.64,1.6,1.21,1.34,1.15,1.04,0.98,1.03,1.0,0.97,0.83,0.75,0.67,0.64,0.6,0.61,0.53,0.54,0.55,0.47,0.46,0.38,0.39,0.33,0.29,0.33,0.3,0.32,0.29,0.26,0.24,0.25,0.24,0.22,0.25,0.22,0.2,0.19,0.19,0.19,0.21,0.16,0.16,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.13,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,99.97
09/01/2021,13.72,8.87,8.42,8.16,6.55,4.64,3.88,3.61,2.93,3.12,2.06,1.76,1.79,1.73,1.56,1.64,1.6,1.21,1.34,1.15,1.04,0.98,1.03,1.0,0.97,0.83,0.75,0.67,0.64,0.6,0.61,0.53,0.54,0.55,0.47,0.46,0.38,0.39,0.33,0.29,0.33,0.3,0.32,0.29,0.26,0.24,0.25,0.24,0.22,0.25,0.22,0.2,0.19,0.19,0.19,0.21,0.16,0.16,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.13,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,99.97
09/02/2021,14.23,9.19,8.37,8.51,7.0,4.61,3.87,3.58,2.81,3.22,2.06,1.65,1.58,1.63,1.51,1.67,1.52,1.13,1.4,1.16,0.97,0.93,1.02,1.0,0.91,0.75,0.73,0.66,0.62,0.59,0.62,0.51,0.37,0.45,0.42,0.4,0.38,0.35,0.31,0.29,0.32,0.29,0.34,0.27,0.25,0.25,0.23,0.23,0.22,0.25,0.22,0.18,0.18,0.18,0.17,0.21,0.15,0.15,0.16,0.16,0.14,0.13,0.15,0.13,0.13,0.14,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,100.04
09/03/2021,14.23,9.19,8.37,8.51,7.0,4.61,3.87,3.58,2.81,3.22,2.06,1.65,1.58,1.63,1.51,1.67,1.52,1.13,1.4,1.16,0.97,0.93,1.02,1.0,0.91,0.75,0.73,0.66,0.62,0.59,0.62,0.51,0.37,0.45,0.42,0.4,0.38,0.35,0.31,0.29,0.32,0.29,0.34,0.27,0.25,0.25,0.23,0.23,0.22,0.25,0.22,0.18,0.18,0.18,0.17,0.21,0.15,0.15,0.16,0.16,0.14,0.13,0.15,0.13,0.13,0.14,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,100.04
09/06/2021,14.23,9.19,8.37,8.51,7.0,4.61,3.87,3.58,2.81,3.22,2.06,1.65,1.58,1.63,1.51,1.67,1.52,1.13,1.4,1.16,0.97,0.93,1.02,1.0,0.91,0.75,0.73,0.66,0.62,0.59,0.62,0.51,0.37,0.45,0.42,0.4,0.38,0.35,0.31,0.29,0.32,0.29,0.34,0.27,0.25,0.25,0.23,0.23,0.22,0.25,0.22,0.18,0.18,0.18,0.17,0.21,0.15,0.15,0.16,0.16,0.14,0.13,0.15,0.13,0.13,0.14,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,100.04
09/07/2021,14.23,9.19,8.37,8.51,7.0,4.61,3.87,3.58,2.81,3.22,2.06,1.65,1.58,1.63,1.51,1.67,1.52,1.13,1.4,1.16,0.97,0.93,1.02,1.0,0.91,0.75,0.73,0.66,0.62,0.59,0.62,0.51,0.37,0.45,0.42,0.4,0.38,0.35,0.31,0.29,0.32,0.29,0.34,0.27,0.25,0.25,0.23,0.23,0.22,0.25,0.22,0.18,0.18,0.18,0.17,0.21,0.15,0.15,0.16,0.16,0.14,0.13,0.15,0.13,0.13,0.14,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,100.04
09/08/2021,14.23,9.19,8.37,8.51,7.0,4.61,3.87,3.58,2.81,3.22,2.06,1.65,1.58,1.63,1.51,1.67,1.52,1.13,1.4,1.16,0.97,0.93,1.02,1.0,0.91,0.75,0.73,0.66,0.62,0.59,0.62,0.51,0.37,0.45,0.42,0.4,0.38,0.35,0.31,0.29,0.32,0.29,0.34,0.27,0.25,0.25,0.23,0.23,0.22,0.25,0.22,0.18,0.18,0.18,0.17,0.21,0.15,0.15,0.16,0.16,0.14,0.13,0.15,0.13,0.13,0.14,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,100.04
09/09/2021,14.23,9.19,8.37,8.51,7.0,4.61,3.87,3.58,2.81,3.22,2.06,1.65,1.58,1.63,1.51,1.67,1.52,1.13,1.4,1.16,0.97,0.93,1.02,1.0,0.91,0.75,0.73,0.66,0.62,0.59,0.62,0.51,0.37,0.45,0.42,0.4,0.38,0.35,0.31,0.29,0.32,0.29,0.34,0.27,0.25,0.25,0.23,0.23,0.22,0.25,0.22,0.18,0.18,0.18,0.17,0.21,0.15,0.15,0.16,0.16,0.14,0.13,0.15,0.13,0.13,0.14,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,100.04
09/10/2021,14.23,9.19,8.37,8.51,7.0,4.61,3.87,3.58,2.81,3.22,2.06,1.65,1.58,1.63,1.51,1.67,1.52,1.13,1.4,1.16,0.97,0.93,1.02,1.0,0.91,0.75,0.73,0.66,0.62,0.59,0.62,0.51,0.37,0.45,0.42,0.4,0.38,0.35,0.31,0.29,0.32,0.29,0.34,0.27,0.25,0.25,0.23,0.23,0.22,0.25,0.22,0.18,0.18,0.18,0.17,0.21,0.15,0.15,0.16,0.16,0.14,0.13,0.15,0.13,0.13,0.14,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,100.04
09/13/2021,14.23,9.19,8.37,8.51,7.0,4.61,3.87,3.58,2.81,3.22,2.06,1.65,1.58,1.63,1.51,1.67,1.52,1.13,1.4,1.16,0.97,0.93,1.02,1.0,0.91,0.75,0.73,0.66,0.62,0.59,0.62,0.51,0.37,0.45,0.42,0.4,0.38,0.35,0.31,0.29,0.32,0.29,0.34,0.27,0.25,0.25,0.23,0.23,0.22,0.25,0.22,0.18,0.18,0.18,0.17,0.21,0.15,0.15,0.16,0.16,0.14,0.13,0.15,0.13,0.13,0.14,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,100.04
09/14/2021,14.23,9.19,8.37,8.51,7.0,4.61,3.87,3.58,2.81,3.22,2.06,1.65,1.58,1.63,1.51,1.67,1.52,1.13,1.4,1.16,0.97,0.93,1.02,1.0,0.91,0.75,0.73,0.66,0.62,0.59,0.62,0.51,0.37,0.45,0.42,0.4,0.38,0.35,0.31,0.29,0.32,0.29,0.34,0.27,0.25,0.25,0.23,0.23,0.22,0.25,0.22,0.18,0.18,0.18,0.17,0.21,0.15,0.15,0.16,0.16,0.14,0.13,0.15,0.13,0.13,0.14,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,100.04
